Genusspecies Amazon fishbase;Genusspecies base morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Abramites.hypselonotus;Abramites.hypselonotus;0,4687410051;0,4820635852;0,1362615854;0,396532958;2,9511115163;0,3959630957;0,2353759096;0,167899294;3,0774396448;14
Acanthicus.hystrix;Acanthicus.hystrix;0,1449500843;0;0;0,5959105679;4,5350595737;0,7881506611;0;0,4042315405;7,7348951073;53
Acanthobunocephalus.nicoi;Acanthobunocephalus.nicoi;0,2834706933;0,2277164509;0,291161947;0,5278726298;5,0047029103;0,5798904301;0,2492418906;0,1917964842;2,1295061613;2
Acanthodoras.cataphractus;Acanthodoras.cataphractus;0,2142808753;0,3256543883;0,3016240627;0,562904181;4,8193414663;0,5244936634;0,2139760749;0,2670847905;2,0278511088;12
Acanthodoras.depressus;Acanthodoras.depressus;0,3148310825;0,2424044833;0,3157804776;0,5342785869;4,7085378764;0,5613392573;0,2169354967;0,1969388802;2,3692969767;8
Acanthodoras.spinosissimus;Acanthodoras.spinosissimus;0,1700818171;0,2786563241;0,4863231164;0,4928430616;3,8403045627;0,5849118597;0,2588997457;0,2777843908;2,2986903253;14
Acanthopoma.annectens;Acanthopoma.annectens;0,3829114614;0;0,3009098164;0,3655812541;6,5331424916;0,4973488175;0,2472918903;0,1440052049;1,6874064991;12
Acarichthys.heckelii;Acarichthys.heckelii;0,2666296296;0,3603081985;0,253437037;0,5757771211;2,8795406023;0,674996625;0,3434932825;0,2356358574;3,4426557377;13
Acaronia.nassa;Acaronia.nassa;0,5128209202;0,3934154818;0,5980448229;0,5260758294;2,2488309637;0,5966255924;0,4502401264;0,3329713174;1,7861052576;15
Acaronia.vultuosa;Acaronia.vultuosa;0,4181818182;0,4772582649;0,562430303;0,5568013091;2,143874428;0,6249810612;0,3939463956;0,3393003534;1,2268041237;12
Acestridium.dichromum;Acestridium.dichromum;0,3817699802;0;0;0,4736842105;11,3052684211;0,8000684211;0;0,0923477224;7,9960037501;6
Acestridium.discus;Acestridium.discus;0,4338844924;0;0;0,484625;17,0313671875;0,8282734375;0;0,0788535859;7,2243012275;7
Acestridium.gymnogaster;;;;;;;;;;;
Acestridium.martini;Acestridium.martini;0,4464285714;0;0;0,647047619;17,1746031746;0,8888888889;0;0,0758082255;4,4375;7
Acestridium.scutatum;;;;;;;;;;;
Acestridium.triplax;Acestridium.triplax;0,2696322774;0;0;0,7409546978;13,9361559684;0,9169038481;0,3990039003;0,0874894306;2,6807932692;17,219875
Acestrocephalus.acutus;;;;;;;;;;;
