"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.371720002300428;0.0345333580051615;0.0100929788104127;0.013510738939382;0.012362886937233;0.319807618131572;0.53411901995128;-2.49628903551016e-16;0.20506647359485;0.0271007384417687;0.430174239766522;0.0508761870670884;0.260446588673201;0.0406785893271471;0.246237938935504;0.32763820072961;0.319763093532722;0.322718559583236;0.269219362295939;0.017307660800192;0.270842828570343;0.307732855422092;0.363918825520446;0.162228199572291;0.119695513301555;0.192218171368413;0.409149372120617;0.379006736145231;0.426401884295496;0.263424630688123;0.384129544632186;0.0284183560354725;0.358575701433441;0.578256770723124;0.0040465804530846;0.236788588073119;0.0174237292277822;0.340819447983758;0.414874462179862;0.030215122044532;0.218622723397035;0.0617598775342895;0.0278098538563646;0;0.258933939790952;0.0208250271861529;0.0373217202944694;0.210085753767197;0.00170433243195515;0.353916597493743;0.310615782084464;0.479237039536311;0.462162741045921;0.265602864964158;0.444139788542153;0.0246441902532572;0.00499085896791449;0.277800399187419;0.315438178142597;0.301558270604712;0.40052500857032;0.0215856179235366;0.431011451998363;0;0.314259117303649;0;0.0578500743987558;0.0348726672724377;0.00434475990328639;0.499025630753653;0.494322368956995;0.0175795815087943;0.133873795973349;0.349165447171324;0.0322697817840577;0.0560970361816426;0.00151090499142691;0.00514929343517537;0.0147297186546772;0.329881311651088;0.449145091417588;0.0154842682746633;0.123544158752337;0.490610469002549;0.0228536667681642;0.3680303214837;0.48079744329543;0.00953840064889693;0.136591037226464;0.175862445455097;0.465141069209996;0.0383594111988985;0.495812764270762;0.313284313764447;0.514682617083401;0.436254887824227
"Amazon1";0.371720002300428;0;0.00918243495168218;0.00288553589840596;0.000257123413766758;0.0430148679864878;0.133202864841743;0.105603979074489;-2.49628903551016e-16;0.00660952802206877;0.0119554677396488;0.109667381652638;0.0194363969907903;0.111330118137757;0.000310841191243315;0.175597590070335;0.109577370307335;0.103027662974455;0.147297729576146;0.111872096292817;0.0234999132375324;0.0478154883905768;0.0246683335444362;0.110013477403847;0.0762646003898319;0.0853293468927835;0.00242986624397135;0.158679392100063;0.135974524961347;0.172646309041998;0.129295173285747;0.098615765804662;0.0303509368332847;0.0537090123411972;0.078174139572311;0.0598953931999508;0.0126539249743438;0.0354893401145522;0.0145448975211016;0.16125913609141;0.0306607292355144;0.00544246946677366;0.282271471499706;0.0856418777600562;0.00681640190203143;0.181677924246472;0.0175939413115071;0.0392874690419024;0.0467075612172515;6.3676541091309e-05;0.170337684589732;0.133855866529244;0.130458866321631;0.0723524972291325;0.243345345190685;0.225530836264293;0.0338667075146771;0.00287592821740899;0.138024946923219;0.110294741103358;0.19277088778771;0.118215472765422;0.126273432254227;0.124418348515895;0.00453971114723179;0.130444709522873;0.00726557614441633;0.147704283936468;0.0607663456114959;0.00519064610648875;0.0296911901863846;0.103529331118184;0.00404992643622692;0.249859904052101;0.171164465840573;0.0174550790051441;0.338615016579414;0.00481222565639316;0.0140750995283223;0.000545331023136661;0.108543951908044;0.0616420733513994;0.0134107187407881;0.148017300380861;0.193413904439375;0.00339225694015687;0.178341851660108;0.0643281137528074;0.0213472450904833;0.0129103359167935;0.229809216169278;0.122694349267463;0.011168527159011;0.0539639536184015;0.209925085282796;0.0576418252520129;0.18862631889433
"Amazon2";0.0345333580051615;0.00918243495168218;0;0.0189433112872499;0.0601211039765809;0.0580425978137377;0.0212209380899795;0.00176283807739543;-2.49628903551016e-16;0.000345592542251888;0.045509892741726;0.0301762058649901;0.0770431619664112;0.033075702027522;0.0461692261429537;0.0437914418678156;0.0192651937878291;0.0345782691135478;0.0203493065287493;0.0182714215341001;0.0603870908129339;0.00410360066008588;0.00176613811280385;0.0239752347811534;0.00459725838989878;0.00159230606430635;0.14253477202833;0.105988889367062;0.0277418700214022;0.0412696947643161;0.0902764633685449;0.0106170255437189;0.0954712164527038;0.00444729766626769;0.0319903054910709;0.122464683668988;0.0574488809437795;0.0890580279355322;0.000633622009860671;0.0547781809733268;0.039343014663289;0.110928227852442;0.0234128791107781;0.0229570638869143;0.0157882275212677;0.0254159378709412;0.0596036818768092;0.104934873567955;0.0855306320961132;0.000286349469504657;0.0504987433599911;0.0889004462572789;0.0460709438629823;0.0149341251778191;0.0406622025924214;0.0668409044092819;0.11480304108952;0.0112491718755102;0.0935949057985621;0.106704919738169;0.115575940904035;0.0144150707191444;0.0242371887276291;0.0392655334219751;0;0.051177935017254;0.0139869490007975;0.0244877670291524;0.0969354485730091;0.029752718951732;0.000997167575482579;0.0383944503783389;0.0279887558682168;0.01254578425112;0.0113957848567151;0.0291922197504949;0.0477074779419588;0.0404197503087603;0.0435391379201228;0.0252640138239146;0.0108907567251202;0.01634277606903;0.0727005897014878;0.0274012452028037;0.0680814530229391;0.0336170252190612;0.0371050756136117;0.0148690298346746;0.091145126131411;0.00784613359387895;0.0300345163810913;0.0562854394379282;0.0660434748866732;0.0120550284445967;0.0123431634903152;0.00313487081739786;0.0545002018437593
"Amazon5";0.0100929788104127;0.00288553589840596;0.0189433112872499;0;0.0231617225931699;0.0204307316999953;0.000416338708133583;1.25153150135553e-05;-2.49628903551016e-16;2.74337314565062e-07;0.0400666779654;0.0141500194910731;0.103749921041397;0.0239449805754345;0.0472588161235424;0.0298357399299545;0.00781832428033066;0.0203785705886678;0.0229360820369931;0.000790122402002764;0.0924831430344281;0.00123768186917337;0.000141476967815126;0.0148383004265816;0.000964529724568039;0.000680371802852212;0.119469853576057;0.103727349692046;0.0248967711898696;0.0432347258609194;0.073678903906569;0.0110701150559554;0.0729354751420158;0.00249870648589763;0.0120905644779816;0.113998044760886;0.0410815929663537;0.105766948491108;0.00040944164912891;0.0395610919359838;0.00752706396143006;0.0978657088997276;0.00392486549965231;0.0175093168429815;0.0269923159711264;0.0142615160738839;0.0936758015726351;0.0955776557220808;0.0711664752318527;0.00015155619610499;0.0367387396323966;0.0820894405426656;0.0381799012087521;0.00569942888011599;0.0163913597674934;0.0616801965681371;0.101908841317691;0.017962343200775;0.0829491485220631;0.0794883763761724;0.0864227292767522;7.17098239977144e-05;0.0202206894624416;0.0357667950125272;0;0.0537840772756663;0.0277946612702411;0.0119504740637983;0.0939598826750473;0.0396254737037001;1.43637373024991e-05;0.0333486809884765;0.0454825595181593;0.000955663921812961;0.00354990727319591;0.0154081943557763;0.0113150208418546;0.0472078841872505;0.0428500895678267;0.0319849300789779;0.00613851810697711;0.000348950854926775;0.0399509436254347;0.0243309210009753;0.0474489107228765;0.0254208681226968;0.0146798587162771;0.00117881024671087;0.101663019793734;0.00440822066376703;0.00681194560566646;0.0519301072444059;0.0867097340957274;0.0128509962478451;0.0158609561729204;0.00109169284102163;0.0567457053122533
"Amazon8";0.013510738939382;0.000257123413766758;0.0601211039765809;0.0231617225931699;0;0.0487564569497244;0.00677063403883689;0.0342886661334907;-2.49628903551016e-16;9.73322498604375e-06;0.0505318461064329;0.0374519889778805;0.103296020165614;0.0369754438780964;0.0306786101203888;0.0367466395419926;1.38682027975537e-16;0.053343629352722;0.041070451549976;0.0357069659339778;0.0759940544326077;0.00631070667937805;6.58018764591292e-05;0.0193862184469633;0.00897743891645913;2.81027462931076e-05;0.138649518126533;0.135125834629846;0.0531524798815878;0.0662965997268213;0.104349204474274;0.0226804476241569;0.0778197544676232;0.00177233045663666;0.000549798304902903;0.102072321842045;0.045150548634304;0.107691382646389;0.00195113309997303;0.0406063178160325;0.0352472446780544;0.106425365200677;0.00016793821793047;0.0232219233863553;0.0225439133012967;0.0229067588640966;0.0722294643666698;0.0959579071964395;0.0837537496103445;2.98993139621649e-05;0.0376335249593175;0.119846020008724;0.0371089243539683;0.000292166031649003;0.0626948518292847;0.104578355135326;0.103122303153;0.00567758305319658;0.0698782920546396;0.119338430106078;0.127545389700674;0.0210740586539835;0.0365323018756955;0.0400874944342286;0;0.064141229631898;0.0293236160348581;0.0231234400492642;0.102193555167736;0.0179984719537045;0.000120417769454937;0.0326399496194237;0.0277912938704678;0.00342484811495493;0.0346181645622694;0.0138386144759412;0.0102151127823043;0.0427567485363844;0.0313228139353492;0.0417483570278347;0.00246991261950342;0.000780773399437629;0.0593047420862919;0.0393985296276289;0.0570917345199492;0.0472341141379612;0.0402239636019102;0.00177389204389024;0.0732070142028971;0.00342676641787165;0.026783202329189;0.0565887295540808;0.0738676830994302;0.019567128623497;0.0265596049493459;0.00805429668733001;0.0709240403042209
"Amazon9";0.012362886937233;0.0430148679864878;0.0580425978137377;0.0204307316999953;0.0487564569497244;0;0.0165498867375225;2.20537671050168e-16;-2.49628903551016e-16;0.00174941781558347;0.066810312434118;0.0722480357560325;0.104924744084184;0.0275305155160937;0.0371246935482159;0.0391524200058349;0.0136238797607856;0.0686284981012734;0.048439822219815;0.0174317237427422;0.0869932651801653;0.0168842363360609;0.00662010566091395;0.013037697040233;0.0091489707277018;0.00937196790323328;0.168849524148859;0.166742578682019;0.08294536145741;0.0618935454293439;0.112322542538261;0.0542743476534101;0.0876962448701598;0.0278933072724369;0.00343590290335666;0.111233287527136;0.0735188070652693;0.123174236427833;0.00528840903688982;0.0453269813575439;0.0324460634405739;0.128190223727834;0.0239550449244949;0.0279250751623516;0.0168120727431345;0.0116385751648925;0.0882318693929747;0.0844438548727536;0.0761678031397086;0.000986107617948916;0.046467522780842;0.137159543957558;0.0647439512976144;0.00754815253699058;0.028986391621801;0.105179563285941;0.123243768425661;0.000848824996327119;0.0930127569174996;0.103895605143727;0.11267576192985;0.026087244586455;0.0297082463456907;0.0755168642003884;0;0.0889611104983798;0.0170840470856407;0.0128043266451768;0.118047919051255;0.0458764861765988;0.0108656196207941;0.0526741741312464;0.037498699133251;0.00671396181548161;0.0205825709385788;0.0518313441913959;0.0235311016433518;0.0439177912177891;0.0424310005323631;0.0433175746477637;0.0254434584050425;0.000241998607261168;0.093490188915706;0.0339951534872832;0.0624818449444392;0.0364963803517461;0.039980753679924;0.00446744038670071;0.10276964550857;0.0230396548657728;0.00974549735255889;0.0946451410073504;0.0987741128790531;0.0450940588045805;0.0376412437092287;0.0128439462516205;0.055833356536145
"Andira1";0.319807618131572;0.133202864841743;0.0212209380899795;0.000416338708133583;0.00677063403883689;0.0165498867375225;0;0.35756717733683;0.0453551068372958;0.0600098879241965;0.0251318162434357;0.135042997129339;0.0271276965385954;0.0468723040851416;0.0121915506811208;0.102356576724999;0.125298428606151;0.0718522135471053;0.137361708316676;0.0466277285548216;0.0236466034953546;0.0438778883531247;0.104980206181919;0.137529254281782;0.0250398154929015;0.0260438691803134;0.00722206162149712;0.172504061498737;0.0989210540882632;0.204232683039649;0.0464933529299688;0.137361562553541;0.00790314167409713;0.205156529705748;0.383470986668667;0.029892066431373;0.0327273179194337;0.0231016576442417;0.119006238329595;0.20223221320977;0.0191494656505185;0.0214875641749021;0.0440848666684388;0.0619564004945759;0.00915043121743077;0.118503650305296;0.024427731637653;0.0354911620113929;0.0377938782298874;0.00441165877265537;0.128088715076605;0.116883403372638;0.29352473852026;0.231962079855757;0.0919474489057335;0.250314301214746;0.0233690058772533;0.00456726742331297;0.0733910372577;0.049298834758552;0.0893881512284316;0.183842609819534;0.0377677319785052;0.220270261410936;0;0.116025720597048;0.00573613095153667;0.0667223821777665;0.0441380541019636;0.00308791860337413;0.320454759232094;0.306942917512076;0.0185942059330237;0.0643096498592505;0.0667143723287106;0.0278494655984227;0.102012643584992;0.00470228961085844;0.00898905506147414;0.00188012731954745;0.110173914002068;0.271295565012643;0.00798909051703286;0.0602412131210391;0.408803147114087;0.00476043967910821;0.0977585434593113;0.303349271927068;0.0179545662625073;0.0610082218544917;0.124066428682495;0.254153691499719;0.018365341198909;0.280767005407986;0.242021103482853;0.318782893954196;0.270243668522552
"Apaporis";0.53411901995128;0.105603979074489;0.00176283807739543;1.25153150135553e-05;0.0342886661334907;2.20537671050168e-16;0.35756717733683;0;0.0825729631668314;0.345352345831163;0.0238914745403105;0.105171228717066;0.0217179449588275;0.0303961609021438;7.41055755423146e-06;0.0561451425199588;0.38383926651562;0.0500328237731498;0.114544488380399;0.00655758928057818;0.0322253335897187;0.353279165472106;0.459027726441992;0.0842901598538883;0.188656983666031;0.38235547430273;0.0302069892203959;0.0881899951584409;0.0884796263911072;0.0745414670517489;0.0401585122428272;0.077794327820761;0.0281805355424829;0.425236594709556;0.217810159420649;0.0375726254410393;0.0643656648224101;0.0382933440118891;0.452023032553505;0.216842455790037;7.36940675889559e-05;0.0258501460367402;0.280490017716342;0.0516894913744901;1.38922788549602e-07;0.0688064035796125;0.0337512706459321;0.0302919800510406;0.0334028684988493;0.0410513283479999;0.0610860393170298;0.0831726048179973;0.246218675545245;0.123237024892101;0.00645112558694815;0.0634303502384635;0.0441071610223809;2.20537671050168e-16;0.0625924615337625;0.000221894152336725;0.0061362167577318;0.266482280422684;0.0624527814421483;0.2543445584486;0.0166208380313281;0.0630477221317941;1.84327023838089e-06;0.0671060837991206;0.0504609681390906;0.023267620978122;0.196002029310837;0.256850317638457;4.3244716550345e-05;0.0908469128928751;0.00111821743784348;0.0354123587461937;0.39496781581327;0.00285405739263521;0.0190875635671801;0.000327261273094661;0.0808478803913769;0.241702692133453;0.0335534085673449;0.0451762099104993;0.227517300369785;2.64107236445324e-05;0.0049234163497932;0.126072234536521;0.0414381342562032;0.315050536790091;0.06393615502723;0.268564110844132;0.0365046191245113;0.187667321873909;0.226441082115908;0.162045331581847;0.0582021583079002
"Apurimac1";-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;0.0453551068372958;0.0825729631668314;0;0.0829242518933978;-2.49628903551016e-16;0.0972046046661514;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;0.102748317543647;-2.49628903551016e-16;0.00691202473747126;0.317030117813912;0.172758294218114;-2.49628903551016e-16;-2.49628903551016e-16;0.0794335586064076;0.0581830985692942;-2.49628903551016e-16;0.0622219916517634;0.00383035506927967;-2.49628903551016e-16;0.102265809342426;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;0.0925759741729271;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;0.700215212134961;0.0121487451046937;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;0.0364464388697507;0.0106756231381781;-2.49628903551016e-16;-2.49628903551016e-16;0.00581790069945099;0.00501346160203307;0.00501346394053542;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;0.688267541758619;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;0.0367099114207939;0.0610121873469868;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;-2.49628903551016e-16;0.079604087001232;-2.49628903551016e-16;0.0464797098611816;-2.49628903551016e-16;-2.49628903551016e-16;0.0587665757976028;-2.49628903551016e-16;-2.49628903551016e-16;0.110324416329586;0.0050135320821717;-2.49628903551016e-16;-2.49628903551016e-16;0.0831451008086048;0.0889976209240906;0.179335861619476;-2.49628903551016e-16
"Arinos";0.20506647359485;0.00660952802206877;0.000345592542251888;2.74337314565062e-07;9.73322498604375e-06;0.00174941781558347;0.0600098879241965;0.345352345831163;0.0829242518933978;0;0.00191217551753062;0.00987402357768234;0.00263997986534368;0.00299662534516104;7.66083872985157e-06;0.0231411504866386;0.0359325052106032;0.00088255512052041;0.0132066448966635;0.000629181105436533;0.000906341118548126;0.188474983659846;0.0849985041653434;0.0595174129679693;0.271004120000675;0.251880520546899;0.000127849935428395;0.0254166792304905;0.00337671327625361;0.0274928856897618;0.00320414061911421;0.00433338040456431;8.33207626982792e-05;0.00377966157228764;0.235662198471181;5.89690845872407e-05;9.19636222971842e-05;0.000413823901024029;0.00954135058928104;0.0409180446069543;9.54835778824959e-05;9.5519352598515e-05;0.00119717424601278;0.0237180789152387;0.000171925371634199;0.0374276155673735;0.00202999339274844;0.00265060044672584;0.00269812224938306;0.0159539925072355;0.00472646840071822;0.014079820746894;0.0230542476532677;0.0442584136083276;0.0496775319121703;0.0251842350890924;0.000622952126600987;7.66238520630236e-06;0.0289929876819899;0.0140384043022351;0.0146140547039599;0.00250671301137875;0.00241014006854395;0.0212122038257901;0.0638229984231442;0.00598683166992007;7.0735602285246e-05;0.0131069347092837;0.0028088290017385;3.45757107613091e-05;0.0589822694254931;0.0384316460130928;0.000201717259131644;0.051368159525993;0.00263460195499004;0.00325246880706892;0.00253980365411006;3.21291396210064e-05;3.45757107613091e-05;9.54285677862803e-05;0.00534350489902874;0.241370230282905;6.99634623528028e-05;0.0142986641208364;0.195120245603484;8.79979603867794e-05;0.0027949873537604;0.081308457381945;0.00052835591804656;0.150989425407294;0.0550296520140758;0.0355141867280115;0.00158930500253365;0.0579702003498002;0.0693518656483831;0.184188701737891;0.0172898686852667
"Aripuana";0.0271007384417687;0.0119554677396488;0.045509892741726;0.0400666779654;0.0505318461064329;0.066810312434118;0.0251318162434357;0.0238914745403105;-2.49628903551016e-16;0.00191217551753062;0;0.0390553223443172;0.082693924583997;0.0238783462812859;0.0517600491996438;0.0248763036255765;0.0104599336727552;0.0448398801038962;0.0106920429992297;0.0415821025422223;0.0528894554101582;0.0101506410169737;0.000399639562056137;0.0248791916203548;0.00994094890119026;0.00288106713961105;0.131548068402682;0.114186445407073;0.0360309869632585;0.0275270077843933;0.0858770369650858;0.01523562173169;0.0970773680644513;0.00542942765899425;0.0416215289601261;0.111959085200647;0.0319307312703583;0.0956426140407972;0.00173161349584202;0.0556284175583269;0.0467529840369664;0.0831551973904277;0.0154510664916598;0.00812280200749342;0.0116795988089577;0.0199752341090497;0.0540409188254272;0.0944462677820813;0.0734603434879872;0.000286349469504657;0.0532258716190458;0.0846257354323183;0.0408325927293047;0.00877671390198014;0.0539768399133114;0.068366210858211;0.111936267304226;0.0166873628508493;0.0944767526809011;0.12888185719706;0.137987155158156;0.0287931659294676;0.00977016252998862;0.0411882323615938;0;0.0518769205766794;0.0186441373429106;0.0151285767289096;0.0968322482795028;0.0246269851691822;0.000973327271530427;0.0361158050523385;0.0426137845103033;0.00472076074975459;0.0373398541408681;0.0131000617306244;0.0313400592710939;0.0599257083326166;0.0252293675546113;0.0511738160347629;0.0083814738206107;0.022553725658961;0.0722002912763905;0.00909094540477297;0.0702064287445847;0.0545912375874637;0.0630482938801553;0.0195681599511408;0.08467454288012;0.00712015082875893;0.0474921521822453;0.0572591881788558;0.0569543226154668;0.0165189855066731;0.00980445402535456;0.0102270412472042;0.0449833078476479
"Bacaja";0.430174239766522;0.109667381652638;0.0301762058649901;0.0141500194910731;0.0374519889778805;0.0722480357560325;0.135042997129339;0.105171228717066;0.0972046046661514;0.00987402357768234;0.0390553223443172;0;0.0217836550436252;0.0962889858210689;0.0219128324161017;0.167743072313688;0.219083724712427;0.0422320872298682;0.219468762686477;0.0904133195231751;0.037636284796388;0.014550379767254;0.105939152511224;0.184577140177193;0.0272785664631256;0.0647993110653648;0.00165179319551653;0.117061385088811;0.0243456407035514;0.186770528213101;0.0721805694463669;0.132689309027998;0.0434430103838599;0.1886877225468;0.0540834202181052;0.0653702392869474;0.0444295319858578;0.0334329706180998;0.025081676905512;0.233332151688242;0.0603802154976479;0.0360512562990745;0.311787319151228;0.118978838129192;0.0266014264588354;0.202428905406881;0.0287129252770831;0.065814787555111;0.077716433270117;0;0.17090157403462;0.109020495543351;0.204563195243765;0.181321823471971;0.164181281046851;0.233939974490047;0.0372164616898085;0.0237766816608362;0.11268468673342;0.0655085625392367;0.129666137264707;0.187102630626844;0.116725571319057;0.175279638338063;0.00483432793112901;0.105588986063402;0.0240502969008667;0.147687979264774;0.0662566797462097;0.0133300614587744;0.153473868923997;0.167002093224146;0.0390386812837509;0.207648083926673;0.102734338127949;0.0587249391746481;0.408232400849848;0.0257541418169713;0.0316905185160424;0.00611947732260703;0.161001926594052;0.0428954963170094;0.0030516390755364;0.0989633655835692;0.271033549211617;0.0141410495722944;0.120603363189158;0.126727542758004;0.0230899224161925;0.0485872142302478;0.210610984652206;0.20269764698756;0.0132048320568267;0.0538195968641603;0.225984725877594;0.0211240714799254;0.268444990275458
"Beni";0.0508761870670884;0.0194363969907903;0.0770431619664112;0.103749921041397;0.103296020165614;0.104924744084184;0.0271276965385954;0.0217179449588275;-2.49628903551016e-16;0.00263997986534368;0.082693924583997;0.0217836550436252;0;0.0471389010056488;0.0828701266251366;0.0571153897462342;0.0235162044260555;0.0229210546494569;0.000759203866459488;0.0518554702554224;0.0446157777056729;0.00284073473814379;0.00616337415879278;0.0359072868019169;0.00320106416394236;0.000325555146404257;0.0892418457962796;0.0384041234984094;0.021188761577734;0.00473105219307625;0.0278257230921801;0.0122069628514501;0.0774778983629517;0.00859020559077938;0.0406460590274783;0.0976815572402472;0.07990602998336;0.0664512964868548;0.00499673826276163;0.0334824055433768;0.0896145731016732;0.0930802144672914;0.058068658500674;0.0559777622866731;0.0528247300297217;0.0236415288509965;0.0454642699496585;0.0592358953708231;0.0378362508807287;0;0.0260389578471669;0.0107802324061193;0.0119757527489068;0.0329802105191611;0.0503891486800427;0.0308002704419807;0.0676594616812045;0.0598503440937287;0.109391688163251;0.118268511262553;0.120549478904339;0.0330634555849734;0.0256511572961645;0.00840386350114798;0;0.0191210748794309;0.11061534895185;0.028195773781627;0.0424461186055732;0.106605289259661;0.00874660271413602;0.00567682251612656;0.0735525244676448;0.0341586423844867;0.0539167161845834;0.0692014908939485;0.067904143558019;0.0626512757084278;0.0942848669861949;0.0503795501552725;0.0136180056578372;0.0170396647265248;0.0751742480337967;0.0294608178000738;0.0390026192696631;0.090181889031433;0.0668015816034762;0.019917654584825;0.0812892871381789;0.00137089545508437;0.0532704866112055;0.0099307291063655;0.063712058252108;0.00884704412956679;0.0101014096328237;0.00247951346293262;0.00687436008036483
