"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.153748193526336;0.438535332312859;0.465644870003452;0.448224573575528;0.445557534172053;0.0230530927665618;0.0950248775989731;0.981911289563774;0.341031640887642;0.442383747958454;0.109013765068946;0.452835607510252;0.224049196708785;0.476729128675394;0.203344151305475;0.0168545363398002;0.191924711793812;0.132103617730665;0.213014871622126;0.476528828116731;0.254528096481394;0.131551895101199;0.105231427870998;0.451515328533409;0.3293714805016;0.343569707697897;0.172528128977878;0.141101160718083;0.0916453864624708;0.234689160257964;0.117768337423461;0.446099050885703;0.0098191634284342;0.0501251119355442;0.459189761932567;0.268228682401813;0.455858947228161;0.12289293078142;0.0396154253393695;0.424823737921571;0.317659890638255;0.253598237820422;0.396233012116914;0.50957422896635;0.169652892452894;0.474318490061948;0.440271732593948;0.281862325667309;0.997354169946684;0.137863015167016;0.211646298233484;0.0353527117301902;0.0630741238757768;0.213227504682519;0.0933678303180557;0.443022463825216;0.510722297534861;0.221613759519348;0.231647854115184;0.21645060320275;0.0319655588111578;0.355551152538941;0.0729702505168183;0.974305054410322;0.190419277893842;0.474496659414961;0.32714041478217;0.420507068129623;0.470850800063595;0.0327837909413641;0.0170628760554512;0.483858228714377;0.252098900237831;0.166115667026246;0.420244753836639;0.167611534817339;0.495129421678726;0.463427902592741;0.491591566292189;0.130360645741371;0.128335279012627;0.443640759193572;0.310061425101918;0.0232891328393343;0.450869359365108;0.147820921472723;0.00357863581677362;0.463604803309861;0.536971299165317;0.235182345730307;0.0727957476281671;0.46610410194265;0.0314792083326115;0.103468627326643;0.0439443184072828;0.102150454111767
"Amazon1";0.153748193526336;0;0.233543718469849;0.254301379240329;0.235816714699601;0.222057619080954;0.239507478139405;0.382220489204641;0.988984664084986;0.605680028304789;0.23346100591193;0.0498809170763742;0.258002283416144;0.0558995706387255;0.287062073875839;0.0221193409321576;0.196784203962138;0.0360646930976087;0.0444704177573098;0.0447346019669772;0.266146655286806;0.520896244550217;0.405177081059296;0.073531233091734;0.63954692791978;0.518579850493016;0.201104622549853;0.0428448058590542;0.0160055265590454;0.0731349193350956;0.0697950844484372;0.0505822711456156;0.23424579817389;0.245137425429294;0.325671625536619;0.22925009397197;0.11530019616249;0.23853038231078;0.406336665828616;0.150965649093144;0.209922169215348;0.178725366358254;0.019658755315804;0.165404301654493;0.300532136757703;0.0136812078276003;0.267143571214547;0.230016821275485;0.117102466290545;0.999363981172405;0.0274255517062041;0.058339316010436;0.156355376750913;0.12171161178235;0.0371674906555139;0.0619827545806144;0.227719851872778;0.306268277873796;0.0579180017102132;0.0908683475088389;0.0569434826674356;0.170996259929441;0.113817474283752;0.105280694888214;0.979860668380686;0.030760503632982;0.258081540117413;0.0954864181801773;0.200791317038624;0.256716977089423;0.17678095257867;0.190703335900425;0.280622017965402;0.0374370331014741;0.0093020073538287;0.208381148452693;0.046422662974509;0.284477915424241;0.246049648179547;0.289427643322349;0.0469684717774268;0.424065175919851;0.22832154843272;0.101718413055346;0.162321201305716;0.243456003095374;0.00941946013907823;0.22289772570937;0.246865105369217;0.74244958028102;0.033662870519893;0.0985671867092474;0.269238446226367;0.175116467879735;0.0771439489401837;0.309086630694722;0.0539239834438016
"Amazon2";0.438535332312859;0.233543718469849;0;0.0201759083821776;0.000168460923734485;0.00365635766502778;0.470511635128647;0.601318808097437;0.993172611879383;0.738931383648737;0.000584053818575805;0.279242182012672;0.026969200973414;0.169604576447139;0.0526303736460833;0.201001474637295;0.425733238450435;0.190546706752045;0.278578185452742;0.184138329252364;0.0369953047063737;0.690511781456349;0.592013631264551;0.304761666806965;0.794185360578647;0.706917910279295;0.030710531208994;0.167204604827741;0.246104998608727;0.304386498571141;0.144231541787631;0.284956863677702;0.0056300055307609;0.464213493754948;0.526326684495126;0.007586062989856;0.115270673369458;0.0112201142363172;0.590263514880836;0.376936053066394;0.0193820774526266;0.0519945561472381;0.204762501158444;0.0559382955648201;0.0708865437507343;0.245045388294561;0.0363935995390679;0.00352409789249807;0.106292011335877;0.999359694023556;0.253219121269705;0.155860711173678;0.380261451830023;0.350590798921851;0.181097003787992;0.289181062535724;5.41696821677351e-06;0.0761531993631903;0.155201707141784;0.122265256915569;0.148546879877092;0.40492697352543;0.106144964530313;0.332547456539007;0.990278493267799;0.191678724560403;0.0254845463024324;0.123917565989885;0.0208513128315569;0.023087776521595;0.40029175056441;0.410628005988324;0.0479506062917537;0.185654275847087;0.222515556473089;0.0241422126085831;0.286563526817567;0.051594910266889;0.0140791609514349;0.056363553788923;0.281755538102471;0.611278430591395;0.00420073787438233;0.116406427145768;0.388763441608185;0.00879466306944432;0.237359339302262;0.442061190863769;0.0159845433818301;0.832519734487252;0.188172836337138;0.319995314098039;0.0364984298498835;0.39835987989404;0.321827993660277;0.52160790454783;0.281293459651631
"Amazon5";0.465644870003452;0.254301379240329;0.0201759083821776;0;0.0199141426990477;0.0239457614230975;0.496164469111743;0.615315711777678;0.993446868659997;0.748375511608121;0.0191543525736695;0.302340807787311;0.00776166290281884;0.190591684509244;0.0330141292458573;0.222923259313688;0.447115402233813;0.212632629280757;0.296204160841768;0.207167332047024;0.0170818950476263;0.703014478016355;0.606146808059047;0.325782960185525;0.804430112369181;0.717664963033021;0.0496086036510028;0.185346956255012;0.265496551859622;0.321340829120171;0.165374026640144;0.30336729777156;0.0132969618952652;0.481023458927828;0.551298863857323;0.0105636846959109;0.136649274000591;0.00737789719121369;0.603620956056416;0.399480043481107;0.0404179101189966;0.0712256435695193;0.228348713610822;0.0763656775547203;0.050143480115379;0.266742900655111;0.0164490923427362;0.0150401639813326;0.126760513477255;0.999508704276677;0.275189378331244;0.175286461650579;0.399908896723207;0.371605833562327;0.205110789759699;0.308113691805372;0.0184751754186864;0.0555280244585041;0.175266971442194;0.144514374946279;0.171638715190834;0.427769585555757;0.126448639975877;0.351089197983441;0.990668462761013;0.209740244475057;0.00513652561994106;0.145449902405586;0.0395344004592746;0.00310379603258457;0.417807834320584;0.428895783988671;0.0274853824356743;0.207576591329186;0.243646180443877;0.044710739638363;0.315892599962073;0.0316703108522571;0.00559664430994611;0.0361101612425244;0.30178059251177;0.633677393150142;0.02409072812419;0.13650302286954;0.413413530398621;0.0111755328643443;0.261823558833292;0.464459466322473;0.00267614600975089;0.841360334369081;0.212256560858894;0.33860840408692;0.0169221467082918;0.414899602938793;0.338651625384111;0.537436750787821;0.298199388561592
"Amazon8";0.448224573575528;0.235816714699601;0.000168460923734485;0.0199141426990477;0;0.003862898499228;0.477594954444331;0.581836147661976;0.993175050529414;0.739260937210206;0.000410801251393954;0.277305472586854;0.0260414950185005;0.169087830789309;0.0533119023667272;0.202647354887913;0.434241635811603;0.187006020132982;0.272843789963309;0.181034774808349;0.036215452632038;0.689073939934687;0.593138209882873;0.306353194096686;0.79075516514224;0.708114803647174;0.0310038701646505;0.161904786600414;0.239831710408556;0.296591203333793;0.142156881912241;0.281643052956404;0.00557459003732634;0.465600802949008;0.543547698785816;0.0076014196753163;0.11694329677891;0.0108306956812179;0.589601812579683;0.382732118563696;0.019637561341202;0.0524175039043675;0.209807625120124;0.0560976306115807;0.0702256848920106;0.245840337817254;0.0357389354829312;0.0033974072298586;0.106660547664717;0.999616180252338;0.256810316702432;0.150720023542925;0.383979101577056;0.355958436562901;0.177099843535762;0.277631498010486;0.00016624197304013;0.0764051564856593;0.159424468898241;0.120690995116527;0.146688464625643;0.402336964111369;0.104978125477377;0.332414372380617;0.990281960617406;0.189220800204188;0.0249142884310029;0.124263137022883;0.0208907392911981;0.0231915658863193;0.400793487402474;0.413227070933285;0.0477865142656953;0.187541433889405;0.217452910388147;0.0247006750225886;0.29800704863955;0.0512981751776307;0.0140854004936504;0.055239174539305;0.284318559379837;0.621059115173158;0.0044300257465062;0.115140225669115;0.393487545629276;0.00849998253360323;0.236752081638423;0.448080296841815;0.0161339664890069;0.83628088819574;0.188971455110989;0.320042117558183;0.0360269200641702;0.395477993174634;0.317351507696348;0.519162927050281;0.276559018743983
"Amazon9";0.445557534172053;0.222057619080954;0.00365635766502778;0.0239457614230975;0.003862898499228;0;0.46981631113848;0.599901760776164;0.993119585201321;0.7361309854847;0.00419333448674231;0.263822048154589;0.0296255059064104;0.166916089425491;0.0568548084871738;0.198408837226239;0.425069583334087;0.180349066789201;0.26719152682531;0.180613330528208;0.0394856882609223;0.679663346778804;0.586629426565666;0.304715165392384;0.789151614128682;0.69948673940671;0.0265455031689496;0.152718446818754;0.228796603536729;0.294560251113977;0.13737514146801;0.269012676851432;0.0092194283976628;0.450322601901114;0.539121812245346;0.0111326714331583;0.109761198951425;0.0142027631197412;0.58499428024161;0.377583765334884;0.0157667494466766;0.0476117825121529;0.201023758385729;0.0518921323993525;0.0746083448193736;0.244912060477758;0.0388190224612523;0.00715854379494977;0.103841135229416;0.998657427467724;0.250852584087383;0.144351686365583;0.369759691108971;0.349850470965864;0.179663585724538;0.274156511546941;0.0033979037034709;0.0808084355837147;0.151881719612143;0.119234743096513;0.145684680832032;0.39698417184728;0.101826469100738;0.316836636021367;0.990203099152136;0.18065117689591;0.0292169121378335;0.121629708409137;0.0169419173285558;0.0264052425323824;0.393109486705452;0.401518575468758;0.0512077645908307;0.183028711439185;0.216835471202095;0.0199006723925497;0.290387546096536;0.0551065109553719;0.0178114116529496;0.0590198848011937;0.274130301958565;0.618896186831468;0.00058780752698444;0.111919522764724;0.388088702433478;0.0125080101042392;0.233147087216611;0.44363715412461;0.0192615239446543;0.818644990971603;0.188406943667691;0.303873961325648;0.0387117167486743;0.381929020997726;0.310241470530174;0.513739285795106;0.277552426750753
"Andira1";0.0230530927665618;0.239507478139405;0.470511635128647;0.496164469111743;0.477594954444331;0.46981631113848;0;0.110023061244716;0.93617673989459;0.376883542579644;0.469090166759859;0.193535800508462;0.489227925798814;0.317792395428197;0.515679122847579;0.27011263518258;0.0515283444188516;0.290549702462793;0.196197003505841;0.307175069094868;0.498355071617853;0.304958095031799;0.140652939752749;0.170956982159109;0.501571060171208;0.335658957056216;0.449421933245396;0.267031302218054;0.233483165749163;0.153282119836665;0.332533570251339;0.192942063543526;0.481647596286457;0.0147787556824551;0.0525922678691846;0.47276500222767;0.368340907889574;0.47880506451002;0.135242088990222;0.0808645936136127;0.456141945036081;0.425109340238488;0.288134019221045;0.408465928785452;0.529351138513528;0.229893681571485;0.497470210609442;0.466566206765215;0.371459467007483;0.994583551960879;0.214053580736599;0.297953999253581;0.0717388627637701;0.115641312213036;0.291553988773991;0.150476417259929;0.469474435987696;0.535363635035112;0.312493390363212;0.349914477589056;0.30981161693399;0.0710524400312232;0.377631656105577;0.125876363873309;0.972527010731103;0.27285726115224;0.497472318368859;0.351553203881699;0.442334360433546;0.497262544713463;0.0673512606159515;0.046821103804533;0.508138296747533;0.301088839331607;0.267523767562401;0.448511317708903;0.188756778514957;0.518564367580868;0.487529579817172;0.522987275923793;0.201927795651194;0.146227068610622;0.4734093954291;0.359990019946775;0.0469933753440278;0.485358349722622;0.239717286339072;0.0284059719654773;0.485251021490318;0.564042392247499;0.27697163513948;0.126207766847382;0.500837312355266;0.0691356712047127;0.139184655932575;0.0387135487842462;0.156006484148946
"Apaporis";0.0950248775989731;0.382220489204641;0.601318808097437;0.615315711777678;0.581836147661976;0.599901760776164;0.110023061244716;0;0.892443413125975;0.16144812759834;0.588369355036149;0.340423130934944;0.607196300521756;0.462907491689878;0.636400970706161;0.42382148866225;0.14040497559988;0.436661358109271;0.339794288013901;0.464586810283671;0.606683886090096;0.101035110701128;0.00784388972428061;0.327226133325915;0.305350043908595;0.113800594651027;0.56156654402384;0.426808216933543;0.375626859504736;0.326003197019129;0.470994416783026;0.350766085006013;0.589244842988261;0.108774369342555;0.068230879472278;0.585021162714691;0.484905842568005;0.586805091007339;0.00998875369098067;0.209864086281535;0.589324326961817;0.549185903843842;0.323404893646343;0.535416037162925;0.6463614594238;0.385129319921166;0.605332006423662;0.586560229494791;0.505287062682828;0.957581147476772;0.375512970452494;0.440869534091451;0.202120171458493;0.275073113277538;0.463664279963547;0.336806781703539;0.575807677864688;0.649277025239826;0.450647777677743;0.507227239350326;0.480356251420517;0.186696775521443;0.495223493886487;0.241402344156322;0.945412423261996;0.427094979337332;0.618594602586675;0.480197884322427;0.557818117695995;0.602963885540333;0.213750568619259;0.175447158944706;0.632877124450809;0.424838957816577;0.435991873039424;0.565533204032223;0.22277581395177;0.633749751855785;0.600001555513879;0.637773932413118;0.352304795884483;0.0230929911815216;0.579371711655955;0.496698662480279;0.191097479219502;0.608131365007173;0.415876275941827;0.184018318767812;0.588047922992656;0.327866358121535;0.43285497760938;0.242021360346816;0.603829281215778;0.213687148959575;0.26615527550638;0.0968296112127542;0.349821224686844
"Apurimac1";0.981911289563774;0.988984664084986;0.993172611879383;0.993446868659997;0.993175050529414;0.993119585201321;0.93617673989459;0.892443413125975;0;0.876116380135013;0.993180933675825;0.89167764320895;0.993559034000361;0.990282103117308;0.993884470947822;0.989557312761001;0.982788381704458;0.989831886606873;0.987779902009582;0.990035862235254;0.993688241758849;0.863937343946169;0.973535854634526;0.98019116970118;0.6425871507094;0.794737545536678;0.9926672528454;0.990046911582476;0.910045502317069;0.929443717306685;0.990611899620116;0.926227352269979;0.989452265803036;0.981354105685511;0.877164820005587;0.993289249467416;0.991278295025773;0.993338198635158;0.883585950469982;0.984187196974863;0.99289244145029;0.992327707189456;0.989568938825172;0.992346536401432;0.994087292820493;0.988612212178915;0.993679758849918;0.993225981963734;0.991384463088061;0.270315944532334;0.976230119123275;0.990368209324456;0.984192939978346;0.985681433906177;0.953928633098212;0.976542787028772;0.99317252860364;0.994146231412815;0.984603224065784;0.986048619314331;0.98546391655882;0.983727806789192;0.99151299177056;0.985994712616623;0.0547362041983753;0.989733507874025;0.993515526707905;0.991194420977032;0.992851031708656;0.993488952361492;0.984115683667217;0.983082174985438;0.993812566377038;0.953682866582271;0.928872897844325;0.992825631928076;0.987332132598966;0.993867206301916;0.993370038559565;0.993916760003005;0.987766862999337;0.893779641474463;0.99311068724286;0.945247724855229;0.983479930099018;0.993295344983079;0.930626303245065;0.982156728323013;0.993407837518311;0.82263293965877;0.984939673376068;0.986215397121309;0.993684540998443;0.902203852345227;0.898810205069922;0.802895413600951;0.987426127825249
"Arinos";0.341031640887642;0.605680028304789;0.738931383648737;0.748375511608121;0.739260937210206;0.7361309854847;0.376883542579644;0.16144812759834;0.876116380135013;0;0.738050290327793;0.567606677510112;0.750175387653396;0.645827893586154;0.763229001590194;0.611801941619302;0.433100481863319;0.633805918976073;0.568263652362036;0.640008966369401;0.75585573743304;0.0762945335404497;0.23807201834767;0.522014597788495;0.104250884491541;0.0488805745057078;0.722406667382031;0.624455161474141;0.595919902471449;0.535862155186214;0.65561624537366;0.570721801902212;0.741935420440042;0.414859017022381;0.249799513897822;0.743039401539551;0.678137203753894;0.744415294625071;0.26114580675024;0.462939878851812;0.729826768526016;0.711392782256379;0.625885097648631;0.695180336692641;0.770073157713317;0.576675404210805;0.754717995052205;0.739003598415015;0.679668457911633;0.981725030443179;0.585733412208588;0.64119992754247;0.471699736247224;0.497093287857002;0.607895515726511;0.542825924406403;0.738723588985188;0.772235381578471;0.631409290604665;0.660706641041145;0.642669321684791;0.470360181736037;0.683876362744531;0.516987773665753;0.877115519206306;0.627684687905697;0.750637797508986;0.666740424549075;0.726485197254099;0.749768166122267;0.452577218342746;0.438615567720043;0.760622943975282;0.607255405783043;0.615088092542629;0.725328523469578;0.56220966386341;0.762619451232861;0.745766245056059;0.76426806007627;0.572435011830166;0.165229860930633;0.737073509586932;0.669909967150844;0.374747184216866;0.743221906195238;0.600773087906908;0.399276130210908;0.746667511034441;0.223386976796863;0.601432397450466;0.514971177699899;0.755213488563307;0.450876211869405;0.506722337958431;0.287278055719232;0.556403331296135
