"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.525468195826765;0.473068690318021;0.475737848813865;0.46173531251491;0.457920421109286;0.342860710898134;0.629143897550253;0.981911289563774;0.546098114482492;0.469484486400223;0.539188004835469;0.503711794577341;0.484495785381986;0.517407718002541;0.449582090240979;0.34449273706941;0.511687805326533;0.454822177313901;0.482234233918065;0.493836488916923;0.525370925051737;0.439284750523291;0.469150253391444;0.6137435281057;0.449066993803155;0.53578787906631;0.581677501098494;0.520107896863314;0.518047270757967;0.498113790946087;0.501897882055647;0.474517406921175;0.368394864861876;0.628381882658668;0.463236342385652;0.505017270474931;0.473282676455943;0.463712378765178;0.454489887519231;0.455038859966104;0.536282614035289;0.315358115354711;0.424042865973278;0.50957422896635;0.428586832243846;0.495143517248101;0.477593452888417;0.491948079434506;0.999058502378639;0.491779612660759;0.522262080317948;0.514589751266501;0.525236864921698;0.478830369646677;0.537507618860209;0.467666654078473;0.515713156502776;0.499414158706767;0.547086032257781;0.518008873807462;0.432490567381478;0.377136770462478;0.503981702515181;0.974305054410322;0.50467839519749;0.474496659414961;0.384990489180925;0.455379735402061;0.475195559966881;0.531809421695017;0.511385245012446;0.501437810223171;0.38597269621118;0.51528111419757;0.452514535620696;0.223708570998981;0.496640326670153;0.468577196027917;0.506321284946866;0.460241957392459;0.577480370430215;0.459125027468235;0.433605583854255;0.513899601841884;0.473723026133272;0.515851242956423;0.484376079112203;0.473143203958758;0.673562336391781;0.411044791185404;0.537936816838164;0.504463513141548;0.527291972603374;0.416752941091091;0.558626935490684;0.538405341935994
"Amazon1";0.525468195826765;0;0.242726153421531;0.257186915138735;0.236073838113368;0.265072487067442;0.372710342981148;0.48782446827913;0.988984664084986;0.612289556326857;0.245416473651579;0.159548298729012;0.277438680406935;0.167229688776482;0.287372915067083;0.197716931002493;0.306361574269473;0.139092356072064;0.191768147333456;0.156606698259794;0.289646568524339;0.568711732940794;0.429845414603732;0.183544710495581;0.715811528309612;0.603909197385799;0.203534488793825;0.201524197959117;0.151980051520392;0.245781228377094;0.199090257734185;0.149198036950278;0.264596735007175;0.298846437770491;0.40384576510893;0.289145487171921;0.127954121136833;0.274019722425332;0.420881563349717;0.312224785184554;0.240582898450862;0.184167835825028;0.30193022681551;0.251046179414549;0.307348538659734;0.195359132074072;0.284737512526054;0.269304290317387;0.163810027507797;0.999427657713496;0.197763236295936;0.19219518253968;0.286814243072544;0.194064109011482;0.280512835846199;0.287513590844908;0.261586559387456;0.309144206091205;0.195942948633433;0.201163088612197;0.249714370455146;0.289211732694862;0.24009090653798;0.229699043404109;0.984400379527918;0.161205213155855;0.265347116261829;0.243190702116645;0.26155766265012;0.261907623195911;0.206472142765055;0.294232667018609;0.284671944401628;0.287296937153575;0.180466473194402;0.225836227457837;0.385037679553923;0.289290141080634;0.260124747707869;0.289972974345486;0.15551242368547;0.48570724927125;0.241732267173508;0.249735713436207;0.355735105745091;0.246848260035531;0.187761311799187;0.287225839462178;0.268212350459701;0.755359916197814;0.263472086689171;0.22126153597671;0.280406973385378;0.229080421498137;0.28706903422298;0.366728455946735;0.242550302338131
"Amazon2";0.473068690318021;0.242726153421531;0;0.0391192196694275;0.0602895649003154;0.0616989554787655;0.491732573218626;0.603081646174832;0.993172611879383;0.739276976190989;0.0460939465603018;0.309418387877662;0.104012362939825;0.202680278474661;0.098799599789037;0.244792916505111;0.444998432238264;0.225124975865592;0.298927491981492;0.202409750786464;0.0973823955193076;0.694615382116435;0.593779769377354;0.328736901588119;0.798782618968546;0.708510216343601;0.173245303237324;0.273193494194803;0.273846868630129;0.345656193335457;0.234508005156176;0.295573889221421;0.101101221983465;0.468660791421216;0.558316989986197;0.130050746658844;0.172719554313237;0.100278142171849;0.590897136890697;0.431714234039721;0.0587250921159156;0.16292278399968;0.228175380269222;0.0788953594517344;0.086674771272002;0.270461326165503;0.0959972814158771;0.108458971460453;0.19182264343199;0.99964604349306;0.303717864629696;0.244761157430957;0.426332395693006;0.36552492409967;0.221759206380414;0.356021966945006;0.114808458057737;0.0874023712387005;0.248796612940346;0.228970176653738;0.264122820781126;0.419342044244575;0.130382153257942;0.371812989960983;0.990278493267799;0.242856659577657;0.0394714953032299;0.148405333019037;0.117786761404566;0.0528404954733269;0.401288918139892;0.449022456366663;0.0759393621599705;0.198200060098207;0.233911341329804;0.053334432359078;0.334271004759526;0.0920146605756493;0.0576182988715577;0.0816275676128376;0.292646294827591;0.627621206660425;0.0769013275758701;0.143807672348571;0.456844894631124;0.0424116882885055;0.274464414915874;0.456930220698444;0.107129669513241;0.840365868081131;0.218207352718229;0.376280753535967;0.102541904736557;0.410414908338637;0.334171157150593;0.524742775365228;0.335793661495391
"Amazon5";0.475737848813865;0.257186915138735;0.0391192196694275;0;0.0430758652922176;0.0443764931230928;0.496580807819877;0.615328227092692;0.993446868659996;0.748375785945436;0.0592210305390695;0.316490827278384;0.111511583944216;0.214536665084678;0.0802729453693998;0.252758999243642;0.454933726514144;0.233011199869424;0.319140242878761;0.207957454449027;0.109565038082054;0.704252159885528;0.606288285026862;0.340621260612106;0.805394642093749;0.718345334835874;0.169078457227059;0.289074305947057;0.290393323049491;0.36457555498109;0.239052930546713;0.314437412827515;0.086232437037281;0.483522165413725;0.563389428335305;0.124561729456797;0.177730866966945;0.113144845682322;0.604030397705545;0.439041135417091;0.0479449740804267;0.169091352469247;0.232273579110475;0.0938749943977019;0.0771357960865054;0.281004416728995;0.110124893915371;0.110617819703413;0.197926988709107;0.999660260472782;0.311928117963641;0.257375902193244;0.438088797931959;0.377305262442443;0.221502149527192;0.369793888373509;0.120384016736378;0.0734903676592791;0.258216119964257;0.224002751322451;0.258061444467586;0.427841295379755;0.146669329438319;0.386855992995968;0.990668462761013;0.263524321750723;0.0329311868901822;0.157400376469384;0.133494283134322;0.0427292697362847;0.417822198057886;0.462244464977147;0.0729679419538336;0.208532255250999;0.247196087717073;0.0601189339941393;0.327207620803927;0.0788781950395075;0.0484467338777728;0.0680950913215023;0.307919110618747;0.634026344005069;0.0640416717496247;0.160833943870516;0.460862441121497;0.0365964009870412;0.276503417549569;0.465638276569184;0.104339165803484;0.845768555032848;0.21906850646456;0.390538511331325;0.103631880804019;0.427750599186638;0.354512581557032;0.538528443628843;0.354945093873845
"Amazon8";0.46173531251491;0.236073838113368;0.0602895649003154;0.0430758652922176;0;0.0526193554489524;0.484365588483168;0.616124813795467;0.993175050529414;0.739270670435192;0.0509426473578268;0.314757461564734;0.129337515184115;0.206063274667405;0.083990512487116;0.239393994429906;0.434241635811604;0.240349649485704;0.313914241513285;0.216741740742327;0.112209507064646;0.695384646614065;0.593204011759332;0.325739412543649;0.799732604058699;0.708142906393467;0.169653388291184;0.297030621230261;0.292984190290144;0.362887803060614;0.246506086386516;0.304323500580561;0.0833943445049496;0.467373133405644;0.544097497090719;0.109673741517362;0.162093845413214;0.118522078327606;0.591552945679656;0.423338436379729;0.0548848060192564;0.158842869105044;0.209975563338054;0.079319553997936;0.0927695981933073;0.26874709668135;0.107968399849601;0.0993553144262981;0.190414297275061;0.9996460795663;0.29444384166175;0.270566043551648;0.421088025931024;0.356250602594551;0.239794695365046;0.382209853145812;0.103288545126041;0.0820827395388559;0.229302760952881;0.240029425222605;0.274233854326317;0.423411022765352;0.141510427353072;0.372501866814846;0.990281960617406;0.253362029836086;0.054237904465861;0.147386577072148;0.123084294458934;0.0411900378400237;0.400913905171929;0.445867020552709;0.075577808136163;0.19096628200436;0.252071074950416;0.0385392894985298;0.308222161421854;0.0940549237140151;0.0454082144289997;0.0969875315671397;0.28678847199934;0.621839888572596;0.0637347678327981;0.154538755296744;0.450579280149225;0.0557340966715645;0.276976045240334;0.449854188885705;0.089340980691904;0.839707654613611;0.215754657440178;0.376630847112263;0.1098946031636;0.415045121798131;0.343911112645694;0.527217223737611;0.347483059048203
"Amazon9";0.457920421109286;0.265072487067442;0.0616989554787655;0.0443764931230928;0.0526193554489524;0;0.486366197876002;0.599901760776164;0.99311958520132;0.737880403300283;0.0710036469208603;0.336070083910622;0.134550249990595;0.194446604941584;0.0939795020353896;0.237561257232074;0.438693463094873;0.248977564890474;0.315631349045125;0.19804505427095;0.126478953441088;0.696547583114865;0.59324953222658;0.317752862432617;0.798300584856384;0.708858707309944;0.195395027317808;0.319461025500773;0.311741964994139;0.356453796543321;0.249697684006271;0.323287024504843;0.0969156732678226;0.478215909173551;0.542557715148703;0.122365958960294;0.183280006016694;0.137376999547574;0.5902826892785;0.422910746692427;0.0482128128872505;0.175802006239987;0.224978803310224;0.0798172075617041;0.0914204175625081;0.256550635642651;0.127050891854227;0.0916023986677034;0.180008938369124;0.999643535085673;0.297320106868225;0.281511230323141;0.434503642406585;0.357398623502854;0.208649977346339;0.379336074832882;0.126641672129132;0.0816572605800419;0.244894476529643;0.22313034824024;0.258360442761882;0.423071416433735;0.131534715446429;0.392353500221756;0.990203099152136;0.26961228739429;0.0463009592234742;0.134434035054314;0.134989836379811;0.0722817287089812;0.403975106326246;0.454192749600005;0.0887064637240817;0.189742673254667;0.237418042140674;0.0717320165839456;0.313918647739888;0.099024302173161;0.0602424121853127;0.102337459448957;0.299573760363608;0.619138185438729;0.0940779964426904;0.145914676252007;0.450570547377918;0.0490043904559853;0.273127840896536;0.448104594511311;0.122031169453225;0.841684645837376;0.19815244102025;0.398519102332998;0.137485829627727;0.427023079802307;0.347882714239403;0.526583232046727;0.333385783286898
"Andira1";0.342860710898134;0.372710342981148;0.491732573218626;0.496580807819877;0.484365588483168;0.486366197876002;0;0.467590238581546;0.981531846731886;0.436893430503841;0.494221983003295;0.328578797637801;0.516355622337409;0.364664699513338;0.5278706735287;0.372469211907578;0.176826773025002;0.362401916009898;0.333558711822517;0.353802797649689;0.522001675113207;0.348835983384924;0.245633145934668;0.308486236440891;0.52661087566411;0.361702826236529;0.456643994866893;0.439535363716791;0.332404219837426;0.357514802876314;0.379026923181308;0.330303626097068;0.489550737960555;0.219935285388203;0.436063254537852;0.502657068659043;0.401068225809008;0.501906722154261;0.254248327319817;0.283096806823383;0.475291410686599;0.44659690441339;0.332218885889484;0.470422329280028;0.538501569730959;0.34839733187678;0.521897942247095;0.502057368776608;0.40925334523737;0.998995210733534;0.342142295813204;0.414837402626219;0.36526360128403;0.347603392068793;0.383501437679725;0.400790718474675;0.49284344186495;0.539930902458424;0.385884427620912;0.399213312347608;0.399199768162421;0.254895049850758;0.415399388084082;0.346146625284245;0.972527010731103;0.388882981749287;0.503208449320395;0.418275586059466;0.486472414535509;0.500350463316837;0.387806019848046;0.353764021316609;0.526732502680556;0.365398489190858;0.334238139891112;0.476360783307326;0.29076942209995;0.523266657191726;0.496518634878646;0.524867403243341;0.312101709653262;0.417522633623265;0.481398485946133;0.420231233067814;0.455796522458115;0.49011878940173;0.337475829798383;0.331755243892545;0.503205587752825;0.625050614101991;0.401038063821975;0.3803614583471;0.519202653554175;0.349902676612699;0.381205759415428;0.357496442738442;0.426250152671499
"Apaporis";0.629143897550253;0.48782446827913;0.603081646174832;0.615328227092692;0.616124813795467;0.599901760776164;0.467590238581546;0;0.975016376292806;0.506800473429503;0.612260829576459;0.44559435965201;0.628914245480583;0.493303652592022;0.636408381263715;0.479966631182209;0.524244242115501;0.486694181882421;0.454338776394301;0.471144399564249;0.638909219679815;0.454314276173234;0.466871616166273;0.411516293179803;0.494007027574626;0.496156068953756;0.591773533244236;0.514998212091984;0.464106485895843;0.400544664070878;0.511152929025853;0.428560412826774;0.617425378530744;0.534010964052111;0.286041038892927;0.622593788155731;0.549271507390415;0.625098435019228;0.462011786244486;0.426706542071571;0.589398021029406;0.575036049880583;0.603894911362684;0.587105528537415;0.646361598346589;0.453935723500779;0.639083277069594;0.616852209545832;0.538689931181678;0.998632475824771;0.436599009769524;0.524042138909448;0.448338847003738;0.398310138169639;0.470115405550495;0.400237131942003;0.619914838887068;0.649277025239826;0.513240239211505;0.507449133502662;0.486492468178249;0.453179055944126;0.557676275328635;0.495746902604922;0.962033261293324;0.490142701469126;0.618596445856913;0.547303968121547;0.608279085835086;0.626231506518455;0.409752597930096;0.432297476583163;0.632920369167359;0.515685870709452;0.437110090477267;0.600945562778416;0.61774362976504;0.63660380924842;0.619089119081059;0.638101193686213;0.43315267627586;0.264795683314975;0.6129251202233;0.541874872390778;0.418614779589287;0.608157775730818;0.42079969229162;0.310090553304333;0.629486057248859;0.642916894911626;0.49679113263661;0.510585471190948;0.64033390034029;0.401354470833485;0.492596357622287;0.258874942794601;0.408023382994744
"Apurimac1";0.981911289563774;0.988984664084986;0.993172611879383;0.993446868659996;0.993175050529414;0.99311958520132;0.981531846731886;0.975016376292806;0;0.959040632028411;0.993180933675824;0.988882247875101;0.993559034000361;0.990282103117308;0.993884470947821;0.989557312761001;0.982788381704458;0.989831886606872;0.987779902009582;0.990035862235254;0.993688241758849;0.966685661489816;0.973535854634526;0.987103194438651;0.959617268523312;0.967495839754792;0.9926672528454;0.990046911582476;0.989479060923476;0.987626815875979;0.990611899620116;0.988449343921742;0.993282620872315;0.981354105685511;0.979430629348013;0.993289249467416;0.991278295025772;0.993338198635158;0.976161924642909;0.984187196974863;0.992892441450289;0.992327707189456;0.989568938825172;0.992346536401431;0.994087292820493;0.988612212178914;0.993679758849918;0.993225981963733;0.99138446308806;0.970531156667295;0.988378864227969;0.990368209324456;0.984192939978345;0.985681433906177;0.990375071967963;0.98721841016695;0.99317252860364;0.994146231412814;0.990421124765235;0.991062080916364;0.990477380499356;0.983727806789192;0.99151299177056;0.985994712616623;0.743003745956995;0.989733507874025;0.993515526707905;0.991194420977031;0.992851031708656;0.993488952361491;0.984115683667217;0.983082174985438;0.993812566377038;0.990392778003065;0.989885085191312;0.992825631928075;0.987332132598966;0.993867206301915;0.993370038559565;0.993916760003005;0.987766862999337;0.973383728475695;0.993110687242859;0.991727434716411;0.983479930099018;0.993295344983079;0.989392879042668;0.982156728323012;0.99340783751831;0.932957355988356;0.989953205458239;0.986215397121309;0.993684540998443;0.985348953153832;0.987807825994013;0.982231275220427;0.987426127825249
"Arinos";0.546098114482492;0.612289556326857;0.739276976190989;0.748375785945436;0.739270670435192;0.737880403300283;0.436893430503841;0.506800473429503;0.959040632028411;0;0.739962465845324;0.577480701087795;0.752815367518739;0.648824518931316;0.763236662428924;0.634943092105941;0.469032987073923;0.634688474096593;0.5814702972587;0.640638147474837;0.756762078551588;0.264769517200295;0.323070522513013;0.581532010756465;0.375255004492216;0.300761095052607;0.722534517317459;0.649871840704632;0.599296615747702;0.563355040875976;0.658820385992774;0.575055182306776;0.74201874120274;0.418638678594669;0.485461712369003;0.743098370624138;0.678229167376191;0.744829118526095;0.270687157339521;0.503857923458767;0.729922252103899;0.711488301608977;0.627082271894644;0.71889841560788;0.770245083084951;0.614103019778179;0.756747988444953;0.741654198861741;0.682366580161016;0.997679022950414;0.590459880609306;0.655279748289365;0.494753983900491;0.541351701465329;0.657573047638681;0.568010159495495;0.739346541111789;0.772243043963677;0.660402278286654;0.67474504534338;0.65728337638875;0.472866894747415;0.686286502813075;0.538199977491543;0.940938517629451;0.633671519575618;0.750708533111271;0.679847359258359;0.729294026255837;0.749802741833028;0.51155948776824;0.477047213733135;0.760824661234413;0.658623565309036;0.617722694497619;0.728580992276647;0.564749467517521;0.762651580372482;0.745800820766821;0.764363488644056;0.577778516729194;0.406600091213538;0.737143473049285;0.684208631271681;0.56986742982035;0.743309904155625;0.603568075260668;0.480584587592853;0.747195866952488;0.374376402204157;0.656462049464542;0.550485364427911;0.75680279356584;0.508846412219206;0.576074203606814;0.471466757457122;0.573693199981402
