"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.135142034661995;0.0475937573551509;0.021766487242839;0.0227166161584724;0.0227166161584724;0.0334206195165395;0.13636474224032;0;0.12733314475268;0.0914632128897731;0.0472923319886125;0.0711711253520454;0.0409305625698395;0.0243342524075056;0.0152329127173841;0.096677621398192;0.0444415514676635;0.151767645003204;0.0381480461173888;0.0445734123068559;0.0572483989171592;0.121188123322733;0.0722262563649885;0.0275736176834149;0.0328661198565752;0;0.133644894202114;0.0969570964401382;0.128117431827224;0.0393182469142809;0.0922379379292281;0;0.104980064855558;0.154067773929094;0;0.0199414402844934;0.0355895643605091;0.129242341238688;0.0274835835261516;0.0227166161584724;0.0604897863209041;0.0457087973395696;0.0674673290967394;0;0.0973709822070336;0.0349805443888465;0.0378182689018529;0.0522111739668592;0;0.0745096153006038;0.112847906513884;0.0859853274592163;0.130810385554329;0.0684858081380001;0.0415988001342137;0.00844398864851599;0.0227166161584724;0.0152186116698438;0.030887125913832;0.0330967709913116;0.0833819589440184;0.0630274495123636;0.0765024260943806;0;0.0935810479867757;0;0.0422089064779106;0.0637998603425532;0.0166764281158258;0.123499359189465;0.120499480411787;0.0355895643605091;0.116229913567423;0.0632472002205555;0.0434413529913096;0.042695076551109;0;0.0112800373154731;0.0227166161584724;0.0914632128897731;0.13534402147641;0.025887313817372;0.0794251434902424;0.0607673156726062;0.0268465341278497;0.0268465341278497;0.146230402835615;0.0155402763726551;0.0419141302694499;0.0447359756710141;0.095198491048405;0.0463203902282943;0.081835174605608;0.129028844558228;0.122808937058564;0.0822788897253057
"Amazon1";0.135142034661995;0;0;0;0.0108272912600326;0.00640929617626538;0.0343671333974857;0.0336489268458979;0;0.0690925977099264;0.00574639122038562;0.0436672290709889;0.0335356089842769;0.0282726353917194;0.0108272912600326;0.0249477125330473;0.0609047240953709;0.0441464886008378;0.0273315418372552;0.00650822368571245;0.00705900555105082;0.00604875022620296;0.043675552252214;0.0800108568272827;0.0658316632103229;0.0409785539259186;0.0145219869164347;0.0560004301411255;0.0436672290709889;0.0626822020255163;0.0322873995143645;0.0436672290709889;0.0108272912600326;0.0687619789982197;0.129953140509005;0;0.00317355579240031;0.0238607953381651;0.0665210103750548;0.0484250538083486;0;0.00689257304403265;0.0353392751822127;0.000866407909022848;0;0.0956195449956443;0.00640929617626538;0.00640929617626538;0.0222236510326083;0;0.0504208084479007;0.0581836379556055;0.0475586388609247;0.0226804342800572;0.0403780676822329;0.042597993397942;0.00705900555105082;0.00713476719628229;0.00928117469544244;0.0132639263961728;0.0941705420944222;0.0744562166669287;0.023397979556144;0.0859382825154077;0.00106503925536719;0.0495381636541516;0;0.0588499039598016;0.0404011634608359;0.0108272912600326;0.021075186856347;0.0381748115858611;0.0108272912600326;0.0497664653410399;0.0238607953381651;0.0108272912600326;0.0241917879762874;0;0;0;0.0417542511003655;0.108612046283076;0;0.0278538608710137;0.072017633313752;0.0186799318905172;0.0295904938821221;0.126155503859681;0.00360747963126999;0.052585220814695;0.0436875532654104;0.0573330879968776;0.0108272912600326;0.0703343782453735;0.0597707423896145;0.0722525124396017;0.0369848240921092
"Amazon2";0.0475937573551509;0;0;0;0.0141431473967527;0.0199227767063806;0.0619744628470371;0;0;5.89352069973394e-05;0.0232724743699452;0.0359604432971422;0.0183975037546226;0.0312369757319;0.0116283239363348;0.0299044761260821;0;0.0296207692816036;0.000962350512817142;0.0341152758625135;0.0234721833349207;0;0;0.0305666306553039;0.00379813291877763;0;0.0173276939880455;0.00100141878239382;0.0229725527364892;0.00246996752771722;0.0317201459554981;0;0.0141431473967527;0;0.0439804842258475;0.0126995704265191;0.015117881016206;0.0218534378311394;5.67416719891277e-05;0.0243564444558868;0.0126995704265191;0.0212760312290427;0.0227056098435231;0.00431374158387988;0.00417607096544419;0.0301428542962849;0.0250629173330526;0.0267700728512052;0.0501219204508874;0;0.0272912345157945;0.0168139250677857;0.0247108168986262;0;0.035230387565506;0.0319051630102337;0.0143193435599301;0.0109604725531267;0.0145126743023857;0.0361288874302596;0.0539957695939201;0.0196169515754923;0.0258577295532233;0.00249815792912855;0;0.0170295978142813;0.00417607096544419;0.0262448490602338;3.65292296731121e-06;0.0141431473967527;0;0.00044675204430872;0.0307419957999233;0.00593238047485605;0;0.0292511787840312;0.0334374755194905;0.0196061494492071;0.00329219386660034;0;0;0.0335947084166031;0.0174635978911337;0.0170029152618903;0.029830638912887;0.0288040237465356;0.0291154292853602;0.0353091502460428;0.0117051490051136;0.00642580425329449;0.0285222411101067;0.000412864582093796;0.0103345519495786;0.00132568784225898;0.000971884822748499;6.38694920117497e-05;0.0178946940566507
"Amazon5";0.021766487242839;0;0;0;0;0.00406288494479062;0.00269264568825103;0;0;0;0.0113912362578175;0;0.0169485913023608;0.00215913933303628;0.00768575658220052;0.0189965815616835;0;0;0.000962350512817142;0.00364786185917966;0.0206987286674411;0;0;0.00140137930901253;0.00278705294870279;0;0.0265580081282835;0;0.00893775277501902;0.00246747530215526;0.00215605769026993;0;0.0245226961425605;0;0;0.0340641850197006;0.0226734751043159;0.0204513151015232;0;0;0.00662979367800363;0.00976305408842786;0;0.00431374158387988;0.0375173592191678;0.00230812777083277;0.0243167855795773;0.00413679968377074;0.0233140934577725;0;0;0.00119027453988978;0;0;0.00448336085905467;0.00220532528416251;0.0161045679233236;0.00203261729766379;0.0194306370455076;0.0121132620370999;0.0193324784951615;0;0.0243971357995189;0.00249448772680935;0;0.0148366196826161;0.0231883075254871;0.00124340976440251;0;0.0113074591791963;0;0;0.0256193113612099;0;0;0.035568272838692;0;0.0218953499376681;0.0120048931386825;0;0;0;0;0.00682300355801023;0.00214972713481013;0.00149206738445724;0;0;0.0199481381815017;0.00426371867256714;0;0;0.00791942468908463;0;0.000635528228998518;0;0.016439609788836
"Amazon8";0.0227166161584724;0.0108272912600326;0.0141431473967527;0;0;0.0208769140471348;0.0561088297561399;0;0;0;0.0217044337751866;0.00975497511031048;0.0206587501489472;0.00436445879867567;0.00161943326515331;0.0172672733255717;0;0;0.00284247459263041;0.0145768054163008;0.0496132667740631;0;0.00460415603562322;0.00266311996989818;0.00754179840610737;0;0.00521007127777795;0;0.0101586719177586;0.00498772549238975;0.00530841151747408;0.00363051821555991;0;0;0.00899910772460507;0.00769016220335846;0.0135634784462447;0.0218473674438304;0;0;0.00769016220335846;0.0135796546736355;0;0.0134599995194721;0;0.00451185713338001;0.0358213355379498;0.0140651542216648;0.0345652642452703;0;0;0.0188028943689631;0.0241931372373072;0;0.0145581844387424;0.00445781853590218;0.0210814358014271;0;0.00520666000928889;0.0227430128486482;0.0219970138425676;0;0.0357721426688768;0.00262475931593326;0;0.0163407222153048;0.0111934732869154;0.00328321238284207;0.000190221191125773;0;0.0135064334520351;0;0.0269870325440774;0.0109843145792078;0;0.0369199852558705;0.00467141162407315;0.0239589128276119;0;0.0111934732869154;0;0;0.00914509668094646;0.0130514849453583;0.00214972713481013;0.0115176947972358;0;0;0.00799595993967987;0.00626347031861493;0;0.000101351604386531;0.0132446424955096;0.0052494241960969;0.004698633347728;0;0.0201807507611227
"Amazon9";0.0227166161584724;0.00640929617626538;0.0199227767063806;0.00406288494479062;0.0208769140471348;0;0.0618440158485851;0.00577858105107107;0;0.00907264395239376;0.0305470718165313;0.00656009790613441;0.0231210912837874;0.00676218734327902;0.0147689419325533;0.0332765082009934;0.000351013976922751;0.00680321900380004;5.11532068522947e-05;0.0110686959967153;0.0494306827414262;0;0.000336553410542378;0.000794395534224923;0.00334172121886834;0;0.0229833748407702;0.0129722654349842;0.0186263053112622;9.56158811412433e-05;0.00675253597646252;0.00605547930477631;0.0218618135903769;0.0217444187095401;0;0.0127735608804565;0.00703954341003689;0.0413796603830428;0.00873496528557447;0.00789846684172793;0.0127735608804565;0.0285582059278272;0.0202996355334814;0.00815541402175058;0.0093282872390575;8.72115465181768e-05;0.02992390301251;0.00835617360574454;0.0282893114533399;0;0.00760707501784762;0.0261540895895607;0.0402726250943665;0.000301323776434517;0.000921489000197416;0.0059560874475649;0.0253304490186594;0.0167213474796629;0.0196368470895633;0.0156578621941791;0.0241313340544314;0.00810581429559444;0.0310700721366953;0.00249448772680935;0;0.0242358019440715;0.0184381888528673;6.03260458485713e-05;0;0.0218618135903769;0.00745846279711729;8.22723850514662e-05;0.0404076032525874;0;0.00736089726108459;0.0579183842919443;0.00971584208394224;0.0144680502182707;0.00787230855276903;0.0131727865586004;0.00859015747538461;0;0.0132558830375707;0.011913612706334;0.00677696556146723;0.0188160338690743;0.0112851214400244;0.00497760750096803;0.0195105304280696;0.00626347031861493;0.000630119808952506;0;0.0301774075571569;0.00912061443643911;0.00609738794554377;0.00533340964211587;0.0226687209885145
"Andira1";0.0334206195165395;0.0343671333974857;0.0619744628470371;0.00269264568825103;0.0561088297561399;0.0618440158485851;0;0.0214948543111764;0;0.0165227234180615;0.0638804977032121;0.047702291596032;0.05591018161884;0.0416802449295788;0.0564582649417377;0.0677382604869533;0.00646086091372232;0.0336613709082728;0.0130781161316969;0.0470199762900613;0.0667185678496163;0;0;0.0308863309710619;0.00420007718723888;0.00267585115888732;0.0576740782176126;0.0343146200658436;0.0500356834927985;0.0320508868253953;0.0434804084841674;0.0310400045714103;0.0524674989556188;0.0206251372876492;0.039832798663817;0.0516022879391157;0.0516022879391157;0.0680212036678458;0.0159077570151792;0.020522937424684;0.0552436187396368;0.0745584051151866;0.0205041511717075;0.0567322932670163;0.0479270473115612;0.0450329017732693;0.0744647873659484;0.059187015968415;0.0778587946124987;0;0.0384889604412024;0.0311877028395747;0.0170133732279984;0.0129557427862973;0.0475652126734657;0.0419879181420443;0.0344802034567622;0.0557858902292632;0.054408324242474;0.0725385347758204;0.0651107023126227;0.0154909986919723;0.0584188794727674;0.0100426942265621;0;0.0490111030853548;0.0479270473115612;0.0369732683353008;0.0415423387261772;0.0559877096572975;0.0296281261411788;0.00913923042402377;0.0826077378460607;0.035673834517456;0.0399122396813244;0.0885504389814129;0.0345178671444171;0.0622513209194644;0.0492558323370311;0.00364133080052092;0.0226797738708629;0.0298167241139558;0.0582861599412055;0.0529566111463275;0.0325324291223844;0.0604544660183731;0.0423327364885699;0.0337754616094173;0.0282474921343226;0.00853832639451125;0.033716129040209;0.0078749834794123;0.075656371711413;0.0300481560761134;0.0264016889455352;0.0196446792656484;0.0548551078745044
"Apaporis";0.13636474224032;0.0336489268458979;0;0;0;0.00577858105107107;0.0214948543111764;0;0.120690791229158;0.154814820303808;0;0.0186767912598262;0;0;0;0.0145725479897684;0.0488920270583619;0;0.0356548994256119;0.0166440082410418;0;0.12585717772924;0.0696368524352012;0.0369284050694639;0.123097900843992;0.170291817373941;0;0.0220676094929847;0.0186767912598262;0.0220778265409595;0;0.0186767912598262;0;0.0703529937420068;0.0369856760505912;0.00577858105107107;0.00577858105107107;0;0.107347163754457;0.0238652077226096;0.00577858105107107;0.00069843917910962;0.0223948202679438;0.00729947302814461;0;0.0506233543557802;0;0;0.00123469202440477;0.249847833485548;0.00609515819412033;0.00604489080285369;0.0274588408059369;0.026300198751881;0.0250025934582986;0;0;0;0.00376923499942489;0.000139280131098889;0;0.0414151921544142;0.0221111707289482;0.0769036374987032;0;0.0152248048411205;0;0.00897536515559121;0.0166440082410418;0;0.0183343416231816;0.158309925272013;0.00577858105107107;0.0181652792691907;0.00609515819412033;0;0.024656481382033;0.00609515819412033;0;0;0;0.0450581569556528;0.00577858105107107;0;0.0307809798542435;0;0.00577858105107107;0.00167353561359158;0;0.196335655914155;0.0213467404957665;0.102708493686241;0;0.0578804184280087;0.0944368891303292;0.000343204978455286;0.00195294345079063
"Apurimac1";0;0;0;0;0;0;0;0.120690791229158;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0019049109125064;0;0;0.0768843383597919;0;0;0;0;0;0;0;0;0;0.00045966268943028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.170776257080921;0;0;0;0;0.00567886759978664;0;0;0;0;0;0;0;0;0;0.343369060875191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Arinos";0.12733314475268;0.0690925977099264;5.89352069973394e-05;0;0;0.00907264395239376;0.0165227234180615;0.154814820303808;0;0;0.0090221615645005;0.0307621310076701;0.0265470903272529;0.0140759086697854;0;0.00634285021732088;0.0470483868781803;0.0140956173637974;0.0651272981469795;0.0216115525233982;0.0123650621334011;0.05672369236738;0.0553798439762918;0.0684879539803129;0.0679449686802429;0.0482034162536107;0;0.0488338889817444;0.0397842925721706;0.0916911184765838;0.015989140807404;0.0340705374927864;0;0.0239043327903948;0.202169386561189;0;0;0.00505487942144361;0;0.0253465276291121;0;0.00595431611158166;0.019520977639828;0.0106662568427312;0;0.0907743430430625;0.0130169270542457;0.0139189246804283;0.0296239032772495;0;0.0176937074214098;0.0517610818190729;0.00791477650999261;0.105478773802184;0.0738827426461841;0.0344025972211385;0.00703436024028814;0;0.00121643974123907;0.0194887376345068;0.0921752887687395;0.0222605416283296;0.0232583688239624;0.0457647418322963;0.00709082486399435;0.0328501129397575;0;0.0785511281513751;0.0379023210388802;0;0.0333009999137191;0.0777049541387585;0.00505487942144361;0.102176162067785;0.014848003660019;0.00971765138980604;0.00484628072803456;0;0;0;0.022475513382328;0.211420338778626;0.00173566909613193;0.0109788730925114;0.045831244377011;0.00947759466491828;0.00947759466491828;0.190226045675409;0.00125066161598662;0.0425141958236999;0.0447532002875332;0.0833570633375869;0;0.0183719990696809;0.0712915596519139;0.14673962680864;0.0341685725584152
