"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.157215807780179,0.070370563206343,0.0155073140754025,0.010602588339467,0.00849459741388566,0.0536238951924559,0.0140192135001202,0,0.109888201213388,0.0673314977043506,0.064547049117927,0.0741617392154688,0.00989379910918675,0.0523437920387848,0.0357824148375038,0.073709040135105,0.0318006951169806,0.146656681900464,0.050907074570619,0.0623984329953696,0.0576778591419713,0.104866094506965,0.0726525027344263,0.0201161655077659,0.00523561508086903,0,0.104222071646971,0.105719227289614,0.120478146269,0.0024576414458279,0.105130009405118,0,0.132414839713483,0.0325338134059623,0,0.00607786565688821,0.0668073430132778,0.109931903704585,0.0387499976728576,0.00467430400836941,0.0668396401492844,0.0444270612480917,0.0723188096061196,0,0.0836871584642961,0.0661072842783161,0.051607928571703,0.0182864276226518,0,0.0228453368417039,0.100618416870179,0.0916988144186433,0.0806960883359249,0.0479097305821223,0.0452264761974493,0.000642022051184586,0.00979514538927525,0.0291415064155567,0.0483115400409085,0.0196307359309703,0.126474480925386,0.0727676623283188,0.132829425214201,0,0.103750808322661,0,0.0347830285286318,0.0986698564141531,0.00979514538927525,0.13804226330726,0.115182123926557,0.0643882268604055,0.109134917832249,0.0924642082862872,0.0771765723462267,0.07679599830589,0,0.0109508778609794,0.0155101119288696,0.118276749929011,0.0353119188744697,0.0215701306180581,0.102054567137598,0.0329486140147514,0.0259154921815626,0.0259154921815626,0.0524707687634266,0.00783827294681326,0.0297898396178552,0.0601524319991846,0.0992397447885127,0.0739953060320883,0.12059929164461,0.120533725589329,0.0390136756773399,0.110487487237925
"Amazon1",0.157215807780179,0,0,0.00134705713498201,0.011605632043753,0.0276529999213618,0.0906217746843949,0.0293709744972426,0,0.00960853370121931,0,0.0983232662786773,0.0336229145542432,0.0614188275693872,0.0289853113062349,0.021218637171038,0.0460893330649545,0.0526033703800601,0.0436537541528335,0.0219612189522593,0.0247218394213728,0.0021818849066839,0.0182427031012591,0.0622120395581895,0.028708074827368,0.0607392226896191,0.0140436084656256,0.05903149731959,0.0864179506440936,0.0700574857659545,0.0450287792698051,0.069188730850536,0.024858209576623,0.05489516505844,0.15399901638283,0.0138399019922101,0.0446888196233189,0.025925162084081,0.0313745123068015,0.0513852402766589,0.013866042752327,0.00160167972678472,0.0272460617104106,0.0446626788632017,0.0151869591271921,0.0793937825689087,0.0244260225618138,0.0423749269425705,0.068553807883455,0,0.0656272084291417,0.0774411961672603,0.0680167741130067,0.0447128303592588,0.0318249317362011,0.0792174120572007,0.0248610647739725,0,0.0117930373386632,0.0413472895368306,0.0939798308846208,0.0986574769910476,0.0316451999010031,0.0603377365402139,0,0.0872059798169847,0,0.0780845815854633,0.0519669886259909,0.0254455340359631,0.0179209859680856,0.0449929915118707,0.010324337659304,0.041357571860151,0.0580949960900545,0.0160774600715123,0.0320049786968813,0,0.0138399019922101,0,0.0654079672685345,0.167152948107444,0.0446626788632017,0.0680012646246818,0.0669078357266842,0.00560133566142169,0.0626208254151365,0.152273086680157,0.0171277125527981,0.00246910644292009,0.047799806273229,0.0365667543615565,0.0188463169349666,0.0569056673898287,0.0037463572079235,0.0357418494806656,0.0930577037836533
"Amazon2",0.070370563206343,0,0,0.0204953201480228,0.0231344372554322,0.03017504736063,0.0940113587645944,0,0,0,0.00501059578700745,0.057285604639376,0.0146768639151329,0.0691096170704934,0.0639064162221034,0.0645688233484203,0.0254743008998606,0.0709871947231096,3.72169313370632e-05,0.0707839987833257,0.0235492507676066,0,0,0.0883247957554085,0,0.00698013930093942,0.0180317784858417,0.00624001575471784,0,0.00445268223346639,0.0497292537475292,0,0.0262128601577455,0,0.0919696735183509,0.0121636899082728,0.0651080553642095,0.0165496834633577,0.0019145682051917,0.0809502377468288,0.0178888085293577,0.00951856882410208,0.0745455708543515,3.37948456707792e-05,0.0171098304465199,0.0784433958898295,0.0191530287198378,0.0823061956319396,0.089231295511112,0,0.0763481524873231,0.00616840809665851,0.0042525541563147,0,0.0784010959818442,0.0737891197975665,0.0273425291775399,0.00380645323753662,0.0461447616966676,0.076496543117955,0.0877955655583759,0.0651462340470008,0.00680272373800329,0.00630252649172564,0,0.0145791401731692,0,0.078170555743624,0.00854007880638734,0.0346892860116916,0,0.00677241683045511,0.0155091209283595,0,0,0.00799471650384285,0.0722574573978742,0,0.0175231292182485,0.0155558126749141,0,0.0980754809649952,0.0635876730384585,0.00735651226039426,0.077202325157472,0.038232739427539,0.0721864994473189,0.0901791075722911,0.0264384295269411,0,0.0771233518855743,0.00383186880810748,0.014170219096756,0.00497901553129074,1.54881869823539e-07,0.00376933261987756,0.0114222008884806
"Amazon5",0.0155073140754025,0.00134705713498201,0.0204953201480228,0,0.0115379500692699,0.0183859777961083,0,0,0,0,0.0243305612197212,0.00401439206844476,0.0195398411380001,0.0079887883538797,0.0140270091797482,2.96323600946435e-05,0.00398013868501321,0.00637807883895979,3.72169313370632e-05,0,0.0315961855135505,0,0.00832452357271081,0,0,0.0086633002453768,0.014709597199517,0.000399713072220689,0.00577564374510059,0.000375014846434988,0.0263605623497058,0.00408236232815344,0.0316062676416266,0.00405319562886045,0,0.0113622510515891,0.0232165249174387,0.030728063466997,0.00157934238257825,0.00470726385383925,0.0158138657170883,0.0160121848842236,0.00204365646373932,0.0199828444274939,0.0113622510515891,0.00579844324866154,0.0263633562126309,0.0046302505484675,0.0264728233077213,0,0.00911581379152562,0.000465558298011416,0.000410992828227951,0,0.0034144371461941,6.06591247660481e-05,0.019982715639817,0,0.0119946530801189,0.00642840130164475,0.00556951866343392,0,0.0209885909621733,0.000415035593200602,0,0.0263621169129968,0,3.14145031947915e-05,0.00296935695263348,0.0107648285888736,0,0.000424341478229592,0.0352579140949331,0.00334546540999921,0,0.0239680535979059,0.00129543802017961,0,0.0120353257737379,6.19602702062719e-06,0.00551591221752773,0,0.0048140297679343,0.00558855309540374,0.0091840753104851,0,0,0,0.0200762091934586,0,0.00663327124570895,0.000311083483723896,0.0221005183102753,0.00396745346361712,1.54881869823539e-07,0,0.0201063157619244
"Amazon8",0.010602588339467,0.011605632043753,0.0231344372554322,0.0115379500692699,0,0.0281295021206831,0.0228989156659187,0,0,0,0.0295482018634912,0.00401439206844476,0.0244872387320675,0.025205438780758,0.00457338269355643,0.0245148656308639,0.00398013868501321,0.000273870624897027,0.014432397922632,0.0276293592621165,0.0342196032092829,0,0.0143524578041877,0.0122583734300799,0,0.00781385901073275,0.0131741349480972,0.000399713072220689,0.00577564374510059,0.0135152351418847,0.0444375473314133,0.00408236232815344,0.014395315575845,0.00405319562886045,0,0.01208763570763,0.0403395081837294,0.0193827014926519,0,0.00470726385383925,0.0137948200828847,0.0193899149175657,0.00204365646373932,0.0227531613236041,0.0124717391217071,0.02626970470899,0.0325228356645169,0.0318351372823187,0.0459659578270042,0,0.00481523901516392,0.0137841679905109,0.000349902253377244,0,0.0293295375467501,0.0261557200600166,0.0217349114462527,0,0.0151623507122892,0.0248259028249092,0.0155084993227518,0,0.0256081182019266,0.000415035593200602,0,0.0139225084191024,0.00094369930873338,0.0259892334672363,0.00147316740134703,0.00101394870261974,0.0124678814104823,0.000424341478229592,0.0241460646954758,0.0138528768224881,0,0.0124847116487188,0.0282044993802077,0.000559595894656252,0.0142882506646611,0.011544236503697,0.00551591221752773,0,0.0316475286459691,0.0191563234496571,0.00497317660561311,0.0144537880910355,0,0,0.0213128442805316,0,0,0.000311083483723896,0.0113434889593091,0.00396745346361712,0.00846838220937739,0,0.0253109838497457
"Amazon9",0.00849459741388566,0.0276529999213618,0.03017504736063,0.0183859777961083,0.0281295021206831,0,0.0109021132399904,0,0,0.00670489981764653,0.0384443269218487,0.00677300323364526,0.00790936929291524,0.0032005258259054,0.0331749453690433,0.013307735030273,0.0156973502512065,0.00266674048541619,3.72169313370632e-05,0.0136725813272283,0.0227624996530741,0.000361078793708902,0.0254280186076776,0.0120605964717693,0,0.00698013930093942,0.012323653081445,0.00716783413076885,0.017384680225873,0.000375014846434988,0.0171020246266494,0.0175848814599001,0.0283959256675419,0.0188169806627122,0,0.00023625512248481,0.0162863603178307,0.0273760256858318,0.00691663716819879,0.0198026718052453,0.00550806465868635,0.0277375970561079,0.0120678144425099,0.00618191804215321,0.00386271320799932,3.15241498203872e-05,0.0164033102680281,0.0046302505484675,0.0135832364133904,0,0.00987469908361677,0.0021729385637459,0.00537198716101213,0.0102530965718868,0.0149156205861485,0.00213946288877417,0.00400676328432053,0.00416309774796922,0.0267891810941479,0.0145159356113697,0.0030593390504568,0.0167243805963343,0.00671137040352327,0.00770540631883379,0,0.01466731627104,0.000530673184574352,3.14145031947915e-05,0.00562780908793308,0.015804787346171,0.00850241933749998,0.0107470336140042,0.0440661288171543,0,0.00876425441172577,0.0333862053526888,0.0127808953408651,0.00023625512248481,0.00621907625096022,0.0150594774555868,0.0180733109971482,0,0.00930183403837478,0.00318464196681917,0.00478433412388933,0.0263712489410901,0.00812481805288312,0.00288722082230526,0.00960178785955951,0,0.015322069079606,0.00270497627915036,0.0319961130137397,0.0200913361404645,0.00718949246559772,0.000983096527872613,0.00742252924475413
"Andira1",0.0536238951924559,0.0906217746843949,0.0940113587645944,0,0.0228989156659187,0.0109021132399904,0,0.0289178320124171,0,0.0552380376183147,0.0940113587645944,0.00972363292823831,0.106858050073912,0.0145775835894916,0.0515170684256823,0.0482078848008932,0.067123196199527,0.0594248066381486,0.0948798633098878,0.057383198768141,0.0927656759492076,0,0.103427312154803,0.054366100063634,0.0245688290457182,0.0121580001065674,0.0028977504633173,0.0469738606971907,0.0141206973444501,0.0697897293691184,0.012456358265334,0.012062284910841,0.0274237158244995,0.0703575012843245,0.0221597813488644,0.00255068407149679,0.0328739677628055,0.103602245784018,0.0620018994318859,0.0343230046962488,0.00255068407149679,0.0945697349244711,0.0500320004661022,0.0879442970195867,0.00255068407149679,0.0877810238422528,0.0982766770772725,0.0392678253859494,0.0393427892531306,0,0.051837137083183,0.0414168041591258,0.046747724278671,0,0.0495153828491543,0.0394211609825319,0.0059610940564726,0,0.0525357737820313,0.0282180464686458,0.0413041364189272,0.065754284514477,0.109075993724688,0.0829125043162451,0,0.0908944969744547,0,0.0478880631754215,0.0850000538265462,0.0254495997374154,0.0789032414276112,0.050098200362967,0.0977153148804868,0.0680078643577323,0.0582730018059573,0.118668390229496,0.0849079952345838,0,0.00255068407149679,0,0.0604875322781227,0,0.00651697648217034,0.0601210179623017,0.0630651474628879,0.0131695643710947,0.0444704293737054,0.00833111402182964,0.0121847507401749,0,0.0626460333405861,0.0413108014619784,0.0949422181362642,0.0649122835794758,0.0435089573738688,0.0315398415455861,0.0844524925544575
"Apaporis",0.0140192135001202,0.0293709744972426,0,0,0,0,0.0289178320124171,0,0.00726491213362046,0.0928019482311839,0,0.0806751123031774,0.000110400157262222,0,0,0.00970040717255353,0.0118853041554347,0.00431880632756664,0.08041942719132,0.0284002558099735,0,0.112887486439573,0,0,0.124528928430708,0.176291073970077,0,0.0412578990917738,0.050686060798016,0.0252796890841725,0,0.0438367814721419,0.000135144115986412,0.0331470866574202,0.0363423576428056,0,0.00970040717255353,0.0011498079584435,0.0802341618748758,0.000759987381326579,0,0.00699284155286692,0.000135144115986412,0,0,0.0150715313355568,0,0,0.00861725494701104,0,0.00431880632756664,0.0230722517425185,0.0384472828124675,0.0508220137579325,0.00970040717255353,0.0282754025359653,0,0,0.00970040717255353,0,0,0.0456555122225781,0,0.0818100526026973,0.00361139039041741,0.031633734164106,0,0.0105196727646545,0.0132899793452395,0,0.0473486741756768,0.119257440863571,0,0.0166400178869727,0.0011498079584435,0.0011498079584435,0.0283644567522166,0,0,0,0.0197090214463127,0.101090817196216,0,0.0248200336224296,0.00481561662065575,0,0.00431880632756664,0.0181268284499319,0,0.219204501268275,0.000759987381326579,0.137025020780123,0.00118656043850971,0.0467478921801361,0.0584346041655264,0.0507048801678148,0.0247828787910836
"Apurimac1",0,0,0,0,0,0,0,0.00726491213362046,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21739274968405e-05,0,0,0.00163033688364368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324467828121878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280725428532123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000619651780053117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arinos",0.109888201213388,0.00960853370121931,0,0,0,0.00670489981764653,0.0552380376183147,0.0928019482311839,0,0,0,0.0830623165360492,0.00844012757172848,0.0176340577541247,0,0,0.00909080397362288,0.00621360354861654,0.079740167571846,0.00186934128659079,0.00376681376045974,0.0362851627923447,0.00425747373105618,0.0129970323691171,0.0496829007709195,0.0887322457369376,0,0.0563917881623016,0.0489000335284884,0.0381413981135625,0.0116863692234217,0.0489000335284884,0,0.0104957437524229,0.19423498278556,0,0,0,0.0164568575308733,0.00581320477001522,0,0,0.000711815333611029,0.000711815333611029,0,0.0372760660234723,0.00520491500270366,0.0089830829466504,0.0258589419058808,0,0.0025235456508753,0.0448461841519661,0.0371280602974698,0.0585954970600893,0.00645240729373518,0.0360874825644489,0.00376681376045974,0,0,0.00297955742704571,0.0488205095900515,0.0434199695966162,0.00820414616346024,0.0331477933860213,0.000323996729178829,0.0134876803923491,0,0.0380607287060439,0.0064889896795137,0,0.0154685459539012,0.0640583595421075,0,0.0250875561091671,0,0.00221106167942474,0.00645158433373889,0,0,0,0.00858173258031049,0.242593425578077,0,0.0192128111505527,0.0152158618527014,0,0,0.125103178549442,0.00197109630874749,0.00567989506241982,0.00495065373579297,0.047593730901301,0,0.00488102005379591,0.0290274726986014,0.0803903085762807,0.0396034950038611
