"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.151446317650939;0.0858921507138879;0.0119906741839288;0.0363696319815597;0.0382518323705572;0.111733334037026;0.0279835240432452;0;0.06536734203081;0.0798600054787947;0.0913064593322191;0.0428305364896205;0.128462013704536;0.0694951022492217;0.164066265604248;0.116026917121088;0.139052902361267;0.185951137673561;0.140056553550697;0.077216075114214;0.0507217867032732;0.114460493622936;0.13458406347108;0.00980558159171759;0.0367941281746044;0.0898810199429909;0.132617784301892;0.113749786130743;0.2105444403067;0.109875416810783;0.107733077612484;0;0.154498279580144;0.0399020430060699;7.94800840615133e-08;0.123257800967302;0.0463962974356391;0.0848002321495916;0.167833175567557;0.0245979464555958;0.177252868251048;0.0893945606202719;0.106270399312561;0;0.187794435374366;0.0371967516616355;0.0441985898237154;0.119029036064086;0;0.145968314647148;0.187457293697838;0.150090404746644;0.0590664531002957;0.1623811004752;0.186436820123493;0.0600524591965516;0.00848546672999395;0.150523495888525;0.207920527644404;0.184679039490814;0.109881879965606;0.0585579108587474;0.124574546155356;0;0.154813009123408;0;0.119245346769838;0.0785431014526458;0.00778980758517534;0.11599034904981;0.144901146698993;0.0421281169663929;0.151355023592288;0.131645149324268;0.103037305456556;0.115817263160029;0;0.0109608980977332;0.0125772625528219;0.139141292726008;0.0269540994069034;0.0223462821699252;0.0901761558044841;0.132671336642687;0.0278187550590155;0.160359175303421;0.0843851643602768;0.00396520166112104;0.0396390236130897;0.116230358487232;0.101355038810384;0.0782385361354177;0.104493173384245;0.121540393577699;0.0546343039617326;0.205598571195538
"Amazon1";0.151446317650939;0;0.0112744261943952;0.00590369813832564;0.00848469605377869;0.0276965274453717;0.181476335047121;0.0420812868090927;0;0.0131744112624076;0.00337236445641824;0.181058497118016;0.0172578417299612;0.0684117719911593;0.0179513259057327;0.0302664820722606;0.0927892258501971;0.0608955590060061;0.157212404900904;0.0526708720611224;0.0070092990857088;0.0156836915712832;0.0809372270603849;0.205800439764405;0.0288745010087547;0.0519333186762993;0.0284169587718211;0.107646017899318;0.105194636143932;0.188281294342091;0.0524980579986537;0.12564798281621;0.0328750910828779;0.127521789660432;0.153206604669767;0.0138707640098919;0.0442210521830852;0.0197361368638663;0.0203243048254242;0.0732791011670732;0.023167140809408;0.0229962479178172;0.0364247762321492;0.0822699368290529;0.00430356616853603;0.0971596772308185;0.00901802466106172;0.0279860821409912;0.0575581305239172;0;0.163070328318239;0.138367449919627;0.104462787935504;0.0780220900298159;0.139573990019174;0.211264076545037;0.0130379809417558;0.00964909447816684;0.0257603547111902;0.0793142766504516;0.123113086027096;0.163983883075342;0.0389035318017283;0.102535428061734;6.27008890779946e-05;0.11493798772992;0.00890868424170249;0.190843299093066;0.0413276077544759;0.0136654920811358;0.0139895951749889;0.105262789538952;0.00949783795005518;0.0814527299317189;0.119943868849699;0.023325616570668;0.034553277314423;0.000266027771092436;0.0167795711746452;0.00124619787332099;0.076230618099981;0.121705081907529;0.014965845797717;0.0702843992622305;0.180674487776087;0.0201761863677003;0.20012939904681;0.171098814895663;0.00582651418166428;0.00971430640479289;0.0895058024551443;0.0771945997942255;0.0168687062752948;0.125652251536184;0.160843908589096;0.115542915686186;0.145472008435014
"Amazon2";0.0858921507138879;0.0112744261943952;0;0.0170066227437029;0.0333110288408703;0.0337331479167582;0.100879433384173;0.000796379266085277;0;0.000358890752177624;0.0327568371669359;0.108421518183375;0.0680921758468192;0.164368079101124;0.0739328604543924;0.124730622135811;0.0320548766706449;0.109408662743825;0.0774240186883645;0.0892088563714412;0.017898504958067;0.00167376650002279;1.50893897957192e-05;0.113071459504332;1.6743221967928e-05;0.0090949089254646;0.139612850656039;0.0138131687106458;0.0239146627335374;0.138439876268337;0.172190560635874;0.0491518342439069;0.0464714575694301;7.65826023046084e-05;0.0873610292530778;0.0508764007356754;0.192207360170577;0.0365505221234192;0.000391558025474069;0.0986863283620522;0.0619948786827663;0.0929423911752747;0.0537827518654344;0.108090185532025;0.0137617043513511;0.155897693884417;0.0387778229210043;0.0847891597172052;0.180840902560038;0;0.0634133956411146;0.0769920191864149;0.0118323140218743;0.0119017603538338;0.118615599186122;0.181627645402807;0.0298889360540715;0.0147926818606771;0.144034346143332;0.16392422427521;0.155867843926139;0.0988312509067685;0.0817930039971455;0.0117335391728747;0;0.0643647536043526;0.0103650809804478;0.0978791469966801;0.0627800852261321;0.032523635925246;5.51105124946694e-05;0.00942004573195324;0.0284125596405459;0.00103494099695073;0.0461105315544158;0.0282185539843792;0.0435608752239287;0.00858397906692856;0.0247282129410208;0.0155406798440142;0.0465823452919439;0.0608713179564362;0.0457879815889776;0.0820977770328257;0.0586071991044088;0.0467021971560349;0.147696779970344;0.0930559384671786;0.0290985520159061;0.000201613604530633;0.0495439948875499;0.00888245685736052;0.0575434853336937;0.0540542782065337;0.0534907115433178;0.0437633740204231;0.12317788848649
"Amazon5";0.0119906741839288;0.00590369813832564;0.0170066227437029;0;0.0289382598374311;0.0469797242174905;9.57936404817576e-05;0.000601232577912651;0;0.000358890752177624;0.0680007810435605;0.00567329498860039;0.101559585007417;0.0692189227311413;0.0451331002468822;0.0617841436682949;0.00281339438794257;0.0151332390167266;0.0615736008546422;0.00263401256732358;0.0977009076799224;0.00133689839959959;0.00434100685628326;0.0211245298259326;0;0.0079854110339015;0.121773253319817;0.0183520943714676;0.00745665848394777;0.093493486343864;0.107824320427561;0.00385778305419616;0.0505987996222887;0.00283308370115543;0.0146117040322063;0.0565411352656332;0.0997482058829679;0.0496634472220527;0.000139793537316876;0.0253085523515643;0.0171074994566789;0.0707292032948743;0.0057808739734039;0.0733850817874537;0.0131284353886269;0.0696673194717079;0.0810804579219771;0.0824760257168307;0.106826858358433;0;0.0276308249789319;0.063804989083467;0.016870281665872;0.00125489219267889;0.0582992742605744;0.0923640155252295;0.0853370881029657;0.0212550515908625;0.0782575660639544;0.0766697400629835;0.0761765389033269;0;0.0793640875585804;0.0160935942383499;0;0.0310583115072171;0.0156648558478908;0.0510532091121019;0.036130929153512;0.0232793130156243;0;0.0103267011553218;0.0679654857762729;0.0105017520875325;0.00792241175872082;0.0179979224158134;0.00763174883936976;0.00792098441899024;0.0304476536430958;0.0131551230543949;0.00479686891030754;0;0.0128274305984213;0.0457466266676432;0.0182845671935632;0.0224549328207534;0.0365680956558268;0;0.034010251869138;0;0.00302823512535206;0.0134916821116974;0.0388121861814903;0.00454296767200201;0.039382988570281;0.00144678018433483;0.0743213971394596
"Amazon8";0.0363696319815597;0.00848469605377869;0.0333110288408703;0.0289382598374311;0;0.0511467192252551;0.0411980633225091;0;0;0.000408006401759505;0.0646114392335711;0.0357324155193467;0.0779224968846319;0.080748258419318;0.0459994648978238;0.0432976853568525;0.000329421681444377;0.0369017921561441;0.0380991570108831;0.0438990087554721;0.0685233354640314;9.05759226294174e-05;0.00747281544188878;0.0160866081694903;1.02694728792545e-05;0.0030161340423292;0.104908899821997;0.0131644499637468;0.00670165363336789;0.0882543129611888;0.110916252662709;0.0248466064710683;0.0581014909329806;0.00517105602441159;0;0.0690683102538453;0.116445527467826;0.0677043333323552;0;0.0523101568112013;0.053013965804747;0.053288964868934;0.00439248873257123;0.0857066505937187;0.00747483563812111;0.0706225166452367;0.0689127438386854;0.075574978902174;0.126848912911752;0;0.0258518144020632;0.0428767057900117;0.0125341542588205;0.000818080237582401;0.0565925403430993;0.0894886316318864;0.072097742100186;0.00660943772202045;0.0588377146439973;0.0752393234292708;0.0559605504776642;0.0257715952744309;0.107331882870907;0.0112149451345682;0;0.0450482243811539;0.00870232982901757;0.0328059820868656;0.0522321413200011;0.0286032898789487;0.00759230707577957;0.00959680422123032;0.0623771293710034;0.0159626507808174;0.0236473299325258;0.0210778225349862;0.0271253151138601;0.0184048199980287;0.0276379186490428;0.0276540499773797;0.0221362241263758;0;0.0520853766704897;0.0503840049185766;0.0165911181910442;0.0390946654312443;0.0426341595239565;0.0317178372821421;0.0441051837231475;4.96137787761482e-05;0.00231636293039525;0.00821876480853964;0.0634833977384321;0.0318397797071936;0.0242710161524138;0.0223687878954269;0.0798509577725379
"Amazon9";0.0382518323705572;0.0276965274453717;0.0337331479167582;0.0469797242174905;0.0511467192252551;0;0.0398883850884784;0.00154140512648726;0;0.00128824721464274;0.0829337565035687;0.0670125239167581;0.113427212908962;0.0890220814882048;0.063618632112527;0.0650314916038397;0.0126230082097544;0.0739400897611401;0.0674554265212017;0.032181480618207;0.0696193555534631;0.00713870705308212;0.00549469670035505;0.0470361210333344;6.71430916137823e-05;0.0179527948713231;0.138751038195815;0.036802873500407;0.041796110026926;0.11783296468515;0.140240177042041;0.0522372801901756;0.0643583991115834;0.00994103206254046;0.00115875540983098;0.0621957573766878;0.118859650144093;0.083667550086073;0.00156591530673761;0.0616980595427962;0.0434082247219614;0.0870533326887466;0.0158589939681188;0.0851714408972146;0.00943736030206426;0.0762247783647388;0.0857817703156005;0.0667473526987809;0.114051821890077;0;0.0252583748474274;0.0750858715791636;0.0266043810539726;0.00688881106889441;0.037634593136252;0.120428822189936;0.0632742230440708;0.0137056586653292;0.100029088175907;0.0903776385007882;0.0922624366520705;0.0396362378193724;0.111850251320469;0.0391846085940644;0;0.0687829783498961;0.0149640959948996;0.0344522881767308;0.0677595728393743;0.0566220071313186;0.00607500112086077;0.0244479893061209;0.0938036961406652;0.00264146312240899;0.0338472749371625;0.0504966869259413;0.00472441262041731;0.0260836916790228;0.017434767099422;0.0480137219161971;0.0504668478566634;4.67157367590372e-09;0.0494204682966641;0.0623388543471723;0.0221012470649921;0.0550673665808804;0.0871395743656534;0.0381921061543046;0.0534506127935029;0.00503451166835725;0.00520779366029778;0.0319082865220943;0.0832067746518964;0.0596166128286393;0.047943931877487;0.0401006833070256;0.102930396080699
"Andira1";0.111733334037026;0.181476335047121;0.100879433384173;9.57936404817576e-05;0.0411980633225091;0.0398883850884784;0;0.0432235179325622;0;0.0398479163992349;0.0933676728592675;0.0605161644494825;0.0693516339107788;0.0147522553490113;0.0562787461977128;0.0814961891636281;0.119435081339966;0.0405838232126179;0.190185708179974;0.0343375508169272;0.103778243054953;0.012877014437973;0.13255536155711;0.106808901796883;0.00477206602485355;0.0265727606484788;0.00795433125532029;0.082498365145009;0.0907839973629908;0.183280864396807;0.0309920702550042;0.121369682887952;0.0127461187153649;0.229601516600394;0.0508682758677957;0.00147596883895429;0.0172045556294676;0.0781799609883961;0.140537400094026;0.0658016905029557;0.00545898663520928;0.115005756108023;0.0935533853691731;0.0742396865664071;0.00092509341760195;0.0827289025656395;0.0603003763029111;0.0165118616510873;0.0371911852843684;0;0.156425660549862;0.204229818319516;0.134570915079187;0.0141059064422926;0.118458478520598;0.118609188962939;0.0667029309048322;0.0056500148910436;0.0555296783430523;0.0586472876235307;0.0941354023065066;0.0477998368225818;0.0657088442814718;0.107998845042752;0.0421562858785872;0.148173569109195;0;0.163868578198248;0.107652254913539;0.0153307775514078;0.0504410075540773;0.196739926162795;0.0740763158406733;0.204614456860428;0.093815839415679;0.132354277251438;0.110087152024066;0;0.00165065017684903;3.41337809657639e-05;0.118871312271325;0.00178403563613527;0.00525837769975985;0.131282169782492;0.123412092559919;0.0153313885610129;0.102775986481893;0.0927441785811025;0.000949508559738431;0.0072990545400068;0.137886686933649;0.0822449109949228;0.0806868733791215;0.109069703354763;0.213058104825844;0.0462485068064873;0.137103447802686
"Apaporis";0.0279835240432452;0.0420812868090927;0.000796379266085277;0.000601232577912651;0;0.00154140512648726;0.0432235179325622;0;0.00204942132846027;0.256128463432965;1.94622843700155e-07;0.0837938334062693;3.66531973054766e-06;0;0;0.00476772944258915;0.0207974651236292;0.00269713437513435;0.0779545494359239;0.0287463931674886;1.94622843700155e-07;0.137231173864963;0.152583938390131;0.0706199737254137;0.192732449854685;0.214796695214426;0;0.12073785528453;0.0457164368760207;0.0740004861486123;0;0.0499906538210259;0.00158940606943554;0.144343858004257;0.128926203752125;0.00759967202961865;0.0112746255640227;0.0031809837465807;0.166566229661919;0.0323259344413958;0.00414264356432065;0.0086219538502547;0.000802567815336923;0.0118399193343272;0;0.0261208648248919;1.94622843700155e-07;0;0.00611720110934456;0;0.0101469320927193;0.0327767273761465;0.140209628183097;0.0666568001754707;0.0166266232050786;0.0393697914970168;0.00110329261203977;0;0.0042024205677215;0.000987628199158029;0.00022400125852517;0.0551453249866471;1.94622843700155e-07;0.105226902760317;0.0502995948111133;0.0322039373394157;0;0.040009665436057;0.0168747187966777;0;0.0793074087608879;0.153895799647948;0.00441154595138142;0.0262522077531596;0.0128907149068706;0.00107737649972185;0.0140402079250688;0.0024895052271751;0;0.00141647888825373;0.00942439056370732;0.198242132989483;0.00259040627773006;0.0100402091833794;0.0256834171397441;2.75746080445984e-09;0.0446768569035891;0.0416981550411003;0.00141647888825373;0.250086930526081;0.0349591080739817;0.161317718113681;0.0166662676468357;0.0669921029513929;0.100329462559024;0.0549821498043912;0.0220660429795505
"Apurimac1";0;0;0;0;0;0;0;0.00204942132846027;0;0.000142892783901877;0;2.04404626849144e-05;0;0;0;0;0;0;0;0;0;3.5706497335049e-07;0;0.000274140750947576;8.50528838962168e-05;0;0;0;0;0;0;2.04404626849144e-05;0;0;0.0112528842022864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.550799265181809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.314166477744302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000136917287611321;0;0;0;0;0;0;0;5.20970182556882e-05;0;0;0;0;0;3.55895492804858e-05;0
"Arinos";0.06536734203081;0.0131744112624076;0.000358890752177624;0.000358890752177624;0.000408006401759505;0.00128824721464274;0.0398479163992349;0.256128463432965;0.000142892783901877;0;4.53850195301277e-07;0.0601085532101832;0.0012450761627022;0.00308695619785118;0;0.0015130401783028;0.015928434019606;0.00120795062717948;0.06877616741365;0.00129727875631771;0.000653901786017629;0.124278779403592;0.0331477874062803;0.0845708471885462;0.233512976352853;0.210846886667567;0;0.124239062485262;0.0228607754966089;0.0650224326925244;0.00217979629462706;0.023477819072261;0.000407334602322165;0.0148711670273979;0.22755105499347;0;0;0;0.0295749262106489;0.00393485120104434;0.000440613922506278;0.000396208636583594;0.000792626496246981;0.0108874876519342;0;0.0246242565078893;0.000812764994862728;0.00195101304510052;0.00461809065662665;0;0.00264048868545133;0.0393455271916852;0.110449577021379;0.0431640414466171;0.0234249403943065;0.0526497002175384;0.000653901786017629;0;0.000498765583893552;0.00566223113483485;0.0429230998959344;0.0252744167557451;0.00137422241447693;0.0824110846412155;0.101554703042442;0.00931607925246966;0.000408006401759505;0.0791147951776413;0.00329548851497622;0;0.0224395209222263;0.119580426613365;0;0.0181225876590655;0.000728066889909811;0.00188344615071793;0.00259663066240052;0;0;0;0.00216881684089642;0.236979626622733;0;0.00437793348877532;0.0178310750223543;0.000563298283792166;0.0529630805837295;0.0598499880704932;0.000118401160267398;0.0801034335315068;0.00204981028148374;0.152508795398821;0.000388497822682247;0.008569013232272;0.0791107906706614;0.0973972650513288;0.0127102131137617
