"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.00480831399120339,0.0546409534376787,0.0912209068027044,0.0845661572061143,0.0880451044501923,0.0404184710448124,0.208917347348706,0.727465904473202,0.0711387268616606,0.0566425592634509,0.0365683700687941,0.037631627801631,0.0676156694890349,0.0645718530305432,0.0614040504938568,0.019581713349826,0.053848860603662,0.0431769103691865,0.0547658662623544,0.0535088243496099,0.120801260994157,0.0297404759833538,0.0391175452407419,0.184751234469674,0.165744782737718,0.0983060851611587,0.0369623739116397,0.0166997428449431,0.0108883797799054,0.0839425049415288,0.0229849474281714,0.0888512258213207,0.0041090499312303,0.0971748210263451,0.102782987822238,0.0685121298351831,0.0479543104928688,0.05435146308389,0.0516820719844766,0.0984502633792151,0.0524233325573111,0.056610619016146,0.0322192412308682,0.0999428602208181,0.030067739464886,0.0479731070383167,0.062039226704674,0.0646829090932668,0.887540357172303,0.0500453497316535,0.0112123096034262,0.0246740931663137,0.0454825347662521,0.0480180467795084,0.0299461612234618,0.0986874744771105,0.131544918073369,0.0699207077769939,0.0629522691638,0.0457489527746625,0.0132650610242995,0.0378433554488426,0.0299998183782695,0.746330961974459,0.00483465464782262,0.105867315062554,0.0333520878387541,0.0170561048834392,0.0784820116230089,0.0286321958336988,0.0811560689679329,0.0577763457705933,0.004259246369806,0.0101123406684323,0.0418567858191616,0.0437881648652056,0.108256735392276,0.0930169290012599,0.0955754629242878,0.00381804029882426,0.117431824287761,0.0706967938248149,0.00072027002825396,0.0441609615510635,0.0796139284580952,0.0460381407560137,0.0285298872221399,0.0949076030666007,0.206492878621139,0.0474769391606393,0.101382488535484,0.0479654953071258,0.010038097050404,0.0428924585086911,0.0750550134688254,0.00238351603556224
"Amazon1",0.00480831399120339,0,0.0644607902766832,0.0981786515994597,0.0900755597358372,0.0918448237404876,0.0440158665993242,0.200369013763264,0.724768705354669,0.0735362662960504,0.0664139779719995,0.0301104065162569,0.0447824294352541,0.0694247693574552,0.0716755046297308,0.0678910605492431,0.0256048243524713,0.0580785944544161,0.0429447659515623,0.0619957083973806,0.0612033241479387,0.122312216521319,0.0382124546121959,0.0448974781756894,0.177781033856083,0.151281999999781,0.102493178843356,0.0334664632356522,0.0118492009806953,0.00620744419348514,0.0857673680662808,0.0186003008770211,0.0921592762388545,0.00986801255408678,0.080193828607084,0.106924093211058,0.0712729165798205,0.0555962013406073,0.0536409370309742,0.0563975385651341,0.103109061189567,0.0617646269314243,0.0631569461307073,0.0386225719797984,0.103984367427305,0.0354542940316669,0.0556638328872777,0.0680813089178613,0.0666600008730478,0.8863231231261,0.0531695757531444,0.00623824654576758,0.0200032995339776,0.0418244369328769,0.0543373411002232,0.0341272558412179,0.101801901507564,0.138446506809089,0.0767765790416441,0.0688563299512216,0.047435913990048,0.00854581570592661,0.0450359383110497,0.0271520019839434,0.743792774838795,0.0101313301195126,0.111505238793459,0.0371083105644452,0.0233461421497042,0.0827642616759712,0.0270244329109891,0.0821882942923529,0.0667377821590925,0.0100523340853317,0.0158681208059031,0.0502286258895051,0.0514213930816748,0.113891665112199,0.0983187839440875,0.102729577043322,0.00937884392922028,0.0966983063211443,0.0744480037874091,0.0060648648142983,0.0479212545172021,0.08690703710365,0.0496379565826605,0.0206919033665351,0.0995722126477818,0.206867643393541,0.0535180771143138,0.10300596184838,0.0564032020083677,0.00538488073933734,0.0429163388589635,0.0698403141385277,0.00274417499078886
"Amazon2",0.0546409534376787,0.0644607902766832,0,0.0333679792904373,0.0262093437397164,0.0292691290093778,0.014594475739227,0.267335542049661,0.754003101444187,0.138049754362427,0.00195175672211325,0.0920507770282017,0.0179078017488833,0.00889236796118501,0.00879833312082397,0.00460613023723816,0.0367240665947575,0.00294493269140592,0.109046113080515,0.00100114778761214,0.00167264353258657,0.185574132220499,0.02560252003335,0.0151668052532398,0.244610359738797,0.221650293240107,0.039041763601286,0.099175227524771,0.0773661533315704,0.0707886695825548,0.0242302851007509,0.0843350490032669,0.0294395099185599,0.0540559894739647,0.143727818264316,0.0437347953903377,0.00953146373115183,0.00728948852808921,0.119184301039284,0.0046205566552603,0.0396480072737259,0.00258265610404256,0.000432267145114354,0.0240945654892226,0.0407004772399854,0.0239728846229578,0.00728828016104521,0.00611519564267922,0.00650131454468843,0.899398498954062,0.00700551395794814,0.0707525161264703,0.0854403386522349,0.107938220829386,0.00771156699080517,0.0254366103340045,0.0391077509668434,0.074367779030539,0.0126849625344182,0.00683357109320852,0.0110791103992644,0.0690827342800748,0.0178845936220205,0.0925954296507503,0.771274449101708,0.0526212224453655,0.0473850387087846,0.0223750595258878,0.0395575159914438,0.0198632809322931,0.0918155024994265,0.148677018506231,0.0029398706049623,0.0540112884801856,0.0476657155789958,0.0133481241171412,0.0105560449392739,0.0497964578583225,0.0348442677553157,0.0379246226668588,0.0544607920244073,0.16164754929345,0.0126749995096848,0.0575512217926616,0.0121318749155479,0.0221838626779255,0.0107127428574727,0.0807282916128919,0.036108219563528,0.26825448816483,0.00764710595733294,0.169551091837235,0.00690092400876008,0.0697955217574891,0.107240708436436,0.135740121507701,0.0607451709262136
"Amazon5",0.0912209068027044,0.0981786515994597,0.0333679792904373,0,0.00715918814241029,0.00381884186828231,0.05014755191957,0.298681595448372,0.768333852500343,0.171310288146995,0.031325561622313,0.130746921066039,0.0511882555874549,0.0243257179041703,0.0243289706388768,0.0291461302748474,0.0713730166703608,0.0369946456849955,0.142581343101616,0.0351422979113129,0.0346466527241106,0.21826050916872,0.0591204194009544,0.0506736517889779,0.276373532247845,0.253120953915127,0.00561637937774687,0.133357258289234,0.110497512554221,0.104877970089391,0.00834927842438751,0.117580064473463,0.00371684317352818,0.0876036690983525,0.191319808992838,0.0101064124388695,0.0233248206177688,0.0401936359463452,0.152615873175143,0.0389030261466627,0.00621285883100995,0.0360832215722495,0.0335309586606428,0.0569525741355854,0.00726962545838941,0.0596783918121774,0.0403925561977621,0.027281833266688,0.0262214233954797,0.905714429450196,0.0412604179895049,0.104954290106191,0.11947291420336,0.141484154068304,0.0422768336016433,0.0614680243797206,0.0060264805580117,0.0406892387096297,0.020527752268345,0.0265018174723441,0.0459352193361923,0.107691909516465,0.0509490690346174,0.126793588964388,0.784722534197121,0.0850054988116504,0.0133403966547844,0.0582885972049893,0.0736447034221126,0.0133532437908165,0.125489173555536,0.182747088512115,0.0299872276152615,0.0876215848080082,0.0815993918939037,0.04636161681441,0.0453679260642767,0.0157570111732276,0.00138439040093962,0.00446354681618151,0.0878756284200779,0.211996966979707,0.0204410643560448,0.091349098153127,0.046758468858859,0.0110090983338811,0.045594466928421,0.122425993278495,0.00296567686552079,0.299582954359466,0.0420595320458863,0.203028724010876,0.0401491330588902,0.103550058546698,0.140792524922091,0.169532972029726,0.0933972837270761
"Amazon8",0.0845661572061143,0.0900755597358372,0.0262093437397164,0.00715918814241029,0,0.00325817545435026,0.0419375558910897,0.292070670681517,0.765350159413025,0.164271354524356,0.0241349082628615,0.123650806933749,0.0438811531523189,0.0168463319174816,0.0173557106485046,0.0213717714796462,0.0641924052021042,0.0299892341500592,0.133528455628447,0.0271356034688294,0.0275650268034491,0.211351861054545,0.0516445500562853,0.0429142552034016,0.269670578696758,0.246607738634361,0.0127719422244096,0.126239378707621,0.10337980558512,0.0964277408099221,0.00127343699401755,0.110461332201039,0.00335568479058771,0.0804415179209221,0.184332480590506,0.0172529266537032,0.0159681134370559,0.0335718163426163,0.145775922148154,0.0317033401620458,0.0133678354262679,0.0288647069038652,0.0263094081742424,0.0497345547171304,0.0144131245336861,0.0514194399201319,0.0331397802562217,0.0195278775064384,0.0187902175127339,0.904404448045039,0.0342419418051787,0.0964862534387577,0.112337242290069,0.134379102356073,0.0341576384008587,0.0528341230771539,0.0131004562529391,0.0479178718929186,0.0133310057111368,0.0189518101914401,0.0383585159089323,0.10052756493366,0.0436678406641647,0.119663777327088,0.781923885208131,0.0789996024842801,0.0205617403329724,0.0497419840097645,0.0665587406537391,0.00625006670955981,0.116878365805793,0.175740114243787,0.0232699870071573,0.0796060859677392,0.0744006082948007,0.0397684273405416,0.0371192706068396,0.022984272222088,0.00852041539541427,0.0115708144566117,0.0807244871412254,0.205069083985098,0.0128782822345076,0.0830539779513869,0.039764045230291,0.00371220171342322,0.0383643812960456,0.11528546237925,0.0100501049542206,0.292975900496788,0.0351083990134087,0.196076640348027,0.0334401263196474,0.0964086324508334,0.13255401011523,0.162489736173287,0.0859010745693013
"Amazon9",0.0880451044501923,0.0918448237404876,0.0292691290093778,0.00381884186828231,0.00325817545435026,0,0.0457618085458178,0.295134165896815,0.766735333309947,0.166408288781411,0.0271349965526855,0.126585414453586,0.0479456023851082,0.0205671770126185,0.0200971155386125,0.0249233415065229,0.0667226811976444,0.0332576484029208,0.138768094483895,0.0308288480736184,0.0311652183219653,0.214474848162015,0.0543219186834787,0.0462281607656289,0.272776450087083,0.249935776767712,0.00947219630172801,0.128658610653734,0.105430138947338,0.101030296161038,0.00460499013732845,0.112215512285673,5.0735266922708e-05,0.0825161154937577,0.187569047421166,0.0141090385387913,0.0196651242066126,0.036554667729589,0.148024592920377,0.0345049081629981,0.0101466086548971,0.0318753328515396,0.0293545659332544,0.053900465036631,0.0111997932209129,0.056147423850577,0.0369851755050246,0.0234119729503145,0.0227334532014908,0.905012930630829,0.03738291995949,0.100934324959714,0.115063997975671,0.136258021507277,0.0379628564779172,0.0574719341340026,0.00999926558387258,0.0443869932752231,0.0164355450705382,0.0224545286904865,0.0421802826600455,0.102108302374233,0.047837499546277,0.122068677948985,0.783223235823295,0.0822211560736032,0.0172207291359508,0.0544106880766891,0.0695998636686861,0.00945682460305013,0.120623807873227,0.177137275439079,0.0259976477024415,0.0840540821930146,0.0770524205624185,0.0421615593762656,0.0410127791447685,0.0196415354677908,0.00525868740081875,0.00822799568051323,0.0829744840577213,0.208278373747282,0.0164960207204822,0.0877232971587776,0.0431022569432259,0.00693129531682399,0.0413725972472874,0.11824970488853,0.0068503119968817,0.296037612688128,0.0378671208367697,0.198819785043566,0.0359827084777558,0.0981012489124177,0.135992407251268,0.165588972782159,0.0907783896229038
"Andira1",0.0404184710448124,0.0440158665993242,0.014594475739227,0.05014755191957,0.0419375558910897,0.0457618085458178,0,0.245016877552919,0.746966984631162,0.115461853160453,0.0163711325501013,0.0808698828825547,0.00184546099804701,0.0252834628406604,0.0241901296925772,0.0200174239476565,0.0201391790397272,0.0121706633693787,0.0842710582202876,0.0141691748747791,0.0130608257435385,0.169973354747366,0.00851523699031352,0.000498765313520845,0.223769192177923,0.205319764571391,0.0556700330028655,0.0798863027193757,0.0604676230781395,0.051216866415712,0.0410720467832308,0.0674948856641355,0.0450480938451413,0.0353079774434338,0.139381164285637,0.0601852774291035,0.0254352527409896,0.00779666684863432,0.0970857394189456,0.0107018790888443,0.0562984043517094,0.012225107145445,0.0157465332155871,0.00728694758136389,0.0573329186505574,0.00903892872088313,0.00782635889238525,0.021875973831899,0.0223299905190275,0.896275121149687,0.00808342368255949,0.05286203175224,0.0665301499457896,0.0919892737697277,0.00735897771354709,0.0109114243098603,0.0559440704473165,0.0906518187015213,0.0278566048280077,0.0228424239155434,0.00380050584969248,0.0540524791719642,0.00169163913619429,0.0707896981445823,0.764666055138024,0.0339305043178195,0.0634455042784999,0.00777565907068272,0.0217812580542846,0.035740489603222,0.0698364021968511,0.127196395113318,0.0172283681536831,0.0353554942815149,0.0297407462701688,0.00233885265478388,0.00432980995212891,0.0658525280361658,0.051413709343889,0.0545989051188942,0.0360637243943006,0.163588545980393,0.0294449847340278,0.0393884306611675,0.00277583872041476,0.0386443519497508,0.00436057759316928,0.072119046489866,0.0525181057733018,0.253239914758469,0.00733364799722637,0.148134784783961,0.00824489980389599,0.0505854458200015,0.0873176230744769,0.116611413880072,0.0415503461525304
"Apaporis",0.208917347348706,0.200369013763264,0.267335542049661,0.298681595448372,0.292070670681517,0.295134165896815,0.245016877552919,0,0.60510385176565,0.121782262913447,0.26915598168155,0.160182673729819,0.250349863013812,0.276182785171307,0.276040927304018,0.269264130942726,0.229231364686342,0.263247790290766,0.149926970616916,0.25877086561502,0.265744254303816,0.0763177354742879,0.243398957312846,0.251819301094783,0.0212872797090446,0.0386545644991962,0.303864477490979,0.165028202510072,0.184149297558586,0.194975914173355,0.290851221707034,0.179014354384878,0.295141942710826,0.209233609916127,0.109730408176124,0.307963855751557,0.274091585812037,0.260139998708151,0.140540695092637,0.262461412766552,0.304420302842832,0.263060236719005,0.26773300496956,0.244817164614363,0.305364111216964,0.23934949352106,0.260422262638056,0.273511954891756,0.271590323452835,0.832144851220288,0.259154614417129,0.195336053042638,0.178648955218531,0.155791916727655,0.257030818423612,0.234813935344841,0.304272100046574,0.335295940104062,0.276927369966601,0.274192755465587,0.256021394027581,0.188327623364762,0.250534508101215,0.163990551154701,0.632542296655665,0.210168501004828,0.31078366496923,0.242076957833705,0.226834117625897,0.286337488788536,0.171416920486828,0.107934010053296,0.270106096520847,0.212847873801931,0.222249313554087,0.254503426658361,0.249456041169789,0.312965687058507,0.299957309556246,0.302741558645677,0.211762309133253,0.0831891090068363,0.279858556376363,0.207375761100508,0.253856834870878,0.28862154682992,0.255473186359746,0.179629032544395,0.301435551786245,0.000772939545152049,0.25942718460663,0.0878185714059933,0.260514041931421,0.191564774860461,0.155188889968956,0.129139304663161,0.204139393579491
"Apurimac1",0.727465904473202,0.724768705354669,0.754003101444187,0.768333852500343,0.765350159413025,0.766735333309947,0.746966984631162,0.60510385176565,0,0.687516946851828,0.754848235011584,0.708523139094375,0.746052203726084,0.758095350080809,0.75803003245044,0.756119877499364,0.737267699078602,0.752632052568573,0.702734706099619,0.753537842797993,0.75326302882582,0.660877232823,0.74273869097819,0.746733742910915,0.623571987882722,0.638204439880129,0.770658842580925,0.707438445391752,0.718553263824586,0.721584569668264,0.764797557104703,0.715143214580802,0.766756852389403,0.729688016123629,0.676450577778667,0.772489023442495,0.758368585482219,0.750786934311336,0.697380745725261,0.751825568652349,0.770907444724938,0.752875813364975,0.754204568599044,0.74341406170552,0.771329253424211,0.742554267083741,0.750778887492238,0.756863957006109,0.757066629358722,0.305170241157249,0.750711687839844,0.72154295479506,0.714418925213554,0.703303789283054,0.750369733311888,0.741902782732584,0.770841172449283,0.78449741175245,0.759684217185309,0.757178168055124,0.74871416734725,0.720236735902886,0.746126469862636,0.710758304229311,0.029687281807917,0.729995587405532,0.77374347268166,0.743334794904874,0.736253874283585,0.762746039973364,0.711440002409743,0.681197217185769,0.755288683355027,0.729708976828504,0.732669602734178,0.748137737857485,0.749051157478814,0.774711704019265,0.768907277571477,0.770156164568908,0.729498133416339,0.664176108017851,0.759784473118388,0.727843322272131,0.748273717096425,0.76378535705682,0.74897739109017,0.712972974051145,0.769570795442335,0.608909525570626,0.750405315399307,0.669751583689936,0.750966668987566,0.722046940548058,0.70366022946446,0.688480982225039,0.726201914177228
"Arinos",0.0711387268616606,0.0735362662960504,0.138049754362427,0.171310288146995,0.164271354524356,0.166408288781411,0.115461853160453,0.121782262913447,0.687516946851828,0,0.139973435495601,0.0375554355731378,0.119162422754217,0.144808504622041,0.147257672207182,0.142876703265919,0.0999733970060643,0.134100389537637,0.0270950495221988,0.136736632750155,0.135855342785106,0.0470041214340395,0.112365640730674,0.120111395250122,0.104805478729301,0.08006950335098,0.176837832086602,0.0365989258459811,0.0583392562417531,0.0650294530953033,0.16106979671812,0.0516898500719802,0.167582323190289,0.0837370687024226,0.0166693093841173,0.181215501835908,0.148036656858986,0.130771408362568,0.0186373609893637,0.132340783158418,0.177431095969395,0.135491050365454,0.13840931752299,0.114253307879696,0.178438687574102,0.108248750735212,0.130072721727526,0.143281630524991,0.141294380749007,0.869280072560147,0.130272338326289,0.0644936110290718,0.0509078093767507,0.0287759187599167,0.128994403773726,0.107001544577037,0.176605147700109,0.210532016549492,0.151071031698672,0.144868010885351,0.119958747576533,0.0619998899209098,0.119354516264073,0.0439450980602541,0.708451357742817,0.0841284572611732,0.184229656074048,0.10981482495287,0.0980546797219189,0.158177510915693,0.0461034412909722,0.0111252274369902,0.140977821083027,0.0825456265784124,0.0909827269926662,0.124549929061477,0.126052314804357,0.186563700809993,0.172670093757011,0.175639558736946,0.083499397651204,0.0319777005524065,0.151302733386165,0.0791672498717625,0.123226052450484,0.160604084588869,0.126705492641084,0.0436849104961647,0.173902928251943,0.134443976596582,0.129269048376252,0.0313600803178157,0.131176401371525,0.0682342796311204,0.0303642502953085,0.00168332551529268,0.0741983937842417
