"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.016497932752376;0.157079129951694;0.217943852768801;0.189011318516233;0.179052142712209;0.0389355268180291;0.23358972387499;0.833123916315264;0.285614961198644;0.111169217348778;0.0214173280721788;0.117793250323221;0.0629625798992556;0.187393261622797;0.149829338176206;0.0285603121333157;0.0816992629029933;0.0558466687994295;0.0767361742882963;0.178562524462762;0.264376120857142;0.105019429441573;0.0901474440429538;0.382383377483002;0.258948640019694;0.169951311790921;0.00110494566999973;0.0294020299309881;0.0100039429659017;0.116845195603597;0.0708617255721174;0.179131280540825;0.0661854198825266;0.15421909519991;0.194132610600675;0.097643979817738;0.143036199011162;0.0869424448947091;0.0415040142395222;0.158614734915913;0.135774829495561;0.141587711738459;0.10989849618959;0.211296281024072;0.0175946697156498;0.171181212365077;0.159740925534489;0.123888660242279;0.944299159254867;0.0230764049437232;0.00504394428789875;0.00330955340173384;0.146010582694037;0.00484184014593417;0.0359976135036941;0.189889422269199;0.221550119216609;0.166556579515384;0.0671672294883415;0.105294774443381;0.0246952531475553;0.0672092986157118;0.0546653697959351;0.822858213542954;0.00825913852509185;0.213861657299919;0.0328658147265386;0.110281927383386;0.174686105011407;0.110883358469217;0.0760721456265705;0.167603054515366;0.0102193895560558;0.0334456685332039;0.133450867941969;0.0728776877345889;0.21200116668357;0.189576970517552;0.21864104286611;0.0157100102992516;0.279183947782328;0.17194847243904;0.0566151478597959;0.0758304110750011;0.180608073624715;0.0745710229773602;0.148411912269577;0.183705565536339;0.435072787137635;0.0156424873443617;0.0852030996008313;0.14367814135546;0.0529502351539074;0.0575363896908745;0.160946506161526;0.0168673174719232
"Amazon1";0.016497932752376;0;0.186718931945569;0.23902873999805;0.21054148420139;0.194845105397704;0.0571019549847962;0.230657804854225;0.831977748674995;0.281958889001398;0.139059983773349;0.00450806129375513;0.144367787736266;0.0828183505575321;0.209296696203872;0.170520416298716;0.0112326359537823;0.105147536317339;0.0429908454773523;0.0983476401599027;0.203009265348845;0.253044636054838;0.0952160438534772;0.0756152417277157;0.35928347536936;0.235902423253842;0.191463684049797;0.0160726942537882;0.0139394850471062;0.0060116339786995;0.138044895366262;0.0598914559305042;0.193074707916803;0.0551641064258172;0.13303851911232;0.209977805822847;0.121067693438994;0.167986616142454;0.0776432627660056;0.0627313861247884;0.181415413126797;0.167538509507411;0.15973581725834;0.129614352231007;0.227936908867015;0.0356262656165637;0.193283362700688;0.175558028636218;0.141931231558312;0.960477272891122;0.0405019948981655;0.0116195220497563;0.013623061245322;0.138659876160199;0.0120173910789316;0.0515385279466322;0.205350990061471;0.242752277084989;0.196971128167444;0.0901341486212195;0.12043500507511;0.00872759319038958;0.0858054848085271;0.0387507400079146;0.815980872406689;0.0264326407881777;0.232102532219476;0.0477963715559556;0.134308972549307;0.192912187286311;0.109328680994281;0.0633077525297394;0.194197605380606;0.0298476339106451;0.0540812716574341;0.161463118495192;0.0925252754303899;0.230747345171628;0.205581588650021;0.241436152605461;0.00102713687848323;0.261954279936018;0.192374477411414;0.07741417267139;0.0933813167645881;0.202090177400825;0.0946878270662224;0.132057692062568;0.203844851266102;0.429795842362967;0.0348819524653494;0.0682331513006072;0.174427912465166;0.0410908293754123;0.0415573223840714;0.154690798236798;0.0348682977701918
"Amazon2";0.157079129951694;0.186718931945569;0;0.0540137717349379;0.0240702925567709;0.014808344623093;0.112829468812691;0.420270950593287;0.881941950224673;0.45374768006426;0.0464709759979763;0.179510173778626;0.0373054642875369;0.093119562221977;0.0234722941701001;0.00965862962717507;0.195388569682646;0.0696456532456072;0.231168530769344;0.0815280746372108;0.0200543428146621;0.425536295617637;0.281224416061546;0.251832176274343;0.522059237014901;0.415779656896675;0.00910694063188191;0.167769196059851;0.198066190554809;0.177886816002824;0.0375753199854364;0.246810248670173;0.0112733677770084;0.244485748804656;0.306550367505882;0.0260920939285402;0.0523599319742332;0.0162166605082508;0.264553131100682;0.114079098644392;0.00101986724957142;0.0183462697038772;0.0203352676609754;0.0476868979864927;0.0442670312047718;0.138803014794998;0.0104682004871844;0.00244535992588944;0.0306331060361731;0.97279740373785;0.12963680740758;0.17234465240025;0.165993907048788;0.320658992605824;0.162075013617242;0.112623979458149;0.0231960210216492;0.0581323448899826;0.0141079836449676;0.0775101214566859;0.0429635276549995;0.189493009467062;0.0925003176650208;0.230911543714883;0.870417349606476;0.15378709788255;0.0477165150548656;0.123952070416232;0.0494422306785771;0.00893815079981796;0.294421225966489;0.255731704325766;0.00759402815091273;0.155488688620321;0.126941638005385;0.0235491936728309;0.08633274224687;0.0446876224230328;0.0233660459886749;0.0557819343715419;0.183791531894806;0.425428680442738;0.00753288103911232;0.104216501407217;0.0760237060937435;0.0176641104425783;0.0718477719033893;0.309698043856782;0.0190214455875558;0.575183333741602;0.143023532259465;0.262462426187529;0.0123942186972487;0.227954953023813;0.231065136932696;0.340136160739473;0.14413406498634
"Amazon5";0.217943852768801;0.23902873999805;0.0540137717349379;0;0.0290611572651203;0.0380706130431506;0.174975290468091;0.464560700492462;0.893516967708964;0.49672683261294;0.100410155073495;0.243569165501253;0.0910491058502017;0.150978984002291;0.0296624247587705;0.064145088568705;0.251061483961599;0.128626196738488;0.281112079881593;0.140486563317336;0.0313946109499994;0.469751226364495;0.330785598510912;0.318307929652786;0.561452206514365;0.461267043537622;0.0426338901531065;0.220222087351965;0.251800603650183;0.229885302958387;0.0933963023517252;0.297308539798719;0.0419846850311874;0.294755576677738;0.379615784679472;0.026182561725027;0.109657340454674;0.0693126767181282;0.314673194556824;0.173171137237025;0.0551959733561876;0.0721445533888513;0.0755289821938346;0.100848004024931;0.00896830113191235;0.198861715377164;0.0405334122422505;0.056398348178015;0.0861855695773445;0.975580074615546;0.192525290941503;0.224882630769394;0.2160910287765;0.372640223226075;0.221277323283185;0.175231728584314;0.028211316333411;0.00418780017490929;0.0364848308824806;0.134794528354009;0.0984400862024456;0.249317215280574;0.146544742348164;0.282432463126964;0.883052081776643;0.207117888625307;0.00637799762423645;0.183452023731811;0.102821482711459;0.0446797023448146;0.343547739614458;0.306126623495539;0.0453430339957029;0.207648760032165;0.180825728262692;0.0778581092341309;0.144278293825971;0.00818513634664638;0.0294517976919949;0.00170745627662441;0.237373421389077;0.488224541562624;0.0460076320968053;0.157253325609918;0.133343360232329;0.0359429810564472;0.131757134011064;0.370044275315205;0.0340781993134017;0.613554444943193;0.202783239541838;0.313719189156797;0.0659300710252913;0.280022602392669;0.281981544282945;0.387641676772153;0.196803284895497
"Amazon8";0.189011318516233;0.21054148420139;0.0240702925567709;0.0290611572651203;0;0.00891524370631662;0.142547013956446;0.432780969380777;0.887393114125226;0.474086619640935;0.0706896230307833;0.215165799391711;0.0616824080854108;0.120043007960742;0.000448641910134129;0.034653786524957;0.223747598299052;0.0994356401847655;0.25089334768805;0.108950191697796;0.00371166168357338;0.446381980504528;0.303605044176006;0.287789378519557;0.539737702663293;0.439127659252354;0.0142969318362352;0.192786354973904;0.224452329028353;0.200040748985119;0.0638729404086102;0.270293329725811;0.0128836433518551;0.266012507433344;0.357849920111344;0.00225590264010898;0.0792528783936305;0.0403318906470672;0.287729977317073;0.144323077762507;0.0252662144590781;0.0426773819388861;0.0463434288795364;0.0707632728124915;0.0198147292553819;0.167864971898918;0.0127649895684622;0.0268053942005057;0.0563835980524966;0.974111155246073;0.163822112011795;0.194060713680908;0.187829295393056;0.347206667424416;0.188676425792636;0.145344989111253;0.000135678164863049;0.0334751409460807;0.00863570125145465;0.105531415402385;0.0701174621208534;0.219041054074018;0.11534746934435;0.255025696861957;0.876365687220671;0.178454817469982;0.0224552621042272;0.152095785156643;0.0736062531456879;0.0154977310900931;0.315594257413727;0.279745967551851;0.0166294644495765;0.178738214372541;0.150148303783031;0.0485072576748736;0.115513217395685;0.020397825451578;0.000650560112844453;0.0309607400698003;0.210472556642435;0.465373302529074;0.0168146768804519;0.126909723364946;0.10475966757827;0.00647058209129505;0.103059939837744;0.344241329338699;0.00488608031904175;0.593350588819661;0.171920028704319;0.286881408265657;0.0366206657947806;0.252339748105779;0.252974004463275;0.362420127852268;0.165823000714736
"Amazon9";0.179052142712209;0.194845105397704;0.014808344623093;0.0380706130431506;0.00891524370631662;0;0.131115583254315;0.431427652984049;0.882935994432026;0.462718684778345;0.0590707283926765;0.197913465869301;0.0508296746227369;0.111730360558934;0.00855812031723345;0.0248736675250112;0.208209325249426;0.0870798174524075;0.241116203072141;0.100396322589195;0.00489152282002793;0.437736058998576;0.292115975380198;0.278233937662351;0.533266580016954;0.420508260355251;0.00501574407564106;0.17725603255337;0.205392515630785;0.190283218439459;0.0538916465444708;0.254235873878076;0.00360107541506216;0.251336688627926;0.344295085640597;0.0113063842013653;0.0702361192924122;0.0304586673515131;0.27654130112012;0.132207513967578;0.0163739074431334;0.032406139638611;0.0357671435244422;0.0627814075437209;0.0293138851899624;0.162297621300221;0.00402256803595745;0.017819351415183;0.0476326486617563;0.971246941536175;0.153732370042363;0.182275775688093;0.1761368487371;0.334703855482381;0.185438044452211;0.136989327632087;0.0086477210697299;0.042726979006872;0.000191054523407499;0.0942900929113862;0.0600137056684529;0.205742528796154;0.10728519790229;0.237167071482799;0.874154281891957;0.165071905387705;0.0320404263069757;0.147166723821321;0.0636244029497713;0.00580687280910413;0.304892293190973;0.26109926978323;0.00718634106332565;0.169620602105716;0.140312176429179;0.0370082788459677;0.104761732322557;0.0295873160918822;0.00851268287082843;0.0397309032348382;0.191859483790611;0.456379129982185;0.00723199755623341;0.117510334794123;0.0954869130255379;0.00264267047960516;0.0904953450041511;0.332439826593018;0.00415395578538352;0.575195849120583;0.162493513401959;0.268675568777554;0.0264549953870194;0.234082465139821;0.242331693267749;0.348379207419325;0.158848204436149
"Andira1";0.0389355268180291;0.0571019549847962;0.112829468812691;0.174975290468091;0.142547013956446;0.131115583254315;0;0.285739139323813;0.84871658252147;0.338550205767502;0.0624811437412875;0.0646665545121542;0.0742730251981053;0.0193774252274217;0.141281474336072;0.10461905325497;0.0722888288941361;0.0432135008700845;0.0993223002939616;0.0305431147834855;0.12999355455007;0.320570771597774;0.155378834817272;0.141906553740414;0.427719065329709;0.303309056995076;0.12704253167806;0.0422600419070009;0.0732052405575671;0.0523072247552888;0.0751906130491797;0.114940374147385;0.128446956636822;0.104896420478515;0.203945113876079;0.142957961698797;0.0586595780897373;0.0955280824666276;0.127375192199707;0.00174955607868266;0.114418981541981;0.0949020037265097;0.094847301601166;0.0655985969963521;0.161116827093766;0.0219582338142554;0.120744691397648;0.112924532167302;0.082352588874622;0.963286985641908;0.0160533795945174;0.0464675308175576;0.0428558792902815;0.206887521768374;0.0446951689517181;0.00231355863212927;0.140307254626062;0.174958369733101;0.129555150081188;0.0269786702245939;0.0637882569412684;0.0692214238012316;0.0212761360628209;0.102490472800383;0.824111651304414;0.0312485756958253;0.165353661248027;0.00899779126374477;0.063870405448398;0.125538210409685;0.165818420726816;0.119723559357969;0.119929427147812;0.0285129696454492;0.00524422410905438;0.0880730690996755;0.0257032703649546;0.16197084254263;0.13962935394773;0.17637396003989;0.0560090287687102;0.335157152977045;0.124067385998459;0.0129212656777963;0.0342849561737704;0.134811395365503;0.0372732845060869;0.195652181250175;0.136377059229769;0.482122160053197;0.0233629516340849;0.135982848207631;0.100331558276447;0.0999051923464425;0.0962212353985914;0.218023726372485;0.0220060859734689
"Apaporis";0.23358972387499;0.230657804854225;0.420270950593287;0.464560700492462;0.432780969380777;0.431427652984049;0.285739139323813;0;0.627216042029686;0.030426549631879;0.374803160602215;0.229367973271715;0.384878433335632;0.33513472907648;0.440676896898573;0.409204038421676;0.221463881829949;0.350584799150799;0.194287173425027;0.340608690735264;0.434942247835064;0.00530047628456915;0.12841327469678;0.158216550180636;0.117304730274402;0.00178822781937659;0.428303969786508;0.250468625984897;0.222165327365193;0.246462059849652;0.385842396638624;0.169453424815321;0.422294206626412;0.14773368667175;0.0900399637015731;0.434981190274377;0.351772889719962;0.397226118657689;0.155054815680973;0.284515178894006;0.417819216132924;0.403627706225967;0.38022922645591;0.372151772420463;0.457214876664103;0.280089166088228;0.428486828744631;0.417837308370372;0.391611981775098;0.76562631714541;0.288747171994538;0.254565159953801;0.235821849146338;0.0924672713699086;0.259036455714013;0.307126359944357;0.435016986730778;0.468019539670296;0.432623461189948;0.344304125606896;0.378206112368171;0.235522497452474;0.332947807923944;0.176471701981658;0.671382477973941;0.268726213910862;0.459337395923218;0.300550081835433;0.363757448467023;0.420379896698843;0.125147089945865;0.145046827794183;0.425018928610798;0.259796278925044;0.304341069391465;0.389169334430544;0.324407409469123;0.45467249851732;0.439878674041435;0.465912571715337;0.242377537855741;0.0245180120712649;0.419529030834419;0.325415806604506;0.33079469252485;0.435628195164543;0.350702397996914;0.097147369057743;0.431111775812788;0.161813601970395;0.281352460191357;0.143684595242437;0.397687338565103;0.193575196075002;0.185310521823406;0.0842761093692404;0.288532716174737
"Apurimac1";0.833123916315264;0.831977748674995;0.881941950224673;0.893516967708964;0.887393114125226;0.882935994432026;0.84871658252147;0.627216042029686;0;0.695067502476485;0.870803169706581;0.829568785664218;0.873091343669685;0.85784548691432;0.887294727226758;0.879558631401292;0.82641777850264;0.864214463994543;0.815990402406235;0.858622257743962;0.886519988804199;0.690011066726514;0.79690395528128;0.787623752206051;0.592236070653883;0.7324805731575;0.884168841241202;0.837802257847906;0.827043161597782;0.83426031566226;0.872520179884346;0.811641674126723;0.883435485105432;0.812667647390801;0.723803243266741;0.887891819571336;0.868439118964678;0.878200211469767;0.803394691133439;0.849007351159236;0.881700506440807;0.877653958578848;0.877067348432145;0.870569316255569;0.891620606273927;0.840224044090081;0.884403543988744;0.880427208245406;0.873046289128334;0.493807317769363;0.84415156547767;0.836256044013731;0.836966769491049;0.778038470588464;0.824864732041598;0.846941677513554;0.887362359640496;0.894404617066304;0.885405845632594;0.860261745879527;0.870094335139725;0.828839021318396;0.858559155775201;0.817300968328584;0.0212255163752755;0.841351912053563;0.892170115373287;0.841307877846324;0.870310325844105;0.884034919008678;0.793567063136402;0.808141900756531;0.883675102247754;0.841819772334542;0.849804842411336;0.876455828847384;0.857365704152195;0.891771794235588;0.887248933832783;0.893864300893207;0.832333580771262;0.712843409743512;0.883712380547661;0.856039469391519;0.861956046069447;0.885725542953035;0.862764329164391;0.782050538388841;0.886315481829938;0.617011027681697;0.842169620332426;0.805592794531369;0.87910229365247;0.817272406762884;0.816541450074138;0.773723448313262;0.843961443488532
"Arinos";0.285614961198644;0.281958889001398;0.45374768006426;0.49672683261294;0.474086619640935;0.462718684778345;0.338550205767502;0.030426549631879;0.695067502476485;0;0.410953628882142;0.279254909783357;0.415333212799316;0.368609753460961;0.47376228627847;0.445326884217761;0.26893162788255;0.391233447115715;0.230036658648753;0.377357195570873;0.467023202364422;0.0288116635877223;0.188923707970625;0.192540297325594;0.0742239168739506;0.0355810177923717;0.462400326971448;0.283596238853511;0.267662433339361;0.281646542821472;0.417676299419635;0.226863213297056;0.462564980881537;0.22994923362063;0.111432040355027;0.475907285326358;0.407444414285984;0.438264836607172;0.210405545383366;0.348997837307904;0.453105922104161;0.435810258536542;0.434591370346745;0.411499303425244;0.489632962097915;0.312110950015249;0.461036804776942;0.448502560224607;0.418786823290093;0.929084728997819;0.33020384784342;0.288525269808866;0.294870745553148;0.140507956899444;0.281008047486821;0.335333306321425;0.473288130503518;0.500012491045444;0.466762110634493;0.373068308028445;0.39405704771167;0.276984126331215;0.370640891883201;0.240128391561392;0.620163658830325;0.311031790798613;0.491672671933747;0.327259580170944;0.408631060570254;0.461918058483599;0.181058453489644;0.195601905430723;0.457961767049748;0.299706355148253;0.341205403647032;0.429520078101638;0.37350872538732;0.490229331978736;0.473560912111477;0.498021204389459;0.284527849124837;0.00886936643758992;0.460405201477296;0.361956978784453;0.3755537543674;0.468062337235253;0.388000838413115;0.135611581816572;0.468863364758557;0.157353459776683;0.318593925685588;0.196812825749888;0.4431961985852;0.245787979752996;0.234692431045241;0.120507375685619;0.319236706419253
