"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.0793997786015932;0.0678047732725231;0.119327187407079;0.100844891625139;0.101920499354197;0.0671587624992372;0.388184207342441;0.927343162024237;0.361968904036028;0.0932279802167003;0.104428150405282;0.115222664996676;0.0492139557518196;0.0856215204943437;0.0351154509705318;0.054606022276457;0.0240125421885136;0.108227939656548;0.00744861974379396;0.136931866374888;0.292211689431693;0.162277937306425;0.116097437527378;0.412132283743988;0.320537410747592;0.107475943381902;0.186655030471801;0.1116244627369;0.0505084441875094;0.0779941158542205;0.0779517174990624;0.114668624863215;0.108172723903176;0.298190533733688;0.121889509867509;0.0640824542455596;0.0896114521740498;0.216314923394358;0.00343745207370043;0.0887666782375774;0.0399929707723441;0.046870257176699;0.0476379410575022;0.181037395846184;0.0136810983563987;0.140615759068102;0.124151454405974;0.0702310058979379;0.984778221926713;0.0622139250884052;0.0535865891234573;0.166778278785104;0.17566848554354;0.00666009138863453;0.035641275234751;0.124488165002381;0.192509102777349;0.0633980059288565;0.0278190019469932;0.00281749259703145;0.117425163224197;0.0972929943211108;0.169763835894027;0.875232443038755;0.0323136963877545;0.159871569657919;0.0309498104670364;0.0458911671007684;0.110874378530481;0.210558351742879;0.161166152770232;0.108845786583541;0.0197407253270515;0.0473292941979231;0.0528414569129264;0.038166704791787;0.156192742626363;0.143641820579535;0.133210170240009;0.0341274039539916;0.34327944697862;0.0975994893819584;0.0342170636270159;0.0907082742278172;0.103585144449662;0.0502810806642336;0.0906525309991314;0.131698517575456;0.527962712091716;0.0196241535127466;0.230638762707366;0.0735031684494477;0.102729052645172;0.109405340215373;0.187720207471215;0.0229714523398231
"Amazon1";0.0793997786015932;0;0.1647121571343;0.210699527063128;0.194633970286956;0.192113214393518;0.0148088785008228;0.304291878664566;0.912994996754219;0.300742919808914;0.192408687580917;0.0176748553284373;0.207915024102478;0.139039600137177;0.180699556632907;0.130959942660641;0.0290145809681674;0.113768186394398;0.0336065917622457;0.0967693709668438;0.23697432334815;0.217148736433657;0.0838618073555035;0.0326394951834839;0.326023754819879;0.234076917456266;0.203398452909719;0.110760848222993;0.0293199606149307;0.0241649536683917;0.170283922580579;0.00547187263102318;0.199255519808475;0.0303489759838145;0.189265281164882;0.21007566702331;0.158210260953407;0.182238323158473;0.14304907686077;0.0905069879185461;0.178777476502041;0.138281228949054;0.139089234621823;0.134120951608082;0.268871688695329;0.0995303293793929;0.23425679365874;0.214601088615222;0.162107198546562;0.981664344422649;0.0174630572238855;0.0239473267641952;0.0936554005712803;0.0873859780810348;0.0872871747903817;0.0394105190669756;0.220335047816697;0.279866582702629;0.162733191135534;0.118096962164247;0.0850536824342507;0.0324620593646037;0.187442086068855;0.0917256865710159;0.851333642849325;0.0491535114823452;0.247482290556544;0.0474354956888896;0.136810719872095;0.20041428961302;0.145842170533638;0.08644030436888;0.203076407181585;0.0647232499971766;0.0345566581322197;0.148109084481955;0.131481034586469;0.24610024645386;0.231649368470212;0.225348273727019;0.0500018460935643;0.235441791498543;0.188743544962834;0.12153164355486;0.00911223046187988;0.194146653285578;0.0270968225857642;0.00454850654182688;0.22173459692937;0.476251002480142;0.0651133121525095;0.154195021871416;0.169127281233126;0.0186890270375378;0.0262963978682811;0.0946245123865829;0.05539858103188
"Amazon2";0.0678047732725231;0.1647121571343;0;0.0462210418367185;0.0296904265743803;0.0309690887745044;0.133921410635967;0.459545433527227;0.937061844768788;0.448413306693451;0.0264531164517335;0.167169884291767;0.0434445275271529;0.0148595766544262;0.0166348497063894;0.0282440601405807;0.13099124757046;0.041306525841055;0.189223478829241;0.0597080656300611;0.0736969137053001;0.372848327623079;0.253972957243913;0.182951598306527;0.475695050737746;0.393542137091267;0.0381170031998705;0.280888716059444;0.193533236623886;0.118466403796711;0.0112032686094847;0.152610649921313;0.038942196665264;0.200199622302125;0.343238904384296;0.045699300925525;0.00088069818470016;0.0192058126188167;0.305064051217954;0.0631520247486778;0.0158932731045947;0.023274509970728;0.0215656016535627;0.0186911722750689;0.106825415663965;0.0484542108462876;0.0698419414517598;0.0514885410177902;0.00456851480512517;0.986866659669021;0.136959920284073;0.128707025726404;0.263373423178989;0.25424613292737;0.0584038474596298;0.0962427197478422;0.0570850101276731;0.119933120641227;0.000392452227564837;0.0327377440561561;0.0597125141881607;0.183928174217054;0.0269898362962303;0.261194588492107;0.891529236249153;0.104875934133421;0.0858251943468907;0.0983598681749942;0.0229276200666654;0.0366508603998499;0.306921688052346;0.256591082925234;0.038661825547929;0.0971688648480637;0.122252672822337;0.0148987239099687;0.0297542734929712;0.0822659222112026;0.0700553743137709;0.0603915565340304;0.108199203609928;0.390749270512577;0.0246623858127575;0.0336592426252143;0.166987403230741;0.0311072578054117;0.113754423488569;0.155922367452137;0.0569160438972791;0.599363390860773;0.091455224296383;0.321763513790757;0.00527708725476688;0.177173978703394;0.186366916372536;0.257022852919952;0.090200382294113
"Amazon5";0.119327187407079;0.210699527063128;0.0462210418367185;0;0.01585818005227;0.0142886861095093;0.194586239700068;0.495903520337569;0.942552455223197;0.485183510304268;0.0183576374502277;0.23115109126278;0.000361781594454961;0.0602671517774459;0.0277697933119786;0.0742781477142056;0.180687129806293;0.0917880672444985;0.234339925357247;0.111935400067681;0.0253713213779663;0.412684830409593;0.296154140216531;0.24556363385371;0.511287301991223;0.432550355177968;0.00239248904845166;0.321448675402178;0.241217655352408;0.166196670159874;0.0298953762534461;0.205171245554834;0.00587916831145796;0.244235923544673;0.409688182451556;0.00106686412922139;0.0433097560307038;0.0257652314839819;0.34717310248167;0.113749282101219;0.0295860386852869;0.0674580646195635;0.0693342122097904;0.0629265447316671;0.0608002735358152;0.0968874998029455;0.0236407761576127;0.00849853186781082;0.037026043697076;0.988039216805187;0.18663072983649;0.173429289299646;0.30444275625322;0.300313915569102;0.106348708392189;0.148596337434948;0.010844140032546;0.0735461325602799;0.0429192942989816;0.0794237262678254;0.108427926710739;0.248733227861191;0.0162501776931085;0.302546361890495;0.900788583708083;0.153361292418174;0.0392414634423599;0.147330206696342;0.068822188131499;0.00894095925770629;0.348923481290016;0.299246595248518;0.00674963068844721;0.142124903875295;0.17275407336064;0.0611857419912802;0.0774206131770137;0.0358124104164468;0.0241370270160075;0.0141766484676758;0.158888550799177;0.454210820190977;0.0209287067480787;0.0797244328621181;0.218478655786969;0.014087998964375;0.172803228223498;0.21718561436019;0.0112375674281594;0.628780779237271;0.142166177534944;0.361140597127801;0.0398242446658592;0.231218138175853;0.23216415059049;0.311413826831315;0.138084474658746
"Amazon8";0.100844891625139;0.194633970286956;0.0296904265743803;0.01585818005227;0;0.00126959968237178;0.171474523267675;0.483791422919859;0.940701535284559;0.47258137456816;0.00314980090286498;0.209210270755119;0.0146870269082799;0.0445556687272109;0.0121708202109356;0.0601958602443329;0.165300973199972;0.0741439893956138;0.225412533574344;0.0918586882265539;0.0413844736290641;0.399567042990151;0.280375799353809;0.231708665075775;0.499118954749416;0.421436552065629;0.0121796319439902;0.30868235679469;0.226077092262557;0.152724968678299;0.0152807156380024;0.185547368773152;0.00955018011810316;0.228330263955794;0.40216300564323;0.0162552238777816;0.0280994298239959;0.0100554641908708;0.332777859681921;0.0953032518530084;0.0130466264285843;0.0533267986235526;0.053232628017106;0.0472110346490459;0.0772795281526623;0.0817496127608963;0.0391427322909267;0.0236554411655047;0.0219516761237608;0.987644527146477;0.171601471105494;0.162166275553244;0.291131721347502;0.285529956980838;0.0913032781665699;0.1345575015717;0.0261493940239276;0.0907581056082815;0.0284752989544319;0.064535376830316;0.0955669399519292;0.227336523460991;0.00117890465453687;0.289351925181629;0.89766294958217;0.135903198088575;0.0556714350428235;0.134709741959286;0.0522556887741924;0.0069724694445975;0.331959136544867;0.284699073361003;0.00852300514999684;0.125564985739945;0.154510638618402;0.0450531378352572;0.0600885725674233;0.0514338395309752;0.0400701003590752;0.0298405137913261;0.140517351919576;0.441152352208566;0.0046178413618388;0.0639162477852236;0.2035354352813;0.00184455869612652;0.156539212664858;0.195176422054679;0.0267255462029019;0.618773486614591;0.126268799595431;0.34896057140582;0.0235239442884498;0.209863073090949;0.220753329293113;0.290402538208989;0.122531383304949
"Amazon9";0.101920499354197;0.192113214393518;0.0309690887745044;0.0142886861095093;0.00126959968237178;0;0.172952026103202;0.484068325637153;0.940855323706599;0.473202189008141;0.00431515089659037;0.203612909402062;0.0129355105349753;0.0453706193201885;0.0131987272710583;0.0600743294701373;0.164552899940937;0.0725242316281159;0.219712050273984;0.0942673229449306;0.0400932794836906;0.397866338406443;0.282158625864177;0.225624152098149;0.5000945276616;0.416201263263726;0.0105669475780471;0.302450458489967;0.219304833595005;0.148917293007471;0.015926747430963;0.181557523598502;0.00823492926465836;0.228490037435916;0.402816723347162;0.0151207647939133;0.0292004089569862;0.0111092149969032;0.333444226035558;0.0956017867108801;0.014458652254541;0.0526424906345848;0.0539325003554389;0.0484593963235124;0.0758092125990032;0.0824831647714894;0.0372123980887227;0.0226333839163189;0.0234580459236805;0.987677343648488;0.172969478612256;0.157910816245673;0.28817219413579;0.285015001676795;0.0944134876763365;0.131136054935046;0.0251456268604043;0.088800939336041;0.0284320772619061;0.0646900007121065;0.093094005393979;0.225315854994969;0.00236130946765936;0.282342109448408;0.897922486053165;0.133745939196491;0.0540058181587996;0.135747085795302;0.0526430629520303;0.00550913668589304;0.33364724981313;0.281626986823955;0.00702489953688386;0.128577342614104;0.154156572376921;0.0449668877114254;0.0627986651013241;0.0497318321506439;0.0391780151210837;0.0279430475503187;0.137690324929685;0.442229347865562;0.00590269466674394;0.0643604250625258;0.203647074943512;0.000549545114701437;0.150450641174721;0.195105717032304;0.0251986861354239;0.61650965139246;0.127212379347595;0.34175980114027;0.024254408550459;0.20504082974475;0.216605775510075;0.286305914318186;0.120636832820365
"Andira1";0.0671587624992372;0.0148088785008228;0.133921410635967;0.194586239700068;0.171474523267675;0.172952026103202;0;0.31940355119435;0.915957329831659;0.30828539903297;0.159187279769656;0.0372592306432251;0.180748128058156;0.129572885888528;0.15709620856603;0.107686880488977;0.0122381295526489;0.0990881082502081;0.0469092291992457;0.081321464944247;0.198523244850887;0.234690403733445;0.0946894492718817;0.0528282800652915;0.349995383311697;0.256802717623006;0.190455341780278;0.130189474882913;0.0462144556508758;0.0095427261513793;0.157128389829394;0.0103988692515508;0.186235284060532;0.0407107219741179;0.228387061207537;0.19540378230361;0.145336647659027;0.15521751709999;0.140673875705009;0.074467154027748;0.164569883131944;0.109527559218624;0.114742949638132;0.118859776266522;0.252944305738091;0.0846946864972478;0.206014094821367;0.200140358123781;0.148653766610367;0.98231025425799;0.00234048604240725;0.00772348128277614;0.105963696417671;0.111090494395191;0.0736153725042016;0.0281193143406672;0.192245678313273;0.264358328656484;0.141099520604971;0.103958061579612;0.071600956649711;0.0541627519096653;0.165896262840587;0.107107488291095;0.820191416664769;0.0319283965593672;0.232665792718254;0.0339253857064126;0.111488964685021;0.182933599260561;0.157209485994772;0.0919746906124533;0.173728726741108;0.0417078623807979;0.0192014053380443;0.116196482869148;0.105353440383071;0.229093861748383;0.218081050381831;0.208380824790872;0.0317833733381498;0.284269873475498;0.173207009040792;0.0980730078658869;0.0256033168462327;0.177929674032919;0.0141707620054357;0.0213905823471897;0.205576871309851;0.491099647599412;0.0461155455819796;0.169443095983972;0.141958142009146;0.0351487558230144;0.0388756311956198;0.119063028288723;0.0403767875927099
"Apaporis";0.388184207342441;0.304291878664566;0.459545433527227;0.495903520337569;0.483791422919859;0.484068325637153;0.31940355119435;0;0.836807673337421;0.010625701171204;0.481207896224446;0.273140042194373;0.495896443148588;0.445774960226429;0.473959055602199;0.432015311700179;0.338926614309015;0.421404387962108;0.259415330613426;0.394926197948587;0.517105383138311;0.0900423437635379;0.197592743927267;0.260431160894573;0.0163178631296659;0.0602896359769199;0.494145595483421;0.177154983012244;0.27472782436245;0.318705629897558;0.470516704268834;0.307114209497669;0.490738434819806;0.244747782149964;0.0882804942460687;0.493276308842974;0.453875987383372;0.473974308842532;0.150010803892881;0.389804180307191;0.471208013860053;0.435649356215182;0.441396219946056;0.437979430120735;0.541264212051142;0.402624029411944;0.515349691895278;0.503151804552785;0.461457665779835;0.964891929445931;0.332883619232517;0.331205453000268;0.189498811677301;0.214479611979472;0.399270869706879;0.347634921280974;0.50452910276135;0.550807611088584;0.458338871425813;0.428048222998235;0.402170133673411;0.26674392662723;0.482779133698907;0.19925147338772;0.694787338290402;0.354916447318238;0.525669251980254;0.354623920059248;0.432971566060545;0.489270186604316;0.163990915219055;0.192952583423828;0.488558548251608;0.369658841854811;0.347984261766174;0.447254990253466;0.428918588373089;0.521631535490621;0.514738335045554;0.506235699319627;0.362058252638451;0.0434621515558753;0.478807714127884;0.426179972080161;0.299723723583908;0.485260370895458;0.332254924585013;0.299677379468814;0.504205245305201;0.144510153549867;0.367226143601649;0.133355072971827;0.456576889681838;0.278325653577273;0.260186073410139;0.206094267723347;0.366501220548874
"Apurimac1";0.927343162024237;0.912994996754219;0.937061844768788;0.942552455223197;0.940701535284559;0.940855323706599;0.915957329831659;0.836807673337421;0;0.842596198509491;0.940312784622242;0.909311998776563;0.942507501436415;0.934857159297582;0.939215541506611;0.933005099438742;0.918167092642008;0.931150375797567;0.906107357743027;0.928546442732138;0.945609321856171;0.86701570632707;0.896427620717137;0.905639744640588;0.832350980309874;0.859941962870568;0.942247662839797;0.889695762165109;0.907373091606894;0.917818826115143;0.93869113646412;0.914012012063286;0.941857346653863;0.907015512161514;0.856508880812967;0.942678512444459;0.936928790558317;0.939447587159726;0.884953687107335;0.927919399321266;0.939095252079524;0.933856512096032;0.934222593080574;0.934455773094797;0.949050381817759;0.929665679970526;0.945355454710032;0.943577152596114;0.937738239991405;0.297327224375235;0.916402951286591;0.917506386493437;0.893751250439442;0.89572520181944;0.92844845837344;0.920948619551607;0.943860889880717;0.950383422696685;0.937117717693842;0.932106253983465;0.927825531923781;0.906294681562184;0.940549364691102;0.894233204598458;0.189740039127283;0.921792474668902;0.946840177185171;0.922256573112383;0.934009409178802;0.941522018358008;0.884533034130309;0.895359761608517;0.941738750543536;0.924013934738456;0.919304316455029;0.935165477388093;0.933155253004386;0.946448291099327;0.945266917460925;0.944134168862467;0.92157982793526;0.853802648107662;0.940138329895666;0.932432164644928;0.911124923406409;0.940922046428784;0.918464248370498;0.912077075570815;0.943836582100735;0.770252017792271;0.92416830905932;0.880177371041751;0.937740919727685;0.909366559222018;0.907625691892165;0.893228836952226;0.92318224670183
"Arinos";0.361968904036028;0.300742919808914;0.448413306693451;0.485183510304268;0.47258137456816;0.473202189008141;0.30828539903297;0.010625701171204;0.842596198509491;0;0.470155174997032;0.267916311047497;0.484445898757442;0.432915273154286;0.462808028355387;0.421780710397228;0.328177676448913;0.410242690216106;0.249699251611944;0.39411070620576;0.506231646193546;0.0790028032880407;0.212338178768329;0.244423926917266;0.0264346532233682;0.0493745462279836;0.483272468389203;0.164413087948813;0.268453910930825;0.309964004523654;0.458318250476255;0.303135996693111;0.480413940375012;0.268807932529048;0.0673487752354689;0.486221642282963;0.447702996413341;0.464356414031297;0.161220684721272;0.389252524040047;0.461802941454995;0.427669916268575;0.429839948360844;0.426976042234143;0.531086030117705;0.39162289600437;0.50437110988063;0.491445805736206;0.450925965502231;0.965863916224555;0.322711630213967;0.316783309736153;0.183930401324618;0.206889541620611;0.38479259098732;0.331007961962032;0.494045549704021;0.540778083570462;0.448716538151632;0.41437801671061;0.373468745640062;0.262311357771951;0.471099875505384;0.191835256503353;0.663193006418971;0.350997461056621;0.515043655717877;0.328758877046021;0.427403389972807;0.478328853090429;0.160564779610388;0.188817021080017;0.479802321262839;0.360675422295754;0.339708668238394;0.435421456092096;0.422273648499965;0.51247713372246;0.504160950666425;0.496263151259625;0.352296167760993;0.0304866246776493;0.468982831363437;0.416959874999836;0.289381280732917;0.473996309720458;0.317422201556881;0.281830507877993;0.494142012719208;0.189883825745;0.367491583897134;0.122929109038345;0.452859693748412;0.282796971844256;0.254218455052314;0.184525930906196;0.357820284441356
