"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.163458308416488;0.149158142788808;0.176232690122558;0.139231590179264;0.139716342783892;0.143061500646646;0.23848328981671;0.544303673440457;0.139727249307778;0.172991860297263;0.124274521083982;0.148438803819686;0.133362102896889;0.148207523555169;0.135095127560595;0.11656142048841;0.127770557974268;0.16088714671571;0.131127685473972;0.154732269170529;0.122639989636762;0.126060906830338;0.118017712569866;0.161914285738934;0.145519640263311;0.131602825966221;0.175371480590171;0.144047765356468;0.15420808791071;0.132584815652643;0.13253417024517;0.132102181928189;0.135552560823327;0.181810247619585;0.137616946897522;0.150272313253256;0.132430146895878;0.133388302612597;0.104684350675548;0.143111270399548;0.159689869115544;0.123299405450276;0.149366658462708;0.143416793501386;0.139173272938285;0.138510975350325;0.142276096062419;0.157199887513898;0.662129181869689;0.143216229818242;0.168855505579266;0.157634089230843;0.133243010302395;0.132443220297827;0.123907821481;0.138280601716893;0.141703108721061;0.14177213885201;0.139588469308214;0.105034024846797;0.12945606551765;0.136109260905672;0.0987969085630379;0.428860690408569;0.151042150362067;0.130705041365272;0.10034515974507;0.121866503662173;0.139419383224568;0.162318327123085;0.162197858059694;0.142206474849855;0.138808385616498;0.131496766655621;0.154748869933153;0.12730583333885;0.127755585115085;0.141012294197804;0.171475094211255;0.141682299067779;0.160866954933869;0.13951297899749;0.151484291558499;0.123869465225131;0.133474483609458;0.120012583342406;0.146577549820332;0.156371714714296;0.16375569450962;0.112068482486731;0.118042164190631;0.153325506344968;0.120102039718602;0.133786718997973;0.134856795497912;0.15390209074803
"Amazon1";0.163458308416488;0;0.0741577410331661;0.125812687332917;0.0967085293752946;0.0931702975121822;0.112575364620752;0.17898945440949;0.566941156007129;0.112772351134105;0.0625811140905923;0.0897530173391488;0.0824243128552406;0.0903045585913622;0.104418033161809;0.112050450768029;0.070987637936316;0.0963547341230851;0.0487278283248947;0.0702201792840565;0.089343990839174;0.107304635040308;0.0696886776341994;0.0953215146943438;0.224753714980352;0.183542698444929;0.112369796157404;0.0705821849157253;0.0622572797791176;0.0653246956549913;0.0947512651560762;0.0548245211518566;0.109539653398256;0.0700834866619004;0.186911461616292;0.105350673754588;0.103534188859915;0.0901372807602628;0.0926434759836035;0.0929236190968111;0.0908185470370474;0.0794875046030999;0.0823141378206667;0.056061062424877;0.111197982297987;0.107911307923999;0.0807349103512255;0.0820146225158349;0.0987985421630381;0.680125862684492;0.0899216135790008;0.0868656168972624;0.0911476681851356;0.0574108765213721;0.0749240691254555;0.093618410113613;0.104986971674842;0.0958647349807347;0.104561532880568;0.0919241845226194;0.131998355146294;0.0907025304751384;0.0677090806926507;0.0938050638706422;0.455790123736144;0.0787328696535532;0.0983851186657036;0.0852143213328045;0.0685580802846964;0.102287692848694;0.0323958603648632;0.115147907575798;0.0880748504726342;0.0566072648999355;0.0631138687512959;0.0938597422613279;0.0786466357851649;0.0954137327299482;0.0988962441553662;0.120073777550381;0.0633862542309009;0.164055362509721;0.0842260116345258;0.0722345653968828;0.104051370275528;0.0943447788739133;0.0909139330063328;0.155120929127135;0.11404035750598;0.203460780310735;0.0798668718958626;0.111951419622786;0.0897181749915587;0.0786537826134805;0.0854231198215726;0.11535069866027;0.0807247157871216
"Amazon2";0.149158142788808;0.0741577410331661;0;0.05214142499647;0.0267084830094301;0.0329075419035223;0.068423609732522;0.222082136689969;0.615232625366125;0.120711412440378;0.0399421698983297;0.0610840433729833;0.0416235884188237;0.0412831222347087;0.031990736993319;0.0447224909221247;0.0848270380752534;0.0486573748500283;0.0968686183714383;0.0438478561805437;0.0320325193290404;0.174709960143146;0.101154844578801;0.0863929981211838;0.244117669330393;0.220384077117108;0.0422073584869306;0.0597208474049113;0.0765115476785812;0.0792407356145101;0.0410698665128199;0.0625451072060847;0.0396041152927829;0.072746309697667;0.176818421312114;0.0437388628844752;0.0414358198530838;0.0280087917518728;0.101981159284153;0.0511768883541604;0.0292603263580319;0.0223181203914574;0.0476796713628057;0.0232248425152477;0.0413683239827629;0.0889428537557348;0.0256975349830334;0.0286642416965527;0.0540942061784889;0.718066759521393;0.0590601667450982;0.0598801959952095;0.0524956847526254;0.10940584746875;0.0721427498350081;0.0521867974308983;0.0386130923962542;0.0261039696129552;0.0363642344680711;0.0415197699370892;0.084738985523156;0.0751833532821798;0.0539930923738174;0.0850028846176283;0.512081145638587;0.0598287024005446;0.0284795922823559;0.07127208794919;0.0449165759455517;0.0323126260819403;0.0626470711990133;0.153654522703135;0.0345785885159604;0.0867634008543625;0.0340466932941435;0.0388080554566691;0.0512503917718534;0.0405938952943117;0.0281314220038217;0.0463285645924258;0.0516696520353724;0.164765422554386;0.0274182169208139;0.0451188691410482;0.0683848802004019;0.0316830131478249;0.0398106967860597;0.138571334036816;0.0482512024352747;0.235626685853988;0.0639110676763063;0.131891364818236;0.0159063335899124;0.0664914141108171;0.102109519055147;0.120254505202823;0.0462138299218921
"Amazon5";0.176232690122558;0.125812687332917;0.05214142499647;0;0.0394220253456513;0.042824353617243;0.0478531382772137;0.271084490287171;0.646630715240736;0.171720656365325;0.079750345005408;0.078096060986009;0.0913748379978254;0.064501960192169;0.0390164534831197;0.0551916946163804;0.136365318905725;0.0716857948195185;0.148222752139752;0.0656061098715319;0.0631956684545023;0.224803509183857;0.152491972360316;0.110647601535245;0.291712390170371;0.269429450622847;0.0527032079996926;0.110580809029087;0.1146192651046;0.130736478388994;0.0637892235215448;0.114313733282536;0.0502271836445386;0.124415813538256;0.189715914139812;0.0540946698691243;0.0475512966630885;0.0776717815404472;0.153257097630062;0.0795174498557641;0.0417937174485248;0.0624468421963567;0.0775923253094055;0.075071270017458;0.0517833418816882;0.114462210743128;0.0745569005691273;0.0541293800424281;0.0701657112668189;0.742411536306732;0.0846575285508822;0.0968018958996446;0.0805106810896265;0.160630940927852;0.094300588858093;0.0750560293689073;0.0431913383555331;0.0388172315945419;0.0488504221991308;0.0581112977492018;0.102195172954416;0.108499035734381;0.103325145024798;0.136433240808946;0.549549253499314;0.108885514119265;0.0503156623021101;0.0992669866470178;0.0968277577065948;0.0446696164840243;0.114414759518065;0.203788982039909;0.072577730990724;0.132891394922708;0.0860353845673937;0.0763813819458216;0.0705028174899896;0.0519899724081216;0.0389332608753762;0.0058269361688406;0.103532148039746;0.186551706390522;0.0420320770456658;0.0868963714567945;0.0936437514004886;0.0506033325389827;0.0631211719817811;0.158299642377963;0.0348369095663545;0.282535372235398;0.0884013454868074;0.182423116565857;0.0540760903670309;0.116995596057046;0.153110647789097;0.17126635812961;0.0959653761402499
"Amazon8";0.139231590179264;0.0967085293752946;0.0267084830094301;0.0394220253456513;0;0.0213696116209078;0.0616502987275181;0.234164915056574;0.623092241050676;0.133200340859352;0.0508635104576607;0.0481700150671606;0.0563028714187212;0.0273762046768938;0.00946515160293344;0.0197532860979683;0.097467257757595;0.0323552052587009;0.111145107724749;0.0370631824336639;0.0533957563379793;0.187039063226799;0.117834198572891;0.0727565641765653;0.25883505253691;0.232476665634068;0.0177213786321827;0.0714703457522214;0.076969297373122;0.0941592822394352;0.0275883616422085;0.078588125316693;0.0130849407928098;0.0854127139253832;0.159062809887065;0.0262467961148114;0.0273549272460137;0.0404684067544456;0.114527010719144;0.0402215084381813;0.0116882168049914;0.0272022712916123;0.0382874152944238;0.0447638500630137;0.0246143404035918;0.0774974932058446;0.0474828517661841;0.0247128519793008;0.0428334064999466;0.724184483584194;0.0453869763947503;0.0742570276595503;0.0644153906672447;0.121981349919482;0.0647970178701664;0.0379943021555019;0.0327352794857339;0.00256621863375396;0.0145879805193431;0.0297334873205261;0.0662270373771655;0.0693737393357853;0.0758960461986866;0.0977308975625824;0.52142352712798;0.0716764384537604;0.0227263882877123;0.0620413381192599;0.0578049576444246;0.00568587599495359;0.087821478403777;0.165698138157222;0.0355376406323119;0.103913830801832;0.0467719952888652;0.0397139886035378;0.0356932335253055;0.0324155566439356;0.0121795439795149;0.0444201492177331;0.0643728570962613;0.148219725381848;0.0117355715958322;0.053844836884873;0.0544956849823302;0.0211866261247734;0.0237582658600928;0.119624130523341;0.0320468255041422;0.24745840617224;0.0491506080482284;0.144123684417123;0.0202665360298334;0.0827733343668561;0.117998505594726;0.132740552755201;0.0609073827315343
"Amazon9";0.139716342783892;0.0931702975121822;0.0329075419035223;0.042824353617243;0.0213696116209078;0;0.0678238793912669;0.239063161768461;0.623399981982493;0.141554263242815;0.0599299756621705;0.0455982180082066;0.05916650128321;0.0302180427785241;0.0220155831184447;0.0352355669447433;0.0982822825128653;0.0394375528859143;0.109154169835517;0.0341324928466249;0.0536922196802202;0.187524616570106;0.114548547796855;0.0715194767679966;0.256167755060454;0.232952617051382;0.0347795873726455;0.0840095993145171;0.0853569604824396;0.0902046875916511;0.029499687985302;0.0813279610273818;0.0341685729096454;0.105788531653444;0.151918031706619;0.0307385268307733;0.0204226374488467;0.0601110655743506;0.122753823035724;0.0483006976710303;0.0162543661252975;0.0424627021490273;0.0583020861458328;0.0401261726867019;0.0332148049875066;0.073897682754115;0.0421448180373771;0.0195644631825519;0.0371001316660654;0.724423697988278;0.0531471241908329;0.0816812196790243;0.0803141974267486;0.122741453542568;0.0523569548234633;0.0399417290816509;0.0364433190198063;0.0187498694325115;0.0283888048056188;0.0231943145626048;0.0687548777401807;0.0774139275299605;0.0718763543223845;0.0981104078716384;0.52178982185725;0.0796168204293974;0.02939274487884;0.0595098553267835;0.0581272154404607;0.0269311985590288;0.0827257131916122;0.166256084122558;0.0493231047857599;0.0944603568629962;0.0542870031269048;0.0611255224410263;0.0410782640976603;0.0225110375785172;0.0194568008739337;0.0458369300113954;0.0729068385122783;0.14871183666711;0.0163321392312261;0.0532503442779214;0.0593785885220521;0.0289072607605877;0.0352725098015837;0.124499799542473;0.0427891272500252;0.247928941465903;0.0502514156346931;0.144529658603304;0.0375667961696271;0.0868383966735404;0.119731658805767;0.137857669748539;0.0637828753403492
"Andira1";0.143061500646646;0.112575364620752;0.068423609732522;0.0478531382772137;0.0616502987275181;0.0678238793912669;0;0.245189269931873;0.619487510008191;0.141846361191218;0.0862905536775337;0.0790615428957657;0.0847348151097337;0.0582055901526677;0.0694118552148534;0.0755696748273182;0.0975175544898883;0.0592590627298646;0.114539641661355;0.0631733679404633;0.0684833782307502;0.18136734267348;0.107955001763553;0.0933324493545595;0.250859911289459;0.228984151474024;0.0750565506089864;0.0976896597232614;0.108600841791248;0.113157045266412;0.0592918200165571;0.0982766273692509;0.070427372728803;0.098565495897466;0.179714798224525;0.0749031138036757;0.0704282941292688;0.0802930727883825;0.122907359100854;0.0541765398047203;0.0645964059192539;0.0819063377849196;0.0522631546658649;0.0811298091429156;0.0769470046587383;0.1094689204654;0.0802256257082048;0.0638243125605356;0.080342511211464;0.721380627031026;0.076494253181739;0.0802703941807833;0.0517689898914849;0.127644050872479;0.0905425497502073;0.0686410384200608;0.0516417858248996;0.063752194961652;0.0688763037325494;0.0737278517208983;0.101912067431487;0.078035611723894;0.0920807130187537;0.0986791881254899;0.517135712890768;0.0969416392312692;0.0646198815547709;0.0881091953334595;0.0911639311396082;0.0668970623645194;0.0970615731055506;0.167660001361659;0.0852838052384999;0.120668929578276;0.0791916885714054;0.0912572757585626;0.0589456950468381;0.0758809044007352;0.0664159377901678;0.0429635217292149;0.0798765583797546;0.168041476530305;0.061352891825511;0.0865487484315386;0.0776185514634675;0.064128972519239;0.0594652929007316;0.143763891191182;0.0575082394089059;0.243695457987444;0.0755487061721469;0.14506899668994;0.0768074747073429;0.0999769532380602;0.131585418874055;0.144119044225473;0.0885998896225757
"Apaporis";0.23848328981671;0.17898945440949;0.222082136689969;0.271084490287171;0.234164915056574;0.239063161768461;0.245189269931873;0;0.521100483966071;0.242895905704162;0.205795268072802;0.212156912175009;0.199468905278924;0.212200760564064;0.241578813052384;0.24767982847388;0.181942934492995;0.203350384610601;0.159891564180476;0.225588752539828;0.230399691530631;0.168938790748715;0.184728649402468;0.19740167340277;0.140844533502458;0.171773215928891;0.24601721483409;0.18387996547934;0.184859129021357;0.166462918784669;0.21288263744219;0.17743941780935;0.246494588038673;0.211462311818742;0.119593206545625;0.256086640571936;0.25168557559499;0.216091256935231;0.217085257375088;0.214980124017263;0.242372894456347;0.221613703696574;0.215618034757957;0.209760115960994;0.257296247507406;0.205996619454407;0.222700874876497;0.223931616944114;0.227009669980723;0.692501695870657;0.195737996649671;0.184987298932926;0.216935070136646;0.138745163979322;0.205764339393896;0.202072255312666;0.245385670183628;0.236588963036681;0.245911686651991;0.227500252015304;0.190962385155719;0.201990031192229;0.212258888765698;0.207963706139072;0.3272107486647;0.192764836577569;0.245158813074851;0.185046560541482;0.19261950370968;0.239531870493795;0.177054511409443;0.218263990981421;0.230315420972271;0.158918670683188;0.194408362535303;0.231421015942502;0.224104408630864;0.246955548876022;0.245643877322934;0.265677215728527;0.172390651298691;0.130081803556653;0.236132100607643;0.194716711913898;0.209084348188943;0.224898453548403;0.216139691339718;0.119318064050277;0.256950862574888;0.203621276060847;0.204519797554732;0.186402430310646;0.227427745260703;0.207805562609377;0.206387627144424;0.104985369186682;0.196065600297828
"Apurimac1";0.544303673440457;0.566941156007129;0.615232625366125;0.646630715240736;0.623092241050676;0.623399981982493;0.619487510008191;0.521100483966071;0;0.534230988113436;0.604513192571184;0.598772240298499;0.60031010172575;0.608746356445845;0.627876266973966;0.624637361021728;0.559610755612909;0.602891495556951;0.551825623797605;0.608931230206944;0.620651430981651;0.4945404697776;0.548193951954953;0.578128637320016;0.482296363006103;0.456782539047285;0.630726370120297;0.577332000688533;0.57998816869621;0.565025041829884;0.609195658987234;0.574805929927681;0.631032296598156;0.567903342642496;0.521025435270264;0.634400584618032;0.631571385901913;0.611306473591056;0.547645717076002;0.597853975467071;0.625550857538408;0.614570465952897;0.599097243913057;0.603289106804175;0.637922757240471;0.576093429236916;0.615637010318037;0.61644076417437;0.61782495365616;0.323533619815819;0.594518407424093;0.58725574950819;0.597211257922681;0.54233111029543;0.593204406481649;0.602042393177332;0.63032145843843;0.624659634600905;0.628827657115145;0.618696661338054;0.594623445168714;0.578735040737261;0.596957939085115;0.561072408719355;0.442255631940877;0.587427816074388;0.630175958997609;0.585652963711202;0.586526434658341;0.626558330393397;0.574737382422354;0.510054827984595;0.61768667467625;0.562036006030404;0.593620280302743;0.6213142539806;0.603647769334987;0.628364174706862;0.630487031962188;0.643227380016902;0.582066191484256;0.523191650824278;0.621490266356908;0.597138222558169;0.589915871608867;0.617071597606168;0.608339585678002;0.544017468536217;0.637703372739783;0.448153012841299;0.592074117487906;0.526288835095022;0.61871950788262;0.572982968753904;0.548136578216952;0.534565381733379;0.596988252572717
"Arinos";0.139727249307778;0.112772351134105;0.120711412440378;0.171720656365325;0.133200340859352;0.141554263242815;0.141846361191218;0.242895905704162;0.534230988113436;0;0.111892073913219;0.122740124222229;0.121240611153263;0.122949223218669;0.140911286887163;0.14116653982286;0.0815481856315769;0.113949621756097;0.0884523114390303;0.129936630128316;0.140055329521303;0.108806046024125;0.0740320741635096;0.127652302501977;0.183697884212331;0.145713786323022;0.145533371304008;0.108113704762579;0.103446705196845;0.131755099273889;0.125345276450105;0.0906318765947705;0.146030761924868;0.0710864191059614;0.217010034847229;0.151523353868703;0.146907837524406;0.118929947784527;0.0189626053844114;0.116456794457665;0.137155772127492;0.12485233126161;0.113058139978959;0.111479444324795;0.157298954848568;0.14575930250031;0.132738953986374;0.1347898570752;0.150705993593639;0.654077519942301;0.104477987543054;0.125026937024071;0.0996714125487948;0.115680150874384;0.150548080865102;0.130925863140648;0.150890676824394;0.135720167463043;0.143494979277124;0.143197289081993;0.172525654769875;0.0852483741576384;0.113214663778004;0.0823413174642533;0.421331794462784;0.107829661757245;0.144639102448662;0.147508959389849;0.111174932616584;0.13878110950708;0.0898087828437089;0.10835396744664;0.12898362865678;0.137852131265558;0.100526843930854;0.138800558795742;0.106808018903303;0.141701036100064;0.145144414238455;0.166059880593707;0.0903379496572219;0.223502864245975;0.132140383959342;0.102340802624058;0.123414481400139;0.131886117398403;0.118226570036296;0.201397716324333;0.157992633974625;0.15087641790876;0.125570539813638;0.0934846529059536;0.126203821713616;0.0731930359822156;0.0895534586669115;0.147139007258405;0.12316515860393
