"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.162024121771382,0.125011516644022,0.106728220878107,0.0951687455455813,0.0965397018640779,0.0940423662372683,0.222936560848826,0.727465904473202,0.181026928075049,0.123974056967801,0.101115419186721,0.1117933670171,0.0775094685982216,0.116915645069328,0.0971864653313606,0.093290753484931,0.0856495557206427,0.18983359226965,0.105672940832973,0.11590725734498,0.178479120136128,0.134606570490319,0.111770047975168,0.20486739997744,0.170980397818587,0.0983060851611587,0.141184445558611,0.122418970134557,0.131366526048905,0.0864001463873567,0.128114956833289,0.0888512258213207,0.136523889644714,0.129708634432307,0.102782987822238,0.0745899954920713,0.114761653506147,0.164283366788475,0.0904320696573342,0.103124567387584,0.119262972706595,0.101037680264238,0.104538050836988,0.0999428602208181,0.113754897929182,0.114080391316633,0.113647155276377,0.0829693367159187,0.887540357172303,0.0728906865733574,0.111830726473605,0.116372907584957,0.126178623102177,0.0959277773616306,0.075172637420911,0.0993294965282951,0.141340063462644,0.0990622141925506,0.111263809204708,0.0653796887056328,0.139739541949685,0.110611017777161,0.162829243592471,0.746330961974459,0.108585462970484,0.105867315062554,0.0681351163673859,0.115725961297592,0.0882771570122841,0.166674459140959,0.19633819289449,0.122164572630999,0.113394164202055,0.10257654895472,0.119033358165388,0.120584163171096,0.108256735392276,0.103967806862239,0.111085574853157,0.122094790227835,0.152743743162231,0.092266924442873,0.102774837165852,0.0771095755658149,0.105529420639658,0.0719536329375763,0.0810006559855665,0.102745876013414,0.236282718238994,0.107629371159824,0.200622233323997,0.121960801339214,0.130637388695014,0.16342618409802,0.114068689146165,0.112871003273487
"Amazon1",0.162024121771382,0,0.0644607902766832,0.0995257087344417,0.10168119177959,0.119497823661849,0.134637641283719,0.229739988260507,0.724768705354669,0.0831447999972697,0.0664139779719995,0.128433672794934,0.0784053439894973,0.130843596926842,0.100660815935966,0.0891096977202811,0.0716941574174258,0.110681964834476,0.0865985201043958,0.0839569273496399,0.0859251635693115,0.124494101428002,0.0564551577134549,0.107109517733879,0.206489108683451,0.2120212226894,0.116536787308981,0.0924979605552422,0.0982671516247889,0.0762649299594397,0.130796147336086,0.0877890317275571,0.117017485815477,0.0647631776125267,0.234192844989914,0.120763995203269,0.115961736203139,0.0815213634246883,0.0850154493377758,0.107782778841793,0.116975103941894,0.063366306658209,0.090403007841118,0.0832852508430001,0.119171326554497,0.114848076600576,0.0800898554490915,0.110456235860432,0.135213808756503,0.8863231231261,0.118796784182286,0.0836794427130279,0.0880200736469843,0.0865372672921356,0.0861622728364243,0.113344667898419,0.126662966281536,0.138446506809089,0.0885696163803073,0.110203619488052,0.141415744874669,0.107203292696974,0.0766811382120528,0.0874897385241573,0.743792774838795,0.0973373099364974,0.111505238793459,0.115192892149908,0.075313130775695,0.108209795711934,0.0449454188790747,0.127181285804224,0.0770621198183965,0.0514099059454827,0.0739631168959575,0.0663060859610174,0.0834263717785561,0.113891665112199,0.112158685936298,0.102729577043322,0.0747868111977548,0.263851254428588,0.119110682650611,0.0740661294389801,0.114829090243886,0.0925083727650717,0.112258781997797,0.172964990046692,0.11669992520058,0.209336749836462,0.101317883387543,0.139572716209937,0.0752495189433343,0.062290548129166,0.046662696066887,0.105582163619193,0.0958018787744422
"Amazon2",0.125011516644022,0.0644607902766832,0,0.0538632994384601,0.0493437809951486,0.0594441763700078,0.108605834503821,0.267335542049661,0.754003101444187,0.138049754362427,0.0069623525091207,0.149336381667578,0.0325846656640162,0.0780019850316784,0.0727047493429274,0.0691749535856585,0.0621983674946181,0.0739321274145155,0.109083330011852,0.0717851465709379,0.0252218943001932,0.185574132220499,0.02560252003335,0.103491601008648,0.244610359738797,0.228630432541046,0.0570735420871277,0.105415243279489,0.0773661533315704,0.0752413518160212,0.07395953884828,0.0843350490032669,0.0556523700763054,0.0540559894739647,0.235697491782667,0.0558984852986104,0.0746395190953613,0.0238391719914469,0.121098869244475,0.0855707944020891,0.0575368158030835,0.0121012249281446,0.0749778379994659,0.0241283603348933,0.0578103076865053,0.102416280512787,0.026441308880883,0.0884213912746188,0.0957326100558005,0.899398498954062,0.0833536664452712,0.0769209242231288,0.0896928928085496,0.107938220829386,0.0861126629726494,0.099225730131571,0.0664502801443833,0.0781742322680756,0.0588297242310858,0.0833301142111636,0.0988746759576403,0.134228968327076,0.0246873173600238,0.098897956142476,0.771274449101708,0.0672003626185347,0.0473850387087846,0.100545615269512,0.0480975947978312,0.0545525669439847,0.0918155024994265,0.155449435336686,0.0184489915333218,0.0540112884801856,0.0476657155789958,0.0213428406209841,0.0828135023371482,0.0497964578583225,0.0523673969735642,0.0534804353417729,0.0544607920244073,0.259723030258445,0.0762626725481433,0.0649077340530559,0.08933420007302,0.0604166021054644,0.0828992423047916,0.170907399185183,0.0625466490904691,0.26825448816483,0.0847704578429073,0.173382960645342,0.0210711431055161,0.0747745372887798,0.107240863318306,0.139509454127579,0.0721673718146943
"Amazon5",0.106728220878107,0.0995257087344417,0.0538632994384601,0,0.0186971382116802,0.0222048196643906,0.05014755191957,0.298681595448372,0.768333852500343,0.171310288146995,0.0556561228420341,0.134761313134484,0.070728096725455,0.03231450625805,0.038355979818625,0.0291757626349421,0.075353155355374,0.0433727245239553,0.142618560032953,0.0351422979113129,0.0662428382376612,0.21826050916872,0.0674449429736652,0.0506736517889779,0.276373532247845,0.261784254160504,0.0203259765772639,0.133756971361455,0.116273156299321,0.105252984935826,0.0347098407740933,0.121662426801616,0.0353231108151548,0.0916568647272129,0.191319808992838,0.0214686634904586,0.0465413455352076,0.0709216994133423,0.154195215557721,0.043610290000502,0.0220267245480982,0.0520954064564731,0.0355746151243821,0.0769354185630793,0.0186318765099785,0.0654768350608389,0.066755912410393,0.0319120838151555,0.052694246703201,0.905714429450196,0.0503762317810305,0.105419848404202,0.119883907031588,0.141484154068304,0.0456912707478374,0.0615286835044866,0.0260091961978287,0.0406892387096297,0.0325224053484639,0.0329302187739889,0.0515047379996263,0.107691909516465,0.0719376599967907,0.127208624557588,0.784722534197121,0.111367615724647,0.0133403966547844,0.0583200117081841,0.076614060374746,0.0241180723796901,0.125489173555536,0.183171429990344,0.0652451417101946,0.0909670502180074,0.0815993918939037,0.0703296704123159,0.0466633640844564,0.0157570111732276,0.0134197161746775,0.00446974284320214,0.0933915406376057,0.211996966979707,0.0252550941239791,0.0969376512485307,0.0559425441693441,0.0110090983338811,0.045594466928421,0.122425993278495,0.0230418860589794,0.299582954359466,0.0486928032915952,0.2033398074946,0.0622496513691654,0.107517512010315,0.140792679803961,0.169532972029726,0.113503599489
"Amazon8",0.0951687455455813,0.10168119177959,0.0493437809951486,0.0186971382116802,0,0.0313876775750334,0.0648364715570085,0.292070670681517,0.765350159413025,0.164271354524356,0.0536831101263528,0.127665199002194,0.0683683918843864,0.0420517706982396,0.021929093342061,0.0458866371105101,0.0681725438871174,0.0302631047749562,0.147960853551079,0.0547649627309459,0.0617846300127319,0.211351861054545,0.0659970078604729,0.0551726286334815,0.269670578696758,0.254421597645094,0.0259460771725069,0.126639091779842,0.10915544933022,0.109942975951807,0.0457109843254309,0.114543694529192,0.0177510003664327,0.0844947135497826,0.184332480590506,0.0293405623613332,0.0563076216207853,0.0529545178352681,0.145775922148154,0.036410604015885,0.0271626555091526,0.0482546218214309,0.0283530646379817,0.0724877160407345,0.0268848636553932,0.0776891446291219,0.0656626159207386,0.0513630147887572,0.0647561753397381,0.904404448045039,0.0390571808203426,0.110270421429269,0.112687144543446,0.134379102356073,0.0634871759476088,0.0789898431371706,0.0348353676991917,0.0479178718929186,0.028493356423426,0.0437777130163492,0.0538670152316841,0.10052756493366,0.0692759588660913,0.120078812920288,0.781923885208131,0.0929221109033825,0.0215054396417057,0.0757312174770008,0.0680319080550861,0.00726401541217955,0.129346247216275,0.176164455722017,0.047416051702633,0.0934589627902273,0.0744006082948007,0.0522531389892604,0.0653237699870473,0.0235438681167443,0.0228086660600754,0.0231150509603087,0.0862403993587531,0.205069083985098,0.0445258108804766,0.102210301401044,0.0447372218359041,0.0181659898044587,0.0383643812960456,0.11528546237925,0.0313629492347522,0.292975900496788,0.0351083990134087,0.196387723831751,0.0447836152789564,0.100376085914451,0.141022392324607,0.162489736173287,0.111212058419047
"Amazon9",0.0965397018640779,0.119497823661849,0.0594441763700078,0.0222048196643906,0.0313876775750334,0,0.0566639217858081,0.295134165896815,0.766735333309947,0.173113188599057,0.0655793234745342,0.133358417687232,0.0558549716780235,0.0237677028385239,0.0532720609076558,0.038231076536796,0.082420031448851,0.035924388888337,0.138805311415232,0.0445014294008468,0.0539277179750395,0.214835926955724,0.0797499372911563,0.0582887572373982,0.272776450087083,0.256915916068651,0.0217958493831731,0.135826444784503,0.122814819173211,0.101405311007473,0.0217070147639778,0.129800393745573,0.0284466609344646,0.10133309615647,0.187569047421166,0.0143452936612761,0.0359514845244433,0.0639306934154208,0.154941230088576,0.0543075799682434,0.0156546733135835,0.0596129299076475,0.0414223803757643,0.0600823830787842,0.0150625064289122,0.0561789480003974,0.0533884857730527,0.028042223498782,0.0363166896148812,0.905012930630829,0.0472576190431068,0.103107263523459,0.120435985136683,0.146511118079164,0.0528784770640657,0.0596113970227768,0.0140060288681931,0.0485500910231923,0.0432247261646861,0.0369704643018562,0.0452396217105023,0.118832682970567,0.0545488699498003,0.129774084267819,0.783223235823295,0.0968884723446432,0.0177514023205251,0.0544421025798839,0.0752276727566192,0.0252616119492212,0.129126227210727,0.187884309053083,0.0700637765195958,0.0840540821930146,0.0858166749741442,0.0755477647289545,0.0537936744856337,0.0198777905902756,0.011477763651779,0.0232874731361001,0.10104779505487,0.208278373747282,0.025797854758857,0.0909079391255967,0.0478865910671152,0.0333025442579141,0.0494974153001705,0.121136925710835,0.0164520998564412,0.296037612688128,0.0531891899163758,0.201524761322717,0.0679788214914955,0.118192585052882,0.143181899716866,0.166572069310031,0.0982009188676579
"Andira1",0.0940423662372683,0.134637641283719,0.108605834503821,0.05014755191957,0.0648364715570085,0.0566639217858081,0,0.273934709565336,0.746966984631162,0.170699890778767,0.110382491314696,0.090593515810793,0.108703511071959,0.039861046430152,0.0757071981182595,0.0682253087485497,0.0872623752392542,0.0715954700075273,0.179150921530175,0.0715523736429201,0.105826501692746,0.169973354747366,0.111942549145117,0.0548648653771548,0.248338021223641,0.217477764677959,0.0585677834661828,0.126860163416566,0.0745883204225896,0.12100659578483,0.0535284050485648,0.0795571705749765,0.0724718096696408,0.105665478727758,0.161540945634501,0.0627359615006003,0.0583092205037951,0.111398912632652,0.159087638850831,0.0450248837850931,0.0588490884232062,0.106794842069916,0.0657785336816893,0.0952312446009506,0.0598836027220542,0.0968199525631359,0.106103035969658,0.0611437992178484,0.0616727797721581,0.896275121149687,0.0599205607657425,0.0942788359113658,0.113277874224461,0.0919892737697277,0.0568743605627013,0.0503325852923922,0.0619051645037891,0.0906518187015213,0.080392378610039,0.0510604703841892,0.0451046422686197,0.119806763686441,0.110767632860882,0.153702202460827,0.764666055138024,0.124825001292274,0.0634455042784999,0.0556637222461042,0.106781311880831,0.0611900893406373,0.148739643624462,0.177294595476285,0.11494368303417,0.103363358639247,0.0880137480761261,0.12100724288428,0.0892378051867127,0.0658525280361658,0.0539643934153858,0.0545989051188942,0.0965512566724233,0.163588545980393,0.0359619612161982,0.0995094486234692,0.0658409861833026,0.0518139163208455,0.0488310069668746,0.0804501605116956,0.0647028565134767,0.253239914758469,0.0699796813378125,0.189445586245939,0.10318711794016,0.115497729399477,0.130826580448346,0.148151255425658,0.126002838706988
"Apaporis",0.222936560848826,0.229739988260507,0.267335542049661,0.298681595448372,0.292070670681517,0.295134165896815,0.273934709565336,0,0.61236876389927,0.214584211144631,0.26915598168155,0.240857786032996,0.250460263171074,0.276182785171307,0.276040927304018,0.278964538115279,0.241116668841777,0.267566596618333,0.230346397808236,0.287171121424994,0.265744254303816,0.189205221913861,0.243398957312846,0.251819301094783,0.145816208139753,0.214945638469274,0.303864477490979,0.206286101601846,0.234835358356602,0.220255603257527,0.290851221707034,0.22285113585702,0.295277086826813,0.242380696573548,0.14607276581893,0.307963855751557,0.283791992984591,0.261289806666595,0.220774856967512,0.263221400147878,0.304420302842832,0.270053078271871,0.267868149085547,0.244817164614363,0.305364111216964,0.254421024856616,0.260422262638056,0.273511954891756,0.280207578399847,0.832144851220288,0.263473420744696,0.218408304785156,0.217096238030998,0.206613930485587,0.266731225596166,0.263089337880806,0.304272100046574,0.335295940104062,0.286627777139154,0.274192755465587,0.256021394027581,0.23398313558734,0.250534508101215,0.245800603757398,0.636153687046083,0.241802235168934,0.31078366496923,0.252596630598359,0.240124096971136,0.286337488788536,0.218765594662505,0.227191450916867,0.270106096520847,0.229487891688903,0.223399121512531,0.255653234616804,0.277820497922006,0.312965687058507,0.299957309556246,0.302741558645677,0.231471330579566,0.184279926203052,0.279858556376363,0.232195794722938,0.258672451491533,0.28862154682992,0.259791992687312,0.197755860994327,0.301435551786245,0.219977440813427,0.260187171987956,0.224843592186117,0.261700602369931,0.238312667040597,0.213623494134482,0.179844184830976,0.228922272370575
"Apurimac1",0.727465904473202,0.724768705354669,0.754003101444187,0.768333852500343,0.765350159413025,0.766735333309947,0.746966984631162,0.61236876389927,0,0.687516946851828,0.754848235011584,0.708523139094375,0.746052203726084,0.758095350080809,0.75803003245044,0.756119877499364,0.737267699078602,0.752632052568573,0.702734706099619,0.753537842797993,0.75326302882582,0.660919406750497,0.74273869097819,0.746733742910915,0.625202324766366,0.638204439880129,0.770658842580925,0.707438445391752,0.718553263824586,0.721584569668264,0.764797557104703,0.715143214580802,0.766756852389403,0.729688016123629,0.676450577778667,0.772489023442495,0.758368585482219,0.750786934311336,0.697380745725261,0.751825568652349,0.770907444724938,0.752875813364975,0.754204568599044,0.74341406170552,0.771329253424211,0.742554267083741,0.750778887492238,0.756863957006109,0.757066629358722,0.629638069279127,0.750711687839844,0.72154295479506,0.714418925213554,0.703303789283054,0.750369733311888,0.741902782732584,0.770841172449283,0.78449741175245,0.759684217185309,0.757178168055124,0.74871416734725,0.720236735902886,0.746126469862636,0.710758304229311,0.31041271034004,0.729995587405532,0.77374347268166,0.743334794904874,0.736253874283585,0.762746039973364,0.711440002409743,0.681197217185769,0.755288683355027,0.729708976828504,0.732669602734178,0.748137737857485,0.749051157478814,0.774711704019265,0.768907277571477,0.770156164568908,0.729498133416339,0.664795759797904,0.759784473118388,0.727843322272131,0.748273717096425,0.76378535705682,0.74897739109017,0.712972974051145,0.769570795442335,0.608909525570626,0.750405315399307,0.669751583689936,0.750966668987566,0.722046940548058,0.70366022946446,0.688480982225039,0.726201914177228
"Arinos",0.181026928075049,0.0831447999972697,0.138049754362427,0.171310288146995,0.164271354524356,0.173113188599057,0.170699890778767,0.214584211144631,0.687516946851828,0,0.139973435495601,0.120617752109187,0.127602550325945,0.162442562376166,0.147257672207182,0.142876703265919,0.109064200979687,0.140313993086253,0.106835217094045,0.138605974036746,0.139622156545565,0.0832892842263842,0.116623114461731,0.133108427619239,0.15448837950022,0.168801749087918,0.176837832086602,0.0929907140082827,0.107239289770242,0.103170851208866,0.172756165941542,0.100589883600469,0.167582323190289,0.0942328124548455,0.210904292169678,0.181215501835908,0.148036656858986,0.130771408362568,0.0350942185202371,0.138153987928434,0.177431095969395,0.135491050365454,0.139121132856601,0.114965123213307,0.178438687574102,0.145524816758684,0.13527763673023,0.152264713471641,0.167153322654888,0.869280072560147,0.132795883977165,0.109339795181038,0.0880358696742205,0.087371415820006,0.135446811067461,0.143089027141486,0.180371961460569,0.210532016549492,0.151071031698672,0.147847568312396,0.168779257166585,0.105419859517526,0.127558662427533,0.0770928914462754,0.708775354471996,0.0976161376535223,0.184229656074048,0.147875553658914,0.104543669401433,0.158177510915693,0.0615719872448733,0.0751835869790977,0.140977821083027,0.10763318268758,0.0909827269926662,0.126760990740901,0.132503899138095,0.186563700809993,0.172670093757011,0.175639558736946,0.0920811302315144,0.274571126130484,0.151302733386165,0.0983800610223152,0.138441914303185,0.160604084588869,0.126705492641084,0.168788089045607,0.17587402456069,0.140123871659001,0.134219702112045,0.0789538112191167,0.131176401371525,0.0731152996849163,0.0593917229939099,0.0820736340915734,0.113801888788103
