"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.230846096252533;0.153696923986411;0.131317861591008;0.137214523606698;0.140172331724754;0.178892096536263;0.416167731385686;0.927343162024237;0.427336246066838;0.173087985695495;0.195734609737501;0.158053201486296;0.177675969456356;0.155116622743565;0.19918171657478;0.170632939397545;0.16306544454978;0.294179077330109;0.147505173294491;0.214147941489102;0.342933476134966;0.276738430929361;0.250681500998458;0.421937865335706;0.357331538922196;0.197356963324892;0.319272814773693;0.225374248867643;0.261052884494209;0.187869532665004;0.185684795111547;0.114668624863215;0.26267100348332;0.338092576739758;0.121889589347593;0.187340255212861;0.136007749609689;0.30111515554395;0.171270627641257;0.113364624693173;0.217245839023392;0.136264817796971;0.153908340370063;0.181037395846184;0.201475533730765;0.177812510729737;0.168350044229689;0.189260041962024;0.984778221926713;0.208182239735553;0.241043882821295;0.316868683531748;0.234734938643836;0.169041191863835;0.222078095358244;0.184540624198933;0.200994569507342;0.213921501817382;0.235739529591398;0.187496532087846;0.227307043189803;0.155850905179858;0.294338382049384;0.875232443038755;0.187126705511163;0.159871569657919;0.150195157236874;0.124434268553414;0.118664186115656;0.326548700792689;0.306067299469225;0.150973903549934;0.171095748919339;0.178974443522191;0.155878762369482;0.153983967951816;0.156192742626363;0.154602718677268;0.145787432792831;0.173268696679999;0.370233546385523;0.119945771551884;0.1243932194315;0.223379610870504;0.131403899508677;0.210640255967654;0.175037695359408;0.135663719236577;0.567601735704806;0.135854511999979;0.33199380151775;0.151741704584865;0.207222226029417;0.230945733793072;0.242354511432947;0.228570023535361
"Amazon1";0.230846096252533;0;0.175986583328696;0.216603225201453;0.203118666340735;0.219809741838889;0.196285213547944;0.346373165473659;0.912994996754219;0.313917331071321;0.195781052037335;0.198733352446454;0.225172865832439;0.207451372128336;0.19865088253864;0.161226424732901;0.121803806818364;0.174663745400404;0.19081899666315;0.149440243027966;0.243983622433859;0.232832428004941;0.164799034415888;0.238439934947889;0.354898255828634;0.286010236132565;0.23181541168154;0.218406866122311;0.134514596758863;0.212446248010483;0.222781980579232;0.131119855447233;0.232130610891353;0.157870765644246;0.342471885834649;0.223946431033202;0.202431313136492;0.20197446002234;0.163373381686194;0.163786089085619;0.201944617311449;0.161277476866872;0.175514010853972;0.216390888437135;0.273175254863865;0.196690006610211;0.243274818319802;0.242587170756213;0.219665329070479;0.981664344422649;0.180533385542125;0.162314776683823;0.198118188506785;0.165408068110851;0.226861164809556;0.250674595612012;0.233373028758453;0.289515677180796;0.188493545846725;0.197411238814698;0.208166768461346;0.196445942439946;0.226345617870583;0.19426111463275;0.851396343738403;0.164091499212265;0.256390974798246;0.238278794781956;0.178138327626571;0.214079781694155;0.159831765708627;0.191703093907832;0.21257424513164;0.146175979928896;0.154500526981919;0.171434701052623;0.166034311900892;0.246366274224953;0.248428939644857;0.22659447160034;0.126232464193545;0.357146873406072;0.203709390760551;0.19181604281709;0.189786718237967;0.214322839653279;0.227226221632574;0.17564732143749;0.227561111111034;0.485965308884935;0.154619114607654;0.231389621665641;0.185995987508421;0.144341278573722;0.187140306457377;0.210167428072768;0.200870589466894
"Amazon2";0.153696923986411;0.175986583328696;0;0.0632276645804213;0.0630014554152506;0.0647022366912626;0.23480084402014;0.460341812793312;0.937061844768788;0.448772197445629;0.0592099536186694;0.275591402475142;0.111536703373972;0.179227655755551;0.0905677101607818;0.152974682276391;0.163046124241105;0.15071518858488;0.266647497517606;0.148916922001502;0.0915954186633671;0.374522094123102;0.253988046633708;0.296023057810859;0.475711793959714;0.402637046016732;0.177729853855909;0.29470188477009;0.217447899357424;0.256906280065048;0.183393829245359;0.20176248416522;0.085413654234694;0.20027620490443;0.430599933637374;0.0965757016612003;0.193088058355277;0.055756334742236;0.305455609243428;0.16183835311073;0.077888151787361;0.116216901146003;0.075348353518997;0.126781357807094;0.120587120015316;0.204351904730705;0.108619764372764;0.136277700734995;0.185409417365164;0.986866659669021;0.200373315925188;0.205699044912819;0.275205737200863;0.266147893281203;0.177019446645752;0.277870365150649;0.0869739461817446;0.134725802501904;0.144426798370897;0.196661968331366;0.2155803581143;0.282759425123822;0.108782840293376;0.272928127664981;0.891529236249153;0.169240687737774;0.0961902753273385;0.196239015171674;0.0857077052927974;0.0691744963250958;0.306976798564841;0.266011128657188;0.0670743851884749;0.0982038058450144;0.168363204376753;0.0431172778943478;0.0733151487168999;0.0908499012781312;0.0947835872547917;0.0759322363780447;0.154781548901871;0.451620588469013;0.070450367401735;0.11575701965804;0.225594602335149;0.0778094549614465;0.261451203458913;0.248978305919316;0.0860145959131852;0.599565004465304;0.140999219183933;0.330645970648118;0.0628205725884606;0.231228256909928;0.239857627915854;0.300786226940375;0.213378270780603
"Amazon5";0.131317861591008;0.216603225201453;0.0632276645804213;0;0.044796439889701;0.0612684103269999;0.19468203334055;0.496504752915482;0.942552455223197;0.485542401056446;0.0863584184937882;0.23682438625138;0.101921366601872;0.129486074508587;0.0729028935588608;0.136062291382501;0.183500524194235;0.106921306261225;0.295913526211889;0.114569412635004;0.123072229057889;0.414021728809192;0.300495147072814;0.266688163679643;0.511287301991223;0.44053576621187;0.124165742368268;0.339800769773646;0.248674313836356;0.259690156503738;0.137719696681007;0.20902902860903;0.0564779679337467;0.247069007245829;0.424299886483763;0.0576079993948546;0.143057961913672;0.0754286787060345;0.347312896018987;0.139057834452783;0.0466935381419658;0.138187267914438;0.0751150861831943;0.136311626519121;0.0739287089244421;0.166554819274653;0.10472123407959;0.0909745575846416;0.143852902055509;0.988039216805187;0.214261554815422;0.237234278383113;0.321313037919092;0.301568807761781;0.164647982652764;0.240960352960178;0.0961812281355117;0.0948011841511424;0.121176860362936;0.156093466330809;0.184604465614066;0.248733227861191;0.0956142652516889;0.318639956128845;0.900788583708083;0.184419603925391;0.0549063192902507;0.198383415808444;0.104953117285011;0.0322202722733306;0.348923481290016;0.30957329640384;0.0747151164647201;0.152626655962827;0.180676485119361;0.0791836644070936;0.0850523620163835;0.043733394835437;0.0545846806591033;0.0273317715220707;0.163685419709484;0.454210820190977;0.0337561373465;0.125471059529761;0.236763222980532;0.0365429317851284;0.209371323879324;0.21718561436019;0.0452478192972975;0.628780779237271;0.145194412660296;0.374632279239498;0.0786364308473495;0.235761105847855;0.271547139160771;0.31286060701565;0.212405871798206
"Amazon8";0.137214523606698;0.203118666340735;0.0630014554152506;0.044796439889701;0;0.0524163189076269;0.212672586590185;0.483791422919859;0.940701535284559;0.47298938096992;0.0677612401364361;0.244942686274465;0.0926095237929117;0.125303927146529;0.0581702851087594;0.103493545601185;0.165630394881416;0.111045781551758;0.263511690585227;0.135757696982026;0.109907809093095;0.399657618912781;0.287848614795698;0.247795273245265;0.499129224222295;0.424452686107959;0.117088531765987;0.321846806758437;0.232778745895925;0.240979281639488;0.126196968300712;0.210393975244221;0.0676516710510838;0.233501319980206;0.40216300564323;0.0853235341316269;0.144544957291822;0.077759797523226;0.332777859681921;0.14761340866421;0.0660605922333313;0.106615763492487;0.0576251167496773;0.132917685242765;0.0847543637907834;0.152372129406133;0.108055476129612;0.0992304200676788;0.148800589035513;0.987644527146477;0.197453285507557;0.205042981343256;0.303665875606323;0.286348037218421;0.147895818509669;0.224046133203586;0.0982471361241136;0.0973675433303019;0.0873130135984291;0.139774700259587;0.151527490429593;0.253108118735422;0.108510787525444;0.300566870316198;0.89766294958217;0.180951422469729;0.064373764871841;0.167515724046152;0.104487830094193;0.0355757593235462;0.339551443620647;0.294295877582233;0.0709001345210003;0.141527636520763;0.178157968550928;0.0661309603702434;0.0872138876812834;0.0698386595290039;0.0677080190081181;0.0574945637687057;0.162653576045952;0.441152352208566;0.0567032180323285;0.1143002527038;0.220126553472344;0.0409392241273708;0.199173372188815;0.226894259336821;0.0708307299260494;0.618823100393367;0.128585162525826;0.35717933621436;0.0870073420268819;0.241702852798143;0.245024345445526;0.312771326104416;0.202382341077487
"Amazon9";0.140172331724754;0.219809741838889;0.0647022366912626;0.0612684103269999;0.0524163189076269;0;0.212840411191681;0.48560973076364;0.940855323706599;0.474490436222784;0.0872489074001591;0.27062543331882;0.126362723443937;0.134392700808393;0.0768173593835852;0.125105821073977;0.177175908150691;0.146464321389256;0.287167476795186;0.126448803563138;0.109712635037154;0.405005045459525;0.287653322564532;0.272660273131484;0.500161670753214;0.434154058135049;0.149317985773862;0.339253331990374;0.261100943621931;0.266750257692621;0.156166924473004;0.233794803788678;0.0725933283762418;0.238431069498456;0.403975478756993;0.0773165221706011;0.148060059101079;0.0947767650829762;0.335010141342296;0.157299846253676;0.0578668769765024;0.139695823323331;0.0697914943235577;0.133630837220727;0.0852465729010674;0.158707943136228;0.122994168404323;0.0893807366150999;0.137509867813757;0.987677343648488;0.198227853459683;0.232996687824836;0.314776575189763;0.291903812745689;0.132048080812588;0.251564877124982;0.0884198499044751;0.10250659800137;0.128461165437813;0.155067639212895;0.18535644204605;0.264952092814341;0.114211560788128;0.321526718042472;0.897922486053165;0.202528917546387;0.0689699141536992;0.170199373972033;0.120402635791405;0.0621311438172116;0.33972225093399;0.306074976130076;0.100828595677549;0.131218805736513;0.188003847314083;0.0954635746373666;0.0675230777217414;0.0758155238296668;0.0566127822205057;0.0759567694665158;0.188157172786349;0.442229352537136;0.055323162963408;0.126699279409698;0.225748322008504;0.0556169116955819;0.237590215540374;0.233297823186609;0.0786492989289269;0.621544163060817;0.132420173007892;0.373668087662364;0.107461183202355;0.264657442573389;0.264549707387562;0.326406597625212;0.223567228901064
"Andira1";0.178892096536263;0.196285213547944;0.23480084402014;0.19468203334055;0.212672586590185;0.212840411191681;0;0.362627069126912;0.915957329831659;0.348133315432205;0.252554952628923;0.0977753950927076;0.250099761968934;0.14432514123754;0.213374954763742;0.189183069652606;0.131673210892615;0.139671931462826;0.23709493737922;0.115659015761174;0.30230148790584;0.247567418171418;0.227244810828991;0.159637181862174;0.354767449336551;0.283375478271485;0.198409673035598;0.212687840027922;0.136998453013867;0.192823590548187;0.188120460084398;0.131768552139502;0.198981402775897;0.270312238574512;0.279255337075333;0.196879751142564;0.162541203288494;0.233397478088386;0.281211275799035;0.140268844530704;0.170028869767153;0.224533315326647;0.208296335007305;0.193099462832929;0.253869399155693;0.167423589062887;0.266314471124278;0.216652219774868;0.185844951894736;0.98231025425799;0.158766146592269;0.211953299602292;0.240534611496859;0.125196400837484;0.1920738510248;0.146728503303607;0.258948609218105;0.270008343547527;0.196629198948024;0.162605349203143;0.165736358956218;0.101962588732247;0.231605107122059;0.215106333333847;0.862347702543356;0.180101965668563;0.232665792718254;0.19779396390466;0.21914121959856;0.198264376811969;0.207650493548849;0.288714616775248;0.247805042581781;0.246322319241226;0.113017244753723;0.248550760120586;0.215440592407138;0.229093861748383;0.21973170055868;0.208414958571837;0.150654685609475;0.286053909111633;0.178465386740552;0.229355177648379;0.149015409406152;0.193261062593932;0.116946748487329;0.114134760928292;0.20652637986959;0.498398702139419;0.184002232515629;0.251688006978895;0.222645015388267;0.144218459177777;0.251933736021464;0.16531153509521;0.177480235395396
"Apaporis";0.416167731385686;0.346373165473659;0.460341812793312;0.496504752915482;0.483791422919859;0.48560973076364;0.362627069126912;0;0.838857094665881;0.266754164604169;0.48120809084729;0.356933875600642;0.495900108468319;0.445774960226429;0.473959055602199;0.436783041142768;0.359724079432644;0.424101522337243;0.33736988004935;0.423672591116075;0.517105577761155;0.227273517628501;0.350176682317399;0.331051134619987;0.209050312984351;0.275086331191346;0.494145595483421;0.297892838296774;0.32044426123847;0.39270611604617;0.470516704268834;0.357104863318695;0.492327840889242;0.389091640154221;0.217206697998194;0.500875980872592;0.465150612947395;0.477155292589112;0.316577033554799;0.422130114748587;0.475350657424374;0.444271310065437;0.442198787761393;0.449819349455062;0.541264212051142;0.428744894236836;0.515349886518122;0.503151804552785;0.46757486688918;0.964891929445931;0.343030551325236;0.363982180376414;0.329708439860398;0.281136412154943;0.415897492911957;0.387004712777991;0.50563239537339;0.550807611088584;0.462541291993534;0.429035851197393;0.402394134931936;0.321889251613877;0.482779328321751;0.304478376148038;0.745086933101516;0.387120384657654;0.525669251980254;0.394633585495305;0.449846284857222;0.489270186604316;0.243298323979943;0.346848383071777;0.492970094202989;0.39591104960797;0.360874976673044;0.448332366753188;0.442958796298158;0.524121040717796;0.514738335045554;0.507652178207881;0.371482643202159;0.241704284545358;0.481398120405614;0.43622018126354;0.325407140723653;0.485260373652919;0.376931781488602;0.341375534509914;0.505621724193454;0.394597084075948;0.402185251675631;0.294672791085509;0.473243157328674;0.345317756528666;0.360515535969163;0.261076417527738;0.388567263528425
"Apurimac1";0.927343162024237;0.912994996754219;0.937061844768788;0.942552455223197;0.940701535284559;0.940855323706599;0.915957329831659;0.838857094665881;0;0.842739091293393;0.940312784622242;0.909332439239247;0.942507501436415;0.934857159297582;0.939215541506611;0.933005099438742;0.918167092642008;0.931150375797567;0.906107357743027;0.928546442732138;0.945609321856171;0.867016063392044;0.896427620717137;0.905913885391535;0.83243603319377;0.859941962870568;0.942247662839797;0.889695762165109;0.907373091606894;0.917818826115143;0.93869113646412;0.914032452525971;0.941857346653863;0.907015512161514;0.867761765015254;0.942678512444459;0.936928790558317;0.939447587159726;0.884953687107335;0.927919399321266;0.939095252079524;0.933856512096032;0.934222593080574;0.934455773094797;0.949050381817759;0.929665679970526;0.945355454710032;0.943577152596114;0.937738239991405;0.848126489557044;0.916402951286591;0.917506386493437;0.893751250439442;0.89572520181944;0.92844845837344;0.920948619551607;0.943860889880717;0.950383422696685;0.937117717693842;0.932106253983465;0.927825531923781;0.906294681562184;0.940549364691102;0.894233204598458;0.503906516871585;0.921792474668902;0.946840177185171;0.922256573112383;0.934009409178802;0.941522018358008;0.884533034130309;0.895359761608517;0.941738750543536;0.924013934738456;0.919304316455029;0.935165477388093;0.933155253004386;0.946448291099327;0.945266917460925;0.944134168862467;0.92157982793526;0.853939565395273;0.940138329895666;0.932432164644928;0.911124923406409;0.940922046428784;0.918464248370498;0.912077075570815;0.943836582100735;0.770304114810527;0.92416830905932;0.880177371041751;0.937740919727685;0.909366559222018;0.907625691892165;0.893264426501507;0.92318224670183
"Arinos";0.427336246066838;0.313917331071321;0.448772197445629;0.485542401056446;0.47298938096992;0.474490436222784;0.348133315432205;0.266754164604169;0.842739091293393;0;0.470155628847227;0.32802486425768;0.485690974920144;0.436002229352137;0.462808028355387;0.423293750575531;0.344106110468519;0.411450640843285;0.318475419025594;0.395407984962078;0.506885547979564;0.203281582691632;0.245485966174609;0.328994774105813;0.259947629576222;0.26022143289555;0.483272468389203;0.288652150434075;0.291314686427433;0.374986437216178;0.460498046770882;0.326613815765372;0.480821274977334;0.283679099556446;0.294899830228938;0.486221642282963;0.447702996413341;0.464356414031297;0.190795610931921;0.393187375241091;0.462243555377501;0.428066124905159;0.430632574857091;0.437863529886077;0.531086030117705;0.416247152512259;0.505183874875493;0.493396818781306;0.455544056158858;0.965863916224555;0.325352118899418;0.356128836927838;0.294379978345997;0.250053583067229;0.408217531381626;0.38365766217957;0.494699451490038;0.540778083570462;0.449215303735525;0.420040247845444;0.416391845535996;0.287585774527696;0.472474097919861;0.274246341144568;0.764747709461413;0.36031354030909;0.515451662119636;0.407873672223662;0.430698878487783;0.478328853090429;0.183004300532614;0.308397447693382;0.479802321262839;0.378798009954819;0.340436735128304;0.437304902242814;0.424870279162365;0.51247713372246;0.504160950666425;0.496263151259625;0.35446498460189;0.267466251300383;0.468982831363437;0.421337808488612;0.307212355755271;0.47455960800425;0.37038528214061;0.341680495948486;0.494260413879476;0.269987259276507;0.369541394178618;0.275437904437166;0.453248191571095;0.291365985076528;0.333329245722975;0.281923195957525;0.370530497555118
