"basin";"variable";"value"
"Amazon2";"Abramites_hypselonotus";1
"Amazon5";"Abramites_hypselonotus";1
"Amazon9";"Abramites_hypselonotus";1
"Beni";"Abramites_hypselonotus";1
"Blanco_Baures";"Abramites_hypselonotus";1
"Candeias";"Abramites_hypselonotus";1
"Caqueta1";"Abramites_hypselonotus";1
"Chapare";"Abramites_hypselonotus";1
"Coari";"Abramites_hypselonotus";1
"Curaray";"Abramites_hypselonotus";1
"Guapore";"Abramites_hypselonotus";1
"Isiboro";"Abramites_hypselonotus";1
"Japura1";"Abramites_hypselonotus";1
"Javary1";"Abramites_hypselonotus";1
"Jurua1";"Abramites_hypselonotus";1
"Luna";"Abramites_hypselonotus";1
"Madera1";"Abramites_hypselonotus";1
"Madera4";"Abramites_hypselonotus";1
"Madera6";"Abramites_hypselonotus";1
"Madre_Dios";"Abramites_hypselonotus";1
"Mamore1";"Abramites_hypselonotus";1
"Mamore2";"Abramites_hypselonotus";1
"Maranon3";"Abramites_hypselonotus";1
"Napo1";"Abramites_hypselonotus";1
"Napo2";"Abramites_hypselonotus";1
"Negro1";"Abramites_hypselonotus";1
"Orthon";"Abramites_hypselonotus";1
"Pachitea";"Abramites_hypselonotus";1
"Pastaza";"Abramites_hypselonotus";1
"Purus1";"Abramites_hypselonotus";1
"Purus2";"Abramites_hypselonotus";1
"Purus3";"Abramites_hypselonotus";1
"Putumayo";"Abramites_hypselonotus";1
"Santiago";"Abramites_hypselonotus";1
"Solimoes1";"Abramites_hypselonotus";1
"Solimoes2";"Abramites_hypselonotus";1
"Solimoes3";"Abramites_hypselonotus";1
"Solimoes8";"Abramites_hypselonotus";1
"Solimoes9";"Abramites_hypselonotus";1
"Tapajos1";"Abramites_hypselonotus";1
"Tapajos2";"Abramites_hypselonotus";1
"Tigre";"Abramites_hypselonotus";1
"Uaupes";"Abramites_hypselonotus";1
"Ucayali1";"Abramites_hypselonotus";1
"Yacuma";"Abramites_hypselonotus";1
"Aripuana";"Acanthicus_hystrix";1
"Branco";"Acanthicus_hystrix";1
"Candeias";"Acanthicus_hystrix";1
"Iriri";"Acanthicus_hystrix";1
"Javary1";"Acanthicus_hystrix";1
"Jiparana";"Acanthicus_hystrix";1
"Luna";"Acanthicus_hystrix";1
"Madera1";"Acanthicus_hystrix";1
"Madera4";"Acanthicus_hystrix";1
"Putumayo";"Acanthicus_hystrix";1
"Solimoes4";"Acanthicus_hystrix";1
"Teles_Pires";"Acanthicus_hystrix";1
"Xingu1";"Acanthicus_hystrix";1
"Luna";"Acanthobunocephalus_nicoi";1
"Negro2";"Acanthobunocephalus_nicoi";1
"Negro3";"Acanthobunocephalus_nicoi";1
"Negro5";"Acanthobunocephalus_nicoi";1
"Abuna";"Acanthodoras_cataphractus";1
"Amazon2";"Acanthodoras_cataphractus";1
"Amazon8";"Acanthodoras_cataphractus";1
"Andira1";"Acanthodoras_cataphractus";1
"Aripuana";"Acanthodoras_cataphractus";1
"Beni";"Acanthodoras_cataphractus";1
"Branco";"Acanthodoras_cataphractus";1
"Canuma";"Acanthodoras_cataphractus";1
"Coari";"Acanthodoras_cataphractus";1
"Curua_Una";"Acanthodoras_cataphractus";1
"Guapore";"Acanthodoras_cataphractus";1
"Japura1";"Acanthodoras_cataphractus";1
"Jari";"Acanthodoras_cataphractus";1
"Javary1";"Acanthodoras_cataphractus";1
"Jiparana";"Acanthodoras_cataphractus";1
"Madera3";"Acanthodoras_cataphractus";1
"Madre_Dios";"Acanthodoras_cataphractus";1
"Mamore1";"Acanthodoras_cataphractus";1
"Marmelos";"Acanthodoras_cataphractus";1
"Napo2";"Acanthodoras_cataphractus";1
"Negro1";"Acanthodoras_cataphractus";1
