"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;241.508863718388;239.625178519053;239.34264163778;238.141997190167;241.238820087304;240.884254083233;235.267439232478;210.001880521181;222.93252337437;235.063476962958;227.573714449795;231.885023659716;232.080246088185;237.522227996973;229.522701992079;236.581286616121;229.833079458758;225.259392633562;240.70214086102;229.434922804086;237.91636657504;239.647906302161;237.104105877875;230.32484918644;226.702934699111;233.368192224193;230.298535410081;229.536243121842;226.497034202023;234.890505441975;227.632738015916;235.394892873574;239.67503999375;236.083090337487;232.831935401936;230.850911437971;235.267684347716;230.678123450085;239.737373773241;238.417898701133;241.070494515049;238.992079004054;234.096949642429;234.120488934983;231.305204004864;231.569811597425;235.005484404049;231.515916836065;223.991905744114;231.703334272098;230.994249801276;229.588565333026;238.437602817304;241.557873394549;228.71414073586;228.858130512906;239.305138959414;240.188960829874;237.02526816593;231.021474952033;241.2520501225;229.96186778774;228.33446975987;228.260191331505;226.836469276087;237.016343200415;235.073687622929;232.84694660489;233.900739194213;229.28014426578;227.853551114107;240.24743389345;238.685031973641;238.021132669155;241.303215367497;232.658933386725;232.824366942699;234.361299727049;237.429242503744;231.753772155941;231.280787545611;236.505202053754;230.472083313551;228.003298826217;242.297100738307;238.155427879592;232.116620911641;232.117321533947;226.658262873944;238.496742494673;225.756225825082;236.220182675067;229.994505271697;230.551080418807;228.699634820511;231.672027514973
"Amazon1";241.508863718388;0;248.206502514744;248.275250951275;246.950183520258;249.162402404881;250.947614197804;246.524547045058;225.507972504776;236.095697851153;245.080777728595;239.372831480272;241.997397757821;242.841590591524;246.95766302129;239.96646780264;246.354674320785;241.525672034838;237.207867868496;249.697246082083;239.828207137179;247.899903977787;248.718502582916;246.25524029274;242.373677509959;238.787933939967;243.453940051325;241.453681457006;241.448060178301;238.320313561191;245.067352870962;239.789574354845;244.203041760839;247.194462083983;246.854938759578;242.440888072944;241.560792491596;244.556193241317;241.939360583995;247.857043683426;247.381062107297;249.067089106281;247.327038733935;244.118661909625;243.536506787007;241.447084927516;241.878980248941;244.337928436771;242.16562743576;235.408646506042;242.581077469657;241.119851727407;239.795326961216;248.23501898078;250.858347703876;240.443385767888;239.609367085742;247.812299821618;248.113447535601;246.430814278078;241.939117317714;250.248889088126;240.45730511296;240.294097428607;239.761598065514;238.218610239673;245.950198956054;245.103632152792;243.109764639401;244.092056485538;240.050173736349;238.71392731611;248.622393816204;246.972172864342;247.710476676927;248.753669223112;241.946830879833;242.882375243314;243.62721879729;247.015584468394;242.702442411359;240.956812411656;245.360550138434;242.182700162617;240.016338950432;250.763876238508;248.100905195013;242.396296933019;242.568494139905;238.608116441265;247.761967580203;237.58143692845;246.018874707598;241.505923376377;242.01825335505;240.476392652943;242.541543839231
"Amazon2";239.625178519053;248.206502514744;0;246.832645974803;245.637572400718;248.123073739833;248.768394098623;244.198788956159;223.694572986445;234.186725206551;243.470433145632;237.486798142954;240.607902913279;240.965717948621;245.457255196975;238.63671258088;244.840518944723;239.504201780943;235.396994222166;248.191165123687;238.517875322827;246.404751429649;247.36848827846;245.074729599554;240.309738859113;236.881709108923;241.865120743513;239.704716522381;239.285634451613;236.38959912077;243.267031212623;237.794180933339;243.183422899849;246.601926118968;244.818133318685;241.311852025581;239.90398613629;243.377563137411;240.150773770243;246.847350099706;246.062002405908;248.005808265487;246.23679661014;242.495781297926;242.327621443029;240.060456245996;240.498026848271;243.035182666982;240.436678031981;233.971913045405;240.832222984387;239.82872971827;238.654242642346;246.532197880051;249.195928124424;238.755052438654;238.265357397279;246.606859513096;247.173973010281;245.027601124936;240.161055745109;248.512597364872;238.985002920055;238.472549534434;237.837441153423;236.620979214996;244.76800038145;243.655037226069;241.672698180276;242.551349074592;238.736826440949;237.293388039732;247.382919548785;245.878125253977;245.919461841157;247.944270515329;240.949270256728;241.411275051792;242.515436723148;245.391209895202;240.948153821631;240.199462321577;244.233513453769;240.130766235834;238.253149159348;249.325615880128;246.30486400162;240.94032346226;241.041007115608;236.928298759365;246.384865790226;236.046231199042;244.334908886361;239.378978593573;240.21613335564;238.497120083752;240.7668130513
"Amazon5";239.34264163778;248.275250951275;246.832645974803;0;245.416248647579;247.993915483729;247.941533522258;243.261808610213;223.100066030662;233.390324393398;243.169681323431;237.05673791777;240.534340487189;240.673952531647;245.152092602124;238.503358137385;244.273547938186;238.925046374813;235.280585889394;247.789764676881;238.614108118649;245.535404119893;246.767777793384;244.465294270363;239.373831983817;236.605489769345;241.709904537959;239.578633958099;238.691818491944;236.221758254491;243.040032962529;237.218870434297;243.267900260783;246.604036993159;243.837284102899;241.256938078227;239.761926256529;243.297515224847;239.51187269575;246.75874005308;245.828692264992;247.966500300472;246.188576470521;242.282464545934;242.316899252583;239.950441001569;240.397132054443;242.943532662851;240.254045914985;234.624142878003;240.485747761975;240.027645680824;238.818081553287;245.917103975134;248.439935593465;238.219139539643;238.215367764361;246.487948514214;247.086418788846;244.65843800923;239.642363550988;247.864721904655;238.904638320335;238.097107160694;237.259238557114;236.592141970851;244.674289984756;243.129429652295;241.638440193546;242.271133555351;238.325692551732;237.34037611107;247.316049109737;245.883194473917;245.458394712;248.059724532367;240.905635891882;241.261682496012;242.526970608545;245.086981242701;240.490875941752;239.871970680404;244.16130794202;239.500699437;237.74330006054;248.988163274727;245.654618653675;240.389985232402;240.874881241049;236.501566001181;245.895845406252;235.91330076565;244.076475423786;239.012858332639;239.660736500213;237.876059981121;240.46897075518
"Amazon8";238.141997190167;246.950183520258;245.637572400718;245.416248647579;0;246.726559126248;247.257610260237;242.565456982391;222.284776604071;232.63400071955;241.992447710563;235.904574903336;239.206112932513;239.539212295469;244.015060853144;237.096118381962;243.320543811541;237.982113277191;233.912953044069;246.768735782117;237.11762757561;245.085886372447;245.943410022763;243.48888993209;238.908850426563;235.385271399605;240.473104089774;238.423660924166;237.743269611095;234.868733282755;241.868718020721;236.247214658522;241.766374291325;245.17447806024;243.185296186305;239.892402445472;238.433226320868;242.024352820462;238.5736182372;245.478747750392;244.646767321518;246.688896238401;244.820139295366;241.035220487734;240.88203779513;238.56042145356;239.153866603245;241.624970232522;239.005597390789;232.499871023286;239.435904714553;238.549840769024;237.393713476127;244.981625240449;247.742742686192;237.372409193861;236.88419026731;245.216270902837;245.784251732246;243.572081671632;238.509444878416;246.970424362817;237.552674153521;237.265824774181;236.07392354383;235.256906701047;243.356925043621;242.146943725934;240.40271423447;241.160651526271;237.30559368604;235.958816241545;246.055718830704;244.468783525969;244.426349549999;246.660750956905;239.509685859209;239.994818387413;241.170667741388;243.978087893601;239.441996614879;238.678049381843;242.802235844814;238.60251947565;236.930488936578;247.89282332766;244.704579079185;239.36375645446;239.69474746835;235.649538808834;244.860738184818;234.684888326078;242.8800311045;237.84840660094;238.766968918457;236.918183889615;239.386212222373
"Amazon9";241.238820087304;249.162402404881;248.123073739833;247.993915483729;246.726559126248;0;249.980501516922;245.717246189015;226.542397020744;236.490437158454;244.845128963022;239.285397987699;241.954663146853;242.478871625645;246.697700140445;240.166051217498;246.122516073198;241.203272575394;237.130068100169;249.258330378941;240.017447058702;247.707313076431;248.553186499841;246.127346269508;242.082132126355;238.727031657061;243.221596527098;241.305577169013;241.095642470601;238.159029355507;244.551986409532;239.612333369264;244.38012781308;247.62795804539;246.266551566349;242.668632706378;241.436003078827;244.615066493184;241.798669026922;247.958677851921;247.225537334785;248.941770525284;247.179403565075;243.781073592151;243.578270352484;241.476444121197;241.945719197464;244.229248378536;241.929486798879;235.603003775052;242.258920644296;241.156098545473;240.069483164494;247.637106445164;250.264658785228;240.627028825928;239.849974679985;247.653950773983;248.104613053953;246.171844800175;241.612468605528;249.441848089378;240.402383505368;240.294474050717;239.518568417081;238.310882198225;245.963104873011;244.954588146851;243.144329998465;243.961429995562;240.298426749694;238.809324099596;248.440798151156;246.934356336582;247.19798325302;248.842839630664;242.141392013471;242.748932866647;243.779604366467;246.663792169288;242.526398829584;241.525467590351;245.40562568778;241.863321069253;240.062199533556;250.407022568559;247.581600361391;242.309309925677;242.494526001005;238.633504445372;247.555974422745;237.810643976456;245.685598802621;241.077251316731;241.934173229098;240.308228665836;242.247661699235
"Andira1";240.884254083233;250.947614197804;248.768394098623;247.941533522258;247.257610260237;249.980501516922;0;241.937029763683;224.299896102165;233.026886522433;244.67515463456;238.24373813027;242.985030966654;242.093159231466;246.574544432141;240.79625367608;244.802090621785;239.438671955727;237.793543682903;248.626924880069;241.952464987761;244.537066866272;246.858934608573;244.881205531927;238.230514057408;238.268789789463;243.838740068779;241.808285784499;239.032718440284;238.296250087138;244.734988066393;237.878470370902;246.13895093344;249.178911250644;242.417838306363;243.885840398291;241.950733124969;245.73819798568;239.894422358504;248.881293709206;247.297494070127;250.314755540091;248.54730293366;244.155306331478;245.084953657555;242.266630628973;242.81560354649;245.239843596738;242.163276164505;240.192494213795;241.928142799594;243.837621658139;242.258391850987;246.327697268059;247.754688717435;238.835187055998;240.953430635784;248.620510223254;249.421989782142;245.993705585689;240.675957139732;247.617714222493;241.565570274739;239.397676427638;237.352253765021;239.457524417286;246.91243131902;243.716262981661;244.150816354345;243.862201982915;239.274164661589;240.295972425928;249.399974153567;248.365507454941;246.12347054636;250.788910306523;243.604882692471;243.534292023273;245.321464562213;246.475376195103;241.396156028628;241.704543575307;246.507627460326;239.840779009729;238.732694249461;250.078016878278;245.796702951708;241.260056051967;243.00193526847;237.796842979504;246.84958272582;238.509455857354;245.644081234741;240.330476858301;240.253110374202;238.24925009787;242.005049297699
"Apaporis";235.267439232478;246.524547045058;244.198788956159;243.261808610213;242.565456982391;245.717246189015;241.937029763683;0;215.662481780262;225.688562402885;239.478431195822;232.181733306643;237.777145023289;236.814080496156;241.706362703037;235.182201565724;239.278377585527;233.426411904203;231.826204873612;243.922927886657;236.844780482546;239.231029719787;241.975666032996;239.844660060474;231.501464614793;232.176589496134;238.953102084502;236.89234456896;232.875141832166;232.295715661903;239.892202904899;231.685314931364;241.440892636149;244.695415988892;236.459782267816;238.72068390071;236.590513246938;240.938066589632;233.821701069594;244.24390780029;242.411739429868;246.075918692155;243.968280840569;238.974277099774;240.187884179768;236.569226380851;237.537412051827;240.359730585896;236.837091927091;235.949103933409;236.660114514973;239.27920468194;237.586852035313;241.481476223348;242.759391094012;232.393170508558;235.582215494752;244.18103768632;245.125316056102;241.244563673699;235.069363286821;243.115353025965;236.245320570415;233.685427223558;231.201815414946;234.138161164679;242.132873229947;238.154739924325;239.200281710155;238.645989042781;233.318055960836;235.160035466328;244.990802956795;243.738943173048;240.988882120499;246.599615241775;238.442237406602;238.568485632704;240.529075577068;241.720730488788;235.705317080091;236.471094397752;241.702719458365;233.726607967331;232.839611616172;245.420028803121;240.429809520723;235.673257090578;237.96885293984;231.847519688829;242.064161471584;232.684581068632;240.700953784018;234.752402826084;234.423696122513;231.847660309332;236.671529477823
"Apurimac1";210.001880521181;225.507972504776;223.694572986445;223.100066030662;222.284776604071;226.542397020744;224.299896102165;215.662481780262;0;194.3560409544;216.622883572514;205.042376067769;212.158500137436;212.782078782619;219.955634458276;209.142337330816;217.488765114589;207.336198937022;202.023945873889;224.602832489614;209.074285731353;216.015151587203;221.687415407246;218.369907521321;204.558827083497;203.406055988292;214.840811118125;207.807837046585;207.331834081634;204.383893801646;217.158242164334;203.800264595563;218.571637129199;224.883446949967;215.845208471453;213.829447353759;211.055214944596;216.717146021467;208.723259054261;223.891230733832;221.612547450824;226.055044552598;223.683041725929;215.864017820321;216.158980816456;211.817932424594;210.340945772582;217.480252484324;212.373217025142;199.073846188814;211.222733003802;210.808041893441;207.109273477089;220.920416433865;224.22576959177;203.435549896235;206.481172358778;223.601954954893;224.510926455166;218.911616514321;210.320438249556;225.79814093302;209.595263779178;201.442588174687;205.972366202699;203.661179746727;219.912296198595;215.310198702731;212.775961445365;214.19107336089;205.809364387669;205.589976592181;225.047838000712;223.698162454385;220.989733608327;227.334298953624;213.442368965355;213.822030004149;216.211089361393;220.292086608077;210.768898015287;208.540011730322;219.468816922454;208.007331218622;201.889302846977;227.691627552714;220.159295330828;211.200046623569;211.395176202574;198.212231933895;220.449045321111;199.468491727786;219.058299037771;210.101326420991;207.83178344137;205.797300745053;211.152470516876
"Arinos";222.93252337437;236.095697851153;234.186725206551;233.390324393398;232.63400071955;236.490437158454;233.026886522433;225.688562402885;194.3560409544;0;228.338954404626;218.570546431029;225.79311715483;225.012359827038;231.056146558362;222.348326896637;228.72263998537;220.787469893142;217.88459931532;234.578542258448;223.637194047447;227.866899882496;231.919624171424;229.309483358595;218.471731752361;218.4063326038;227.266759419488;223.094532141004;220.107923538624;218.96362034923;229.035517678605;217.917987432365;230.275146967891;234.86998891953;226.132179405315;226.794839575174;224.210020353667;229.4008113968;221.099287890564;234.379675205839;232.340913484972;236.586136985096;234.450748215155;228.082148496612;228.697225171506;224.868885945537;224.875910566985;229.461233167745;224.957190600669;220.507737051155;224.62470773073;226.301448303535;223.560855608728;231.621791369982;233.719065675578;218.348336941652;221.718082750075;234.252912077536;235.348582838716;230.425510488882;223.02570239069;234.581337631203;223.814947360536;218.693169023987;217.998488060083;219.631201923164;231.382050702386;227.153143454622;226.650378149783;226.930330347783;219.779603430766;221.301884121997;235.34609672616;234.177187968991;231.103577407514;237.331301962258;226.761761265003;226.718983755925;228.871593462508;231.162606928452;223.331333924406;222.89974681768;230.974816826929;220.87073976566;218.101822959778;236.640521842615;230.502028987139;223.785322298079;225.303272264504;217.017777800018;231.38805778322;217.513809117559;229.997613433069;222.323853956207;221.056191749236;218.7197198187;224.366288424142
