"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;241.5330385726;239.622449522148;239.33903603672;238.138456496848;241.236623000627;240.894042977608;235.297019525553;209.934769343823;222.975970059005;235.077311896627;227.555140119042;231.873015682732;232.054427341989;237.535635144659;229.52387746745;236.577992454744;229.848409842852;225.238161239115;240.710074407575;229.437932121361;237.977613955502;239.684806360156;237.104428518729;230.380731585039;226.686502339887;233.369262866525;230.317699598196;229.520097494413;226.471503898429;234.844591014881;227.673035361127;235.40202778509;239.682619939261;236.105359777621;232.849598561797;230.857747163112;235.264715245132;230.682255657159;239.720378601639;238.435125005084;241.088424281836;238.993228486576;234.108289196405;234.123339956839;231.307994489592;231.570796360614;234.996645639049;231.497490882255;224.216931150985;231.718671899344;230.95815779812;229.578601084679;238.471482685421;241.611132508789;228.758258299115;228.870085037318;239.323198464231;240.204219285603;237.032951792327;231.028049288058;241.247690550015;229.945639351072;228.353538666723;228.203241089802;226.848039841466;237.037819559843;235.138049286525;232.836176461625;233.907989704489;229.386034229133;227.818377875705;240.244241020408;238.661032074401;238.031766328452;241.317445977422;232.659018581512;232.832781754081;234.375036901196;237.426503218303;231.765051346588;231.288629192454;236.50271176963;230.495398506053;228.033636769147;242.273380639195;238.152891673301;232.123848116291;232.128729818408;226.586309365504;238.516550042031;225.730807248501;236.21675408331;229.976635012685;230.558663090287;228.698810804098;231.678963274404
"Amazon1";241.5330385726;0;248.253643594061;248.314360939452;246.982943955609;249.199593983875;250.987380926857;246.601467572782;225.635487159986;236.187697302482;245.14060500607;239.402628007273;242.053937123323;242.863969055285;247.009898338573;240.026519191038;246.405877814549;241.596646808305;237.271737650732;249.741958392869;239.882859402381;247.985186657967;248.77451340436;246.301991692673;242.464355238937;238.832520450765;243.499913822285;241.532511714383;241.485508660895;238.359369882376;245.072329635119;239.870297862716;244.255108528118;247.219887428135;246.917127009036;242.506382631681;241.616453304656;244.611995404044;241.989291143819;247.882840215687;247.443079265819;249.131716213514;247.378494737139;244.182059136984;243.587153027287;241.512431409021;241.954231718641;244.381647748169;242.192454715618;235.678780113544;242.649955792724;241.154092284607;239.862768955325;248.30559879691;250.917863908385;240.544566869141;239.677426851931;247.865553456832;248.155672755418;246.473068175096;241.991206239388;250.266497344209;240.50117545465;240.402002123968;239.804354625413;238.288286189205;246.01324563395;245.213609154516;243.167397213086;244.152916855248;240.198042639851;238.741366342924;248.667614938055;246.993620316239;247.752543764405;248.804593709134;242.020557378718;242.937892126522;243.687301208354;247.053304099839;242.759664145544;240.999697419721;245.40845276424;242.2477250791;240.121500177432;250.773686239487;248.133418232743;242.451079070126;242.639679536331;238.678867449861;247.815352889641;237.681122754182;246.048515258204;241.51790876788;242.04794264141;240.521595703304;242.587750909569
"Amazon2";239.622449522148;248.253643594061;0;246.855447276923;245.656197927042;248.14617987521;248.789201430766;244.26396373514;223.716332948432;234.244657083755;243.507446868526;237.491003754942;240.631559017375;240.972300003106;245.491642437155;238.672011426455;244.861795546013;239.543989311012;235.426063860964;248.217679417032;238.54601265028;246.481274311365;247.428918142556;245.098104376369;240.384622365374;236.892881072476;241.886689795471;239.746605120823;239.299157303409;236.396802595638;243.256319575675;237.847552344557;243.21464142589;246.634661972834;244.855894644252;241.354192262432;239.940736544997;243.406725282211;240.172788543751;246.858564722723;246.104776711735;248.048798758163;246.269518989184;242.546023750069;242.354033628868;240.094945899486;240.529268866928;243.050265080474;240.449497510895;234.161797491732;240.881353333335;239.82764936325;238.679345924809;246.584668997001;249.252431041027;238.830721204692;238.298143007536;246.641008157622;247.207424089718;245.046590933872;240.185196379323;248.528955375882;238.992632279669;238.535838145428;237.787784738515;236.661088740204;244.812542371132;243.744764824802;241.696359722195;242.580489752984;238.827331095541;237.29577652516;247.40772061981;245.891869683967;245.95918840124;247.979900495914;240.989856748433;241.436608888698;242.557883043565;245.415064159601;240.981982050791;240.218762621903;244.26239584321;240.167470655613;238.306387401128;249.321641254921;246.323054037762;240.979446207262;241.079623967298;236.9085751525;246.4242005918;236.083066857862;244.347998410855;239.384408933211;240.245405854066;238.521568497999;240.79405801389
"Amazon5";239.33903603672;248.314360939452;246.855447276923;0;245.434897982629;248.018980187854;247.961064117345;243.321736528458;223.129349237209;233.449227724311;243.203945178527;237.059700395192;240.5563168971;240.683700154079;245.183908547538;238.535179865153;244.293224592484;238.962690706086;235.304506458354;247.813790858822;238.640665096939;245.606660143845;246.828244098068;244.488037987801;239.446373815798;236.614614121175;241.733575560254;239.617782462132;238.704535900586;236.23096630613;243.030034463201;237.275872069605;243.298297500112;246.629889346373;243.871721124959;241.298454626224;239.795338850569;243.32476194255;239.526798978053;246.769910457386;245.868396081435;248.005537056809;246.215346189697;242.330017256596;242.343220744532;239.983672321458;240.429000588684;242.958176912372;240.267757718843;234.823043779662;240.535387315738;240.021860558641;238.835076572217;245.9693624538;248.49327851769;238.297344408258;238.247088934002;246.523504052366;247.122403771853;244.679461812766;239.668235071202;247.875960457075;238.914780419238;238.159451694323;237.224157038741;236.627354835174;244.718323646247;243.213788456459;241.659196089075;242.298383482643;238.417937778784;237.336020958692;247.339168967337;245.895586127677;245.497010145802;248.091187895374;240.943736464893;241.28976863568;242.56793506297;245.108361678017;240.523622263888;239.8962830564;244.190506745032;239.541161582473;237.793499905423;248.985757982525;245.670876214939;240.433238536837;240.912091551081;236.484906060751;245.933857592454;235.943412849632;244.088926976224;239.016388922504;239.69307543407;237.898383121768;240.498731467906
"Amazon8";238.138456496848;246.982943955609;245.656197927042;245.434897982629;0;246.744519167566;247.277549495574;242.615761302535;222.311970247679;232.692234244654;242.021175747736;235.906055772033;239.22504027942;239.548486529793;244.043114993004;237.122071942677;243.338939205729;238.016911916734;233.930191682898;246.787302412028;237.141578681749;245.163121244811;245.99788530275;243.510081664606;238.981929873435;235.390848295125;240.495243039872;238.459424150241;237.759685896681;234.874901680184;241.859756822409;236.303848811412;241.792579858369;245.195987813805;243.219554781897;239.926645967862;238.463496226519;242.046401755258;238.585780954817;245.487531672074;244.678067061206;246.720521712445;244.836616314481;241.075164188453;240.902459528539;238.585663886049;239.179156733212;241.635384178205;239.020128938727;232.727694983958;239.480268713588;238.54010869548;237.410695944362;245.028579904102;247.796106378311;237.444882352673;236.916143389853;245.246530689511;245.813700271167;243.590110149746;238.532604208914;246.977146089151;237.556724811203;237.326759719378;236.027670969572;235.292801127075;243.39428253375;242.222784208131;240.417178989032;241.183382131462;237.387388935703;235.956366911261;246.072874497164;244.47464475586;244.461098602561;246.684809819509;239.538420055438;240.018021629027;241.206573104151;243.996655512805;239.472279924077;238.702481678276;242.826280141618;238.641096010268;236.978830194944;247.885565695865;244.718944132639;239.398014401588;239.727684658327;235.63453783631;244.896519304472;234.711753542552;242.890393791079;237.854763272967;238.805446521758;236.942500332976;239.419283288632
"Amazon9";241.236623000627;249.199593983875;248.14617987521;248.018980187854;246.744519167566;0;250.012831041869;245.784006458678;226.582574667332;236.555226729004;244.880319321572;239.296224912525;241.974381659235;242.493956589853;246.729539839597;240.197358014333;246.149912817964;241.248315645333;237.151698162;249.286422623133;240.044255049468;247.788795031616;248.611135500725;246.158409645248;242.162674366967;238.739463048456;243.247301714272;241.347492394078;241.115072856173;238.173557937896;244.547181655859;239.674447649171;244.412865563811;247.652489939786;246.314700823043;242.707764499517;241.46950550125;244.643269807475;241.815530894415;247.972616105275;247.266045602582;248.981075674659;247.205249444015;243.826113512899;243.603297906488;241.508599199687;241.974928812687;244.24503073933;241.943699903901;235.813802676595;242.307763562789;241.147521428887;240.086884652375;247.694096898659;250.330676226697;240.707564736941;239.886116543388;247.690804695734;248.137779468706;246.196139271779;241.642750174669;249.458714624813;240.411830445957;240.354406848312;239.494339654579;238.348363644937;246.005897381278;245.037902871683;243.163548592096;243.992719077785;240.401205341379;238.805737804075;248.46434997922;246.943259845429;247.239308193242;248.871440321932;242.178040461591;242.777003230709;243.820044458713;246.686241434528;242.560292204324;241.555234367777;245.434787959763;241.906183460665;240.121669086037;250.407989010893;247.604280865259;242.352773828279;242.531980416203;238.629605439924;247.596773778601;237.839608050494;245.70108472768;241.086237215661;241.976706800157;240.339694023248;242.282656160014
"Andira1";240.894042977608;250.987380926857;248.789201430766;247.961064117345;247.277549495574;250.012831041869;0;241.989206271575;224.317518517998;233.08208439857;244.707328996558;238.254743623062;243.014100214738;242.104233508883;246.613328122934;240.832183931492;244.827728814924;239.472251579849;237.820636693184;248.64821116387;241.988630641384;244.63270398398;246.927367116429;244.909641367701;238.323354197614;238.281164773271;243.865456249066;241.851787272218;239.051780099595;238.308027688464;244.73000866531;237.943410007704;246.166766697143;249.211798669297;242.450253307542;243.934221427427;241.986477508164;245.765156109262;239.895476829644;248.893444826851;247.335152480243;250.347826785149;248.574551440267;244.20355969643;245.112730750082;242.304763518711;242.842428487717;245.250087353225;242.185206002418;240.339491687241;241.990376879041;243.845183371578;242.288651069877;246.374523761009;247.821139275496;238.924486230241;240.99166382583;248.657555322504;249.46056293569;246.026335677018;240.70453533273;247.629342109527;241.57214935093;239.473780246666;237.3041790654;239.489445789733;246.959507389085;243.805471781191;244.167041099014;243.895434334897;239.362389950953;240.300241037102;249.423329782755;248.381449621756;246.154677700342;250.821677583903;243.647174076822;243.567667567797;245.365528715769;246.498253286006;241.436109795702;241.739201117169;246.538929415809;239.888982467355;238.791678342384;250.081481600355;245.813327548009;241.303596555119;243.034900341342;237.784399748781;246.89120941037;238.542835417263;245.657960975294;240.337891048893;240.295697523727;238.268084432811;242.044362851322
"Apaporis";235.297019525553;246.601467572782;244.26396373514;243.321736528458;242.615761302535;245.784006458678;241.989206271575;0;215.80763496909;225.797062642161;239.554521552606;232.21175804897;237.870530589902;236.87122717262;241.783488324549;235.25904507297;239.349983079056;233.513367515706;231.923612357958;243.994971999741;236.925271209997;239.367182652056;242.07955005802;239.908934591424;231.651753019618;232.246999116976;239.024280455756;236.999066077126;232.929614959004;232.351292065717;239.922954473043;231.80443546403;241.506723531669;244.750056797981;236.540613044002;238.813195245156;236.66988569446;241.013864570989;233.859584967381;244.293515525896;242.499978030163;246.158685383111;244.028146014097;239.078445486997;240.257130856961;236.667429112509;237.635773281865;240.414448530635;236.902434207812;236.235854732817;236.765134339579;239.32523530439;237.697082613307;241.576743932796;242.87526125821;232.56073206035;235.672594250706;244.26027225291;245.207758290113;241.313185188887;235.140543952147;243.16237312313;236.309353620143;233.856537515205;231.155470971462;234.230181634874;242.219577519741;238.313818953652;239.275322950909;238.726114709902;233.475625787819;235.218356352536;245.056700801567;243.787858404886;241.069188178009;246.672853025903;238.544707674295;238.648879844966;240.614100264967;241.779744440354;235.795881406968;236.534859143145;241.775188190645;233.824495371461;232.962533324142;245.447084142149;240.476366377547;235.760182452323;238.063505833081;231.934121265892;242.15055181078;232.806468163082;240.7481125349;234.787006509132;234.492207089981;231.902755221304;236.759116774321
"Apurimac1";209.934769343823;225.635487159986;223.716332948432;223.129349237209;222.311970247679;226.582574667332;224.317518517998;215.80763496909;0;194.501339880983;216.696582929704;205.0162298226;212.166198105721;212.76377579042;220.000400177247;209.140551895096;217.502112044183;207.422304406013;202.015960007882;224.648228135404;209.071079901308;216.129439785852;221.789133885611;218.428195766308;204.688766338678;203.378470914628;214.875125152552;207.785983783181;207.28461911218;204.349673853322;217.134006352941;203.864938529789;218.611561291369;224.889244964423;215.972289282674;213.870687996864;211.115445662275;216.753463552957;208.81876631014;223.925084463617;221.684509770123;226.161518889271;223.721199715902;215.935767836661;216.201028841378;211.854662630608;210.388998013594;217.531841662977;212.322215826271;199.941083809711;211.239852542854;210.749732427465;207.035257638619;221.141462354166;224.351933944664;203.487460803186;206.507397258385;223.661510116442;224.634390909563;218.945004922533;210.378464131916;225.910391073633;209.630266693399;201.354532344815;206.063328890209;203.692707443708;219.97540066066;215.460371899294;212.800678949702;214.203455915404;206.145847332216;205.467306511822;225.062845874751;223.702475806264;221.076387184302;227.391167804988;213.50609368097;213.849923077289;216.247478773794;220.311023190935;210.845423126175;208.681689318968;219.518415958457;208.041247700546;201.980404975411;227.653244850125;220.22680302648;211.280716315007;211.437911079258;198.01275058787;220.547291808885;199.334509886428;219.047986346241;210.074340469521;207.838446590284;205.858144497166;211.137364068977
"Arinos";222.975970059005;236.187697302482;234.244657083755;233.449227724311;232.692234244654;236.555226729004;233.08208439857;225.797062642161;194.501339880983;0;228.42241528366;218.614056621089;225.885665697476;225.056956332954;231.136961019474;222.429033498403;228.792129707065;220.894762474036;217.996761553649;234.65442363464;223.726651957817;228.001949967723;232.034490313854;229.379037943;218.614577529941;218.472756814947;227.346369485003;223.232937426876;220.154659163991;219.01345319498;229.046647677161;218.031506967201;230.352052726047;234.913640315611;226.21224710175;226.896938944417;224.296961312274;229.490803346383;221.169029614279;234.419284628239;232.424043185939;236.690000501844;234.522525261921;228.185681500081;228.77352207185;224.982650050559;224.995904988847;229.539484143354;225.015988843743;220.743994833513;224.737331977671;226.359753613259;223.63523197059;231.738855440523;233.828808165819;218.521577004765;221.821661726984;234.341534679607;235.433747035637;230.497054466464;223.110049571298;234.643895185333;223.896127866147;218.858549261111;218.062186255937;219.729715228724;231.476245019909;227.338334112675;226.748116236372;227.017886363883;220.017340039593;221.325475633654;235.412387972576;234.206089621442;231.195020629483;237.417548662108;226.869140794161;226.810131499912;228.965945833324;231.217637011012;223.415993693233;222.95616892752;231.04641908322;220.955696929961;218.270045243302;236.650235641687;230.557533808691;223.881791789783;225.414962938101;217.049793802396;231.482429778244;217.613089087175;230.03901517023;222.349238036805;221.107768628334;218.779380293571;224.451263765829
