"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;-0.473149759186241;-1.3094654755542;-1.44005855431499;-1.79919991370596;-0.748688695970198;-0.777591348660584;-2.10242354072203;-3.29735428590298;-3.80804057249335;-2.60561425984866;-3.40526311438311;-3.1282788975876;-3.08552700714237;-2.01722495411051;-3.57817988398003;-1.98100885189936;-3.5492880593908;-3.7825668786022;-0.845295663822573;-3.64496282778918;-1.07025718933187;-1.0094340345847;-1.75967398219532;-2.52733557545031;-3.38449943755009;-3.04273420320599;-3.14242895078913;-3.4763715885804;-3.59784626947835;-2.47573748394394;-3.63569026438505;-2.51452579371966;-1.01233524142919;-1.83703949253207;-3.06111872330572;-3.45594191393496;-2.54028914883991;-3.06690344191272;-1.11044771278671;-1.71024269730743;-0.729603251598598;-1.36719698372229;-2.72449333534041;-2.86024631760601;-3.15143749867725;-3.33733154645799;-2.60973150424973;-3.1849983995;-1.23656734294619;-2.93501117958421;-3.09717334825628;-3.21165250702562;-1.37173243481557;-0.493602065495341;-3.49186933718948;-3.66237298435004;-1.48332667971924;-1.02307335491898;-2.14766670779066;-3.35775212794532;-0.613636088087397;-3.43087479370367;-3.36723880625761;-1.63736850342491;-3.75041895030703;-2.10738260732509;-2.28955413530164;-2.98487264787186;-2.97411497799162;-2.96736128767586;-3.40198498814752;-1.08783057574323;-1.37832470852736;-1.68784930681001;-0.649964620660124;-2.88131541585864;-3.17492235186346;-2.83716745830527;-2.01846813878577;-3.07677635794897;-2.489466182636;-2.20003567792104;-3.4246845042137;-3.55088040015418;-0.380030947339831;-1.64157347904931;-3.03706616741943;-3.26154866170543;-3.23901887980055;-1.41096135900479;-3.73290837059227;-2.37640017415177;-3.17995751020734;-2.78469819254428;-3.43461854919034;-2.87624162089619
"Amazon1";-0.473149759186241;0;1.50944427177096;1.52475332582313;1.16081323175491;1.76782688395664;1.9903232397208;0.766792502442396;-2.01536130642725;-1.67600048315159;0.595628522081126;-1.00668506251022;-0.349427555630578;-0.118804623621418;1.16718805561232;-0.966686957896478;0.823596362098166;-0.544719224425375;-1.52721130391035;1.73001683337141;-1.01342282197467;0.884399833519266;1.35367828221467;0.729031997498314;-0.211552968277887;-1.08573985818335;0.0718946334146261;-0.451397088486461;-0.557970509522394;-1.25002877064148;0.538975642224607;-0.964121151551282;0.320294561873594;1.01802274312662;0.840158730098735;-0.234905075179575;-0.515167072585634;0.420868749245457;-0.381620270038987;1.2885128993503;1.22375052810268;1.71460685945517;1.19228250156466;0.295510141987966;0.138864159876307;-0.515027086724936;-0.408972120662009;0.354089711754731;-0.32188116493213;-0.49290391089096;-0.15946786714519;-0.528905326994837;-0.873426278198894;1.29158510805064;1.82272361696481;-0.773007178585287;-1.06750899856059;1.42342328108417;1.41378362940233;0.982109536893229;-0.419307183692743;1.73517975939981;-0.796327469332955;-0.731135959405331;-0.421706411306734;-1.38078228330611;0.878960968351956;0.510683431677385;-0.00776160782872192;0.271942306039371;-0.738308907447637;-1.14060427027802;1.62390512525481;1.07818382474553;1.23467500809034;1.59266696759325;-0.344375334145887;-0.106402058422934;0.146224751795481;1.19995687437734;-0.178349403853041;-0.536221472099473;0.656639103986267;-0.330957757706163;-0.857395764722935;2.10043889982282;1.33139696887364;-0.267066992677203;-0.186871859546669;-1.03482089402737;1.22788761539964;-1.40990620950993;0.870546543961767;-0.455799559522843;-0.316902238000433;-0.790363410757952;-0.20110502782799
"Amazon2";-1.3094654755542;1.50944427177096;0;1.759097315336;1.24261666523171;2.27378505512469;2.03928574106973;0.237564610257814;-2.29531581606988;-2.42893172881878;0.157355731276772;-1.82959417195707;-1.1351656151462;-0.972127473587046;1.20917697084478;-2.03707791544689;0.592029421700882;-1.76522853016032;-2.5014770193457;1.86008575488228;-2.21228340739738;0.700729015400641;1.34190848356086;0.572357356525387;-0.734284559545219;-1.83734683708668;-0.718872142673754;-1.24123045174417;-1.644259250789;-2.17350733488962;0.0268498209388355;-2.04939316185487;0.014826406457254;1.20739540786423;0.464403278507104;-0.91685656446673;-1.60321452499645;0.100543546609982;-1.10690344668881;1.47026926693313;1.3611717066479;2.15266772587135;1.28955363358645;-0.313296153545118;-0.404350341722412;-1.29559978388427;-1.37556074380348;-0.0673514219031603;-1.23618979241614;-0.604352107572556;-0.87443038289831;-1.22578859633899;-1.53600920207347;1.13965592107083;1.85425486420574;-1.64963217934922;-2.18253714797633;1.85958884891302;1.70086761017561;0.912130028959117;-1.50281686180596;1.78930959477963;-1.73707633360462;-1.56826800541198;-0.65596379907285;-2.44653502928239;0.847548824775321;0.171714717021729;-0.676039074008827;-0.388139128586505;-1.30892011867359;-1.89621818417444;2.05330787487003;1.09109337737199;1.10912528322161;2.03457806472314;-0.883862097101675;-0.954001535599576;-0.34726335892975;1.17710890586651;-1.00626850921838;-0.815023665497711;0.524459418564369;-1.45249860401913;-1.79487087808821;2.58264661286467;1.27168207728025;-0.953505672764338;-1.07951294123872;-1.68681966100217;1.22765871602052;-2.33178652670851;0.594050754227456;-1.33514266388953;-0.915736472361698;-1.73123784279508;-0.873842354574225
"Amazon5";-1.44005855431499;1.52475332582313;1.759097315336;0;1.10611702053715;2.20410527533868;1.75055425377898;-0.097484543982918;-2.35888669864059;-2.61977320548864;-0.0462072625318923;-1.99188664723321;-1.21096386186306;-1.12606204224006;1.02712854339726;-2.12151976482096;0.340187050452776;-2.03856912582362;-2.53800000074428;1.73746028022677;-2.19675616289232;0.499306569754156;1.13163468023425;0.333559879105856;-0.994998067634183;-1.94028385023304;-0.859777921147147;-1.31595673091905;-1.87075271846244;-2.2657695920672;-0.108993193273613;-2.26525416098688;0.0169070364224586;1.16833487230102;0.124333849026157;-0.992941704014392;-1.70225798582195;0.0212197086429352;-1.37224135594247;1.40792333045093;1.2382015332046;2.11912906110943;1.25411186273731;-0.455820867629553;-0.47139278969375;-1.3928026868037;-1.45514806515997;-0.163004572637562;-1.35096366912044;-0.570094974053513;-1.03651276948754;-1.19110614092961;-1.52580054546895;0.90971778964694;1.61005499932563;-1.87359238471976;-2.24973393887879;1.75929407706949;1.65312035542505;0.679655574044583;-1.7493783036769;1.59256686337849;-1.80229616780871;-1.71990698420102;-0.729812068504755;-2.49855550140936;0.763792600994503;-0.0699182086945486;-0.734989014595002;-0.593629508855915;-1.45403794833101;-1.95160192951283;2.01983144047577;1.07323459684965;0.892276559803391;2.00835753703074;-0.946404585642346;-1.08712463133533;-0.385073079415415;0.978156960481171;-1.24321653325703;-0.904135888821716;0.438776343701706;-1.71452375204111;-1.98451328312904;2.4288223341549;0.977310016579014;-1.1951114200529;-1.19620627188332;-1.78797896423359;1.01797908734711;-2.41042291957806;0.402404983141992;-1.51068661964677;-1.08261614473518;-1.95972994658273;-0.994395623586361
"Amazon8";-1.79919991370596;1.16081323175491;1.24261666523171;1.10611702053715;0;1.66952972275373;1.4896165692627;-0.308141930103774;-2.43780281763298;-2.72797931204386;-0.608755364348142;-2.24068784781195;-1.68967959714969;-1.50851465783047;0.424847504387319;-2.52227278280638;-0.0110282426411714;-2.34465685084735;-2.8521502431716;1.34555476548247;-2.66979653220679;0.413072755625875;0.875969378664008;0.0153513268048759;-1.06633151225413;-2.19419725176122;-1.40891621322486;-1.69576820768697;-2.15406437640574;-2.57494357573327;-0.575815491232551;-2.47892129415922;-0.713264653061556;0.698598647207017;-0.0549885220908104;-1.60163643934782;-2.21015915408017;-0.596993544982434;-1.64835941398925;0.923032844030212;0.68903502566341;1.61635344472729;0.711105229993453;-0.983421327202073;-1.16349716756856;-1.84190663216844;-1.9460843408614;-0.757034648247578;-1.77040438152181;-0.703191673173564;-1.37710522422078;-1.66951159459829;-1.92951472619098;0.607900530623929;1.44020408468799;-2.07383981720476;-2.64372960530527;1.1036230481813;1.12623211685128;0.143409785322941;-2.17868801881776;1.29476754253778;-2.23506709425984;-1.95242553361356;-0.856828601861057;-2.79935824291162;0.0944132272665321;-0.419479958248366;-1.21777170950369;-1.12844317683625;-1.67509040492261;-2.23771764679335;1.45041072294535;0.535852828615762;0.492506298273695;1.53357615232147;-1.45763531182124;-1.65451514036333;-1.05395211491525;0.410411574981851;-1.59680141046365;-1.17970435814819;-0.219177052178062;-2.01389204975081;-2.21418496197824;2.02507236308144;0.587269762728224;-1.51734112810086;-1.70132866006145;-1.96556217799749;0.658951407721278;-2.67943559809027;-0.197172844446322;-1.82833438093439;-1.31597782819717;-2.22090621549884;-1.32825656415736
"Amazon9";-0.748688695970198;1.76782688395664;2.27378505512469;2.20410527533868;1.66952972275373;0;2.31713046806308;0.713674080211319;-2.00195115815139;-1.93565110157947;0.802547070124163;-1.31368998318623;-0.536084863697242;-0.326849772521684;1.73919013686084;-1.41049775271064;1.03964839674068;-1.00234608514878;-2.01093965062103;2.21215477377158;-1.51153306975024;0.960424705713962;1.66403837252172;0.911720597298059;-0.321555822063628;-1.34891789355877;-0.0165867914281031;-0.672447628265387;-0.951366553890652;-1.66200689038752;0.555766482810962;-1.40473720549173;0.594937209252669;1.48665106352513;0.891032913271403;-0.265104028576657;-0.87282131187026;0.677356248414462;-0.568187649131881;1.80622301074963;1.80530304424705;2.40214359353842;1.6477230807514;0.284536475951451;0.232010680559319;-0.746161162922506;-0.654326996085442;0.483287783206238;-0.599738690632391;-0.502257743374783;-0.350662889298286;-0.720924397349124;-1.07763485425063;1.45812689245225;2.11848680916052;-0.975472610612817;-1.4891446686749;2.23004726875553;2.00936928971481;1.40888743699028;-0.80885178026632;2.06710783770716;-1.1821574986731;-0.995159220711888;-0.465961216379639;-1.90026675727458;1.39799515784192;0.639050803799528;-0.0206758264861558;0.363302140512285;-0.872766956086185;-1.4518411188528;2.41330326381095;1.46232584521039;1.55514337391888;2.26378084920333;-0.421088593720875;-0.260375554406421;0.309346227372916;1.71555484996275;-0.337192948721805;-0.47489585523085;1.0526017828704;-0.668959588904839;-1.1612106847067;2.81907293547968;1.70835071164917;-0.415614303145617;-0.351888303735474;-1.2638127887747;1.58719323552364;-1.7990985472305;1.21938197829593;-0.768141255130614;-0.417171703479188;-1.14364312837205;-0.369630631635174
"Andira1";-0.777591348660584;1.9903232397208;2.03928574106973;1.75055425377898;1.4896165692627;2.31713046806308;0;-0.502576712947944;-2.2359436957198;-2.50529561585592;0.529596107773062;-1.48515336513676;-0.0932633960219489;-0.448860395533038;1.28216896649212;-0.954339455896262;0.44670893431261;-1.46823320270216;-1.63433543948149;1.67808196563009;-0.497046461737854;0.248316180435475;1.01073718099872;0.402279706814841;-1.16719603556675;-1.37704966836331;0.207155559100743;-0.449767200769909;-1.47930994735915;-1.4893769723732;0.492229343034489;-1.77631026684739;1.08897500826263;1.72576688261051;-0.308646552998379;0.238515497310072;-0.527784213640194;0.941837576801477;-1.09662623281111;1.82631824596683;1.45306540261403;2.38032777780088;1.76860903326273;0.3382947918034;0.761963329854713;-0.376169781143566;-0.200046411636051;0.749100509946953;-0.427484518738145;-0.189462740360752;-0.435924172060522;0.260219983411163;-0.305396607055245;0.882062597506219;1.25009626415711;-1.43229421919056;-0.857292889369272;2.04022332400435;2.08421019021773;1.02922930136246;-1.05222730447529;1.27866608547356;-0.622399811227756;-1.15294844753232;-0.718564303138509;-1.28518795673667;1.40564431142383;0.111319823864395;0.325024186051367;0.194600093741899;-1.08534252728058;-0.896606852922557;2.2219636073627;1.66956131664632;0.946136685528591;2.4342841959229;0.128843432311356;0.0896280250875652;0.824691369337081;1.25672601213893;-0.702104995321087;-0.421258711793682;1.22635302773298;-1.29934351644024;-1.41881652078053;2.28660617795445;0.820288931576235;-0.746963510569778;-0.111591190284203;-1.38023571660085;1.13876786888309;-1.39921094928944;0.896891889310948;-0.923751783854387;-0.868612536406153;-1.64436799920381;-0.430637439684981
"Apaporis";-2.10242354072203;0.766792502442396;0.237564610257814;-0.097484543982918;-0.308141930103774;0.713674080211319;-0.502576712947944;0;-2.90519517785015;-3.44242135793986;-1.26213729601141;-2.62426842170709;-1.65047732260791;-1.89550404490667;-0.624124087938326;-2.38599003595508;-1.23017822943268;-2.77048561643394;-2.7005409043535;0.094876466987965;-1.98703294003293;-0.846258556598323;-0.41507989690429;-1.02301456502237;-2.28802582731502;-2.46053824077006;-1.45099862052699;-1.75433222449248;-2.78190270309382;-2.626128085248;-1.07670575315398;-2.90173008226156;-0.638768647928374;0.335434558034892;-1.72081306834525;-1.48117949477942;-2.07304447956455;-0.836199511006396;-2.40787544707918;0.212008723071394;-0.373505503565357;0.834099732038989;0.158637345657511;-1.38378966659994;-1.04263929277294;-1.93018798360516;-1.83723481141731;-0.989736360304707;-1.92660867170849;-0.48185696645639;-1.80168795479264;-1.13031504334741;-1.52095788779565;-0.549571995731502;-0.219976046333423;-2.71493583655502;-2.27046042415116;0.229533395204358;0.499874310512998;-0.771164938183879;-2.43940512700773;-0.141686514909126;-2.04436848892519;-2.3877888025422;-1.38427974932171;-2.4840874700301;-0.4317039272144;-1.45736067065243;-1.27316847907125;-1.56465451018316;-2.24563488006996;-2.05723321123901;0.496989541091279;0.0919105778591641;-0.775029374919148;0.962251530550415;-1.42572485260851;-1.58473290765385;-0.956151263370065;-0.598318067918392;-2.19230471421307;-1.50012726916187;-0.588705482288915;-2.67656742022728;-2.65030427121041;0.560426487753424;-0.97982620555735;-2.14661562148005;-1.69171953708197;-2.4030508864286;-0.408437806148223;-2.57695878985035;-0.932794375642973;-2.22502518185753;-2.04430559414868;-2.85221594207313;-1.76921199047801
"Apurimac1";-3.29735428590298;-2.01536130642725;-2.29531581606988;-2.35888669864059;-2.43780281763298;-2.00195115815139;-2.2359436957198;-2.90519517785015;0;-3.99070614119089;-2.90273525758406;-3.56881984990016;-3.19163157861937;-3.15341074125867;-2.66020430445416;-3.40147947192031;-2.81471082263374;-3.52979842717705;-3.71147514646884;-2.1868193390396;-3.41963752004545;-2.70798254957697;-2.39329999762007;-2.70648321609341;-3.460743624814;-3.61967028532617;-3.05581886547688;-3.4123969034283;-3.49487634094644;-3.59526243429072;-2.83131697389931;-3.67853304303622;-2.72922809897704;-2.11230616559057;-2.86469219386819;-3.11159782478187;-3.30413152346556;-2.90180417887353;-3.36991244782021;-2.22777734641375;-2.4792411068341;-2.02537190365818;-2.26182938727939;-2.94112920704675;-2.94919322983778;-3.22062670972019;-3.34975220724632;-2.84258871957309;-3.19906185778892;-2.25952067502606;-3.21438240062004;-3.26217300844309;-3.45307981185356;-2.4555948912633;-2.17825157825219;-3.68610289119646;-3.55998127921537;-2.3236865377004;-2.18522131833443;-2.74423318456585;-3.35662469807878;-2.02552065892576;-3.35302806711461;-3.75670575898728;-2.71907508341166;-3.67900714708522;-2.64906809025195;-2.94166977418305;-3.15348545241239;-3.11143278294803;-3.46568297249565;-3.528319175543;-2.17184442782438;-2.24734504676989;-2.49583779288425;-1.89804939071202;-3.07222581662577;-3.11879034577119;-2.94971380598104;-2.6182423517947;-3.2777702067056;-3.26682874449759;-2.68145676418716;-3.48337794658698;-3.74311247553925;-1.90750584639563;-2.59743303344897;-3.27759605916383;-3.28119181745129;-3.83859827796834;-2.51999596782889;-3.83525593104885;-2.72274784270182;-3.29808390713249;-3.40406392149594;-3.57075066221689;-3.22466780886668
"Arinos";-3.80804057249335;-1.67600048315159;-2.42893172881878;-2.61977320548864;-2.72797931204386;-1.93565110157947;-2.50529561585592;-3.44242135793986;-3.99070614119089;0;-3.4285657794941;-4.02407716309103;-3.67225206037385;-3.67839944858294;-3.06601887400315;-4.00231865164926;-3.17161546527349;-4.16749479257104;-4.15499240928538;-2.18168826694567;-3.94873161139143;-2.60567063313018;-2.49636923136388;-3.02520045669687;-3.6719490654574;-3.9519422768398;-3.5880591397988;-3.77726278081924;-4.12541262359481;-4.03712501278004;-3.20993661416333;-4.22530970646052;-3.11107796724127;-2.01052355401051;-3.27302487155769;-3.60669682065042;-3.87579229697401;-3.24245378264276;-3.92340468242102;-2.25256123301661;-2.80147910044152;-1.83416734721925;-2.22835392541366;-3.40720738201255;-3.39926082471336;-3.71137693140615;-3.82737045783347;-3.22894651331978;-3.73242615342955;-1.45471531246632;-3.59379359847368;-3.4667307618463;-3.65115658520048;-2.60020293132218;-2.23612986685825;-4.14434443954545;-4.0389264288066;-2.4891395464873;-2.12562530622781;-3.1477618714319;-3.97183240790664;-2.10273603482843;-3.78867413834555;-4.06351660836922;-2.49146887279096;-4.13112025801125;-2.98522537865071;-3.37419443862555;-3.51077216004809;-3.65687604932336;-3.82667043780939;-3.81271248797865;-2.20615105445632;-2.24823871485214;-2.86605367265322;-1.64114900131293;-3.45158522699545;-3.65093488818222;-3.36367220199396;-3.02384646870821;-3.85644817541889;-3.37416954348874;-3.00496825819292;-4.11860238500596;-4.16939862274695;-1.90611488110022;-3.01381784800668;-3.76367730639757;-3.80344660711309;-3.94534762131555;-2.69825208431008;-4.16473110599388;-3.24431382492229;-3.78223599725599;-3.71257186105603;-4.14539066810005;-3.57486678828321
