"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;-1.39082454689587;-2.60881993522513;-2.66411866479273;-2.69071727547028;-1.60147154001245;-1.82198682190425;-2.39454229173407;-3.34948614774245;-3.81209506328371;-3.35986433889562;-3.65152414522281;-3.44207067917706;-3.51798143387067;-3.06658440719893;-3.87745510455562;-2.32349054577581;-3.84328099202525;-3.99675315218894;-1.88475168568067;-4.01548297267922;-1.17602110033116;-1.75619061579867;-1.98775038816586;-2.43079609968489;-3.5800327449175;-3.4655385160322;-3.64873974489243;-3.8212413854668;-3.92823295179133;-3.00806304421076;-3.91820103355976;-3.22876277480246;-2.1168290917598;-2.00635632406769;-3.60041230308836;-3.96033694381773;-3.25287824553644;-3.11790719204008;-2.54556489860987;-2.51641281363562;-2.15357006593159;-2.04239827659295;-3.2598104703908;-3.56652828416851;-3.60508242198114;-3.69132777165855;-2.98959213735097;-3.50082385258698;-1.19331891108576;-3.25082390855142;-3.55169413204932;-3.27140244864279;-2.03735610498095;-0.969097018746805;-3.98152169620844;-4.04785016871843;-2.51979394185552;-2.15165578748053;-2.57731160210397;-3.73078489486482;-0.890704565959013;-3.56368715315391;-3.72214060661744;-1.59993835460392;-3.89872999486543;-3.11652460363018;-2.50340971370793;-3.5626757253817;-3.45975106502997;-2.99817660403798;-3.38491764557083;-2.26811544659232;-2.04591399660638;-2.52164245813889;-1.83140085134742;-2.99855322351662;-3.43585541574277;-3.38163641946351;-2.98414871816066;-3.52725447209051;-2.47426219184371;-2.9633783600509;-3.80762858475024;-3.95050622033548;-1.99078738109474;-2.66608460529565;-3.0767525618409;-3.69071853742267;-3.21313710010138;-2.23279006959057;-4.05078990104436;-3.23612353265837;-3.40872648679532;-2.84397749408108;-3.55607396262046;-3.20048928880422
"Amazon1";-1.39082454689587;0;0.0443787694419456;0.158043471194657;-0.0357314664445391;0.837639534597287;1.01286880494537;0.314172390411128;-2.15622528085985;-1.94237969479513;-0.714551204282773;-1.6914537850212;-0.991118518381937;-1.01460884902267;-0.208468722913219;-1.90409642652105;0.209885477295732;-1.32423391773671;-2.09638637704803;0.677973003776311;-1.96650175374714;0.666921173038434;0.499788657190909;0.349581896161491;-0.209082711266607;-1.55227910237667;-0.729594225883109;-1.48137700556107;-1.4184273485;-2.12991937869433;-0.438370935228743;-1.69335790113182;-0.856327871617105;-0.233103968107551;0.525318264151644;-1.29698657878676;-1.69134668166376;-0.761976389787869;-0.657955328878959;-0.389074214607729;0.170173280588476;0.285704306332839;0.325732487249517;-0.627450115783942;-1.10780037872838;-1.50285205378147;-1.22104490633377;-0.437643603468557;-1.09059337412643;-0.529598705122348;-0.832606897498658;-1.53049089130863;-1.23330889665705;0.433514840772779;1.31736128994409;-1.95179425864642;-1.94103626270288;0.209933070978856;0.184592886623127;0.307326043191951;-1.25637570602151;1.38256831360187;-1.31398429821184;-1.49387082647256;-0.450657479823567;-1.86189631271379;-0.520066360298338;0.00119716240358117;-1.17052454549202;-0.780347428562316;-0.972637625749954;-1.37691339904481;0.372743929515582;0.196597085023297;0.195782966384254;0.357490505114727;-0.768744973909379;-0.80468572302391;-0.890843825852466;-0.134956760541008;-0.995351761535564;-0.722226567776324;-0.477383011500695;-1.24128600138284;-1.923172548675;0.643725972183806;0.159108057826366;-0.665327194549287;-1.17584442160091;-1.10145058640264;0.203416117104194;-2.27811295466543;-0.474472983236929;-1.05351284024264;-0.53057506455376;-1.26023866225596;-0.781485201884201
"Amazon2";-2.60881993522513;0.0443787694419456;0;-0.869974948522041;-1.05032257146727;0.529153611632621;0.315055270134766;-0.614707018090204;-2.54269453489253;-2.88781850901173;-2.17307641526181;-2.75056138300665;-2.30364808794081;-2.47453515712803;-1.55085417246416;-3.27540382623426;-0.556062851851226;-2.9434007596491;-3.31255907712428;0.0698982945894628;-3.44006587787708;0.291296600435899;-0.00999227753090412;-0.184901646341458;-0.930941704475774;-2.58036530433611;-2.26749973149182;-2.64367185622127;-2.86561256870676;-3.23328428480295;-1.65696741121716;-3.0812733713273;-2.11809664896349;-0.701889167927656;-0.200509813942838;-2.68999384798095;-3.29092559783763;-2.05320655044277;-1.71362901267382;-1.21344891753735;-0.722259678034894;-0.377662507422099;-0.290665652823094;-1.95028154171552;-2.59518649701109;-2.7531529402963;-2.74077639862976;-1.58906214916172;-2.47859048887829;-0.696852835966835;-1.9788935318748;-2.62457077655529;-2.21753939429025;-0.260358722716786;0.99164099960887;-3.18511174463642;-3.38365217179883;-0.71195121452667;-0.425928767454847;-0.592351728234157;-2.79213270953042;1.0504919548266;-2.62145686372745;-2.63954983784637;-0.790178876640794;-3.12150426321846;-1.75386701474829;-0.810562494158213;-2.53077242401885;-2.33132852919161;-1.75913060573099;-2.32204962843348;-0.390910611981954;-0.443030757062472;-0.777551559806768;-0.121800583835327;-1.72496865122577;-2.3185282884356;-2.31006521845733;-1.42593470596809;-2.33131358151874;-1.22348966234437;-1.59868483129234;-2.79739929167358;-3.14692381721216;0.00338944586239116;-0.85076243443599;-1.74298330679455;-2.73594055679657;-1.95931179538016;-0.508904097527147;-3.32966446054306;-1.94060858733733;-2.32150394802415;-1.37007336523233;-2.44695705018951;-1.90046913610595
"Amazon5";-2.66411866479273;0.158043471194657;-0.869974948522041;0;-1.06802147822011;0.634802446597222;0.0904174132639727;-0.840457668280823;-2.57225549829192;-2.97106794937725;-2.25577489360928;-2.77269938560982;-2.32208780377642;-2.48111430129439;-1.58642965407346;-3.32850308870552;-0.678373236175557;-3.10800120530326;-3.28279623966027;0.0222958249778393;-3.44118409697555;0.162148418658875;-0.11142678097897;-0.307281716610259;-1.09778715433674;-2.58252858460942;-2.28816427274859;-2.64119077509977;-3.00265174989485;-3.23866505733845;-1.6496859422209;-3.24657924120979;-2.03156013553616;-0.610949045093913;-0.441485274847176;-2.66725508869222;-3.31796540315025;-2.01821258300341;-1.85731346453648;-1.16101760243573;-0.726153847778166;-0.255086023943916;-0.179484396370444;-1.99787866158468;-2.55020607280591;-2.75615627017943;-2.77868696395796;-1.57535570608484;-2.50936528154035;-0.629039224331551;-2.02674818497848;-2.52512441691919;-2.13224873581892;-0.380332921424317;0.824854357112904;-3.23965386751562;-3.39867300894855;-0.624316311311079;-0.336523777394522;-0.656405795495526;-2.93989266651109;0.95006877277581;-2.60346103911108;-2.73021975264117;-0.825831910550405;-3.11106231924732;-1.7273628035802;-0.911071409211521;-2.52092053503907;-2.38027528748159;-1.84527247484524;-2.30703769058085;-0.27312686932827;-0.315313410101901;-0.890837364059179;0.0856468141753265;-1.68712732326826;-2.31821353287961;-2.20526688397205;-1.51792445436971;-2.44533756010144;-1.23742094774126;-1.55888398184482;-2.96285220127873;-3.20927365366058;-0.0178173119386381;-1.03696033803207;-1.90271995523406;-2.75818393380368;-2.01014570608045;-0.608184578148631;-3.33793611420545;-1.97411345888774;-2.35547547834067;-1.4685420841361;-2.59486424682587;-1.89005734694881
"Amazon8";-2.69071727547028;-0.0357314664445391;-1.05032257146727;-1.06802147822011;0;0.347780098291148;0.116699312767491;-0.786697468984635;-2.54004344442273;-2.92143214264088;-2.31790257128763;-2.81670451723876;-2.39450503428579;-2.48021781956192;-1.72416256021593;-3.34212542655516;-0.722896559956887;-3.03838063614259;-3.34118536857047;-0.100469551695319;-3.51131697806368;0.241656028424725;-0.134457317151806;-0.366288320980967;-0.981704326135006;-2.62255529495785;-2.36346790603476;-2.67660975823631;-2.92045302577317;-3.26615226372605;-1.76740915292866;-3.17013265281718;-2.27964317463928;-0.84559231783179;-0.372963192780057;-2.81113981524397;-3.36597148955943;-2.13202714780501;-1.8644766304113;-1.3724278870421;-0.915201739800665;-0.532701187795179;-0.440849176809454;-2.14187831506624;-2.68477578985029;-2.84521418144703;-2.81547373945145;-1.73452412300854;-2.55911082078761;-0.709984177494943;-2.04121391825428;-2.63491095453693;-2.23196250638666;-0.433767846722399;0.845271947812807;-3.19680052791875;-3.40599656989387;-0.899741615939379;-0.584186948328494;-0.770542419304779;-2.97558335042037;0.882791778237147;-2.67745870595223;-2.65081283511703;-0.855073076642684;-3.2063129807025;-1.92385417701713;-0.942959270375272;-2.56325827060269;-2.41600510014894;-1.83143144234159;-2.37751503757662;-0.536340215943565;-0.565673588875799;-0.938035983289714;-0.240458784600136;-1.84441122693141;-2.40437995658364;-2.36342836286839;-1.61693341511397;-2.43861555825633;-1.30214689899036;-1.73233212594032;-2.96488105963486;-3.191341358133;-0.212831795805093;-1.09952798788688;-1.88951383927739;-2.75568763336672;-1.97302589008872;-0.697800868427881;-3.37576739655999;-2.08781092086677;-2.40531511271038;-1.44795327643664;-2.5804365837682;-1.92511317401147
"Amazon9";-1.60147154001245;0.837639534597287;0.529153611632621;0.634802446597222;0.347780098291148;0;1.38861687008703;0.467593071919018;-2.04773566578335;-1.97851100412842;-0.748819203114647;-1.83651815817411;-1.07713636613488;-1.21145135667778;0.0610419937562168;-2.27179120115118;0.565898918375264;-1.68565892732276;-2.4554231901034;1.16594752026493;-2.4379030289971;0.933962290827395;0.924661871263067;0.772569499960927;-0.057745883792249;-1.66702122500751;-0.79696828484076;-1.64824226978814;-1.72613341501558;-2.38981330304095;-0.435947080384514;-2.02302212158167;-0.750879084761997;0.239998647145172;0.776143140070987;-1.42441111739221;-2.17433767631424;-0.658831986692283;-0.576317821235979;-0.085862819558856;0.653526296345493;0.844468176990697;0.833255211427842;-0.653338584855931;-1.25518205581498;-1.73263918377917;-1.42210178624986;-0.245712505197316;-1.26578323363954;-0.444416003602476;-0.871089994407197;-1.64351505944893;-1.2339740626024;0.689283055558782;1.78076756390903;-2.16985764192498;-2.31666196629557;0.835120332048719;0.7400125454955;0.861212447799485;-1.58862877515784;1.83505262634378;-1.49677151695428;-1.65287849768462;-0.374249876381141;-2.13213968686437;-0.304481437739113;0.327156346043308;-1.31010202634248;-0.824643991502116;-0.834063688103204;-1.3908775204458;1.01084664818229;0.673362378252533;0.49203404390976;1.0080903028845;-0.586633351907034;-0.849335693486946;-0.841635534082662;0.118125148822399;-1.07997404780443;-0.454099145977078;-0.236399366838341;-1.5421901751098;-2.18425299267884;1.26730641254859;0.437445182782723;-0.576295841888983;-1.39808011186267;-1.08448452247241;0.580209011675668;-2.55212998043799;-0.429438792556753;-1.23964647286561;-0.348706161153702;-1.3664883585489;-0.769767808770612
"Andira1";-1.82198682190425;1.01286880494537;0.315055270134766;0.0904174132639727;0.116699312767491;1.38861687008703;0;-1.09327629475329;-2.38243225620063;-2.78631411146858;-1.06443871536413;-2.20773867650503;-0.861516405954496;-1.52442336583105;-0.415868821580048;-2.03562782408696;-0.309246834940483;-2.29434023091003;-2.29633705357706;0.431635911868114;-1.67696966628572;-0.0254774959642995;0.0193091627555077;-0.050489544029895;-1.21820479382072;-1.9025100591666;-0.759137681666611;-1.59835517958793;-2.39648475440871;-2.40855012910139;-0.656286419951222;-2.52342093359415;-0.260019584717833;0.446773905000557;-0.773232263214781;-1.05930913374206;-1.93951369604428;-0.449975854210153;-1.44607982702775;-0.0548469685034415;0.168063366221167;0.908183514561252;0.865867915022799;-0.781653966594494;-0.742660340264728;-1.54648403709093;-1.20327091056808;-0.187560614393165;-1.34103608123952;-0.197337795514477;-1.16975217217597;-0.886970480190687;-0.714115457033201;-0.133249802769707;0.580245793172755;-2.63559239032385;-1.90525346817819;0.667361217283774;0.801601257639184;0.19909740325945;-1.98682727392712;0.783502574668455;-1.20262335553403;-1.98277026504733;-0.76975947473684;-1.82621482974302;-0.220808899713004;-0.476505465998185;-1.04276843017293;-1.08934762439209;-1.32900320352421;-1.13340332371634;0.824582872273153;0.740354855952183;-0.3518629264952;1.25346028732593;-0.337518554459158;-0.754855634154561;-0.406972590621263;-0.389133848124437;-1.67018963780255;-0.633784622461269;-0.115969771111826;-2.3010276030618;-2.56733219386186;0.575433066114271;-0.684082937953824;-1.21339551365798;-1.30030905036541;-1.4813331464582;-0.042817669857283;-2.36332050473419;-0.735251305346292;-1.59664869606727;-1.06820426368763;-2.11276972574768;-1.08397098124526
"Apaporis";-2.39454229173407;0.314172390411128;-0.614707018090204;-0.840457668280823;-0.786697468984635;0.467593071919018;-1.09327629475329;0;-2.82738285622099;-3.28540013754183;-1.85686024592159;-2.69921409458685;-1.62351607171878;-2.12572866816611;-1.29703175880616;-2.59727368665284;-1.23772259340052;-2.87415480477168;-2.81534909769895;-0.466364660419648;-2.24059483618552;-0.658254311206039;-0.756927592026329;-0.827926652931968;-1.97307456101454;-2.51460605294143;-1.49491704552874;-2.07699281835799;-2.96341715249304;-2.83983730851384;-1.37521839944082;-3.0308209126176;-1.06968043609685;-0.307513579311228;-1.59729230640264;-1.80770993864089;-2.51608322322636;-1.23409546175223;-2.16612777769096;-0.86679545348559;-0.780061735064805;0.0246954172722181;-0.0415294468307073;-1.5860597891909;-1.53049118934463;-2.23864395321071;-1.9119894210991;-1.04086510276958;-2.01137273309087;-0.309532036347256;-1.84811125975405;-1.44850411048761;-1.26693374553263;-0.880095170356284;-0.27067394304982;-3.18333259088973;-2.4468966781197;-0.300175032032202;-0.0425226748103385;-0.703266710910082;-2.56185827973122;0.0198028937148163;-1.853377760466;-2.53709296018343;-1.17039323432746;-2.36313786580637;-1.09133439673596;-1.34444857860242;-1.69871697595707;-1.87536744391593;-2.02482124255351;-1.68063336085912;-0.124965587702112;-0.107253763016442;-1.22202297680023;0.393080072278206;-1.1374704970334;-1.52170191086213;-1.22113658113169;-1.21725759771936;-2.34325299554967;-1.20741214095854;-1.009602498253;-2.875356198913;-3.0122657497938;-0.430409449708237;-1.59644774350852;-1.91973182219094;-1.9348375966399;-2.08209851814961;-0.84789710815315;-2.81381656798807;-1.54451006241849;-2.18821655035372;-1.78206034283258;-2.74229763924217;-1.71165011574067
"Apurimac1";-3.34948614774245;-2.15622528085985;-2.54269453489253;-2.57225549829192;-2.54004344442273;-2.04773566578335;-2.38243225620063;-2.82738285622099;0;-3.89288370208177;-3.02630428786369;-3.57644276527585;-3.14029000980377;-3.17499392177295;-2.82639278528261;-3.43180511552514;-2.74705591402803;-3.51135888657894;-3.68172209497106;-2.34316430416135;-3.45833058639178;-2.57480967271259;-2.48104918155948;-2.57849612797965;-3.24227842308405;-3.54499364891179;-3.00702172652655;-3.52519085242806;-3.53730485583839;-3.63155768589489;-2.88662633320186;-3.65923676392863;-2.80799276207878;-2.32273729946825;-2.72884622716768;-3.15211618086071;-3.38891674861881;-3.00250918273461;-3.22959246481153;-2.62556839727756;-2.57942502796118;-2.30929320638179;-2.25399803218086;-2.94506646638536;-3.02693155194356;-3.27594601720053;-3.32060942215241;-2.78284118754855;-3.17189909181736;-2.07236103265949;-3.19608212866338;-3.32822140472765;-3.32673317420367;-2.51502668528032;-2.12556488669453;-3.81413812358373;-3.56948731637388;-2.45096604214028;-2.35768398205451;-2.65682103676161;-3.3528996794503;-1.88209086794501;-3.24192034754674;-3.76852732402431;-2.48157944356881;-3.60501468530018;-2.79929750563145;-2.86160758056248;-3.25429598439831;-3.14628491056818;-3.30257384124788;-3.33401757073902;-2.33602259910297;-2.25687963296856;-2.64319753418265;-2.08776036510562;-2.91581648762003;-3.04541841017845;-2.98292381436516;-2.78192877417716;-3.27609041272481;-3.11012624741341;-2.75066268266083;-3.49878784511892;-3.8684678797002;-2.24166514241701;-2.75979583081916;-3.13082278732846;-3.29562217374899;-3.6417774202278;-2.67507355392081;-3.88068498590255;-2.86993316309051;-3.23591147069067;-3.22402988810691;-3.46967748810904;-3.16877672103335
"Arinos";-3.81209506328371;-1.94237969479513;-2.88781850901173;-2.97106794937725;-2.92143214264088;-1.97851100412842;-2.78631411146858;-3.28540013754183;-3.89288370208177;0;-3.61188793613934;-4.03162604201492;-3.52449620749416;-3.73629874508896;-3.3649460686522;-4.02917238164404;-3.0370993169499;-4.14971071319888;-4.09705261614996;-2.49800109512948;-3.98039640020449;-2.37382053497128;-2.64660066757472;-2.76804080684227;-3.39625857136778;-3.83344638273263;-3.52571965907438;-3.81987853935947;-4.14010320244763;-4.11737665685159;-3.23462727929297;-4.24807734512382;-3.28200177143033;-2.41438408078843;-3.08187646889629;-3.64449456293274;-4.00326412285741;-3.37574481839653;-3.72626439259011;-2.86663369238282;-2.9508022795757;-2.36240980932383;-2.27855992604341;-3.39881597139134;-3.53792911784762;-3.75954240097303;-3.81016333779625;-3.17055906982713;-3.69357197637729;-1.21994576582566;-3.53688360849359;-3.52693242682605;-3.44220990405474;-2.6719495387341;-2.09661263322354;-4.29229918019613;-4.0900178131389;-2.72749143126528;-2.45718209985457;-3.01773742914425;-3.97359666617525;-1.82552238855693;-3.67258050681144;-4.08237201527324;-2.23126738765974;-4.04165751917438;-3.25096441533254;-3.16424199503531;-3.66686369657287;-3.72330502958361;-3.57698647886258;-3.57524738894611;-2.53023587180001;-2.2993521901113;-3.09779219314561;-1.98291344734504;-3.21190399629557;-3.54921722064289;-3.4123518468927;-3.3032348250166;-3.86479453100417;-3.10701304054629;-3.1422924471906;-4.17097718263506;-4.28096460971166;-2.53684364890188;-3.24196173596127;-3.60214813472608;-3.82126483737247;-3.73063589234098;-2.91731772265593;-4.20592921696463;-3.44772526807823;-3.74587300401725;-3.49614307420728;-4.0220201706952;-3.49564677067088
"Aripuana";-3.35986433889562;-0.714551204282773;-2.17307641526181;-2.25577489360928;-2.31790257128763;-0.748819203114647;-1.06443871536413;-1.85686024592159;-3.02630428786369;-3.61188793613934;0;-3.4653576787177;-3.2410034701914;-3.40881785602588;-2.88441287442778;-3.95744572749491;-1.79218215279435;-3.87230626417077;-3.8871696919618;-1.22174526638629;-4.12705693209463;-0.552627639819737;-1.08152008093613;-1.32655139289876;-1.93800966322138;-3.30180243654279;-3.34055532707913;-3.39790799533603;-3.72886010454543;-3.81132220760975;-2.71669994926042;-3.8749140706898;-3.08233876271916;-1.56621492372014;-1.40148051894629;-3.54467457102115;-4.00635125974112;-3.11354803423347;-2.81103549787936;-2.17111947992115;-2.05260028364396;-1.57619685301363;-1.41372754273047;-3.0740986813894;-3.53686015129557;-3.52715800537065;-3.67996315772217;-2.73625691718697;-3.38393761414769;-0.934390257101296;-2.96098835735028;-3.37566635300984;-3.01479117037734;-1.42229740123559;-0.118118810265424;-3.8723650788399;-4.04776765985862;-2.15351662501862;-1.56828583724432;-2.13077851885131;-3.73940897947335;-0.0263455783010621;-3.46723961293207;-3.479586181876;-1.24871179093351;-3.84406596847161;-2.92396209995948;-2.05165266705467;-3.44163332263537;-3.43613679764723;-2.67243867508456;-3.09267101051165;-1.71433305187811;-1.4304438228167;-2.03887340571551;-1.13587090163077;-2.71073502275684;-3.41910928531646;-3.27301663613195;-2.75597171341736;-3.36058786795963;-2.00495742233961;-2.71690872615406;-3.79813997911948;-3.86472021730465;-1.34254243965656;-2.21156577187967;-2.83251165094844;-3.65495209346886;-2.87235187559795;-1.68980141124062;-3.93486443103192;-3.14675670942912;-3.17103212421855;-2.37344196404558;-3.37883460811666;-2.81264980148359
"Bacaja";-3.65152414522281;-1.6914537850212;-2.75056138300665;-2.77269938560982;-2.81670451723876;-1.83651815817411;-2.20773867650503;-2.69921409458685;-3.57644276527585;-4.03162604201492;-3.4653576787177;0;-3.4651804921682;-3.61845528413267;-3.17496662097146;-3.95164296876888;-2.67299618869957;-3.93227655015864;-4.04868727187733;-2.20080097189941;-4.01470977097123;-1.65187680832851;-2.12733136055102;-2.3095665390573;-2.78044310911458;-3.65670972012199;-3.48168770968684;-3.75574371342765;-3.91792522979032;-4.01164306856208;-3.18973648201817;-4.02986310587637;-3.24347449292738;-2.33435088064339;-2.42233604578924;-3.64564909262462;-3.96599892495222;-3.33468535833777;-3.39453967625838;-2.71428541715135;-2.6942264606428;-2.30920843110291;-2.21492349235649;-3.31732364737097;-3.55307503939053;-3.67395114584242;-3.69415361357692;-3.06537301840518;-3.59408965100848;-1.31986693733674;-3.36937375030907;-3.5829416085312;-3.40729380966488;-2.33422201712254;-1.43898825423299;-4.05329103397679;-4.0413961223381;-2.65879884022045;-2.35318743786347;-2.75733814554443;-3.81411763840722;-1.33282931513741;-3.62581198030997;-3.84792780775583;-1.8931872725771;-3.97665061328703;-3.14319103783267;-2.8107301679056;-3.61355673487236;-3.55462260856325;-3.24318382607129;-3.49000422951796;-2.46179999843708;-2.22862333255794;-2.76280325013368;-1.98410265349583;-3.12434662881461;-3.46973043357484;-3.40467978403241;-3.1095144055339;-3.63063844274255;-2.78846671586322;-3.07023763012241;-3.93210349487565;-4.05241661791163;-2.25536260205074;-2.9206076776209;-3.28779129122431;-3.72176215458089;-3.40761038409444;-2.58156775169519;-4.12933836438808;-3.32150037976617;-3.56847664221692;-3.11530364803375;-3.78899086065123;-3.2811843223659
"Beni";-3.44207067917706;-0.991118518381937;-2.30364808794081;-2.32208780377642;-2.39450503428579;-1.07713636613488;-0.861516405954496;-1.62351607171878;-3.14029000980377;-3.52449620749416;-3.2410034701914;-3.4651804921682;0;-3.39240472077739;-2.84837185180123;-3.95183689754581;-1.77738326195299;-3.7660181945627;-3.9719107174373;-1.30036840772862;-4.18222127948138;-0.57116681111036;-1.08996052149726;-1.36586342010353;-1.86799893234483;-3.39510618860692;-3.4145062608568;-3.59069129942186;-3.62053258692638;-3.87773614463032;-2.8782063739419;-3.80350348423115;-3.14136210970691;-1.75170852293716;-1.19428551119705;-3.61580183159831;-3.97820126032414;-3.20671256979458;-2.73610012395486;-2.24669673602638;-2.18940641214221;-1.85358637875799;-1.69286259391952;-3.17714174670753;-3.59643428141905;-3.57636882462136;-3.73866239969083;-2.90190374193512;-3.47532729997775;-1.14654062166703;-3.10042345106841;-3.63753396269144;-3.28352934540068;-1.4436612026781;-0.0839699002713436;-3.8311886689002;-4.09650992352708;-2.32145325568276;-1.82334471567506;-2.22264366041843;-3.64447498599992;-0.0212029585630518;-3.58640820406519;-3.60541562818005;-1.23540920757066;-3.91352922337181;-2.99310492556114;-2.04824220128841;-3.58863497493593;-3.45867102485647;-2.70413661194125;-3.36579224221014;-1.92241180602048;-1.68382004123021;-1.99318301957161;-1.4915488428116;-2.90606780618582;-3.50491782821098;-3.43042731119149;-2.78018346187698;-3.2994656150024;-2.20814507444147;-2.83974396080209;-3.65846026476829;-3.90789668205966;-1.3418390225729;-2.12479129148367;-2.84335141146605;-3.71926216293761;-3.02447647902025;-1.77651194965416;-4.0654490996644;-3.10091675183684;-3.17661350924216;-2.39742570893383;-3.30923669644407;-2.96964786919365
"Blanco_Baures";-3.51798143387067;-1.01460884902267;-2.47453515712803;-2.48111430129439;-2.48021781956192;-1.21145135667778;-1.52442336583105;-2.12572866816611;-3.17499392177295;-3.73629874508896;-3.40881785602588;-3.61845528413267;-3.39240472077739;0;-3.01887207815041;-3.97289329086243;-2.11898698333467;-3.9033769651806;-3.99097753543293;-1.58782278827391;-4.10943348625761;-0.891827451202794;-1.42920666826173;-1.66000337809666;-2.22256243410945;-3.45115722128116;-3.4725440904444;-3.5803837320991;-3.79773485060561;-3.94564834778439;-2.94080926981219;-3.93925696054928;-3.15450583417745;-1.81663232761339;-1.73321624119205;-3.62892894652925;-3.97873075483672;-3.24687754645688;-2.97788702578279;-2.36959975732778;-2.33703108597334;-1.9046032330702;-1.71631864975908;-3.21124729461351;-3.54786568912833;-3.56671266807257;-3.74557188294382;-2.92379523646993;-3.53802184968642;-1.06535743454111;-3.11757209198717;-3.49148250433389;-3.21901817089863;-1.74749957165259;-0.573441906396953;-3.92596432000063;-4.07518333063787;-2.37050772895759;-1.90596281740799;-2.42884415964215;-3.80257831604254;-0.495081164258354;-3.55856012663203;-3.63967296429775;-1.41417518565345;-3.89823072300942;-3.01775912474137;-2.30518573397748;-3.53585861253889;-3.51900298575588;-2.87628235320394;-3.32620377063954;-2.04602321157988;-1.73863556514268;-2.31254565183331;-1.49887328356072;-2.88276330790856;-3.50452733717424;-3.35956043467637;-2.97251141004256;-3.47524673096155;-2.30290631962439;-2.87626139633441;-3.8498192740669;-3.97083039742446;-1.67957674475984;-2.44924950015609;-3.02992924439551;-3.72977932103483;-3.06917606642067;-2.03382556141569;-4.06205047972067;-3.25360345933517;-3.33600003532638;-2.66148104599223;-3.47156693221792;-3.04406542054296
"Branco";-3.06658440719893;-0.208468722913219;-1.55085417246416;-1.58642965407346;-1.72416256021593;0.0610419937562168;-0.415868821580048;-1.29703175880616;-2.82639278528261;-3.3649460686522;-2.88441287442778;-3.17496662097146;-2.84837185180123;-3.01887207815041;0;-3.73509247615483;-1.19481074112469;-3.60944586200825;-3.65486661528137;-0.532735820718953;-3.93217854641837;-0.172603704917043;-0.541245554560801;-0.82577171040635;-1.510310938153;-2.99237104593288;-2.96785719589902;-3.1085738274694;-3.42589912803808;-3.60125485380024;-2.2379805425872;-3.63466241577324;-2.64101222711608;-1.03587456570589;-0.887823633866411;-3.21439851232494;-3.8246627092973;-2.69577902030364;-2.39866492588333;-1.65336158134759;-1.41497594042165;-0.871379884882833;-0.710659992943654;-2.63208385147728;-3.19948269539222;-3.1900257435679;-3.36799768716484;-2.2468093566063;-3.03043690472781;-0.778897681512569;-2.50708368796265;-3.04249665060501;-2.62505720495679;-0.868798640423301;0.447608644643262;-3.64442503389059;-3.8479883812375;-1.42179192144174;-0.917974059182118;-1.48599709618881;-3.47039520805282;0.558363762441934;-3.1263558527326;-3.20505949605204;-1.03127035490253;-3.57976467778825;-2.45154327742077;-1.45218604500002;-3.10190956415582;-3.09369191050886;-2.30358938967672;-2.77870944232196;-0.934781463354926;-0.782174521580248;-1.41726686877243;-0.428832957613864;-2.23402066303717;-3.04750388482321;-2.89396065634254;-2.23339572753661;-2.98840837250075;-1.67934518197577;-2.1879354761213;-3.51740264578577;-3.61955715891534;-0.585374084605668;-1.64963194000129;-2.4246317048343;-3.39228479241092;-2.50541591307035;-1.17951664421238;-3.74536250416025;-2.67942499226757;-2.80422362852073;-1.94557181612525;-3.04068220055541;-2.40268530963838
