"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";222.52915390078;233.536460448613;230.733686060115;230.812286944569;230.390735558781;234.220414618904;232.916354265165;229.536291809163;205.417727422334;218.172916716449;226.941548385439;220.41780791399;225.896618282397;225.076258219779;229.161690934272;222.306273010089;230.427965140461;223.358178800236;218.947276790473;232.626981818198;222.15031481949;233.251146184511;232.311854016967;231.779498607573;226.752284895373;220.70440446889;227.013003392728;222.251130351415;222.376769015074;218.620747611364;227.642968296275;220.90149274587;227.817834489089;230.922988322295;230.835971250589;225.514395781809;222.824502924212;227.543443381622;226.017316932522;229.664818802074;230.966807575524;232.07540543978;232.149487942482;227.232929337868;226.310943508927;223.785725649616;225.064595749985;228.716282778339;225.079092640852;220.194509532461;225.4600977781;223.29440540905;224.349287572774;231.201093303933;235.258278525892;219.744624120323;221.857097020388;231.470520167559;231.983404778951;231.057732705847;224.189250575094;235.839747671225;224.470919786677;221.513235877315;224.424980159012;221.239995045181;228.655065491592;229.528666851856;224.942988612665;226.715124526327;224.898040195299;223.444229858717;232.049851133975;231.817020261428;230.326973302412;233.047720561358;227.68448475278;226.875314399525;227.354897214686;229.236542519917;225.089264099448;226.573820843199;228.966982874316;223.48261545932;219.532397370266;232.831936303469;229.983878420601;227.047517096925;225.052839423525;222.771931866213;230.718750298184;217.824749043851;227.945365351244;223.759679864041;226.10914431638;223.134548200711;225.601976718249
"Amazon1";233.536460448613;239.236250347598;239.025205588759;239.466143711897;238.783760080336;241.659764824071;242.832323536517;240.367591164776;219.931395480564;230.502941643527;236.589904270297;231.739101830766;235.357901912402;235.349873998596;238.283921126355;232.157573427452;239.695254755251;234.534899431004;230.214927477922;241.334921872116;231.931612206856;242.665534100695;241.041796118676;240.328962161285;237.988551967965;232.094517134375;236.504624844717;233.049240744765;233.856853438899;229.97530069494;237.380697819927;232.502324279395;236.063848031452;237.996638091473;241.060700692794;234.541329961592;233.086192685591;236.383206585878;236.541167605064;237.515799359825;239.492878937908;239.783468123942;239.942288225457;236.74951678435;235.228105109595;233.382873001824;234.778692914939;237.435193929155;235.128944937049;230.461635944157;235.78378763399;232.935293909657;233.753169615371;240.64587763834;244.164582287541;231.20884999572;231.988205407558;239.559416129091;239.514527169281;239.883005814421;234.604369022005;244.324887205121;234.205275504863;233.001790766653;235.029737659626;231.853622159569;237.201941993602;238.974928354323;234.783255064491;236.436715083011;234.821662399063;233.397863866794;240.07192671298;239.540854158992;239.691720858176;240.056397902147;236.17965227611;236.279717722415;236.031421122998;238.506360612513;235.496246192189;235.399864113508;237.314185689838;234.740721620684;231.276096133067;241.152068386705;239.693383389541;236.621448908928;235.004356215376;233.893594337791;239.649192950424;229.200187486516;237.40911623528;234.681356811083;236.791012098049;234.231285991128;235.907945832322
"Amazon2";230.733686060115;239.025205588759;236.901852121074;237.206225147596;236.668867443842;239.867125061553;239.795526838858;237.194843937711;217.036665610985;227.67879082423;234.114391880874;228.93452625017;233.117741056476;232.596362238889;235.948960454242;229.948499830921;237.36441362588;231.606337993826;227.462566385409;239.017552752715;229.735496529781;240.42294322219;238.932155124503;238.383318350253;235.116831793195;229.256553488018;234.072246688866;230.378921439291;230.769234265106;227.070680448081;234.724466756325;229.581180285216;234.223430530104;236.692735611289;238.210217532427;232.572741340748;230.53146989375;234.373497198363;233.913920698112;235.703831220685;237.367099121214;237.93685103075;238.068976604858;234.277114818165;233.178717934825;231.115959909972;232.530900378241;235.31409539261;232.537518811222;228.065675628264;233.177966849333;230.763155241379;231.759713880127;238.121750005323;241.740124570599;228.593577809707;229.752924006641;237.559406566719;237.818940273575;237.686297914555;231.946210252307;241.84856021405;231.866722087345;230.263178522958;232.176665389792;229.364147456008;235.201746625823;236.721319372213;232.46080745371;234.032194416465;232.647402374197;231.128026972579;238.032828329211;237.659884725194;237.067614253701;238.493196093686;234.36954237702;233.962497834667;234.106597266734;236.042968629003;232.869483848762;233.854347079068;235.378510791208;231.781685575629;228.563986753867;238.904547028701;237.05113356123;234.35900088387;232.602927796795;231.299721831975;237.472563578192;226.713032981405;234.863792739999;231.664998074164;234.177279867838;231.376141376876;233.277803464864
"Amazon5";230.812286944569;239.466143711897;237.206225147596;237.243224635398;236.829573452922;240.11121004724;239.29147196156;236.598080320122;216.834666422006;227.249480230972;234.173673618432;228.914856316375;233.441124797346;232.693901786508;236.008839426418;230.209713456329;237.148890318632;231.395170565774;227.727285777519;238.95779442481;230.244720194387;239.903622826021;238.695153625489;238.128762034814;234.531629567942;229.349881996024;234.306009515043;230.673003833779;230.536048550993;227.298558853873;234.871888649371;229.365097107784;234.695704887282;237.092305254864;237.53978399726;232.901977317504;230.77409029217;234.689937916756;233.637241504674;235.98378663826;237.487636829335;238.283910600292;238.3857584769;234.435899599437;233.563913628123;231.378522621327;232.816540924205;235.605707212286;232.734133224162;229.131529872088;233.212568018837;231.388215523234;232.316306072828;237.823565171811;241.306932156705;228.418452540243;230.107052299147;237.818714099697;238.126725747361;237.678540445471;231.800742800935;241.539947763133;232.175044110624;230.273940247206;231.972893467691;229.734432732008;235.504460082459;236.562789295271;232.824273419393;234.120391730695;232.615672021894;231.566892288469;238.347072128123;238.048579978464;236.961794311731;239.009491002714;234.719051097592;234.203921631816;234.50892795024;236.101382933135;232.768019873579;233.911236503846;235.684565487871;231.512044904648;228.435534624926;238.928631855034;236.734320745858;234.190648507145;232.83230710763;231.253686366786;237.354591095796;226.97840642132;234.982574909509;231.66993093959;233.994867245124;231.107530331356;233.372702943873
"Amazon8";230.390735558781;238.783760080336;236.668867443842;236.829573452922;236.1746861495;239.503352518172;239.297885883649;236.663802342435;217.030758248603;227.384806080778;233.713558620665;228.556167505106;232.878029028591;232.324746123356;235.562216102602;229.567036638217;236.93643968974;231.251243309789;227.183656323437;238.605368850011;229.50861572388;240.222976551574;238.559255126448;237.901870703456;234.90820927977;228.953918224862;233.82192143295;230.264951507085;230.391836989372;226.742963923322;234.433342495789;229.218331503767;233.897067770495;236.294029444999;237.664123035714;232.27359644512;230.194724427729;234.124365480232;233.510135812765;235.332342265413;236.995879822338;237.628689076289;237.698079861245;233.925194058827;232.838562629984;230.735389851809;232.340915828054;235.022398136415;232.262629826641;227.890492541282;232.938724106584;230.647279969984;231.695505145697;237.60119125631;241.321194329855;228.360854033271;229.557931448182;237.218189731729;237.476665954003;237.327021053004;231.443604155239;241.350170763624;231.616983258843;230.256392133281;231.623260001157;229.223879474012;234.860414303535;236.328420750097;232.318665767415;233.754202234769;232.414841231123;231.018709711576;237.741011275685;237.319862126287;236.633029726786;238.233894092463;234.088235517953;233.695666621527;233.876203326639;235.688469038816;232.497249492295;233.522265386628;235.025956945001;231.407975082072;228.42451899227;238.460085932737;236.4846000589;233.949571762264;232.405708666043;231.266428104241;237.014099777506;226.546117337334;234.486113256425;231.303596439864;233.931005147017;230.979977897112;233.076129203108
"Amazon9";234.220414618904;241.659764824071;239.867125061553;240.11121004724;239.503352518172;242.331721053469;242.67947009384;240.448622434167;222.0941206714;231.939030842239;237.292975313883;232.715859735046;236.292696644984;235.970764656079;238.958281784169;233.409805150002;240.357070853848;235.180454961013;231.135673966234;241.750131677129;233.177752683583;243.358576452334;241.804753543001;241.133133999864;238.615318396618;233.009293291686;237.233695863946;233.945577366139;234.473522908179;230.861256448435;237.798354839032;233.317299914178;237.230262748044;239.463360804566;241.328553050128;235.776375270261;233.969133989999;237.430611526604;237.338974249398;238.584298402472;240.242593480826;240.592387429734;240.687770006894;237.35079445115;236.269230353188;234.39289344954;235.810952521267;238.267248709462;235.864542074386;231.680395890285;236.431414913488;233.994762370539;235.026719206231;240.897906130776;244.420044565434;232.466477585138;233.281862068155;240.331702759618;240.485734772511;240.533108498417;235.26878993547;244.343908194851;235.117334097488;233.994796822735;235.703091278613;232.982841103817;238.208192622161;239.758921403826;235.801831954634;237.254706420311;236.048271108273;234.497878512028;240.806696423236;240.430056191508;240.094371693649;241.102055477726;237.338544738735;237.110272696796;237.181150547893;239.07289729729;236.276162219277;237.001419436708;238.3166880508;235.388024948399;232.373431971624;241.694325648312;240.061513765332;237.510184342937;235.919254046999;234.841386204885;240.388738221369;230.481611529833;238.016738957218;235.225882508162;237.708512504553;235.043940988977;236.602777815756
"Andira1";232.916354265165;242.832323536517;239.795526838858;239.29147196156;239.297885883649;242.67947009384;238.440834516688;235.574726135812;218.546350847661;227.285769296249;236.259236406413;230.732997840134;236.506408201991;234.681926395537;238.034342017273;233.178712283577;238.108686208868;232.386481362803;230.852533690096;240.282155834037;234.350589205008;239.220677774442;239.247170410279;238.966684015347;233.678690243293;231.544287611302;237.019297988764;233.64413191672;231.351595636604;230.055592499208;237.137796653935;230.510027779168;238.260601715877;240.427768924448;236.343824153234;236.203789979473;233.634675748477;237.822697116984;234.413962406265;238.82351786679;239.490686862424;241.351984141025;241.331994902591;236.881084497524;237.046973058325;234.328325382758;235.835260946904;238.477553490144;235.212810901526;235.339752327765;235.201762828036;236.038623205925;236.404681065557;238.625812094232;240.945006650718;229.612334250224;233.544586716949;240.589743113996;241.168977771801;239.506300101625;233.379524190735;241.616137033463;235.404033926892;232.148428653023;232.423987211791;233.230782701851;238.451012140545;237.604243892901;236.028180705576;236.281720081011;234.009592984904;235.092855336758;241.082020265964;241.156566787584;238.120791741409;242.477750814503;237.985396471491;237.062433435442;237.970458499079;238.067255428797;234.162205953448;236.271308489498;238.671556861896;232.325225536797;230.053083160228;240.62037491779;237.322310161541;235.524789636088;235.593195146894;232.976383105183;238.87826738331;230.29803804782;237.163856946898;233.505392394143;235.015971984514;231.896015471204;235.470796093465
"Apaporis";229.536291809163;240.367591164776;237.194843937711;236.598080320122;236.663802342435;240.448622434167;235.574726135812;231.08944531943;212.909574316666;222.555678678928;233.173278971809;226.986712318307;233.62488635137;231.667666882754;235.207982376895;229.863353438952;234.757135509113;228.710963516693;227.350539845957;237.560174246924;231.544901155034;236.15191813303;236.390708914216;236.180056441286;229.441927114272;227.88530421015;234.392259050897;231.000495858475;227.477503618957;226.404049247463;234.468745461092;226.698293676963;235.708273880988;237.878858254802;232.654690816628;233.249959072827;230.496655862596;235.162646531201;230.740287559206;236.066234508628;236.682401485005;239.053997531089;238.834184158237;233.925900368035;234.307546357769;230.867451864192;232.862674157548;235.815026596221;232.182447275684;233.781885802234;232.239202883661;233.720869875346;234.180271666306;235.885638969728;238.029541794732;225.398385745231;230.505907924671;238.193759186217;238.89582871245;236.948256035554;230.071883266569;239.240055290721;232.472103252085;228.822538622249;228.792777379721;230.382585859836;235.728196283701;234.324478617277;233.277051505492;233.263615617112;230.549298896232;232.45652528005;238.669549351272;238.624962802147;235.063813516613;240.253914117903;235.174077496223;234.392350803476;235.371749221801;235.365298827909;230.753907792136;233.441096814767;235.976344643422;228.494000451477;226.439642952622;237.802121431056;233.961494681891;232.29722279969;232.829396225291;229.62415405961;236.15290126699;226.841501101347;234.286876560968;230.257396490044;231.61333252759;227.893927167221;232.462438804554
"Apurimac1";205.417727422334;219.931395480564;217.036665610985;216.834666422006;217.030758248603;222.0941206714;218.546350847661;212.909574316666;164.486090997567;193.409821987805;211.070547578795;200.756620669888;209.266289012472;208.620899986605;213.945720694535;204.863498659336;214.135568804646;203.921241230617;199.072485451988;218.852030896781;204.735707085882;214.326517273356;216.72931107517;216.008006310535;204.688766338678;200.745957211851;211.462910387331;202.254260700263;203.001889154505;199.403940059839;212.642076167566;200.147140136501;213.739757430788;218.365631534178;213.686744988686;209.347560944918;205.795996091626;211.58114414879;207.525529988964;215.884942640252;216.748827012359;219.266043502914;219.582226248641;211.893018299609;211.03696127053;207.174577078863;206.846466561867;214.164911042146;208.938232298498;199.941083809712;207.964353139877;205.814427248918;205.158411840011;216.396272574956;220.494730347364;196.791070205317;202.471310585204;218.23650519353;218.673895456981;215.806655921424;206.397665428315;223.238373084248;207.47458747792;197.377662964635;206.063328890209;201.464851394706;213.964090161876;212.806331287507;207.536211678695;209.734959194337;205.15378982611;204.734526282722;219.194023516172;219.593200830359;215.805177256269;221.449116004882;211.826684000108;210.956067848077;212.034577829549;214.51026562696;207.093668009634;207.314653955144;214.607147610258;203.851642597093;195.894811811602;220.173639656967;214.350778250147;209.402628013659;207.144004254954;198.01275058787;215.045547995599;194.203823649122;213.211477494152;206.979763822248;206.830802572079;203.586669549299;208.045180269485
"Arinos";218.172916716449;230.502941643527;227.67879082423;227.249480230972;227.384806080778;231.939030842239;227.285769296249;222.555678678928;193.409821987805;207.506431611393;222.738369874761;214.20283485436;222.633611506929;220.698086380212;225.131801329094;217.915335884336;225.127965109361;217.073564312924;214.583657811617;228.848607269675;219.199225386145;225.783856814964;226.967420191908;226.593090227473;217.822094115046;215.311689698427;223.63344467821;217.796973637182;215.61708005499;213.908717177432;224.38620243082;213.949895425134;225.329227686452;228.527120949997;223.429813303883;222.179867489858;218.880512247421;224.300505073033;219.280616465276;226.608647280528;227.356871270872;230.000720922432;230.171218989879;223.911416230368;223.540434342871;220.085288713365;221.166786163209;225.870079323231;221.281279571844;219.830998398794;221.158049982663;221.434126421608;221.249012825886;226.820608952885;229.765643572626;211.932191326776;217.552191549935;228.90112054637;229.602765365967;227.044248550569;218.907668366356;231.64210081414;221.229045885371;214.693916313024;217.210499120921;217.014638229168;225.539241544414;224.330548202334;221.44667989778;222.374893823983;218.368652763591;219.889671116937;229.590648847756;229.886850161814;225.859510168298;231.540129356687;224.664717772274;223.546774636856;224.55163333937;225.418412975586;219.335553025429;221.022428325333;226.010633334681;216.515227751043;212.307108744677;229.386464284846;224.674486769621;221.530317049474;220.973017746727;216.205874124224;226.041338378418;212.436435436857;224.204051650695;218.852168701694;219.464539925191;215.958511764119;221.066194897495
