"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;1.18592276286058;1.16848371797467;1.17820687937934;1.17270681671987;1.19024542188981;1.19236822698374;1.11805212521849;1.31760612221366;1.20999702754916;1.21944639166462;1.13965300228844;1.16506942359363;1.1082374849189;1.16147940249102;1.18824880216497;1.1738773011261;1.14999579156636;1.13519311105662;1.12510899703827;1.16504289763485;1.20469998634434;1.14108742642958;1.16993988022818;1.15223406698874;1.22613505089278;1.2015472746188;1.20655790584224;1.14014544658779;1.17426238955034;1.12727297620833;1.09242540448236;1.19045698276289;1.14432474036829;1.24390841270043;1.19087867509642;1.18168356764218;1.16309733546364;1.16959904440732;1.16021407634669;1.17794275097688;1.21671964739266;1.19997235524826;1.18782109250396;1.33033260983067;1.1437280436237;1.21474819226654;1.18769126603385;1.15439074076098;1.12159770905585;1.13424128459724;1.17720443371809;1.3020148305059;1.1543155712269;1.12185253857087;1.1103983596688;1.1527074259288;1.18424085841199;1.18106941493624;1.15999284214632;1.14213085958446;1.17921409681221;1.08169650529104;1.19913035209772;1.05627541822476;1.18122746634884;1.23245729055939;1.16583369095792;1.12246524742485;1.12678627463732;1.16818993407256;1.27543634356918;1.22564762039857;1.13750357961752;1.17072321195183;1.12116384290454;1.15545306237248;1.14558474727321;1.14325297184683;1.17943069135237;1.07987751267211;1.26656237790066;1.16086905828234;1.11353235779997;1.21068613636456;1.20376942970179;1.25243226593523;1.15178797991009;1.10113795093594;1.27714913485146;1.09715185484452;1.26412466018774;1.15240584683206;1.15987559832177;1.19493360688236;1.19746360348629;1.22312543396285
"Amazon1";1.18592276286058;0;1.10319125625534;1.10620097319491;1.10842080476981;1.04413398479596;1.18837366818287;1.17561415002374;1.44464795508261;1.29090467499215;1.10919336989285;1.23210523239482;1.16642039900766;1.16189160623725;1.11013671713433;1.11517266401104;1.06065843596386;1.17547580339703;1.24727519690629;1.06421026491868;1.14846373126451;1.26952772770008;1.07678043128528;1.06053366590782;1.28837034877822;1.29720206069367;1.13807178611965;1.19610743424878;1.17010843014904;1.19395309685469;1.14336892921477;1.23268002590869;1.08668530115772;1.0491749087287;1.20889752071741;1.1268898814847;1.14186195849758;1.09842705491929;1.1897872104538;1.05908450050243;1.09044342675037;1.05025748221143;1.05972275165005;1.09297409116417;1.13671313443064;1.1357305192771;1.14519518456411;1.10995286267583;1.13007585658985;1.16990425557062;1.13506509932425;1.20116750043025;1.27753991365903;1.08428360075779;1.05943379896928;1.09897013061801;1.18971450836262;1.09371602278874;1.06304310887583;1.07702960763432;1.13054937957825;1.09651253634979;1.15044642108984;1.26369527555248;1.14725949735043;1.21519385815343;1.12053305792509;1.07832272650388;1.13735230935372;1.09834552121457;1.15174214164004;1.29924938399897;1.09692731305176;1.05759267155647;1.076900443665;1.06010388721886;1.12105868020856;1.12531783861121;1.10239112059087;1.1229260174971;1.13155392740711;1.1977294754455;1.08579636748394;1.16700888797724;1.26182864432348;1.09466338301555;1.11233628444896;1.09395509564281;1.08807221467783;1.33884222394147;1.13308473410283;1.3611098641957;1.15585472466275;1.16670461107072;1.20852298474756;1.24675828862178;1.18196290890183
"Amazon2";1.16848371797467;1.10319125625534;0;0.958015246812239;1.05529483172828;1.03637954140722;1.17043686470259;1.19576539879022;1.35236551945192;1.26724152368543;1.06526563553546;1.21576366620852;1.17835257628535;1.17155960226041;1.07548317101811;1.07175920408727;1.09130776668813;1.19888642815264;1.30279199071983;0.99756996288456;1.1483878564935;1.26817726644338;1.14989303801823;1.15640595560719;1.21822860342959;1.31037416848127;1.19566556884952;1.18294192690836;1.24979367950872;1.22677051523257;1.17253893671414;1.22677097446866;1.10996862264169;1.03121321764296;1.23814401884407;1.09958085857225;1.10389964146676;1.10047650195608;1.253642608527;1.1116991204932;1.0341976601146;1.01210947710263;1.07091565130132;1.1266827755813;1.06680319423971;1.16554640100888;1.20718620512062;1.10806420866947;1.20848175612387;1.12733322347087;1.19807795616529;1.2589675341574;1.32598275710406;1.1659839036693;1.08393626097169;1.128097815768;1.15710108298144;1.09441651569911;1.10128115335803;1.11174529956382;1.19517501136471;1.21321620654404;1.19330024330114;1.27002564172597;1.07951834080003;1.2293365862238;1.06658727733306;1.16797141277927;1.18018575723642;1.11195226442282;1.17215475675953;1.36306719485883;1.07153710868607;1.1524519275008;1.04516218915363;1.10207409102986;1.18656878385148;1.15542365397995;1.13466427913285;0.991465793865652;1.06252893969316;1.25090535691956;1.07973798509411;1.15520017045078;1.31106189079744;0.992919664605601;1.0623446529481;1.20794756912974;1.10903067571225;1.37695117660156;1.04969982499966;1.39199681247999;0.994687364346845;1.18466370943303;1.26421189474652;1.28419430200282;1.25649792173783
"Amazon5";1.17820687937934;1.10620097319491;0.958015246812239;0;1.0553988092234;1.09375998191735;1.17207509585274;1.19036172991088;1.35144794890781;1.22222449870352;1.02793614372097;1.17742582415701;1.18544292237168;1.18338717246006;1.05773850981137;1.06693982422275;1.1155829486787;1.19580538015428;1.30387294323919;1.01846164907555;1.11778864214287;1.20194267929667;1.09797355702327;1.14635791879451;1.18890209205355;1.30085100756211;1.19470728326064;1.17135885544071;1.24019571293793;1.25575833630536;1.18120770726599;1.19217524622312;1.09064736792361;1.04912385789653;1.22349285185975;1.09811673086283;1.06893002532749;1.08869374161246;1.22943892347877;1.07636348849648;1.01986401338786;1.0104070186404;1.12616032896837;1.17270056091693;1.06980464959745;1.16172434840857;1.19552032673033;1.12247374034417;1.23999760993331;1.12768238795797;1.20867695922407;1.25185795606218;1.32572385537479;1.14543852417455;1.07753799545782;1.11964932922055;1.13096920156693;1.04562388038404;1.0727032632863;1.05739123635186;1.1578603183064;1.22156891047949;1.20950102575845;1.24928530665398;1.06204493240048;1.22953254820931;1.03308316772053;1.15099637964618;1.18231046644674;1.09024910192449;1.16326384112307;1.3685230401765;1.06969913619152;1.18523604368471;1.0305778911099;1.11591509159135;1.18653147401671;1.1591101757854;1.1056288988768;0.953764622762097;1.03619314584947;1.23041706275542;1.0283910942037;1.10367425797112;1.27082978455981;1.00029889441995;1.089755127932;1.18620715226076;1.08751453653797;1.3495591533206;1.04375675694458;1.36197016489092;1.00592402368577;1.19203637746807;1.23962129286141;1.27430418616073;1.26910168105399
"Amazon8";1.17270681671987;1.10842080476981;1.05529483172828;1.0553988092234;0;1.03109925064816;1.17111086408744;1.17260495334109;1.35690216579893;1.24506339536361;1.04880552451866;1.16731949997317;1.1836966771866;1.16019049369389;1.08121785344209;1.08391866954536;1.09553519323691;1.2237121610752;1.3305455763914;1.00510413118229;1.19587924388489;1.20409219851378;1.1281947792259;1.09718931915079;1.20344944193142;1.31701170250317;1.23194199385863;1.20914643795864;1.20902339129528;1.2624592298242;1.16499992864013;1.17220993338861;1.05431367272552;1.01663211913908;1.2131061213407;1.12515456252722;1.09234630179513;1.11229272687275;1.23296616186058;1.11810695575348;0.98742033507368;1.00727898750393;1.05368530938773;1.1712336088709;1.10239345007903;1.1434993559165;1.18041627199892;1.08766817612041;1.20644191311903;1.12897157099622;1.22320919522257;1.29989063229395;1.29785825606433;1.12493805872366;1.03518088210836;1.15562814907009;1.18161005786479;1.12119217826453;1.10304094764166;1.05949277169424;1.14342315362199;1.17032406720911;1.16518238950444;1.28929232905147;1.06362325504775;1.21869349826755;1.00168423045527;1.15847068157009;1.19947440365631;1.17860568039703;1.13228413713399;1.35570524514162;1.04805249356871;1.17757781906568;0.983798519727803;1.09805232991464;1.21069064242126;1.21489701657209;1.18217803111817;1.0443058404204;1.0509444077088;1.20844239446578;0.972157554109927;1.15479316863713;1.34044063190221;0.991336439859493;1.10749440289203;1.1589087441979;1.12508320969095;1.35911331344073;1.02076893155914;1.38192815412998;1.06829312116779;1.21374311391155;1.2110323582694;1.27144266788309;1.24947872328366
"Amazon9";1.19024542188981;1.04413398479596;1.03637954140722;1.09375998191735;1.03109925064816;0;1.10726009257136;1.13743985997016;1.36478666153979;1.25242210693968;1.11593188857128;1.16895137794245;1.19813359339188;1.22144604636171;1.11309928471552;1.10102873067016;1.05689265463032;1.25487847612301;1.33063671436968;1.02570191885344;1.20399251599846;1.18069068607913;1.09776690788574;1.09824614722095;1.18184469058524;1.31819647664179;1.28401259253388;1.18113659383438;1.23338789314038;1.25071058370099;1.14765102158691;1.19520076004875;1.06004372762052;1.06012216309294;1.16791437482114;1.17086793444167;1.14306181722139;1.12540673887077;1.22933589751172;1.06011062490855;0.9883009417495;0.976624718315568;0.967976628930436;1.08006005209677;1.13645056203084;1.13775058051296;1.23377073662768;1.13254301745851;1.24520511726833;1.13226949206795;1.2016750012977;1.28473082318577;1.25592443426955;1.08277574615785;1.01106163661714;1.10038456624289;1.18653255920068;1.18537125280368;1.08360440931804;1.08357173326407;1.16904030295925;1.16679197884376;1.19620030459457;1.29485118255676;1.05066966714094;1.22925604996331;1.05043895976923;1.11463394038695;1.18948174490814;1.18632907360083;1.10766695542317;1.32917794138205;1.00122902199721;1.13363362104995;0.966617035182905;1.05938843951104;1.1605819344125;1.20407142412192;1.19278196590235;1.08825747983195;1.04157807776531;1.18404119166687;1.01964205619613;1.18533953779041;1.35234540983336;0.999542230975167;1.07324988850919;1.19451489890385;1.12337366688044;1.34188531320382;1.07612582258954;1.3817008772704;1.09019982057833;1.20197859054476;1.21780633582527;1.28431185339801;1.23107771930883
"Andira1";1.19236822698374;1.18837366818287;1.17043686470259;1.17207509585274;1.17111086408744;1.10726009257136;0;1.08185743290167;1.37132924979827;1.20566691676547;1.1665116750602;1.16057227792222;1.22963204310771;1.1815124419087;1.11796753897163;1.14982715002663;1.05956372766136;1.13449098571699;1.31671245363419;1.04607010869435;1.21528622826226;1.12634044695821;1.05300746083738;1.08113279555595;1.17672894799416;1.30885390197982;1.2300156689319;1.19739674056003;1.16800719224441;1.31509513704797;1.16863914494589;1.1452043693377;1.2035438045176;1.10738647225084;1.07270487117272;1.23058252591232;1.13661010210585;1.19506012440262;1.21342575211039;1.07908258633874;1.13306147133249;1.16174799715302;1.12590634557171;1.17108545005337;1.23306708200929;1.22359049440358;1.24868736312511;1.20991709376939;1.2455124543995;1.12070194176309;1.16186442998062;1.33280909631919;1.38802099890504;1.04421839702625;0.98981378123183;1.159875032245;1.22726032640459;1.17060669093415;1.1426061220197;1.09288918902806;1.11469521668687;1.10376871610588;1.26241854790002;1.27642364996005;1.01093732236509;1.28299685537311;1.20379424541035;1.10588458991659;1.1963134498362;1.18276922390097;1.12909598284282;1.36998160222326;1.1777082621779;1.25727369730648;1.10776009825555;1.18197414883028;1.17778824872602;1.15625027158776;1.18456856101701;1.13382634722707;1.08410464833451;1.21259490920239;1.18980868954451;1.16503802425927;1.24358847134371;1.08522840557618;1.00969573396377;1.11152535627241;1.12314102546976;1.35040828384259;1.02739243656297;1.36982762414577;1.15669713568454;1.19613291688374;1.21068611080788;1.21726268477098;1.28910913933205
"Apaporis";1.11805212521849;1.17561415002374;1.19576539879022;1.19036172991088;1.17260495334109;1.13743985997016;1.08185743290167;0;1.37549558381374;1.09276406020181;1.18409343164736;1.08456200719496;1.21302874195936;1.16824258107543;1.20273523998648;1.16894663113827;1.02341790384501;1.20661750571223;1.21589721506189;1.10528116730133;1.29008119771616;1.14377023759659;1.1445642231199;1.05827327583339;1.06727634270501;1.21837844256193;1.19429958097981;1.26651622179837;1.09918666677398;1.21092092194531;1.19070520530454;1.11122478701367;1.22887259568091;1.18184422293991;0.997524716762117;1.23278519300571;1.19071205768425;1.21657772017935;1.10307533868996;1.20128194518811;1.1596162167958;1.18081430421313;1.08743714969542;1.07805058515049;1.24416206685447;1.15456711090625;1.24313429743139;1.15623478714801;1.19747832236459;1.14816758192543;1.17938190483761;1.31064253965656;1.38239988171259;1.0696959834018;0.976352276813092;1.19124272066585;1.31465755406771;1.19104897218183;1.17745204046444;1.13296768992916;1.1755806049491;1.06537494726267;1.21424768660299;1.29352601569208;1.0368141917652;1.29848108439354;1.18652785775373;1.0223697647684;1.19731538004122;1.20472030249827;1.05544499663754;1.3313092137009;1.1805642010988;1.11739132380427;1.09041307351958;1.1894265376357;1.1481713289565;1.16480539021624;1.23513934632173;1.19830370167202;1.08414574344464;1.21408229615864;1.222987463003;1.15538763667683;1.30884299772772;1.15417256961935;1.08034951892927;1.08941453751051;1.19676585380126;1.29502266600207;1.0524336369537;1.39255298951964;1.19282844631141;1.16431995634145;1.08637124707632;1.15329350023864;1.20284627948483
"Apurimac1";1.31760612221366;1.44464795508261;1.35236551945192;1.35144794890781;1.35690216579893;1.36478666153979;1.37132924979827;1.37549558381374;0;1.30559989480408;1.32601083497261;1.30918711404072;1.30830591223496;1.33558792616301;1.32396014023518;1.33351351763704;1.33746686142427;1.30039498928942;1.26142126608314;1.3610097000872;1.28059524489549;1.35069296024772;1.37024042817017;1.39105391630345;1.25807065793075;1.30471516078018;1.31743124686738;1.26384257606149;1.28588763054863;1.31380872796854;1.33970556049962;1.25215512750809;1.35347411252409;1.43039088053778;1.37697605881671;1.34338502850439;1.29686427243351;1.33737410908845;1.31145383700821;1.40195458932639;1.35020372145324;1.3587431252506;1.3565656620977;1.31750758752336;1.32193021528333;1.33491724903689;1.29394246373132;1.3298826247304;1.32157073969274;1.07821668355333;1.30166725608747;1.25645430436259;1.23789562038772;1.35440420093451;1.38549883084878;1.31787244936562;1.27259168973908;1.35853197411702;1.36121798705731;1.3253105722296;1.30732650786819;1.36642788985319;1.30193288632172;1.22925238374109;1.27196085755058;1.23816095557979;1.34594137171866;1.34897861220586;1.30686988231826;1.31537799192088;1.30206602920426;1.22419358305127;1.35518037403044;1.37348166742409;1.35709140995006;1.38043956676572;1.33670167911362;1.30641292764565;1.33359684785866;1.32405426706514;1.31223400906811;1.32982791254776;1.35260224800475;1.2828399564475;1.2616991861833;1.39280534172707;1.35580116541477;1.34010525946019;1.29363781177242;1.19208365731801;1.36076806812371;1.22499559788161;1.32352237033374;1.29576318204071;1.31006594257898;1.32785337884124;1.29535949350129
"Arinos";1.20999702754916;1.29090467499215;1.26724152368543;1.22222449870352;1.24506339536361;1.25242210693968;1.20566691676547;1.09276406020181;1.30559989480408;0;1.24714824249161;1.11290516254558;1.19558665662163;1.18831691919547;1.2206966935781;1.25236805769819;1.17676787122699;1.16202349804853;1.15575491095801;1.2337907783135;1.2711492991522;1.16220255099371;1.13683853800368;1.14533941261061;1.09443614416236;1.18085470412729;1.21397449215742;1.18825538260902;1.11538737130342;1.24350282052835;1.24260127991703;1.23328298716636;1.29507826697794;1.22939655788043;1.1860736569791;1.28480446041614;1.2511472807448;1.26524186734161;1.00474926310554;1.29926804164387;1.25114384035638;1.27717382120172;1.27004108218576;1.26035854940451;1.29378453921482;1.28277787122478;1.22468325749035;1.25835715547811;1.22064481981462;1.13462399623541;1.21793124763841;1.27275506539045;1.345505073351;1.21611193604149;1.16252458038879;1.1972118641267;1.25382446697333;1.25946367440078;1.278061670357;1.1871364884437;1.17335653281143;1.14526363764704;1.24178122675829;1.18589935721827;1.04501840725822;1.18710956101492;1.30109787260706;1.15653596674097;1.26496252084782;1.20397978276267;1.07777662737686;1.20675317478304;1.27142402335499;1.29793785496105;1.24425205408568;1.29401084602295;1.22891990717132;1.19638274080667;1.25605043763288;1.22979453649732;1.16317335837233;1.20780108341364;1.26815196605772;1.17043604340741;1.2338209958051;1.2891771260579;1.22851783828717;1.07917046690818;1.18036164862078;1.2471933193372;1.19110052577487;1.26545687239882;1.22479375664616;1.12077976224349;1.10808558900598;1.13744909617533;1.17002123043976
