"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.0596804039162207;0.0699269474404446;0.065010284303404;0.0658424485253989;0.0646706991016136;0.0599005257483475;0.0524316381434077;0.0442311917785723;0.0566396610257204;0.0736504592432486;0.0626383477356452;0.0714432944494031;0.0592962741923614;0.0665870416576481;0.0558740015549307;0.0603596026972253;0.0599706265711884;0.0652391804222863;0.0600888591704182;0.0670814600519486;0.0563368174174723;0.058255321414182;0.0540499995701786;0.0530301113716911;0.0523332311582886;0.0710874419060644;0.0509770485424189;0.057745186648607;0.0634728180874798;0.0605890986063713;0.0587066251451488;0.0726666068111496;0.0562084269742034;0.0497551630274026;0.065355041221662;0.0691769259681999;0.070111497627738;0.0520308805244672;0.0674106640313369;0.0666048845633625;0.067559541691911;0.0714609379992977;0.0677247483826796;0.0778734557345119;0.0677629677099141;0.0752725192917873;0.0722693111087931;0.058252667357432;0.034846066190109;0.0580003588798963;0.0606521238503795;0.0642113981337074;0.0575446068599;0.0552729312916337;0.0609013406848364;0.0627724014295989;0.0709082898328612;0.0647804544259788;0.0723071208096804;0.0642038055555112;0.0589780689061641;0.0615652268797682;0.0671743778044198;0.0475457028957472;0.0627504420254029;0.0751694807180589;0.0607715282511614;0.0554778005800807;0.0674481775344986;0.048811251787549;0.0643044477311727;0.0743432442680072;0.0536695198277009;0.0627264455013329;0.069231572235261;0.0628927645148793;0.0684513123779943;0.0685043586660532;0.0677446650184239;0.0626876582463;0.0547678321216493;0.0668822667687346;0.0572348085040003;0.0620172349182097;0.063689780949626;0.0653806560488051;0.0561250906782085;0.0595087636923983;0.064424026823453;0.0574742519051073;0.0624710174816815;0.0652615049237968;0.056813186070571;0.0663688002580904;0.068806990190446;0.059040609478575
"Amazon1";0.0596804039162207;0;0.0576898655007791;0.0563458776457263;0.0595742061058531;0.0512657131436947;0.0632299512565971;0.0491002814464408;0.049860970267931;0.0570822593659552;0.0571906123097318;0.0562730019858117;0.0597744569812936;0.047949910040085;0.0602936753347498;0.0546253236990085;0.0534346652476757;0.0600891367141923;0.0644299481264016;0.0544222638997773;0.0621945401675156;0.0687517293647989;0.051592667221927;0.0437601987628735;0.0524341032687112;0.0509501747704724;0.0587311258571882;0.0533699174009477;0.0611390035915234;0.0571933717394955;0.0513784596139836;0.0542961547627493;0.0518504604773114;0.0435919262011805;0.0550182890073792;0.0567720966002846;0.0601247338017892;0.0566909976519663;0.0544364646760479;0.0530995276189714;0.0555398151269193;0.0523673730235526;0.0523649052721709;0.0530039554744626;0.0603377108405885;0.0501620983228949;0.0583082589934961;0.0550079140423558;0.0491721930944346;0.0350506996050537;0.0415580012160412;0.0635259811975502;0.0516594920864216;0.0486253193156737;0.050794330582662;0.0568522136759902;0.0626161353455497;0.0580243600316576;0.0563072707168803;0.0613840285537135;0.0583942388905226;0.0527874614683776;0.0558914332458444;0.0615375585470734;0.0489161242486853;0.0626698269092153;0.0571089057415747;0.0533104114511231;0.0567217025578383;0.0582466644503396;0.0554361723188059;0.0558918508558192;0.0554751970297344;0.0457770268181917;0.0515349467709822;0.0476487373146426;0.0592052172501467;0.0627035446388206;0.0560459004397341;0.0570820965511354;0.0538294712307327;0.0551974523493796;0.0541415989580641;0.0584111743491382;0.0549412267848988;0.0534846916458331;0.0567566955211526;0.0544094291930015;0.0548842961274778;0.0642725485407352;0.0551186665429055;0.0635720326915732;0.0605054639769765;0.0547093221836869;0.0640553786150528;0.0638166055312945;0.0555400194099012
"Amazon2";0.0699269474404446;0.0576898655007791;0;0.0692542316997587;0.0725089814424937;0.0494745834177001;0.0745082112488809;0.0713705884800075;0.0483479413531385;0.0628065686737693;0.0602188297363431;0.0742242278541176;0.0820631809133864;0.0640772474451008;0.0635856450758323;0.0634293230940962;0.0579909262086428;0.078149707399264;0.0822955784282209;0.0620302657005173;0.0694452372780834;0.0691712440736385;0.0679429221465533;0.0681255940454764;0.0655539773825852;0.0667723858437143;0.0742474899053873;0.0518139481286495;0.0735603384694766;0.0760923936625442;0.0818858543236495;0.0769915685090827;0.068335156840889;0.0557347325662943;0.0726848009992673;0.0666276762917622;0.0706607573255705;0.0692642505498597;0.0665112886056397;0.080666470476934;0.0646364817920748;0.0580903439214091;0.0704362815464915;0.068001744824103;0.0692896231420302;0.0728427404735115;0.07591251029868;0.0648351254361165;0.0661624662030592;0.0339838180770523;0.0568759664093536;0.0755491977897957;0.0624409658799964;0.0715065735673334;0.0588794212418466;0.0718226082660011;0.0652797260946932;0.0706439877391323;0.0598771924458723;0.0647519654031111;0.0630363995636193;0.0648365086943634;0.0716225471625417;0.0720361866424009;0.0493545467947927;0.0786217671428041;0.0696098634266735;0.0787437763519616;0.0680874713622004;0.0707175507204637;0.0581150456166761;0.078782599551179;0.0712134324960588;0.0701747081849885;0.0664720000274837;0.0724101250149146;0.0718294704749154;0.0719881734071309;0.0725966619444797;0.0741439007187558;0.0587508827833729;0.0607391707205558;0.0662832148993808;0.0556991138210039;0.0734282893945174;0.0584483330092033;0.0629429113056;0.0668278407157297;0.0610386778828659;0.0798233465412677;0.0612757723813149;0.0819750060308923;0.068218108237814;0.0699416834540859;0.072980921058456;0.0761498757530013;0.0772215218885095
"Amazon5";0.065010284303404;0.0563458776457263;0.0692542316997587;0;0.0665857563149891;0.0688139230031631;0.0730254413744177;0.0671040959672703;0.0473681977045758;0.0577760681731716;0.071045205750986;0.0667433776890781;0.0856666077814408;0.0744241503548657;0.0723343655087631;0.077023952754349;0.0649885651615303;0.0780602182546477;0.0846659999262915;0.057975007674796;0.0800687154620852;0.0651511634301518;0.0622070507281675;0.0724591527771785;0.0639306952179966;0.0615493600833722;0.082635610461237;0.0569776093209654;0.0795579545763265;0.0758964238379953;0.0755806352279247;0.0782816215038892;0.0712369343235026;0.0607944483818058;0.0755490096941981;0.0626162524642562;0.0836426019065324;0.0664060399702136;0.0650505888965485;0.0771644547767527;0.067687754883548;0.075345846441965;0.0765577119834032;0.0757025065474316;0.0857558579596181;0.0778695065600686;0.0730415886716196;0.0658393002216798;0.0707792705739735;0.03356035681738;0.0651289045096135;0.0754442096501068;0.0609372223081782;0.070208934986849;0.0572866801604403;0.073458473375853;0.0647662585232415;0.0672260282929836;0.0618276070961619;0.0695346570835257;0.0794056174301264;0.0658225836165548;0.082115754579089;0.0733931940384357;0.0485955519443823;0.0721161898258923;0.0704118185233265;0.0799069210697756;0.0717096934954464;0.0757215160064887;0.0568694248338914;0.082542557631725;0.0724808379582298;0.0711948328326742;0.0671241716126895;0.0765860248238292;0.0807795424753208;0.0785908161380798;0.0812587009618571;0.0643744308927482;0.0607360373326753;0.0584085167540543;0.0697877432995082;0.0626131714927865;0.079134928413191;0.0596503271473708;0.0681633940891882;0.0654575982117807;0.067318769388592;0.0762085073941778;0.0629184456940969;0.0797759128846011;0.100174284513111;0.0670224381058093;0.0651440270231975;0.0767315634212752;0.0716484773659552
"Amazon8";0.0658424485253989;0.0595742061058531;0.0725089814424937;0.0665857563149891;0;0.057957280922446;0.0730029731131152;0.0657923381417919;0.0472899569084139;0.0639367053318954;0.0673656296691215;0.068418444963203;0.0712642685922809;0.0649933866258793;0.0748384296482588;0.0765185267564171;0.0623918418888375;0.0788490756269396;0.0857691270105039;0.0630322419041827;0.074473024761629;0.0661431633473854;0.070373591849189;0.0613770355838327;0.063826544067469;0.0693914389816606;0.091146939437004;0.0529680661741322;0.0790722382468344;0.0759458088462814;0.0746614811569288;0.0784864886252286;0.06241426362007;0.055801807402214;0.0724411944243295;0.0741368472246216;0.0689552053536129;0.0579373334477221;0.0691718251970707;0.0755013410366743;0.0532789684777425;0.0698373730930609;0.0695033162997354;0.0740582783882005;0.0790282804180777;0.0664755050860004;0.0782219820516868;0.0656773469328171;0.0717137538500332;0.0340896426458152;0.0660680948295079;0.0834661339432607;0.0521455674291037;0.0687422426744904;0.0575464436831628;0.0674768045868759;0.0763772399421549;0.0678860136702789;0.0732465455007752;0.0765000558241644;0.0707144460853226;0.0697995084493674;0.0753099132481805;0.067346888175431;0.0488907579299204;0.0736018619294362;0.0654112923962329;0.0808988533330941;0.0783426951893431;0.0780243289323967;0.0557867010549212;0.0747353657583302;0.066353532571043;0.0753732882356488;0.0628198695233358;0.0676807594082205;0.0774287302140039;0.0694017357717472;0.0664953942544695;0.0728678376608661;0.0615952806121818;0.0569270781934082;0.0635852363153284;0.0638155174777017;0.0820130701142598;0.0549416088004881;0.0691509163547598;0.0559065972006013;0.0943418038682372;0.0777762630574339;0.0589637228025031;0.0844099658082767;0.0642513167925868;0.0650288836853323;0.0625105925086522;0.0782517060887428;0.0712910523983955
"Amazon9";0.0646706991016136;0.0512657131436947;0.0494745834177001;0.0688139230031631;0.057957280922446;0;0.0621943514934516;0.0652841042009228;0.0480154635946621;0.0600259586431237;0.0657961080478405;0.0694544696400041;0.0777986813284521;0.0605871136508695;0.070009789726172;0.0720303552190888;0.0637617163357007;0.078866285156614;0.0856720485104683;0.0629183121399503;0.0741730022293828;0.0632269730061203;0.0640589143616927;0.0682578344779524;0.062279389473705;0.0642806077278324;0.0798470146557069;0.0524211304797641;0.0763168718788021;0.0738587524747927;0.0720671093829743;0.0743829129069573;0.0579525493436043;0.0580148116432457;0.0678145422373035;0.0723759747646926;0.0753754377659572;0.0621701978179968;0.0652274433388866;0.0692282303966507;0.0651937556048304;0.0637600267581555;0.0659810586948124;0.0630439415089429;0.0759470775234509;0.0627902315132777;0.0787141450863806;0.0671203002633486;0.0636439467502372;0.0334197424524903;0.0625208222320921;0.0753544946275544;0.0632370585473363;0.0671764746988501;0.0597867937619537;0.0695726972323129;0.0679498016586777;0.0653985839316281;0.0672356252382135;0.0769875237481539;0.0713427277685296;0.064093105319194;0.0751064131134135;0.0746604930769045;0.0475588719916837;0.0588552973382473;0.0744863202334189;0.0683528928157093;0.0708948626156197;0.0649608259379992;0.0519781622024015;0.0769471411456882;0.057286088107182;0.0678413841460049;0.054642532304837;0.0628915294486233;0.0697130177496165;0.0716200899752406;0.0734854258821201;0.065957930251237;0.0591414005428219;0.0538075822683565;0.0656291371911464;0.0673303466784146;0.0782679227185581;0.0552678957240959;0.0569272041076726;0.0648745934445675;0.0609494192524094;0.0747575466982039;0.0576978738315902;0.0773589191228312;0.0658848310934819;0.0682868333166312;0.0674143271399621;0.0713525194507479;0.0688019306198818
"Andira1";0.0599005257483475;0.0632299512565971;0.0745082112488809;0.0730254413744177;0.0730029731131152;0.0621943514934516;0;0.0489969600531185;0.0419931049545726;0.0522365138481988;0.0661734181113542;0.0609665341268589;0.0714117439718731;0.0585121612585794;0.075281353921711;0.0667459402238899;0.0622876975955748;0.0591155286305466;0.0770827301467087;0.0624381181778785;0.0727150939745601;0.0597891879537532;0.0570003639951939;0.0550145278214742;0.0502372739658477;0.0555624561950547;0.0787430689780655;0.0537561243146182;0.0689730504481553;0.0673612828259183;0.0570557175843963;0.0633274614615816;0.0716115920063051;0.0567546627998251;0.0583373682371891;0.0710075214850659;0.0713853742656766;0.0771080678491033;0.0601481658570181;0.069538560842156;0.0737863457267663;0.0665028710359697;0.0642558785467445;0.0715221434323612;0.0811797835818722;0.0718183976114934;0.0725636275427131;0.0721441270543529;0.0634166588217425;0.0334391663674355;0.0586779901125899;0.0678460278195062;0.0640589483497341;0.0546092712467561;0.0466281636274981;0.0598494122106156;0.0757002408364536;0.0772304573492158;0.078097138785923;0.0657458222307541;0.0636444279914337;0.0568266690025302;0.0543003245611747;0.0621109451070944;0.0441404788502716;0.0646789201588993;0.0756670681381387;0.0587275907971274;0.0627263979351499;0.0764085609627115;0.0499275673117366;0.064463297974402;0.0723153589877017;0.0713146210569306;0.0700409001536227;0.0775552815278583;0.0719478401842603;0.0729959806944035;0.0728444021962051;0.0692530938884155;0.0556906843274872;0.0539229238003719;0.0694881322680457;0.0627833326905939;0.0556851945781217;0.0678424258337852;0.0548044209133749;0.0584217101034831;0.0621930692536619;0.0704080193936168;0.0590208101398737;0.0718810768442891;0.0735754433369177;0.0548072660464134;0.0555696133573586;0.0655906441217444;0.0561470008625957
"Apaporis";0.0524316381434077;0.0491002814464408;0.0713705884800075;0.0671040959672703;0.0657923381417919;0.0652841042009228;0.0489969600531185;0;0.0448469615221548;0.0377828844231712;0.0617385687993392;0.0506253018519175;0.0649919991274053;0.0594137389943857;0.0699471481190805;0.0655335808309032;0.0529466683185024;0.0699916176552715;0.0615997945803419;0.0551313054853254;0.0731048704604023;0.0501268070154656;0.0505512654674772;0.04803638993803;0.0510559997298002;0.0528492668328202;0.0742105911602811;0.0522252750208657;0.0550010906913979;0.0581913949043484;0.059212887366538;0.0599455799812586;0.071626395028693;0.0555883693116714;0.0451984222505099;0.0669932198126187;0.0700127899878604;0.0737268727935036;0.0533404994709713;0.0706160652164969;0.0709939218393648;0.0705229554350757;0.0688178641606949;0.063924092364127;0.0782517287316254;0.060723306579739;0.0767252897711613;0.068426375283413;0.0670804811567829;0.0354588591321354;0.0603898870899511;0.0683203920758008;0.0680892402791914;0.0535185382722485;0.0528439321896758;0.0627195012117862;0.0738552419921717;0.0717349176703619;0.0649144467056285;0.0669427040741254;0.0544535915705097;0.0571307006635297;0.0641953738616108;0.0671331434667016;0.0467807478103231;0.0749696853933209;0.0688852059612496;0.05835435313364;0.0679221170237046;0.0672227680680865;0.0499543188118486;0.065167516913682;0.0708541714197332;0.0609463255286829;0.0560630420679726;0.0752565356060898;0.0591501753075557;0.0681071330807568;0.0760242814770244;0.0695893718050885;0.060549114559392;0.0495452435196718;0.0720490318771199;0.0626604865391742;0.0610016888997035;0.0625400913495257;0.0565370571087264;0.0539633384667662;0.0677811374302338;0.0617040542260499;0.0492809057720444;0.0757825767987252;0.0616282601213942;0.0562531342099726;0.0559987557246493;0.0479990738717689;0.0584128658845024
"Apurimac1";0.0442311917785723;0.049860970267931;0.0483479413531385;0.0473681977045758;0.0472899569084139;0.0480154635946621;0.0419931049545726;0.0448469615221548;0;0.042310091636839;0.0473742777448746;0.0470987589746418;0.0461165321579864;0.045435594419241;0.0453990738164269;0.0470146490568829;0.0433703281152371;0.0423960064297833;0.046064363901494;0.0452804806260473;0.0470263732909815;0.0495521721787432;0.0426767569071274;0.0441283538075052;0.044487949560286;0.0427145981092429;0.0462367435579747;0.041915811122528;0.0445835650107392;0.0448963510325664;0.0458352557367742;0.0416350944777143;0.0483668698494742;0.051907764317905;0.0425883412438653;0.0482040426535533;0.0470176025792229;0.0481002314560118;0.0456918224768533;0.0485566939149602;0.0462299533121959;0.0486650112646557;0.0494146740431156;0.0491592448362036;0.0473569940053048;0.0508024858760849;0.0463056175201429;0.0480863835708639;0.0450625756968487;0.0683376124652896;0.0448038370065545;0.046719364484709;0.0430945102129646;0.0451861479817701;0.0437734892951094;0.0453438667087822;0.0444914941091815;0.0482769846612006;0.0482371628835226;0.0443487377956554;0.0447186673405473;0.0464667964323623;0.0479978895070464;0.0423177387300212;0.0569340843725553;0.0446832973220492;0.0476620238492378;0.0445798679299902;0.0447696508516038;0.0450919497983269;0.0464009469968336;0.0460682070783434;0.0475400231562373;0.0507694890507995;0.045597739222232;0.0495328073306272;0.0499939227338453;0.0462239711083824;0.0479650753726482;0.0455840168393353;0.0420749621032789;0.0445892471243291;0.0487345479901347;0.0438429364725588;0.0421049952785883;0.048071177318762;0.0446823505653166;0.0441173497282445;0.0455692537592827;0.0452860929188658;0.0442098686755767;0.0455477953012556;0.0452856222425562;0.0415573917238274;0.0382655419047391;0.0459130843523151;0.0420660217706429
"Arinos";0.0566396610257204;0.0570822593659552;0.0628065686737693;0.0577760681731716;0.0639367053318954;0.0600259586431237;0.0522365138481988;0.0377828844231712;0.042310091636839;0;0.0568968132141349;0.0510483329491764;0.055976630274008;0.054741995972423;0.0585164599963108;0.0584050115652516;0.050412261835678;0.0518144661683085;0.0448346663144683;0.0578440418167768;0.0626025199476327;0.0567770174255176;0.0505584397676848;0.0488978140176023;0.0551460791072907;0.0505313467496781;0.0578212555411616;0.0489320192627425;0.0562494773236282;0.0522503463979027;0.051533734386499;0.0620596582130176;0.0638387998881608;0.0503552989371611;0.0497302287302421;0.0588446027426578;0.0584928693313884;0.0564111339740177;0.0542522934147088;0.0661530525659704;0.0581362274684699;0.0656344412869155;0.0610324062645079;0.0572862733410411;0.0620576487442801;0.0620773218073198;0.0547717641224242;0.0611472485667892;0.0571537863223404;0.0376490159425433;0.0528854261064458;0.0573688247093941;0.0598567703265434;0.0446885662249499;0.0528017585658315;0.0511732131382238;0.059581764602336;0.0608501939379633;0.0623797707993589;0.05656644813101;0.0530140211959095;0.0490850661961774;0.0548151995023977;0.0530981150649351;0.0500443465104542;0.055087106801888;0.0625956032515751;0.0510437183442007;0.0592112026471792;0.0581982553594303;0.0486377832952408;0.0530579224412247;0.065605112008385;0.0609381763437835;0.0517858838734695;0.0624275760311217;0.0591304812071436;0.0560779337966048;0.0629805612797633;0.0594472419567956;0.0556351956860836;0.0480160495397526;0.057806712033299;0.0604513623544674;0.0475641959772643;0.062315928708323;0.053768049328445;0.0417994473425626;0.0543742330080625;0.052463024670679;0.0508232698350029;0.0534407806611401;0.0622007142029069;0.0533331796290065;0.0588282693173777;0.0576495994203202;0.0489320714306367
