"","SR","pd_z","mpd_z","mntd_z"
"Abuna",239,8522.80517587748,230.938446869633,44.3642066078387
"Amazon1",173,7258.55837288196,249.276621132968,50.2003970412393
"Amazon2",567,15000.6126773409,247.365937675975,30.0296635842071
"Amazon5",632,15840.9322987466,246.911872160634,27.7437263071135
"Amazon8",587,15088.5908967623,244.511918369216,29.1414227810311
"Amazon9",540,14222.4064659279,249.424872492484,29.5676314311817
"Andira1",283,9812.66870848865,247.677086970208,41.3136546256681
"Apaporis",188,7319.48977726347,236.571220200253,50.2240725426917
"Apurimac1",26,1377.67342691447,171.065534803338,75.2849707221332
"Arinos",148,6044.08419651356,210.765588364637,52.4420796205762
"Aripuana",564,15280.7840333045,239.696897862094,31.9805672756314
"Bacaja",181,7331.38512239262,224.993276995069,53.7282136323606
"Beni",428,12798.3116544419,233.106646764121,37.1520286860761
"Blanco_Baures",366,10998.8489369364,234.098138649129,35.592873986745
"Branco",734,17395.5383606062,243.902027078717,25.7439448850341
"Candeias",464,13003.3950764926,228.631349913298,32.8873883832186
"Canuma",272,9717.03118545576,241.675615871354,45.2404537678837
"Caqueta1",491,13518.4775320665,228.946863902991,32.7493346706124
"Chapare",241,8432.465815936,219.642283610318,45.3504866942112
"Coari",320,11110.8459884064,249.386034767958,42.7884114700115
"Curaray",586,15415.8478585224,227.064322886003,31.1091882719975
"Curua",78,4205.19700270265,241.473034775556,75.1434932826861
"Curua_Una",182,7429.88432922888,246.891850726045,51.3722648255752
"Demini",220,8309.92170876137,241.917273962294,47.5290589488707
"Fresco",99,4652.53356473141,226.287889588597,65.5610474227796
"Grande",158,6353.05428803775,222.928642593503,51.8521850494227
"Guapore",667,16127.7333700083,235.991502005381,27.7735718650815
"Huallaga",240,8413.1574573283,228.637422747087,43.700560555672
"Iriri",333,10124.6066962989,228.110557242939,37.6174048526578
"Isiboro",206,7729.59703680998,222.869229006508,48.5905138095921
"Itonamas",349,11046.8270067976,239.083970147782,38.2776828090418
"Jamanxim",308,9948.69589465806,224.443618854252,41.4382841920328
