"","SR","pd_z","pd_p","mpd_z","mpd_p","mntd_z","mntd_p"
"Abuna",239,-0.889885276033057,0.791825,-2.64432575814128,0.994265,-1.29250535724761,0.87172
"Amazon1",173,0.719713110754461,0.250695,1.04671408705544,0.148205,-1.312158455303,0.88254
"Amazon2",567,0.00113708762435713,0.50125,1.44118195051434,0.073625,-1.20428011829964,0.8487
"Amazon5",632,-0.528437487768337,0.680455,1.37818215825741,0.083415,-1.82516404001146,0.93893
"Amazon8",587,-0.776909154794345,0.752775,0.419230034296125,0.344135,-1.52358286271093,0.90421
"Amazon9",540,-1.21383857107706,0.86063,2.1140663498227,0.015475,-2.19969020031,0.972285
"Andira1",283,0.176550414724213,0.43729,1.00637728167924,0.158155,-1.31520175173569,0.879955
"Apaporis",188,-0.649224608773056,0.7274,-1.26519969181204,0.893505,-0.799663922758513,0.76726
"Apurimac1",26,-4.24768253276958,0.999845,-4.69576932056639,1,-2.38043551929288,0.986045
"Arinos",148,-1.41587646135506,0.902555,-5.31658353838942,1,-1.49186771858925,0.90984
"Aripuana",564,1.14111009430594,0.155535,-1.3266860644738,0.907515,0.395071576439215,0.365875
"Bacaja",181,0.139207233202348,0.44888,-3.34585056375483,0.99913,0.0818102406425973,0.47134
"Beni",428,0.498855506352346,0.32699,-3.08764405574955,0.99848,0.564249443104275,0.313875
"Blanco_Baures",366,-1.75034570121913,0.941975,-2.53213335819935,0.99292,-2.06823147344853,0.962415
"Branco",734,-0.166587800772424,0.557585,0.227796216185392,0.41743,-1.7328988650765,0.919915
"Candeias",464,-1.0299822895893,0.82405,-4.66684449414773,1,-1.40837495296395,0.89373
"Canuma",272,0.733519363798567,0.249345,-0.389978319308039,0.65832,0.125828671509053,0.45798
"Caqueta1",491,-0.847359249456576,0.776005,-4.73789719428664,1,-0.843813018434377,0.76955
"Chapare",241,-1.41109910894787,0.90382,-5.06919943385535,1,-0.833968191469459,0.771815
"Coari",320,2.0052161711624,0.03381,1.5116801032081,0.06255,0.533453462819527,0.32304
"Curaray",586,0.417276735201969,0.360455,-6.03485703113778,1,0.19963617532872,0.43297
"Curua",78,0.418626739623801,0.34346,-0.220785030430874,0.59809,0.350390268541472,0.37028
"Curua_Una",182,0.42713932640833,0.34721,0.641077684400931,0.266595,-0.635956642626273,0.71398
"Demini",220,0.049935447637029,0.48127,-0.296651771642854,0.622955,-0.667746600343768,0.724025
"Fresco",99,-0.969603581556845,0.818355,-2.24569764074261,0.98359,-0.336892674915536,0.62166
"Grande",158,-1.29660694354758,0.889,-3.4545262461059,0.9994,-1.32083169740954,0.889575
"Guapore",667,-1.31445736382511,0.877685,-2.99804432437828,0.99815,-1.0292365054319,0.816165
"Huallaga",240,-1.3959601024416,0.9008,-3.1408264368311,0.998745,-1.52844627009446,0.91276
"Iriri",333,-2.54051084931402,0.98816,-3.93509580906625,0.99993,-1.78237070845546,0.93674
"Isiboro",206,-0.850073715117403,0.782585,-4.00991195804948,0.99991,-0.747460139348112,0.748825
"Itonamas",349,-0.376655622792156,0.63408,-1.13869639398597,0.871545,-0.996360845261572,0.80971
"Jamanxim",308,-1.30486871460782,0.881195,-4.65950745088749,0.999995,-0.522323883842332,0.678205
"Japura1",556,-0.978840729803835,0.80227,-1.55190346911859,0.939005,-2.1144377776037,0.966235
"Jari",216,1.0420931647845,0.165895,0.626495431524345,0.269155,-0.043448925112156,0.51592
"Jatapu",165,-0.230764116785314,0.58142,-0.949837944722325,0.82935,-0.936305675363703,0.79302
"Javary1",533,0.278170324735163,0.404445,-2.96231137597789,0.997815,-0.355937138990157,0.62438
"Jiparana",573,-0.143605790760885,0.55153,-4.32656554702366,0.999975,-0.709789632368345,0.736765
"Jurua1",546,0.0185051405985392,0.498355,-1.40194052461914,0.91917,-0.71609275318057,0.73357
"Juruena1",228,-2.15144940912911,0.9749,-2.68514154321416,0.9948,-2.91120316052141,0.995515
"Jutai",314,-1.19266330774206,0.863275,0.877419063691628,0.19265,-1.32685016305177,0.887285
"Luna",508,0.667094511861018,0.27741,0.688245059976523,0.25023,-0.990099554319393,0.804925
"Madera1",471,0.675772882383214,0.275265,1.88058002037359,0.028155,-0.19257867214357,0.565665
"Madera2",353,0.0796413525924681,0.47342,0.608357096508351,0.276215,-1.03600080417585,0.81653
"Madera3",455,-0.275978556150528,0.598255,-1.77518065273737,0.960525,-0.590942688465957,0.698835
"Madera4",647,1.07523410565059,0.17564,-2.5083588814884,0.992755,-0.0305649173053444,0.51353
"Madera6",344,-1.25737997532848,0.872315,-2.94701144714532,0.997845,-1.3910279673791,0.889005
"Madre_Dios",581,0.0140368208257799,0.49533,-4.08717099645452,0.99996,0.00585386767056339,0.50152
"Mamore1",502,-0.075418901289615,0.529765,-1.45515897102693,0.925345,-0.393059474279552,0.63728
"Mamore2",397,-1.3782772676678,0.89074,-3.00567383865671,0.998075,-1.33293854475792,0.87517
"Mantaro",7,-2.27973011548118,0.98258,-1.88489813570837,0.97076,-1.88241231607867,0.963385
"Maranon1",255,-0.282471221776388,0.60207,-2.27480338438345,0.985835,0.606940164868956,0.291635
"Maranon3",288,-0.631387899695503,0.71628,-3.58771545259294,0.999715,0.224573587211795,0.423025
"Maranon5",227,-3.35681678318368,0.998865,-3.76340259554693,0.999775,-2.52337551735576,0.987825
"Marmelos",209,0.799244150310102,0.230305,0.375904044454102,0.36103,-0.0124167771644979,0.504205
"Maues",191,1.54878198159482,0.075605,1.10259987122272,0.134965,0.639120864793992,0.28735
"Napo1",266,-0.941409514738636,0.81071,-3.9926097014553,0.999925,-1.14837948684146,0.85273
"Napo2",500,0.0562251222828289,0.479355,-5.57771426645932,1,-0.249656478580828,0.58404
"Negro1",788,-1.26202961822117,0.86198,1.36451405039623,0.086145,-2.39336360566344,0.977185
"Negro2",407,-1.07771180613766,0.833955,1.17599928391588,0.1204,-2.42486356013277,0.983215
"Negro3",613,-1.81072842723561,0.952235,-0.325190181963753,0.63422,-2.91220252445216,0.99552
"Negro5",499,-2.50704038149042,0.98844,-3.94915322969233,0.99992,-2.34238061414848,0.982175
"Nhamunda",229,-2.36978840881986,0.98616,1.02977518885783,0.151835,-2.16326900164287,0.973965
"Orthon",378,-0.215042403574998,0.57644,-3.91399662702734,0.999915,0.298212233949327,0.39707
"Pachitea",226,-2.42803445298173,0.986955,-4.11176535247089,0.99996,-1.43520039040665,0.897025
"Paru_Este",21,-0.188916144036624,0.578365,-0.916906950378932,0.8155,-0.653264856557282,0.73752
"Pastaza",334,-1.060764113159,0.83609,-5.56786215215407,1,0.0115151685203441,0.49822
"Purus1",614,-0.0496030906783009,0.5177,-0.250800316664782,0.60643,-1.6293923808907,0.91714
"Purus2",259,0.845998799278902,0.215795,-0.906561563235155,0.81798,0.0481631762062782,0.48397
"Purus3",417,-0.510511320443391,0.6744,-2.54184971030988,0.993335,-1.3156613979719,0.86978
"Putumayo",690,-0.591030917569095,0.69326,-2.54414619735976,0.99345,-0.862843867351242,0.76912
"Roosevelt",151,-0.119679824576882,0.542625,-2.53137021540371,0.99181,-0.104418793732832,0.53521
"Santiago",205,-3.25243463780578,0.99882,-3.85318219225181,0.99982,-2.81944952433014,0.995005
"Solimoes1",596,-0.0424358590619831,0.51877,1.77780614893492,0.03594,-0.969535300623703,0.795685
"Solimoes2",301,-0.61968512082707,0.70909,0.393632231167826,0.35155,-1.74915453260575,0.93508
"Solimoes3",343,1.05430927839812,0.17164,0.324393320232727,0.37846,-0.343450279727327,0.61676
"Solimoes4",414,-0.328850871820545,0.614305,1.59016676385128,0.054175,-1.21939098637152,0.85397
"Solimoes7",327,-0.210438177005296,0.5741,-2.37587351801892,0.98949,0.246477724342664,0.41225
"Solimoes8",698,-1.21753968186831,0.85464,-3.62759475161955,0.9997,-1.19342567087509,0.85311
"Solimoes9",657,-0.303682701859434,0.60684,-2.40960337607605,0.99064,-0.34132888851447,0.6207
"Tapajos1",670,0.0658178043905133,0.477175,0.161409389030635,0.444275,-1.11754020072733,0.83471
"Tapajos2",363,0.162637461715699,0.442155,-2.74533621298519,0.996065,0.416907329073881,0.36041
"Tapaua",108,0.351741856539506,0.371865,-1.70096789834973,0.94924,0.243541468327859,0.41192
"Tefe",524,0.0658886183429899,0.475245,-0.604422048360934,0.732725,-0.345496511124741,0.61646
"Teles_Pires",441,-1.81133227478227,0.94741,-4.13093935664385,0.999975,-1.7295441113147,0.935465
