"","PD","SR","mpd.result","mntd.result","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Abuna",-0.889885276033057,239,-2.64432575814128,-1.29250535724761,0.438352367211461,0,0.0443327954831692,0.550452655927794
"Amazon1",0.719713110754461,173,1.04671408705544,-1.312158455303,0.37831119071505,0,0.0325976711070124,0.487842283475789
"Amazon2",0.00113708762435713,567,1.44118195051434,-1.20428011829964,0.529140039906813,0,0.0456822851353071,0.624402542651433
"Amazon5",-0.528437487768337,632,1.37818215825741,-1.82516404001146,0.548478583426106,0,0.0501250985528066,0.643424906826524
"Amazon8",-0.776909154794345,587,0.419230034296125,-1.52358286271093,0.5415548154494,0,0.0473113976198228,0.628421328246285
"Amazon9",-1.21383857107706,540,2.1140663498227,-2.19969020031,0.49957849742249,0,0.0462528528110333,0.608426350172287
"Andira1",0.176550414724213,283,1.00637728167924,-1.31520175173569,0.425475336222364,0,0.0392649029933363,0.506235923768149
"Apaporis",-0.649224608773056,188,-1.26519969181204,-0.799663922758513,0.38161418687828,0,0.0456257495725233,0.455717404599706
"Apurimac1",-4.24768253276958,26,-4.69576932056639,-2.38043551929288,0.448791149624831,0,0.260117567015913,0.473395772662501
"Arinos",-1.41587646135506,148,-5.31658353838942,-1.49186771858925,0.430903542240626,0,0.0878089626827217,0.513257260801784
"Aripuana",1.14111009430594,564,-1.3266860644738,0.395071576439215,0.510447491352748,0,0.0489469260717907,0.542742692548021
"Bacaja",0.139207233202348,181,-3.34585056375483,0.0818102406425973,0.393531031760847,0,0.0541845827362809,0.464059039901451
"Beni",0.498855506352346,428,-3.08764405574955,0.564249443104275,0.457315576749649,0,0.0507502877219939,0.53668881459629
"Blanco_Baures",-1.75034570121913,366,-2.53213335819935,-2.06823147344853,0.480185871948629,0,0.0468174081702801,0.584551367736866
"Branco",-0.166587800772424,734,0.227796216185392,-1.7328988650765,0.615088317889549,0,0.0534765746614971,0.73457325325602
"Candeias",-1.0299822895893,464,-4.66684449414773,-1.40837495296395,0.48179567585207,0,0.051146995206566,0.543018176391957
"Canuma",0.733519363798567,272,-0.389978319308039,0.125828671509053,0.412121913508683,0,0.0568525640899817,0.545340794716872
"Caqueta1",-0.847359249456576,491,-4.73789719428664,-0.843813018434377,0.47810445579148,0,0.0525500233779954,0.562281159641254
"Chapare",-1.41109910894787,241,-5.06919943385535,-0.833968191469459,0.412699896584149,0,0.0506831889639196,0.510984752429517
"Coari",2.0052161711624,320,1.5116801032081,0.533453462819527,0.456518768696702,0,0.0368061555382303,0.592491231384869
"Curaray",0.417276735201969,586,-6.03485703113778,0.19963617532872,0.602951303022962,0,0.0498597633974053,0.660057691255988
"Curua",0.418626739623801,78,-0.220785030430874,0.350390268541472,0.336993422240099,0,0.0742038418259057,0.43622951927662
"Curua_Una",0.42713932640833,182,0.641077684400931,-0.635956642626273,0.416195758688391,0,0.04262226209445,0.523156778805047
"Demini",0.049935447637029,220,-0.296651771642854,-0.667746600343768,0.40856392998142,0,0.0422861373367252,0.506984227212393
"Fresco",-0.969603581556845,99,-2.24569764074261,-0.336892674915536,0.353185518601435,0,0.102990696091089,0.398301730827961
"Grande",-1.29660694354758,158,-3.4545262461059,-1.32083169740954,0.362582264130815,0,0.0563006241323517,0.423132015248855
"Guapore",-1.31445736382511,667,-2.99804432437828,-1.0292365054319,0.508083069345476,0,0.0567006017379283,0.575142386175617
"Huallaga",-1.3959601024416,240,-3.1408264368311,-1.52844627009446,0.415843864338401,0,0.0593059279750455,0.530389046283474
