"","PD","SR","mpd.result","mntd.result"
"Abuna",-0.889885276033057,239,-2.64432575814128,-1.29250535724761
"Amazon1",0.719713110754461,173,1.04671408705544,-1.312158455303
"Amazon2",0.00113708762435713,567,1.44118195051434,-1.20428011829964
"Amazon5",-0.528437487768337,632,1.37818215825741,-1.82516404001146
"Amazon8",-0.776909154794345,587,0.419230034296125,-1.52358286271093
"Amazon9",-1.21383857107706,540,2.1140663498227,-2.19969020031
"Andira1",0.176550414724213,283,1.00637728167924,-1.31520175173569
"Apaporis",-0.649224608773056,188,-1.26519969181204,-0.799663922758513
"Apurimac1",-4.24768253276958,26,-4.69576932056639,-2.38043551929288
"Arinos",-1.41587646135506,148,-5.31658353838942,-1.49186771858925
"Aripuana",1.14111009430594,564,-1.3266860644738,0.395071576439215
"Bacaja",0.139207233202348,181,-3.34585056375483,0.0818102406425973
"Beni",0.498855506352346,428,-3.08764405574955,0.564249443104275
"Blanco_Baures",-1.75034570121913,366,-2.53213335819935,-2.06823147344853
"Branco",-0.166587800772424,734,0.227796216185392,-1.7328988650765
"Candeias",-1.0299822895893,464,-4.66684449414773,-1.40837495296395
"Canuma",0.733519363798567,272,-0.389978319308039,0.125828671509053
"Caqueta1",-0.847359249456576,491,-4.73789719428664,-0.843813018434377
"Chapare",-1.41109910894787,241,-5.06919943385535,-0.833968191469459
"Coari",2.0052161711624,320,1.5116801032081,0.533453462819527
"Curaray",0.417276735201969,586,-6.03485703113778,0.19963617532872
"Curua",0.418626739623801,78,-0.220785030430874,0.350390268541472
"Curua_Una",0.42713932640833,182,0.641077684400931,-0.635956642626273
"Demini",0.049935447637029,220,-0.296651771642854,-0.667746600343768
"Fresco",-0.969603581556845,99,-2.24569764074261,-0.336892674915536
"Grande",-1.29660694354758,158,-3.4545262461059,-1.32083169740954
"Guapore",-1.31445736382511,667,-2.99804432437828,-1.0292365054319
"Huallaga",-1.3959601024416,240,-3.1408264368311,-1.52844627009446
"Iriri",-2.54051084931402,333,-3.93509580906625,-1.78237070845546
"Isiboro",-0.850073715117403,206,-4.00991195804948,-0.747460139348112
"Itonamas",-0.376655622792156,349,-1.13869639398597,-0.996360845261572
"Jamanxim",-1.30486871460782,308,-4.65950745088749,-0.522323883842332
"Japura1",-0.978840729803835,556,-1.55190346911859,-2.1144377776037
"Jari",1.0420931647845,216,0.626495431524345,-0.043448925112156
"Jatapu",-0.230764116785314,165,-0.949837944722325,-0.936305675363703
"Javary1",0.278170324735163,533,-2.96231137597789,-0.355937138990157
"Jiparana",-0.143605790760885,573,-4.32656554702366,-0.709789632368345
"Jurua1",0.0185051405985392,546,-1.40194052461914,-0.71609275318057
"Juruena1",-2.15144940912911,228,-2.68514154321416,-2.91120316052141
"Jutai",-1.19266330774206,314,0.877419063691628,-1.32685016305177
"Luna",0.667094511861018,508,0.688245059976523,-0.990099554319393
"Madera1",0.675772882383214,471,1.88058002037359,-0.19257867214357
"Madera2",0.0796413525924681,353,0.608357096508351,-1.03600080417585
"Madera3",-0.275978556150528,455,-1.77518065273737,-0.590942688465957
"Madera4",1.07523410565059,647,-2.5083588814884,-0.0305649173053444
"Madera6",-1.25737997532848,344,-2.94701144714532,-1.3910279673791
"Madre_Dios",0.0140368208257799,581,-4.08717099645452,0.00585386767056339
"Mamore1",-0.075418901289615,502,-1.45515897102693,-0.393059474279552
"Mamore2",-1.3782772676678,397,-3.00567383865671,-1.33293854475792
"Mantaro",-2.27973011548118,7,-1.88489813570837,-1.88241231607867
"Maranon1",-0.282471221776388,255,-2.27480338438345,0.606940164868956
"Maranon3",-0.631387899695503,288,-3.58771545259294,0.224573587211795
"Maranon5",-3.35681678318368,227,-3.76340259554693,-2.52337551735576
"Marmelos",0.799244150310102,209,0.375904044454102,-0.0124167771644979
"Maues",1.54878198159482,191,1.10259987122272,0.639120864793992
"Napo1",-0.941409514738636,266,-3.9926097014553,-1.14837948684146
"Napo2",0.0562251222828289,500,-5.57771426645932,-0.249656478580828
"Negro1",-1.26202961822117,788,1.36451405039623,-2.39336360566344
"Negro2",-1.07771180613766,407,1.17599928391588,-2.42486356013277
"Negro3",-1.81072842723561,613,-0.325190181963753,-2.91220252445216
"Negro5",-2.50704038149042,499,-3.94915322969233,-2.34238061414848
"Nhamunda",-2.36978840881986,229,1.02977518885783,-2.16326900164287
"Orthon",-0.215042403574998,378,-3.91399662702734,0.298212233949327
"Pachitea",-2.42803445298173,226,-4.11176535247089,-1.43520039040665
"Paru_Este",-0.188916144036624,21,-0.916906950378932,-0.653264856557282
"Pastaza",-1.060764113159,334,-5.56786215215407,0.0115151685203441
"Purus1",-0.0496030906783009,614,-0.250800316664782,-1.6293923808907
"Purus2",0.845998799278902,259,-0.906561563235155,0.0481631762062782
"Purus3",-0.510511320443391,417,-2.54184971030988,-1.3156613979719
"Putumayo",-0.591030917569095,690,-2.54414619735976,-0.862843867351242
"Roosevelt",-0.119679824576882,151,-2.53137021540371,-0.104418793732832
"Santiago",-3.25243463780578,205,-3.85318219225181,-2.81944952433014
"Solimoes1",-0.0424358590619831,596,1.77780614893492,-0.969535300623703
"Solimoes2",-0.61968512082707,301,0.393632231167826,-1.74915453260575
"Solimoes3",1.05430927839812,343,0.324393320232727,-0.343450279727327
"Solimoes4",-0.328850871820545,414,1.59016676385128,-1.21939098637152
"Solimoes7",-0.210438177005296,327,-2.37587351801892,0.246477724342664
"Solimoes8",-1.21753968186831,698,-3.62759475161955,-1.19342567087509
"Solimoes9",-0.303682701859434,657,-2.40960337607605,-0.34132888851447
"Tapajos1",0.0658178043905133,670,0.161409389030635,-1.11754020072733
"Tapajos2",0.162637461715699,363,-2.74533621298519,0.416907329073881
"Tapaua",0.351741856539506,108,-1.70096789834973,0.243541468327859
"Tefe",0.0658886183429899,524,-0.604422048360934,-0.345496511124741
"Teles_Pires",-1.81133227478227,441,-4.13093935664385,-1.7295441113147
"Tigre",-2.00346425831676,276,-4.59973282152269,-1.31548543829339
"Trombetas1",-0.199813843253173,482,2.62162290081952,-1.23250489399629
"Uatuma1",0.566693894289053,375,0.234217229149171,-0.904797284502805
"Uaupes",-1.86974536632123,310,-2.49863450651014,-2.06725487268111
