"","PD","mpd.result","mntd.result"
"Abuna",0.79329,0.99428,0.87256
"Amazon1",0.25046,0.14799,0.882025
"Amazon2",0.50316,0.073115,0.84763
"Amazon5",0.68149,0.08286,0.93984
"Amazon8",0.752895,0.343365,0.90313
"Amazon9",0.860975,0.01566,0.972595
"Andira1",0.438085,0.15767,0.881995
"Apaporis",0.727585,0.89408,0.76613
"Apurimac1",0.99989,1,0.985965
"Arinos",0.902565,1,0.909815
"Aripuana",0.155695,0.905835,0.36523
"Bacaja",0.44809,0.999255,0.471005
"Beni",0.327435,0.998505,0.313795
"Blanco_Baures",0.942395,0.99271,0.96348
"Branco",0.559275,0.416395,0.92057
"Candeias",0.82598,0.999995,0.895245
"Canuma",0.250065,0.656475,0.459785
"Caqueta1",0.77815,0.999995,0.769525
"Chapare",0.90396,1,0.77217
"Coari",0.033995,0.063105,0.32439
"Curaray",0.362275,1,0.4331
"Curua",0.34427,0.59974,0.37243
"Curua_Una",0.34693,0.266295,0.71384
"Demini",0.48235,0.622745,0.723535
"Fresco",0.81865,0.983205,0.62099
"Grande",0.8884,0.9994,0.889675
"Guapore",0.878245,0.9982,0.81677
"Huallaga",0.90149,0.998595,0.9125
"Iriri",0.98757,0.999905,0.937195
"Isiboro",0.784785,0.99991,0.74881
"Itonamas",0.63706,0.871105,0.81062
"Jamanxim",0.881905,0.999995,0.679465
"Japura1",0.803205,0.93766,0.966575
"Jari",0.16608,0.27072,0.51595
"Jatapu",0.58242,0.82778,0.792955
"Javary1",0.40726,0.9979,0.62466
"Jiparana",0.552315,0.999985,0.736615
"Jurua1",0.500215,0.917745,0.73477
"Juruena1",0.9752,0.99515,0.99531
"Jutai",0.8649,0.191985,0.887615
"Luna",0.280055,0.249615,0.80509
"Madera1",0.27813,0.02766,0.56658
"Madera2",0.47491,0.276015,0.81609
"Madera3",0.59971,0.95941,0.697245
"Madera4",0.176005,0.99277,0.512955
"Madera6",0.87318,0.99757,0.890045
"Madre_Dios",0.49592,0.999955,0.501015
"Mamore1",0.53223,0.925175,0.63669
"Mamore2",0.89023,0.997925,0.87498
"Mantaro",0.982235,0.971585,0.963155
"Maranon1",0.60455,0.986025,0.29314
"Maranon3",0.717935,0.999725,0.424445
"Maranon5",0.998765,0.999775,0.987645
"Marmelos",0.23018,0.3613,0.504355
"Maues",0.07562,0.13467,0.285515
"Napo1",0.812795,0.999935,0.853815
"Napo2",0.481145,1,0.58421
"Negro1",0.86242,0.085675,0.97706
"Negro2",0.834345,0.11858,0.983615
"Negro3",0.952325,0.63381,0.995375
"Negro5",0.98847,0.99992,0.981885
"Nhamunda",0.98608,0.152445,0.97435
"Orthon",0.579775,0.999905,0.397915
"Pachitea",0.98665,0.999915,0.897005
"Paru_Este",0.575855,0.81467,0.73656
"Pastaza",0.83665,1,0.498175
"Purus1",0.518175,0.60597,0.91717
"Purus2",0.216905,0.818365,0.48524
"Purus3",0.67645,0.99288,0.87186
"Putumayo",0.694945,0.993335,0.76871
"Roosevelt",0.5431,0.991675,0.53575
"Santiago",0.99888,0.999845,0.995225
"Solimoes1",0.521005,0.035625,0.79721
"Solimoes2",0.711125,0.35383,0.935425
"Solimoes3",0.17183,0.38035,0.61711
"Solimoes4",0.617635,0.053065,0.85387
"Solimoes7",0.574305,0.98912,0.41254
"Solimoes8",0.85621,0.999745,0.852385
"Solimoes9",0.607865,0.990615,0.618935
"Tapajos1",0.4785,0.44203,0.83522
"Tapajos2",0.44469,0.995885,0.360915
"Tapaua",0.36958,0.948795,0.41161
"Tefe",0.47708,0.73273,0.61716
"Teles_Pires",0.94733,0.999975,0.93464
"Tigre",0.967545,0.99999,0.880805
"Trombetas1",0.575895,0.00393,0.859395
"Uatuma1",0.304945,0.415635,0.77968
"Uaupes",0.955345,0.992215,0.9646
"Ucayali1",0.838705,0.999765,0.837045
"Ucayali2",0.99998,0.99974,0.99109
"Unini",0.171735,0.330965,0.47288
"Urubamba",0.999955,1,0.999725
"Xingu1",0.58493,0.76197,0.777115
"Xingu3",0.90278,0.996135,0.915695
"Xingu4",0.65547,0.97988,0.487475
"Xingu6",0.937175,0.999755,0.93292
"Yacuma",0.67347,0.980155,0.44885
