"","PD","SR","mpd.result","mntd.result","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Abuna",8522.80517587748,239,230.938446869633,44.3642066078387,123.571746408764,0,0.272127804160282,1.40205210421073
"Amazon1",7258.55837288196,173,249.276621132968,50.2003970412393,99.9518900017171,0,0.193068695897547,1.66062763428555
"Amazon2",15000.6126773409,567,247.365937675975,30.0296635842071,181.561351345766,0,0.149343574356955,0.794919973834021
"Amazon5",15840.9322987466,632,246.911872160634,27.7437263071135,194.57962827035,0,0.148697764065576,0.750773103712198
"Amazon8",15088.5908967623,587,244.511918369216,29.1414227810311,173.926069191347,0,0.123822796205369,0.753941017279436
"Amazon9",14222.4064659279,540,249.424872492484,29.5676314311817,173.817145033488,0,0.138726518899162,0.812853651511025
"Andira1",9812.66870848865,283,247.677086970208,41.3136546256681,120.798854775176,0,0.195822786012281,1.14577752754195
"Apaporis",7319.48977726347,188,236.571220200253,50.2240725426917,97.6235143221341,0,0.273037200555072,1.44034604229215
"Apurimac1",1377.67342691447,26,171.065534803338,75.2849707221332,57.9314179134405,0,4.06336961604421,5.84534654006918
"Arinos",6044.08419651356,148,210.765588364637,52.4420796205762,107.017073992779,0,0.620080609269569,1.94833198926898
"Aripuana",15280.7840333045,564,239.696897862094,31.9805672756314,168.647380118519,0,0.176340320134593,0.707439906368102
"Bacaja",7331.38512239262,181,224.993276995069,53.7282136323606,93.5042977503446,0,0.336602521809737,1.40100836748991
"Beni",12798.3116544419,428,233.106646764121,37.1520286860761,132.966160753903,0,0.19221836781683,0.83405470774116
"Blanco_Baures",10998.8489369364,366,234.098138649129,35.592873986745,133.583405849223,0,0.199093992401713,1.00725488580201
"Branco",17395.5383606062,734,243.902027078717,25.7439448850341,211.931212799212,0,0.166711352623901,0.732798756058757
"Candeias",13003.3950764926,464,228.631349913298,32.8873883832186,157.330366343569,0,0.195134610044565,0.804495100749681
"Canuma",9717.03118545576,272,241.675615871354,45.2404537678837,120.423426448351,0,0.306505190802174,1.27512654397919
"Caqueta1",13518.4775320665,491,228.946863902991,32.7493346706124,162.684947978195,0,0.256105850592068,0.806410156788954
"Chapare",8432.465815936,241,219.642283610318,45.3504866942112,113.409910933513,0,0.287123212810986,1.29612805897377
"Coari",11110.8459884064,320,249.386034767958,42.7884114700115,132.02396459297,0,0.160564111185317,1.21591344592119
"Curaray",15415.8478585224,586,227.064322886003,31.1091882719975,178.917013283703,0,0.21603207132077,0.759486366765034
"Curua",4205.19700270265,78,241.473034775556,75.1434932826861,64.6753408824371,0,0.673110510279901,2.54060414868294
"Curua_Una",7429.88432922888,182,246.891850726045,51.3722648255752,101.831876343144,0,0.278074086118723,1.62659027970565
"Demini",8309.92170876137,220,241.917273962294,47.5290589488707,114.497393896087,0,0.21959765807767,1.44052576895343
"Fresco",4652.53356473141,99,226.287889588597,65.5610474227796,68.7077993567225,0,0.831650418545679,1.87850900076971
"Grande",6353.05428803775,158,222.928642593503,51.8521850494227,87.4737606640333,0,0.349378337251326,1.4864691747741
"Guapore",16127.7333700083,667,235.991502005381,27.7735718650815,167.811800063893,0,0.180524741401879,0.608508969062838
"Huallaga",8413.1574573283,240,228.637422747087,43.700560555672,122.060966467059,0,0.347633332160577,1.34919371540436
"Iriri",10124.6066962989,333,228.110557242939,37.6174048526578,146.444776492709,0,0.291369296363452,1.18327371943005
"Isiboro",7729.59703680998,206,222.869229006508,48.5905138095921,98.9350403827625,0,0.269403990702221,1.40034693663892
"Itonamas",11046.8270067976,349,239.083970147782,38.2776828090418,125.345260099821,0,0.198541493493951,0.984099173727987
"Jamanxim",9948.69589465806,308,224.443618854252,41.4382841920328,135.570565296338,0,0.353057493519848,1.15587058462853
"Japura1",14545.7978132612,556,239.029457694866,29.2503152927234,171.082239436001,0,0.129528592164356,0.744695857096878
"Jari",8467.18274449086,216,246.50058988523,49.582112951385,110.859363859898,0,0.143752720472403,1.35197885827982
"Jatapu",6805.14686451431,165,237.888006196957,52.3431288008318,113.505210175398,0,0.317155011433397,1.97801430453335
"Javary1",14537.1250360028,533,234.834336466667,32.0278615113249,159.001387905985,0,0.185359084804538,0.761848304149499
"Jiparana",15053.2314633974,573,231.499410099486,30.4376281389955,155.380557222437,0,0.201062465518844,0.680483235365531
"Jurua1",14672.1982928575,546,239.400852592943,31.1969481763067,172.35534586581,0,0.197364771168822,0.745793364044535
"Juruena1",7931.39649130539,228,230.405266518851,41.0074744030061,126.582167516097,0,0.276103047304539,1.45239850567735
"Jutai",10105.5598471816,314,246.905193807498,39.4824214669883,112.128980396748,0,0.200415219508721,0.91216232048643
"Luna",14237.5520464152,508,245.429896443815,32.0091227777308,156.806584655203,0,0.140434611531016,0.777349949197959
"Madera1",13611.6591822209,471,249.265764145399,34.3317847764166,157.951978366578,0,0.135813507901779,0.909242589927689
"Madera2",11253.7355523385,353,245.659236414149,38.0068148067496,140.561937639165,0,0.16520548509928,0.97777965105348
"Madera3",13060.9446493689,455,237.698642222505,34.363850248277,145.212617978041,0,0.208086898965901,0.86113144074636
"Madera4",16521.2665675065,647,237.059246878048,29.2479947666024,174.749065174174,0,0.149397978205967,0.751066316940851
"Madera6",10701.6488214069,344,232.164986369626,37.8048265687144,140.119566955191,0,0.239279229140619,1.01826582283992
"Madre_Dios",15222.8701894454,581,232.263927080113,31.032715649452,176.940119392829,0,0.218558382504735,0.734967182162805
"Mamore1",13924.6524522774,502,239.011131013622,32.9770212577751,156.665011645448,0,0.173837011560719,0.763676245173667
"Mamore2",11695.1306417757,397,232.898478524781,35.5180359919837,137.825057998386,0,0.173078567230108,0.947003599057828
"Mantaro",513.435224283146,7,183.055049583971,103.974351098417,16.4735653929605,0,3.22921575396073,8.37693354039815
"Maranon1",9057.06066748049,255,233.06484424474,47.7014931692651,107.306609564737,0,0.336950830684548,1.1551648395092
"Maranon3",9703.31894039239,288,228.214897733376,44.2953117335738,141.690584290654,0,0.310042447298216,1.13002282482676
"Maranon5",7593.41210497514,227,225.149693588235,42.0835999961809,144.36189474926,0,0.508263991755691,1.45341584362962
"Marmelos",8227.92975213096,209,245.287135323903,50.3589714201228,101.104576728208,0,0.225461751920163,1.45057306986089
"Maues",7951.11546852386,191,249.261413003405,54.2307202812906,105.325475444292,0,0.2796482303976,1.57114620031539
"Napo1",9131.88865055557,266,225.708892824033,42.7818028579665,92.0538268227696,0,0.45758001363764,1.01973477664729
"Napo2",13928.7792512052,500,226.590130080403,33.2320428428201,167.310943555913,0,0.274298149559989,0.861913869968904
"Negro1",17809.7317417206,788,246.338287188348,24.2263880484572,207.630013608073,0,0.122211375614754,0.63627136895737
"Negro2",11966.6232913859,407,247.417866182265,33.387143224052,170.285301706918,0,0.163860119092089,0.975942955205357
"Negro3",15188.7217104467,613,242.527938264765,27.0048176659486,170.826964286798,0,0.187951866032701,0.648921777198638
"Negro5",13178.2012522888,499,231.476696145446,30.5220170580001,158.665688434006,0,0.215488309566344,0.766324355112781
"Nhamunda",7898.2161572507,229,248.343427431896,42.8802098350344,118.225360185758,0,0.195612955383831,1.36617190763693
"Orthon",11661.4269111128,378,229.312505942077,39.0813570632266,139.681795751457,0,0.236237870739203,0.929766116491279
"Pachitea",7811.52852121475,226,223.412193870277,44.9968277016886,118.730830885392,0,0.645960013072276,1.42637507906592
"Paru_Este",1623.88703441254,21,227.555691458967,102.444514615635,24.0813379316154,0,0.678857158801783,3.55899654097298
"Pastaza",10554.4027798089,334,221.813549118982,40.9419323331463,126.93270450941,0,0.342799393154939,1.03732556888608
"Purus1",15709.2345543926,614,242.723657825241,28.3665130679669,183.640816094385,0,0.144491054528214,0.777550482356844
"Purus2",9450.04624007122,259,239.305528389978,46.0586298861055,95.0812007153317,0,0.246413753117387,1.03914327545668
"Purus3",12311.414287105,417,234.78295410476,34.7386683236134,149.12860204719,0,0.224583202173744,0.961487290876003
"Putumayo",16662.8759738609,690,237.265693647724,27.4349754247804,190.299416668193,0,0.218256003573876,0.624701660177569
"Roosevelt",6437.86946285653,151,228.019410959505,57.0813382704041,107.805937636188,0,0.571117240121191,2.21587181855775
"Santiago",7090.55938830848,205,223.617025670413,42.8144872202652,100.637155233937,0,0.415998169992695,1.33304771291845
"Solimoes1",15438.0145996135,596,248.129692243068,29.5321579745233,186.415816877352,0,0.128439576604097,0.755942311119257
"Solimoes2",9987.49093656717,301,245.001312811047,39.343864337085,134.147478977093,0,0.174373234392728,1.16446551571683
"Solimoes3",11323.8315313057,343,244.616448141191,39.7801522504916,147.918370388189,0,0.152380359438877,1.1572441341925
"Solimoes4",12307.5050921971,414,248.782294235887,35.0061645686999,150.655239378061,0,0.132089112372137,0.946871984485419
"Solimoes7",10645.9462561471,327,234.060341270573,41.798104496804,140.895393268787,0,0.254538571137951,1.01479352567942
"Solimoes8",16597.389011496,698,234.737124265599,26.9513272230083,190.347467535159,0,0.194551201808166,0.612338987350963
"Solimoes9",16272.2174934308,657,237.375519836675,28.692219225959,175.954352358768,0,0.165547112513315,0.677310475445742
"Tapajos1",16565.6084439411,670,243.776231975223,27.6206753178747,187.398098455544,0,0.154475445862266,0.652224409203474
"Tapajos2",11475.0174930884,363,233.266126109158,40.065552054208,161.653650661572,0,0.236184776481749,1.03659727271068
"Tapaua",5231.3650287093,108,231.019735922619,66.286780550155,78.6606420877473,0,0.646313266153517,2.25104777171145
"Tefe",14329.5872514807,524,241.616252133005,32.3235013667463,175.551137089781,0,0.137368736865639,0.800577558296214
"Teles_Pires",12375.9942251421,441,229.893166556209,33.2239781279563,154.503967788728,0,0.281778565200025,0.854318215932014
"Tigre",9069.25026105847,276,223.450466589351,41.7510611072464,124.579052306454,0,0.579559994356547,1.17896801200991
"Trombetas1",13550.7597923069,482,251.463012429402,32.5258337944453,170.572379250748,0,0.133643179535486,0.820688411777607
"Uatuma1",11822.7055810333,375,244.225617529594,37.190315235025,153.177256123626,0,0.19347452678676,1.10462782501733
"Uaupes",9835.89374366489,310,233.264050819919,38.2197198856176,138.407594559129,0,0.261824433089941,1.24893009297177
"Ucayali1",14988.5940942647,587,233.43508332874,29.5680245991647,164.158908365039,0,0.239147091435218,0.755861392307456
"Ucayali2",4954.75695290231,133,219.097355536495,50.2305608499537,91.267710791255,0,1.02908789341329,1.7331233503948
"Unini",9687.25189243003,267,245.381713960563,45.5290584185189,132.193023150725,0,0.205516033561407,1.40043899000457
"Urubamba",7596.6575204454,237,218.417151257558,38.3541242314299,122.726258563089,0,0.515892777843771,1.31570026991895
"Xingu1",15926.0559411435,632,241.579094131623,28.7221413441476,195.890581973636,0,0.149175857690931,0.749642185951424
"Xingu3",8028.07532418373,224,229.853740540186,44.8736121165949,112.540785544956,0,0.27322478394873,1.38382183544949
"Xingu4",6248.23887208299,147,230.154795571362,58.1787045090786,96.8344670882888,0,0.47026566077297,1.98213409900162
"Xingu6",8473.21630428096,246,226.210381005209,42.89235963374,133.058776765018,0,0.399100226000501,1.32777390539879
"Yacuma",8414.60558642028,230,233.188100679934,48.7558488403076,107.965406515578,0,0.318076683921808,1.26592689851887
