"","PD","SR","mpd.result","mntd.result","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Abuna",0.8675,232,0.999133333333333,0.81805,0.0959486570054255,0,0.00128620410031003,0.1366523058481
"Amazon1",0.5446,166,0.40435,0.924983333333333,0.145298199503298,0,0.0240683825180887,0.0787854974063835
"Amazon2",0.6886,542,0.666883333333333,0.847433333333333,0.170483026726404,0,0.0288574566765011,0.140888319311853
"Amazon5",0.764316666666667,608,0.5743,0.91125,0.155542224356604,0,0.0311112734483499,0.101021820658501
"Amazon8",0.869216666666667,566,0.837083333333333,0.908516666666667,0.102457035697217,0,0.0204678376813245,0.0960282807085879
"Amazon9",0.9287,525,0.0712166666666667,0.97545,0.0620350630370899,0,0.0120763912485985,0.0311172928562653
"Andira1",0.569383333333333,273,0.419166666666667,0.791566666666667,0.154185644477568,0,0.0215498013771343,0.140553423547531
"Apaporis",0.747383333333333,185,0.900383333333333,0.794083333333333,0.123032040528608,0,0.0144887723085103,0.125436918787242
"Apurimac1",0.999866666666667,26,1,0.980266666666667,0.000512470743190543,0,0,0.0250125894227213
"Arinos",0.839283333333333,147,1,0.887233333333333,0.111471701501727,0,0,0.0943366050996558
"Aripuana",0.403583333333333,543,0.997466666666667,0.560516666666667,0.172556920617442,0,0.00187247772737252,0.181283411719767
"Bacaja",0.281016666666667,178,0.99955,0.297033333333333,0.132223260966975,0,0.000815637020124209,0.152820578026856
"Beni",0.245983333333333,424,0.996133333333333,0.276016666666667,0.136030814286564,0,0.00237929716395164,0.159369882787944
"Blanco_Baures",0.966566666666667,358,0.99775,0.964583333333333,0.0393157096852945,0,0.00174681046520416,0.0533345827926033
"Branco",0.773133333333333,706,0.9457,0.942966666666667,0.164894837759224,0,0.0116995208397091,0.0778483013603467
"Candeias",0.906833333333333,456,1,0.928916666666667,0.0866768642019241,0,0,0.0673780958489068
"Canuma",0.394516666666667,266,0.752616666666667,0.513416666666667,0.149265371853514,0,0.0255448539296971,0.192640022245106
"Caqueta1",0.8787,482,1,0.852366666666667,0.084581753066129,0,0,0.114626015619449
"Chapare",0.929116666666667,237,1,0.7667,0.0612250796781328,0,0,0.150043386916423
"Coari",0.135666666666667,307,0.3397,0.41765,0.0999494821892489,0,0.0234728632391103,0.201784142954603
"Curaray",0.488316666666667,576,1,0.464583333333333,0.213866454943135,0,0,0.226745922839045
"Curua",0.286516666666667,77,0.57085,0.356233333333333,0.124584628609417,0,0.0372508520982091,0.162922010082272
"Curua_Una",0.616966666666667,176,0.47105,0.842166666666667,0.154490833088625,0,0.0259236284455805,0.12646614910199
"Demini",0.324,218,0.5166,0.7132,0.148446122896215,0,0.0222385293702661,0.158821890232611
"Fresco",0.637833333333333,99,0.96455,0.442416666666667,0.137895742103358,0,0.00972937687679815,0.155768320401977
"Grande",0.911283333333333,155,0.999683333333333,0.840516666666667,0.0615392965253505,0,0.000774705331186231,0.102579714971729
"Guapore",0.881166666666667,656,0.998683333333333,0.810633333333333,0.094299205019661,0,0.00144667659696509,0.145806087883012
"Huallaga",0.936433333333333,237,0.998266666666667,0.956166666666667,0.0599504190954443,0,0.00177145339708588,0.0473930362792526
"Iriri",0.998233333333333,324,0.999983333333333,0.9708,0.00629351295183954,0,0.000166666666666671,0.0555992151677767
"Isiboro",0.846,202,1,0.7482,0.100590568155249,0,0,0.161137176574877
"Itonamas",0.6278,342,0.91415,0.76185,0.160412081573373,0,0.0142123841446534,0.156892682981279
"Jamanxim",0.96675,301,1,0.82905,0.0368303470916462,0,0,0.12441924686277
"Japura1",0.889183333333333,540,0.992733333333333,0.966983333333333,0.102255016423833,0,0.00381620385943221,0.0485263734742142
"Jari",0.32065,207,0.647083333333333,0.575283333333333,0.125003231159136,0,0.020737489974926,0.158685688918581
"Jatapu",0.515783333333333,163,0.80445,0.697916666666667,0.169528204997169,0,0.0195301933215842,0.183308289535268
"Javary1",0.532483333333333,520,0.9997,0.593283333333333,0.185626233288424,0,0.000725516960317403,0.201524416953647
"Jiparana",0.7532,556,1,0.813833333333333,0.143367328205758,0,0,0.141267212631802
"Jurua1",0.63535,532,0.980733333333333,0.736133333333333,0.195401008576306,0,0.00663003403390092,0.180079618256302
"Juruena1",0.94325,226,0.991183333333333,0.99235,0.0546652782734097,0,0.00412552074732247,0.0134592017680636
"Jutai",0.966533333333333,298,0.770983333333333,0.927866666666667,0.0294712856504431,0,0.0250488803847546,0.0607524276348207
"Luna",0.45065,491,0.658533333333333,0.858116666666667,0.185520908729333,0,0.0275294760914924,0.11899496235647
"Madera1",0.455166666666667,453,0.262133333333333,0.5589,0.181579999714441,0,0.0227883444325231,0.220077812481351
"Madera2",0.7066,342,0.557833333333333,0.823566666666667,0.162686639773962,0,0.0291956325623935,0.141245863441709
"Madera3",0.7625,444,0.9883,0.744216666666667,0.154836813557927,0,0.004702006639957,0.186047472158977
"Madera4",0.365566666666667,629,0.999783333333333,0.639566666666667,0.185145955103961,0,0.000611111111111119,0.218147570497655
"Madera6",0.879766666666667,335,0.999683333333333,0.7934,0.0935882221814725,0,0.000698523374413188,0.154190060105187
"Madre_Dios",0.459066666666667,570,0.999966666666667,0.400633333333333,0.198522929495193,0,0.000234508823560488,0.213383409000823
"Mamore1",0.496866666666667,493,0.944133333333333,0.549983333333333,0.191653165971596,0,0.011089575088584,0.208829711018966
"Mamore2",0.8873,390,0.998983333333333,0.806583333333333,0.0993609716820578,0,0.00135866095695711,0.163263465954193
"Mantaro",0.980516666666667,7,0.96865,0.95925,0.00928019686601819,0,0.0102759212082368,0.0155670502263505
"Maranon1",0.554383333333333,252,0.982616666666667,0.237783333333333,0.160042021523095,0,0.00558705715308821,0.146352213986398
"Maranon3",0.863116666666667,282,0.999966666666667,0.55705,0.11166997206023,0,0.000234508823560488,0.187524462302497
"Maranon5",0.997466666666667,226,0.999333333333333,0.986833333333333,0.00435181245057025,0,0.00108556491213155,0.0224439693919123
"Marmelos",0.352666666666667,202,0.607716666666667,0.537783333333333,0.141690134716904,0,0.0239113765427797,0.192462781540585
"Maues",0.156816666666667,187,0.165333333333333,0.4437,0.0911594768768826,0,0.0195917937881753,0.176539497461222
"Napo1",0.852133333333333,259,1,0.87875,0.0844627438970685,0,0,0.0893097282120536
"Napo2",0.676566666666667,492,1,0.749033333333333,0.168788317344031,0,0,0.174413105980021
"Negro1",0.966366666666667,761,0.56965,0.989166666666667,0.0378893035908464,0,0.0297777919116505,0.0169098421324021
"Negro2",0.924816666666667,393,0.417883333333333,0.98765,0.0735846226402864,0,0.0285005513168563,0.0231050582108561
"Negro3",0.961383333333333,601,0.721483333333333,0.998266666666667,0.0335598824891027,0,0.0272380854625155,0.00337449335266872
"Negro5",0.991933333333333,489,1,0.989216666666667,0.00952791397847109,0,0,0.0148154661052126
"Nhamunda",0.996583333333333,224,0.1945,0.9815,0.00469839502648679,0,0.0207281858345351,0.0286719711637561
"Orthon",0.579566666666667,373,0.99995,0.37025,0.176228989004808,0,0.000285744346662949,0.190802454384965
"Pachitea",0.996566666666667,222,1,0.942716666666667,0.00556473988307899,0,0,0.0653745382156813
"Paru_Este",0.489766666666667,21,0.775316666666667,0.68035,0.0928592517119716,0,0.0216397073923594,0.0963108204211282
"Pastaza",0.758633333333333,332,1,0.559933333333333,0.132585524988922,0,0,0.190874430609188
"Purus1",0.7362,595,0.9127,0.943766666666667,0.16125961111614,0,0.0150378870569654,0.0708472931381687
"Purus2",0.25145,256,0.77585,0.6648,0.120762786790471,0,0.0202724083108184,0.164116735984795
"Purus3",0.866716666666667,405,0.999483333333333,0.905133333333333,0.0984508100981332,0,0.000938483864584419,0.0965550499225407
"Putumayo",0.828533333333333,671,0.999766666666667,0.809766666666667,0.132930426601656,0,0.000627645914460857,0.152832959731358
"Roosevelt",0.2575,151,0.976516666666667,0.345633333333333,0.142804894646173,0,0.00729410613353806,0.202796218893022
"Santiago",0.9894,205,0.999033333333333,0.982516666666667,0.0121358749696699,0,0.00111564730597783,0.0201363129665728
"Solimoes1",0.694266666666667,573,0.399583333333333,0.8038,0.19002337856051,0,0.0306919590839852,0.156131344172132
"Solimoes2",0.8592,292,0.607733333333333,0.958466666666667,0.109538999302192,0,0.0250123650678034,0.0500194574935207
"Solimoes3",0.306016666666667,332,0.682033333333333,0.623066666666667,0.158967080957923,0,0.0255474075723944,0.200800127883487
"Solimoes4",0.8065,400,0.252683333333333,0.866183333333333,0.131855977785103,0,0.0219591690785825,0.127099494197911
"Solimoes7",0.574166666666667,324,0.980983333333333,0.572816666666667,0.181930429717006,0,0.00571535333541129,0.187890662232013
