"","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Abuna",0.438352367211461,0,0.0443327954831692,0.550452655927794
"Amazon1",0.37831119071505,0,0.0325976711070124,0.487842283475789
"Amazon2",0.529140039906813,0,0.0456822851353071,0.624402542651433
"Amazon5",0.548478583426106,0,0.0501250985528066,0.643424906826524
"Amazon8",0.5415548154494,0,0.0473113976198228,0.628421328246285
"Amazon9",0.49957849742249,0,0.0462528528110333,0.608426350172287
"Andira1",0.425475336222364,0,0.0392649029933363,0.506235923768149
"Apaporis",0.38161418687828,0,0.0456257495725233,0.455717404599706
"Apurimac1",0.448791149624831,0,0.260117567015913,0.473395772662501
"Arinos",0.430903542240626,0,0.0878089626827217,0.513257260801784
"Aripuana",0.510447491352748,0,0.0489469260717907,0.542742692548021
"Bacaja",0.393531031760847,0,0.0541845827362809,0.464059039901451
"Beni",0.457315576749649,0,0.0507502877219939,0.53668881459629
"Blanco_Baures",0.480185871948629,0,0.0468174081702801,0.584551367736866
"Branco",0.615088317889549,0,0.0534765746614971,0.73457325325602
"Candeias",0.48179567585207,0,0.051146995206566,0.543018176391957
"Canuma",0.412121913508683,0,0.0568525640899817,0.545340794716872
"Caqueta1",0.47810445579148,0,0.0525500233779954,0.562281159641254
"Chapare",0.412699896584149,0,0.0506831889639196,0.510984752429517
"Coari",0.456518768696702,0,0.0368061555382303,0.592491231384869
"Curaray",0.602951303022962,0,0.0498597633974053,0.660057691255988
"Curua",0.336993422240099,0,0.0742038418259057,0.43622951927662
"Curua_Una",0.416195758688391,0,0.04262226209445,0.523156778805047
"Demini",0.40856392998142,0,0.0422861373367252,0.506984227212393
"Fresco",0.353185518601435,0,0.102990696091089,0.398301730827961
"Grande",0.362582264130815,0,0.0563006241323517,0.423132015248855
"Guapore",0.508083069345476,0,0.0567006017379283,0.575142386175617
"Huallaga",0.415843864338401,0,0.0593059279750455,0.530389046283474
"Iriri",0.517632327730227,0,0.0594037760588864,0.629151320026254
"Isiboro",0.414351137487417,0,0.0485333373687682,0.513234665052753
"Itonamas",0.448472131890966,0,0.0479097508838868,0.539562416427568
"Jamanxim",0.459286862970349,0,0.0692315600194538,0.535230481863211
"Japura1",0.561125575254303,0,0.0514374398080783,0.583039192114697
"Jari",0.377647111810569,0,0.0342139432152132,0.449386358962265
"Jatapu",0.443854736574264,0,0.0473564578507969,0.571624876206045
"Javary1",0.510304700563995,0,0.0503319620587908,0.573357036990744
"Jiparana",0.492024239820268,0,0.0574134111918756,0.554486623215465
"Jurua1",0.574735672161874,0,0.0555706673893793,0.614784217630469
"Juruena1",0.46260636789022,0,0.0520951260888824,0.529993780511998
"Jutai",0.419553200099534,0,0.0450629994514415,0.455436015430648
"Luna",0.518421385376826,0,0.0443477306677481,0.577176689187205
"Madera1",0.517953861623436,0,0.0419214384461335,0.631948494667725
"Madera2",0.530143407968511,0,0.0447208180570735,0.587277577434531
"Madera3",0.540349780222792,0,0.054220454248874,0.608153564357256
"Madera4",0.568477912445818,0,0.0514455593927381,0.696056288902041
"Madera6",0.463591536064093,0,0.0499452522588842,0.544396788342059
"Madre_Dios",0.558362606030295,0,0.0598722610104853,0.625788687681941
"Mamore1",0.52751421120306,0,0.0459635467825338,0.587476875698788
"Mamore2",0.505166058732645,0,0.0467593053629241,0.597701965308824
"Mantaro",0.169336481651082,0,0.0988971247464103,0.284333151316945
"Maranon1",0.407948297012661,0,0.0638129775246267,0.49738315069343
"Maranon3",0.472607463181214,0,0.0572681113606353,0.511844358981617
"Maranon5",0.486873104630416,0,0.0872802535368408,0.526878564791459
"Marmelos",0.394750870239839,0,0.0436208199816738,0.527896051165451
"Maues",0.408033797352267,0,0.0457935331424318,0.509168596218527
"Napo1",0.363287659539602,0,0.0849159015983941,0.450691000304089
"Napo2",0.518312411294613,0,0.0555810187037346,0.638963190322329
"Negro1",0.572512725191762,0,0.0527412496524203,0.680640741194643
"Negro2",0.486346081946147,0,0.0452486674243647,0.550463520686412
"Negro3",0.413847078945899,0,0.0550462379860249,0.536336420703916
"Negro5",0.474505000702083,0,0.0536727418935293,0.547016734701111
"Nhamunda",0.425460115648937,0,0.04063366540976,0.500506805775433
"Orthon",0.469833447876263,0,0.0561107192347794,0.536710937989353
"Pachitea",0.431298250943777,0,0.113400270955482,0.534707070550113
"Paru_Este",0.210564696462725,0,0.0413197442834033,0.258622401176601
"Pastaza",0.418165156368798,0,0.0610214476505896,0.53149030000041
"Purus1",0.573662257674512,0,0.049859773081035,0.639198983675674
"Purus2",0.387260339352296,0,0.0487104371973628,0.46203911849815
"Purus3",0.511225828824156,0,0.0463592711041522,0.611242645645968
