"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.409355242256211,0.147686051144744,0.114623140707565,0.135174212048255,0.163782980361854,0.347792094148906,0.350062287884244,0.337099695688644,0.367474678674681,0.108235830290755,0.368559297481479,0.149612702071903,0.208244580908249,0.118547673582239,0.137660489509194,0.336446566348073,0.191434388067609,0.357227617465856,0.271442805423202,0.137783357198969,0.377137341197219,0.395974171228317,0.477903011021921,0.319395978759821,0.34513054093991,0.0560149672067172,0.435795124553389,0.337658107645518,0.346551701610551,0.22603181603153,0.332468910264902,0.129638555425379,0.412887248323405,0.435862814038934,0.117054861761207,0.0754195680816296,0.124966344926837,0.406997629926132,0.329432823869261,0.144782323102871,0.161165332625693,0.246188501869592,0.155073097144242,0.0303812374095777,0.164546993533178,0.088195364254785,0.0883870029052919,0.205689116639454,0.320039760481249,0.357804799717617,0.378099338736414,0.478553087653163,0.409767510081412,0.389139381957561,0.346765654111687,0.170621417512465,0.101474777798177,0.324088214052543,0.19192243743931,0.268518380808695,0.437582449328426,0.192487457738276,0.411849790345383,0.200089136274332,0.315922078112169,0.107335766923302,0.338249238904534,0.193313952813605,0.0941809491871799,0.334355606490667,0.452440652658856,0.124970359163626,0.326122610458738,0.280426793652111,0.218013438812457,0.279253056942763,0.0886697496415276,0.0967530174948219,0.113551189264375,0.251712686788327,0.419120118973136,0.154662648572589,0.217234759740141,0.40043149142904,0.190073830865995,0.260477215173427,0.376277781058317,0.124668918546163,0.400889033257881,0.359329758878145,0.427942505290333,0.139760407858523,0.437928748954392,0.406750147135431,0.426232727019767,0.370849822428501
"Amazon1",0.409355242256211,0,0.0677384738896031,0.0652739889296245,0.101000546621625,0.106856794790403,0.321196515401721,0.442816752771596,0.41060354901972,0.386971572521356,0.124226446339036,0.421390749787463,0.255017744469438,0.313677496745838,0.0873728386981337,0.180508953699919,0.307274713054455,0.197732538342814,0.430964116450887,0.234629186248403,0.170401742265475,0.340114235896221,0.355585933974902,0.390248108210759,0.380388917970575,0.478513213901544,0.168773285593792,0.453936469545503,0.314739080315673,0.465715858853815,0.309380006199983,0.325388795251578,0.115150893868869,0.279946785774879,0.408651888924041,0.163887023731213,0.140144848593034,0.133861161015376,0.406904051509183,0.244646877610064,0.110555433749417,0.142518071472647,0.232973556823005,0.165751881804505,0.115127285830903,0.297530192184698,0.188039477367392,0.180465829052179,0.280108317576366,0.371774994461286,0.385466220116792,0.408593358350217,0.535718896633396,0.381730588218193,0.368675978188772,0.360074063825625,0.229348303204627,0.0577508641927439,0.25324557825171,0.164358221716722,0.235633789854425,0.379620089583124,0.275030537600445,0.516552827013934,0.309314699216461,0.362082158111407,0.090655028163194,0.283062610498621,0.256658793019734,0.11135518543998,0.393961981780714,0.526319428900873,0.102353556060897,0.234384307441816,0.241726316693935,0.178598197677408,0.240367438080792,0.127459238108609,0.120285415986507,0.0638223951890737,0.240387720418126,0.385659718091769,0.126849762882847,0.264804793746881,0.441475144729504,0.136504384307281,0.219911942984453,0.325430435458471,0.167209607677145,0.502627139552359,0.341819551887253,0.55049040230371,0.0614212240984979,0.392284727673694,0.416280453709939,0.394094545791068,0.430133611845849
"Amazon2",0.147686051144744,0.0677384738896031,0,0.106740222605204,0.180259343732558,0.164040765340658,0.120242793793957,0.146836401990446,0.313007890541884,0.173315650368959,0.215346796302064,0.134920941269767,0.254088813944704,0.179672728972217,0.159290204309278,0.196023454969533,0.125562735940399,0.265580842989185,0.226205554109488,0.135496980017527,0.2767594387368,0.0575738395214755,0.0833142472604448,0.188063566179381,0.101211457499288,0.198221440042501,0.223290321180596,0.236273614263539,0.192519604152096,0.199457762416116,0.214560857257161,0.175903001270525,0.196651502188029,0.0838255774460574,0.125817675942498,0.231172362563937,0.232331283506281,0.22948594979037,0.209380913431139,0.12572870374928,0.166552045130764,0.168544249375012,0.150226354032835,0.192082717314423,0.17573819861373,0.172362970810045,0.283357522400516,0.21860602641599,0.21376537643244,0.30555203047121,0.177903610679899,0.285212572640851,0.310725910445533,0.179877597042911,0.103681852307202,0.174511745391501,0.277386899740981,0.103716084165186,0.205372160820237,0.278463833167273,0.272799080338044,0.117751719269833,0.223640818341761,0.279390441527718,0.0588518218497254,0.259238050072906,0.164392687128905,0.147149938593244,0.243024476935072,0.183472222692098,0.146689303065382,0.263070304302936,0.15161746482592,0.100107727162464,0.131711266562936,0.156427488048561,0.150968675758154,0.207193942030256,0.213002283417681,0.10421251975698,0.169052404166905,0.16296826237223,0.179411218076747,0.232245316052516,0.24284209683773,0.155372332330755,0.143899326741292,0.228898029132831,0.268960623904696,0.295143979339683,0.170772398273348,0.286744320707435,0.17094960561346,0.165448672726789,0.183928079232705,0.215362552697132,0.204355913273515
"Amazon5",0.114623140707565,0.0652739889296245,0.106740222605204,0,0.134270983412792,0.138533012851692,0.0691806691259969,0.0928905326765487,0.267359587136642,0.140073123532417,0.18681457815686,0.130431937571219,0.23318862901571,0.156112866565974,0.157554343834561,0.152494226667324,0.111382969738476,0.224173417643955,0.210955472756477,0.116687095183974,0.272703435253254,0.0861656917962258,0.065076764348001,0.138675767531202,0.100430056895918,0.188346611718712,0.230108900340955,0.230573044335813,0.173470129826842,0.178537318585982,0.196172924297872,0.148682728659014,0.160825305109179,0.107211181722431,0.0923873164781772,0.192747511593186,0.202717743614884,0.202714283418609,0.164897942870695,0.0799066309464057,0.135083246751931,0.140774227012816,0.108290876642816,0.160423814744023,0.179766121853456,0.148086031071687,0.281516392946615,0.185909190541666,0.199032395924479,0.284843251432256,0.155016688946434,0.26686420884333,0.294257412999143,0.122710709655821,0.0571474782965662,0.156752412944092,0.256078753866268,0.110235194761019,0.15696776695795,0.23797217309354,0.22359521385657,0.0487872228198546,0.196153977972433,0.2673948170732,0.0423132672929311,0.238911912660214,0.173000765402353,0.123094147593635,0.233530170367679,0.198897460483195,0.0980960083032072,0.243427656943388,0.157330655732803,0.0857848107487369,0.0995421589254891,0.122483341759001,0.122106959775886,0.216737480437559,0.223439417435283,0.114623709551922,0.14085516927091,0.12302774092758,0.139461008874056,0.196397590373106,0.220147860486264,0.0827559976910044,0.103384456273697,0.172404115698696,0.251230411943104,0.270181988512662,0.120285764041008,0.275607807790419,0.185130704578134,0.153283506809944,0.163849484952604,0.176333263863102,0.177058565114472
"Amazon8",0.135174212048255,0.101000546621625,0.180259343732558,0.134270983412792,0,0.119768938843375,0.0794870109143472,0.116694432143061,0.286017096569814,0.194396718742812,0.182313047363393,0.159102935765212,0.264899106220987,0.183916442934802,0.131358452656936,0.167544295728326,0.0874645215278184,0.248262781361488,0.245086091699389,0.0991302779752851,0.274497005974219,0.106258431046602,0.0999075627654449,0.113441184637435,0.155539918742984,0.220349856932883,0.229655081154381,0.256943385200389,0.205003330472604,0.223756537955381,0.220977394404414,0.186137597594199,0.169634573741844,0.129601856301656,0.0402710409106514,0.202693793903947,0.20655664371081,0.213567200855563,0.225377298397904,0.0958545093115512,0.137867118518089,0.137654585096565,0.109671970070235,0.17219383830402,0.159822138175897,0.162976331091745,0.302222436621714,0.210398341236723,0.228548559508727,0.277398142756861,0.175165978177444,0.290183358875056,0.312798549723681,0.091667028556041,0.0534126613476344,0.178343421598555,0.280493347363266,0.0674302004035139,0.156598729421582,0.217742697331706,0.229344651795387,0.0653913055104943,0.22527384634056,0.285327775633838,0.0251483003371519,0.259399728064073,0.134335990278777,0.128031592356739,0.247669562063977,0.184615586828885,0.111018816916298,0.272583487479613,0.148895646412977,0.0838409530285977,0.0784304504591899,0.11240128302035,0.126357598201241,0.201368064414952,0.213552196705969,0.131927369423213,0.178333717091342,0.0929926254659052,0.149098701632088,0.238170071603382,0.255495872371424,0.14320811500203,0.0781972696487401,0.189698381617889,0.270098000386131,0.284633620064518,0.0963541717528926,0.29125354730164,0.18221778569167,0.17253456946745,0.200230584850136,0.22593389427888,0.22323458866969
"Amazon9",0.163782980361854,0.106856794790403,0.164040765340658,0.138533012851692,0.119768938843375,0,0.100607284051659,0.137273872133374,0.314443475760555,0.243184330332179,0.194729006070404,0.220463196744484,0.282566603849714,0.222839365021297,0.11950470480359,0.199178252876469,0.1227377811293,0.275967312497596,0.249467029155993,0.133377896820492,0.254931125107347,0.134127588589719,0.119571746719957,0.141734063020775,0.186338504263193,0.235100295463547,0.226700061204769,0.25719669908807,0.260844612212451,0.237418057191297,0.239892954015176,0.237046055807231,0.182951019457414,0.179282687207353,0.0917035791196034,0.215915266516917,0.215638785781482,0.212530010238601,0.28078837499157,0.135608488663661,0.156785052658109,0.169877949010475,0.108688896229509,0.185478189054344,0.141245247582413,0.191128508691512,0.282893192226202,0.242200851653419,0.258066513052605,0.332411299726354,0.176067462318432,0.298933050743528,0.325045892004927,0.138573753261002,0.0889250796553536,0.203092737796327,0.300114992164746,0.0486831483720416,0.191456643527536,0.221177525681321,0.27551628811008,0.112956765155302,0.242566773638093,0.299285049165754,0.0576225632164774,0.267410713496562,0.125749325576368,0.126738807496913,0.265951004838116,0.168740910918717,0.141031689852659,0.271901778470926,0.10434693583387,0.0903447315490242,0.125728923214562,0.144228634417671,0.140718564729521,0.16655060305462,0.1891165889502,0.134977036774424,0.216608973698774,0.142744490162513,0.182924967768332,0.287396694362436,0.27436140720879,0.192012516041603,0.161945635385777,0.235283339196552,0.254803843665269,0.301307365148541,0.156382950082032,0.318041806484861,0.18757086269103,0.232981990469296,0.226738595569301,0.283339150550564,0.234782746892715
"Andira1",0.347792094148906,0.321196515401721,0.120242793793957,0.0691806691259969,0.0794870109143472,0.100607284051659,0,0.232904021378981,0.413474708711748,0.329113508490666,0.123880617511311,0.340635105728471,0.315069806146442,0.329485285319869,0.0844742068016675,0.211589762053281,0.289173840521994,0.215793804227347,0.445684033133338,0.203006699465874,0.216197792477265,0.257209616589709,0.240197712437032,0.298561811348594,0.293647146964528,0.381141440916746,0.182038278561387,0.40374397045842,0.38894420327115,0.389337273111102,0.34406966722274,0.354922786477447,0.132096375244353,0.35993715974334,0.218503554327396,0.162359735499489,0.150323559519181,0.160512351717026,0.394348338644058,0.283531605401291,0.0760750101614115,0.137244580499222,0.25647912170164,0.193434096433469,0.105753301671326,0.347147646510502,0.252573187694862,0.216756799213015,0.337302813980455,0.359033626680542,0.358621891269944,0.488972172078858,0.50476350742075,0.281105090687115,0.19102626201486,0.360907467120786,0.262271968738477,0.0382896872596274,0.257844211517797,0.141200310925153,0.237318313674045,0.237682074498358,0.336809739131591,0.445474612643782,0.144104251876082,0.411458215176423,0.0761226212149517,0.274006124567205,0.317384898056351,0.124052898507333,0.280004518424846,0.460632149628814,0.080389336513468,0.292021849822375,0.179843074013112,0.209405354502645,0.328845063427117,0.125921738114387,0.157788863153625,0.0565514306087087,0.263667755231933,0.248097993901697,0.110753727429143,0.296862742104952,0.433756867988666,0.141099145940738,0.166697116350168,0.370976285242399,0.201504378868205,0.458536131544038,0.297068434215391,0.490383399339832,0.124037314280738,0.388298182764657,0.375976743355812,0.395363516048028,0.409698847799409
"Apaporis",0.350062287884244,0.442816752771596,0.146836401990446,0.0928905326765487,0.116694432143061,0.137273872133374,0.232904021378981,0,0.411783567327915,0.373627555047626,0.106609424747923,0.411505553356052,0.261016143695503,0.276263756729693,0.0615689212592911,0.156053090327194,0.256712811054765,0.0982199528092453,0.419752739697838,0.19136360160646,0.149187878132204,0.373262525881058,0.407615225261823,0.374328108550492,0.34793270550906,0.442944422770903,0.156562887562823,0.45124142298653,0.302552033634877,0.43525947568103,0.294815204798149,0.237112360940673,0.145532666801091,0.390555913406766,0.336228473371714,0.121404276360308,0.108410307801049,0.137934699622601,0.392169754999736,0.301261780782015,0.100064909149637,0.182487025967102,0.218861185410753,0.136319685507179,0.0882473047668494,0.265371859611045,0.191003590803934,0.174837470638886,0.271361857755026,0.374856383027005,0.354169895009475,0.431586365850351,0.549402553763837,0.346990334780207,0.324408117153873,0.355141775660948,0.190255444531469,0.0637118634235412,0.254051878648628,0.108018488728223,0.175937249635678,0.398885555787846,0.269297736803492,0.482607586180423,0.205137793639238,0.341504005940071,0.0927954484033045,0.259856440272288,0.26684800819618,0.0651492242483372,0.373581655948966,0.526016049339088,0.12182508352753,0.285197869121033,0.182828179067119,0.207684201959786,0.260275664703091,0.0652758129675468,0.107245917766243,0.0738258510484931,0.173435539020686,0.383955657555124,0.112435320332832,0.22245220774123,0.411076200490079,0.153726995971334,0.153373768583928,0.271156959959339,0.128141021111793,0.477592033292369,0.282589953039914,0.531090336947571,0.114861755728024,0.415069689796162,0.421963861765884,0.375323078344632,0.413497557881222
"Apurimac1",0.337099695688644,0.41060354901972,0.313007890541884,0.267359587136642,0.286017096569814,0.314443475760555,0.413474708711748,0.411783567327915,0,0.390415781634925,0.246642125613398,0.364594230458269,0.101789431839199,0.260997555032168,0.242088826264414,0.282950354259309,0.376258180212073,0.13976589520725,0.181300556818988,0.36653233085981,0.13018727365057,0.483513128651089,0.380172843688873,0.357643183912398,0.441797160375169,0.256637304296692,0.190296842176923,0.100080300797914,0.318345946779691,0.226206208161884,0.244657046347405,0.295092852790501,0.290763714287444,0.374961003259067,0.440115731763257,0.275511059772284,0.254371695070253,0.217832086011581,0.306803992649166,0.350181356776336,0.294386625480046,0.292527895495374,0.315639597466563,0.282510845968399,0.24617113580231,0.302743107324247,0.052061180411708,0.249170570967508,0.264227268803025,0.0840908822756702,0.281717260659614,0.154379709194817,0.105382065049626,0.381352573440964,0.440386914022491,0.354549255770921,0.12841009243141,0.227717539606966,0.303097803682068,0.270156815994253,0.271052167288629,0.395211607424536,0.223079788241548,0.105345409974935,0.689695206189885,0.141524272133385,0.261187022625134,0.380669536090662,0.177637845953295,0.197215492443528,0.398773438428618,0.207485380905593,0.255938946169169,0.367735498541419,0.382828783130683,0.30075835684437,0.352581146250437,0.227621002676742,0.209074992891735,0.256619231088331,0.262498389037938,0.402478182081814,0.280699664513835,0.289495295143728,0.2586294554831,0.311538152225662,0.334830870985664,0.211293049594673,0.154011200889876,0.075274347412828,0.365252919592863,0.0491503128280035,0.269591211838767,0.393898685625035,0.384560704325201,0.314378104550758,0.316195335986597
"Arinos",0.367474678674681,0.386971572521356,0.173315650368959,0.140073123532417,0.194396718742812,0.243184330332179,0.329113508490666,0.373627555047626,0.390415781634925,0,0.113163593160814,0.28248036835387,0.281535770965074,0.261934022790757,0.122173446451294,0.220520413217744,0.312617094936184,0.186529360206703,0.384641127203931,0.303676621878005,0.213239145596624,0.422144325640662,0.351784344200236,0.385709099735881,0.299764484716448,0.471532218338142,0.126661103159706,0.420663018352382,0.209657874045802,0.431381229848889,0.284830706408208,0.205234182137803,0.202943400142048,0.321060795795324,0.445356966237868,0.212460008946742,0.140256453424914,0.199234438501304,0.108902360331424,0.326215057957631,0.202142827795998,0.234413595700656,0.345621687885268,0.251302406415336,0.16271210252892,0.31969746942074,0.221196958642219,0.206602648828564,0.272825190342997,0.346300595294286,0.404206803095403,0.405294217369408,0.524852004667548,0.388292071426559,0.396134113782152,0.314963829497939,0.213396554502918,0.146502595122873,0.312069091134967,0.16347010567254,0.196101541458988,0.421711929932459,0.287270193085224,0.461181100697212,0.295739605400396,0.330570324046929,0.183582480619819,0.322888741156611,0.279448145261173,0.147152279438565,0.386595078695435,0.489917108219371,0.193042120805194,0.364458293756091,0.281730140027069,0.301789099758426,0.303621616564841,0.161081220057396,0.174101811556248,0.0966027863892723,0.15867477900479,0.471818983241072,0.205664779261022,0.0515135356628931,0.404064763591972,0.204747295009643,0.234546072273746,0.264377534102386,0.219612992043786,0.511043803196437,0.341155682534446,0.488071969097172,0.111292902241533,0.293964412203485,0.373223960845259,0.151772238403371,0.372869722889984
