"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.011711597962827,0.00896428852641314,0.00832311321425436,0.00856723297830531,0.00728943405507941,0.0117390355278313,0.0102690671263048,0.0340184074382865,0.0136136608969131,0.00819866707068739,0.0100570620374499,0.00741539339526587,0.00965962394353592,0.00849454514668377,0.00767438743661374,0.00940348775921186,0.00871174166941663,0.0077649969501093,0.0100908362918037,0.00947116041215862,0.0128482649142954,0.0114107855550458,0.0112987393247728,0.0140113467424166,0.010946130744638,0.00530523893762289,0.00979946129729337,0.0113760952119166,0.00923999610804135,0.00849994812762787,0.0104389990531136,0.00916067743707236,0.00915554528575199,0.0120023582812074,0.00846008156939759,0.00579086535942141,0.0095775255021699,0.0108203009693582,0.0104658864582707,0.00925676681876816,0.0088361091483701,0.00869604267875102,0.00963600657867462,0.00440870207686656,0.00703591784221252,0.00733424168195357,0.00723360733462373,0.00755201595859296,0.0363926759477983,0.0103925366115126,0.0113762314296113,0.0126061920038454,0.00977399079066194,0.012489685813478,0.00976885870994936,0.00967517648089183,0.00802435363799204,0.0117403451706554,0.0087445117276833,0.0111059287940148,0.0119455498531579,0.00916593487939693,0.0122828265439242,0.0233480092189519,0.010339695448954,0.0087156959916116,0.0104275519554858,0.0086858348602793,0.00918873989424752,0.0114086547900867,0.0138199803540557,0.00839283409650403,0.0104978240171528,0.0109538895938299,0.0098085041113796,0.0110629614064059,0.00700118379459437,0.00851922628427952,0.00896144070985424,0.0107337379457325,0.0135172714056661,0.00979767544743238,0.0104843359151607,0.00866302726224751,0.00884863446418412,0.0111765307742058,0.0104220731046833,0.00897099001062882,0.0177368591028869,0.0114741031266236,0.0108413695218526,0.00818545854858858,0.0112786680924709,0.0138070018594418,0.0100589202982856,0.00956664823564208
"Amazon1",0.011711597962827,0,0.00756834693728108,0.0067668232323777,0.00814058526990675,0.00830886821219708,0.0137260624426618,0.0101517477415392,0.0351335260549285,0.0128619300694823,0.0103634895957498,0.0101991074472284,0.0100914972931142,0.0107628291232196,0.0082742993281274,0.00820777604814448,0.0112672622829482,0.0100569816181332,0.00928001570585116,0.0119656185364603,0.0102719447121579,0.0160552529425597,0.011569289541492,0.0117751389437182,0.012951917813852,0.0115841429264495,0.00960401919968842,0.0107769122890897,0.0126898141875829,0.0109225577548336,0.0101914452443104,0.0101971135421783,0.00840514939957334,0.00877019411647996,0.0127326806366917,0.00924075119406749,0.0100101868085488,0.0095859938476923,0.0109761469653991,0.0103306373354344,0.00937371871540687,0.00933422747634772,0.0109605511658566,0.0103751510087759,0.00868250803149678,0.0108261514242657,0.0089029674148994,0.00862108219242281,0.00945164721415892,0.0503543808761037,0.0104738366389914,0.011090973132071,0.0111923286055362,0.0105984210953893,0.0119232879658224,0.010597905046376,0.00971820451843403,0.00628395935673672,0.0103049560439682,0.00953233817017779,0.0102284752917007,0.0120997149497204,0.00918337695247859,0.0126984720850787,0.0237401889308479,0.0107596047081036,0.00650241511142007,0.0106176227968837,0.010573335674971,0.00985775210432253,0.0136662302447248,0.0107103404586754,0.00808299539550232,0.0111537629477998,0.0115448175496367,0.00914124979353997,0.00931380266154884,0.00824903927205268,0.00888293130207276,0.00698981832051066,0.0117421157753512,0.0137767804793469,0.0087846368441246,0.011404209606487,0.0100805819246472,0.0079264695928736,0.0112948710942264,0.0118337717392127,0.00897730702851922,0.0161383228783821,0.0122669526738619,0.0105891390870456,0.00590945748693216,0.0114996098366948,0.0137238603557464,0.0117168605816338,0.0107094092046034
"Amazon2",0.00896428852641314,0.00756834693728108,0,0.00561436218170855,0.00570108682103407,0.00701018225779573,0.00789364013441638,0.00942973115082752,0.031365693246292,0.0119083251748024,0.00709014180813994,0.00834531248394189,0.00840157451000749,0.00776924752726588,0.00587491124970049,0.00824595334609208,0.00800053839859701,0.00846996516102569,0.0100846076454114,0.0076959565873369,0.00780058445534684,0.00963913820179522,0.00769907304531133,0.00916880643479841,0.0106491819245965,0.0128151435897107,0.00689344989321368,0.0101561495193136,0.00869669421122733,0.00918834103138769,0.00800149024247823,0.0084696530209151,0.00686511234915754,0.00668903159690131,0.00992467425805799,0.00776270226112917,0.00599990683572156,0.00730370190975066,0.0113893116388871,0.00744658481575703,0.0065645686723898,0.00736806811990049,0.00737131026001578,0.00734304979497116,0.00652249648402185,0.00776862124807471,0.00706418096900353,0.00666410571991322,0.00732058859387479,0.0468999511869099,0.00817505241417527,0.00979276582376034,0.0131927011844937,0.0103163147042501,0.00799732127459139,0.00673850154292364,0.00804720643709328,0.0052483714841702,0.00911846806991128,0.00714406109122006,0.00765193474252286,0.00826829558987758,0.00888943273584393,0.0103673450654359,0.021084250966063,0.00912019279668134,0.00620403133662117,0.00775391654747367,0.00764253336487124,0.00751954910228951,0.0122237867370088,0.0132783521026678,0.00624963701220163,0.00709523176335767,0.00780267938632449,0.00679497566168848,0.00720951320351934,0.00726222012115657,0.00681235227945814,0.00549582406527789,0.00815100695468921,0.0108926774099169,0.00645271089396331,0.00883459214348345,0.0086940431149693,0.00794898340319872,0.00668367278520195,0.0104296171863114,0.00548668856018039,0.0159559234866461,0.00789561766270628,0.0115117440453656,0.00660571557893038,0.00893918942205818,0.0110388667724816,0.0106313924488271,0.00981053233300102
"Amazon5",0.00832311321425436,0.0067668232323777,0.00561436218170855,0,0.00625809777963925,0.00594108487895409,0.00515591294508142,0.00785478313748082,0.0314175339219003,0.0106225012316794,0.00640363900837243,0.00823878235007189,0.00805368162784698,0.00673153169754473,0.0065981227964898,0.00677695681564768,0.00784675456897979,0.00715787521743847,0.00976665879884007,0.00612421116759376,0.00722887004838401,0.0111003412034672,0.00646375220939982,0.00886986623055867,0.0111645369235819,0.012934468623528,0.00609402553468128,0.00970356903071945,0.00726396897439525,0.00971816085660302,0.00795052541755144,0.00845703553655591,0.00614049959881879,0.00619799296812471,0.00741910159145352,0.0070491389563801,0.00760424858747831,0.00686042239268676,0.0115318858936426,0.00517287897579343,0.00635389670879422,0.00618172948980549,0.0066484617852593,0.00750390673407822,0.00653812384412086,0.00766434125743239,0.00779249764072188,0.00712708344951682,0.00824938232187041,0.0431550558775375,0.00749640712016895,0.00834765991143156,0.0110234393579867,0.00866761196343029,0.00584881005988724,0.00626673219161901,0.00790024143364732,0.00612012271102736,0.00805743022013178,0.00712331661170055,0.0076002270793099,0.00596706644849229,0.00865766938247551,0.00891802895918686,0.0147001330239904,0.00892696097900427,0.00527007525865276,0.00732359127558133,0.00783252740803494,0.00740162559729442,0.00924809994919224,0.011945276566727,0.00572260932013448,0.00557037247597077,0.00580716856793556,0.00608503856600839,0.00672484713247601,0.00667992237889646,0.00777504551857901,0.00603877737557298,0.00809841516510065,0.00879840411336755,0.00578615581230614,0.00823440891169424,0.00923478974905757,0.00462666657993839,0.00689632930357197,0.00872226180815257,0.0073217755178211,0.0155167169876946,0.00747485846067088,0.0106454213519476,0.00539888735562016,0.00792136352687222,0.0107886754429598,0.00925241729712242,0.00971060949853048
"Amazon8",0.00856723297830531,0.00814058526990675,0.00570108682103407,0.00625809777963925,0,0.00585820460101616,0.0059464013529678,0.00789763691153621,0.0348935495846925,0.0129640267081565,0.0072722963575384,0.0105832382990381,0.009141545506544,0.00773201525819983,0.00602071072359045,0.00743905754781168,0.00760701068953291,0.0081054717829488,0.0094290937455339,0.00623031837607366,0.00864185610097455,0.0115548714836629,0.00762636367026239,0.00779552043023777,0.0140823770882948,0.0119201509337833,0.00726855220359019,0.011239073414184,0.00970142805405,0.00996158069815461,0.00796145063915736,0.00916426105745172,0.00715970675821036,0.00708983733282615,0.00612903146596316,0.00673371187550038,0.0065707801308092,0.00766997506503622,0.011414396415925,0.00524349286988125,0.00602224106021168,0.00638367724729549,0.00756270981594695,0.00715744890244882,0.0065937458113008,0.00820134564270881,0.00634335067539323,0.00802924091214757,0.00798935010527151,0.0539473721348167,0.00770215280018137,0.0105430965075834,0.0126286721603794,0.00782909086632114,0.00585527824115869,0.00774115592629794,0.00924245449429765,0.00503115911932646,0.00785223010223163,0.00644845006782198,0.00786982861821833,0.00619664255398716,0.00898852764066291,0.0123996998577488,0.0123899751674142,0.0101897292639904,0.00612172435248235,0.00708142078124346,0.00768951395114083,0.00774090630339061,0.00831455869802912,0.014007800933681,0.005939648864832,0.00626751135555577,0.00544341766416034,0.00577405667018597,0.00755087314408156,0.00713120136551038,0.00787863751185843,0.00663450678739644,0.00843047303510887,0.00928301006792349,0.0052361662070686,0.00897188976450362,0.00996963197178106,0.00655980888136833,0.00607637071755254,0.0100471509739532,0.00736653137191596,0.0175615718200211,0.00755811545474981,0.0120651406243033,0.00701884719713131,0.00901863291647607,0.0124062484355848,0.0101166393579678,0.00923491881716077
"Amazon9",0.00728943405507941,0.00830886821219708,0.00701018225779573,0.00594108487895409,0.00585820460101616,0,0.00665005795100459,0.00825074163152894,0.0291796655875522,0.0118513857870316,0.00789474278683372,0.00857706529138132,0.00804966304789058,0.00732812834509238,0.00660140477745659,0.00746289584237127,0.00752265781139831,0.00832193753355067,0.00940098716521528,0.00615046005246065,0.00779287625685536,0.0120953332094401,0.00742961176810927,0.00829840748023829,0.0127620339723044,0.0115775010339386,0.00710889239299641,0.0100364258313896,0.00904290676899191,0.0100591682491149,0.00833228619759963,0.0078059775643069,0.00687135066715583,0.00695208639745583,0.0079508961249565,0.00798838593586451,0.00702561585327711,0.00758353604338221,0.0110057502222797,0.00609599047665199,0.00570187911061637,0.00646366953368805,0.00685639890017836,0.00717178413152522,0.00604768467236543,0.00759888717161153,0.00687923571289864,0.00744340799317593,0.00757472419112213,0.0394081124441008,0.0075532375813427,0.00888912693895973,0.0121360336644598,0.00807868497622284,0.00639137945394749,0.00825534754858803,0.00817862266682981,0.00423078269502213,0.00838646095030232,0.00719230210442454,0.00782353655155885,0.0068925230452263,0.00871325841213336,0.0123249454565863,0.0154214134897272,0.00924284489168677,0.00619448046112487,0.00642592957170054,0.00711829141397669,0.00733171318261324,0.00894747919025292,0.0143907626168529,0.00585915689628084,0.00587993752185426,0.00581639056708532,0.00583489967702268,0.00719143270578266,0.00660699283982286,0.00728527658707654,0.00651480383599026,0.00862420543034689,0.00992166625917349,0.00575608217001836,0.00841093733546392,0.009898465257633,0.00787117127783571,0.00770644836186948,0.0084127825099366,0.00815659292806795,0.0151188303960087,0.00759471532192816,0.0120130513819627,0.00764198029087433,0.00877366451316642,0.0118219280434693,0.00962936477429752,0.00944851651307897
"Andira1",0.0117390355278313,0.0137260624426618,0.00789364013441638,0.00515591294508142,0.0059464013529678,0.00665005795100459,0,0.00932360662690723,0.0344933923939658,0.0125895288981789,0.00809501850140232,0.0111251582551577,0.00855604215613761,0.00896178254385161,0.00570947433154439,0.00834999617095498,0.00990078021670418,0.00839744119100758,0.00940984099293366,0.00965642352370822,0.00885054022722247,0.0151652640973559,0.0106907514945785,0.0105180850839758,0.0143471313201631,0.0130482439752956,0.00698925366417154,0.0102094476918562,0.00904162440066232,0.0102812066554895,0.00822387302010738,0.00774630731122154,0.00763822265331102,0.0109162323745369,0.0102018094004188,0.00711282049155091,0.00684848717775762,0.0073804063525689,0.0110827298340269,0.00839322381832099,0.006669203829349,0.00671626609773408,0.00815132838171402,0.00688912314634409,0.00574467615394023,0.00885389596913582,0.00767326192517451,0.00724532468337848,0.00915145064286266,0.0439084901463331,0.0097029262761114,0.00941090303568404,0.012669465432095,0.0103686930076785,0.0104434919903212,0.00976322393847937,0.00865597039485507,0.00524309775830087,0.00933023451189267,0.00735086113839333,0.00786809166436616,0.00971271776532382,0.00861538836092114,0.0112850636931995,0.0232058426371967,0.00988027931498056,0.00566442053119761,0.00865731039528228,0.008907541925557,0.00653111333282797,0.0129686781994477,0.012904956860402,0.00716336973787078,0.00872123859747152,0.00910458810242738,0.00849811088741701,0.00892124782151201,0.0068334733915601,0.00732390286683979,0.00558561507609318,0.00877971835460906,0.0115322778586583,0.00743524007038496,0.00859541893397689,0.0112475331035783,0.0080998832800514,0.0067938960570782,0.0082521228126124,0.00788438096597313,0.0153693216971331,0.00862799826692504,0.0129341039703976,0.00759941129615175,0.0113286461805126,0.0138365414378052,0.0103474363921656,0.0102753636288688
"Apaporis",0.0102690671263048,0.0101517477415392,0.00942973115082752,0.00785478313748082,0.00789763691153621,0.00825074163152894,0.00932360662690723,0,0.0339507431668855,0.0114663896795343,0.00741744819835697,0.0100449763575227,0.00949510611993737,0.0109081701609292,0.00539377858003646,0.00852638426820375,0.00909309256516854,0.0071829369790545,0.00997049531622722,0.00993348552772658,0.00830574735363987,0.0158122644220736,0.00916589929736604,0.00865072310010395,0.0152522329241837,0.0123134123475168,0.00857716890820849,0.00950598879707374,0.0100227839958806,0.0116806487572329,0.0106364395171373,0.0103600542416709,0.00923390254989616,0.00993387450518551,0.0121102453280831,0.00860652394614532,0.00715040725441487,0.00903867866587888,0.0102381139593974,0.00887641050117127,0.00795567651388569,0.00837512056895754,0.00967734728950339,0.00765368149257909,0.00656825504119992,0.0094079362434205,0.00778068473717182,0.00827098899972242,0.010011363067955,0.0392399724127771,0.0103339970099469,0.0126467999249004,0.0110458608965761,0.0100202898800712,0.0091583771797204,0.0112733866303034,0.00822887039312993,0.00682418409968188,0.010591267377286,0.00708768883141621,0.00890741090369996,0.0103773625829235,0.00896461391588653,0.012164870889604,0.0255163159083422,0.010521163545982,0.00899111162434251,0.0107371912989336,0.00935465585621113,0.00575836895354073,0.0132586480785988,0.0128100205376103,0.00964062244127106,0.0108800068553328,0.00937043476030429,0.0102342927843522,0.00929809757051146,0.00570870537751524,0.00690642106598309,0.00707657456265074,0.00918109338107897,0.0123705710549696,0.00756590871405068,0.00928159079805911,0.0101509989772213,0.00983451534002436,0.00864705659427035,0.00802393188479737,0.0073215761639065,0.0168009792708629,0.0106222432043808,0.0103196322435013,0.00834231709603966,0.0116758018172506,0.0162325489619824,0.0107435747825665,0.0105438434286795
"Apurimac1",0.0340184074382865,0.0351335260549285,0.031365693246292,0.0314175339219003,0.0348935495846925,0.0291796655875522,0.0344933923939658,0.0339507431668855,0,0.0343838020407624,0.0316965195585375,0.0378924906486093,0.0263154277786053,0.0350231314228932,0.0305102777094915,0.0363973789027495,0.0302886553435402,0.028719013519182,0.0308762665395485,0.0366385540343275,0.0265113220947276,0.0366869328349697,0.0318902883536256,0.0335314498882018,0.033236042896357,0.0273673594767778,0.0304222907457255,0.0245440512020313,0.0319731182668007,0.0318777521800169,0.0317919144971666,0.0294147850486228,0.0295657579182314,0.0338983900601463,0.0400362900196379,0.0372953835201889,0.0337110797390686,0.0269664469503986,0.0311916497604303,0.0317155863912318,0.029963180433304,0.0334841375436612,0.0344675597323199,0.0296852882391155,0.0307618022463468,0.0369240252635963,0.0168977038403706,0.0355626076323432,0.0307266732109272,0.0314812689101702,0.0301132417005584,0.0283711827500586,0.0148951230065799,0.0339422345286022,0.0350659678214787,0.0336963258636575,0.0203298483099141,0.0288788454847344,0.03573137651327,0.0331587378713721,0.0315112059765986,0.036537101237043,0.0307969530238365,0.0242527962202143,0.0298801725370867,0.0280076720789689,0.0337554034191243,0.0355758504549534,0.0327573983011589,0.0247703569179026,0.0325017497475035,0.031267915431164,0.0327592751610692,0.0396101150378784,0.0408317225692639,0.0375509306267427,0.0317607020518786,0.0263738654432139,0.0271063990664422,0.0312192463925942,0.0291583883882641,0.0371982916498603,0.0330665797802862,0.0282297085085943,0.0271976456814519,0.0316552395474047,0.0328868582526094,0.0334122644509968,0.0214791877671928,0.0209919730313522,0.0419738075848071,0.0192995101089863,0.0352126018499714,0.0368241257529495,0.0349488625448453,0.0344373479547933,0.0334144072306104
"Arinos",0.0136136608969131,0.0128619300694823,0.0119083251748024,0.0106225012316794,0.0129640267081565,0.0118513857870316,0.0125895288981789,0.0114663896795343,0.0343838020407624,0,0.00885884587429461,0.0136015995921058,0.0132493085021745,0.0134003980084627,0.00978496989136735,0.0122262419240185,0.0111614117375859,0.0118092986141803,0.0125559875637818,0.0134832061127807,0.0120993683812949,0.0155806098614632,0.0127380712867865,0.012105776606894,0.0140059936896131,0.0117790067115239,0.0103133141457341,0.0133279798160468,0.0117170732965771,0.0138897076237108,0.0133503286214499,0.00909355262171751,0.0136885466446688,0.0121108319526564,0.0132319598173474,0.0122699865202692,0.00953053924760142,0.0119066050962701,0.0109469094121714,0.0139322688782124,0.0113557639815471,0.0124088258659363,0.0130364028798222,0.0139680006282312,0.00981938243225358,0.0122246609858098,0.0127100468915644,0.0116294894186465,0.0122984596636547,0.0476599809309299,0.0122181680116543,0.015814559435342,0.0157859165739121,0.0133034299800364,0.0127031198829771,0.0145468498203882,0.0122493760137013,0.0107222721563746,0.0138720126688855,0.0106644677437371,0.0127914719433648,0.01320693068881,0.0122645547527399,0.016360064201637,0.0256645756820185,0.0114287253027303,0.0125576657416526,0.0122776521558751,0.0115814939807115,0.00955859319918257,0.0135457978900964,0.0140893744072423,0.0105368623845206,0.0121051519214979,0.0133065959698356,0.013772105607689,0.0118943393996578,0.0105750105408806,0.0108124085836126,0.00908067327778832,0.011371980370076,0.0126402156873649,0.011713633760615,0.00526755302771113,0.0134484922063137,0.0117423591410156,0.0130512099991019,0.0128861868947664,0.0135148279128683,0.0160914237169717,0.0138598147158582,0.014846445785925,0.0103635928748072,0.0136317725853912,0.0137279929763581,0.00921337104132938,0.0129237260069249
