"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.046971033968634,0.234730930274248,0.265961165540097,0.240507092454381,0.209560673255095,0.0459367741934594,0.0493903493781835,0.470400082278116,0.107192772256615,0.253202476348192,0.0470576559026295,0.170559858636895,0.100800778399591,0.301762040185086,0.179519123820927,0.0434765087329366,0.183293242266358,0.00496254089892451,0.0960723707867171,0.24830131184924,0.210659822068708,0.0410105444679262,0.00662777762053974,0.199330533200567,0.0950707247051015,0.291497912991081,0.00479017503826312,0.0572601493969253,0.0315113792368941,0.100193408125629,0.0515736434863252,0.227281114991492,0.00435460582899007,0.0628708845266139,0.230316580853668,0.256118230982056,0.232019181312564,0.021009998719063,0.0573385307663626,0.214767077941068,0.192878441991377,0.104126136239674,0.177701955525198,0.309686664286241,0.0950804701219387,0.257290094472718,0.219401459303205,0.12498093707296,0.592674737549868,0.0195833316256995,0.0406273865727852,0.0298211031827572,0.0101804325504716,0.0212415621481904,0.0229400595161337,0.199733211642875,0.31690743122187,0.113625418530763,0.227192212185282,0.157210885552214,0.0211034627289647,0.125603766443632,0.0253075249785229,0.542569963869322,0.0728879422771629,0.264755141931688,0.0342097415811759,0.146710988988892,0.292783718273342,0.0923427115749218,0.0499239391471536,0.252553627264029,0.0533675496115775,0.101588285726653,0.142119906356592,0.0798748172201561,0.292952542984398,0.282324149283387,0.284199677517739,0.110507433203807,0.138534139217247,0.214831131119408,0.144358531012856,0.0189779032354892,0.184497369079008,0.119984284620687,0.0449545053161481,0.240748489631589,0.158114191322176,0.041011871697932,0.032551655242556,0.260508614835893,0.016505592169098,0.0914032621503192,0.00434859909921005,0.00528378653788746
"Amazon1",0.046971033968634,0,0.323716856736274,0.34675356793681,0.314479270840385,0.289015659932983,0.10115289677014,0.0039874425212952,0.393604340277274,0.0559591607555746,0.311206840221219,0.00471677746017968,0.205328203243607,0.140473390233188,0.374737651450848,0.231849418953528,0.0998945086656101,0.241254937105731,0.0425400110115198,0.160049727279323,0.297989600803998,0.175499882409231,0.00812392966420106,0.0411721041790218,0.135378948658236,0.0346946612693388,0.31499276852364,0.0402050246928327,0.112888250919137,0.0168074446624938,0.14279713346814,0.105050630623812,0.295214269768458,0.0552950195318642,0.0190930343474275,0.278735803236111,0.299910910678927,0.292293606189847,0.0262669290320662,0.123740193923165,0.288263362061187,0.260524494256033,0.165078418556554,0.237735897597542,0.344186006885239,0.134529035177767,0.287179056940183,0.257414553531532,0.168359799177348,0.534713221021731,0.0673765413621974,0.0851705673617098,0.0104780207123335,0.0386918418041473,0.0283730824112555,0.0731096428458235,0.242174142580422,0.396074104846788,0.182413295408632,0.294741003203163,0.221225933727304,0.0261870448095621,0.168271010096058,0.0177691077640975,0.437192186830345,0.117648078690652,0.334058129709133,0.0936135506075931,0.191487174550815,0.34887005946129,0.0363327372759902,0.0061362366697322,0.322979850464084,0.120694890574357,0.165422978588311,0.211462733602885,0.143256832704042,0.341090034005505,0.33649306482896,0.365193915525292,0.170521534761608,0.0995873820234328,0.285483684970874,0.191180008678703,0.0618918274482953,0.260577179609872,0.186125484439616,0.101622509158781,0.288896030110108,0.093745861670467,0.0939361336201429,0.010242133241542,0.350340991992424,0.0305950918464373,0.0441194060013429,0.046753339248229,0.042010265769467
"Amazon2",0.234730930274248,0.323716856736274,0,0.0243506889646133,0.00383962992673174,0.0222850154927782,0.183943857742921,0.293608324168388,0.566028003224638,0.351329334921834,0.00737453133237652,0.296581261013512,0.0591121233194744,0.125923379726237,0.0621613540922182,0.0573664063150074,0.186932035656256,0.0381955066350817,0.216508753661053,0.128792701914254,0.00995037264974128,0.52898123038681,0.308875700358269,0.232620278357556,0.47256955010023,0.324214091981638,0.028380188267025,0.214503365562469,0.156370687497302,0.255637104184245,0.118903716669883,0.166893104824916,0.0123891639132992,0.254593116971481,0.328046738523697,0.0120793526766129,0.00303228376741569,0.00864549745932862,0.243326798033727,0.170061268216048,0.0217625555631736,0.0403804216366598,0.121286873166225,0.0558618243749124,0.0397856289206309,0.138085114150334,0.00566613498077357,0.0290827916662317,0.0970521059828964,0.642363863779363,0.203110649018676,0.152950238828462,0.225641977190553,0.238690050117779,0.275309872076296,0.200325545383913,0.0267976105046496,0.0767489388772339,0.0894396433148231,0.00491546166924586,0.0467911673930207,0.273167982623204,0.0972550310459335,0.226717163176195,0.756295628949415,0.128901949028111,0.0192975894905458,0.193603798484141,0.0745477575990609,0.0428921000576242,0.340316430021392,0.263464473947161,0.0122117058429961,0.180551398935939,0.12130281206126,0.083213027270135,0.144189513130972,0.0400856997331933,0.0320213210480735,0.0444237114473069,0.110676626419786,0.403573261970908,0.0187947428586424,0.0736320145242203,0.186225348905011,0.0429215525408922,0.101446303025487,0.160021030685739,0.00347568595311202,0.35434234290035,0.178481541516435,0.233327141733959,0.0248283610845207,0.252244250841647,0.33615656204737,0.217810139224638,0.223392255972814
"Amazon5",0.265961165540097,0.34675356793681,0.0243506889646133,0,0.0210754580557454,0.0463898931852589,0.21872716769438,0.333749052029456,0.609888612855774,0.384423746042209,0.0146445165824013,0.318831296005986,0.0814799978728534,0.151889767639729,0.0394228655519171,0.0833889417787469,0.212925949115877,0.0613884560831003,0.240432793507717,0.155023816929327,0.00993285278494168,0.529738649817861,0.337389820567246,0.268145915115803,0.490462252598049,0.346487436455174,0.00750705478805118,0.235246937916605,0.181605014176582,0.282242926861494,0.142994184310399,0.194521948418545,0.0357826962973584,0.270361082544199,0.36160952777783,0.0346581596366202,0.0203467525464297,0.030556071191136,0.277445169461014,0.202959928123285,0.0461137529637287,0.0650431177791458,0.150977958696107,0.0807680588677981,0.0172656672301601,0.164598546650759,0.014322272593181,0.0524267489609929,0.120285330556353,0.664263815686009,0.230233535589232,0.175823347973922,0.248023123508213,0.277028723967354,0.312665253746382,0.226116613180981,0.0478005827528789,0.0520757739563075,0.117491245911711,0.0160296197075451,0.0709746877982333,0.317755392902012,0.122176307297971,0.248318703946958,0.778625169729537,0.152442445906238,0.0045047986011924,0.221581427917365,0.0961053256277544,0.0202873662787623,0.380113853071532,0.28827419357335,0.0108699764436476,0.20719502369338,0.149741265760235,0.11016495350018,0.172198463333018,0.0182892131215166,0.0104602371640722,0.0198208288166201,0.137341548867281,0.440919772649581,0.0431202816787888,0.0987047925664662,0.211622356028059,0.0714804830911086,0.130256076528145,0.193185418407944,0.0207179103345191,0.38154083104976,0.212070415755174,0.254425188459002,0.00352266785165505,0.27669733106302,0.363130418272956,0.249185868024025,0.251541703457249
"Amazon8",0.240507092454381,0.314479270840385,0.00383962992673174,0.0210754580557454,0,0.0260324459863381,0.195038881802827,0.3062500460799,0.588952582482524,0.344305735412375,0.00581289869594738,0.290461385049252,0.0604005303382216,0.127614353508133,0.0616997851184462,0.061811222681982,0.197617381203114,0.0412860954274478,0.213254129418879,0.136780851066739,0.00800132574051459,0.503442917199462,0.305612711305195,0.256380263777473,0.445794375593795,0.317161520879318,0.0259027772680918,0.210705293000936,0.156187957649711,0.249920618534339,0.120162105051123,0.167103061292103,0.0152369282190478,0.244216280108751,0.362542056742834,0.0148570627817522,0.00371755655016109,0.0110395084270599,0.240462879136629,0.178412511858247,0.0250315318318946,0.0443952439025018,0.129635052515679,0.0596465813668758,0.0381026448718033,0.142037922909233,0.00470068785669559,0.0317065152828319,0.0974544377792504,0.668724456819911,0.206053802959277,0.153870183680587,0.226737940637318,0.266788640534946,0.293242953440259,0.201668525240081,0.0287884825162939,0.0771452148485683,0.0973524909251543,0.00412568043372153,0.0518314744444076,0.291839937301481,0.0992912028188798,0.226743779812002,0.784379095137055,0.130975280132784,0.017467296540941,0.200358111566895,0.0762736296250172,0.0404541691308621,0.35671553835296,0.261914667150846,0.00979482757494828,0.186382497236278,0.131369102415816,0.0901203364891316,0.150845031437121,0.0380518524498664,0.0297085306283079,0.0405270875942247,0.111810607806803,0.43934787993244,0.0219709635020094,0.0752804695026262,0.185160798886931,0.0460322747840892,0.111884239330019,0.170421611116508,0.00433523893986882,0.36120050453057,0.197017860523859,0.233702910567633,0.0221029774812668,0.25229715704069,0.331384444921154,0.216962444507728,0.220184813404509
"Amazon9",0.209560673255095,0.289015659932983,0.0222850154927782,0.0463898931852589,0.0260324459863381,0,0.165013265532489,0.276447418143492,0.55884509250068,0.304927853783963,0.0289171328412495,0.24876097029029,0.037832732154191,0.0990075134179761,0.0883807639535253,0.0358775907317206,0.165107633747497,0.0183993698865931,0.191431461577331,0.106446317432821,0.0300275738952878,0.469968447182796,0.275682379429309,0.224750531546078,0.411906575377199,0.292072716806896,0.048801294361893,0.190263248652869,0.124092469433505,0.225124322590212,0.095216424225248,0.134910098682581,0.00924968345261537,0.207737421279033,0.319851006301657,0.00867068818464187,0.0222836839965983,0.0122898322542657,0.203868733876535,0.145876982792355,0.00317512253820993,0.0182321889900975,0.10387817986995,0.0346906394510629,0.0642303158625414,0.113921977315502,0.0243889284054248,0.00810416593720961,0.072068900794189,0.61488569831721,0.182828661273319,0.132099438018513,0.204751551934811,0.229544478021529,0.257672097358887,0.173299247471123,0.00745485626242841,0.106544680394765,0.0696746226925646,0.0256113524754921,0.0273705905795779,0.253115481131522,0.0749720463042658,0.203512790331475,0.748186925875445,0.108480540240477,0.0434456960347898,0.176045408198405,0.0528868901615307,0.065705080710753,0.323109464508587,0.243222987549472,0.0367267009382834,0.159137779334569,0.0992112624483575,0.0617860490279165,0.123596322732419,0.0642427992253883,0.0545340350397467,0.0658537992255401,0.0837820614681979,0.395579931979739,0.00394316555777909,0.0494929411930107,0.160198158890569,0.0195630567101156,0.0772309766776468,0.139093285650388,0.0195787819357609,0.33714558302476,0.16003132484327,0.206720712270046,0.0459280531770284,0.213113697819062,0.301223251501196,0.181189731577536,0.19593392867459
"Andira1",0.0459367741934594,0.10115289677014,0.183943857742921,0.21872716769438,0.195038881802827,0.165013265532489,0,0.111657157801867,0.435693435506905,0.159008167266676,0.190931569398986,0.0950416784370721,0.0904651229219153,0.0385443691189658,0.255152566821768,0.110269772411988,0.00468347714335351,0.124569128694361,0.0416439883821178,0.0494785243341872,0.174092511809918,0.296418678106077,0.104543170165378,0.0577958192414165,0.25137572760712,0.13202644642751,0.199370677071344,0.0454878717735132,0.01003015950338,0.0721641155409301,0.0391192328295641,0.00527753072585629,0.168648480632206,0.0467893313593852,0.140937523740725,0.162535230137904,0.179087426336152,0.166623884509746,0.0639093731296225,0.010910274268763,0.170002336500218,0.139938260950788,0.0508902408641449,0.114557508057806,0.227817682563464,0.0286060519543281,0.161527739783587,0.135694662604783,0.0582969898055238,0.568913190698598,0.0257141496560396,0.00419316941722973,0.0629039804901022,0.062756747871501,0.0848157352401352,0.022662505168585,0.127915778256306,0.278424527701213,0.0734062172597302,0.184673708649781,0.11193601030261,0.0819780150977421,0.0571090159639743,0.0626668516064043,0.611587914305204,0.021461539435752,0.213458840138594,0.0136873980315429,0.077119926319973,0.226637787870442,0.149072923520731,0.08654951693164,0.20487724603698,0.00666318795531709,0.0586561183891254,0.0891775270480397,0.0273545832196391,0.224550162993446,0.208573495898401,0.241529200448382,0.057514044930462,0.228359838689014,0.166377477751317,0.0812547386459894,0.0220430258224308,0.137427961778701,0.0774202080835523,0.0038070315637259,0.16665007958462,0.177672153036321,0.00543950759503013,0.0645996907966426,0.208063694476412,0.0608675479060059,0.138513292199834,0.0439962138003215,0.0449728376340244
"Apaporis",0.0493903493781835,0.0039874425212952,0.293608324168388,0.333749052029456,0.3062500460799,0.276447418143492,0.111657157801867,0,0.393988491699878,0.0593522983839184,0.314713374678905,0.00389351632486338,0.201264710401361,0.145698975184545,0.382582821323111,0.236032262087633,0.104611014661912,0.268265241331413,0.0413568370936482,0.166363101127659,0.302988021913667,0.168737822848768,0.00547834919965315,0.0400145376973431,0.144655006313275,0.0390053501012532,0.317069149950526,0.0384636882312078,0.112488228914413,0.0157929673106373,0.143427576786558,0.116169513878558,0.282398055678056,0.0446711864723759,0.023765994912411,0.29013813220002,0.308201927865786,0.288217236979962,0.0247551325539802,0.112058218030078,0.288810395220741,0.24576972864235,0.165475676254913,0.243317562029475,0.351907378596454,0.138199522033548,0.283632068558397,0.25655828430548,0.167974688534001,0.532674748203259,0.06855240180632,0.0799000823558053,0.00870299043022729,0.0385685210191332,0.0279640680337027,0.0714224851772985,0.251870401126575,0.390846676624365,0.179732889053593,0.311847088169841,0.235818959534563,0.023229901921143,0.167160965640018,0.0171692631819871,0.504807490262814,0.119193320081794,0.330508910066756,0.0940659034146599,0.186436030085322,0.36420722476411,0.0397631047693928,0.00748708515563243,0.313284304448188,0.110216393722562,0.17552317103294,0.201366032949012,0.136974438846341,0.362596809459337,0.338781889302227,0.358530041728017,0.182749872043259,0.101979188874612,0.287392438668231,0.199620915295326,0.0632064034236474,0.252667213684267,0.199161436505042,0.107251186346074,0.299730342175325,0.10023802923918,0.0998977579498712,0.00910424325955805,0.327708163631255,0.0273888491937416,0.0457281140026572,0.046007079726578,0.0411878896540743
"Apurimac1",0.470400082278116,0.393604340277274,0.566028003224638,0.609888612855774,0.588952582482524,0.55884509250068,0.435693435506905,0.393988491699878,0,0.374244184959235,0.622927825246269,0.426071221528627,0.715587930619505,0.567212582071065,0.641394608270203,0.573366134954204,0.461942509323725,0.693772610373369,0.578994608008717,0.487395790814611,0.720397543383195,0.252443311531053,0.417917224218401,0.45194240873165,0.293685169311357,0.467794035959468,0.676360374552921,0.635857163061111,0.511225885596664,0.52992855798702,0.580423116993695,0.52576671345553,0.580783937309342,0.442693913023095,0.36370173233789,0.593222989331773,0.614745577638801,0.641620283755961,0.479333258502855,0.487102562672849,0.575335872305657,0.57143323391229,0.528347904193784,0.574289235315162,0.632312291871929,0.531223640466846,0.783221990736902,0.609388949765873,0.573792963629793,0.389064664394934,0.520262235352911,0.626199479418296,0.608282932944656,0.433715977889737,0.387163540295763,0.468935809233243,0.707373550189678,0.656114604979076,0.546444022047698,0.602774709736174,0.58470418895638,0.417586396429707,0.60526098184884,0.61510501288046,0.0188958259980119,0.651271538688026,0.614077134658293,0.454810146037954,0.649262664191817,0.674363677932902,0.380745643088446,0.524041068982275,0.616423440571906,0.472202070691137,0.477231358712853,0.552048716757441,0.492336952647083,0.648401361107573,0.661625506394265,0.623854283098025,0.572193442437866,0.338915255985789,0.587252564151417,0.561620605990984,0.537383188772774,0.555498100174259,0.520036071828997,0.586479414197907,0.696876885327364,0.507064996964162,0.469725917200413,0.646639897671812,0.608624371715108,0.421027039613939,0.38390854957673,0.485722345678695,0.483276481501713
"Arinos",0.107192772256615,0.0559591607555746,0.351329334921834,0.384423746042209,0.344305735412375,0.304927853783963,0.159008167266676,0.0593522983839184,0.374244184959235,0,0.383569672958833,0.069038915509883,0.257075120498478,0.214386969016901,0.424605851568279,0.284286265232456,0.159719693230552,0.310291622453602,0.101447174275385,0.205204381709409,0.343102237036958,0.10347750930961,0.0666471949195149,0.0968747028265856,0.0909556082218309,0.0132050372876526,0.396867702221255,0.0948702655127354,0.199262590806777,0.0695625954913296,0.209159737855029,0.193476756396419,0.328618126718009,0.113278892295238,0.0328710587907091,0.324484398877262,0.366588583512273,0.333007183900257,0.120225204872878,0.169320260511761,0.321824839947414,0.294256978985596,0.196642900079067,0.274497776512482,0.388246335790895,0.189019752016335,0.335636830517837,0.312604823419609,0.231433073749257,0.538579969348267,0.118470150813086,0.138083399019556,0.0539415178194262,0.0935264669479095,0.0818715530255852,0.139286385200765,0.31001874496361,0.420487952089737,0.225748091008944,0.359762061020783,0.298100025487907,0.0768543325903071,0.225648988584427,0.0687141230626222,0.404912611696663,0.181435371669334,0.362243466290843,0.148376075262409,0.24554208033271,0.398311865798722,0.019472096213779,0.0406251720025006,0.35237128761196,0.155904452276564,0.217869020101272,0.237842891761052,0.191528601768427,0.390510917248172,0.378021130759607,0.419867142968664,0.260249627547498,0.0380396596514627,0.322541187100692,0.325399184363524,0.119187982213777,0.304149734705607,0.247066165611146,0.1754785080449,0.33138887358112,0.0483983778208458,0.152131037238927,0.0582444673321978,0.399193065531656,0.0994951292646132,0.0103070427112774,0.141768579588034,0.102726394722053
