"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.00588864160283738,0.00729139576963172,0.00756124577431873,0.00756531628068451,0.00693894018329773,0.00624981133021787,0.00570502719632385,0.0271378476017515,0.00706041249751032,0.00715609720512188,0.00587736733438513,0.00690711324554608,0.00655262294119309,0.00787834677908279,0.00693709501768498,0.00562001538775239,0.00706932172959703,0.00380323715382659,0.00620283000306862,0.0081956551265364,0.00723844809081057,0.00526821074994335,0.00443078153020279,0.00915760959119077,0.00691639958152037,0.00658077113910385,0.0034979182270874,0.00670246563994336,0.00625269777987444,0.00608897686126712,0.0064599204474095,0.00805358802300889,0.00297571206731697,0.00600887113245844,0.00775309438253592,0.00689206589905166,0.0076834059153063,0.00561965785992171,0.00597039247464551,0.00775518741867719,0.00675639076001568,0.00637314353757812,0.00803383044789859,0.00700768513945063,0.00664839516994869,0.00725803007571681,0.00746164248461722,0.00638381841215202,0.0318495960794718,0.0054758059324385,0.00561885501206902,0.00597633362891873,0.00521128672077063,0.0055147980322395,0.00537927240000444,0.00742706416493424,0.00790491396047567,0.00650486220776148,0.00691901476640959,0.00669536108276203,0.00532125314742569,0.00707903133696826,0.00561970706202831,0.0163057339335148,0.00594536653077795,0.00775620190646244,0.00568014415904588,0.00621398564351325,0.00741132045401305,0.00752729583466289,0.0058159940962817,0.00740704994029473,0.00627301531593884,0.0065023761811442,0.00738258050776349,0.0065317678469743,0.00741807881026373,0.00785755856851353,0.00738833530576642,0.00739059231559291,0.00746140593776124,0.00757599304018022,0.00762943184847456,0.00527476282113336,0.00683360490942976,0.00733884793181967,0.00592209259609777,0.00773566447806616,0.00835359433463465,0.00569709805819756,0.00540308861847126,0.00778303353900239,0.00573870198201906,0.00750215169533516,0.00341471967159099,0.00362911266354814
"Amazon1",0.00588864160283738,0,0.00750269481968091,0.00688570141946972,0.00725277409036672,0.00694220252871745,0.0063210242487348,0.00301374810916306,0.0263131357602941,0.0068091478980474,0.00676179638630208,0.00352062657560793,0.00672296810900541,0.00659901363183826,0.00652544917393914,0.00642440588816552,0.0059474688313377,0.00814403356112316,0.0055013612923577,0.0066671552831905,0.00803657726765769,0.00828636034605,0.00502182242224146,0.0055961120335701,0.00713180398115927,0.00520865965794538,0.00730238323774628,0.00486360711874925,0.00690884673790889,0.00510186625215359,0.00677666054212245,0.00613277146170862,0.00742765054205886,0.00508747707778201,0.00549099478856161,0.00647297612056824,0.00788683513586742,0.00730768523270592,0.00562426958853786,0.00597853528637771,0.00729139271033668,0.00733267863806108,0.0071769272175241,0.00675770525731141,0.00693533823471595,0.00586010495767279,0.00740039361432653,0.00650468670852218,0.00680649176630617,0.0431745980596545,0.00586689315273652,0.00625509434265306,0.00527981346930352,0.00542582565251206,0.00571262692059373,0.00597690595981336,0.00769027994752936,0.00657800423845268,0.00689247124627078,0.00696717859932554,0.00756205857195974,0.00573280756885745,0.00718128672486994,0.00529595176152366,0.0161749947930917,0.00606162504021865,0.0065247674885771,0.00606240587721174,0.00688848985505119,0.00772012579783171,0.00574242041847767,0.00368264089545433,0.00663023764977372,0.00723631001226164,0.00645792544299145,0.00664368841076936,0.00681226313383052,0.00710734633349464,0.00672624226177865,0.00617703836561271,0.00764247868481044,0.00629086166036626,0.0066948608991932,0.00700772918269383,0.00552147816107275,0.00596526125142547,0.00712742463496851,0.00685363077105851,0.00733171314052298,0.00693998667007902,0.00568938795166059,0.00460010540992462,0.00587917862162803,0.00575567235014162,0.00583352115626038,0.0060312953297317,0.00522202308639261
"Amazon2",0.00729139576963172,0.00750269481968091,0,0.00427563691452063,0.00289487780751299,0.00405900740367738,0.0062532592507977,0.00736083216585486,0.0273896710566833,0.00953992052632295,0.00395568927277523,0.00734845559897195,0.00507867308018042,0.00592426183868723,0.00468815872634057,0.00509146749679482,0.00630780222384379,0.0050514938287734,0.00747247905077451,0.00568998052492908,0.00478764117369715,0.00861149087260051,0.00767976498493638,0.00600892666033275,0.00882189419377111,0.00912242741900299,0.00431188938332595,0.00748688948717364,0.00747515749942821,0.00753994134132545,0.005709655756711,0.00661302313855685,0.00445521761608407,0.00647831307718653,0.0085961545339075,0.00395002925519734,0.0022757863669598,0.00444609912407372,0.00817378976185776,0.00563327595900961,0.00439386361702101,0.00475761241581512,0.00592633772703305,0.00545537034328701,0.00425323544919336,0.00546776209888015,0.00399416598556376,0.00468194332192218,0.0058165838301615,0.0435423231838102,0.0063809144973956,0.00602156604961571,0.00892943861164342,0.00674412362410551,0.00730412136171309,0.00570844458135198,0.00483358069595574,0.00435230476281308,0.00527410189609953,0.00317469544255774,0.00555473558174885,0.00700758193648943,0.00570832832352705,0.00729956691356858,0.017571189883355,0.00560722771392402,0.00408448713969372,0.00630851319240416,0.00469201073036189,0.00492403069085622,0.00942849855097617,0.00889243226140457,0.00416159951856271,0.00621615990751425,0.0065215423315023,0.00504346125272941,0.00654630138177392,0.00467328987829123,0.00429366823224385,0.00382339014812764,0.00557682771801071,0.00810729663134937,0.00445486521204936,0.00546363766886968,0.00677655661205084,0.00514634706444095,0.00489692850803592,0.0071419422986591,0.0028753882774995,0.0103470021101762,0.0058155649726931,0.00759850234406421,0.00477397697619061,0.00785465687694943,0.00887760415442139,0.00770587559250761,0.0072419705903624
"Amazon5",0.00756124577431873,0.00688570141946972,0.00427563691452063,0,0.0047247048997012,0.00403145340362211,0.00600663678401821,0.00674247316217082,0.0273754121689978,0.00901782731198806,0.00442066182324853,0.00704517087853048,0.0053790836499725,0.00634176783466132,0.00445187084050916,0.005369049805672,0.00620296953283758,0.00553098831331459,0.00797395200439151,0.00561845099657081,0.0046425157748167,0.00992536235331884,0.00766511387430531,0.00676901018036636,0.00905309214778718,0.00888171419349516,0.00375145765272861,0.00694367696294474,0.00707430551092617,0.00797466349635676,0.00611612554744531,0.00662229058849651,0.00475128290493268,0.00603455009177645,0.00743437985710946,0.00428243807805208,0.00455158966932613,0.00500625323398681,0.00871053144920091,0.00548235429634512,0.00478370074922227,0.00499542128609205,0.00625661302801112,0.00558505174778396,0.00409322064270262,0.00628712215921749,0.00463545061725893,0.00508538193304304,0.00629927780074074,0.0402801722461869,0.00627772928938473,0.00610104574657564,0.0080910935962977,0.00725738305615012,0.00701051351013734,0.00598691870559291,0.00488650845280234,0.00430042319858566,0.0060324083219658,0.00417142980141333,0.00551605607690462,0.00753808922112172,0.00575443099830522,0.0072334913027999,0.0123605396001202,0.00548917510892199,0.00306120000604823,0.00628725927719818,0.00516505020742659,0.00441456911282669,0.00819212143346949,0.00820392599283187,0.00446394073287839,0.00601296288209767,0.00576049315207913,0.00522778088750822,0.00613887495905013,0.00420374357506713,0.00436098813268897,0.0036690234512434,0.00632558440256648,0.00746651943572078,0.00435831605275674,0.00600350511545819,0.00636589749901042,0.0044088693860706,0.00591561779056038,0.00674356869010231,0.00444933206858727,0.0100604494535417,0.00605229831497484,0.00750667738399136,0.00259394730337353,0.00708093636605817,0.00873488921848027,0.00724580372250141,0.00738576924616024
"Amazon8",0.00756531628068451,0.00725277409036672,0.00289487780751299,0.0047247048997012,0,0.00412853368772318,0.00601019795833794,0.00635480512676057,0.030594251995981,0.0100379825120711,0.00365215552487193,0.0077361533546367,0.00537374348387826,0.00670449131197541,0.00482787694247372,0.00507057993831161,0.00624051276887542,0.00531093233333283,0.00728304721158107,0.00551912856988585,0.00451019440327683,0.00915508787377207,0.00752890929106151,0.00653351273826976,0.00949753058065048,0.00826025747799738,0.00499232893847882,0.00749032776087864,0.00722176088999539,0.00754131680499431,0.00594913254165614,0.00688844907805159,0.00495834234689495,0.0066896609726415,0.00701814708137443,0.00459094700138109,0.00268589719290015,0.004792685448096,0.00856546586032193,0.00526070963245872,0.00459458519110319,0.00473432249244568,0.00604120764557393,0.00539234738124186,0.00492416906621409,0.00652079674787052,0.00351383040751196,0.00534916589213488,0.00620896539234844,0.0503368240664488,0.00672483801049747,0.00586631844953255,0.0082691431952961,0.00661179348372139,0.00625551930861459,0.00605184394174894,0.00513907672472718,0.00476087742483203,0.00520085461243172,0.00315886262732801,0.00576402124575586,0.00652624893410479,0.00629586757338353,0.00803769132195438,0.0103156209823166,0.00615224527231616,0.00472036195115588,0.0056373664892216,0.00545528030505478,0.00506463490304735,0.00814341900863853,0.00859551866891286,0.00441503962375706,0.00600099762949792,0.00553530912839073,0.00497244514950967,0.00669863174234109,0.00495163102468765,0.00484583171127263,0.00483987015424938,0.00646209238715377,0.00816984865475155,0.0042968725084351,0.00588493561598991,0.00680585298889658,0.00482843232907713,0.00525464110879265,0.00721988803309072,0.00303058250315107,0.011444973171534,0.00632560019743683,0.00794686002379801,0.00497905433017169,0.00744393475010031,0.00898318470559006,0.00739492636025455,0.00748267924245056
"Amazon9",0.00693894018329773,0.00694220252871745,0.00405900740367738,0.00403145340362211,0.00412853368772318,0,0.00557319634941012,0.00615114432710589,0.0253688431461839,0.0086545122633425,0.00429358659482215,0.00641912982290386,0.00491360595899428,0.00548490467036593,0.00512287613415085,0.00482669533640092,0.00547082006970275,0.00487051662230734,0.00724301213730802,0.00509228747880869,0.00479047988166232,0.00869861794925385,0.00742128516142901,0.00612301149461142,0.00856746369756364,0.00824816305408243,0.0047670743624638,0.00714946320818721,0.00662273737064177,0.00733633231669335,0.00564002024581496,0.00565123687869719,0.00416375859131487,0.00567139565183771,0.00754371480123938,0.00400661269289691,0.00431898789980556,0.00460198484682939,0.00735382104661362,0.00544753769369518,0.00250469215866396,0.00444721318248233,0.00602074282117704,0.00501887142042489,0.00448513660401189,0.00572311244183939,0.00490137230946996,0.00456933992139308,0.00557021350212973,0.0364797555334429,0.00642575463879476,0.0061307239683672,0.00836750020006349,0.00628978616396179,0.00636863804531883,0.0060496236722288,0.00418499698647062,0.00412449428080214,0.00492162943363648,0.00407309978830587,0.00485529597730948,0.00708002524933392,0.00552059495233668,0.00779984216367868,0.0122551863566352,0.00574785429740303,0.00435710173883402,0.00615338961384479,0.00506417597483685,0.00468725568608359,0.00731967223650007,0.00859275753078441,0.00437033808970651,0.00619820947067328,0.00510606966174617,0.00500855800706639,0.00578702584461512,0.00470723474017706,0.00467970850898512,0.00440582483356079,0.00553323844007007,0.0082852794934826,0.00269443362030199,0.00522187991905557,0.00636880028337556,0.00454930963508515,0.00480292796878899,0.00622501360802895,0.00446049981728061,0.00953112674963997,0.00559425832853747,0.00727976876621922,0.00458095439585366,0.00680527017009889,0.00802917816599608,0.00670003102089872,0.00715046130151062
"Andira1",0.00624981133021787,0.0063210242487348,0.0062532592507977,0.00600663678401821,0.00601019795833794,0.00557319634941012,0,0.00618713824125061,0.0273060270039737,0.00837374053404575,0.00621847560720101,0.00638331575569883,0.00530344817272878,0.00536454883271643,0.00641788176838049,0.00615061507093533,0.00357625318026502,0.00568904146015696,0.00503004944133,0.00577422766737755,0.00655215150804972,0.00870409370721471,0.00612177382103879,0.00553711538288212,0.00882145830762356,0.0062813934371858,0.00586566921634408,0.0054034032272752,0.0050199036497296,0.00555265928166201,0.00479047577717919,0.00381923276609211,0.00591980439090903,0.00536363755457611,0.00616055086532561,0.00558837306768356,0.00629647975232855,0.00605649697776889,0.00576142993441727,0.00438109954366162,0.00628286837066858,0.00604282867056618,0.00587911298638577,0.00630899876893911,0.00632981111025802,0.00528717461024928,0.00605109991248205,0.00592752053167581,0.005220984930365,0.0393051522181218,0.00498880274320167,0.00296361540913673,0.0059326714151781,0.00553084328641732,0.00633590476124557,0.00526408959800574,0.00591081871974687,0.0061913446187279,0.00603676930676367,0.00584158379918485,0.00583140670675661,0.00577022824124375,0.00502131067438202,0.00536506651050129,0.0172301860808717,0.00469200851585824,0.00662894943124879,0.00486249593196508,0.00537447942564202,0.00541791104619896,0.00803961781594086,0.00594149491282838,0.0068448727675909,0.00461008984705474,0.00547479128853099,0.00598678044667657,0.00544517417346864,0.00544783750096365,0.00600047316429068,0.00620141813379323,0.00568892234622369,0.00698762433983271,0.00569340321732711,0.00572650761400504,0.00475555521815298,0.00617157756578214,0.00515050324424626,0.00316244947401832,0.00542486565975576,0.00749728176229321,0.00359712885951057,0.00555168677248994,0.00640755148992616,0.00614906653721851,0.00645813387713555,0.0054622358637837,0.00508985852187167
"Apaporis",0.00570502719632385,0.00301374810916306,0.00736083216585486,0.00674247316217082,0.00635480512676057,0.00615114432710589,0.00618713824125061,0,0.0259250866438795,0.00625080900322164,0.00612237158643019,0.00286628878325283,0.00611266455458004,0.00652753747840636,0.00594849393829625,0.00614753955411937,0.00503585113763811,0.00667158517089094,0.00528596310238232,0.00648934365141673,0.00750975369719847,0.00783864104642378,0.00391919356670468,0.00515318801184004,0.00729975100434958,0.00507338461055863,0.00654199537556919,0.00458308768443306,0.00636239604019913,0.00515659925698151,0.0058625195082967,0.00605079141386458,0.0066871956611186,0.0050502310197131,0.00547206679858202,0.00641392984296724,0.00627602781468939,0.00658951775789381,0.00514364484527632,0.00504074306696843,0.0065689527893178,0.00681312117528984,0.00657087275115968,0.00616161639938984,0.00610182844757874,0.00601133969198702,0.00688146602298612,0.00652098267011397,0.006876113926407,0.0335525611100501,0.00581992752919159,0.00571429597167468,0.00477984886369831,0.00525314152886676,0.00531367096951921,0.00548036110694103,0.00687854266033618,0.0061283334969412,0.00660417029406607,0.00643896653832643,0.0065221867787934,0.00544163090009175,0.00624680553923943,0.00486095484802596,0.0174129562852722,0.00605178091921505,0.00684778532267628,0.00558728134540571,0.00635222433690008,0.00585174631815084,0.00584423171420648,0.00431763241226048,0.00713034499769354,0.00654251606578913,0.00654001987824702,0.00660418000827703,0.00654785289691611,0.00644103902123408,0.00604897482696308,0.00672434424143221,0.00701452819296824,0.00622389238127566,0.00579797657957245,0.00635005964412892,0.00547922563745976,0.00668766719821872,0.00624159556275184,0.00577401692014191,0.00656293534829291,0.00735758079649041,0.00622774340025318,0.00468900241672549,0.00631092536442,0.00573933378144364,0.00651518892819576,0.00541323917137247,0.00555024877726366
"Apurimac1",0.0271378476017515,0.0263131357602941,0.0273896710566833,0.0273754121689978,0.030594251995981,0.0253688431461839,0.0273060270039737,0.0259250866438795,0,0.0237909936760099,0.0278860106369103,0.0278760002511092,0.0232165080399861,0.0293812362214106,0.026944890616989,0.0309826105127064,0.0244389188433814,0.0255358199330032,0.0257713533793127,0.0297479731542874,0.0233891643918206,0.0216157123376817,0.0249290081916087,0.0266704609721855,0.021104033811055,0.022235088009157,0.0272371531739196,0.0214995996123061,0.0262787802575429,0.0262162011920358,0.026909407184465,0.0241905834302663,0.025486691412121,0.0266069053847454,0.0286304825037336,0.0320093976031289,0.0289614550547679,0.0235785360731592,0.0232506047464764,0.0264967486300772,0.0262726800456221,0.0291533335863649,0.0292001223830324,0.0259695695275781,0.0270706595786683,0.0306601025283438,0.0161962452704838,0.0307052164662311,0.0266641966307295,0.0252275707068275,0.0243069502847902,0.024505769356199,0.0146852872826205,0.026621482303008,0.0255348853002292,0.0263162644356257,0.0176639923392173,0.0257432377840112,0.0298625587397012,0.0284978881411625,0.0268483099752725,0.0270923486734297,0.0258165833289958,0.0212458369654748,0.00755600229524974,0.0228239911839711,0.0293153229558654,0.028694737327579,0.0281549574464541,0.0216277844906271,0.024111580441408,0.0251126016674164,0.0285264273306372,0.0323126871314786,0.0329490986344207,0.0319605085816729,0.0252231511693674,0.0236764744763448,0.02387460749129,0.0276392045732884,0.0243000841935204,0.0249576639352893,0.0284606846772546,0.0233326927217911,0.0218008182582528,0.0267629609520571,0.0280769306571439,0.027744641836537,0.0189039511281367,0.0212436670684568,0.0336848494148298,0.0182212581692489,0.0302276018964939,0.026942259589899,0.0249180629357589,0.0276010156758403,0.0271302395691769
"Arinos",0.00706041249751032,0.0068091478980474,0.00953992052632295,0.00901782731198806,0.0100379825120711,0.0086545122633425,0.00837374053404575,0.00625080900322164,0.0237909936760099,0,0.00825535367049817,0.00736269402099444,0.00827468903426523,0.00846944079952466,0.00869105831475821,0.00871002975267365,0.00769775161778725,0.00878470131388889,0.00692989959966005,0.00849573580622537,0.00878037634699752,0.00655259021762862,0.00687672907210541,0.00616484319824675,0.00833494036466928,0.00541243170026499,0.00818145275064092,0.00714759276671583,0.00849095653653027,0.00660628233598829,0.00813217387933185,0.00730371754892056,0.00989575315932286,0.00725520228691073,0.00624617570198692,0.00847287355235863,0.007810697337701,0.00895452785517853,0.00849678205137168,0.00836116675082221,0.00912041174418411,0.00834691036104857,0.00776967163598986,0.00929365004699341,0.0080273238681351,0.00687087654781933,0.0088108744999038,0.00853850484821668,0.00821170416722749,0.0397834192452474,0.00682877165178404,0.00820296180529156,0.00665105470016326,0.00670017626980964,0.00678431231530363,0.00802171612711502,0.00850162051608983,0.0094309659235085,0.00813175628045937,0.00851717758866286,0.00898138228634257,0.00699186552049882,0.00842678866663073,0.00713153618167198,0.0157891907562897,0.00693748064197467,0.00955245902314008,0.00712363295418687,0.00779488786554591,0.00796673195410979,0.00678913213422243,0.00572817396537657,0.00840101053532255,0.00772510575133281,0.00898179608602427,0.00858355048390371,0.0078208700392242,0.00810331844470161,0.0082424858212792,0.00861221657622921,0.00883786894441226,0.00628897288541359,0.00907689187393825,0.00759472455119238,0.00712515066463463,0.00897665717718594,0.00927037316945542,0.00849574071275231,0.00950314769938217,0.00632674986353886,0.00739366441272011,0.00645394751604036,0.00884474726081912,0.00828272977055951,0.00657361169359961,0.0068596025442563,0.00664805555575549
