"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.456326276224845,0.382416981418992,0.380584306247662,0.375681304502636,0.373343653616949,0.393728868342365,0.399452637262427,0.807499777966759,0.474667450931295,0.361438306638947,0.415616953384108,0.320172560708799,0.30904535930784,0.420309713767325,0.317179613330122,0.379923075081009,0.374727630333966,0.36219015836478,0.367515176209919,0.386084669048208,0.587797163265927,0.436984715696243,0.484530788642461,0.518726511960388,0.440201265645011,0.347512880197798,0.440585299591652,0.394918257042443,0.378063080847445,0.326225224157158,0.384042553751227,0.356919670416871,0.417241854152395,0.498733698565548,0.347371442614875,0.331537799063685,0.3569855262394,0.428007628645195,0.386771354635624,0.359549401043939,0.35404377461707,0.350314638109266,0.33277505266944,0.340067901695819,0.259627463655116,0.345485458727503,0.307788462208497,0.330670053712414,0.912714498031117,0.377388131343317,0.418726725309199,0.50837419083592,0.419947942631884,0.410380944105751,0.369705713627821,0.37035462915534,0.418382209020047,0.437713632583306,0.419114649624592,0.425729266360909,0.458685912057391,0.318091224181908,0.437157315323906,0.742659100143654,0.388810020389332,0.37209090885499,0.37245898048571,0.340024941802497,0.386964667460522,0.426698318065589,0.502364591806009,0.377523986427655,0.379490160070315,0.382015079378765,0.360133345169049,0.359127874162919,0.381622292625926,0.379077166778209,0.397750866782114,0.362220119992134,0.557654258190384,0.369493779691997,0.361593290752997,0.419409394664529,0.374571199945003,0.380461499794114,0.421232286374466,0.365417408177751,0.559003224580058,0.400341630576077,0.460494160532889,0.400269022694416,0.45443434112349,0.49815340928575,0.430581326118977,0.376133608966389
"Amazon1",0.456326276224845,0,0.391455330625877,0.412027556866434,0.41547981746201,0.395872454723386,0.422349412171862,0.446804195292891,0.804207889296994,0.44293073327693,0.435433286560255,0.426107527247643,0.460345947713045,0.454150886979026,0.462110490148981,0.412358372653447,0.407169221720065,0.438987475448545,0.473504127462406,0.394678913527725,0.468391343069473,0.515614118305452,0.363709863639103,0.431420212389781,0.515767866628811,0.513207875170883,0.483766054117433,0.494141494238336,0.42762733123481,0.482523303516309,0.452177139668123,0.430439425875389,0.410365163637327,0.335241805306743,0.427744923271468,0.442622826967324,0.440055759271962,0.426154767205223,0.433170980541249,0.368387071533229,0.398818795810604,0.40304256572868,0.398051975379559,0.403487779402047,0.459313292716141,0.432059227362465,0.475218534307575,0.437880382583711,0.448468116753714,0.906488215483017,0.45284276147899,0.493763925711927,0.546196917345729,0.42042243002234,0.397049060600027,0.433183706671448,0.47152244578505,0.453824969039532,0.435658873660341,0.459099224919885,0.456859723581729,0.405807134392686,0.443301547696503,0.534321934778031,0.746506886046806,0.479730236802059,0.424713157872327,0.376676161106214,0.448145967570549,0.46022524490127,0.430294719056704,0.532455665570605,0.425333406524981,0.355079198016173,0.407149295282246,0.390060931280294,0.383624270784833,0.468549272114115,0.456778480815467,0.429016310714366,0.410909255179734,0.485247100115201,0.412333447853722,0.455984802425584,0.5033669721778,0.397081563917153,0.406037427424069,0.427052944617252,0.456105637787254,0.596373001222826,0.435755685507396,0.560732535545252,0.411762216090922,0.422879819520131,0.460399859711282,0.440847885039297,0.472143877615316
"Amazon2",0.382416981418992,0.391455330625877,0,0.131090911569817,0.18409897365929,0.186325780833436,0.304186651536878,0.440444726158834,0.879035893766522,0.524644985290793,0.22272132763444,0.431502202283279,0.313200937264179,0.305596108698454,0.221451558401496,0.25338986128454,0.312494771596655,0.303776349624266,0.442714307770541,0.264289681931781,0.286709811386542,0.586555069908285,0.392189947618714,0.420683844536937,0.573781007599518,0.522435532024139,0.251670509447621,0.450776979826008,0.348890291649398,0.45509486660036,0.333464573927044,0.342796106095441,0.209040666101328,0.338418694417539,0.453864414466195,0.24325171524055,0.235363567273697,0.238131447249698,0.452707711464867,0.295789971965329,0.188314600693938,0.208924671011671,0.27151322719906,0.247944541689336,0.215523827534361,0.31044808496038,0.28902365738129,0.247688818082222,0.310817482415336,0.947915894250573,0.381014259698575,0.438162811469313,0.536367887636086,0.41856764716069,0.378991724383498,0.374837290775414,0.30418451024563,0.180465023042419,0.29481180413506,0.283379294836519,0.319590247731065,0.390919701893037,0.320895849387695,0.506107604703913,0.81514745079914,0.388139999101017,0.183690276619451,0.340753737077385,0.317572234534133,0.226364322749722,0.487005733086774,0.526534778250098,0.163829170668916,0.280659126098403,0.253014078624196,0.239640515318696,0.295158188889125,0.247279641763449,0.245023604465755,0.148636231204287,0.279729030586691,0.566541524343139,0.198205960935389,0.305877330576736,0.429067445742741,0.198293884871647,0.245345629766778,0.38891905981857,0.272436309857808,0.649486322240033,0.349253939789783,0.520071462441395,0.195777966697981,0.417692923568436,0.520084641280074,0.433172691921771,0.42774816924633
"Amazon5",0.380584306247662,0.412027556866434,0.131090911569817,0,0.155346441468537,0.184922906036951,0.287907836820377,0.426639584706004,0.877248199992416,0.524496869574626,0.201459094739261,0.449263233577205,0.314668626888563,0.308002634205702,0.196977209386478,0.235883168446071,0.324308918854353,0.285561873727055,0.451388266264194,0.271710912113301,0.282636288038196,0.615904341614086,0.402466584915247,0.406821682647005,0.590892309493967,0.534834048173886,0.237615955129007,0.465819982252418,0.355075144003424,0.460780245447476,0.339167108608271,0.343204677077559,0.196608001406538,0.37757226426663,0.453996844256007,0.227405671229806,0.223064496161314,0.233270354609745,0.44234311233171,0.282866559069691,0.181196999715659,0.205817344791961,0.259268835338923,0.241191873611821,0.197031789083616,0.312684577722446,0.295838665539796,0.238335939502659,0.319317726480832,0.949107067118265,0.385250224535666,0.442687556817253,0.542280536507356,0.399739433623174,0.369812732042948,0.382869026125074,0.303879336619147,0.162310968717326,0.27445901286966,0.254001792801085,0.294569901654803,0.366542615721866,0.318330285270404,0.515713521020158,0.820938437022468,0.391354358566452,0.177505564003546,0.344675575511,0.329635495995434,0.219184826761957,0.478209861374739,0.531701850516738,0.168200632176451,0.292979834442117,0.249283424685724,0.232648295259181,0.294305423108904,0.235026693559075,0.233899654599356,0.134444538368542,0.278196718138191,0.563947513577161,0.182581290552845,0.295102382939572,0.431770216514323,0.154236480782113,0.233640532801842,0.365589534106641,0.271948322277624,0.651722819562422,0.332356179796183,0.530032996249421,0.188653372429789,0.429980837872964,0.52697990322556,0.425519131887127,0.428600268571721
"Amazon8",0.375681304502636,0.41547981746201,0.18409897365929,0.155346441468537,0,0.145801384829714,0.274525892717174,0.422944478222961,0.874969679052338,0.538702454155187,0.18812594605934,0.449564320814464,0.325299636559209,0.311530796442935,0.193058237775382,0.229355518410308,0.285081902730933,0.289548876788936,0.458340221118267,0.235911129042024,0.282498331714733,0.609701348246064,0.40552027407064,0.369821448414908,0.601334294336779,0.537511377812201,0.255557858422473,0.467648678201324,0.361191288122315,0.47367715648972,0.341139499455538,0.353240658886302,0.184871501960892,0.373818136410408,0.402813097653485,0.217550856685699,0.210274200260971,0.224606709282623,0.465840177534533,0.274267021169798,0.162898650349984,0.182049828999067,0.239307022585914,0.231840419670896,0.1979247830477,0.305014254000979,0.306923124478409,0.242104856519555,0.326002997287978,0.946122599576772,0.381219781136721,0.444053542555642,0.539536490360998,0.358455669090987,0.346655614787894,0.380011946838636,0.30928182987956,0.144575415252082,0.253951220346737,0.221868377765427,0.281176126239795,0.357231242811975,0.32456504915944,0.51207155544584,0.809527395474207,0.390375008196857,0.151803286819718,0.328389703923633,0.323943191688995,0.225069755959748,0.467734355269259,0.53449815463046,0.158690473987925,0.270223450264876,0.209799552875006,0.202521619509482,0.277202629638362,0.239419916864819,0.243260727334277,0.172454457017437,0.290144324898144,0.532340505398345,0.171069665134097,0.313450541106008,0.440656671258355,0.189240389786119,0.190081508978759,0.360119992734397,0.274433239326,0.645834124595088,0.293372032276752,0.524956457869273,0.204320763172937,0.42483172650814,0.531615029771291,0.442896338786609,0.443419402074199
"Amazon9",0.373343653616949,0.395872454723386,0.186325780833436,0.184922906036951,0.145801384829714,0,0.265620549584148,0.413721290276866,0.873288568261235,0.548112184116143,0.223646138911654,0.469224167034774,0.320399336003905,0.321846878439273,0.207885468757115,0.235055843608189,0.287845414876797,0.294366682384189,0.440898490733323,0.239824214253313,0.284958699002634,0.604096035772515,0.395254126149266,0.366484594566853,0.598245079640392,0.527173012270443,0.275501355566662,0.447459947740939,0.384937081645956,0.462542379781509,0.335109378240424,0.371956154489812,0.192200702910029,0.387020108486387,0.41155458542126,0.224585954701559,0.23792246977808,0.224819842492867,0.484657108868105,0.281485471456016,0.159960175196319,0.188110138000573,0.212567076099459,0.220168828505407,0.205475563444954,0.305050486007014,0.307282120631627,0.250305017590628,0.330135413846794,0.947296998043565,0.358896123591751,0.431032488762041,0.529797443939738,0.368118231282531,0.346597177014241,0.37639198526745,0.307569848427174,0.155227828766806,0.261131266220101,0.246788878156813,0.302886878689658,0.366072246286824,0.317538819942359,0.502797839497229,0.805809489091922,0.375891253737038,0.169195021611158,0.302784215695318,0.318837894999647,0.23444599162947,0.464141154361247,0.515124766020397,0.141073636772154,0.249482510883593,0.22494018566292,0.206014683445588,0.26431488746194,0.230793402280008,0.243650623989947,0.200830835999965,0.300391035166972,0.538324422142251,0.186868133326111,0.336889635555447,0.434559566099359,0.211575572751718,0.239176612063424,0.37437662484694,0.27438262560103,0.638452948173301,0.316414274925302,0.524762518754907,0.233498915868059,0.446095688288357,0.527961847070498,0.4645288821281,0.430716675567305
"Andira1",0.393728868342365,0.422349412171862,0.304186651536878,0.287907836820377,0.274525892717174,0.265620549584148,0,0.344561179180848,0.849168144218653,0.488121675757342,0.314812186910297,0.435676784165543,0.405534929068357,0.368029654438835,0.339626773623436,0.321859534465268,0.293857317665348,0.340362932921708,0.487328021515456,0.252485223800061,0.390290304287183,0.553628294695786,0.34474088260241,0.356357630590011,0.545022874571648,0.513167887344255,0.381408955632731,0.449231842231933,0.39897436277453,0.461501388652032,0.383188900052304,0.360200317203303,0.300744855876559,0.406726491102725,0.359441078068122,0.324894965637394,0.329410985855333,0.327136236226772,0.458257711773681,0.294441879670054,0.24607734666163,0.27718284145001,0.307369362565785,0.307991604491276,0.33357098423479,0.37575369846483,0.414100927478449,0.352451461817798,0.395599803785979,0.92794681737914,0.384336040925984,0.493165341496088,0.567667487910852,0.343861838558616,0.275841997254995,0.383569972289371,0.390187746994783,0.31671421496084,0.331250428777528,0.325874019574934,0.349254323976655,0.3196600895961,0.393918755095565,0.508141464250187,0.755692166181286,0.432919754612175,0.289581461353545,0.287693522598748,0.394504824376324,0.350690686377775,0.429077441945577,0.547181666560454,0.285266582550448,0.298685037777692,0.238499192402238,0.298582881550685,0.356199646646756,0.350471901107833,0.366362359052026,0.298080631057091,0.321181800162395,0.47645783259071,0.27713120518046,0.378117480750941,0.455799893811097,0.27852710771944,0.24411732443372,0.374783316806124,0.368154458452825,0.636208284580359,0.302507941810421,0.554983090136475,0.33210100875715,0.449165730670663,0.514490035555646,0.43935972984835,0.454671685433433
"Apaporis",0.399452637262427,0.446804195292891,0.440444726158834,0.426639584706004,0.422944478222961,0.413721290276866,0.344561179180848,0,0.805772059027793,0.432979853431545,0.421322799426828,0.415399069680915,0.462280854096864,0.421962731914238,0.444151742582402,0.392085352414827,0.361323825716677,0.366485194140658,0.461109576791486,0.357726702734119,0.45217590004587,0.542000348729826,0.413093574461476,0.414342646247835,0.492587711822335,0.481949772872156,0.473632037513349,0.489705111217738,0.415040262549291,0.451052442991668,0.438242781584707,0.353281874819232,0.427930722479147,0.435227099879142,0.359994468284125,0.411542408560328,0.416612235666834,0.426151936602563,0.416924887553716,0.413319998812093,0.388875304370378,0.428256754609452,0.384336861665667,0.379637247536654,0.440154683363304,0.403571381644593,0.474635659362331,0.431395754944366,0.439336546289027,0.907531131230264,0.422722296815795,0.511486448206156,0.558105544194064,0.385558855799341,0.352372185187576,0.426564260838247,0.442125845658044,0.454558540047906,0.433784767702221,0.419865576898064,0.41175620917024,0.422115457708989,0.43645870244351,0.49977684936241,0.709945283902052,0.460697326021865,0.423304358470061,0.353922343686948,0.453284038281502,0.429356449012448,0.413344760718359,0.533503134494721,0.435109387975718,0.395414262843595,0.358351350100059,0.409050234908798,0.397250103549432,0.427872622426884,0.44602780706847,0.43235589277651,0.356185411063945,0.485934846429736,0.399827759001062,0.422073123036556,0.474282603913726,0.406394209655601,0.35253520508897,0.378408146305413,0.427871363287118,0.577830062531549,0.382487710989786,0.540194580207129,0.442569919359279,0.442458538989904,0.467691975768541,0.42133015807121,0.454685447535296
"Apurimac1",0.807499777966759,0.804207889296994,0.879035893766522,0.877248199992416,0.874969679052338,0.873288568261235,0.849168144218653,0.805772059027793,0,0.76465996659416,0.869569950859667,0.790665451986896,0.817377362458703,0.828210137103233,0.883483434534617,0.856316489213513,0.838200689535798,0.833538505580619,0.760295164827705,0.853928121674421,0.850584817033765,0.735956440182141,0.798090067907274,0.809585592644048,0.735482329686526,0.72443134025616,0.866657216729844,0.735937463859025,0.829571832376355,0.756134766148904,0.8250801633411,0.820859566246031,0.871547651596786,0.817654916282162,0.803817464101148,0.868734049104056,0.869117272709054,0.859452369767541,0.786137251152021,0.837283919449185,0.869722497785703,0.863961129407664,0.843987501660347,0.85680008128356,0.87848342767424,0.833966747791094,0.83528317114861,0.858559520733381,0.838020232432818,0.473155546670604,0.801979496012525,0.780579188613112,0.713664997994282,0.815068551330701,0.827550454318254,0.823485065004164,0.835783642621088,0.883832144586041,0.849541825729766,0.872931525730427,0.855756356245008,0.812798003854244,0.828340770090389,0.720450422855395,0.708591032187897,0.792795810821411,0.875264157283427,0.835479682128616,0.826900510145112,0.87157917037643,0.779519081517064,0.731526449887868,0.872362386741074,0.839937569232556,0.860060141843536,0.852807073601811,0.84491809889752,0.876022363784315,0.870700499286,0.880473514186356,0.834691831475805,0.741393438067603,0.867952228665252,0.851115901134711,0.796012644255874,0.867036252399921,0.854866942814661,0.797772463792581,0.85088808621724,0.58233934437699,0.834978836793276,0.695790210499815,0.878215583553875,0.814925725238973,0.768469253901931,0.800100450229453,0.79947181748831
"Arinos",0.474667450931295,0.44293073327693,0.524644985290793,0.524496869574626,0.538702454155187,0.548112184116143,0.488121675757342,0.432979853431545,0.76465996659416,0,0.496733266119648,0.351519283863753,0.538610891463553,0.476320991807658,0.546779298019573,0.504806678450199,0.472336788166735,0.496820982660305,0.486088301479316,0.508881003587414,0.556341382633582,0.525621834950271,0.418431539119751,0.482583802562466,0.390720092938279,0.484737255625794,0.523528805380961,0.515533283865118,0.408920464852579,0.500943825340219,0.493990444263238,0.398710938534222,0.531561526860058,0.434339688090562,0.478228025028578,0.536944407824005,0.506845036937188,0.532241622401561,0.229127565204302,0.495535318469392,0.523967667743412,0.528670574686252,0.542264587964335,0.525800182927818,0.550958438319815,0.508717221437074,0.556833789160056,0.519207472248173,0.504258264092254,0.884880564642553,0.522676953908489,0.543377616388964,0.578793522486974,0.481818538374468,0.478005666807737,0.454250214698704,0.523415299466528,0.566990547212609,0.537817182143911,0.523232166693323,0.494201566946895,0.498566262522766,0.512919181669651,0.529895223759834,0.700652217097059,0.512005695716263,0.545825946910662,0.47126481641902,0.524990225593882,0.545464145237287,0.406067174909214,0.530542280221872,0.545413408417153,0.520362746032655,0.499599160128341,0.539631991519478,0.495150218333268,0.551592137305568,0.552122942315856,0.516469929357936,0.418924406552288,0.509858642892534,0.528205966361714,0.376912720026417,0.523252745805749,0.508897029715249,0.481612237884891,0.439856042147287,0.551001865624906,0.559442181017283,0.493286719773373,0.54631643642937,0.510485967773189,0.393459541468098,0.383531003556536,0.293540817991405,0.475596117612037
