"","Abuna","Amazon1","Amazon2","Amazon5","Amazon8","Amazon9","Andira1","Apaporis","Apurimac1","Arinos","Aripuana","Bacaja","Beni","Blanco_Baures","Branco","Candeias","Canuma","Caqueta1","Chapare","Coari","Curaray","Curua","Curua_Una","Demini","Fresco","Grande","Guapore","Huallaga","Iriri","Isiboro","Itonamas","Jamanxim","Japura1","Jari","Jatapu","Javary1","Jiparana","Jurua1","Juruena1","Jutai","Luna","Madera1","Madera2","Madera3","Madera4","Madera6","Madre_Dios","Mamore1","Mamore2","Mantaro","Maranon1","Maranon3","Maranon5","Marmelos","Maues","Napo1","Napo2","Negro1","Negro2","Negro3","Negro5","Nhamunda","Orthon","Pachitea","Paru_Este","Pastaza","Purus1","Purus2","Purus3","Putumayo","Roosevelt","Santiago","Solimoes1","Solimoes2","Solimoes3","Solimoes4","Solimoes7","Solimoes8","Solimoes9","Tapajos1","Tapajos2","Tapaua","Tefe","Teles_Pires","Tigre","Trombetas1","Uatuma1","Uaupes","Ucayali1","Ucayali2","Unini","Urubamba","Xingu1","Xingu3","Xingu4","Xingu6","Yacuma"
"Abuna",0,0.00936116189412552,0.00701353040230329,0.00659943322831705,0.00759328915948165,0.00671189887121507,0.00962215223374219,0.00892574374517142,0.010104977413011,0.0106598963431284,0.00668920392015656,0.00902156735188182,0.00669115061615829,0.00811392215212991,0.00730435743267832,0.00650200601257683,0.00864831219591952,0.00660545345998186,0.00701468082934385,0.00833224359226486,0.00720128800010386,0.00921324151748807,0.0104333058016235,0.00992880811503684,0.00863642390063191,0.00802918383619601,0.00661625469203658,0.00909964378281065,0.00877476259409568,0.00819105549429694,0.0070114126437853,0.00862603667300129,0.00631677073569144,0.0084915273672945,0.00984860875575079,0.00666191238645245,0.00713408685623483,0.00693982494100547,0.00884549280299879,0.00888289996379159,0.00699390513251143,0.0073866098077616,0.00716981669315548,0.0065512173726056,0.00632224738180962,0.00723595669531476,0.00710641984995532,0.00660334977249007,0.00674526806674426,0.00520841965495437,0.0076019337292556,0.00959678224906156,0.0104111858049777,0.00796046353168587,0.0106959314272877,0.00788277323636008,0.00719120641269396,0.00663684901435519,0.00985945334869836,0.0071956089605878,0.00823251367540842,0.00991149849807164,0.00753212562597748,0.00996665402569985,0.00854366918208298,0.00870333715394022,0.00734130724387382,0.00762423158391394,0.00801279349670143,0.00712540893203488,0.00792681568600733,0.0105229232154617,0.00735311518800179,0.00852291945740225,0.00906092112950287,0.00751762860035682,0.00863797100684032,0.00653772258550978,0.0070483192801093,0.00677682369143699,0.00809443455263992,0.00992243647824877,0.00713499296040603,0.00826615925141822,0.00760119981182336,0.00833209803694842,0.00882429219252615,0.00879935798719757,0.0074418460629959,0.0127186620274688,0.00952531474258651,0.00920796761732404,0.00630156241924951,0.0100204178804887,0.0109588517671761,0.00924995694576887,0.00789232762321711
"Amazon1",0.00936116189412552,0,0.00657260557986756,0.00634476210415762,0.00665443777008159,0.00751793373728363,0.0111256555896936,0.00947337850470909,0.0121260478704067,0.01028908629899,0.00779362044180901,0.00972189370899383,0.00796431774543666,0.00898552668455818,0.00662281149592123,0.00773093948514453,0.00969670903747571,0.00722561661596967,0.0087553205196692,0.00912688927715524,0.00730912112571297,0.0114659842012615,0.00945910911426853,0.00956828574037646,0.00963659745668428,0.0092250932875633,0.00710850371586385,0.00949545215246456,0.00978879781425619,0.00992801152219106,0.00841379782715882,0.00842598904880958,0.00689383155395602,0.0077241615985264,0.0114385599178641,0.00698976412122426,0.00734592061889437,0.00771825939393852,0.00962136505343796,0.00832708969512347,0.00663630560184589,0.00735565161393861,0.00808251159917896,0.00784582484733268,0.00674353485664485,0.0096048227374636,0.00743713747463433,0.00732860618530225,0.0074842261835409,0.0077071300040345,0.00861828709881592,0.00903302527378517,0.0106758136686286,0.00907276540560986,0.010184962799605,0.00779071578505378,0.00716324855046051,0.00606839203588644,0.00834306297558028,0.00708876779452841,0.00667670733016578,0.0104605827021158,0.00776062394902032,0.0108795292700718,0.00902351932079013,0.00857430467526228,0.0065667486560128,0.00794624041395339,0.0078918494027924,0.00676567859013702,0.0111403401662358,0.00995160811347332,0.00682526647461952,0.00771682022587724,0.00919481827646721,0.00756090103860868,0.00693927584835088,0.00619757124966004,0.00669910506163255,0.00682742840561829,0.0081159501432642,0.0112924482816529,0.006905887464509,0.00862470492482412,0.00857668261045107,0.0071913730160232,0.00853964421589701,0.00936193653362702,0.00637104262018965,0.0119197131824447,0.00941825194203913,0.00986136273462653,0.00663900378755464,0.00984031326981474,0.0107511305154485,0.0101157685527738,0.00960825005211903
"Amazon2",0.00701353040230329,0.00657260557986756,0,0.00477224576674269,0.00516973890857804,0.00484621136797317,0.0073890212884003,0.00750001039850546,0.00639833529347427,0.00735546304811709,0.00565466682707476,0.00722661929893173,0.0064984091706536,0.0068624459183474,0.00539583663025043,0.00604324443237029,0.00633117631750769,0.00677055426779454,0.00684723331061987,0.00686221233411234,0.00598059606612632,0.00679249852318228,0.00721215910817459,0.00750560849275703,0.00672982011663184,0.00707778789338146,0.00593493495829329,0.00689240182992148,0.00687057833002225,0.00742376197829209,0.00621025217466675,0.006723078671505,0.00498558955711169,0.00548962145423824,0.00741040930592514,0.00645419285723253,0.0057716391000305,0.00644312275930633,0.00764058701653417,0.00643481402908545,0.00562376109966516,0.00590527656489406,0.00694760174013671,0.00610616811290501,0.00543768133665219,0.00639925959965969,0.00652003967506531,0.00539840929824513,0.00575826591810632,0.00369790779792337,0.00660805741740259,0.00839162541718348,0.00838490828795924,0.00759117350627374,0.00664757695195616,0.00687694602723794,0.00671350861599095,0.00461439082336639,0.00654102333823282,0.00638994786100917,0.00625253464180164,0.00728367032458959,0.00696704532580959,0.00752001988213068,0.00458175119531607,0.00689246372734708,0.00536485548600773,0.0068294495041952,0.00658020232775844,0.00588367211181854,0.00785830222869397,0.00801930998253188,0.00447067809685299,0.00648473558971881,0.00612242388896688,0.0049633636247989,0.0052796117288574,0.00606138680314942,0.00599358480538211,0.00506821083917007,0.00702583949621845,0.00763317980574576,0.00502465606275999,0.00703247255129267,0.0065836030202122,0.00569384402664671,0.00527553043294669,0.00786575996688101,0.00498440408467132,0.00869147386697459,0.00687568788261648,0.00760933520664548,0.00523203352638383,0.00711678145858069,0.00757131769517116,0.00752445398242539,0.00676298145143174
"Amazon5",0.00659943322831705,0.00634476210415762,0.00477224576674269,0,0.00468442339451225,0.00516591698783426,0.00636283453829397,0.00720732425142308,0.00649760062230109,0.00712164974164483,0.00594193287522393,0.0070224997304062,0.00635338497030846,0.00679769109276655,0.00521728307489622,0.00561856000027419,0.00679367820667508,0.00637665073303835,0.00722463391652713,0.00639655511403993,0.00606111661031194,0.00629805359913685,0.00707574784367346,0.0071391656591468,0.00671272229185284,0.00788980541811313,0.00519202385089684,0.00781737560292339,0.00689188050728378,0.00753982910960207,0.00644589571142834,0.00685929112812272,0.00493688080422374,0.00622429215725915,0.00693010682473081,0.00580655769899067,0.00551502360370568,0.005805478688897,0.0072263178831516,0.00555468908037219,0.00564100475205748,0.00582517770098969,0.00649143670012525,0.00650018649487257,0.0057456177581284,0.00633669822013763,0.00598902356920064,0.00568325261166948,0.0069122494259745,0.00326145290897594,0.00621576639839966,0.00733785497371744,0.00807640996210988,0.00687130190695318,0.00636666535386747,0.00631572175911721,0.00690563914801141,0.00473466480704547,0.00579088465898221,0.00624826606224506,0.00679911928618284,0.0064299385536937,0.00693647017401136,0.00665857369180589,0.00362203890749795,0.00723427977176489,0.00462427420496946,0.00673190981339514,0.00693109506311765,0.00541205778090526,0.00784721968906381,0.00783244258023379,0.00487839361404052,0.00591040620045766,0.00619334147103503,0.00529390707836418,0.0061449565023128,0.00528348247332177,0.00624066707327082,0.00415355860519507,0.0070058064837018,0.00757457526059666,0.0049848411836615,0.00638065947875523,0.00769164865516696,0.00448188811597631,0.00556583877170617,0.00718731704673014,0.00595088111418226,0.00853039029515325,0.00662733426302542,0.00770869341983128,0.00526071867612181,0.00732529484895236,0.00729448807977614,0.00733626935992354,0.00747234393817834
"Amazon8",0.00759328915948165,0.00665443777008159,0.00516973890857804,0.00468442339451225,0,0.00432079758790008,0.00619291169932154,0.00723523050276481,0.006579870540211,0.00759248891472399,0.00597918623956,0.00832383100321445,0.00675802770568697,0.00601438390326424,0.00514437545163307,0.00634232105203361,0.00670663349872055,0.0068603220831647,0.00705539811530215,0.00646457832974173,0.00705757297083011,0.00717640500918156,0.00757994728170642,0.00690422708676999,0.00753896470932089,0.00725004662732485,0.00595541313045382,0.00723471959176224,0.00791465003454057,0.00746449007666392,0.00600915001593501,0.00749550352944649,0.00533742136022597,0.0065561574955394,0.00715039360582045,0.00587144098710592,0.00616232544789866,0.00636994435582966,0.00716740891392479,0.00532797667233173,0.00526457889834177,0.00503238431563091,0.00597587638968092,0.00587759053545697,0.00553585341450423,0.00662734918212439,0.00616417365770653,0.00603807671684964,0.00623433134975949,0.00395393025660379,0.00629472905191352,0.0086688172596781,0.00900646982142439,0.00647007913419723,0.00684597214898947,0.00637852545710192,0.00788877141164704,0.00469438658345013,0.00649436720504698,0.00595799630798006,0.00647634141753019,0.00742868694967791,0.00637871464883653,0.00820040429449879,0.0036378012924384,0.0080262046829403,0.00413752898369698,0.00658722354945063,0.00672872606215924,0.00591532019037166,0.00668367714735556,0.00858113716002032,0.00424590039035812,0.00642824947208628,0.00624504438782802,0.00484241035294735,0.00640045352977567,0.00559918851439451,0.00652353153437692,0.00496871317498263,0.00683787681299067,0.00726606524139514,0.00449589588289923,0.0065925732803165,0.00739514561247988,0.00494275019976765,0.0057625525399431,0.00756491042571282,0.00658397202946341,0.00896904680319472,0.00705529077361953,0.00806170344347607,0.00542559751245182,0.00737516240216395,0.00805681127347802,0.00729491394298006,0.00651134644618654
"Amazon9",0.00671189887121507,0.00751793373728363,0.00484621136797317,0.00516591698783426,0.00432079758790008,0,0.00691406723944683,0.00777859451342062,0.00641729731795536,0.00785685507458104,0.00599861841084242,0.00764034813155116,0.00621811256083379,0.00645523578535034,0.00539280020092949,0.00604464076859657,0.00658784634541462,0.00693776373597805,0.00748195179743912,0.00631159079182899,0.00647154589931573,0.00803540205642706,0.00762312676489349,0.00755437874107648,0.00772729051892678,0.00692817929743259,0.00624079637311761,0.00756961310831604,0.0076250340388969,0.00797535792829177,0.00626109011181455,0.00731769804650515,0.00441967014214425,0.00690299662456937,0.00694455561164165,0.00622265549866944,0.00628915136390481,0.00544908387521344,0.00764415648787874,0.00544796498204076,0.00504394480694432,0.00495920229941848,0.00623765872219057,0.00589929441040121,0.00573956809897169,0.00649959972457921,0.00598032575374579,0.00567564645226106,0.00563694771058427,0.00332681374095704,0.00612182965483421,0.00797934706082629,0.00882928308046828,0.00681134344644139,0.00745779834254481,0.00697778359566508,0.00695909204986703,0.00478602101797223,0.00675431454773609,0.00590636308771382,0.00621653693403956,0.00713358149006161,0.0061791380145501,0.00864090558248164,0.00434673635180216,0.00673970707098469,0.00497474389432228,0.00620833020793731,0.00595952083709721,0.0059136976093112,0.00764386940588235,0.00967114599732648,0.00400127909990774,0.00560942204069334,0.00563786190223488,0.00459315200277684,0.00632328879079892,0.00579179638404728,0.0055600122504868,0.00524710036371569,0.00742061715185463,0.00730972017900336,0.00487708034838799,0.00707466467079724,0.00773210913479285,0.00661474121162295,0.00690169116067965,0.00672405713959007,0.00639306607468454,0.00888988766977355,0.00666409058495577,0.00880938765711489,0.00627642609361915,0.00769618887721865,0.00875691866416332,0.00741928137165517,0.00715969784660627
"Andira1",0.00962215223374219,0.0111256555896936,0.0073890212884003,0.00636283453829397,0.00619291169932154,0.00691406723944683,0,0.00775924615421361,0.0093173618685022,0.0085834098727928,0.00665795744452647,0.00861534909628747,0.00723321078662935,0.00723311319963533,0.00635760946878753,0.00759562757731986,0.00867372088427534,0.0076416493584937,0.00843063088783649,0.00815209553684599,0.00750946240696193,0.0103950526485453,0.00882644704954203,0.00871520805939442,0.00839179777910839,0.00951581097091752,0.00634954384592744,0.00849566089490585,0.00785631239387463,0.00866334963408046,0.00719396417736987,0.00694457121604207,0.00741232480460086,0.00884336728307536,0.00850183775243557,0.00643328027927669,0.00642642753128033,0.00666656945734166,0.00826890180685494,0.0082701422188332,0.00643292826037768,0.00600655443428019,0.00655637833785182,0.00666560527772668,0.00626849972515496,0.00808590709750122,0.00697825748875175,0.00659796517143813,0.0079996232116445,0.00507237749375759,0.00822350103920377,0.00962289865819513,0.0100706480761753,0.00875639657965434,0.00792681908431651,0.00778858094209793,0.00740413849042633,0.00649529921830432,0.00862830856712471,0.00710762144615632,0.00673826967550189,0.00815292609589098,0.0081548377781335,0.0093492423205411,0.00734382307896367,0.00888627475134786,0.00604465989414634,0.00720694409843782,0.00729459446896221,0.0068572093435045,0.00898343942857909,0.00982296671775613,0.00690106233455325,0.00803793832407431,0.00774347988695532,0.00831124057277744,0.00837641270701332,0.00672902045563765,0.00631788579501495,0.00632393572968389,0.00770227065194949,0.00874867076430385,0.00713887195511997,0.00679512285555896,0.00931812048200267,0.00767238354496538,0.0070810860791217,0.00744803272626252,0.00728235512038093,0.0109115936713656,0.00772014780721529,0.0105567003002344,0.00652645000442588,0.00940132935619836,0.0111189874892619,0.0086396102371624,0.00869685657575503
"Apaporis",0.00892574374517142,0.00947337850470909,0.00750001039850546,0.00720732425142308,0.00723523050276481,0.00777859451342062,0.00775924615421361,0,0.0110048188078071,0.0089804355075173,0.00677871858163292,0.00997301965433394,0.00790217475786169,0.00837696521778137,0.00586172095052475,0.00813682894910069,0.00852291173484246,0.00743885288623191,0.00875146915316742,0.00845333386291655,0.00730384359408676,0.0108205566046877,0.00844327439612211,0.00904699583061488,0.0111642142145376,0.00982637590288333,0.00708814767824118,0.00940110420146698,0.00872546131001081,0.00995585437665712,0.00872878413569866,0.00883384563526626,0.00764583857317469,0.00920832579729599,0.00992791932422161,0.00769313010135677,0.00741801132427579,0.00829545783126857,0.0104508208366397,0.0082181789531303,0.00742839296929346,0.00653865933172879,0.00833583324319575,0.00722551110303686,0.00663689447754564,0.00847147142646688,0.00735399306266503,0.00769587141224655,0.00843750738568673,0.00635875482278516,0.00898534648624122,0.0103930052359385,0.0110664393321046,0.00885734363971612,0.00872698936907116,0.00910730509288146,0.00772101021247281,0.00681362817559674,0.00953588485863983,0.00736713319760209,0.00764533675032262,0.0107283791708721,0.00781780456132892,0.011273327869441,0.00957368086549001,0.0091292266512593,0.00760862240912033,0.00920608098325825,0.00831134711445192,0.00647055997039173,0.00960675388003706,0.0109196679041916,0.00749012706732079,0.00886013043498529,0.00842731810810224,0.00869824142306557,0.00853851760688807,0.00651169889063788,0.00720898669537352,0.00664595631160734,0.00899831957387952,0.00960689060558544,0.00738930589012478,0.00859886812566336,0.00897689353281045,0.00884439336900163,0.00886036460364465,0.00872268641292635,0.00712208647323803,0.012300602173457,0.00923182264876641,0.00974625404425887,0.00772649684642611,0.010633785487698,0.0128474272293331,0.00941463322828218,0.00934625582061077
"Apurimac1",0.010104977413011,0.0121260478704067,0.00639833529347427,0.00649760062230109,0.006579870540211,0.00641729731795536,0.0093173618685022,0.0110048188078071,0,0.0146613683932819,0.00648717980805349,0.0128049911002278,0.00770094096627855,0.00861684179565144,0.00607881882619734,0.00780369697086518,0.00886921925907208,0.00686022836667828,0.00996077696061119,0.00903100685583663,0.00671129145322342,0.0187461063697992,0.0102042372823333,0.0101273341397804,0.0163452405044212,0.010749789590981,0.00584207805646343,0.0102364309642513,0.0085656804031113,0.0103870623294171,0.00802763844096537,0.00885404856911257,0.00673850437933312,0.0101169037228073,0.0140094898401485,0.00758777697649117,0.00712021225194622,0.00648204549645105,0.0117153608942096,0.00825501014962807,0.0063444594644545,0.00697053433797129,0.00820339868826893,0.00657423696105721,0.00626446104969682,0.0089398202960033,0.00607735259747119,0.00733618975073506,0.00716834963992992,0.0241153345893856,0.00966984888894186,0.00889908702093003,0.0103234118789001,0.0102515770555507,0.0118175222582521,0.0100662026639318,0.00704271103993879,0.00571174521141677,0.00855812378565314,0.00686424634701805,0.00712694801492875,0.0120307484929739,0.00844327803971083,0.0106390648979446,0.0268989462963095,0.00978978085772074,0.00690305232836219,0.00930023418626367,0.00822856559958663,0.00613807149344215,0.0121713455478189,0.0118268063867954,0.00687523364786102,0.0097407146654397,0.00960905006666271,0.0081559509554349,0.00924571555877178,0.00561423901405651,0.00620806896014887,0.00601448619966412,0.0082286163202965,0.0158415476175035,0.0070649900394576,0.0076572683573391,0.00954010007061704,0.00744387488589971,0.00741220060210555,0.00916996219841172,0.00653785485080994,0.0143536100125686,0.0106729588316344,0.0115261755426472,0.00709828746116593,0.0123467483485185,0.0131148320567403,0.0102752172001662,0.00951411395492879
"Arinos",0.0106598963431284,0.01028908629899,0.00735546304811709,0.00712164974164483,0.00759248891472399,0.00785685507458104,0.0085834098727928,0.0089804355075173,0.0146613683932819,0,0.00759517830292072,0.0107129042806316,0.00920226184873141,0.00888815958370138,0.00626920891677706,0.00876495577415908,0.00831287433635923,0.00771144537531918,0.00962615950997051,0.00934074693250253,0.00793492215562204,0.0134094603339528,0.00989769047385145,0.0102274303396531,0.0119091314881924,0.0109047356786485,0.00752255251846558,0.0101192663220462,0.00891326083656445,0.0108211532818155,0.00893080889862614,0.0077135680952116,0.00869535762015255,0.00930371042392142,0.010828744981898,0.00882067073852837,0.00812680798185566,0.00824794643702805,0.00836930517968636,0.00936333906273442,0.0077067033538104,0.00894976598646302,0.00937027768552178,0.00970324843883514,0.00754149392370396,0.00972236908104803,0.00900535163613272,0.00822358411481978,0.00916752865458518,0.0087674213432686,0.00934367166688123,0.0112905774439173,0.0136952098057596,0.0110684229032883,0.0102252264599847,0.010382112913127,0.00876091803427116,0.00669955817420991,0.00987727797212678,0.00752932714361427,0.00822303161937316,0.0107644349110113,0.00904510891447694,0.0130082353416698,0.0119412899060763,0.00936619643933669,0.00811206816926096,0.0100548829368435,0.00881646761721355,0.00726507094009193,0.0114715532014887,0.0127627684392785,0.00767585260408048,0.00854719824754374,0.00966028774399797,0.00949617864671456,0.00919702493740576,0.00780848580332212,0.00810366575321726,0.00600778099877538,0.00745558104172001,0.0110641472358623,0.00764953400124835,0.00661928520824445,0.010085258633428,0.00784489394716847,0.00900703610002167,0.0101069336680938,0.00896613974280333,0.0137311202257768,0.0100903125043428,0.0122167164549158,0.00692891571987561,0.00938420282541519,0.0113193992463924,0.00825406633878766,0.0108045125616042
