"Variables";"TaxoBsim";"pvalue_TaxoBsim";"PBsim3k";"pvalue_PBsim3k";"PBsim_gen";"pvalue_PBsim_gen";"PBsimCasse";"pvalue_PBsimCasse";"Fun_Bsim";"pvalue_Fun_Bsim"
"Int";0.51;0;0.24;0;0.21;0;0.21;0;0.08;0
"D_energ_s";-0.04;0.25;-0.04;0.09;-0.04;0.11;-0.04;0.12;-0.03;0.16
"D_water_s";0;0.94;0;0.91;0.01;0.7;0.01;0.71;0.01;0.43
"D_temp_s";0.08;0.01;0.03;0.14;-0.01;0.53;-0.01;0.53;-0.01;0.59
"D_Habitat_size_s";-0.01;0.32;0.01;0.39;0.01;0.19;0.01;0.19;0;0.53
"D_Habitat_Div_s";0.04;0;0.02;0.04;0.01;0.29;0.01;0.27;0;0.67
"D_Habitat_harsh_s";0.09;0;0.05;0;0.04;0;0.04;0;0.01;0.27
"D_Habitat_position_s";0.03;0.16;0.01;0.46;-0.01;0.36;-0.01;0.38;0;0.83
"D_Habitat_fragm_s";0;0.76;0;0.77;-0.01;0.51;-0.01;0.51;-0.01;0.28
"D_Habitat_water_s";-0.05;0;-0.02;0;-0.03;0;-0.03;0;-0.01;0.44
"D_Habitat_SampEff_s";-0.02;0.22;-0.04;0;-0.05;0;-0.05;0;-0.04;0
"D_Marine_Incurs_s";-0.06;0.02;-0.02;0.1;-0.02;0.18;-0.02;0.19;-0.02;0.17
"D_CurrentLGM_s";0.04;0.03;0.02;0.08;0.02;0.09;0.02;0.07;0.01;0.16
"D_Pebas23mya_s";-0.05;0.01;-0.02;0.06;-0.03;0.03;-0.03;0.02;-0.01;0.54
"D_hydro_s";-0.01;0.39;0.01;0.39;0;0.56;0;0.55;0.01;0.04
"D_spat_s";0.13;0;0.07;0;0.08;0;0.08;0;0.01;0.18
"r.squared";0.54;0;0.36;0;0.24;0;0.24;0;0.08;0
"F.test";364.5;0;174.88;0;97.89;0;97.89;0;26.23;0
