"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.835742444152431;0.745735275806251;0.73311102877609;0.740893876747391;0.741159069517279;0.680035890533872;0.781904467141236;0.963346852936758;0.830065359477124;0.673805153307499;0.766097240473062;0.580885576501534;0.58177367132591;0.824064107164215;0.59231113097899;0.75177304964539;0.701649286295392;0.5836132885405;0.667437676689797;0.730789825970549;0.932071418982414;0.821037807388149;0.93399551425825;0.800643883110451;0.666989351403678;0.602609506057782;0.749097286701744;0.707846410684474;0.617862082592373;0.610657705232837;0.740336777650211;0.710455764075067;0.78494623655914;0.865230982980201;0.694354403025392;0.643523177030925;0.68721324556154;0.792095649285951;0.666749979171874;0.695424569991162;0.68282440031319;0.636101776284206;0.623359847712285;0.608743979251575;0.505012842820449;0.621052631578947;0.578102490224326;0.614145974416855;0.989729225023343;0.681332609089263;0.751133786848072;0.830535034698903;0.722009365687527;0.737265976362305;0.625368731563422;0.651655729048805;0.823507119268042;0.915986557849256;0.88069876438006;0.848227276207979;0.819836214740673;0.57706266634406;0.775499305778062;0.960144927536232;0.685487467665685;0.724648689707558;0.684087011463129;0.641228478362029;0.753819139596137;0.788009592326139;0.752139529845087;0.750544662309368;0.700710626342753;0.709469509172038;0.72875958894196;0.660518444666002;0.749269774506368;0.737714839022029;0.730722303562713;0.710754667367867;0.94231008330225;0.71112865035517;0.704870817450233;0.722842155460181;0.707891126994441;0.691951743513469;0.770761576731726;0.721938441388343;0.817224520496427;0.830190561708071;0.757142857142857;0.781410256410256;0.787478225227995;0.822727811352056;0.749821882951654;0.629672558678644
"Amazon1";0.835742444152431;0;0.745822339489886;0.778151051387334;0.783845278725825;0.759542510679344;0.8337785693084;0.928494815874151;0.96002498438476;0.691056910569106;0.825406802150988;0.726966873706004;0.848970251716247;0.877321233509789;0.844292729668224;0.795124238162213;0.806041666666667;0.865892373209446;0.850208333333333;0.765539092349269;0.900767543859649;0.82192019515595;0.722880815806246;0.801524809398825;0.834259259259259;0.916445790735833;0.886820830983268;0.915862233345251;0.777640008266171;0.941110361879074;0.887408166752093;0.741817398794143;0.823300970873787;0.641975308641975;0.764244715105698;0.866444998614575;0.833986119700406;0.82514107009314;0.717251346734989;0.786350148367952;0.7809902926182;0.802496491616811;0.787801127626858;0.825406802150988;0.850690556177678;0.856594338780248;0.89247311827957;0.827014050695474;0.872013921847809;1.00618101545254;0.859459459459459;0.909148665819568;0.919402188417401;0.830597014925373;0.778749241044323;0.890938909389094;0.912560501467904;0.850146549427125;0.86929779600205;0.84312859036677;0.85269625677096;0.829565217391304;0.846060919837777;0.947256592925884;0.979009235936188;0.900245459008346;0.801486607714981;0.797985841060923;0.835879743716117;0.863373620599054;0.780329799764429;0.88502230720204;0.836977648202138;0.754582665954796;0.858337782523581;0.775064073571536;0.750358422939068;0.895374577653501;0.856292517006803;0.773485405935737;0.747768499856032;0.831082130104021;0.817901234567901;0.81298796730045;0.914870805189235;0.784742577978204;0.773447232603666;0.833118001722653;0.898544920571352;0.941222693697941;0.851042022548685;0.96455938697318;0.730939370283633;0.782264730192467;0.72875958894196;0.762723762723763;0.918874713771672
"Amazon2";0.745735275806251;0.745822339489886;0;0.328603791582211;0.410433425381198;0.440231130371975;0.619787155055067;0.818904041035906;1.01466256883084;0.895973154362416;0.55254911413764;0.852368387988441;0.695081967213115;0.671173375749419;0.623233163083502;0.606156466723446;0.710614525139665;0.757142857142857;0.7764121663563;0.597744360902255;0.720611238118157;0.893788977981418;0.755241682360326;0.887432584974288;0.899556681443952;0.867925712134521;0.591277890466531;0.852058050794445;0.756297307358233;0.812944257388702;0.707705500428764;0.758178877969897;0.501137043686415;0.721854304635762;0.845566906293354;0.612790557629772;0.596401492357684;0.589455332451605;0.863007670061612;0.641891061109062;0.437567795588767;0.497456703403173;0.610314835232145;0.565324816198626;0.543460116847502;0.674142804473393;0.665605095541401;0.578658463023284;0.639020825721593;1.00628608082104;0.781052631578947;0.889151236485647;0.927016484207877;0.81742946708464;0.779899812147777;0.775641820662284;0.732793275673042;0.481818181818182;0.746661766507412;0.78290349921298;0.804989630352568;0.751467832604622;0.691982346450901;0.933964630628371;0.970795439989753;0.835807050092764;0.487982781298577;0.718521728364492;0.731525589348968;0.555680606563203;0.877638730881052;0.861707470182046;0.390864755560842;0.55350780194127;0.579555227914977;0.507946136115492;0.586355255070682;0.65284851356153;0.630427025098132;0.34706512680081;0.690564406570335;0.936716077537058;0.426444097514111;0.714628740302918;0.893110309662977;0.511036992116434;0.586067084408404;0.843886055479537;0.680710598967711;0.97078210166054;0.843317109696743;0.89538230509323;0.507723625913064;0.83837689133425;0.907098648477959;0.851206099237595;0.801630773061123
"Amazon5";0.73311102877609;0.778151051387334;0.328603791582211;0;0.371525003994248;0.470997958448421;0.58283502621232;0.772131757315259;1.00145348837209;0.892699115044248;0.563852380189133;0.850690556177678;0.705213499455667;0.648360788768969;0.572780174973279;0.577924962642866;0.718245657262536;0.664211333548595;0.783540717013675;0.587422436316133;0.712576527549918;0.923101106639839;0.78096244715245;0.832995113062205;0.902843305081207;0.866278588001326;0.571783358499563;0.857559100677798;0.783219079676532;0.799554841103005;0.690995491653466;0.78482991238534;0.48141508306442;0.781181619256018;0.816962056914628;0.611269072123664;0.60135675978548;0.594517315844197;0.821526394422311;0.592703495477878;0.436428113479724;0.534136626971355;0.561837455830389;0.570223593524603;0.511457050951114;0.670162078514416;0.702330508474576;0.551551973051011;0.642657936219231;0.999578076874393;0.775419040203271;0.87567300974066;0.924380216768407;0.790029398368598;0.739886664460622;0.776373558737844;0.742419954721863;0.470285199404529;0.723285000609236;0.7290937613129;0.736885776734397;0.712106827375547;0.681723969763472;0.938354178745962;0.978214150267583;0.79740849914026;0.487361171927869;0.706854871752848;0.766622097970098;0.58095670722073;0.874828060522696;0.85345685152947;0.397011612698664;0.569683644802736;0.569683644802736;0.493251682043431;0.615249887988269;0.634216658109869;0.61127184812334;0.365792709531554;0.679403827281649;0.91299173139564;0.438296512324717;0.710168869309839;0.886021549596973;0.387476838798034;0.543788933675339;0.778289663115462;0.711153707919013;0.979800300802139;0.796770601336303;0.92674961762639;0.506954684946794;0.850636205899364;0.917333166708323;0.817455401387512;0.801675172867962
"Amazon8";0.740893876747391;0.783845278725825;0.410433425381198;0.371525003994248;0;0.372463945245661;0.535451768540805;0.78717220497066;1.01336310666062;0.923631990378833;0.467556336086748;0.861875125476812;0.722277535780959;0.670172074056122;0.519875554850983;0.519910859332695;0.632474731007499;0.694359240966987;0.791457450277144;0.510537187871263;0.689180114364787;0.934017141086979;0.764857190579589;0.805591048988345;0.91331592689295;0.877212106381322;0.610578317349521;0.843398791039993;0.804425239935728;0.820055306821175;0.702142494929006;0.787901940666681;0.432065217391304;0.788551401869159;0.765291319456159;0.55439104459352;0.563273034519968;0.54276686748824;0.881053725240473;0.548503529562079;0.4026179560747;0.406687362699698;0.514008620689655;0.526000878097591;0.50489295414603;0.649400653059488;0.722969338353954;0.572603664712563;0.660343100425745;1.00628211116301;0.746010810810811;0.855490448079813;0.928763260373305;0.723931149361466;0.697314358491611;0.741491876884368;0.717120992242883;0.448471383723738;0.61479462474645;0.658894111825829;0.679366209720491;0.686545134108057;0.69986985366473;0.925723047521694;0.973235273582051;0.802328966521106;0.40566113544136;0.645971323299009;0.771261181806728;0.545320153350351;0.858954363599376;0.871087355937865;0.363396068923028;0.456371986222732;0.456371986222732;0.398257017471226;0.524529105033521;0.642164781906301;0.616193334260787;0.421095601266453;0.704091832457357;0.881316659283743;0.396396213794921;0.733634528501394;0.874207730153708;0.440821393472301;0.476655185610409;0.787901940666681;0.672883003280282;0.96908224645509;0.713027994856069;0.910660976095177;0.51578650440249;0.828444954685448;0.940053481366144;0.897681034767938;0.813503733423708
"Amazon9";0.741159069517279;0.759542510679344;0.440231130371975;0.470997958448421;0.372463945245661;0;0.550185136207353;0.776014709888314;1.01271432723046;0.944029850746269;0.533139965440632;0.898305084745763;0.700264250660627;0.697189425051335;0.535862971333413;0.52953079549766;0.629185007336268;0.685748548346377;0.756435907696412;0.530554828578906;0.677399532997419;0.919665809768637;0.768908140814082;0.817676906198574;0.926025081020149;0.862469101895084;0.640820500481232;0.848202124761645;0.833089116824297;0.801404077224247;0.709669112913609;0.824460238701891;0.443433975991269;0.776978417266187;0.77854358117516;0.568067019834914;0.570277914412198;0.568878802747792;0.925780171223419;0.582228289131565;0.402308072080968;0.407335666083479;0.436719454100682;0.500431992100716;0.477362795724751;0.629641651519086;0.678571428571429;0.573805988616679;0.671991885381007;1.00628012268147;0.723333775009938;0.843520128393741;0.938702089387021;0.726325887350966;0.741942092324501;0.768524677397898;0.736297893935549;0.418646217712177;0.614136732329085;0.701636068440115;0.712111563932756;0.729720564297341;0.693949948400413;0.912164015359298;0.978769812418205;0.780441098784998;0.468005322366033;0.642147775423729;0.717771815510413;0.579354762467502;0.883704637802998;0.849078657865787;0.341649755282321;0.433242506811989;0.529518619436875;0.432408685829045;0.537092373652072;0.625959607889453;0.601050495404082;0.475649156395836;0.721586424625099;0.89304850535815;0.466674819615996;0.729770294962151;0.877177700348432;0.481999498243854;0.536395484624367;0.810245407000134;0.686209844876023;0.976630895227337;0.734916125541126;0.902957612103039;0.566225567561005;0.883093035908596;0.952251118568233;0.903490899212171;0.822561139478635
"Andira1";0.680035890533872;0.8337785693084;0.619787155055067;0.58283502621232;0.535451768540805;0.550185136207353;0;0.660176462261925;1.01403486688904;0.874400767018217;0.615627677210472;0.823290788562382;0.763808036348147;0.66691091935871;0.712422335510594;0.661766828658038;0.622661213123314;0.669065522229262;0.807153424419111;0.472939172288847;0.82039740915578;0.895964800555781;0.644724579388826;0.75061840169434;0.882916560810075;0.796202058302307;0.707066755880385;0.800213893650819;0.784765918143508;0.719741159314619;0.686465358675659;0.729552115094284;0.613239757207891;0.804276315789474;0.712181508088273;0.671895395915839;0.671557574491019;0.645657086094161;0.867421785340053;0.588165352146169;0.495332613847506;0.566680938219605;0.605226854690374;0.629780037606115;0.667492627785059;0.694222701508437;0.802305475504323;0.684584076154596;0.690465793304221;1.00624246598932;0.742401946912672;0.889881911682832;0.933662170324139;0.681875342598265;0.586538614428137;0.680404376920647;0.780823416436724;0.68473827793542;0.727084610668302;0.701427383592018;0.712504154920041;0.590520109561907;0.711491725494734;0.894572615717912;0.957468311786752;0.808990648718916;0.602146712976524;0.529633445779051;0.795356129610273;0.696066839302292;0.782474774296336;0.863099033697945;0.585488057629233;0.521571406077783;0.413084553613604;0.571002722749038;0.666464555927556;0.747629453310961;0.758255025454253;0.608923831330672;0.692266358037449;0.833597291245699;0.553647511733028;0.732650190878039;0.845057946408799;0.551223340087373;0.438119981105338;0.767206417808828;0.763994828700711;0.978694560976057;0.671902990216343;0.937801608579089;0.642390269698572;0.825728542601949;0.870178392885334;0.811388564760793;0.739943021642826
"Apaporis";0.781904467141236;0.928494815874151;0.818904041035906;0.772131757315259;0.78717220497066;0.776014709888314;0.660176462261925;0;0.970678876463855;0.816524908869988;0.75280111240074;0.776903825527351;0.811911522941264;0.752151158839122;0.783454356846473;0.748892509801925;0.727461242223758;0.610249094145719;0.790263651624371;0.654447841324286;0.822494296234385;0.874360345222638;0.735807988705218;0.760281500048202;0.827934196580803;0.803795376329451;0.846826792048516;0.859220875358564;0.795051964180665;0.777437737441959;0.794122516556291;0.641107308643649;0.807677469135803;0.767307692307692;0.661782506211378;0.772601802212844;0.770507580303665;0.784401663882317;0.729489888318744;0.799306608884074;0.745492363736655;0.861548881820051;0.750248344370861;0.774727358392995;0.824702430153744;0.757805882944056;0.865759905381431;0.834209701570498;0.781819586036454;0.986667485868764;0.763014046907773;0.939760243096136;0.888304379740641;0.738796513190738;0.729700754227246;0.830731786467629;0.779904738547327;0.847946884758896;0.873096026490066;0.748045744064852;0.676338142814006;0.827511429965484;0.788038257528296;0.821594524245638;0.92993442429255;0.824593467360233;0.786727543002761;0.715070705791066;0.842816046028448;0.743548025681245;0.753821613717932;0.810635919759986;0.825898902520363;0.787308947278035;0.72359608449253;0.795391818629867;0.792229486477924;0.800719424460432;0.845180588960527;0.755398323919826;0.642630781242824;0.854185481069816;0.750315705518754;0.720992889006669;0.805158415340209;0.734654755029062;0.641679546625451;0.716531697895843;0.816840851964546;0.892610699164932;0.792100346944222;0.856776543163997;0.804603888972631;0.81734564614735;0.861167529319269;0.764548385334135;0.817130620985011
"Apurimac1";0.963346852936758;0.96002498438476;1.01466256883084;1.00145348837209;1.01336310666062;1.01271432723046;1.01403486688904;0.970678876463855;0;0.925619834710744;0.996705290045534;0.96002498438476;0.965659109991604;0.976390168226111;1.0091902931283;0.991041920333971;1.01264604810997;0.973353357648573;0.954364261168385;1.01545304213948;0.989904088844018;0.876636802205376;0.983560262228946;0.985378134985959;0.991125198098257;0.921648058492244;0.994415903506813;0.89601127058202;0.969775006776904;0.943446754883428;0.975039777247414;0.996211569284569;1.007;0.973214285714286;0.999379729562089;0.989312641827099;0.997430422351706;0.975216631601469;0.957728299451436;0.981957235956266;1.01240143634546;1.01102071895163;0.996121718377088;0.996705290045534;1.00145348837209;0.993767645022106;0.968105065666041;0.996203150257509;0.990347148423663;0.639655172413793;0.959306803594352;0.952185599094639;0.860925678682688;0.985810162991371;0.987848332571951;0.970592166822617;0.971309105466839;1.00652818991098;1.01720365950676;1.00263409961686;0.998765036820198;1.00910229645094;0.974195828914811;0.862205868112714;1.01349831271091;0.948369058713886;1.00729975009865;1.00031881655296;0.958309911935544;0.99137355136658;0.995514437903;0.919415027735754;0.995838178591101;1.00519177791905;1.01642297096843;1.00173324529548;0.993572576325656;0.991486157766709;0.995838178591101;1.00855389574165;0.976724705319213;0.922184630256162;0.998459275859654;0.992144409159285;0.950466411164943;0.993137456338607;1.00519177791905;0.965321288066443;0.976567932137394;0.74187635394101;0.992653588439493;0.857117469344233;1.00684701617775;0.990054484130416;0.911460432621255;0.972724955391282;0.979652679436536
"Arinos";0.830065359477124;0.691056910569106;0.895973154362416;0.892699115044248;0.923631990378833;0.944029850746269;0.874400767018217;0.816524908869988;0.925619834710744;0;0.856601389766267;0.560975609756098;0.903361344537815;0.820109976433621;0.899364406779661;0.842939481268012;0.877300613496933;0.838203848895224;0.877300613496933;0.886910062333036;0.930778739184178;0.819875776397516;0.733067729083665;0.900388098318241;0.570934256055363;0.865006553079948;0.876742889012828;0.874848116646416;0.686234817813765;0.925675675675676;0.860576923076923;0.607675906183369;0.940972222222222;0.686320754716981;0.832579185520362;0.927409261576971;0.87042777433354;0.911206368646662;0.365145228215768;0.900255754475703;0.924826279216677;0.930546190155091;0.927884615384615;0.917245735944409;0.925884955752213;0.892645815722739;0.934875228241023;0.898272552783109;0.864035087719298;1.00609756097561;0.928015564202335;0.945720250521921;0.923728813559322;0.886889460154242;0.821917808219178;0.847695390781563;0.871606749816581;0.958662331630283;0.975961538461538;0.875;0.828207051762941;0.900351699882767;0.856447688564477;0.900388098318241;0.988826815642458;0.866096866096866;0.923340961098398;0.859632139399806;0.885321100917431;0.926402470406588;0.689320388349515;0.860557768924303;0.933261571582346;0.934343434343434;0.883838383838384;0.93232044198895;0.901528013582343;0.939425051334702;0.939720129171152;0.871599564744287;0.731301939058172;0.837696335078534;0.922798552472859;0.661417322834646;0.865323435843054;0.850653819683414;0.813131313131313;0.825159914712154;0.938848920863309;0.852575488454707;0.879725085910653;0.916870415647922;0.848661233993015;0.648259303721489;0.549763033175355;0.483985765124555;0.832069339111593
