"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;1.31252268917686;1.18092207665221;1.21702427613893;1.12513528371011;1.19084939441431;1.18080588639429;1.09339283820478;1.21150238482582;1.37614594019692;1.18147404400173;1.29738473104477;1.15257685924287;1.10495350079203;1.13225770248069;1.18942947404336;1.13688633461979;1.16273462789516;1.16297380224222;1.16047712783366;1.08283042715755;1.2710079225261;1.2905143221775;1.16079058924888;1.19478890372083;1.25782102635497;1.18255034861674;1.20876732446565;1.20321848459551;1.20695466767863;1.1274656715444;1.08411810559529;1.16999329702376;1.15211336038619;1.25397179781395;1.11536576018217;1.1441917121199;1.17273820269583;1.20548100542492;1.17941130945997;1.12362678041157;1.17660621204164;1.23736036576239;1.2113550612894;1.25760412377284;1.12681285884436;1.20155881132583;1.14053186293129;1.12727941755641;1.00464015473265;1.20968873669809;1.24942959111166;1.40846378032273;1.14201031599893;1.09678518837068;1.25171850501797;1.05846003871787;1.13878176203645;1.13009914002101;1.11774641313999;1.10675897762111;1.26746826814824;1.07613952564958;1.24500127090238;1.11920132765268;1.29060037645719;1.23046999216308;1.2798450308933;1.13517787767529;1.13287058737237;1.22328295587322;1.33256798301788;1.20017269724791;1.21096881289081;1.19796254403007;1.08334867052101;1.24152696776174;1.10229589765941;1.13348818327726;1.18274940908199;1.1426882832544;1.24785932660475;1.13436442408016;1.13718969816389;1.24525944465107;1.2167777415049;1.26096810145278;1.1980181006819;1.11423410878974;1.31322615607205;1.09370569871563;1.31687846186114;1.19299491029432;1.20957412027383;1.26107060170877;1.26843395829556;1.28260814240524
"Amazon1";1.31252268917686;0;1.13711908635305;1.1630660355846;1.13536084255328;1.12667702568234;1.24255020488456;1.28068550947152;1.29280628685465;1.48609609729418;1.16820389108419;1.37827124544386;1.18372736181073;1.21321407867702;1.12059367869209;1.1709129640866;1.21456325197553;1.20419389758752;1.22585365181668;1.16380781171936;1.16159134253589;1.32373942191521;1.18799099641011;1.20852290779385;1.29091392480303;1.36448841088814;1.15063598272934;1.28470018962258;1.21560132921394;1.2138967862757;1.15461817829654;1.26733821064822;1.15829718562117;1.08740917093702;1.34224504188207;1.1512436445611;1.16661105349143;1.11839370420589;1.30679686176173;1.10338676614886;1.12693757145945;1.07428660402576;1.15871918632855;1.13694017420189;1.13012686047009;1.15697514677411;1.16421594951553;1.10681957788966;1.17208986630936;1.02100631748377;1.2303034012132;1.19405616136155;1.36128022815627;1.24926049990339;1.20451389168917;1.16947225648475;1.1856149337493;1.10544638640151;1.13744385053677;1.12730265438324;1.15864222073598;1.26563197731594;1.14912834462932;1.29856057348627;1.15063194587931;1.27072674854182;1.16651523010664;1.25906200276238;1.23042755009344;1.11231919989065;1.2881788053436;1.27400780664369;1.14624653403014;1.16169328481652;1.18518527404434;1.10037851751637;1.26527403929932;1.16311052788597;1.13186398667637;1.16720723856167;1.22838680442602;1.26435460239127;1.14225979443773;1.2517307290408;1.28469559021419;1.15205779851205;1.19647852419834;1.19097356834291;1.13322629824192;1.33181019396744;1.19338202959892;1.29951028035821;1.17819393776467;1.252001612806;1.3539848014777;1.23672092753382;1.25940680580879
"Amazon2";1.18092207665221;1.13711908635305;0;1.04284695139916;1.12276808496897;1.16002880282942;1.21201973239537;1.21804278996465;1.20153934176539;1.31673832448293;1.10843762397309;1.2643426565027;1.1314138695257;1.24785381806059;1.04137240378597;1.09537210446437;1.08360747331635;1.21239007471098;1.22741454634758;1.04154373148094;1.16932184145445;1.29705564322182;1.21636860848433;1.1194420916056;1.17479907118241;1.32703856886144;1.22983009862844;1.16098090251923;1.16894698476732;1.25356301213581;1.16511795645428;1.14426937340252;1.20990116492541;1.00586208219286;1.25968968763482;1.08094026399985;1.11471216348529;1.10256640746655;1.18080467229931;1.21243640819496;1.05727587795498;1.02554721766554;1.11758206793956;1.10200481684808;1.07382431192992;1.11984713829719;1.29085501991039;1.05839101319165;1.21173267004122;0.993827224873913;1.19343364944555;1.1996846619692;1.37394895233503;1.20014393940104;1.08808367722062;1.15816865017343;1.08620468003238;1.06035500541347;1.21320980466803;1.15729699887441;1.18537338007006;1.34947002447874;1.15993243692068;1.21437795191701;1.07985650828115;1.21759107445623;1.17017552950256;1.31035844032908;1.18961041901938;1.0866532487609;1.16963223194661;1.34554121580668;1.10235455886613;1.19189499305613;1.18953838858612;1.07338688701367;1.4562860014502;1.15096813564436;1.1818704252914;1.01050118082174;1.19182603812682;1.17986733968392;1.13357568022598;1.14128810674799;1.23384796051322;1.07228226068128;1.10835831427093;1.19379843755606;1.12977005862783;1.24816187002276;1.04789077027025;1.30536481099516;1.06930698308402;1.15558556286221;1.27479652703117;1.20412063691976;1.32273783012645
"Amazon5";1.21702427613893;1.1630660355846;1.04284695139916;0;1.1767889057314;1.17943872740965;1.23182367812394;1.22896685670221;1.20627887283319;1.27615113949342;1.05781156408633;1.25012271341235;1.11260429093132;1.20728201809665;1.10553364169778;1.03016921153345;1.06916450170019;1.22934001108527;1.20724502565475;1.05836605777986;1.0994460428992;1.25854352658167;1.18434763382101;1.13478091987635;1.15613318555456;1.33968691790295;1.16823731989211;1.15380120857918;1.17716662825776;1.25669005606133;1.13558214804115;1.12627895428596;1.16078047091617;1.05510374321734;1.23922056680109;1.04865641510924;1.04054163554689;1.03402507336045;1.17696674387407;1.21559718511757;1.04490478776023;1.0029485831609;1.14827050684004;1.06750287994886;1.04523780277658;1.09302639230961;1.26230481025834;1.02046338362122;1.20926325102515;0.994381184125373;1.16433220366821;1.20788948960401;1.3726713877539;1.18514799388203;1.09357933001388;1.17324755624047;1.01415686883583;1.12382698203394;1.19547780678889;1.13274574626173;1.18564072268256;1.30792136133624;1.15549322327168;1.19436431835772;1.05662160692777;1.21195475711393;1.09296909842637;1.28276463054538;1.16105320927223;1.05534271875312;1.15153371417154;1.30567903290324;1.14536030066546;1.16897531876277;1.1742625347022;1.02544242491548;1.38508792349373;1.18108292288696;1.16842267101946;0.922973741915525;1.1955496066417;1.15875340459607;1.08845983443167;1.12121809804386;1.22700065259927;1.09715180256937;1.10789986763002;1.183160849137;1.13046083700154;1.22176882769576;1.05320940173378;1.29282176427975;1.11042765003771;1.14349996273749;1.23911734238493;1.20384367103787;1.30124198516733
"Amazon8";1.12513528371011;1.13536084255328;1.12276808496897;1.1767889057314;0;0.970060433598991;1.1248303392303;1.15493192475494;1.20029605503548;1.25310803706688;1.04962001229319;1.20386067128004;1.05916742685643;1.08888733089145;1.04091932232078;0.956937843690093;1.01744976285715;1.15332935616882;1.16617964418443;0.970556749478497;1.1268816646482;1.25337601488429;1.15339618066903;1.0378763568183;1.13899251180222;1.30451525736168;1.20008701333036;1.13331780181095;1.0614390930431;1.17790320591985;1.07658206161068;1.00140066116414;0.935429368083434;0.99161764125784;1.18713557998617;1.03167251044874;1.03881959356075;1.0397067803189;1.13730154663327;1.12641200306902;0.935445943471543;0.904586739840606;0.972763536046821;1.0616703615013;1.05599315075912;1.12400614221889;1.22716477565061;1.00558077966341;1.09603442137647;0.990881014043682;1.13415445739388;1.22712946698647;1.3434239912037;1.12594218878868;0.981280766911801;1.11725407269023;1.03063983588282;1.13022702554062;1.13423385911965;1.06681289434933;1.0837446564387;1.25579038296305;1.04444888665425;1.20055931749336;1.05380562572461;1.20093741134254;1.02448187879616;1.19260874027162;1.14478468704448;1.08407618120227;1.08375899025894;1.27711783796271;1.02341149087455;1.12220642694348;1.02514018301951;0.882632909349065;1.3276571392393;1.18808320628149;1.1354416642507;1.08714482632271;1.08342833541439;1.11747303354525;0.885663462337067;1.07819952261265;1.26015083171192;1.03165974186519;1.04143643271533;1.11349894358141;1.11055954467489;1.22718676659374;0.987078961654435;1.27061503888871;1.10079610564522;1.13060988695374;1.22277016382762;1.13901040394658;1.24002769980005
"Amazon9";1.19084939441431;1.12667702568234;1.16002880282942;1.17943872740965;0.970060433598991;0;1.11666813748344;1.17346959128112;1.21236192964435;1.29038942693919;1.08779508650437;1.22237518031487;1.12006002887583;1.19151068785737;0.998696056770852;1.06930948492648;1.05731344867864;1.24466013988708;1.22002916590966;1.01122851849655;1.22206914518072;1.2540032838079;1.1750760000867;1.05058950217974;1.15951751122592;1.33625168724629;1.24575280756094;1.17655775436495;1.10124881472561;1.21325435934624;1.11712893775286;1.0699415528414;1.10008183808677;1.05784459244682;1.20815202531917;1.12046669372857;1.16655502226483;1.14940271611779;1.14842746487248;1.13175873811519;0.977018545812513;0.969299607691784;0.922786367486392;1.05115875079459;1.10901808682426;1.16441733845716;1.28451604363871;1.06175551134536;1.14493874304953;0.992643599530718;1.20803114742237;1.22706239517198;1.31415330908168;1.14140903707024;1.03007197672103;1.13208393423622;1.09405946476872;1.18431410522;1.13352120630222;1.04364259489718;1.13702745665153;1.27045347229736;1.10427269247408;1.22411441223333;1.04608460777888;1.2112382608016;1.04192674166899;1.19827162678907;1.2182318288023;1.12249513250058;1.08773186077535;1.24729133015341;0.999153817816812;1.16311695087511;1.097887047358;0.980247840269749;1.39072077762566;1.23487914127234;1.20356319549589;1.10057099585791;1.14572278976556;1.11344449326255;1.00869771723021;1.12154401894424;1.26540702447777;0.997965389608348;1.06679270321149;1.09825660433374;1.14510640750173;1.23632492275435;1.00773307252002;1.3000543831303;1.11811207942239;1.15035402265028;1.23942051887079;1.17322274579319;1.26107647847503
"Andira1";1.18080588639429;1.24255020488456;1.21201973239537;1.23182367812394;1.1248303392303;1.11666813748344;0;1.07630879465026;1.20930796249365;1.26442716133534;1.13694088804592;1.23942794276361;1.22204787874637;1.2064947373065;1.08027006462269;1.11216828113829;0.997687737118578;1.2066771109381;1.30746974030586;1.04759098216106;1.21716084412446;1.19030295428388;1.19985827630718;1.0589889276527;1.15648976708684;1.32456160465984;1.23885940828335;1.1956282827121;1.17022223719475;1.291128044934;1.16431651747789;1.10906302433062;1.17752362022077;1.08656066990322;1.07869297413383;1.14497129945809;1.14839401691624;1.21536764446785;1.19260049134606;1.09055365178998;1.09358007037449;1.09040918459091;1.13318863285276;1.14310946211681;1.18322362832781;1.16071151730294;1.29901964957693;1.16191199595225;1.24218635582828;0.965275014442544;1.22925904349685;1.32456242899645;1.42091470255695;1.05600685438142;1.04754131969461;1.28702132166839;1.19001306274944;1.16746600124076;1.12876730764441;1.06373544758547;1.09897328517516;1.17066448313581;1.25760393834332;1.29503166021863;0.985631134537551;1.35415938462294;1.21250383032411;1.21864557426666;1.27287334943683;1.14956912175857;1.09217573934492;1.32561639292407;1.17329993851944;1.19648500127696;1.15221975314036;1.07222917508088;1.29423285499949;1.16854901303304;1.21516665569671;1.15965465446919;1.10188799793168;1.16891146091046;1.15734592208594;1.17714140870248;1.27427687142829;1.04032227160274;1.03274193205525;1.18164195734859;1.12821516409478;1.24874977246842;0.98530670925948;1.37625114324577;1.19924078972191;1.19474896172432;1.24401942032981;1.21235772577259;1.37812372485141
"Apaporis";1.09339283820478;1.28068550947152;1.21804278996465;1.22896685670221;1.15493192475494;1.17346959128112;1.07630879465026;0;1.18231101209123;1.15311923747534;1.13812706257892;1.17914278376068;1.13102197507479;1.0880892791516;1.16678663997246;1.13523603592586;1.05346656763718;1.10509568987486;1.1249569176166;1.13510431254037;1.15096472378516;1.17269358630742;1.2515045960579;1.04532053842931;1.04087940534677;1.12496553286773;1.10609435202075;1.20864259479386;1.12467309812728;1.14378871550075;1.10329682278622;1.02936763163945;1.20311854811783;1.25048191028279;1.04105816359083;1.12105981530237;1.15408141688878;1.24604462304151;1.10411085833744;1.22511366121612;1.15615014081143;1.14322345640988;1.1741159524332;1.07367580466582;1.18788872693118;1.11068349995303;1.17529139556487;1.12100292713597;1.12068233431959;0.983673191403353;1.1921726419779;1.25574371404888;1.3639214629448;1.05563201659025;0.949000262210935;1.22090184296173;1.19800199347423;1.15422894021734;1.1751660099891;1.08005638789855;1.18440762211276;1.14826113285144;1.13505816060722;1.21460949696735;1.00401597036827;1.2662046320431;1.18781974322116;1.08226107244942;1.18193257272426;1.17101190860099;1.0592920253891;1.31925060547558;1.18809944961708;1.2143905746531;1.09806357889367;1.1247958872164;1.14349691067781;1.1190231376964;1.19488168864837;1.2176416168688;1.00897350039772;1.13855238129684;1.1871128493449;1.11616759936504;1.25486697961385;1.18154363564794;1.10620653158351;1.1280041377208;1.13235768949501;1.1906143012939;1.03412071855218;1.37021326012868;1.20972410778019;1.14140577742856;1.13985689318919;1.13502245474473;1.20083960083362
"Apurimac1";1.21150238482582;1.29280628685465;1.20153934176539;1.20627887283319;1.20029605503548;1.21236192964435;1.20930796249365;1.18231101209123;0;1.25661684312709;1.20121118367127;1.24326240069663;1.19912559017016;1.21033890694862;1.19551759263994;1.20616132082322;1.18704437370449;1.19318929411709;1.20316162425199;1.18571035686862;1.21694450375445;1.31018004212491;1.24355184915911;1.24649036556988;1.17114456321225;1.22185610349669;1.20405266809328;1.246186288983;1.19352157906003;1.21889586525123;1.21532768919236;1.16589121273306;1.20908700349106;1.24073430500538;1.2274950851565;1.21992490057577;1.20549034105874;1.21869033196502;1.23032241944802;1.22501821654497;1.1975991636916;1.20916101960213;1.22314929711718;1.18535937768632;1.20851597753796;1.18839517782226;1.21332280400463;1.20669321487192;1.20175495020974;1.304590205366;1.21304782744939;1.22314691156625;1.25579697349043;1.22659926669318;1.22176136381138;1.19677622506042;1.21712548466617;1.21744523999722;1.22995946059839;1.22016444355324;1.20427815890842;1.22241445818276;1.20960304815507;1.24390990121171;1.2480615284136;1.2273452390106;1.21156215149243;1.18231301792293;1.21260001157071;1.20205076818719;1.2512020342036;1.23989574419065;1.21100614458921;1.2112619987691;1.18313645999451;1.21456512006906;1.20122899810449;1.21077137834936;1.21868790574944;1.20201261507103;1.19402891760506;1.29419354243282;1.20314630117691;1.18561807725116;1.20616908991792;1.21992956520198;1.19885914648619;1.21663738453388;1.21434787851991;1.2866118867571;1.2404419197795;1.24129096088678;1.20023849726046;1.20859962377471;1.2745829285923;1.20616910326734;1.19040932150961
"Arinos";1.37614594019692;1.48609609729418;1.31673832448293;1.27615113949342;1.25310803706688;1.29038942693919;1.26442716133534;1.15311923747534;1.25661684312709;0;1.32359225991579;1.46388957356613;1.26967092437017;1.26127858404011;1.28312878155336;1.36403244623209;1.24040331977188;1.28184149546992;1.23090100781335;1.3110745624343;1.38192559986852;1.3089622337487;1.23485964058485;1.20241908907679;1.11091653418749;1.32036518125115;1.30306007063687;1.29464588819621;1.33723907513757;1.34410190381771;1.25827222479655;1.23751678389724;1.32625833637272;1.32475613868672;1.24885737422298;1.3338795115187;1.36654120320226;1.32134077138571;1.11177918452397;1.33959838837135;1.25715233542165;1.29602251326022;1.31334572467842;1.25577248073173;1.34652610598098;1.29698761405171;1.32670386058484;1.29496238572814;1.27957985677891;1.01133479971568;1.26838113028067;1.4273112542616;1.42821139860809;1.25862424166803;1.18997510148063;1.36796092641095;1.39661424031332;1.32660400860096;1.25833257444102;1.30718073058839;1.22204603767935;1.13569656099285;1.30406667236809;1.2862998461012;1.10640570728079;1.4126073080113;1.35079947022229;1.23402576279341;1.39141343696651;1.30143031793063;1.25977311206651;1.34197472545762;1.28860843595977;1.33188390122429;1.28277961789231;1.27258283985956;1.26954725117681;1.3027959688724;1.33499621631119;1.27432951153758;1.16002793067235;1.20812138910749;1.3084163275536;1.27733036405237;1.39867172609234;1.32049819203845;1.270293637098;1.17108282753911;1.32563633705534;1.24656622104979;1.24800172109698;1.41203307603297;1.31245584329176;1.27103449964925;1.29075069506915;1.23626718023193;1.25517829090351
