"Abuna";"Amazon1";"Amazon2";"Amazon5";"Amazon8";"Amazon9";"Andira1";"Apaporis";"Apurimac1";"Arinos";"Aripuana";"Bacaja";"Beni";"Blanco_Baures";"Branco";"Candeias";"Canuma";"Caqueta1";"Chapare";"Coari";"Curaray";"Curua";"Curua_Una";"Demini";"Fresco";"Grande";"Guapore";"Huallaga";"Iriri";"Isiboro";"Itonamas";"Jamanxim";"Japura1";"Jari";"Jatapu";"Javary1";"Jiparana";"Jurua1";"Juruena1";"Jutai";"Luna";"Madera1";"Madera2";"Madera3";"Madera4";"Madera6";"Madre_Dios";"Mamore1";"Mamore2";"Mantaro";"Maranon1";"Maranon3";"Maranon5";"Marmelos";"Maues";"Napo1";"Napo2";"Negro1";"Negro2";"Negro3";"Negro5";"Nhamunda";"Orthon";"Pachitea";"Paru_Este";"Pastaza";"Purus1";"Purus2";"Purus3";"Putumayo";"Roosevelt";"Santiago";"Solimoes1";"Solimoes2";"Solimoes3";"Solimoes4";"Solimoes7";"Solimoes8";"Solimoes9";"Tapajos1";"Tapajos2";"Tapaua";"Tefe";"Teles_Pires";"Tigre";"Trombetas1";"Uatuma1";"Uaupes";"Ucayali1";"Ucayali2";"Unini";"Urubamba";"Xingu1";"Xingu3";"Xingu4";"Xingu6";"Yacuma"
"Abuna";0;0.547407391195972;2.37290254795473;1.93751853888949;2.85552987713015;2.66774033016548;1.02637986489971;0.593898680797638;0.0384714453870756;0.414848434313264;2.94450075661513;0.487127107490328;1.5257009246914;1.65011509569684;3.23202201790074;2.16103611889239;1.09110867403297;1.87107989251304;1.06452811408042;1.33178900130206;2.94894678459181;0.204453070651765;0.608639959323196;0.526978709272735;0.331883388227802;0.63335938651706;3.28432301367202;0.751963333467549;0.978814323583867;0.771876892812805;1.59976876975959;0.62127537710036;2.76620710501992;0.249149761567673;0.497497022921332;0.741554788038633;3.08759126431972;2.61692047613439;0.658027383860126;0.722083768299082;2.22989619603083;2.30320768017523;1.60135853318786;2.11569871031856;3.4364716331694;1.39044644803028;2.78913634519284;2.44328003190174;1.845455411636;0.0637157296990798;0.932921546218566;0.958230687211785;0.55415708162859;0.710204011805758;0.663633804213269;0.81776830296083;2.35434472341685;4.38848555066848;1.22322596200351;2.62331058940361;1.70585519986674;0.740638987824853;1.621225544046;0.714294635274789;0.00930376239269382;1.26097772467107;3.11476716135176;0.574428589678292;1.81791669040308;2.96611421681898;0.625371932317482;0.557736034931051;3.07558770020268;1.26622488097653;1.45830689330775;1.77571542941737;1.27214563056168;3.62254579034453;3.2951251455715;3.15163919245619;1.25756117349201;0.303628200538256;2.44681145138351;1.64963202416396;1.06170377667355;2.9787901595962;1.60342130415873;0.760535744583964;2.76942411156434;0.330727750057914;0.105703161333174;0.761022459204207;3.00402040968204;0.625604073747576;0.441073188747321;0.798534735681388;0.976315234983249
"Amazon1";0.547407391195972;0;1.91972859951325;1.53317788806596;2.2791743429759;2.11840487471118;0.677106865221448;0.301599501447553;0.01359329449443;0.270607103972459;1.93640998900934;0.334740503618714;0.782244437492869;0.904949447295672;2.49151727696395;1.36056107513368;0.690615614460715;1.17407944240631;0.464913584075707;0.891084369478439;1.90612876845789;0.114448941868644;0.450692693724792;0.42915274729669;0.186448062971618;0.24414071580162;1.89639385106608;0.308035089710867;0.617977479094672;0.253517591348443;0.838987376829196;0.391006753837934;2.01699727052309;0.296126552512132;0.358740826970976;0.405787552236776;1.97964237295141;1.81541669809591;0.437894021420038;0.526707048817619;1.64062243630812;1.6038246085408;1.074466124193;1.40009961409228;2.18849271922667;0.801081343962408;1.53634846414565;1.57704165218926;1.03138855353608;0.0130388909188638;0.471113082079181;0.506397351962105;0.237463453679316;0.398635436485401;0.444492421654892;0.410555543396979;1.40104861953019;3.51264377387231;1.11578888626285;1.9458644363329;1.29968333097338;0.535010717388302;0.851861649621526;0.263689598248637;0.0124882716680454;0.701898148659653;2.25541024568461;0.342568577558369;1.02733528370894;2.13107582605569;0.333310091188634;0.251769233314917;2.28306712303077;0.947949611310027;0.953110828214488;1.37073798445457;0.887628420909807;2.48857556652412;2.30619003529944;2.46632786536078;0.840102032482211;0.197413978319683;1.77222508165227;0.883966570671937;0.54994839324942;2.2939548833526;1.05010547970963;0.499008113862323;1.69199387069434;0.0993419500985459;0.12517908906071;0.257450622857452;2.47721639974904;0.412224946655083;0.312091226252972;0.430781125034232;0.43630408898164
"Amazon2";2.37290254795473;1.91972859951325;0;3.55809671033113;5.0009677043981;4.65765302742837;2.68415475034838;1.65154508154809;0.059727997495988;1.26300942173473;5.34904515262331;1.48087938351892;3.23098563262992;3.44841960638217;6.29324033259022;4.20402742036992;2.8136092972351;3.99008903739806;2.28023529923064;3.13507085684511;5.74516410128238;0.767716892274961;2.01962281990417;1.86917314172064;1.08782100085285;1.42135494833668;5.70761716409521;1.78572470023703;2.56843728977485;1.76204732372522;3.34987426305428;1.76665826894202;4.91990468845476;1.26456829265288;1.81720471916723;2.13842595537083;5.45442305075261;4.90925232821008;1.89205870665394;2.2210779006881;4.08653457029952;4.35462752639889;3.42156081318276;4.09571063496507;5.82237498999277;3.06863083937735;5.04216392200373;4.53856053585228;3.75501796139864;0.0973659453573403;2.31309963739765;2.18848174949119;1.34592857194662;1.85359833467786;2.05633536396606;2.11569464663334;4.69733889065908;7.54046224490077;3.64614055297009;5.75243478192433;4.15530568291601;2.31405719369448;3.369423285367;1.496925605114;0.0771094010630585;2.94703380681513;5.26481049878076;1.61900239339878;3.63680135499267;5.53206792208748;1.49081363243599;1.3303553622978;4.7799615623192;2.97660982032706;3.36100553515905;3.69255879154929;3.05289780703553;6.55430099420236;6.04505124568703;5.41676009597989;3.07240296225462;1.07255878629456;4.53176830565078;3.60481255556206;2.44755954345323;5.12708814055142;3.61395869608519;2.13011468230977;5.2452529916835;0.665181379882809;0.541851567902458;1.58823669394679;5.71318306483831;1.86535864218114;1.21830410832761;1.98281560678029;2.23633024880295
"Amazon5";1.93751853888949;1.53317788806596;3.55809671033113;0;4.48576014972676;4.10493560771651;2.24209990515158;1.40792653401542;0.069624006711727;0.791065087375134;4.76708124178018;1.08956062319595;2.80450488383759;2.98216408010908;5.67881255823137;3.66501562922225;2.37004057967044;3.46573924761202;1.99314679952343;2.66722459811468;5.13892315029154;0.518608071881302;1.66919384671231;1.55605649022655;0.797469394131689;1.26658605676521;5.07725641206218;1.60612101392702;1.91561886357738;1.59269633144595;2.91469170882032;1.35543235401781;4.34429947278825;0.882425306369944;1.48056366171377;1.87613433951717;4.85803475347766;4.2751575222672;1.41046160318239;1.89143294054867;3.44405374667634;3.74250510115011;2.87607437733157;3.5409018428091;5.15188231661834;2.60288973215615;4.46651876835469;3.94956426500162;3.2496626049793;0.101819149504423;2.0353102585068;1.97486447829429;1.26876314873028;1.65758462602983;1.67407737269184;1.81402283353653;4.12765351021793;7.01448591764219;3.16395030873681;5.06509232791278;3.62094401096099;1.96871618436963;2.95251936519067;1.31783791812569;0.0507988832533355;2.59040825658182;4.71880804802861;1.40570271330857;3.14777643382765;4.92022394222527;1.30175255235603;1.22167968604812;4.34950957972815;2.41896321179216;2.85572935810763;3.14663288621645;2.58024484015502;5.862470370532;5.38790924871816;4.93540679558252;2.56970748134093;0.961061962088328;3.94706392602351;2.85881637682657;2.12451007700512;4.73633070930815;3.11487989118656;1.79383252058833;4.6445347134267;0.622863853482774;0.531523149790526;1.44765316709097;5.20695363127769;1.48580315446785;0.991333803024147;1.61549923948571;1.9520633049012
"Amazon8";2.85552987713015;2.2791743429759;5.0009677043981;4.48576014972676;0;4.73649073071032;3.30729005696866;2.14871852815903;0.0463352722131963;1.38042606403757;5.89071991023296;1.74186181684975;3.70780983705463;4.12177733763558;6.84913966259563;4.90901736512304;3.48355342036681;4.76830939895146;2.70000082299719;3.75610033539734;6.66559429266745;0.827476208320587;2.47832982746536;2.60269590321356;1.17094499480195;1.68678801595933;6.54190112097115;2.13956944053929;3.02626913024336;2.05449994024236;4.03165649846167;2.11060866968796;5.30820134288297;1.30175586802599;2.38415487730786;2.68137383930739;6.15535618938344;5.6021609101876;2.34107071230318;2.79565596121238;4.55291321668339;4.86642386875987;4.0392136839215;4.75552094887037;6.44781068920744;3.73579166016219;5.79189049279342;5.31519122160688;4.44244106924147;0.113260109298489;2.83077447402011;2.62016826473525;1.63719005456559;2.56844583502428;2.63464965331547;2.57694483485561;5.4561665789939;7.24300490789458;4.43449767216375;6.7180881388705;5.24306844933012;2.93250398585521;3.97598510921516;1.69321833500577;0.111883561171443;3.40804415533004;5.75125092019592;2.158614453372;4.277138408851;6.29065573916125;2.02883634481207;1.60500740813141;5.19837432300848;3.64098827319251;3.95608820577256;4.21007720693003;3.70654729921979;7.45438640670668;6.92201047284715;6.27838023546898;3.69780023889465;1.46959978451046;5.0448354981653;4.32005172999259;2.98573768753331;5.48566028318618;4.08546708144386;2.75261343044047;6.07615900428232;0.785818426742764;0.899559486972359;1.9297238658333;6.56375742169175;2.29891353302781;1.48262515081815;2.34516336888229;2.5674049709543
"Amazon9";2.66774033016548;2.11840487471118;4.65765302742837;4.10493560771651;4.73649073071032;0;3.03581567061252;1.96251739795553;0.043633264343201;1.15917691187694;5.76483641554683;1.52911660257728;3.58145266134201;3.82002572697493;6.56193239703582;4.59105351680543;3.19928439916052;4.43830597067279;2.57415927055376;3.4603487797075;6.30257295353281;0.741010586294191;2.21726555166266;2.42571438772887;1.06596321414962;1.53920990905757;6.2032757328135;2.09542431575519;2.63511106678937;1.93020757822258;3.72148073739914;1.72930351838295;5.12705993331604;1.26671042859805;2.18285432183687;2.49223328840772;5.87983046758918;5.21827672679852;1.87322187320954;2.52338651246945;4.1084725693739;4.54083106773424;3.70853525659617;4.42965001121123;6.08431194900748;3.45144427780981;5.50913376867594;4.9555456069925;4.12908679932068;0.127329282629966;2.69337047241756;2.53807549232348;1.45194264543408;2.34155536297697;2.39210292571242;2.36984310337738;5.14281297634704;6.80416856775457;4.12162011388043;6.37056210705657;4.83216225885784;2.66802322356271;3.72056566826831;1.71141832140691;0.0844207164759868;3.28152735076986;5.3929179835955;2.04215074621892;4.04277916688972;5.97519657159538;1.87299354107228;1.55096769719678;4.72457085466065;3.2782046479373;3.71179255478942;3.97770281563843;3.41123466657536;6.99600029638433;6.48146550322143;6.1784051007766;3.37765038074438;1.34713451550298;4.71224931006649;3.91204684438218;2.78721928773623;5.65469314582195;3.97841533992362;2.49536499891639;5.72700427207342;0.783593928884276;0.791914170343569;1.79072904896431;6.34179411846681;1.95619256647681;1.42930077887021;2.02056238062832;2.42217222612775
"Andira1";1.02637986489971;0.677106865221448;2.68415475034838;2.24209990515158;3.30729005696866;3.03581567061252;0;0.784158070879139;0.0106907174127964;0.463564644317845;3.1750461626124;0.557896918106972;1.41737589737456;1.71658877864079;3.8266278902047;2.23728445030233;1.32002779889273;2.11076531591439;0.937567624291843;1.54374451402998;3.07228371718401;0.247965399720479;0.821112137534728;0.851146670266316;0.391964983567421;0.588017575236681;3.30970740036247;0.780214843647965;1.08208644279472;0.739091868400031;1.65110355167014;0.720019487723519;3.01833034191923;0.257016975364443;0.795521561513995;0.923467751710421;3.14754687486962;2.80848462259506;0.78820227341874;0.896486112789921;2.42786342303867;2.5307744788999;1.74202214295449;2.25699671030542;3.54856012782087;1.43708783949437;2.53664784930107;2.50041360588116;1.8963522496401;0.0307637219568055;0.99800814755757;0.912333910953741;0.467850100312785;0.905747518103869;0.905989667909437;0.876179355444551;2.33038054204662;5.23914955097;1.82784713152063;3.35631608247005;2.23656603409219;1.04967007951603;1.56872966292054;0.639907610653163;0.0201174703597968;1.31962583548666;3.43436342085322;0.77569597213136;1.77285157592622;3.36283666322691;0.656841587475727;0.486369006508897;3.40019065049647;1.48771663248759;1.70173425196303;2.05609352443946;1.42008108407735;3.91332975979547;3.42279278738734;3.64774304858806;1.49049270716155;0.449660982634022;2.73462046921956;1.66214633995153;1.08145035835379;3.38230828558793;1.88479560303849;0.958430578880564;2.87201852305866;0.212351510999933;0.229924417882694;0.576487683811039;3.47775019698829;0.766627284800076;0.481683051654265;0.817765927845297;0.926244876669048
"Apaporis";0.593898680797638;0.301599501447553;1.65154508154809;1.40792653401542;2.14871852815903;1.96251739795553;0.784158070879139;0;0.0139906485929587;0.26965315537351;2.0338022234151;0.335177331709926;0.803780865732268;1.02638313007634;2.6679443775136;1.45815259188593;0.815348618255977;1.54374691314906;0.557896400205032;1.02106308350434;2.06833029531134;0.105149485776525;0.451923561576851;0.494002610886328;0.20365432325895;0.311534090133949;2.05450262259078;0.434873322126398;0.599022549402754;0.397125182582646;0.936181750444417;0.405669045425728;2.00686311498428;0.136497093156092;0.469527597682864;0.524401448964965;2.11597605062379;1.88872899176698;0.509975745830706;0.380276119263838;1.6207526379945;1.51382065154861;1.04386771004456;1.41738381146865;2.27968593921762;0.920370056221831;1.56638809970158;1.50042906870348;1.14153684764644;0.026236723477139;0.562705384430181;0.524874275351391;0.241039494515805;0.49245367962678;0.505091039409422;0.517923577525995;1.62217936412563;3.53847073546917;1.06738907341155;2.31238893125125;1.61121464018038;0.517327046561726;0.929823585051482;0.361202372809746;0.0065222837029928;0.768058482366298;2.24066676637506;0.386159880418336;1.05141468892598;2.39480416981792;0.371457400389439;0.275610800537232;2.18610929892235;0.85234103528781;1.13367373484386;1.23996320720967;0.836684783989303;2.79346928696354;2.31167244433271;2.39090710075348;0.960344378350296;0.201983550452764;1.92381860747416;1.17082159479977;0.684455679852333;2.29447001076527;1.25025792716866;0.666379067268133;1.97042399479153;0.128627974800022;0.0915587496504591;0.406898593957024;2.21082347430964;0.419774366198783;0.268221415514236;0.504253596903655;0.497338885864541
"Apurimac1";0.0384714453870756;0.01359329449443;0.059727997495988;0.069624006711727;0.0463352722131963;0.043633264343201;0.0106907174127964;0.0139906485929587;0;0.0119244072806094;0.0680724335650911;0.0134343528550185;0.169972946051594;0.0856014257973293;0.0788009942253664;0.0358451240120382;0.0229708512197077;0.119060533055821;0.078850190447089;0.0259112715488202;0.190745104592776;0.00596409580267865;0.0145469443308989;0.00854500528074136;0.00457146429545419;0.0436824605649236;0.165233079304858;0.0944321475965366;0.0224940263014733;0.0520268966340267;0.0844093635017432;0.00759135544427244;0.043633264343201;0.00930187023031987;0.00727347216544947;0.0169310689220712;0.0917168945899237;0.164042909171646;0.0182026020373631;0.017010539741777;0.0371961279470358;0.0573438729048157;0.0428007128986647;0.069624006711727;0.0980745601663831;0.0377940512572028;0.269669089372449;0.0772532054034784;0.063107399495856;0.0034654953878826;0.0474932755860514;0.0562350657536832;0.0931208790713918;0.00814765118221264;0.0155005941673679;0.0429237034529712;0.178111136421936;0.158355069075563;0.0158563206936698;0.0246775816810073;0.0569862542161398;0.0182026020373631;0.0858398382564465;0.109616750647455;0;0.116243103281015;0.0711717955336151;0.0135138236747243;0.139488318044945;0.140197878935175;0.0133548820353128;0.0514706008960865;0.0939420775416845;0.0125980170857343;0.0141874334798491;0.0326662912238084;0.0494384185064682;0.16046293796014;0.174133811111901;0.074271157502139;0.0388669073232304;0.00993763678796582;0.0802730965522966;0.0329841745026314;0.077616500579276;0.0939420775416845;0.0153397603655824;0.0384714453870756;0.236923327328934;0.0638037152494683;0.0030217833111922;0.136084317934216;0.0734367138952287;0.00850526987088849;0.0190786732165003;0.0182820728570689;0.0283767591220722
"Arinos";0.414848434313264;0.270607103972459;1.26300942173473;0.791065087375134;1.38042606403757;1.15917691187694;0.463564644317845;0.26965315537351;0.0119244072806094;0;1.63692321360002;0.352784711747879;0.525828537744894;0.749623146235949;1.8361553635524;0.956685263266704;0.53572534366058;0.970355140543532;0.376700648279627;0.58650689869007;1.28935011455495;0.095971291193785;0.305535425520574;0.219702757563649;0.224599437267126;0.23146623145498;1.69871117839627;0.267505351904094;0.624418363601951;0.252724376963786;0.693793700342744;0.41533003943118;1.26527224875899;0.127795435752412;0.260712090631654;0.249147592552068;1.58212658960051;1.20042376111662;0.585132292519145;0.210285166666039;0.976791081889777;0.975479215839672;0.579353031104153;0.979096930711164;1.49069212514177;0.553247763118256;1.0000739407262;1.12929767624246;0.815822339050833;0.0168165930984475;0.349163710489106;0.364699359454139;0.177462523077646;0.324250504798796;0.291547366202442;0.364781220373685;1.09933568340099;2.24225125224874;0.555550026789882;1.52454729186137;1.10625113852779;0.293056116726931;0.654931274456715;0.23603430977566;0.00548916304681813;0.522848680768409;1.45600341110269;0.275931947655224;0.768893624964672;1.46697068298456;0.291827007883813;0.187119123959334;1.42767176511511;0.513551192387797;0.69276087844905;0.69581841367036;0.547049039181208;1.61407027397245;1.52705002515715;1.86357518645072;0.81825127801402;0.166062004104844;1.07652725938297;1.35938123493955;0.444529889185919;1.53615122658833;0.829770662959112;0.431855787255253;1.14439474188671;0.107289717162394;0.0615166884643274;0.241596968392582;1.84104520906414;0.437024079398448;0.332201171919132;0.587471303975823;0.397761909314049
