BvNiv2;bv2stand;MajType;length_km
Amazon1;Amazon1;A;209.12721705
Amazon2;Amazon2;A;552.287188681
Amazon5;Amazon3;A;357.54017259
Amazon8;Amazon4;A;191.872716359
Amazon9;Amazon5;A;154.624659143
Solimoes1;Amazon6;A;396.862154323
Solimoes2;Amazon7;A;239.53427131
Solimoes3;Amazon8;A;161.640008585
Solimoes4;Amazon9;A;575.873150957
Solimoes7;Amazon10;A;356.618298177
Solimoes8;Amazon11;A;442.777038948
Solimoes9;Amazon12;A;192.482242967
Andira1;Andira;A;316.466776696
Canuma;Canuma;A;317.918297289
Maues;Maues;A;148.549091019
Coari;Coari;A;133.275149996
Curua;Curua;A;33.4201637726
Curua_Una;Curua_Una;A;75.813164243
Apaporis;Apaporis;A;22.699856764
Caqueta1;Caqueta;A;915.927038209
Japura1;Japura;A;790.990771857
Jari;Jari;A;184.833337849
Javary1;Javary;A;159.566293721
Jurua1;Jurua;A;353.196080896
Jutai;Jutai;A;463.069396777
Abuna;Abuna;A;13.3641393517
Aripuana;Aripuana;A;614.526788284
Beni;Beni;A;203.153829902
Blanco_Baures;Blanco_Baures;A;28.9083692488
Candeias;Candeias;A;10.9584422249
Grande;Grande;A;22.7219726112
Guapore;Guapore;A;323.848696882
Isiboro;Isiboro;A;3.17495052275
Jiparana;Jiparana;A;145.523540527
Luna;Luna;A;467.519973352
Madera1;Madera1;A;331.745852067
Madera2;Madera2;A;232.221003715
Madera3;Madera3;A;342.379858994
Madera4;Madera4;A;480.003170928
Madre_Dios;Madre_Dios;A;711.041076181
Mamore1;Mamore1;A;34.5593834921
Mamore2;Mamore2;A;227.255625603
Orthon;Orthon;A;34.0618936815
Roosevelt;Roosevelt;A;174.24828857
Huallaga;Huallaga;A;272.850240757
Maranon1;Maranon1;A;360.931475804
Maranon3;Maranon2;A;295.424797418
Pastaza;Pastaza;A;103.913462081
Tigre;Tigre;A;78.5356355621
Curaray;Curaray;A;71.7272371135
Napo1;Napo1;A;345.450491466
Napo2;Napo2;A;12.5457031648
Branco;Branco;A;1073.89844472
Demini;Demini;A;113.531166264
Negro1;Negro1;A;401.810347531
Negro2;Negro2;A;364.473857997
Negro3;Negro3;A;730.567582653
Negro5;Negro4;A;427.45980134
Uaupes;Uaupes;A;353.518324069
Unini;Unini;A;167.970651225
