DistEuclid_km;Abuna;Amazon1;Amazon2;Amazon5;Amazon8;Amazon9;Andira1;Apaporis;Apurimac1;Arinos;Aripuana;Bacaja;Beni;Blanco_Baures;Branco;Candeias;Canuma;Caqueta1;Chapare;Coari;Curaray;Curua;Curua_Una;Demini;Fresco;Grande;Guapore;Huallaga;Iriri;Isiboro;Itonamas;Jamanxim;Japura1;Jari;Jatapu;Javary1;Jiparana;Jurua1;Juruena1;Jutai;Luna;Madera1;Madera2;Madera3;Madera4;Madera6;Madre_Dios;Mamore1;Mamore2;Mantaro;Maranon1;Maranon3;Maranon5;Marmelos;Maues;Napo1;Napo2;Negro1;Negro2;Negro3;Negro5;Nhamunda;Orthon;Pachitea;Paru_Este;Pastaza;Purus1;Purus2;Purus3;Putumayo;Roosevelt;Santiago;Solimoes1;Solimoes2;Solimoes3;Solimoes4;Solimoes7;Solimoes8;Solimoes9;Tapajos1;Tapajos2;Tapaua;Tefe;Teles_Pires;Tigre;Trombetas1;Uatuma1;Uaupes;Ucayali1;Ucayali2;Unini;Urubamba;Xingu1;Xingu3;Xingu4;Xingu6;Yacuma
Abuna;;1875.223056;1744.790112;1405.308003;1179.142431;1006.2393;1236.444082;1008.260346;949.3484332;763.7733132;741.5114257;1649.991152;157.2400896;326.5102793;996.4491388;248.3146541;965.1871842;1008.260346;661.0408097;669.0669096;1245.448153;1440.249888;1481.532586;1019.815261;1492.967837;593.5017886;245.6924114;1214.843913;1550.068596;593.5017886;318.4618992;1122.017228;694.608794;1744.790112;1119.9776;748.9740867;326.127189;778.8619868;828.9982298;777.9803827;1006.2393;1006.2393;741.5114257;558.0762394;326.127189;0;75.80778034;75.80778034;245.6924114;949.3484332;1047.542711;1214.843913;1450.088638;558.0762394;1091.006908;1049.11731;1245.448153;937.5174396;974.5707253;1019.815261;1096.077575;1366.877484;136.8257327;983.1294253;1681.599973;1303.909588;790.1465767;429.0920175;268.1605575;772.1870511;563.0328296;1450.088638;937.5174396;790.1465767;669.0669096;694.608794;772.1870511;748.9740867;1049.11731;1426.366495;1122.017228;429.0920175;700.9331979;828.9982298;1101.542118;1377.504461;1179.142431;1096.077575;1047.542711;983.1294253;985.7737383;894.8297071;1755.076464;1550.068596;1492.967837;1301.37526;432.9562472
Amazon1;1875.223056;;131.5153323;489.0146401;762.0223344;922.1682097;674.7772654;2092.877619;2814.26669;1340.812644;1160.085017;326.5153344;2006.250353;1944.54928;1230.556718;1627.307976;942.6692758;2092.877619;2217.585091;1402.275321;2616.420921;454.3770102;395.8694201;1355.884107;673.9690562;2189.456896;1968.947362;2798.631951;388.4040584;2189.456896;1949.865518;755.2299726;1548.147497;131.5153323;837.7382257;2147.780686;1549.669988;1678.239704;1082.919848;1787.423782;922.1682097;922.1682097;1160.085017;1342.286975;1549.669988;1875.223056;1908.560848;1908.560848;1968.947362;2814.26669;2554.177106;2798.631951;3019.94789;1342.286975;813.6233327;2466.290422;2616.420921;1040.981375;1184.993202;1355.884107;1856.628687;561.7010566;1989.619409;2752.20022;194.0482802;2887.254363;1221.673544;1610.837214;1702.655308;1928.423524;1316.744532;3019.94789;1040.981375;1221.673544;1402.275321;1548.147497;1928.423524;2147.780686;2466.290422;454.7900888;755.2299726;1610.837214;1568.776536;1082.919848;2625.129687;538.2697276;762.0223344;1856.628687;2554.177106;2752.20022;1191.307813;2732.428256;124.0974026;388.4040584;673.9690562;1160.891695;2111.824124
Amazon2;1744.790112;131.5153323;;369.192993;646.1714106;800.9612219;555.2645149;1987.796652;2685.093035;1212.871616;1033.422437;232.4716089;1875.17387;1813.167178;1126.901741;1497.034485;818.4652338;1987.796652;2087.731804;1283.118774;2507.419937;335.7902194;268.9362802;1256.473908;578.3128738;2059.038407;1837.434201;2682.046684;271.8087889;2059.038407;1818.453428;624.0739679;1433.139682;0;722.3939308;2031.60155;1419.464768;1567.763494;951.5737561;1676.657938;800.9612219;800.9612219;1033.422437;1214.547272;1419.464768;1744.790112;1777.589818;1777.589818;1837.434201;2685.093035;2438.946128;2682.046684;2905.22225;1214.547272;690.4134316;2353.732157;2507.419937;923.1415201;1078.162086;1256.473908;1759.887357;450.2802202;1858.611836;2627.67509;69.24991186;2771.204622;1102.790547;1486.510342;1575.177534;1816.2913;1185.677111;2905.22225;923.1415201;1102.790547;1283.118774;1433.139682;1816.2913;2031.60155;2353.732157;329.6542112;624.0739679;1486.510342;1454.285733;951.5737561;2509.8212;424.1327879;646.1714106;1759.887357;2438.946128;2627.67509;1085.583453;2604.781968;17.11127427;271.8087889;578.3128738;1057.573807;1980.549864
Amazon5;1405.308003;489.0146401;369.192993;;277.8897056;433.16357;186.2058573;1625.248823;2334.898553;972.3587333;676.0438188;411.7204725;1543.374112;1508.45725;769.1101383;1157.133992;455.1480329;1625.248823;1809.569012;914.2432149;2141.091357;35.28197309;113.7306353;903.926351;605.5674272;1773.222606;1521.061762;2312.853849;339.0132722;1773.222606;1512.433777;321.7095546;1064.25211;369.192993;354.145138;1662.428936;1079.364934;1201.108894;664.688679;1309.688432;433.16357;433.16357;676.0438188;860.4791969;1079.364934;1405.308003;1444.516264;1444.516264;1521.061762;2334.898553;2069.863829;2312.853849;2536.202069;860.4791969;325.4770827;1985.454193;2141.091357;553.950359;716.4836134;903.926351;1408.269236;99.19387027;1525.748585;2263.80915;300.0635651;2402.024227;733.7919913;1122.596133;1219.134444;1448.409156;859.0020986;2536.202069;553.950359;733.7919913;914.2432149;1064.25211;1448.409156;1662.428936;1985.454193;58.58267666;321.7095546;1122.596133;1085.552144;664.688679;2140.72318;67.51572911;277.8897056;1408.269236;2069.863829;2263.80915;725.2717664;2248.298312;383.7128244;339.0132722;605.5674272;985.0350739;1678.257761
Amazon8;1179.142431;762.0223344;646.1714106;277.8897056;;173.8074856;98.121542;1349.14009;2088.662358;883.1661405;437.6310078;669.9871285;1325.405145;1323.878531;499.4408991;934.6425585;215.729654;1349.14009;1648.739147;641.2057639;1863.324283;310.4475024;387.8553114;638.3757876;776.8203811;1604.882741;1322.443785;2036.811179;582.3313322;1604.882741;1326.247518;289.089063;787.0393453;646.1714106;76.27160717;1386.062431;858.400408;923.3499559;550.8986213;1031.850109;173.8074856;173.8074856;437.6310078;622.1155489;858.400408;1179.142431;1226.283507;1226.283507;1322.443785;2088.662358;1793.017083;2036.811179;2259.177421;622.1155489;109.4429424;1707.715211;1863.324283;279.4893884;443.0977411;638.3757876;1140.284544;202.3693117;1306.658042;1999.156911;576.9234749;2125.652743;460.70225;861.2907281;970.9558371;1170.547674;667.1638264;2259.177421;279.4893884;460.70225;641.2057639;787.0393453;1170.547674;1386.062431;1707.715211;326.0776988;289.089063;861.2907281;808.1193587;550.8986213;1863.923752;223.776019;0;1140.284544;1793.017083;1999.156911;453.2773736;1994.190025;661.0451333;582.3313322;776.8203811;1047.483394;1493.388257
Amazon9;1006.2393;922.1682097;800.9612219;433.16357;173.8074856;;247.7967163;1223.300792;1915.451317;772.0185293;265.0975927;791.7541883;1153.565061;1160.754863;413.5994883;762.7912138;58.39242031;1223.300792;1492.473233;483.046403;1725.166857;467.8347057;534.3233768;555.4021028;832.6859959;1446.079978;1155.05091;1883.352303;696.2164422;1446.079978;1162.586884;301.9958836;640.9983935;800.9612219;116.9478014;1234.195521;687.1315137;789.131153;444.265206;895.2839124;0;0;265.0975927;448.6635147;687.1315137;1006.2393;1054.559105;1054.559105;1155.05091;1915.451317;1642.433205;1883.352303;2108.981623;448.6635147;114.4930981;1562.758723;1725.166857;133.115361;348.6919049;555.4021028;1039.641846;371.4224193;1134.652158;1831.777241;732.2300548;1973.126755;303.8713995;691.5046845;797.5800277;1029.085812;508.1321139;2108.981623;133.115361;303.8713995;483.046403;640.9983935;1029.085812;1234.195521;1562.758723;472.3171612;301.9958836;691.5046845;663.4419094;444.265206;1713.086325;388.6095001;173.8074856;1039.641846;1642.433205;1831.777241;363.3830144;1822.440416;814.8142982;696.2164422;832.6859959;1021.44951;1329.477188
Andira1;1236.444082;674.7772654;555.2645149;186.2058573;98.121542;247.7967163;;1445.93253;2157.697624;877.4181971;498.9533778;571.8660744;1378.753846;1361.138797;597.5592681;989.3883914;274.770002;1445.93253;1676.181956;728.038114;1958.233892;220.4460393;292.5135052;736.33017;690.3502289;1635.50832;1366.284455;2126.858442;484.567563;1635.50832;1364.256514;241.7273804;879.0378411;555.2645149;172.2244847;1476.578153;912.0679055;1018.485476;550.4156385;1126.639985;247.7967163;247.7967163;498.9533778;684.5442379;912.0679055;1236.444082;1279.572634;1279.572634;1366.284455;2157.697624;1884.205435;2126.858442;2350.628301;684.5442379;145.793031;1800.806962;1958.233892;367.9979839;541.0485061;736.33017;1238.405586;130.7030258;1360.541566;2079.497374;486.2017422;2216.128752;547.591903;938.8434137;1040.210923;1264.322297;704.6870946;2350.628301;367.9979839;547.591903;728.038114;879.0378411;1264.322297;1476.578153;1800.806962;230.3206104;241.7273804;938.8434137;900.5679145;550.4156385;1955.033285;142.4692551;98.121542;1238.405586;1884.205435;2079.497374;551.3545023;2067.766042;569.605877;484.567563;690.3502289;990.9117809;1531.188902
Apaporis;1008.260346;2092.877619;1987.796652;1625.248823;1349.14009;1223.300792;1445.93253;;1284.459047;1570.25583;1094.233129;2012.835069;1110.382999;1333.791825;862.337562;1015.676636;1231.598929;0;1643.646342;777.8488566;534.6893852;1655.917081;1736.800748;742.8787797;2028.450096;1573.729914;1245.614657;800.0917694;1918.931511;1573.729914;1325.14199;1506.714441;600.5620535;1987.796652;1273.747494;328.3119824;1030.031211;437.3138286;1417.75328;339.626207;1223.300792;1223.300792;1094.233129;1001.023535;1030.031211;1008.260346;1078.575582;1078.575582;1245.614657;1284.459047;557.692789;800.0917694;979.5776002;1001.023535;1336.696753;432.8421157;534.6893852;1090.380539;909.6984965;742.8787797;300.1041867;1537.802482;1095.572003;985.3372573;1919.049113;872.5716789;932.1768324;740.6266276;824.6717617;250.7972663;1186.835197;979.5776002;1090.380539;932.1768324;777.8488566;600.5620535;250.7972663;328.3119824;432.8421157;1675.193329;1506.714441;740.6266276;576.4534304;1417.75328;620.9007818;1565.075086;1349.14009;300.1041867;557.692789;985.3372573;902.2783321;1123.532299;2003.580793;1918.931511;2028.450096;2056.51366;1411.574302
Apurimac1;949.3484332;2814.26669;2685.093035;2334.898553;2088.662358;1915.451317;2157.697624;1284.459047;;1669.220205;1659.323344;2598.690373;846.0128371;1019.655557;1783.853711;1192.297628;1882.927724;1284.459047;1032.518252;1485.081052;1083.277998;2370.16012;2418.640915;1746.355997;2435.583053;988.5702015;944.2609047;798.9058757;2498.486507;988.5702015;1009.205689;2066.123601;1412.272621;2685.093035;2021.635155;971.7777792;1268.7945;1385.854551;1777.923279;1309.985219;1915.451317;1915.451317;1659.323344;1474.427985;1268.7945;949.3484332;933.0132145;933.0132145;944.2609047;0;857.1450883;798.9058757;938.8812231;1474.427985;2012.342116;969.2708854;1083.277998;1822.594199;1787.214134;1746.355997;1542.524958;2285.74232;857.6365426;381.0156289;2620.218811;839.5548732;1650.247368;1236.752699;1117.923623;1196.811069;1511.403963;938.8812231;1822.594199;1650.247368;1485.081052;1412.272621;1196.811069;971.7777792;969.2708854;2361.216034;2066.123601;1236.752699;1403.282663;1777.923279;847.0893994;2300.162445;2088.662358;1542.524958;857.1450883;381.0156289;1792.646834;167.605919;2696.166834;2498.486507;2435.583053;2188.627553;918.2534958
Arinos;763.7733132;1340.812644;1212.871616;972.3587333;883.1661405;772.0185293;877.4181971;1570.25583;1669.220205;;618.4984252;1047.593458;827.4873536;668.8888442;1066.604393;593.7403583;713.8276156;1570.25583;884.4963865;863.2171945;1939.957681;999.9163842;996.8086306;1177.254349;797.7316249;864.6613598;728.492572;1962.744397;960.5837468;864.6613598;677.4849639;653.4753295;1019.459943;1212.871616;870.9170219;1409.95652;553.100414;1181.332975;332.5623862;1247.329405;772.0185293;772.0185293;618.4984252;598.9892115;553.100414;763.7733132;752.3796178;752.3796178;728.492572;1669.220205;1771.45409;1962.744397;2200.180562;598.9892115;774.32105;1746.072792;1939.957681;815.2224629;1007.290608;1177.254349;1521.964075;988.6033192;818.7700159;1746.100905;1165.287221;2053.646886;814.3363392;830.0128137;779.1847052;1321.409539;398.3286228;2200.180562;815.2224629;814.3363392;863.2171945;1019.459943;1321.409539;1409.95652;1746.072792;962.6275883;653.4753295;830.0128137;1040.966373;332.5623862;1832.379192;981.3041703;883.1661405;1521.964075;1771.45409;1746.100905;1024.805157;1641.976569;1217.415546;960.5837468;797.7316249;537.9858022;818.4640699
Aripuana;741.5114257;1160.085017;1033.422437;676.0438188;437.6310078;265.0975927;498.9533778;1094.233129;1659.323344;618.4984252;;983.9947317;888.4730083;904.0195432;448.1447675;497.7160624;224.7493828;1094.233129;1243.849372;316.4849324;1560.277639;711.3256527;764.6896241;563.6663084;939.3067996;1194.142363;893.1364767;1682.86372;883.4784889;1194.142363;905.1364271;441.9381435;494.0235325;1033.422437;380.3812886;1044.877778;422.3076471;660.8601708;348.4742283;754.7365378;265.0975927;265.0975927;0;185.6525639;422.3076471;741.5114257;789.4844287;789.4844287;893.1364767;1659.323344;1450.655879;1682.86372;1914.529957;185.6525639;353.2696455;1384.859809;1560.277639;225.4259863;389.1508857;563.6663084;969.0062444;628.234996;869.5547837;1596.079199;966.6120151;1774.214245;201.6556503;458.5920714;543.16321;870.8528834;270.3126344;1914.529957;225.4259863;201.6556503;316.4849324;494.0235325;870.8528834;1044.877778;1384.859809;705.318062;441.9381435;458.5920714;518.1497316;348.4742283;1520.044063;641.2819144;437.6310078;969.0062444;1450.655879;1596.079199;406.6032771;1572.726546;1045.730185;883.4784889;939.3067996;997.0582578;1071.247116
Bacaja;1649.991152;326.5153344;232.4716089;411.7204725;669.9871285;791.7541883;571.8660744;2012.835069;2598.690373;1047.593458;983.9947317;;1768.986841;1680.403737;1169.408409;1406.78178;792.5707453;2012.835069;1931.513361;1267.814866;2516.661348;390.972858;300.5681595;1307.65923;348.8347169;1908.510242;1715.097689;2663.64637;101.1455149;1908.510242;1686.76583;544.009303;1431.883904;232.4716089;742.8742654;2018.842599;1331.039559;1580.522757;827.7326591;1687.008004;791.7541883;791.7541883;983.9947317;1152.875666;1331.039559;1649.991152;1674.15904;1674.15904;1715.097689;2598.690373;2426.99443;2663.64637;2892.890578;1152.875666;677.4200838;2351.96855;2516.661348;923.6357034;1112.567355;1307.65923;1810.263457;510.5727626;1753.901006;2573.282144;237.9817827;2754.466599;1092.93736;1442.343024;1509.873669;1820.378332;1087.292155;2892.890578;923.6357034;1092.93736;1267.814866;1431.883904;1820.378332;2018.842599;2351.96855;354.1765577;544.009303;1442.343024;1454.620882;827.7326591;2497.181506;479.0659355;669.9871285;1810.263457;2426.99443;2573.282144;1123.140623;2530.977323;225.5869702;101.1455149;348.8347169;834.4018768;1843.76264
