MatriceDistance_km;Abuna;Amazon1;Amazon2;Amazon5;Amazon8;Amazon9;Andira1;Apaporis;Apurimac1;Arinos;Aripuana;Bacaja;Beni;Blanco_Baures;Branco;Candeias;Canuma;Caqueta1;Chapare;Coari;Curaray;Curua;Curua_Una;Demini;Fresco;Grande;Guapore;Huallaga;Iriri;Isiboro;Itonamas;Jamanxim;Japura1;Jari;Jatapu;Javary1;Jiparana;Jurua1;Juruena1;Jutai;Luna;Madera1;Madera2;Madera3;Madera4;Madera6;Madre_Dios;Mamore1;Mamore2;Mantaro;Maranon1;Maranon3;Maranon5;Marmelos;Maues;Napo1;Napo2;Negro1;Negro2;Negro3;Negro5;Nhamunda;Orthon;Pachitea;Paru_Este;Pastaza;Purus1;Purus2;Purus3;Putumayo;Roosevelt;Santiago;Solimoes1;Solimoes2;Solimoes3;Solimoes4;Solimoes7;Solimoes8;Solimoes9;Tapajos1;Tapajos2;Tapaua;Tefe;Teles_Pires;Tigre;Trombetas1;Uatuma1;Uaupes;Ucayali1;Ucayali2;Unini;Urubamba;Xingu1;Xingu3;Xingu4;Xingu6;Yacuma
Abuna;0;2884422.736;2730825.199;2156692.329;1731139.011;1457444.214;1869996.5;3142075.736;5866467.823;3691045.903;1118255.235;3127383.232;266929.7723;508752.967;2088356.67;371365.2798;2353812.208;3142075.736;1157602.731;2128371.652;4190721.514;2426648.467;2379319.491;2269693.582;3729939.397;1035015.203;355009.7025;4425652.66;3304930.709;1035015.203;494276.5556;2726939.471;2337703.541;2730825.199;1842742.868;3374793.631;480735.0621;2580166.369;3195351.195;2761143.673;1457444.214;1457444.214;1118255.235;859330.4501;480735.0621;0;103995.545;103995.545;355009.7025;5866467.823;4069455.672;4425652.66;4737649.615;859330.4501;2128530.342;3858596.27;4190721.514;1665185.224;1992735.18;2269693.582;2879403.186;2116308.771;231663.2226;5115066.662;2655518.942;4536118.69;1913445.33;2785903.113;3147789.031;2981315.033;1462490.301;4737649.615;1665185.224;1913445.33;2128371.652;2337703.541;2981315.033;3374793.631;3858596.27;2307547.232;2726939.471;2785903.113;2364693.034;3195351.195;4159715.05;2070687.058;1731139.011;2879403.186;4069455.672;5115066.662;2017862.613;5521863.17;2749626.713;3304930.709;3729939.397;4453406.963;730052.2757
Amazon1;2884422.736;0;153597.5367;727730.4069;1153283.725;1426978.522;1014426.236;3068494.022;5792886.108;2048668.28;1766167.501;512552.5417;3151352.508;3393175.703;2014774.956;2513057.456;1498241.944;3068494.022;4042025.467;2054789.938;4117139.8;695976.7388;505103.2443;2196111.868;1115108.707;3919437.939;3239432.438;4352070.946;690100.019;3919437.939;3378699.291;1084561.848;2264121.827;153597.5367;1264887.582;3301211.917;2403687.674;2506584.655;1552973.572;2687561.959;1426978.522;1426978.522;1766167.501;2025092.286;2403687.674;2884422.736;2988418.281;2988418.281;3239432.438;5792886.108;3995873.957;4352070.946;4664067.901;2025092.286;1272960.079;3785014.556;4117139.8;1591603.509;1919153.465;2196111.868;2805821.472;859357.3909;3116085.958;5041484.948;228903.7942;4462536.976;1839863.616;2712321.399;3074207.316;2907733.319;2110402.567;4664067.901;1591603.509;1839863.616;2054789.938;2264121.827;2907733.319;3301211.917;3785014.556;576875.5036;1084561.848;2712321.399;2291111.319;1552973.572;4086133.335;813735.6776;1153283.725;2805821.472;3995873.957;5041484.948;1944280.899;5448281.455;134796.0228;690100.019;1115108.707;1838576.273;3614475.011
Amazon2;2730825.199;153597.5367;0;574132.8702;999686.1881;1273380.985;860828.6994;2914896.485;5639288.572;1895070.743;1612569.964;396558.0329;2997754.971;3239578.166;1861177.419;2359459.919;1344644.408;2914896.485;3888427.93;1901192.401;3963542.263;542379.2021;351505.7076;2042514.331;999114.1979;3765840.402;3085834.901;4198473.409;574105.5101;3765840.402;3225101.755;930964.3112;2110524.29;0;1111290.045;3147614.38;2250090.137;2352987.118;1399376.035;2533964.422;1273380.985;1273380.985;1612569.964;1871494.749;2250090.137;2730825.199;2834820.744;2834820.744;3085834.901;5639288.572;3842276.421;4198473.409;4510470.364;1871494.749;1119362.542;3631417.019;3963542.263;1438005.973;1765555.928;2042514.331;2652223.935;705759.8542;2962488.422;4887887.411;75306.25749;4308939.439;1686266.079;2558723.862;2920609.78;2754135.782;1956805.03;4510470.364;1438005.973;1686266.079;1901192.401;2110524.29;2754135.782;3147614.38;3631417.019;423277.9669;930964.3112;2558723.862;2137513.782;1399376.035;3932535.799;660138.1409;999686.1881;2652223.935;3842276.421;4887887.411;1790683.362;5294683.919;18801.51393;574105.5101;999114.1979;1722581.764;3460877.475
Amazon5;2156692.329;727730.4069;574132.8702;0;425553.3179;699248.1151;286695.8293;2340763.615;5065155.701;1534353.574;1038437.094;970690.9031;2423622.101;2665445.296;1287044.549;1785327.049;770511.5374;2340763.615;3314295.06;1327059.531;3389409.393;269956.1385;222627.1626;1468381.461;1573247.068;3191707.532;2511702.031;3624340.539;1148238.38;3191707.532;2650968.884;570247.1423;1536391.42;574132.8702;537157.175;2573481.51;1675957.267;1778854.248;1038658.866;1959831.552;699248.1151;699248.1151;1038437.094;1297361.879;1675957.267;2156692.329;2260687.874;2260687.874;2511702.031;5065155.701;3268143.55;3624340.539;3936337.494;1297361.879;545229.6718;3057284.149;3389409.393;863873.1023;1191423.058;1468381.461;2078091.065;131626.984;2388355.551;4313754.541;498826.6127;3734806.569;1112133.209;1984590.992;2346476.909;2180002.912;1382672.16;3936337.494;863873.1023;1112133.209;1327059.531;1536391.42;2180002.912;2573481.51;3057284.149;150854.9033;570247.1423;1984590.992;1563380.912;1038658.866;3358402.929;86005.27069;425553.3179;2078091.065;3268143.55;4313754.541;1216550.492;4720551.048;592934.3841;1148238.38;1573247.068;2296714.634;2886744.604
Amazon8;1731139.011;1153283.725;999686.1881;425553.3179;0;273694.7973;138857.4886;1915210.297;4639602.384;1959906.892;612883.7762;1396244.221;1998068.783;2239891.978;861491.231;1359773.731;622673.1967;1915210.297;2888741.742;901506.2128;2963856.075;695509.4563;648180.4805;1042828.143;1998800.386;2766154.214;2086148.713;3198787.221;1573791.698;2766154.214;2225415.566;995800.4602;1110838.102;999686.1881;111603.8571;2147928.192;1250403.949;1353300.93;1464212.184;1534278.234;273694.7973;273694.7973;612883.7762;871808.5608;1250403.949;1731139.011;1835134.556;1835134.556;2086148.713;4639602.384;2842590.233;3198787.221;3510784.176;871808.5608;397391.3311;2631730.831;2963856.075;438319.7845;765869.7404;1042828.143;1652537.747;385169.7605;1962802.234;3888201.223;924379.9306;3309253.251;686579.891;1559037.674;1920923.591;1754449.594;957118.8422;3510784.176;438319.7845;686579.891;901506.2128;1110838.102;1754449.594;2147928.192;2631730.831;576408.2212;995800.4602;1559037.674;1137827.594;1464212.184;2932849.611;339548.0472;0;1652537.747;2842590.233;3888201.223;790997.1739;4294997.731;1018487.702;1573791.698;1998800.386;2722267.952;2461191.287
Amazon9;1457444.214;1426978.522;1273380.985;699248.1151;273694.7973;0;412552.2859;1684631.523;4409023.609;2233601.689;339188.9789;1669939.018;1724373.986;1966197.181;630912.4565;1086078.934;896367.994;1684631.523;2615046.945;670927.4383;2733277.301;969204.2536;921875.2777;812249.3684;2272495.183;2492459.417;1812453.916;2968208.446;1847486.495;2492459.417;1951720.769;1269495.257;880259.3277;1273380.985;385298.6544;1917349.417;976709.1515;1122722.155;1737906.981;1303699.46;0;0;339188.9789;598113.7636;976709.1515;1457444.214;1561439.759;1561439.759;1812453.916;4409023.609;2612011.458;2968208.446;3280205.401;598113.7636;671086.1284;2401152.056;2733277.301;207741.01;535290.9659;812249.3684;1421958.973;658864.5577;1689107.436;3657622.449;1198074.728;3078674.477;456001.1165;1328458.9;1690344.817;1523870.82;683424.045;3280205.401;207741.01;456001.1165;670927.4383;880259.3277;1523870.82;1917349.417;2401152.056;850103.0184;1269495.257;1328458.9;907248.8199;1737906.981;2702270.836;613242.8444;273694.7973;1421958.973;2612011.458;3657622.449;560418.3994;4064418.956;1292182.499;1847486.495;2272495.183;2995962.749;2187496.489
Andira1;1869996.5;1014426.236;860828.6994;286695.8293;138857.4886;412552.2859;0;2054067.786;4778459.872;1821049.403;751741.2648;1257386.732;2136926.272;2378749.467;1000348.72;1498631.22;483815.7081;2054067.786;3027599.23;1040363.701;3102713.564;556651.9677;509322.9919;1181685.632;1859942.897;2905011.703;2225006.202;3337644.71;1434934.21;2905011.703;2364273.055;856942.9716;1249695.591;860828.6994;250461.3457;2286785.68;1389261.437;1492158.419;1325354.696;1673135.723;412552.2859;412552.2859;751741.2648;1010666.049;1389261.437;1869996.5;1973992.045;1973992.045;2225006.202;4778459.872;2981447.721;3337644.71;3649641.664;1010666.049;258533.8425;2770588.319;3102713.564;577177.2731;904727.229;1181685.632;1791395.236;246312.2719;2101659.722;4027058.712;785522.442;3448110.74;825437.3796;1697895.163;2059781.08;1893307.083;1095976.331;3649641.664;577177.2731;825437.3796;1040363.701;1249695.591;1893307.083;2286785.68;2770588.319;437550.7326;856942.9716;1697895.163;1276685.083;1325354.696;3071707.099;200690.5586;138857.4886;1791395.236;2981447.721;4027058.712;929854.6625;4433855.219;879630.2134;1434934.21;1859942.897;2583410.463;2600048.775
Apaporis;3142075.736;3068494.022;2914896.485;2340763.615;1915210.297;1684631.523;2054067.786;0;4333136.476;3875117.189;2023820.502;3311454.518;3409005.509;3650828.703;1900061.959;2770710.457;2537883.494;0;4299678.467;1013704.084;2657390.168;2610719.753;2563390.778;2081398.871;3914010.683;4177090.94;3497085.439;2892321.314;3489001.995;4177090.94;3636352.292;2911010.757;804372.195;2914896.485;2026814.154;1841462.285;2661340.674;1046835.023;3379422.481;1227812.327;1684631.523;1684631.523;2023820.502;2282745.286;2661340.674;3142075.736;3246071.281;3246071.281;3497085.439;4333136.476;2536124.325;2892321.314;3204318.269;2282745.286;2312601.628;2325264.924;2657390.168;1476890.513;1804440.469;2081398.871;2691108.475;2300380.058;3373738.959;3581735.316;2839590.228;3002787.344;1228630.406;2101088.19;2462974.107;1447983.687;2368055.568;3204318.269;1476890.513;1228630.406;1013704.084;804372.195;1447983.687;1841462.285;2325264.924;2491618.518;2911010.757;2101088.19;831361.6873;3379422.481;2626383.704;2254758.344;1915210.297;2691108.475;2536124.325;3581735.316;1829567.902;3988531.823;2933697.999;3489001.995;3914010.683;4637478.249;3872128.012
Apurimac1;5866467.823;5792886.108;5639288.572;5065155.701;4639602.384;4409023.609;4778459.872;4333136.476;0;6599509.276;4748212.588;6035846.604;6133397.595;6375220.79;4624454.046;5495102.543;5262275.58;4333136.476;7024070.554;3738096.171;2339996.797;5335111.84;5287782.864;4805790.958;6638402.77;6901483.026;6221477.525;2153209.139;6213394.082;6901483.026;6360744.378;5635402.844;3528764.281;5639288.572;4751206.241;2491674.192;5385732.761;3286301.454;6103814.568;3105324.149;4409023.609;4409023.609;4748212.588;5007137.373;5385732.761;5866467.823;5970463.368;5970463.368;6221477.525;0;1797012.151;2153209.139;2465206.094;5007137.373;5036993.715;2007871.553;2339996.797;4201282.599;4528832.555;4805790.958;5415500.562;5024772.144;6098131.045;751401.1605;5563982.314;2263675.17;3953022.493;4825480.276;5187366.193;2885152.789;5092447.654;2465206.094;4201282.599;3953022.493;3738096.171;3528764.281;2885152.789;2491674.192;2007871.553;5216010.605;5635402.844;4825480.276;3501774.789;6103814.568;1887271.529;4979150.431;4639602.384;5415500.562;1797012.151;751401.1605;4553959.989;344604.653;5658090.086;6213394.082;6638402.77;7361870.336;6596520.098
Arinos;3691045.903;2048668.28;1895070.743;1534353.574;1959906.892;2233601.689;1821049.403;3875117.189;6599509.276;0;2572790.668;2291628.776;3957975.675;4199798.87;2821398.123;3319680.623;2304865.111;3875117.189;4848648.634;2861413.105;4923762.967;1590894.011;1543565.035;3002735.035;2894184.941;4726061.106;4046055.605;5158694.113;2469176.253;4726061.106;4185322.458;964106.4317;3070744.994;1895070.743;2071510.749;4107835.084;3210310.841;3313207.822;495694.7078;3494185.126;2233601.689;2233601.689;2572790.668;2831715.453;3210310.841;3691045.903;3795041.448;3795041.448;4046055.605;6599509.276;4802497.125;5158694.113;5470691.068;2831715.453;2079583.246;4591637.723;4923762.967;2398226.676;2725776.632;3002735.035;3612444.639;1665980.558;3922709.125;5848108.115;1819764.485;5269160.143;2646486.783;3518944.566;3880830.483;3714356.486;2917025.734;5470691.068;2398226.676;2646486.783;2861413.105;3070744.994;3714356.486;4107835.084;4591637.723;1471792.776;964106.4317;3518944.566;3097734.486;495694.7078;4892756.503;1620358.845;1959906.892;3612444.639;4802497.125;5848108.115;2750904.066;6254904.623;1913872.257;2469176.253;2894184.941;3617652.507;4421098.179
