Code_Bv_Standardized;Sub-drainage;Water Color;DistanceMouth_km;ShannonDiv;SoilDiv;PebasLake;Main tributaries position;NorthSouthMain;Number of waterfalls;NetworkDensity;Area_km;Sea level 25m;Sea level 100m;CSup15;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_basinSup1000m;Number of sampled sites;Species richness SDMs;Species richness (raw data);Endemic species richness;Characidae (SR);Loricariidae (SR);Cichlidae (SR);Callichthyidae (SR);Anostomidae (SR);Rivulidae (SR);Doradidae (SR);Heptapteridae (SR);Auchenipteridae (SR);Trichomycteridae (SR);Serrasalmidae (SR);Curimatidae (SR);Apteronotidae (SR);Pimelodidae (SR);Lebiasinidae (SR);CurrClimate_tempMin;CurrClimate_tempMax;CurrClimate_tempMean;CurrClimate_tempCV;CurrClimate_precMin;CurrClimate_precMax;CurrClimate_precAnn;CurrClimate_precCV;CurrClimate_aetMin;CurrClimate_aetMax;CurrClimate_aetAnn;CurrClimate_aetCV;CurrClimate_petMin;CurrClimate_petMax;CurrClimate_petAnn;CurrClimate_petCV;CurrClimate_ro_mean;CurrClimate_npp_mn;CurrClimate_npp_sd;CurrClimate_npp_cv;CurrClimate_SolRad_mn;CurrClimate_SolRad_cv;PastClimate_tempMin;PastClimate_tempMax;PastClimate_tempMean;PastClimate_precMin;PastClimate_precMax;PastClimate_precAnn
Abuna;Abuna;White;2884.422736;0.276827087;1.314588665;1;12;South;0;0.165244266;31969.69526;0;0;0;95;301;206;172.2604907;30.98265491;0;50;777;229;0;43;23;24;4;12;1;8;6;10;2;11;12;3;10;3;18.47100553;33.33730719;26.18555673;0.715829613;19.50818636;269.603185;1785.022953;60.62226902;64.71318768;152.4884707;1308.601053;0.290646953;122.3270861;165.5112924;1750.730113;0.101120309;688.8170409;1688.991917;95.56170419;5.657913649;14.58629208;0.11330646;14.24777826;28.35783474;22.08386564;44.10656399;254.4790377;1880.477335
Amazon1;Amazon1;White;0;1.069528359;0.913920845;0;2;Main;0;0.135118508;15947.8767;64;89.1;0.67046875;0;377;379;40.69049914;56.89776852;0;109;126;154;2;14;8;12;3;9;2;7;3;4;2;0;4;11;12;7;22.09759391;32.91786614;26.85477198;0.517704464;58.71228766;339.5259097;2453.394245;47.3575907;85.20658057;137.8152296;1432.826751;0.146603092;121.75071;158.512995;1654.09828;0.083627624;1153.048871;2678.685561;261.0205459;9.744351844;14.77318289;0.00237103;17.77951807;30.45087015;23.60477465;121.9004909;819.3123606;3808.715752
Amazon2;Amazon2;White;153.5975367;1.039076788;1.346235958;0;7;Main;0;0.082411718;45757.1333;31;53;20.2294396;0;818;820;153.5105207;165.9605955;0;465;668;486;1;71;32;56;9;19;4;32;4;12;10;26;23;20;25;14;21.48220068;32.39354959;26.30879788;0.608542383;35.75188152;304.7984574;1836.49028;60.91416886;61.04510057;133.5472389;1227.707901;0.25427142;118.6939511;156.6882925;1627.639177;0.088749384;884.7337316;2568.18257;210.8115196;8.20858774;14.77112498;0.01383146;16.57619679;27.99815297;22.02810098;59.03445968;447.5542532;2379.904531
Amazon3;Amazon5;White;727.7304069;1.515068398;0.75657965;0;11;Main;0;0.08745513;14602.2325;68;94.7;0;0;183;185;26.17273631;34.17670647;0;248;847;425;1;64;34;48;6;13;2;24;7;12;5;15;23;21;27;15;22.3399322;33.29589105;27.13105968;0.581911801;45.37781285;333.5021334;2098.155532;58.45502367;70.563037;136.2375358;1298.189491;0.194714991;120.3353206;161.0258344;1650.496522;0.094436414;1345.097201;2255.979014;180.6682276;8.008417917;14.76856766;0.011802756;17.32406074;28.77918666;23.15042995;93.7486363;390.5273115;2485.002574
Amazon4;Amazon8;White;1153.283725;0.839947046;0.73276774;0;12;Main;2;0.151045181;17153.6184;30;76.3;0;3;214;211;63.69668011;45.51459871;0;299;964;566;2;61;41;60;6;28;4;38;13;20;10;29;26;24;31;12;22.07847761;32.64245771;26.94984577;0.436821144;86.48965174;331.649204;2310.675423;44.37706468;99.6239801;134.3477612;1428.850945;0.087338589;121.0262189;153.4749254;1623.454677;0.079479962;1274.018495;2511.744702;124.2012592;4.944820194;14.76503512;0.021558596;17.55682078;29.09049169;23.32805268;111.5899;385.6588464;2591.491447
Amazon5;Amazon9;White;1426.978522;1.071252977;0.680127762;0;13;Main;0;0.10304597;6189.607001;34;87.1;0;3;152;149;54.35397132;37.24092406;0;433;954;532;0;68;39;64;6;17;4;30;12;18;15;22;22;24;32;12;22.36598649;32.70856197;27.1319454;0.439236868;86.44188612;295.8013236;2249.539225;39.7959465;105.1021646;134.6113332;1436.345099;0.08018605;119.935475;150.6675858;1614.457328;0.076098867;1339.152501;2556.419782;87.624127;3.427611052;14.76342781;0.014158258;17.97252874;29.24034483;23.5645977;111.7632184;361.854023;2494.605747
Amazon6;Solimoes1;White;1591.603509;0.875271562;0.793238114;0;14;Main;0;0.105435655;22035.16524;27;100;0;7;83;76;38.86167493;16.5489094;0;463;1038;578;0;72;50;58;8;19;4;36;10;18;15;31;32;28;32;12;22.26722016;32.51170073;26.9881251;0.391366233;89.18632915;308.5666512;2390.31429;39.7411751;108.3699876;138.3573309;1472.978402;0.084023437;119.4184471;149.2983434;1624.331398;0.068973092;1366.579498;2609.068396;116.9516717;4.48250693;14.76072511;0.018761615;17.86959223;29.23164239;23.49078737;129.8545788;335.8989667;2581.024802
Amazon7;Solimoes2;White;1839.863616;0.700706484;0.648287367;0;15;Main;0;0.117207161;32870.00108;8;100;0;10;77;67;49.9402377;14.43183113;0;145;1019;298;1;33;16;30;8;10;1;21;7;10;7;16;16;21;22;10;21.66572653;32.11845215;26.54970523;0.35139639;106.8296845;311.1249188;2514.394364;34.16166732;117.2129074;140.9229191;1530.394183;0.06596825;118.4958837;150.242488;1631.02275;0.071133151;1514.596293;2761.36167;94.03289906;3.405309058;14.75686504;0.053443353;17.29709606;28.61170624;22.99894098;138.9732392;370.8809618;2695.423584
Amazon8;Solimoes3;White;2054.789938;0.768602444;0.568539867;1;16;Main;0;0.132662685;17458.45134;3;100;0;18;92;74;56.7111991;16.58674158;0;150;979;338;0;47;18;39;6;14;3;20;5;10;3;22;23;7;13;8;21.66379867;32.12746527;26.63583447;0.315365975;120.9740266;300.661172;2547.750098;29.87336138;118.3539914;143.2774897;1550.458961;0.06354752;119.1536392;151.1263941;1643.240315;0.071294342;1681.799979;2832.957828;79.00587364;2.788812204;14.75931198;0.040154466;17.40600079;28.81696431;23.10183156;135.2461461;390.7987094;2651.76988
Amazon9;Solimoes4;White;2264.121827;0.818065361;0.677900699;1;20;Main;0;0.116116935;24635.14222;0;88.7;0;24;131;107;71.13135094;21.34170968;0;450;972;394;0;36;27;44;4;13;2;29;7;11;11;16;23;25;29;6;20.78640427;31.39769593;25.97073661;0.342564618;164.2285011;331.2255214;3020.220532;21.55522833;116.6084124;150.2203936;1628.8805;0.071938321;116.6084124;151.7039013;1637.438812;0.075041319;2152.966502;2830.334386;93.29448515;3.296235442;14.76421357;0.024879805;16.70767418;28.24363708;22.42302812;161.3611623;497.6004043;3137.144143
