BvNiv1;BvNiv2;Inf25m;Ent25_100m
Amaz_inter;Solimoes1;27;100.0
Amaz_inter;Solimoes2;8;100.0
Amaz_inter;Solimoes3;3;100.0
Amazon;Amazon1;64;89.1
Amazon;Amazon2;31;53.0
Amazon;Amazon5;68;94.7
Amazon;Amazon8;30;76.3
Amazon;Amazon9;34;87.1
Andira;Andira1;18;88.1
Andira;Canuma;2;54.8
Andira;Maues;3;46.4
Coari;Coari;2;98.4
Curua;Curua;3;15.9
Curua Una;Curua_Una;;13.9
Japura;Apaporis;;2.3
Japura;Caqueta1;;2.3
Japura;Japura1;;57.0
Jari;Jari;2;6.5
Javary1;Javary1;;5.3
Jurua1;Jurua1;;15.4
Jutai;Jutai;;29.9
Madera;Aripuana;;15.3
Madera;Candeias;;12.5
Madera;Jiparana;;7.1
Madera;Luna;11;100.0
Madera;Madera1;29;100.0
Madera;Madera2;2;90.4
Madera;Madera3;;100.0
Madera;Madera4;;24.5
Madera;Madera6;;1.8
Madera;Marmelos;;86.0
Madera;Roosevelt;;1.9
Maranon;Maranon1;;1.4
Napo;Napo1;;2.6
Negro;Branco;;31.8
Negro;Demini;;55.3
Negro;Negro1;4;84.2
Negro;Negro2;8;100.0
Negro;Negro3;;72.1
Negro;Negro5;;11.0
Negro;Uaupes;;6.7
Negro;Unini;2;100.0
Nhamunda;Nhamunda;12;53.2
Paru_Este;Paru_Este;2;6.9
Purus;Purus1;5;100.0
Purus;Purus2;;94.5
Purus;Purus3;;6.0
Purus;Tapaua;;35.2
Putumayo;Putumayo;;11.4
Solimoes;Solimoes4;;88.7
Solimoes;Solimoes7;;36.4
Solimoes;Solimoes8;;28.3
Solimoes;Solimoes9;;8.7
Tapajos;Jamanxim;;2.1
Tapajos;Tapajos1;10;54.1
Tapajos;Tapajos2;;6.8
Tefe;Tefe;;79.5
Trombetas;Trombetas1;2;11.6
Uatuma;Jatapu;;22.5
Uatuma;Uatuma1;5;61.1
Xingu;Xingu1;12;44.7
