BvNiv2;WaterColor;Area_km;Chut_hydrofall;Chut_grand;NetworkDensity;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_basinSup1000m;Elevation_basinSup1500m;NbEspeceEnveloppe;DistanceEmbouchure_km;23ma_cd;23Ma;10Ma_cd;10Ma;NbSites1km_0417;NbSites_0417;Diversity0417;Endem0417
Abuna;White;31969.69526;0;0;0.165244266;95;301;206;172.2604907;30.98265491;0;0;777;2884.422736;A;PebasSudEst;A2;AcreSud;31;50;229;0
Amazon1;White;15947.8767;0;0;0.135118508;0;377;379;40.69049914;56.89776852;0;0;126;0;B;GroupAtlantik;B2;AcreSystem;46;109;154;2
Amazon2;White;45757.1333;0;0;0.082411718;0;818;820;153.5105207;165.9605955;0;0;668;153.5975367;B;GroupAtlantik;B2;AcreSystem;207;465;486;1
Amazon5;White;14602.2325;0;0;0.08745513;0;183;185;26.17273631;34.17670647;0;0;847;727.7304069;B;GroupAtlantik;B2;AcreSystem;136;248;425;1
Amazon8;White;17153.6184;2;0;0.151045181;3;214;211;63.69668011;45.51459871;0;0;964;1153.283725;B;GroupAtlantik;B2;AcreSystem;141;299;566;2
Amazon9;White;6189.607001;0;0;0.10304597;3;152;149;54.35397132;37.24092406;0;0;954;1426.978522;B;GroupAtlantik;B2;AcreSystem;167;433;532;0
Andira1;White;32493.34218;0;0;0.220601491;3;179;176;52.89320618;32.37674225;0;0;879;1014.426236;B;GroupAtlantik;C2;GroupAtlantik4;46;81;250;0
Apaporis;White;56489.43208;3;0;0.13672836;66;786;720;207.7913174;69.97556621;0;0;616;3068.494022;C;PebasNord;D2;AtlantikNord3;19;21;159;1
Apurimac1;White;64662.31416;0;1;0.132779408;470;5956;5486;3810.496354;847.8068278;98.56046408;96.71643242;20;5792.886108;D;PebasSud;E2;AcreOuest;21;23;22;1
Arinos;Clear;58891.58498;2;0;0.201995366;202;645;443;360.8403681;72.6935299;0;0;414;2048.66828;B;GroupAtlantik;F2;GroupeAtlantik3;96;126;133;1
Aripuana;White;87228.58192;1;0;0.160953772;14;528;514;181.8997522;94.41028278;0;0;950;1766.167501;B;GroupAtlantik;G2;GroupAtlantik;180;251;556;5
Bacaja;Clear;25641.85187;0;0;0.083326808;79;649;570;202.7934241;49.04638919;0;0;184;512.5525417;B;GroupAtlantik;C2;GroupAtlantik4;26;57;152;0
