Family.Referent.Species;Genus.Referent.Species;Referent.Species.Name;Author.Referent.Species;Species.Status;Occurrence.Status;Major.Tributary.Name;Sub_drainage;Endemism_Amazon
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Amazonas;Amazon2;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Amazonas;Amazon3;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Japurá;Caqueta;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Japurá;Japura;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Javari;Javary;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Madeira;Abuna;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Madeira;Guapore;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Madeira;Madera3;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Madeira;Madera4;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Madeira;Madera5;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Madeira;Madre_Dios;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Madeira;Mamore1;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Madeira;Mamore2;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Marañon;Maranon1;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Napo;Curaray;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Napo;Napo2;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Purus;Purus3;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Putumayo;Putumayo;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Solimoes;Amazon10;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Solimoes;Amazon11;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Solimoes;Amazon12;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Tapajós;Arinos;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Tapajós;Tapajos1;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Tefé;Tefe;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.abbreviatus;(Cope, 1878);native;valid;Ucayali;Ucayali1;1
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Amazonas;Amazon2;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Amazonas;Amazon3;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Amazonas;Amazon4;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Javari;Javary;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Beni;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Blanco_Baures;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Chapare;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Guapore;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Isiboro;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Itonamas;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Madera4;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Madre_Dios;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Mamore1;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Mamore2;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Maues;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Orthon;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Madeira;Yacuma;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Marañon;Huallaga;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Marañon;Tigre;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Solimoes;Amazon6;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.altus;Menezes, 1969;native;valid;Uatumã;Uatuma;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.falcatus;(Bloch, 1794);native;valid;Amazonas;Amazon1;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.falcatus;(Bloch, 1794);native;valid;Amazonas;Amazon2;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.falcatus;(Bloch, 1794);native;valid;Amazonas;Amazon3;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.falcatus;(Bloch, 1794);native;valid;Amazonas;Amazon4;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.falcatus;(Bloch, 1794);native;valid;Amazonas;Amazon5;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.falcatus;(Bloch, 1794);native;valid;Curua Una;Curua_Una;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.falcatus;(Bloch, 1794);native;valid;Japurá;Apaporis;
Acestrorhynchidae;Acestrorhynchus;Acestrorhynchus.falcatus;(Bloch, 1794);native;valid;Japurá;Caqueta;
