Sub_drainage;NbSitesTotal;Nbsites_3dec;NbEspeceSites;EndeRich;Basin2stat
Abuna;67;47;243;0;Abuna
Amazon1;147;88;176;2;Amazon1
Amazon10;175;97;332;0;Solimoes7
Amazon11;612;358;722;10;Solimoes8
Amazon12;378;304;681;17;Solimoes9
Amazon2;740;437;587;3;Amazon2
Amazon3;418;260;647;2;Amazon5
Amazon4;436;255;596;2;Amazon8
Amazon5;555;352;553;0;Amazon9
Amazon6;646;415;615;0;Solimoes1
Amazon7;181;121;309;1;Solimoes2
Amazon8;221;146;353;0;Solimoes3
Amazon9;555;366;430;0;Solimoes4
Andira;213;95;286;0;Andira1
Apaporis;89;55;189;0;Apaporis
Apurimac;41;38;28;0;Apurimac1
Arinos;170;139;157;1;Arinos
Aripuana;391;273;585;11;Aripuana
Bacaja;75;42;188;1;Bacaja
Beni;359;313;441;5;Beni
Blanco_Baures;171;136;374;1;Blanco_Baures
Branco;651;371;753;15;Branco
Candeias;89;71;483;1;Candeias
Canuma;118;72;278;0;Canuma
Caqueta;685;383;499;6;Caqueta1
Chapare;160;137;243;1;Chapare
Coari;93;59;323;0;Coari
Curaray;77;65;598;3;Curaray
Curua;76;38;80;0;Curua
Curua_Una;135;111;191;1;Curua_Una
Demini;96;65;230;1;Demini
Fresco;120;66;103;1;Fresco
Grande;258;206;160;2;Grande
Guapore;542;466;687;13;Guapore
Huallaga;303;199;246;12;Huallaga
Iriri;331;186;362;14;Iriri
Isiboro;196;170;209;1;Isiboro
Itonamas;205;159;364;7;Itonamas
Jamanxim;165;86;318;2;Jamanxim
Japura;585;412;579;6;Japura1
Jari;102;72;228;10;Jari
Jatapu;73;44;169;0;Jatapu
Javary;149;137;552;1;Javary1
Jiparana;533;416;592;4;Jiparana
Jurua;589;299;557;1;Jurua1
Juruena;392;266;250;9;Juruena1
Jutai;143;93;322;0;Jutai
Luna;201;137;519;0;Luna
Madera1;429;279;479;0;Madera1
Madera2;98;77;358;0;Madera2
Madera3;127;99;465;0;Madera3
Madera4;500;420;668;0;Madera4
Madera5;71;61;352;0;Madera6
Madre_Dios;955;732;605;17;Madre_Dios
Mamore1;217;187;519;4;Mamore1
Mamore2;295;223;406;2;Mamore2
Mantaro;68;60;11;1;Mantaro
Maranon1;80;64;260;2;Maranon1
Maranon2;118;79;293;1;Maranon3
Maranon3;283;212;235;7;Maranon5
Marmelos;59;57;212;0;Marmelos
Maues;164;79;192;1;Maues
Napo1;44;33;267;0;Napo1
Napo2;723;521;508;4;Napo2
Negro1;1102;687;816;6;Negro1
Negro2;458;288;420;2;Negro2
Negro3;714;440;638;17;Negro3
Negro4;773;389;509;5;Negro5
Nhamunda;190;99;235;1;Nhamunda
Orthon;258;203;384;1;Orthon
Pachitea;411;240;229;1;Pachitea
Paru_Este;6;6;21;0;Paru_Este
Pastaza;328;202;338;2;Pastaza
Purus1;479;301;631;1;Purus1
Purus2;76;54;261;0;Purus2
Purus3;317;227;426;4;Purus3
Putumayo;507;294;704;2;Putumayo
Roosevelt;56;48;154;1;Roosevelt
Santiago;156;119;209;3;Santiago
Tapajos1;909;537;700;12;Tapajos1
Tapajos2;331;188;372;0;Tapajos2
Tapaua;46;27;108;0;Tapaua
Tefe;362;222;543;2;Tefe
Teles_Pires;632;448;469;11;Teles_Pires
Tigre;406;219;280;2;Tigre
Trombetas;436;287;493;5;Trombetas1
Uatuma;220;122;382;1;Uatuma1
Uaupes;368;227;324;8;Uaupes
Ucayali1;765;532;606;10;Ucayali1
Ucayali2;215;156;133;4;Ucayali2
Unini;87;67;268;0;Unini
Urubamba;923;541;246;2;Urubamba
Xingu1;1674;879;665;12;Xingu1
Xingu2;301;179;236;0;Xingu3
Xingu3;174;97;159;2;Xingu4
Xingu4;243;210;265;6;Xingu6
Yacuma;45;38;232;0;Yacuma
