BvNiv2;WaterColor;Area_km;Chut_hydrofall;Chut_grand;NetworkDensity;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_%basinSup1000m;NbEspeceSites;NbEspeceEnveloppe;NbSitesTotal;Endemism;DistanceEmbouchure_km;23ma_cd;23Ma;10Ma_cd;10Ma
Abuna;White;31969.69526;0;0;0.165244266;95;301;206;172.2604907;30.98265491;0;208;777;29;0;2884.422736;A;PebasSudEst;A2;AcreSud
Amazon1;White;15947.8767;0;0;0.135118508;-2;377;379;40.69049914;56.89776852;0.001607684;119;126;42;2;0;B;GroupAtlantik;B2;AcreSystem
Amazon2;White;45757.1333;0;0;0.082411718;-2;818;820;153.5105207;165.9605955;0.085807871;428;668;159;3;153.5975367;B;GroupAtlantik;B2;AcreSystem
Amazon5;White;14602.2325;0;0;0.08745513;-2;183;185;26.17273631;34.17670647;0.044284097;402;847;117;1;727.7304069;B;GroupAtlantik;B2;AcreSystem
Amazon8;White;17153.6184;2;0;0.151045181;3;214;211;63.69668011;45.51459871;0;514;964;119;3;1153.283725;B;GroupAtlantik;B2;AcreSystem
Amazon9;White;6189.607001;0;0;0.10304597;3;152;149;54.35397132;37.24092406;0;446;954;136;1;1426.978522;B;GroupAtlantik;B2;AcreSystem
Andira1;White;32493.34218;0;0;0.220601491;3;179;176;52.89320618;32.37674225;0.002101348;214;879;41;0;1014.426236;B;GroupAtlantik;C2;GroupAtlantik4
Apaporis;White;56489.43208;3;0;0.13672836;66;786;720;207.7913174;69.97556621;0;151;616;17;0;3068.494022;C;PebasNord;D2;AtlantikNord3
Apurimac1;White;64662.31416;0;1;0.132779408;470;5956;5486;3810.496354;847.8068278;0;13;20;15;2;5792.886108;D;PebasSud;E2;AcreOuest
Arinos;Clear;58891.58498;2;0;0.201995366;202;645;443;360.8403681;72.6935299;0;82;414;49;1;2048.66828;B;GroupAtlantik;F2;GroupeAtlantik3
Aripuana;White;87228.58192;1;0;0.160953772;14;528;514;181.8997522;94.41028278;0;553;950;161;7;1766.167501;B;GroupAtlantik;G2;GroupAtlantik
Bacaja;Clear;25641.85187;0;0;0.083326808;79;649;570;202.7934241;49.04638919;0;98;184;19;0;512.5525417;B;GroupAtlantik;C2;GroupAtlantik4
Beni;White;118947.7348;0;0;0.13937369;120;6130;6010;1374.761552;1397.509106;46.68109878;287;655;236;5;3151.352508;A;PebasSudEst;A2;AcreSud
Blanco_Baures;Clear;76638.53601;1;0;0.134847771;131;830;699;248.0109608;101.4347508;0;376;596;94;3;3393.175703;A;PebasSudEst;A2;AcreSud
Branco;Clear;189943.9172;26;0;0.181008912;13;2301;2288;276.8681298;277.440277;2.975825129;618;835;201;13;2014.774956;E;PebasNordEst;H2;AtlantikNord1
