basin;C0_05;C05_2;C2_5;C5_10;C10_15;C15_30;C30_45;CSup45
Abuna;;18.50750717;79.08746579;2.404793491;;;;
Amazon1;0.356403856;56.72866216;24.54256961;16.53847386;;0.67046875;;
Amazon2;1.120156294;30.00408103;38.59694815;9.499702381;0.550021911;20.2294396;;
Amazon5;1.600099172;57.71188173;30.2750208;10.4132592;;;;
Amazon8;;17.02663617;38.9865376;43.98697709;;;;
Amazon9;1.378912446;23.93234032;21.04838748;53.64047117;;;;
Andira1;;21.75689607;60.21713239;17.94344167;;0.082714921;;
Apaporis;;13.06647656;83.2706458;2.943849014;;0.653853659;;
Apurimac1;;0.511746365;0.915169221;7.128013061;;49.92152065;2.498134993;37.84307328
Arinos;;11.71728959;86.81081292;1.378678036;;;;
Aripuana;;6.62044099;61.17367734;31.28641631;;0.795434211;;
Bacaja;;;69.17076135;28.95180062;;1.508028672;;
Beni;;36.08791818;3.462221585;1.160145171;;20.59007352;9.662696048;28.65153504
Blanco_Baures;0.868340314;45.95155108;42.88862177;10.10899214;;0.074416795;;
Branco;;33.09158834;28.74377668;15.83586993;0.248749052;21.27367494;0.314661626;0.044893645
Candeias;;22.5937413;63.82325386;7.656485658;;5.926397369;;
Canuma;;12.88998675;44.13313122;42.83029953;;0.146666092;;
Caqueta1;;12.37591882;68.07632613;8.737879014;;4.867532004;2.520124552;3.11071541
Chapare;;41.72138962;22.56302072;2.999454947;;19.64553898;3.914404794;9.155851339
Coari;;66.18559109;33.81437518;;;;;
Curaray;;7.345828173;71.57975516;14.52502415;;6.549096018;;
Curua;;1.0916127;34.98324461;22.6162897;2.332359462;38.97679874;;
Curua_Una;;5.766846005;37.42545624;43.14759088;;13.66038054;;
Demini;;48.81607858;39.32210052;3.176678342;;7.107476994;0.831464455;0.647573115
Fresco;;0.580368913;73.74751794;8.025415296;;17.22609614;;
Grande;;33.87710033;3.553778033;2.368287387;0.297534458;36.25586185;12.53318043;10.86642838
Guapore;0.163539601;49.16263724;40.2664055;8.876282207;;1.44982375;;
Huallaga;;10.46355537;11.9843617;1.637101698;0.094817142;40.32027791;5.128797555;30.30879595
Iriri;;1.197988978;88.56955024;6.543698177;;3.688952917;;
Isiboro;;45.17839874;8.982677956;2.821827716;;15.63315564;10.88120916;16.50233905
Itonamas;;72.04668922;12.53618646;9.413452956;;4.991247064;0.390897928;0.442824662
Jamanxim;;;29.91334379;62.17214593;;7.914657866;;
Japura1;0.136571466;52.42873934;46.76042031;0.67420504;;;;
Jari;;1.874576667;6.328527111;46.20617442;0.881139425;44.06794669;;
Jatapu;;2.446761706;41.00853216;33.71767967;;22.77347578;;
Javary1;;7.424359141;89.75306777;2.723516037;;0.098794671;;
Jiparana;;12.0591699;76.23906982;10.60096092;;1.100694275;;
Jurua1;;27.81194628;43.13125209;28.3894635;0.47396601;0.193109425;;
Juruena1;;17.51663167;76.67439268;5.675746944;;0.048711615;;
Jutai;;33.18342646;63.17158832;3.644842978;;;;
Luna;;83.46245969;16.53761692;;;;;
Madera1;;79.59634885;20.40377044;;;;;
Madera2;;65.4398783;33.09407629;1.466055694;;;;
Madera3;;92.43802696;7.561940105;;;;;
Madera4;;28.24741577;66.90373438;3.87325097;;0.97545343;;
Madera6;;26.52062427;73.47919084;;;;;
Madre_Dios;;31.47000674;14.96928298;23.79123814;0.072020167;11.30808282;2.952990945;15.35635252
Mamore1;;77.6941924;18.82265599;1.759276912;;1.723652707;;
Mamore2;1.58735441;95.89529117;1.644661525;0.331497273;;0.540902844;;
Mantaro;;3.642552093;2.159302583;0.971586615;;60.9921962;2.794081754;28.6415456
Maranon1;;91.61798082;8.307150006;0.074523959;;;;
Maranon3;;48.39313467;20.19895421;6.704604705;;23.15819198;0.944161109;0.600564032
