basin;Acrisol;Albeluvisol;Alisol;Andosol;Arenosol;Calcisol;Cambisol;Chernozem;Ferralsol;Fluvisol;Gleysol;Histosol;Kastanozem;Leptosol;Lixisol;Luvisol;Nitisol;Phaeozem;Planosol;Plinthosol;Podzol;Regosol;Solonchak;Solonetz;Stagnosol;Umbrisol;Vertisol
Abuna;5.133333111;;;0.044831698;23.79244723;;0.002577224;;69.36187258;;0.280630288;0.010539811;0.018537863;;;0.02892671;0.982378277;;;0.341054906;;;;;;;
Amazon1;10.62387988;;0.016077693;;;;;;24.20661855;0.053589277;57.49186016;;;;;;0.133993522;;;0.203649453;0.010718472;;;;;;
Amazon2;34.93296554;;0.059745596;0.007470516;0.253445812;;;;31.8424447;2.480294788;15.70757602;;3.829550649;0.009333871;;0.025960506;1.048430453;;;0.439547444;0.600521496;0.162451595;;;;;0.003733896
Amazon5;7.706706882;;0.002499813;;0.755599693;;;;27.28448552;10.49325312;26.71770222;;;0.32755997;;0.141593997;0.121389361;;;3.253694531;;;;;;;0.011696613
Amazon8;5.730974034;;;;0.144317491;;;;69.82369696;3.199876436;10.90164313;;;0.014927687;;0.004975184;0.049737996;;;2.845233745;;;;;;;
Amazon9;1.878348218;;;;0.23442317;;;;58.99004458;3.967219351;24.45010331;;;;;;;;0.013787224;1.286651856;;;;;;;
Andira1;31.580942;;0.014642028;;0.212769515;;0.026260623;;58.59431052;1.56069212;3.848908988;0.005250474;;0.112943824;;;0.979253676;;;1.955461012;0.007880933;;;;;;
Apaporis;92.01734871;;0.822424809;0.336087922;;;0.596921436;;5.211845964;0.010587521;0.302892422;0.001512784;;0.028742408;;;0.007564354;;;0.0075647;0.615251364;;;;;;
Apurimac1;0.406647867;;;15.28007298;0.032117571;;1.11468058;0.006405572;0.320520282;0.001276028;;0.094062405;10.53022279;20.3873326;;1.281628217;0.920863153;0.192833077;1.253759321;;;47.92211285;;;;0.002580411;
Arinos;3.04592672;;;;0.103703665;;0.078758971;;91.1412634;;;;;0.167946879;;;5.390914588;;;0.014181009;;0.004152759;;;;;
Aripuana;40.1936014;;;1.26586591;0.063297579;;;;25.89108137;0.305670605;2.098314718;;0.013560037;;;0.002926066;30.12577684;;0.017540965;0.011649051;;;;;;0.000962087;
Bacaja;91.84744095;;;0.651513433;;;;;2.440593604;;;;0.367549195;;;;4.517151085;;;;;;;;;;
Beni;7.098967939;;;0.012874774;0.026613963;0.143517601;6.19322338;0.000690245;30.88539119;0.072673983;14.53898507;0.528131591;11.60419125;1.092170511;;2.701441696;1.241631582;0.635986577;0.132456823;0.045801705;0.008352869;21.73985242;0.208843565;;;0.86154151;
Blanco_Baures;17.59199634;;;;0.002161822;;0.018421714;;34.56667925;0.007576304;13.17282165;0.115208934;;0.055277705;0.430255139;0.145325213;32.18790686;;0.119045931;0.056271285;0.024777773;1.270401837;;;;;
Branco;34.7899361;;7.460284986;8.467712212;0.00134904;;1.293470694;;18.39585507;0.430590486;12.53909225;0.008538793;0.397730306;1.675262797;0.056608959;0.004496289;0.156287987;0.025133022;1.646393335;0.395226852;12.01896668;0.067781399;;0.02425158;;0.017006315;0.000449458
Candeias;61.37142914;;;0.002869125;0.011546554;;0.086597682;;30.55463768;0.02022215;1.367567155;;0.044427421;;;;5.03904502;;0.135519301;0.518458299;;0.070935823;;;;;
Canuma;25.91732258;;;0.858046769;0.040314346;;0.065678782;;66.19705579;0.012906881;0.088068547;0.025093591;;0.01383083;;;6.274754722;;5.97962E-05;0.051778432;;;;;;;
Caqueta1;81.53305884;;1.376778503;1.117361832;;;0.242492233;0.008548246;6.89261873;0.016534057;2.909240883;0.002848567;0.048430296;0.466828744;;0.010823625;0.024505629;;;0.000570108;0.001518294;0.001994737;;;;5.184935213;
Chapare;20.1200452;;;;;;2.577225479;0.012160951;47.36950914;;0.426970818;0.424212354;10.52368598;5.254380726;;0.192887596;9.777780084;0.000187806;0.235175531;0.640150112;;0.016337103;;;;2.428951531;
Coari;87.35383144;;;0.004791864;0.009583309;;0.004791839;;0.174735236;0.247897053;9.020575157;;;;;;0.00478456;;0.131747349;1.008359559;0.035937251;;;;;;
Curaray;70.69076117;;5.598309659;0.007008853;;;0.012856114;;4.464625451;0.022394991;19.1941428;;;;;;;;;0.006427578;;;;;;;
Curua;47.34657152;;;3.60068868;0.008960653;;;;31.44315064;0.11122694;0.562367247;;0.713080425;;;0.0048339;15.97322498;;;0.037872125;;;;;;;
Curua_Una;51.21265294;;;;0.024693834;;;;46.41382596;0.002744703;1.039106564;;0.041671446;0.046642829;;;0.776626678;;;0.329823056;;;;;;;
Demini;21.7980602;;0.479886779;0.118710215;0.002158889;;;;31.47381986;0.322711388;17.90658391;0.004317454;;0.002158631;;;0.371300641;;;;27.48734018;;;;;;
Fresco;73.29628995;;;0.048429681;;;;;0.256151149;;;;0.329266014;0.001939785;0.001938751;0.158695848;25.74762188;;0.001931691;0.023245054;;0.013525146;;;;;
Grande;0.4231169;;;0.001487854;0.004523648;0.072748901;26.83937779;;33.25405737;0.005942383;2.500093422;0.051945495;5.910135096;15.72956594;;1.320639465;0.030744234;0.089890593;0.179488785;0.268478306;0.010482322;12.5964115;;;;0.445885566;0.000747874
Guapore;41.22419681;;;0.000565153;3.680452161;;0.134450083;;22.45995228;0.296387845;8.158579819;0.016499374;0.072334135;0.778508882;0.013105315;0.322846597;16.31497458;;5.055336045;0.754432137;0.203309618;0.39648101;;;;0.000817081;
Huallaga;20.89750223;0.000941788;;0.83021103;0.188134884;;13.50264933;0.013622215;16.21376637;0.006630224;7.04674354;0.02770753;7.585768287;4.669820731;0.003756944;4.426864985;0.042465541;0.002815648;0.187867611;0.003792111;0.39660722;6.429983252;;;0.000946629;17.49580838;0.017982553
Iriri;84.01639136;;;0.248084845;0.326142517;;0.039524011;;0.588716015;0.001784465;;;0.000256588;0.000597824;;0.008400538;14.46287005;;;0.005467615;;;;;;0.293533405;
Isiboro;38.45135787;;;;;;0.938124461;0.015543578;33.52927113;;0.506510487;0.228133113;3.895678662;8.941950244;;0.156391982;8.722576189;0.011638297;0.015549554;1.37127919;;1.400737963;;;;1.713404959;
Itonamas;7.090052005;;;;0.014504789;;9.094293312;;33.72812991;0.014597096;15.34044533;0.029444444;0.313622262;16.00197662;0.001971466;5.618988755;0.046162924;0.065001586;0.020456859;0.166984686;;9.483657074;2.659425228;;;;0.011026987
Jamanxim;59.81690599;;;;0.136756596;;0.00862606;;5.734309897;;;;;;;;34.17157561;;;0.004336337;;;;;;0.123642141;
Japura1;64.70402656;;;0.07513195;;;0.027322396;;0.230692466;0.776725069;28.96140504;;;;;;;;0.04095584;0.116685129;3.791025716;;;;;;
Jari;61.83925126;;0.024960528;0.051374583;;;;;35.80762086;0.035239176;1.8133137;;0.013825056;;;;0.188175863;;;0.051390788;0.052377554;;;;;;
Jatapu;43.81874147;;0.09744473;26.75884557;0.002476118;;;;26.81352432;;;;0.066895019;0.017069761;;;2.305361538;;;0.027249533;0.003766262;;;;;;
Javary1;92.13978319;;;0.003122193;0.001560515;;0.001185494;;0.163389277;0.564342243;7.074083686;;;;;0.001590037;0.000780467;;0.00234164;0.015592445;;;;;;;
