%Soil;Acrisol;Alisol;Andosol;Arenosol;Cambisol;Ferralsol;Fluvisol;Gleysol;Leptosol;Lixisol;Luvisol;Nitosol;Phaeozem;Plinthosol;Podzol;Regosol;Solonetz;Vertsol
Abuna;0.213296702;;;;;69.66616445;1.200355658;;;28.91994965;;;;;;;;
Amazon1;7.819359084;;;;;27.19123858;;64.98978104;;;;;;;;;;
Amazon2;20.22138868;;;;;46.90103672;;26.88858596;;;;;;;;5.989338004;;
Amazon5;1.278412614;;;;;30.45955408;;65.93293734;;;;;;2.329356863;;;;
Amazon8;0.219412434;;;;;71.77806483;;23.41469482;;;;;;4.587978773;;;;
Amazon9;;;;;;58.05078454;;41.94932688;;;;;;;;;;
Andira1;0.283402468;;;;;90.13314174;;7.004794157;;;;;;2.578846688;;;;
Apaporis;85.83652212;;;;4.662426205;1.703288778;;0.701637986;6.439856631;;;;;;0.656090266;;;
Apurimac1;;;;;0.189425846;;;;39.28386722;;;;;;;60.52621127;;
Arinos;;;;;0.155422593;96.22726556;;;3.39293687;;;;;;;0.224363356;;
Aripuana;42.27136056;;;0.300226273;;52.50750096;2.917648565;;2.003257694;;;;;;;;;
Bacaja;14.15467403;;;;;85.84562325;;;;;;;;;;;;
Beni;2.256160648;;;;14.50264887;22.07297025;3.986026249;9.152509274;12.7368441;;8.572504937;;;;;26.71998532;;
Blanco_Baures;;;;;;82.65704374;1.948176954;13.83813108;;1.168813281;;;;;;0.387609818;;
Branco;28.62338191;;;;0.258039644;28.98901853;;4.712098407;11.89595236;;;;;3.134746499;11.39331251;10.99366969;;
Candeias;39.14607186;;;;;46.19055334;1.357384168;;4.466082937;5.168133741;;;;3.671652123;;;;
Canuma;5.847170088;;;;;86.84869202;0.025588784;;7.278632698;;;;;;;;;
Caqueta1;76.27098409;;;;9.440837564;1.589302039;;4.613789275;8.084931561;;;;;;;;;
Chapare;;;;;20.65570423;41.54225915;;;37.80169702;;;;;;;;;
Coari;0.213431063;;;;;;14.65599955;;;;;;;85.13053564;;;;
Curaray;21.28536314;5.730090226;0.007410012;;53.07207285;;;19.90476727;;;;;;;;;;
Curua;25.76044411;;;;;73.16966947;;1.070191627;;;;;;;;;;
Curua_Una;40.35278023;;;;;58.24984364;;1.397649796;;;;;;;;;;
Demini;1.45236391;;;;;46.11693095;;7.743971382;12.06974204;;;;;;32.58884098;0.028282913;;
Fresco;37.0601525;;;;;0.276242254;;;44.81541407;15.03402724;;;;2.814398758;;;;
Grande;;;;;5.187830753;32.4596745;;2.500440316;59.62646403;;;;;;;0.225236247;;
Guapore;12.33421295;;;1.261736607;;47.7370039;6.290302614;0.805711235;9.771776042;9.859807823;;;;11.93927608;;;;
Huallaga;;;;;44.98911769;;;7.108219351;43.09677594;;;;;;;4.805443724;;
Iriri;86.13805241;;;;;2.937751413;;;9.745356717;;;0.252483493;;;;0.92654627;;
Isiboro;;;;;28.04832011;30.51568183;;0.000933659;39.89864883;;0.140199411;;;;;1.395824392;;
Itonamas;;;;;19.28403253;44.80809986;0.01755171;15.43142921;6.281214683;;3.315109385;;0.188192409;;;0.08426933;10.58981161;
Jamanxim;65.27755092;;;;;22.25946778;;;7.925954058;;;;;;;4.537174834;;
