"","BvNiv2","bio_mn1","bio_std1","bio_cv1","bio_mn2","bio_std2","bio_cv2","bio_mn3","bio_std3","bio_cv3","bio_mn4","bio_std4","bio_cv4","bio_mn5","bio_std5","bio_cv5","bio_mn6","bio_std6","bio_cv6","bio_mn7","bio_std7","bio_cv7","bio_mn8","bio_std8","bio_cv8","bio_mn9","bio_std9","bio_cv9","bio_mn10","bio_std10","bio_cv10","bio_mn11","bio_std11","bio_cv11","bio_mn12","bio_std12","bio_cv12","bio_mn13","bio_std13","bio_cv13","bio_mn14","bio_std14","bio_cv14","bio_mn15","bio_std15","bio_cv15","bio_mn16","bio_std16","bio_cv16","bio_mn17","bio_std17","bio_cv17","bio_mn18","bio_std18","bio_cv18","bio_mn19","bio_std19","bio_cv19","prec_mn1","prec_std1","prec_cv1","prec_mn2","prec_std2","prec_cv2","prec_mn3","prec_std3","prec_cv3","prec_mn4","prec_std4","prec_cv4","prec_mn5","prec_std5","prec_cv5","prec_mn6","prec_std6","prec_cv6","prec_mn7","prec_std7","prec_cv7","prec_mn8","prec_std8","prec_cv8","prec_mn9","prec_std9","prec_cv9","prec_mn10","prec_std10","prec_cv10","prec_mn11","prec_std11","prec_cv11","prec_mn12","prec_std12","prec_cv12","tmax_mn1","tmax_std1","tmax_cv1","tmax_mn2","tmax_std2","tmax_cv2","tmax_mn3","tmax_std3","tmax_cv3","tmax_mn4","tmax_std4","tmax_cv4","tmax_mn5","tmax_std5","tmax_cv5","tmax_mn6","tmax_std6","tmax_cv6","tmax_mn7","tmax_std7","tmax_cv7","tmax_mn8","tmax_std8","tmax_cv8","tmax_mn9","tmax_std9","tmax_cv9","tmax_mn10","tmax_std10","tmax_cv10","tmax_mn11","tmax_std11","tmax_cv11","tmax_mn12","tmax_std12","tmax_cv12","tmin_mn1","tmin_std1","tmin_cv1","tmin_mn2","tmin_std2","tmin_cv2","tmin_mn3","tmin_std3","tmin_cv3","tmin_mn4","tmin_std4","tmin_cv4","tmin_mn5","tmin_std5","tmin_cv5","tmin_mn6","tmin_std6","tmin_cv6","tmin_mn7","tmin_std7","tmin_cv7","tmin_mn8","tmin_std8","tmin_cv8","tmin_mn9","tmin_std9","tmin_cv9","tmin_mn10","tmin_std10","tmin_cv10","tmin_mn11","tmin_std11","tmin_cv11","tmin_mn12","tmin_std12","tmin_cv12"
"22","Abuna",226.548323471,2.31915929144,1.02369298342518,106.850756082,1.89520340433,1.77369208588058,76.573964497,1.94228509661,2.53648235319734,667.794214333,144.210819336,21.5950986457766,288.93425378,3.97489040103,1.37570756981156,150.193951348,4.33278591235,2.88479387715882,138.740302433,3.36204786581,2.42326692882451,228.071663379,1.94385166553,0.852298631373503,217.039447732,4.78063381316,2.20265664288969,232.345167653,1.51906295346,0.653795802514245,216.904667982,4.75799454279,2.1935878960359,1677.28270874,74.3434043612,4.43237171490594,257.694937541,10.2621282465,3.98227778334499,24.3044049967,12.2760292631,50.5094828067867,57.7468770546,6.53677945513,11.3197107593358,714.980276134,22.9358280414,3.20789661015788,95.7915844839,34.0214471193,35.5161127176241,578.013806706,81.2360571562,14.0543454522566,117.79355687,42.539900262,36.1139449324449,256.851413544,10.2126766137,3.97610294324914,228.203155819,9.81030549574,4.29893506973281,186.263642341,13.9380917156,7.48299106600901,154.305062459,9.46922941598,6.1366939393165,90.1919789612,9.95901998139,11.0420240204224,30.811965812,7.00334390978,22.7292992355992,26.4490466798,15.0885682639,57.0476828392595,38.5305719921,12.6369637309,32.797238861367,85.3510848126,17.105975916,20.0418963081237,141.553583169,9.62450449459,6.79919524403657,212.864562788,27.2856429573,12.8183116061807,225.906640368,13.9330309352,6.16760574744647,272.872452334,1.37347267461,0.503338707466465,276.315581854,1.99119044509,0.720621845402156,282.460223537,2.63839095916,0.934075221679626,281.534516765,2.14626839596,0.762346450666834,277.412886259,5.17280016604,1.86465749150908,279.600920447,7.11272801926,2.54388576685972,283.069033531,7.03170950151,2.48409704650365,284.637080868,4.53952389703,1.59484628045887,288.923734385,3.97949652959,1.37735189463085,286.364891519,3.88818784762,1.35777393206109,276.166337936,2.71805956502,0.984211032138861,272.982905983,1.75964619665,0.644599408271953,185.199211045,2.41851273478,1.30589796853527,187.381985536,2.14911972311,1.146919068534,188.527942143,1.59821203084,0.847732178409789,180.738330046,2.3416104752,1.29558045302512,165.343195266,2.99603639885,1.81201070538769,152.776462853,3.5462564987,2.32120604998701,150.471400394,4.50895856877,2.99655519717606,155.210387903,4.25321751364,2.74029178787832,170.548323471,2.83616846491,1.66297059225696,182.767258383,3.23825034001,1.77178908775009,183.213017751,2.06262604436,1.12580758162243,178.477317554,2.47505204265,1.38675999649151
"45","Amazon1",234.082998661,2.87835807795,1.22963141040347,94.7951807229,3.07463227971,3.24344788022251,76.5448460509,1.14728458723,1.49883976050731,630.009370817,32.4823283107,5.15584843898063,303.969210174,3.85727495246,1.26896896901235,180.910307898,3.17726837228,1.75626718521279,123.058902276,2.76316570961,2.24540090843058,233.361445783,3.15133885798,1.35041109614584,237.180722892,8.14597431063,3.43450100467872,242.052208835,2.85456581483,1.17931822583609,225.567603748,2.85980686917,1.26782694928343,2324.75769746,90.3534717489,3.8865758718691,297.273092369,15.4153685183,5.18559160381901,124.481927711,23.2340546011,18.6646005796445,29.2945113788,5.62638737871,19.2062851158587,811.00669344,48.6350362983,5.99687236760126,421.578313253,52.3740814002,12.4233338750442,427.872824632,56.0185582935,13.0923384399745,466.768406961,49.5344177994,10.6122044809984,152.955823293,17.3615595852,11.350701929107,160.862115127,8.1632275242,5.07467374636667,191.777777778,6.74265042997,3.51586638874042,295.104417671,16.9624301534,5.74794179201706,288.414993307,21.5303823831,7.46507043071171,226.580990629,19.2499187247,8.4958224744544,196.204819277,11.7234797213,5.97512322301773,157.46184739,13.1819550633,8.3715231859633,126.547523427,24.768947365,19.5728424343983,143.116465863,24.163290651,16.8836552141601,240.073627845,26.848201136,11.1833196244838,145.65729585,23.1350805371,15.8832280951617,265.080321285,3.44883829322,1.30105406410459,268.480589023,3.14582414628,1.17171381280399,274.534136546,2.55380638767,0.930232727995228,277.254350736,3.96599895837,1.43045508495786,279.195448461,4.63174895981,1.65896291839335,283.907630522,4.33451119396,1.52673289759435,288.278447122,3.36572275898,1.1675249372894,298.148594378,3.3165250972,1.1123732124644,303.969210174,3.85727495246,1.26896896901235,292.147255689,4.76261122652,1.63020912699928,276.410977242,4.39922562046,1.59155242832793,272.74832664,3.01817018786,1.10657697703996,180.911646586,3.17667382535,1.75592555001146,183.089692102,3.20996411987,1.75321946474284,187.235609103,3.33705270363,1.7822746002307,189.081659973,2.96115383768,1.56607142020164,189.310575636,2.79029357288,1.47392376971326,185.935742972,2.69088293205,1.44721121880004,186.008032129,2.84775488902,1.53098490233208,184.360107095,3.05814495911,1.65878888187787,187.408299866,3.33984675695,1.78212318202451,189.665327979,3.31123841772,1.74583222616557,193.627844712,3.38326870573,1.74730484180219,186.46854083,3.2462542949,1.74091258528137
"46","Amazon2",224.191608392,9.35421196907,4.17241842197506,88.5678321678,3.03932120532,3.43163102328363,76.4475524476,2.28793833869,2.99282091504269,600.831235431,102.253747419,17.0187136402203,287.325874126,9.47225648322,3.29669456746042,172.10955711,9.47968639335,5.50793724214354,115.216317016,4.6982429342,4.07775830358087,223.323543124,9.45487284666,4.23371074737526,222.44988345,12.904758929,5.80119833234284,231.374825175,8.73074679823,3.77342124045972,216.777622378,9.23010494184,4.25786796653082,2014.60699301,216.166043508,10.7299361244165,319.306759907,33.0670869398,10.3558994333321,63.2130536131,14.5478494233,23.0139956730158,45.9710955711,7.23157438118,15.730698368925,831.344055944,81.4490333201,9.79727138694866,280.294638695,37.6646210329,13.437510331364,363.117482517,123.994075342,34.1470959983853,526.579020979,115.676030312,21.9674589574303,113.746386946,18.7075148444,16.4466892942113,167.818181818,34.1074750737,20.324064236788,271.731468531,55.2762898284,20.3422482229341,313.194871795,27.4046475189,8.75003072746273,241.831701632,46.8195576267,19.3603887789477,135.106759907,29.5414098517,21.8652344797808,144.243356643,29.594910479,20.5173473272997,113.08018648,46.5005812828,41.121776263629,105.753379953,65.4625092015,61.9011035208459,183.542191142,55.9852812479,30.5026767412764,142.95990676,29.8514625177,20.8810030687936,81.5986013986,23.9109205021,29.303100901568,259.875058275,8.08147657865,3.10975459988091,258.653146853,8.61526647514,3.33081834880451,262.343123543,9.62503197881,3.66887145690037,267.721212121,10.6721711798,3.98630018714265,270.986480186,8.988742193,3.31704452075627,273.903496503,8.28330035056,3.02416743718687,277.476923077,7.21579165953,2.60050154063717,287.018648019,9.13854140247,3.18395388785507,283.172960373,13.9053884627,4.91056365141064,264.737062937,12.8454993977,4.85217266339351,253.845687646,11.1919035548,4.40893980062708,264.239160839,8.20143572881,3.10379267886303,172.776223776,9.58769090947,5.54919577470347,172.948717949,9.64203982168,5.57508603476511,178.281118881,10.4014855787,5.8343169730962,183.983216783,9.6247882138,5.23134032662991,184.238228438,9.01501635819,4.89313017967047,179.846620047,8.58394821149,4.77292718053124,179.958041958,8.31905229765,4.62277329044932,179.994405594,8.02989556482,4.46119174555483,182.323543124,9.60437597119,5.2677650985852,185.188811189,11.4166796448,6.16488629712535,183.81025641,11.356560068,6.17841479023265,178.307692308,10.3957343564,5.83022202903222
"47","Amazon5",233.623167155,4.92646125202,2.10872119919147,84.4384164223,4.14401902505,4.90774128724135,80.9120234604,1.8636519377,2.30330655197631,446.507331378,67.4419753138,15.1043377284897,289.247800587,2.33584892004,0.807559786210863,185.519061584,6.84519355308,3.68975214440733,103.728739003,5.38854230251,5.19484026731893,231.711143695,5.51698195523,2.38097394335594,237.936950147,4.71291494067,1.98074109034276,238.177419355,4.53231024484,1.90291349075567,228.324046921,5.43387140099,2.37989448517007,2500.62316716,174.060006481,6.96066519605523,387.032258065,27.1380010351,7.01181890387605,88.4193548387,23.2657749126,26.31298877383,44.151026393,5.68909079542,12.8855233053472,1016.10703812,77.4705997229,7.62425579358608,327.2228739,76.5564032498,23.395798202419,340.737536657,93.7888689243,27.5252529687422,878.426686217,89.5100449344,10.1898139410906,202.149560117,22.6121429783,11.1858482230743,299.429618768,34.9879979778,11.6848821174598,386.87829912,27.112422049,7.00799763405453,329.799120235,32.0557953703,9.71979408176058,217.882697947,20.1042960873,9.22711912268976,106.397360704,18.7531156844,17.6255459348955,121.124633431,25.9797012505,21.4487346748501,100.673020528,38.2868874818,38.0309315057765,139.400293255,44.2713195645,31.7584120741526,231.530791789,58.4818172782,25.258764428835,176.143695015,38.0833689175,21.6206256569427,189.214076246,25.8225601218,13.6472722506267,268.376832845,3.16833535369,1.18055471484003,266.571847507,4.47786662917,1.67979727456119,270.609970674,4.88252797957,1.8042675838622,277.95601173,3.34187866456,1.20230486966629,281.294721408,3.16639266638,1.1256495146908,283.668621701,2.85400076869,1.00610379518756,287.892961877,3.24809581415,1.12823036484571,288.978005865,2.21719158969,0.767252712902238,280.211143695,3.15522080686,1.12601546293046,265.258064516,2.03869482901,0.76857034779692,265.711143695,6.96957099156,2.62298784109714,276.070381232,4.82397204659,1.74737037166479,185.649560117,6.7993061648,3.66244130097316,188.803519062,7.57887861797,4.01416173576787,193.595307918,6.61845648578,3.418707073512,196.130498534,6.65150365891,3.39136631407529,194.483870968,6.75311621135,3.47232712807385,188.527859238,6.98174942517,3.70329852223917,189.604105572,7.66596512303,4.04314300046575,191.65542522,7.66509636199,3.99941528041342,192.803519062,6.86117808706,3.55863737365377,195.712609971,6.64491863215,3.39524297036079,193.561583578,6.59977711009,3.40965236391056,189.32111437,6.56042028385,3.4652343483615
"81","Amazon8",233.142857143,1.71387158559,0.735116488916829,84.6385093168,1.16352762564,1.37470240796059,81.3875776398,1.33703843323,1.64280406421159,328.144099379,20.0162444735,6.09983373505115,287.288198758,2.05790036163,0.716319142424465,183.803726708,2.88258614474,1.5682958100841,103.48447205,2.51876335146,2.43395294150317,232.398757764,1.80441100583,0.776428851509771,233.914285714,2.31631687571,0.990241732624271,235.556521739,1.81596722713,0.770926321089983,229.803726708,1.70019685374,0.739847381108991,2647.44347826,203.64679775,7.69220568530681,369.536645963,48.5281268117,13.1321554551748,122.803726708,19.0628574116,15.5230284313173,33.2074534161,2.14283589872,6.45287632228097,878.380124224,62.8144628872,7.15117079210929,456.913043478,44.7919679058,9.80317120405356,665.670807453,118.754801218,17.83986917984,715.367701863,78.2550786973,10.939140597696,216.638509317,35.5333070279,16.4021194292402,242.798757764,33.7593492688,13.9042512324606,307.650931677,21.3262417244,6.93196071539619,276.648447205,30.861975047,11.1556653792208,245.380124224,50.2314108503,20.4708555793399,128.97515528,32.5359906425,25.2265566743189,146.80621118,24.398446365,16.6194918926727,218.144099379,50.3675840306,23.0891342804979,354.857142857,64.6021418739,18.2051124443431,195.223602484,26.6155923,13.6333885664165,143.724223602,20.1402158679,14.0130976972067,170.596273292,16.0345817594,9.39913952982696,269.053416149,1.65116300274,0.613693379691413,269.672049689,1.85613674735,0.688294077747618,273.281987578,1.66176917617,0.608078560499967,278.108074534,1.825151237,0.65627409058807,280.288198758,2.49101188953,0.888732347836283,282.686956522,2.48651344704,0.879599638282741,287.288198758,2.05790036163,0.716319142424465,281.388819876,3.14836038939,1.11886477606942,259.41242236,5.10888591086,1.96940680958221,267.134161491,4.20817166581,1.57530270270273,280.966459627,2.33740696429,0.831916723224918,278.814906832,1.46741887647,0.526305746397625,187.81863354,2.49857611548,1.33031322206264,190.01242236,2.7341583865,1.43893665084687,193.331677019,2.49979930524,1.29301071804923,195.216149068,2.28045709217,1.16817030919693,192.949068323,1.94869339925,1.00995222013089,184.639751553,2.26436832548,1.2263709772324,184.607453416,3.42115364646,1.8532045067274,190.043478261,2.86453539985,1.50730528932749,196.826086957,2.6336692808,1.338069217103,196.110559006,1.93405577407,0.98620685386493,192.125465839,2.20060069448,1.14539771438946,188.854658385,1.93817325503,1.02627770561996
"82","Amazon9",234.913793103,1.62400614444,0.691320046808805,82.9724137931,0.909299295109,1.09590555889627,80.2344827586,1.11115840829,1.38488885337882,339.817241379,11.8939732338,3.50010881894441,289.437931034,2.19826166324,0.759493289420236,186.679310345,2.50459981115,1.34165902291008,102.75862069,1.02906627962,1.00144033922416,233.496551724,1.86297551368,0.797859968348523,236.3,2.07356098835,0.87751205600931,237.055172414,1.65999298023,0.700255962916068,231.403448276,1.56447253612,0.676080044517755,2569.16206897,122.665923981,4.77454986053791,382.04137931,46.1915615315,12.0907221136428,113.213793103,9.80477449275,8.6604063197757,32.8586206897,2.74125785894,8.34258347246842,838.124137931,72.6869416493,8.67257466522031,447.510344828,46.5273545409,10.3969338538493,563.751724138,124.240119626,22.0380912920432,687.910344828,53.7017199033,7.8064998305451,198.982758621,18.5315121918,9.31312457432392,226.855172414,24.0169420978,10.5869052233776,271.368965517,14.3423078855,5.28516879525103,259.303448276,6.78164270399,2.6153307058114,223.913793103,20.1099430569,8.98110955033907,113.572413793,9.46299130922,8.33212132522559,126.913793103,13.7485854856,10.8330112507488,220.327586207,37.388818138,16.9696490492447,380.093103448,50.1727528132,13.2001218538458,205.531034483,23.6922961937,11.5273570501391,165.020689655,15.1058193699,9.15389421864672,177.279310345,13.77333454,7.76928481569336,270.296551724,1.22965729978,0.454928962998982,271.220689655,1.65870313079,0.611569542463709,274.575862069,1.45368857178,0.529430577337018,278.924137931,1.61280547439,0.578223701381117,280.975862069,1.82967024962,0.651184139501166,283.437931034,1.63726302167,0.57764428906786,289.437931034,2.19826166324,0.759493289420236,281.848275862,1.75118101816,0.621320464992811,256.803448276,1.76537243479,0.687441094207062,269.455172414,1.7478235149,0.648650942285341,281.824137931,1.1507584223,0.408325003936229,279.789655172,1.20081720093,0.429185703878794,190.020689655,2.064374216,1.08639444459867,191.213793103,1.83898850345,0.961744690907001,194.917241379,2.00001189057,1.02608259609069,196.813793103,1.89549813996,0.963092123816757,195.637931034,1.84108547313,0.941067748671926,187.303448276,1.83950569796,0.982099216480738,187.365517241,2.76758027788,1.47710225373017,193.148275862,3.04258518592,1.57525878620519,200.217241379,2.59662499324,1.2969037907803,199.182758621,1.89674293707,0.952262610580203,195.403448276,2.32808679164,1.19142564380525,192.434482759,2.3760697572,1.23474219543892
"51","Andira1",234.999345121,2.01938855943,0.859316675282745,88.8212180747,4.37009187946,4.92009901934095,81.102815979,2.53008847068,3.11960619386523,310.945645056,30.1809483849,9.70618140654922,290.519973805,1.47831759783,0.508852310038504,181.506876228,6.4995933478,3.58090750216842,109.013097577,6.92317927658,6.35077750330863,234.453176162,2.46314046825,1.05058950728313,235.612311722,2.97253180699,1.26161989807108,237.774066798,2.0352256504,0.855949379933438,231.439423707,1.65690922938,0.715914861366761,2595.19318926,107.767978257,4.15259945590907,332.787164375,44.6558243819,13.4187340024869,103.908316961,16.8553529665,16.2213703960063,32.7419777341,6.2426558935,19.0662150716645,911.903732809,94.6107554923,10.3750815012966,391.759004584,68.9413411705,17.5978957378931,713.483300589,103.404595463,14.4929244142977,839.642436149,117.599736183,14.0059305151808,253.958742633,33.655253638,13.2522524285119,309.521283563,51.7804484186,16.7292044742573,316.856581532,28.7160932013,9.06280471197973,283.269810085,25.7513275355,9.090741977683,181.244924689,21.8503632624,12.0557104150051,105.358873608,18.1805925956,17.2558722137093,131.03994761,32.3782143481,24.7086594116046,156.481990832,26.8496658176,17.1583104706445,237.835625409,44.6934969754,18.7917587613469,212.571054355,34.1437889506,16.0622945838989,169.098231827,28.8524379046,17.0625308099721,237.956123117,34.296656998,14.4130172187823,269.969220694,1.03998431196,0.38522328926481,271.325474787,1.10046695774,0.405589249812943,276.762933857,1.37480892435,0.496746043695413,281.729535036,1.1736291366,0.416580085027305,284.929273084,1.17893581183,0.413764370038047,287.010478062,1.30733469394,0.455500685120489,289.987557302,1.41068139442,0.486462732244364,289.207596595,2.30531288648,0.797113531463805,275.797642436,6.55301644789,2.37602337351765,270.324819908,3.50272504315,1.29574674065892,278.445317616,2.11167956458,0.758382142195757,279.625409299,1.14150549129,0.408226668009774,189.148657498,2.69385956152,1.42420231639682,191.265880812,3.28578255333,1.71791358677279,194.901113294,2.95724478704,1.51730523087322,197.489194499,3.13686612444,1.58837354742256,193.227897839,4.03104289792,2.0861598884022,183.401440733,5.74011018918,3.12980648692754,181.827111984,7.05457988057,3.87982837300456,186.989521938,6.02101930285,3.21997684172185,192.22134905,4.20785930242,2.18906969658478,195.154551408,3.50222362405,1.79458977450548,193.058284217,3.4122753774,1.76748456624869,191.153896529,2.74581712193,1.43644318624362
"29","Apaporis",226.952741021,4.39466477654,1.93637880590011,96.0461247637,4.02282583574,4.18843117891249,78.9542533081,3.82951746654,4.85029913663578,657.384877127,139.560690967,21.2296777463042,291.254064272,9.52976173459,3.2719755373749,170.002268431,4.22066150172,2.48270893128292,121.251795841,8.78524075863,7.2454520757369,220.574291115,4.76830476769,2.16176814785907,227.394328922,6.0911077439,2.67865420073398,234.350094518,5.74820798825,2.45282938761883,218.051795841,2.95817753952,1.35663984243315,2838.54593573,329.512152243,11.6084840514747,392.666162571,53.2345816991,13.5572113855047,94.3678638941,62.111623003,65.8186171011584,40.029489603,13.7345025201,34.3109608848739,1011.99206049,109.477409316,10.8180106929882,347.024574669,179.566734811,51.7446739851997,667.871833648,266.333669052,39.8779609550611,986.96899811,130.644641985,13.2369549839132,96.7357277883,65.7931922683,68.0133325840937,129.496786389,54.5695692797,42.1397092556232,189.422306238,72.6988226996,38.3792300618795,271.073724008,37.8723586242,13.9712392865796,329.163327032,29.5398576834,8.97422502979144,263.712287335,26.1046320601,9.89890623751584,335.44536862,56.913024731,16.9664064718307,390.322117202,56.6561463993,14.5152282953977,233.330434783,22.6748130214,9.71789772838157,254.652930057,25.1774600624,9.88697049618256,224.104347826,35.073194866,15.650385727113,121.08657845,60.8936262182,50.2893276841121,284.272967864,12.0820903123,4.25017208040697,289.575803403,10.877632683,3.75640248776646,290.006427221,9.53681337515,3.28848345415547,285.120604915,4.69212939645,1.6456647873095,275.072967864,5.80388101697,2.10994234076811,263.15463138,2.82238927096,1.07252122303879,260.062003781,2.83095442902,1.0885690288705,263.185255198,3.11428351261,1.18330470689441,270.060113422,2.52888357997,0.936415062530293,271.524385633,3.4668114345,1.2767956095059,273.937618147,4.07652261993,1.48812078001732,275.939130435,5.56369544407,2.01627635605693,171.579584121,5.37973855987,3.13541881304255,174.642344045,4.9061381818,2.80924893022269,182.80831758,5.06904378753,2.7728737152847,183.780340265,3.99855255918,2.17572377622891,190.727410208,5.91011637141,3.09872417654319,180.493005671,5.20742238212,2.88511034694165,173.52173913,4.23523790071,2.44075348826294,171.857844991,3.45779575736,2.01200926122464,175.248771267,4.39652330879,2.5087327443179,184.134971645,5.27421287089,2.86431894157419,189.780340265,6.68766824091,3.52389938366201,171.443478261,3.68149718866,2.14735330034276
"97","Apurimac1",38.0939102564,49.0280907324,128.703224222467,151.583974359,7.82193658225,5.16013425253326,73.5958333333,5.41186214437,7.3534898638362,1345.81346154,422.30935899,31.3794869094827,132.791666667,47.447334445,35.7306566262046,-72.8387820513,57.8913491261,-79.4787440093759,205.630448718,17.451791725,8.48696865362252,47.1282051282,45.4596422804,96.4595238811639,20.0695512821,53.0321017542,264.241591696668,50.9141025641,47.320880154,92.9425793068312,17.6875,53.6559502534,303.35519577894,679.965705128,137.270763843,20.1878951846784,129.768589744,20.3786348165,15.7038269867167,7.88108974359,6.58014896115,83.4928820154839,76.3108974359,14.5040713723,19.0065532704332,364.724038462,56.064064194,15.3716394538775,34.746474359,27.7971155879,79.9998160984642,248.233974359,84.2822242998,33.9527353245812,44.2384615385,36.395682439,82.2715826302536,126.159294872,19.8040709883,15.6976709551151,122.536538462,17.1182897635,13.9699472323584,115.995512821,22.7096637144,19.578053635096,40.6682692308,13.6533275114,33.5724331761325,13.7278846154,11.5412023054,84.0712362373226,8.06666666667,6.68120530095,82.8248591026517,13.3429487179,10.194880642,76.4065039710693,21.6756410256,17.925860033,82.7004839756696,39.246474359,18.6439261198,47.5047158357667,44.1275641026,19.0321862122,43.1299270631587,54.8503205128,13.3747885159,24.3841574504179,79.5685897436,12.2504489948,15.3960866144236,110.050961538,48.1093069555,43.7154807946754,107.306410256,48.2405931836,44.9559286053022,108.431410256,49.2416572453,45.4127241627158,116.609615385,51.3741258318,44.0565091156355,114.321153846,50.4242774628,44.1075651936873,104.561858974,50.9982090599,48.7732425191303,101.499358974,49.2427789797,48.5153595820383,112.556410256,49.7778850849,44.2248335494037,114.583012821,46.7448697983,40.7956368465579,132.000641026,47.2475477546,35.7934229617065,129.893589744,47.3464341921,36.4501699317206,117.119551282,46.2459437146,39.486100491667,-15.1320512821,43.3515725725,-286.488406391944,-11.5320512821,42.2448782925,-366.325792862822,-12.9310897436,42.6836536608,-330.085511021416,-26.3692307692,46.659756744,-176.947735610475,-51.4294871795,50.9525372634,-99.0726138986466,-69.916025641,56.9888709297,-81.5104554459696,-70.4586538462,58.0048480134,-82.3246611268154,-68.2330128205,59.9890363906,-87.9179064662038,-43.2993589744,51.5692725505,-119.099390318895,-33.4894230769,54.3199615377,-162.200350280648,-29.3628205128,52.3172744648,-178.175235045944,-17.4182692308,44.3894014502,-254.8439277291
"91","Arinos",213.014189429,3.7731634105,1.77132022078634,137.283433842,2.53856640449,1.84914256108399,72.6477474282,1.60890714179,2.21466900041207,828.726498758,135.466487573,16.3463443942026,297.958850656,6.72305301822,2.25636963071183,110.148989003,4.5617992372,4.14148080567109,187.809861653,4.04533049018,2.15394998674468,215.352962043,3.62374626419,1.68270091565606,202.880099326,4.30281071557,2.12086386484659,219.351897836,3.52585933545,1.60739860025562,200.304363249,4.45460554735,2.22391837855895,1935.24618659,114.419120187,5.91238060458924,328.893224548,21.7914171279,6.62568137663769,3.77970911671,1.76644448833,46.7349320750793,73.1465058531,3.17540282058,4.34115448652757,933.052500887,64.7969793929,6.94462308726478,41.2493792125,6.75884942523,16.385336105087,707.609081234,112.112238533,15.8438100225463,60.1713373537,8.35498003592,13.8853155062977,315.460092231,24.5252348513,7.77443342447927,291.400851366,28.7189105032,9.85546554465244,251.766229159,26.6467367475,10.5839201852094,142.15005321,18.0776529206,12.7173029572445,44.6566158212,8.64485124443,19.3585006061431,11.7350124158,3.55122921,30.2618274627356,3.77970911671,1.76644448833,46.7349320750793,25.7364313586,6.35106247028,24.6773236809219,99.5108194395,15.9161560279,15.9943975112943,179.895707698,14.7695234043,8.21004769557612,243.188364668,20.4846301008,8.4233594517425,325.966300106,21.448998208,6.58012751656385,268.943951756,4.98828511892,1.85476754035563,271.742461866,4.55368930785,1.67573712130991,282.560482441,6.29336147318,2.22726172422008,283.704150408,4.48470110108,1.58076682862428,281.209648812,4.808319382,1.70986998572533,282.570769777,5.06196549316,1.79139742484858,290.916991841,4.72517414447,1.62423449884032,294.87974459,8.0283780427,2.72259393532188,292.41291238,10.2380216651,3.50122078459906,285.359702022,8.48413711164,2.97313778067581,272.998226321,3.94809311054,1.44619734851233,274.736431359,4.47487838244,1.62878958582404,161.292656971,3.57832136955,2.21852713988918,161.557289819,3.02217755622,1.87065378455276,165.730400851,4.46257165915,2.69266932091842,151.916991841,6.10568434929,4.01909244996133,124.033699894,9.24246332103,7.4515743132138,111.233061369,5.22688084047,4.69903531930184,115.385952465,5.11263983678,4.43090317977036,125.829372118,4.08229150521,3.24430730003303,141.380986165,3.43545465041,2.42992692553482,158.064916637,4.52438586887,2.8623593173812,161.343029443,4.21147651299,2.61026244984315,157.364313586,4.27955574284,2.7195211196986
