"","BvNiv2","bio_mn1","bio_std1","bio_cv1","bio_mn2","bio_std2","bio_cv2","bio_mn3","bio_std3","bio_cv3","bio_mn4","bio_std4","bio_cv4","bio_mn5","bio_std5","bio_cv5","bio_mn6","bio_std6","bio_cv6","bio_mn7","bio_std7","bio_cv7","bio_mn8","bio_std8","bio_cv8","bio_mn9","bio_std9","bio_cv9","bio_mn10","bio_std10","bio_cv10","bio_mn11","bio_std11","bio_cv11","bio_mn12","bio_std12","bio_cv12","bio_mn13","bio_std13","bio_cv13","bio_mn14","bio_std14","bio_cv14","bio_mn15","bio_std15","bio_cv15","bio_mn16","bio_std16","bio_cv16","bio_mn17","bio_std17","bio_cv17","bio_mn18","bio_std18","bio_cv18","bio_mn19","bio_std19","bio_cv19","prec_mn1","prec_std1","prec_cv1","prec_mn2","prec_std2","prec_cv2","prec_mn3","prec_std3","prec_cv3","prec_mn4","prec_std4","prec_cv4","prec_mn5","prec_std5","prec_cv5","prec_mn6","prec_std6","prec_cv6","prec_mn7","prec_std7","prec_cv7","prec_mn8","prec_std8","prec_cv8","prec_mn9","prec_std9","prec_cv9","prec_mn10","prec_std10","prec_cv10","prec_mn11","prec_std11","prec_cv11","prec_mn12","prec_std12","prec_cv12","tmax_mn1","tmax_std1","tmax_cv1","tmax_mn2","tmax_std2","tmax_cv2","tmax_mn3","tmax_std3","tmax_cv3","tmax_mn4","tmax_std4","tmax_cv4","tmax_mn5","tmax_std5","tmax_cv5","tmax_mn6","tmax_std6","tmax_cv6","tmax_mn7","tmax_std7","tmax_cv7","tmax_mn8","tmax_std8","tmax_cv8","tmax_mn9","tmax_std9","tmax_cv9","tmax_mn10","tmax_std10","tmax_cv10","tmax_mn11","tmax_std11","tmax_cv11","tmax_mn12","tmax_std12","tmax_cv12","tmin_mn1","tmin_std1","tmin_cv1","tmin_mn2","tmin_std2","tmin_cv2","tmin_mn3","tmin_std3","tmin_cv3","tmin_mn4","tmin_std4","tmin_cv4","tmin_mn5","tmin_std5","tmin_cv5","tmin_mn6","tmin_std6","tmin_cv6","tmin_mn7","tmin_std7","tmin_cv7","tmin_mn8","tmin_std8","tmin_cv8","tmin_mn9","tmin_std9","tmin_cv9","tmin_mn10","tmin_std10","tmin_cv10","tmin_mn11","tmin_std11","tmin_cv11","tmin_mn12","tmin_std12","tmin_cv12"
"22","Abuna",217.894667544,1.79772858058,0.825044780050425,107.315339039,1.46046260502,1.36090760006754,75.1263989467,1.43356991939,1.90821061502905,1155.41803818,45.1430725783,3.90707701339065,283.499670836,1.74469002274,0.615411657302867,141.560895326,2.64115864992,1.86574028359858,141.93877551,2.46493594873,1.73661914432701,216.717577354,13.1007098362,6.04506104034214,211.177748519,3.04929954507,1.4439492638097,232.83805135,1.40021643958,0.601369248480442,204.083607637,2.39601130999,1.17403418027172,2048.03949967,147.655225404,7.20958875196458,249.424621461,21.4873405962,8.6147632380229,87.1257406188,28.306036822,32.4887187425436,29.4140882159,6.24391941274,21.2276490330399,671.008558262,44.5524514187,6.63962491538062,308.357472021,59.846813956,19.4082580726062,605.313364055,50.5328215694,8.34820847682598,543.917050691,120.937324418,22.2345161388781,219.339038841,18.2181643109,8.30593787916908,203.741277156,21.5295519597,10.5671036621682,182.718235681,15.601214586,8.53840041080382,169.071757735,15.9109019065,9.41073903746743,113.971691903,14.9412230638,13.1095913505577,110.113890718,14.1826999388,12.8800279840458,91.3680052666,33.1297376411,36.2596704879697,133.273206057,35.1989139245,26.4110956477221,194.748518762,41.1502964198,21.1299663183006,236.712310731,31.2112013766,13.1852886232303,215.452271231,15.9780191686,7.4160365436431,177.529295589,11.0974036412,6.25102668513467,281.838709677,1.75292173497,0.621959182604451,279.374588545,1.83015828284,0.655091177895447,283.404213298,2.00029837059,0.705811091272197,278.693219223,2.11658863216,0.759469009709341,270.685977617,4.69470948182,1.73437483653574,269.499670836,4.80082214236,1.78138330465029,279.114549045,4.68100727853,1.67709182289,272.993416722,3.67418392252,1.34588737217116,263.314680711,4.03747933509,1.53332861053855,252.154707044,3.6976447359,1.46641908027312,254.880184332,2.63517922565,1.03388940672512,275.080315997,3.69439921348,1.34302565419486,184.052666228,2.33610732495,1.26926024644277,184.820934826,2.1197361358,1.14691343694135,187.147465438,1.52291423578,0.81375092749227,178.965108624,2.46518226623,1.37746529766831,162.735352205,3.32679306012,2.04429646972416,153.00921659,4.81602759226,3.14754084727126,145.735352205,3.33588342525,2.2890008325211,141.63923634,2.72146776151,1.92140810119677,145.763660303,1.71546696029,1.17688246626357,152.809743252,2.63790366525,1.72626666933129,164.621461488,1.66110688199,1.00904637036714,172.370638578,2.30697635052,1.33838127511262
"45","Amazon1",230.540829987,3.2407844187,1.4057312185797,83.3012048193,3.71098245536,4.45489649688741,65.6827309237,2.70053969243,4.11149118566198,928.238286479,86.5404052856,9.32308078067601,295.161981258,3.11050391879,1.05382946188829,169.219544846,3.12779880456,1.84836734279512,125.942436412,1.01825688112,0.808509752653141,219.831325301,4.83083954333,2.19752100239375,227.532797858,4.13719641545,1.8182857391979,241.773761714,3.12967524,1.29446438596681,218.424364123,3.7410270288,1.71273339575494,6116.72423025,542.683457393,8.87212561764976,1740.7751004,241.03066905,13.846169387109,112.212851406,23.2372996973,20.7082338663907,83.9919678715,4.94520873513,5.88771624293375,3158.15662651,305.52938383,9.67429484862608,542.526104418,72.8466346742,13.4273049869825,740.273092369,77.0605065661,10.4097403188725,3115.05354752,276.155840066,8.86520362662328,195.895582329,24.4816095068,12.4972749337879,577.084337349,65.4286421315,11.3377955173875,595.900937082,77.8528171424,13.0647247382474,544.085676037,48.5639907797,8.92579843921446,800.610441767,74.2152486393,9.26983271358566,1740.7751004,241.03066905,13.846169387109,573.668005355,105.342659247,18.3630005968019,231.03480589,44.5519881185,19.2836693791117,116.951807229,25.4333858385,21.7468942473883,392.28647925,71.1776694883,18.1443086247536,214.871485944,31.6973992204,14.7517941159773,133.55957162,21.8407311132,16.3528011121065,268.991967871,3.78752122252,1.40804249751293,272.353413655,4.05859010926,1.490192487325,271.018741633,4.15524339603,1.5331941145446,268.819277108,4.32863545309,1.61023997224386,262.717536814,4.68890288497,1.78476965863519,258.46854083,5.41825101445,2.09629032494662,267.647925033,5.48118410826,2.04790831372378,281.100401606,4.44322655528,1.58065464506443,295.161981258,3.11050391879,1.05382946188829,286.942436412,3.43548783449,1.19727422595563,269.310575636,3.90447284998,1.44980301674349,266.157965194,3.85398837332,1.44800790406962,188.71352075,3.09568370763,1.64041436741093,195.037483266,3.18987489285,1.63551889587271,200.425702811,3.65928912893,1.82575841202397,195.876840696,3.53689093915,1.80567081160924,182.135207497,3.00987754598,1.65255119388687,169.219544846,3.12779880456,1.84836734279512,173.785809906,3.71431789292,2.13729641961508,188.674698795,3.81814729128,2.02366682743642,201.116465863,3.68303529112,1.83129475516384,201.170013387,4.12024880324,2.04814263014125,188.949129853,4.22082345621,2.23384117169195,184.183400268,3.43652991196,1.86581956189298
"46","Amazon2",216.850954821,8.05934860437,3.71653821447206,86.605496041,2.49441436066,2.88020330658821,74.8584070796,3.2845884891,4.38773494820343,621.760596181,95.9026369008,15.4243671100833,276.428039124,8.95576335511,3.2398172716092,161.368421053,7.96854490733,4.93810675926042,115.059618072,3.40650415491,2.96064267550266,212.774569166,7.62142481415,3.58192468396165,214.167675827,8.00726372331,3.73878256482463,222.28085701,9.38772159924,4.22336035838555,210.515137401,7.38987644596,3.51037770356788,2941.67023754,488.460848222,16.6048811994128,639.690265487,211.114384158,33.0025944661324,57.6259897531,13.4506060412,23.3412147866431,63.7759664648,12.8065983493,20.0806025516969,1333.32184443,335.019498772,25.1266789163889,265.36143456,48.378608554,18.2312130751845,587.745691663,167.633473501,28.5214295704472,1094.65812762,531.240942087,48.5303062831152,119.76804844,18.39866047,15.361910550974,285.653935724,53.2598269205,18.6448776858303,304.107126223,73.6601966755,24.2217923632231,263.384722869,50.9993936734,19.3630796493712,335.253376805,69.1900178939,20.6381270647557,604.511877038,239.648765313,39.6433510102789,359.141127154,147.711466498,41.1290869604753,144.678155566,82.0013194865,56.678438542225,155.795528645,79.1738526662,50.8190789265896,220.757801584,47.8031695255,21.6541246481432,87.7191429902,21.1393412415,24.0988916682208,60.899394504,16.9968937299,27.909791005859,264.910107126,7.40389915639,2.79487228204112,262.761993479,7.42756916695,2.8267288844205,257.610153703,7.65915432165,2.97315700159873,257.993013507,6.83046734944,2.6475396587647,257.204471355,6.61367361277,2.57136805512282,255.276199348,6.68672237139,2.61940689671365,257.373078714,7.00648990354,2.72230877392029,266.099673964,8.81467500643,3.31254633841548,276.428039124,8.95576335511,3.2398172716092,262.129017233,8.85402137804,3.37773416751106,249.923148579,7.54302422723,3.01813748350952,256.291569632,6.60310992947,2.5764054350095,178.262692129,8.68546375786,4.87228351267956,181.179785748,8.65561685658,4.77736344639404,181.498369818,8.97423586233,4.94452697912882,180.593851886,8.09543215763,4.48267317690319,175.465766185,8.06974239644,4.59904092512939,165.597578016,7.9726566775,4.81447662038251,161.807638565,7.81467796961,4.8296100474087,166.297624592,10.6025459827,6.37564487689625,181.400558919,11.5276448131,6.35480115485608,175.658593386,12.3145535689,7.01050448573242,165.418723801,10.528081802,6.36450430766554,172.002328831,8.90520873405,5.17737683819372
"47","Amazon5",222.932253314,4.19251097032,1.88062108914086,91.8468335788,5.02014655335,5.46578075448074,76.1281296024,4.38766726657,5.76352957768146,916.802650957,194.552193629,21.220727647975,278.053019146,2.69732079769,0.970074270718022,158.094256259,3.1158220392,1.97086352972588,119.958762887,2.42436252825,2.02099660742061,227.103092784,4.75694724963,2.09462019707252,216.820324006,4.13649292034,1.90779759199397,230.807069219,5.99013991833,2.59530175509758,209.265095729,2.14917964579,1.02701295612776,3248.75552283,358.902966479,11.0473984255472,519.293078056,115.338872414,22.2107471268011,126.569955817,23.4761944131,18.5479992163724,39.6421207658,5.0949793859,12.8524389903366,1185.26804124,212.9723416,17.9682851633453,462.559646539,41.5207124762,8.97629371409061,884.553755523,178.270986441,20.1537764469267,638.740795287,101.294016269,15.8583915441766,182.82916053,14.930678434,8.16646446918956,307.745213549,27.7384407042,9.0134434210407,301.861561119,21.1381941043,7.00261206691596,263.642120766,22.7799887425,8.64049669920489,292.409425626,34.3308038615,11.7406625275514,515.795287187,117.51337808,22.7829491659151,337.082474227,107.024320949,31.7501884945009,215.11634757,104.373040948,48.5193441256418,300.926362297,61.1474511144,20.3197389047791,247.251840943,48.9392628771,19.7932855385219,144.721649485,18.9699549964,13.1078902596161,139.374079529,19.6310964209,14.0851846248895,276.65095729,2.61080706231,0.943718788427403,272.388807069,2.44688944246,0.898307631943249,268.93078056,3.87654604747,1.4414661049203,274.630338733,4.93942914396,1.79857373615309,275.413843888,4.78748827543,1.73828889929617,273.556701031,3.87080896172,1.41499328919066,274.670103093,4.34622770648,1.58234465911582,272.564064801,2.25964246431,0.829031686902591,272.394698085,3.79950793518,1.3948538506408,252.27982327,4.62509540224,1.83331958231556,249.428571429,3.33771365183,1.33814407576001,265.692194404,2.89549663807,1.08979364055657,185.291605302,5.88904053764,3.17825544661976,187.484536082,6.21409718879,3.31445852476715,187.494845361,7.02506892914,3.74680643385904,191.562592047,8.41041239062,4.3904252394729,189.098674521,8.30763341221,4.39327955801584,180.737849779,9.30258307839,5.1470032922074,174.739322533,10.1278178928,5.79595808544315,165.784977909,7.20135468096,4.3437920442423,165.693667158,2.92626186388,1.76606741468859,158.35640648,3.11813301638,1.96906022666902,163.500736377,6.14524129886,3.75854044148786,177.101620029,6.45090079654,3.64248548120773
"81","Amazon8",223.26394052,1.7190458252,0.769961249092084,87.3977695167,0.868929453668,0.994223832568135,68.6579925651,0.786822975006,1.1460034667631,1370.64188352,23.6175512923,1.72310153193676,282.812887237,2.27282474208,0.803649637145195,156.389095415,2.8476003593,1.82084329584713,126.423791822,1.48727072917,1.17641680235633,223.653035936,2.0624842944,0.922180325327753,218.90086741,7.54302564802,3.44586375434135,236.884758364,1.72174752292,0.726829169935172,202.166047088,1.79967974922,0.890198811888836,3384.07806691,164.090494277,4.84889801690748,548.942998761,37.1097935273,6.76022712942131,131.195786865,12.7949739239,9.75257988815295,44.1573729864,2.75226922951,6.23286451020913,1425.17224287,95.1208522259,6.67434078244089,479.695167286,31.4532167915,6.55691758777866,722.26394052,38.1936755677,5.2880496207802,678.763320942,93.3071820836,13.746644699968,200.030978934,19.1664665318,9.58174910403451,225.192069393,29.4606458195,13.0824526365029,237.80669145,20.5336440416,8.63459472750677,220.040892193,22.9643236735,10.4363890932408,264.416356877,24.75846404,9.36343890840196,524.978934325,54.2392999845,10.3317097959824,504.11771995,56.6921928432,11.2458242588304,396.032218092,42.5225818326,10.7371521532932,275.555142503,29.9121244199,10.8552227144788,245.776951673,42.2196394703,17.1780303982581,157.431226766,26.244960172,16.6707461481003,132.698884758,13.0901851763,9.86457813882331,276.635687732,1.64542555909,0.594798730626563,272.592317224,2.21151441179,0.811290073877141,275.555142503,3.08959483286,1.12122561197578,282.610904585,2.3806906102,0.842391631595364,281.898389095,1.67852088138,0.595434719144258,276.763320942,1.62835557645,0.588356712481871,275.057001239,2.04150791725,0.742212671574977,263.581164808,2.2830754126,0.866175477395381,252.278810409,3.61743466135,1.43390348776631,235.081784387,2.56189845733,1.08979028894579,244.649318463,2.61767822936,1.06997160090429,268.991325898,3.04915111621,1.13354997824957,188.446096654,2.23396258991,1.18546503725769,190.496902107,1.85861544425,0.975667018042129,194.566294919,1.60860573746,0.826764850576858,197.411400248,1.65238557512,0.837026419469278,192.728624535,1.86122262426,0.96572194646779,183.935563817,1.87087814383,1.01713779815379,178.422552664,3.19636362887,1.7914571791209,167.143742255,3.20882571224,1.91980008880291,160.043370508,2.14455364235,1.33998280312573,156.389095415,2.8476003593,1.82084329584713,167.987608426,2.99480675747,1.78275456477448,180.096654275,2.0647693753,1.14647847491225
"82","Amazon9",226.334482759,1.94098728203,0.857574709063115,86.4275862069,0.677162717533,0.783502984697423,69.5103448276,0.57675957316,0.829746384643153,1352.40344828,16.485290889,1.2189625004259,285.420689655,1.94287013255,0.680704028463539,162.113793103,2.63350090026,1.6244767640387,123.306896552,0.989054245046,0.802107807999939,226.213793103,2.16615409041,0.957569412853488,225.572413793,5.10002681208,2.26092664715647,240.031034483,1.80871519427,0.753533891217763,205.589655172,2.0104631183,0.977900914624333,3144.86896552,150.422405483,4.78310565979743,479.455172414,50.587306478,10.5509981722168,135.648275862,10.9358827495,8.06194010208097,37.9275862069,4.60340178202,12.1373444566386,1237.31724138,110.127869469,8.90053623969327,498.3,31.2910089543,6.27955226857315,649.651724138,30.9041802851,4.75703813856658,729.2,74.5518657691,10.2237885037164,187.265517241,10.9721520808,5.85914173760002,205.786206897,21.7153008846,10.5523597582363,209.782758621,13.3624943203,6.36968185952836,198.337931034,5.96162520037,3.00579176624971,241.531034483,20.4548468828,8.46882758838169,459.865517241,56.1914140936,12.2190971027193,432.737931034,52.5055032504,12.1333258503458,344.713793103,39.705000329,11.518251118294,274.355172414,27.3502453649,9.96891916571147,272.772413793,33.0892721083,12.1307252621999,182.072413793,17.8628374885,9.81084235462954,135.648275862,10.9358827495,8.06194010208097,279,1.61031159975,0.577172616397849,275.679310345,2.02669755333,0.735164909834431,279.713793103,2.29184824345,0.819354747588749,285.148275862,2.10796857427,0.739253487645203,284.975862069,1.81262910074,0.636064081912003,279.086206897,1.72691156212,0.618773525686039,277.372413793,2.33694415139,0.842529406379264,264.837931034,1.78439863203,0.673770039307896,251.955172414,1.59570246274,0.63332792395229,237.7,1.97649986697,0.8315102511443,249.182758621,1.64768781893,0.661236687501356,272.320689655,1.78419871136,0.655182943910865,191.527586207,2.18164704496,1.1390771889132,193.013793103,1.92079799113,0.995160998729756,197.913793103,2.0024509358,1.01177937343552,199.806896552,1.76282121739,0.882262448299037,196.020689655,1.72594388176,0.880490669019527,187.631034483,2.16199196915,1.15225712798907,181.782758621,2.87276977551,1.58033126865428,169.972413793,3.0770447703,1.81032009938234,162.586206897,2.39276555301,1.47169037194271,162.272413793,2.75898488975,1.70021806249179,173.227586207,2.91191328875,1.68097550309936,184.572413793,2.45158591201,1.32825153100045
"51","Andira1",223.594506213,1.81386886059,0.811231407833463,91.2936559843,3.38900894036,3.71220640012797,71.7050359712,1.80036534753,2.51079345145731,1206.70830608,107.430552817,8.90277727232929,280.991497711,1.67833294813,0.597289584134025,154.5147155,2.80799555661,1.81729976172399,126.476782211,3.07306126502,2.42974339740336,223.524525834,8.1268286278,3.63576596236038,219.450621321,3.03268891148,1.38194592169505,235.064748201,2.22368926245,0.945990106754995,205.291693918,2.04940682971,0.998290184369855,3541.01046436,272.248479673,7.68844041589711,633.239372139,73.5399162835,11.6132886739325,145.704381949,19.9644940004,13.7020546213827,45.0425114454,4.71726694465,10.4729216761552,1328.4205363,240.299699233,18.0891286054865,541.343361674,60.0084838951,11.085105709902,793.538260301,124.503655541,15.6896852703453,822.508175278,143.218617387,17.4124247869747,210.748201439,27.3892091047,12.9961769152406,301.943100065,64.1717469994,21.252927119575,268.840418574,30.3241595348,11.2796132723075,235.744277305,26.2469657834,11.1336597789147,258.354480052,17.4925915705,6.77077152561055,628.536952256,79.1623748839,12.5947049890644,318.794637018,146.645935581,46.0001262733664,324.47089601,97.2246895508,29.9640709679563,400.527795945,90.8973542965,22.6943935518977,261.842380641,54.6088954975,20.8556366482062,160.137998692,22.4065807493,13.9920449439333,171.069326357,23.6120078336,13.8025959044959,277.232831916,1.70811777772,0.616131129172157,272.766514061,1.26884629056,0.465176707972388,273.005232178,1.64747227802,0.603458133339307,280.321124918,1.69663377434,0.605246491799825,280.610856769,1.73967284116,0.619959206564878,279.378678875,2.08857882269,0.747579890885115,277.163505559,1.4342178281,0.517462724830018,271.257684761,2.79989631267,1.03219059586715,263.960758666,5.59685779825,2.1203370631814,243.916285154,4.01951457065,1.64790742369343,246.478744277,1.94320253572,0.788385441276093,266.941137999,1.92411674757,0.72080188238997,188.345323741,3.22186661778,1.71061672983742,189.574885546,3.54026411213,1.86747527339056,191.955526488,3.48058013338,1.81322215466278,196.262916939,3.35420505588,1.70903658632696,191.361674297,3.9089535259,2.04270449673907,183.26618705,3.90189216986,2.12908460238519,173.150425114,5.99189567249,3.46051456041475,163.196860693,4.76660945372,2.92077276087239,161.185088293,2.54978166432,1.58189674449602,154.5147155,2.80799555661,1.81729976172399,165.235448005,3.23620367161,1.95854080385467,179.861347286,2.98509548348,1.65966480765506
"29","Apaporis",223.726343679,4.2951809378,1.91983691646196,93.7494322483,3.26348156745,3.48106808669146,73.8656320969,2.79810816607,3.7881056272548,1109.20893263,161.912426528,14.5971080618776,291.481453444,7.83399855699,2.68764906460681,165.215367146,4.70300595219,2.84659110918779,126.266086298,6.96628468997,5.51714628544747,212.909159727,3.65404996215,1.71624836002141,228.668811506,5.71553820851,2.49948306061845,235.35654807,6.1583978138,2.61662480364403,207.415972748,3.40257761479,1.64046074644596,2957.04163512,374.784329311,12.6743000456871,588.998485995,84.9934360781,14.4301620630688,99.5885692657,53.2510080822,53.4710042275309,56.3713096139,11.7850536166,20.9061199701028,1337.88266465,147.596378687,11.03208693758,357.004542014,168.548689827,47.2119174944251,565.306207419,114.158593349,20.1941163657498,1097.62036336,198.395675715,18.0750724328471,122.794852385,79.7743762209,64.9655703569581,142.808856927,54.2640056915,37.9976472462337,162.345950038,55.1020380352,33.9411226595442,221.598410295,29.3465350485,13.2431162341972,255.117335352,21.7384287182,8.52095318736622,383.284632854,52.5420921205,13.7083743037812,588.99659349,84.9998151339,14.4312914664324,365.601438304,28.2962410504,7.73964161127602,232.754352763,10.4343877513,4.48300434661461,222.814912945,16.8204492855,7.54906799692173,156.093868282,29.5692819967,18.9432694071493,102.830431491,50.4332630032,49.0450757348169,287.720287661,6.73585917738,2.34111373658724,288.369795609,7.65626285943,2.6550155307566,290.931112793,8.13450195632,2.79602338788281,287.933762301,7.88931301218,2.73997496824727,275.048069644,10.0822674916,3.66563833901822,264.906888721,4.91706750496,1.85614935447702,252.762301287,3.5722628367,1.41328941005481,244.295609387,3.6819078644,1.50715269653795,246.96328539,4.88518588557,1.97810208017576,253.292581378,4.32633760192,1.70803960320638,274.984102952,3.36350207731,1.22316237237071,282.174110522,4.39038887156,1.55591484400823,174.78652536,6.45140221784,3.69101806020363,177.482588948,5.45741545572,3.0749018752025,185.00340651,5.79628197092,3.13306769873272,183.811506435,4.14024259038,2.25243928994406,187.925056775,5.76984648005,3.07029119962335,181.439061317,4.88655127603,2.6932190017741,171.341029523,4.33275870915,2.5287339064158,166.199091597,3.41043494997,2.0520178041885,170.289553369,4.81212084925,2.82584618612665,175.072672218,6.57306362209,3.7544772344054,182.844436033,8.82689663286,4.82754456431308,168.730885693,6.01838149917,3.56685231304969
"97","Apurimac1",37.7411915439,49.3878247489,130.85920907254,162.114029468,10.7828042677,6.65137021335247,74.5784753363,3.16112646779,4.23865794189998,1322.35169763,296.724167958,22.4391263299928,136.272261371,46.9012503362,34.4173127123148,-80.5003203075,61.0337292926,-75.8179955799675,216.772581678,21.686267844,10.0041562803424,49.6418962204,46.3401333234,93.3488380815655,20.5803971813,53.8602550355,261.706586909018,50.467648943,47.1107614171,93.348436877471,17.9151185138,53.2291304528,297.118494704892,849.151185138,163.195216279,19.2186290421862,164.526585522,21.2658223373,12.9254626356154,14.8558616272,12.1902905269,82.0571087211829,75.2504804612,13.0398802413,17.3286338656981,452.961883408,68.0183550616,15.0163529323577,60.2133247918,46.8950670929,77.881544085216,392.062780269,95.6625496885,24.3998039351924,68.1076233184,55.4935569396,81.4792151535962,163.914477899,20.4307565247,12.4642781934668,144.478859705,20.871998664,14.4464032361668,144.311338885,29.4153002815,20.3832217958567,58.6969891095,13.0643623267,22.2572955187331,28.2825112108,15.3805957053,54.3820016216479,15.600896861,12.3670730698,79.2715520138839,20.2229340167,20.5188686615,101.463361570362,29.9881486227,21.240308952,70.8290105509275,36.8715566944,12.8375686638,34.8169966627684,40.8036515054,13.6784085033,33.5225108505051,56.7427930814,13.9422767046,24.5710088408923,109.237027546,18.0960194286,16.5658292202978,114.359064702,48.5465377961,42.4509748506635,114.386611147,47.9071623838,41.8817918490773,115.699231262,48.5421568573,41.9554705142134,119.613388853,49.9031617018,41.7203811214888,114.600896861,48.1227900313,41.9916347510512,113.667200512,47.0667238743,41.407480488913,113.152786675,46.8996028606,41.4480316735867,117.478859705,46.8118930691,39.8470781778516,118.028507367,44.6331206499,37.8155427409727,133.391095452,46.3991176013,34.7842691028776,134.378603459,47.2946333962,35.1950624420873,119.02306214,46.1651505026,38.786727271643,-17.2130044843,45.8331701386,-266.270598955601,-13.1816143498,43.7993650284,-332.276183069068,-12.3606662396,44.0711885887,-356.543795734154,-24.2184497117,47.2488844772,-195.09458714186,-47.9096732864,51.3402204361,-107.160447806005,-74.1963484946,59.1370535937,-79.7034554847453,-79.4394618834,61.6835008634,-77.6484374402461,-78.8891736067,61.4990550962,-77.9562673616053,-59.6374119154,53.5410167156,-89.7775657863085,-47.9096732864,57.0810210329,-119.142997890373,-40.9093529789,54.5892100473,-133.439436393569,-21.2149263293,46.3354990299,-218.409898345515
"91","Arinos",210.67539823,3.7115147387,1.76172195229366,136.107256637,2.37020601315,1.7414251610929,72.9801769912,2.07666256342,2.84551593190902,821.745486726,86.272152225,10.4986463106388,299.950442478,4.60607762979,1.5356128804937,114.650619469,4.95723879094,4.32377846181666,185.299823009,5.4143385483,2.92193400963854,208.938761062,9.14513083198,4.37694317009293,207.443893805,4.28189674158,2.0641228155913,219.767079646,3.7344006358,1.69925388361867,202.153628319,4.32982352886,2.14184804144475,2006.65840708,100.885420617,5.02753334902695,272.793274336,17.9925576769,6.59567495595164,3.83008849558,1.86162384896,48.6052437458913,57.8343362832,1.79758632474,3.1081645269303,766.773451327,31.5195627348,4.11067476061558,60.3486725664,19.8433650222,32.8811955231772,699.317522124,53.3367401729,7.62697036546477,460.937345133,300.018923244,65.0888730131927,247.444955752,18.5264574325,7.48710248555966,233.850973451,19.363008797,8.28006337166573,236.860176991,21.0601311034,8.89137691736177,188.400353982,15.8007975563,8.3868194630938,95.2449557522,22.1962325642,23.3043654531671,24.3539823009,10.1491534622,41.6734862364786,3.83008849558,1.86162384896,48.6052437458913,32.1646017699,9.76325892525,30.3540488239048,194.149380531,51.3599305317,26.4538214807743,260.022654867,23.9734997507,9.21977347049329,239.013451327,18.7939878247,7.86315068058136,251.322831858,11.8692817975,4.72272324394557,272.765309735,4.32614608495,1.58603236208922,274.720353982,4.61444747921,1.67968896819067,283.73840708,5.82748090909,2.05382167647362,278.383362832,4.61056186671,1.65619159845138,280.132035398,4.13693703959,1.47678113062378,287.009911504,4.15903845584,1.44909227491331,294.298053097,4.84057479553,1.64478655043449,298.00460177,5.57462456141,1.87065049609955,289.644955752,9.44946298272,3.26242967297205,265.846017699,8.06390444746,3.03329894397374,253.448849558,6.0017359955,2.36802652920567,269.082123894,4.11476715786,1.52918636820369,161.094159292,3.65527639614,2.26903098920826,162.288495575,3.19201859212,1.96687915604273,166.623716814,4.74052425962,2.84504772205495,153.308672566,5.69591803915,3.71532669601446,128.358230088,8.13042948392,6.33417076438802,118.918584071,3.95940794431,3.32951151011523,119.561769912,9.43845403477,7.89420735550913,130.339115044,7.95703346215,6.10486994595894,141.410973451,6.46137221578,4.56921556941189,136.418053097,7.36764702997,5.40078593903641,145.524247788,4.1613726899,2.85957340659977,150.399292035,4.49383446194,2.9879359145482
