"","BvNiv2","MEAN","STD","cv","MEAN00","STD00","cv00","MEAN01","STD01","cv01","MEAN02","STD02","cv02","MEAN03","STD03","cv03","MEAN04","STD04","cv04","MEAN05","STD05","cv05","MEAN06","STD06","cv06"
"1","Jari",2683.99073782,191.291453903,7.12712794450145,2831.68222678,178.170380625,6.2920330162754,2627.63171603,130.9621189,4.98403631304414,2593.27361988,189.406649851,7.30376649802825,2644.69508606,192.917386177,7.29450389929084,2765.3381214,80.5413711023,2.91253248487113,2587.82553841,435.367820657,16.8236928724529,2737.4888656,226.321580573,8.26748862495903
"2","Curua",2385.82133624,125.922139705,5.27793669174953,2663.03301443,143.009804491,5.37018518794481,2448.27183652,113.036489526,4.61699096643906,2009.07394316,158.711480061,7.89973313831189,2570.09573085,181.792185611,7.07336242105178,2525.01364787,91.8093174991,3.63599292132724,2165.672187,133.14704769,6.14807026147582,2319.58903684,123.253044432,5.31357246798807
"3","Paru_Este",2571.72789504,210.211725862,8.17394897288426,2736.68528016,228.669208778,8.35569988393517,2577.87823421,123.087836141,4.77477308693445,2443.47015604,183.484063227,7.50915916748346,2647.47351363,249.843486554,9.43705329884245,2677.34867272,104.207387993,3.89218591716456,2326.39627856,453.756632593,19.5047007586286,2592.84313466,230.958773346,8.9075490244143
"4","Curua_Una",2533.65504846,115.898943648,4.57437738884168,2801.70628672,157.703971624,5.62885454380111,2576.69762713,138.064055906,5.35817840837536,2353.44133798,187.231612807,7.9556524220699,2562.24996032,132.355610128,5.16560102166886,2342.61522361,149.113746382,6.36526839231471,2524.11934744,179.86142724,7.12571009855054,2574.75557522,153.493824798,5.96149111299175
"5","Tefe",2760.13300219,123.31218152,4.46761737286425,2769.86004946,220.163460281,7.94854094971051,3360.37164702,220.758177699,6.56945721747087,2088.59877376,304.008754543,14.5556321473707,2646.92119834,281.823861987,10.6472327987605,3067.00778001,110.014235469,3.58702172801926,2550.70028138,137.848862669,5.40435360733249,2837.47130118,171.078896254,6.02927318358619
"6","Jutai",2618.6981427,131.379383602,5.01697318449013,3246.05200007,299.010647864,9.21151749440711,3148.83478563,250.481627432,7.9547402288331,2123.16119465,257.217967331,12.1148581642856,3018.29578309,109.297518565,3.62116659266263,2398.58229341,339.569818993,14.1571052169422,1847.38899923,275.966639047,14.9381986772696,2548.57192805,348.378451232,13.6695553850252
"7","Putumayo",2819.27552739,339.067833653,12.026771784413,3234.08059606,381.811601636,11.805877753979,3126.62855655,379.030583028,12.1226610763842,2822.70483485,352.861878051,12.5008422309856,3109.44284922,331.754415015,10.6692559118178,2752.59599732,377.196114354,13.7032864510901,1950.3687991,437.908854883,22.4526179400057,2739.10705359,260.298545675,9.50304389650783
"8","Coari",2828.55835145,74.7882696083,2.64404195762698,2964.89551821,250.98616166,8.46526159584633,3452.43569985,124.847793216,3.61622356127948,2258.00400048,239.63172559,10.612546547263,2371.65488489,246.767180072,10.4048519725266,3026.35336265,143.847746556,4.75317087327968,2751.08739561,97.0556816499,3.52790252337221,2975.47761065,95.4153142989,3.20672264369875
"9","Nhamunda",2148.36802315,157.39505948,7.32626150566246,2276.98927326,223.803858486,9.82893776067626,2105.88185666,204.488278154,9.71033951915638,1587.44016483,174.270964162,10.9781123108135,2130.64311312,238.883005924,11.2117794131272,2527.9644798,104.880968052,4.14883076443771,2077.66658001,111.143228081,5.34942560805233,2331.99074451,198.258347868,8.50167816209143
"10","Jatapu",2180.86166822,79.5302908259,3.64673706658396,2234.26711839,126.039300412,5.64119211058448,2085.41633052,164.054363669,7.86674398143286,1840.84597368,288.374191373,15.6653079886155,2122.15570828,164.486287824,7.75090570320665,2497.35144407,70.9436037778,2.84075370914481,2185.79793628,127.629547377,5.83903686880646,2300.19719882,269.906541501,11.7340609596195
"11","Branco",2493.103528,805.467813246,32.307836565943,2774.40849395,864.729500008,31.168067063436,2619.90053409,877.986745303,33.5122167379519,2587.78903622,826.08599501,31.9224628997064,2398.25713177,779.929888133,32.5206950414605,2519.12315267,804.756141565,31.9458832614851,2333.39778393,819.302965238,35.1120143715101,2218.84855118,769.796559059,34.6935151860462
"12","Demini",2830.13120494,349.206800399,12.3388908538749,3198.17143691,395.371629584,12.3624276366497,2916.52623571,375.190617878,12.8642977143205,3059.26023456,381.297876651,12.46372807202,2296.51256579,352.444743902,15.3469547326757,2766.83539746,330.475001874,11.9441511474583,2855.36119351,386.240269732,13.5268445410651,2718.2513629,292.299676205,10.7532246720979
"13","Iriri",2474.35943698,156.419525855,6.32161696143519,2058.56585474,369.247866612,17.9371413239843,2688.32037843,213.030093825,7.92428222224805,2652.00690924,208.930881588,7.87821784551363,2878.25767079,172.72735327,6.00110806697134,2779.76864967,316.56908734,11.3883249736478,2005.12197869,300.522546554,14.9877438753297,2258.47461193,299.056098152,13.2415080768359
"14","Fresco",2468.24642448,256.05875357,10.3741162564003,2174.92314704,280.589228717,12.9011100506642,3016.21426841,328.549660919,10.8927825307383,2590.42206946,312.88594114,12.0785699299275,2907.06436299,295.940728737,10.1800542328762,2566.06806863,309.646278685,12.0669549834006,1807.02145741,172.031006057,9.52014185285723,2216.01155694,215.830550256,9.73959497548973
"15","Bacaja",2787.73886816,98.3708601304,3.52869708328628,2977.6623616,170.969668152,5.74174125168886,2704.1075395,235.739659471,8.71783595982981,2872.76533801,103.017796437,3.58601501744524,2852.13813266,184.355338064,6.46375909893481,2812.90790078,180.49544462,6.41668518794909,2628.58807009,175.625214465,6.68135172883847,2666.00277811,145.405763114,5.45407395325679
"16","Jamanxim",2339.74039525,63.7262261783,2.72364516626174,1875.88926564,179.03990393,9.54426826835734,2238.0736719,213.884315094,9.55662531485946,2205.53292212,225.797967178,10.2377962674417,2929.96444685,93.4932316048,3.19093399598464,2956.65079247,98.1571060998,3.31987485129413,2018.51975316,102.789349755,5.0923132951304,2153.55190511,206.82587246,9.60394183995466
"17","Jiparana",1974.7705758,303.177614984,15.3525487314484,2069.69793529,312.073767225,15.0782276922585,2245.65138274,359.44451945,16.0062475508299,2126.76680841,316.10564244,14.8632017948562,2347.24866136,396.069032525,16.8737568816214,2062.4170749,444.220431784,21.538826321322,1296.15543989,263.763537836,20.3496841288098,1675.45672559,220.775592399,13.1770393724288
"18","Maues",2462.3686411,115.698492964,4.6986666022645,2435.74130691,211.842301369,8.69724140112994,2197.18074919,200.994414931,9.14783251241836,1719.04550733,202.584767556,11.7847239466425,2841.7057985,86.9847751034,3.06100565193325,2910.44408457,77.2657423746,2.65477501472135,2518.90529914,96.5977870919,3.83491142461292,2613.55774729,105.479617813,4.03586329486585
"19","Luna",2756.54342272,154.699065844,5.61206707534292,3220.25030553,261.970512444,8.13509782125101,3024.44961134,370.009728147,12.2339524771605,2324.44977589,322.354203361,13.8679788526545,2428.8713687,150.46563577,6.19487872882019,2787.44778075,104.546574054,3.75062000357439,2682.83224435,121.872645616,4.54268603162429,2827.50289584,110.796341609,3.91852265728925
"20","Marmelos",2678.77503911,348.411480296,13.0063732567762,2856.07269136,465.81327209,16.3095734047368,2931.46271656,383.146933465,13.0701622538326,2537.28375847,299.523577159,11.8048908073102,2737.53224502,271.308697759,9.9107032712602,2936.42202307,344.830207182,11.7432100860449,2367.46237465,431.255530231,18.2159401918586,2385.18947517,377.260871243,15.8168093214528
"21","Candeias",1983.47421119,114.163956873,5.7557570564281,1951.53801764,114.551593516,5.8698110147261,2251.87456621,129.152438525,5.73533004293259,1843.09975869,142.872758334,7.75176480059593,2482.49701691,170.785444392,6.87958306610894,2172.53917331,188.246164342,8.66479954215026,1420.37452879,116.479473518,8.2006168906188,1762.39645458,132.672829974,7.52797871496045
"22","Abuna",1688.99191666,95.5617041902,5.65791364941369,1780.24860191,94.181381677,5.29034998684758,1401.89459292,151.856901181,10.8322624217202,1175.42826621,114.17402928,9.7133983044442,2024.68135993,277.706907947,13.7160796480391,1460.9146541,193.744819876,13.2618848974006,1627.01130231,70.1989821491,4.314597080514,2352.76463572,249.879354514,10.6206694337503
"23","Tapaua",2310.13351726,205.182192554,8.88183263092785,2214.30501396,202.254556755,9.13399714492331,2528.75323014,315.051675762,12.4587750203114,1535.34381708,151.674543778,9.87886505228925,2939.94040385,110.944161612,3.77368743484436,2596.27555245,414.772796265,15.9756847024036,2002.76704612,396.553536731,19.8002826888555,2353.54955508,233.297352289,9.91257446801752
