Code_Bv_Standardized;basin
Abuna;Abuna
Amazon1;Amazon1
Amazon2;Amazon2
Amazon3;Amazon5
Amazon4;Amazon8
Amazon5;Amazon9
Amazon6;Solimoes1
Amazon7;Solimoes2
Amazon8;Solimoes3
Amazon9;Solimoes4
Amazon10;Solimoes7
Amazon11;Solimoes8
Amazon12;Solimoes9
Andira;Andira1
Apaporis;Apaporis
Apurimac;Apurimac1
Arinos;Arinos
Aripuana;Aripuana
Bacaja;Bacaja
Beni;Beni
Blanco_Baures;Blanco_Baures
Branco;Branco
Candeias;Candeias
Canuma;Canuma
Caqueta;Caqueta1
Chapare;Chapare
Coari;Coari
Curaray;Curaray
Curua;Curua
Curua_Una;Curua_Una
Demini;Demini
Fresco;Fresco
Grande;Grande
Guapore;Guapore
Huallaga;Huallaga
Iriri;Iriri
Isiboro;Isiboro
Itonamas;Itonamas
Jamanxim;Jamanxim
Japura;Japura1
Jari;Jari
Jatapu;Jatapu
Javary;Javary1
Jiparana;Jiparana
Jurua;Jurua1
Juruena;Juruena1
Jutai;Jutai
Luna;Luna
Madera1;Madera1
Madera2;Madera2
Madera3;Madera3
Madera4;Madera4
Madera5;Madera6
Madre_Dios;Madre_Dios
Mamore1;Mamore1
Mamore2;Mamore2
Mantaro;Mantaro
Maranon1;Maranon1
Maranon2;Maranon3
Maranon3;Maranon5
Marmelos;Marmelos
Maues;Maues
Napo1;Napo1
Napo2;Napo2
Negro1;Negro1
Negro2;Negro2
Negro3;Negro3
Negro4;Negro5
Nhamunda;Nhamunda
Orthon;Orthon
Pachitea;Pachitea
Paru_Este;Paru_Este
Pastaza;Pastaza
Purus1;Purus1
Purus2;Purus2
Purus3;Purus3
Putumayo;Putumayo
Roosevelt;Roosevelt
Santiago;Santiago
Tapajos1;Tapajos1
Tapajos2;Tapajos2
Tapaua;Tapaua
Tefe;Tefe
Teles_Pires;Teles_Pires
Tigre;Tigre
Trombetas;Trombetas1
Uatuma;Uatuma1
Uaupes;Uaupes
Ucayali1;Ucayali1
Ucayali2;Ucayali2
Unini;Unini
Urubamba;Urubamba
Xingu1;Xingu1
Xingu2;Xingu3
Xingu3;Xingu4
Xingu4;Xingu6
Yacuma;Yacuma
