"Variables";"TaxoBsim";"pvalue_TaxoBsim";"PBsim3k";"pvalue_PBsim3k";"PBsim_gen";"pvalue_PBsim_gen";"PBsimCasse";"pvalue_PBsimCasse";"Fun_Bsim";"pvalue_Fun_Bsim"
"(Intercept)";-0.01;1;-1.18;0.33;-1.38;0.33;-1.38;0.33;-2.45;0.33
"energ_US";-0.09;0.67;-0.16;0.33;-0.21;0.33;-0.21;0.33;-0.28;0.33
"water_US";-0.2;0.33;-0.11;0.33;-0.16;0.33;-0.16;0.33;-0.03;0.67
"temp_US";0.32;0.33;0.14;0.33;-0.08;0.67;-0.08;0.67;-0.13;0.33
"size_US";-0.07;0.67;0.03;0.67;0.06;0.33;0.06;0.67;0.04;0.67
"Div_US";0.18;0.33;0.12;0.33;0.08;0.33;0.08;0.33;0.07;0.33
"harsh_US";0.35;0.33;0.23;0.33;0.2;0.33;0.2;0.33;0.16;0.33
"position_US";0.13;0.67;0.05;1;-0.06;0.67;-0.06;0.67;0.09;0.67
"fragm_US";0.02;1;-0.02;0.67;-0.04;0.67;-0.04;0.67;-0.14;0.67
"SampEff_US";-0.09;0.67;-0.16;0.33;-0.21;0.33;-0.21;0.33;-0.4;0.33
"Marine_Incurs_US";-0.2;0.33;-0.15;0.33;-0.17;0.33;-0.17;0.67;-0.36;0.33
"CurrentLGM_US";0.13;0.33;0.13;0.33;0.17;0.33;0.17;0.33;0.29;0.33
"Pebas23mya_US";-0.2;0.33;-0.12;0.67;-0.2;0.33;-0.2;0.33;-0.01;1
"hydro_US";-0.03;0.67;0.01;0.67;0.02;0.67;0.02;1;0.12;0.33
"spat_US";0.53;0.33;0.39;0.33;0.49;0.33;0.49;0.33;0.2;0.33
"dev";249.63;3813;146.01;3813;207.4;3813;207.4;3813;323.76;3813
