"","tempMin","tempMax","tempMean","tempCV","precMin","precMax","precAnn","precCV","aetMin","aetMax","aetAnn","aetCV","petMin","petMax","petAnn","petCV","ro_mean","npp_mn","npp_sd","npp_cv","SolRad_mn","SolRad_cv"
"Abuna",18.4710055278,33.3373071861,26.1855567255,0.715829613056,19.5081863648,269.603185049,1785.02295341,60.6222690182,64.713187681,152.48847065,1308.6010529094,0.290646952500577,122.327086075,165.511292445,1750.730113188,0.101120309121407,688.817040877165,1688.99191666,95.5617041902,5.65791364941369,14.5862920762,0.11330645993828
"Amazon1",22.0975939124,32.9178661379,26.8547719844,0.517704463855,58.7122876588,339.525909651,2453.39424468,47.3575906972,85.2065805691,137.815229623,1432.8267509785,0.146603092290376,121.750710037,158.512995016,1654.098279836,0.0836276239222869,1153.0488710406,2678.68556143,261.020545906,9.7443518442178,14.7731828883,0.00237102964532721
"Amazon2",21.4822006835,32.3935495919,26.3087978785,0.608542383327,35.7518815246,304.79845743,1836.49027957,60.914168861,61.0451005659,133.547238874,1227.7079014696,0.254271419785162,118.693951108,156.688292528,1627.639176801,0.088749383682982,884.7337316367,2568.18257026,210.811519592,8.2085877395647,14.7711249759,0.0138314596641988
"Amazon5",22.3399321994,33.2958910515,27.1310596762,0.581911800807,45.377812847,333.50213338,2098.15553218,58.4550236718,70.5630369981,136.2375358,1298.1894909121,0.194714990884428,120.335320592,161.025834356,1650.4965223,0.0944364143282781,1345.0972010626,2255.97901408,180.668227562,8.00841791676318,14.7685676605,0.0118027555747474
"Amazon8",22.0784776119,32.6424577114,26.9498457711,0.436821144279,86.4896517413,331.64920398,2310.67542289,44.3770646766,99.6239800995,134.347761194,1428.8509452735,0.0873385887929934,121.026218905,153.474925373,1623.454676614,0.0794799622487148,1274.01849523935,2511.74470171,124.201259242,4.94482019440286,14.7650351173,0.0215585960531199
"Amazon9",22.3659864883,32.7085619744,27.1319454019,0.439236867503,86.4418861161,295.80132359,2249.53922515,39.7959465049,105.102164622,134.611333241,1436.345098579,0.0801860495492814,119.935474976,150.667585827,1614.457328002,0.0760988667384253,1339.15250062815,2556.41978237,87.6241269964,3.42761105201453,14.7634278089,0.0141582580905765
"Andira1",21.9806330444,33.0330023641,27.0590570003,0.475349908064,77.4765694773,323.926241135,2269.02243236,47.299605989,91.0120304702,135.644234305,1413.778881009,0.112890757932391,122.132072498,158.765143157,1649.86976622,0.0877138335450382,1397.3945619612,2519.65939051,157.759842146,6.26115746994153,14.7575116632,0.032976957878309
"Apaporis",20.6400602273,31.8891439553,26.0591180788,0.618552138977,122.599458257,331.02253227,2828.60631327,28.9337651136,113.179834451,139.699983354,1554.88075602,0.0652393749395567,113.179834451,153.586580512,1629.2592346,0.0815239118032029,2039.7459897458,2958.38170127,173.555299859,5.86656210672526,14.7687871704,0.0324310277541922
"Apurimac1",-4.00038129718,18.4035664767,8.22749319571,1.2912291763,6.99252811585,171.891606327,837.315744878,85.9792276485,39.0493632209,93.8537076978,696.2519385814,0.325653116919061,80.4721409131,129.265547168,1268.645432138,0.153694915503938,141.31260672506,1336.48532935,870.016666247,65.097360003954,14.4171474033,0.233440395269847
"Arinos",14.9932072849,33.8822785169,25.0743808686,0.848916328615,3.80340983235,335.21186633,1965.16080395,74.815196732,50.8306856543,165.424980852,1333.9854472219,0.3949426126022,132.627826161,181.453419761,1893.904612633,0.0968559591386091,750.787558692185,1203.46739339,159.523008388,13.2552829652198,14.4935471531,0.381184094235919
"Aripuana",16.4994491505,33.4840495668,25.2245917034,0.474544324507,15.449750714,345.532426545,2163.00022266,65.6980299143,65.7704341933,151.072530132,1342.7787501823,0.277070253061325,129.13323975,168.045520112,1777.378575923,0.0945437752289087,1721.1518931492,2265.09356731,479.708454141,21.178306320948,14.6306643359,0.34111011517735
"Bacaja",18.7983331673,31.6288176113,25.1194043231,0.365376099877,23.9241624332,321.031942093,1914.02045356,67.6554105655,64.2525151908,142.731613375,1243.4888601133,0.283629792970949,129.3598632,160.653119501,1719.316997046,0.0709449812158097,913.92614780805,2787.73886816,98.3708601304,3.52869708328628,14.7368181772,0.0666689616291156
"Beni",11.5305148542,28.4284262158,20.6110157935,1.23692829611,33.0581159118,247.045529813,1469.77532874,62.1726918528,65.0008766437,131.910853684,1132.2926389762,0.268403476177746,98.4996938705,156.499172059,1573.7376539365,0.151459140798655,570.1660663876,2640.07552543,1285.98075248,48.7099986380332,14.3770405499,0.64247635787563
"Blanco_Baures",14.9808604124,33.119121235,24.7712231458,1.37050522509,18.1846378063,219.474813775,1314.11049336,64.6626254993,53.8951419626,141.912263845,1098.934189787,0.356617877558295,113.863273238,181.632775559,1816.957897011,0.155226226250264,283.09675019255,1276.77871724,190.318676734,14.9061598665593,14.376615545,0.357995539111427
"Branco",20.2972955845,31.9080575132,25.9700487217,0.458906003919,56.9428643343,313.116069181,1809.94074737,60.9560470677,68.8219814102,144.395603358,1268.566996871,0.243388567926183,127.503326022,155.885557873,1716.156480349,0.0587862850018532,882.6832962854,2493.103528,805.467813246,32.307836565943,14.7462770803,0.113381363321432
