"","tempMin.s","tempMax.s","tempMean.s","tempCV.s","precMin.s","precMax.s","precAnn.s","precCV.s","aetMin.s","aetMax.s","aetAnn.s","aetCV.s","petMin.s","petMax.s","petAnn.s","petCV.s","ro_mean.s","npp_mn.s","npp_sd.s","npp_cv.s","SolRad_mn.s","SolRad_cv.s","basin"
"Abuna",0.0504910628167189,0.295710307369999,0.205968241659901,0.134745675551406,-0.488923101822208,-0.361210777436491,-0.418501872902214,0.365438461408338,-0.461553720589048,0.329278200802324,-0.221700487699101,0.556332575683224,0.175812872886499,0.248857990120142,0.303234444882057,0.0984172219062959,-0.403365588562221,-0.720647717490807,-0.393382415655494,-0.332849159706834,-0.271469288109092,-0.10862681250517,"Abuna"
"Amazon1",0.446283761981326,0.22187364932181,0.310356752949067,-0.130243451607106,-0.11876090394317,0.291596819917062,0.24869744488378,-0.0100258534141492,-0.0291552387361809,-0.183396624881501,0.0919415913645158,-0.169871661023328,0.14847084942546,-0.0500237096142368,-0.138630139781485,-0.207386281229082,0.0392647991217096,0.243617745295741,-0.124342416124212,-0.181668226318046,0.382000466614109,-0.44604569852853,"Amazon1"
"Amazon2",0.379121977603411,0.129575144723496,0.225192191383308,-0.00874922893595936,-0.335551344695642,-0.0326231640100644,-0.367124793499278,0.373700853591658,-0.538948191506272,-0.332517831930269,-0.425937586736968,0.372943530625394,0.00346486575988096,-0.127952689720604,-0.259618639818964,-0.117848736866417,-0.216565211789013,0.135953905598559,-0.205983483328025,-0.238485004093289,0.374804909506946,-0.411187894127315,"Amazon2"
"Amazon5",0.472731683430022,0.288419583247356,0.353453888662811,-0.0443671948840296,-0.244664019713713,0.235358065823169,-0.105918364812074,0.304093340980498,-0.338125356257495,-0.238520363679264,-0.24798735106063,0.0726868523628769,0.0813278579402777,0.0572940631323738,-0.155099754839974,-0.0184292438627227,0.222376816110641,-0.168228209922124,-0.254997190842987,-0.245890441103417,0.365863173696557,-0.417358358082123,"Amazon5"
"Amazon8",0.444197478297998,0.173391895095948,0.325186975249362,-0.238423560707658,0.143510894177045,0.218058877375281,0.106228877221973,-0.094391348984705,0.275043373140877,-0.304548030295659,0.0819035719639278,-0.468656582944362,0.114102568611435,-0.265188445545612,-0.278752939283387,-0.279894844389097,0.154605515070078,0.0809660942453803,-0.346813820119529,-0.359230602171582,0.353511522416781,-0.387685197598216,"Amazon8"
"Amazon9",0.475575153996557,0.185028614686471,0.353592049868796,-0.235192570643217,0.143059894709553,-0.116621568800354,0.0451998803800375,-0.224062521841953,0.390629829896623,-0.295338970551992,0.100824631455588,-0.504716462861588,0.0623600530825298,-0.385083666312173,-0.31989476149256,-0.339002456497376,0.21670873200482,0.124493338817768,-0.40628910436644,-0.415360924804118,0.347891516734795,-0.410193910864336,"Amazon9"
"Andira1",0.433519077177577,0.242141751834358,0.342222446991274,-0.186891973087119,0.058410044256085,0.145956297734799,0.0646489242402169,-0.0116671437800097,0.0933363241502247,-0.259249985714871,0.0438499836551007,-0.339834060005902,0.166561853680258,-0.0392550239829778,-0.157965697722023,-0.135952010106106,0.272240697958734,0.0886774310806463,-0.292246768669534,-0.310531689210308,0.3272055224045,-0.352955346935603,"Andira1"
"Apaporis",0.287213823468661,0.0407816738244481,0.186245526251222,0.00463865454809298,0.48445699174475,0.2122081892669,0.623251587855174,-0.531522785473477,0.561063890768821,-0.117544384826331,0.400100631678086,-0.580070861240086,-0.258112814543686,-0.260419903186993,-0.252210665224521,-0.244162941203309,0.884702496214848,0.516127656971598,-0.266562979930089,-0.325130049072394,0.366630697144606,-0.354615836590167,"Apaporis"
"Apurimac1",-2.40195456988824,-2.33316331115696,-2.59524630415361,0.904333123920869,-0.607095012729991,-1.27345870973899,-1.36454729892873,1.08318169405312,-1.00304525377141,-1.71938758613715,-1.76774492388143,0.732817882828223,-1.80969453395885,-1.29911708045028,-1.90117521987989,1.01751561216086,-0.925393774053293,-1.0640973590481,0.86589971437808,1.86615901112957,-0.862889094522888,0.256770054177868,"Apurimac1"
"Arinos",-0.329063220087967,0.391644794399887,0.0326398664627853,0.312746967838607,-0.637206429498962,0.25132035369966,-0.238679889885335,0.767177406781064,-0.754466311170869,0.781272623886052,-0.157610574487146,1.0821442980668,0.664457539786199,0.929710748655839,0.957922848663293,0.0238687378690613,-0.344278657112951,-1.1936976674417,-0.289379818556732,-0.051778621083903,-0.595754904234247,0.706144200836489,"Arinos"
