"","basin","WaterColor","Area_km","Chut_hydrofall","Chut_grand","NetworkDensity","Elevation_min","Elevation_max","Elevation_range","Elevation_mean","Elevation_std","Elevation_basinSup1000m","Elevation_basinSup1500m","NbEspeceEnveloppe","DistanceEmbouchure_km","X23ma_cd","X23Ma","X10Ma_cd","X10Ma","NbSites1km_0417","NbSites_0417","Diversity0417","Endem0417","PebasLake","PebasConec","ShannonDiv","SoilDiv","CSup15","CBelow15","Basin","codage","Codigo","Area_log","Chut_hydrofall_log","ElevRge_log","ElevMean_log","ShanDiv_log","CSup15_log","SamplingEff","ElevPro1000_asin","NetworkDensity.s.x","SamplingEff.s.x","DistanceEmbouchure_km.s.x","Area_log.s.x","Chut_hydrofall_log.s.x","codage.s.x","ElevRge_log.s.x","ElevMean_log.s.x","ElevPro1000_asin.s.x","CSup15_log.s.x","ShanDiv_log.s.x","SoilDiv.s.x","NetworkDensity.s.y","SamplingEff.s.y","DistanceEmbouchure_km.s.y","Area_log.s.y","Chut_hydrofall_log.s.y","codage.s.y","ElevRge_log.s.y","ElevMean_log.s.y","ElevPro1000_asin.s.y","CSup15_log.s.y","ShanDiv_log.s.y","SoilDiv.s.y"
"Abuna","Abuna","White",31969.69526,0,0,0.165244266,95,301,206,172.2604907,30.98265491,0,0,777,2884.422736,"A","PebasSudEst","A2","AcreSud",31,50,229,0,1,"Pebas",0.276827086627883,1.31458866549272,0,99.999766451,"Madera",12,12,10.3725749890805,0,5.33271879326537,5.15479618861774,0.244378161952577,0,-6.460520704519,0,0.327656821591869,-0.288210388164266,0.160801849285988,-0.258711226520252,-0.347709094828028,0.0189592422302515,-0.3923890979646,-0.0769373831965713,-0.227059021018636,-0.476443522220661,-0.376902551792955,0.607156527123221,0.327656821591869,-0.288210388164266,0.160801849285988,-0.258711226520252,-0.347709094828028,0.0189592422302515,-0.3923890979646,-0.0769373831965713,-0.227059021018636,-0.476443522220661,-0.376902551792955,0.607156527123221
"Amazon1","Amazon1","White",15947.8767,0,0,0.135118508,0,377,379,40.69049914,56.89776852,0,0,126,0,"B","GroupAtlantik","B2","AcreSystem",46,109,154,2,0,"Other",1.06952835856402,0.91392084489711,0.67046875,98.166109486,"Amazon",1,1,9.67714367940065,0,5.94017125272043,3.73027326447635,0.727320735212071,0.513104275665737,-4.98573309486524,0,-0.138249720419328,0.402015724705212,-0.889703036475815,-0.728093567209225,-0.347709094828028,-0.759098890834299,-0.166682688094535,-0.753820567747851,-0.227059021018636,-0.313647611598443,0.540317853279074,0.11734976363838,-0.138249720419328,0.402015724705212,-0.889703036475815,-0.728093567209225,-0.347709094828028,-0.759098890834299,-0.166682688094535,-0.753820567747851,-0.227059021018636,-0.313647611598443,0.540317853279074,0.11734976363838
"Amazon2","Amazon2","White",45757.1333,0,0,0.082411718,0,818,820,153.5105207,165.9605955,0,0,668,153.5975367,"B","GroupAtlantik","B2","AcreSystem",207,465,486,1,0,"Other",1.03907678845226,1.34623595836798,20.2294396,79.770909766,"Amazon",1,1,10.7311248319524,0,6.71052310945243,5.04026218916506,0.712497150742084,3.0553888787582,-4.58906557208787,0,-0.953380688058727,0.587662987101501,-0.833762913438202,-0.0167075057237869,-0.347709094828028,-0.759098890834299,0.119550990300144,-0.131359910889942,-0.227059021018636,0.492959459613925,0.512164414537042,0.645844580666535,-0.953380688058727,0.587662987101501,-0.833762913438202,-0.0167075057237869,-0.347709094828028,-0.759098890834299,0.119550990300144,-0.131359910889942,-0.227059021018636,0.492959459613925,0.512164414537042,0.645844580666535
"Amazon5","Amazon5","White",14602.2325,0,0,0.08745513,0,183,185,26.17273631,34.17670647,0,0,847,727.7304069,"B","GroupAtlantik","B2","AcreSystem",136,248,425,1,0,"Other",1.51506839794476,0.756579650325425,0,100.000260902,"Amazon",1,1,9.58899818729974,0,5.2257466737132,3.30221412907762,0.92229999918379,0,-4.07550096080066,0,-0.875382363672739,0.828020109059771,-0.624664095260828,-0.787587491091591,-0.347709094828028,-0.759098890834299,-0.432135900672371,-0.95721921148649,-0.227059021018636,-0.476443522220661,0.910628878612293,-0.0749960582981877,-0.875382363672739,0.828020109059771,-0.624664095260828,-0.787587491091591,-0.347709094828028,-0.759098890834299,-0.432135900672371,-0.95721921148649,-0.227059021018636,-0.476443522220661,0.910628878612293,-0.0749960582981877
"Amazon8","Amazon8","White",17153.6184,2,0,0.151045181,3,214,211,63.69668011,45.51459871,0,0,964,1153.283725,"B","GroupAtlantik","B2","AcreSystem",141,299,566,2,0,"Other",0.839947045890404,0.732767740218021,0,100.00015086,"Amazon",1,1,9.75002271080148,1.09861228866811,5.35658627467201,4.1697098881347,0.60973679179937,0,-4.04952084237185,0,0.108062460113129,0.840179253900444,-0.469677853391115,-0.67890376245077,0.238114908570869,-0.759098890834299,-0.383520842585789,-0.545015741802623,-0.227059021018636,-0.476443522220661,0.316998564033033,-0.104105545066458,0.108062460113129,0.840179253900444,-0.469677853391115,-0.67890376245077,0.238114908570869,-0.759098890834299,-0.383520842585789,-0.545015741802623,-0.227059021018636,-0.476443522220661,0.316998564033033,-0.104105545066458
"Amazon9","Amazon9","White",6189.607001,0,0,0.10304597,3,152,149,54.35397132,37.24092406,0,0,954,1426.978522,"B","GroupAtlantik","B2","AcreSystem",167,433,532,0,0,"Other",1.07125297695836,0.680127761903005,0,100.000111416,"Amazon",1,1,8.73078842242181,0,5.01063529409626,4.01374840581295,0.728153727033817,0,-2.65988914632298,0,-0.634263970852553,1.49055092613684,-0.369998386207742,-1.366837379087,-0.347709094828028,-0.759098890834299,-0.512063171456809,-0.619123152102752,-0.227059021018636,-0.476443522220661,0.541899898719813,-0.16845665110253,-0.634263970852553,1.49055092613684,-0.369998386207742,-1.366837379087,-0.347709094828028,-0.759098890834299,-0.512063171456809,-0.619123152102752,-0.227059021018636,-0.476443522220661,0.541899898719813,-0.16845665110253
"Andira1","Andira1","White",32493.34218,0,0,0.220601491,3,179,176,52.89320618,32.37674225,0,0,879,1014.426236,"B","GroupAtlantik","C2","GroupAtlantik4",46,81,250,0,0,"Other",0.500608176957726,0.390815527567236,0.082714921,99.91747013,"Andira",10,10,10.3888212663937,0,5.17614973257383,3.98700442507267,0.405870477240145,0.0794717025272764,-5.99434133665953,0,1.18377779538067,-0.0700303798218217,-0.520249660636471,-0.247745778795026,-0.347709094828028,-0.122505872872394,-0.450564252308559,-0.631830951004601,-0.227059021018636,-0.451229021396555,-0.0701910398126414,-0.522133891580483,1.18377779538067,-0.0700303798218217,-0.520249660636471,-0.247745778795026,-0.347709094828028,-0.122505872872394,-0.450564252308559,-0.631830951004601,-0.227059021018636,-0.451229021396555,-0.0701910398126414,-0.522133891580483
"Apaporis","Apaporis","White",56489.43208,3,0,0.13672836,66,786,720,207.7913174,69.97556621,0,0,616,3068.494022,"C","PebasNord","D2","AtlantikNord3",19,21,159,1,1,"Pebas",0.276868587986212,0.944834555462792,0.653853659,99.280971374,"Japura",16,16,10.9418265590775,1.38629436111989,6.58063913728495,5.34133527181054,0.244410664931492,0.503108115661784,-7.89728641908456,0,-0.113352734309641,-0.960641596412309,0.227840492012683,0.125505921380478,0.391518493373394,0.301889472435543,0.0712910078088658,0.0116994274401682,-0.227059021018636,-0.316819157905394,-0.376840821067323,0.155141030471276,-0.113352734309641,-0.960641596412309,0.227840492012683,0.125505921380478,0.391518493373394,0.301889472435543,0.0712910078088658,0.0116994274401682,-0.227059021018636,-0.316819157905394,-0.376840821067323,0.155141030471276
"Apurimac1","Apurimac1","White",64662.31416,0,1,0.132779408,470,5956,5486,3810.496354,847.8068278,98.56046408,96.71643242,20,5792.886108,"D","PebasSud","E2","AcreOuest",21,23,22,1,1,"Pebas",1.45627006154354,0.891050143197689,90.262728923,8.554928647,"Ucayali",24,24,11.0769493051469,0,8.61013693705898,8.2457771348491,0.898643964151613,4.51374247778065,-7.94143962437888,1.45052592335928,-0.174424809936359,-0.981306060272417,1.22006231905412,0.216707208908911,-0.347709094828028,0.867749932846125,0.82537580094168,1.39178803414514,2.03751774799611,0.9556607338413,0.865700559520091,0.0893908814866557,-0.174424809936359,-0.981306060272417,1.22006231905412,0.216707208908911,-0.347709094828028,0.867749932846125,0.82537580094168,1.39178803414514,2.03751774799611,0.9556607338413,0.865700559520091,0.0893908814866557
"Arinos","Arinos","Clear",58891.58498,2,0,0.201995366,202,645,443,360.8403681,72.6935299,0,0,414,2048.66828,"B","GroupAtlantik","F2","GroupeAtlantik3",96,126,133,1,0,"Other",1.07420806349235,0.172883448033301,0,99.906780546,"Tapajos",7,7,10.9834704700338,1.09861228866811,6.09582456243222,5.89120314246953,0.729579424685151,0,-6.14717158287186,0,0.89602684952968,-0.141557578776784,-0.143579380402529,0.153613537658428,0.238114908570869,-0.334703545526362,-0.108847792256006,0.272977297431924,-0.227059021018636,-0.476443522220661,0.544607630548963,-0.788550611489152,0.89602684952968,-0.141557578776784,-0.143579380402529,0.153613537658428,0.238114908570869,-0.334703545526362,-0.108847792256006,0.272977297431924,-0.227059021018636,-0.476443522220661,0.544607630548963,-0.788550611489152
