"","basin","ShannonDiv"
"Abuna","Abuna",0.276827086627883
"Amazon1","Amazon1",1.06952835856402
"Amazon2","Amazon2",1.03907678845226
"Amazon5","Amazon5",1.51506839794476
"Amazon8","Amazon8",0.839947045890404
"Amazon9","Amazon9",1.07125297695836
"Andira1","Andira1",0.500608176957726
"Apaporis","Apaporis",0.276868587986212
"Apurimac1","Apurimac1",1.45627006154354
"Arinos","Arinos",1.07420806349235
"Aripuana","Aripuana",0.276904363855596
"Bacaja","Bacaja",0.200205768515032
"Beni","Beni",1.17023567776879
"Blanco_Baures","Blanco_Baures",0.717803633800794
"Branco","Branco",1.12685104578793
"Candeias","Candeias",0.957537857343943
"Canuma","Canuma",0.124749976002156
"Caqueta1","Caqueta1",0.598060563473656
"Chapare","Chapare",0.299522505103749
"Coari","Coari",0.211621226058582
"Curaray","Curaray",0.104369408574237
"Curua","Curua",0.183633778260949
"Curua_Una","Curua_Una",0.321871217677475
"Demini","Demini",0.546946274556492
"Fresco","Fresco",0.954143219017211
"Grande","Grande",2.03953122633533
"Guapore","Guapore",1.32682936753679
"Huallaga","Huallaga",0.778473607617186
"Iriri","Iriri",0.15981242227182
"Isiboro","Isiboro",0.534469943099415
"Itonamas","Itonamas",1.88343760908564
"Jamanxim","Jamanxim",0.230632932247739
"Japura1","Japura1",0.611625048564765
"Jari","Jari",0.125558561773786
"Jatapu","Jatapu",0.0761048067228644
"Javary1","Javary1",0.0603093971767087
"Jiparana","Jiparana",1.14633765410515
"Jurua1","Jurua1",0.160302724554584
"Juruena1","Juruena1",1.12760027427932
"Jutai","Jutai",0.147652981931108
"Luna","Luna",0.383609311148791
"Madera1","Madera1",0.71647439135435
"Madera2","Madera2",0.26154448991205
"Madera3","Madera3",0.47282483515468
"Madera4","Madera4",0.781916796860906
"Madera6","Madera6",0.435839641698102
"Madre_Dios","Madre_Dios",0.52036206338377
"Mamore1","Mamore1",1.04341940704586
"Mamore2","Mamore2",1.52868359834822
"Mantaro","Mantaro",1.44760529465209
"Maranon1","Maranon1",0.664686556167254
"Maranon3","Maranon3",0.330163921161901
"Maranon5","Maranon5",1.58767239640911
"Marmelos","Marmelos",0.529181716506473
"Maues","Maues",0.106236149905948
"Napo1","Napo1",0.281887171977176
"Napo2","Napo2",0.57595464829781
"Negro1","Negro1",0.394675710932664
"Negro2","Negro2",0.722264084133153
"Negro3","Negro3",0.269747644339977
"Negro5","Negro5",0.125689664184513
"Nhamunda","Nhamunda",0.47661696896222
"Orthon","Orthon",0.0797784520463959
"Pachitea","Pachitea",0.356363242066718
"Paru_Este","Paru_Este",0.0795383368825301
"Pastaza","Pastaza",1.07565205991734
"Purus1","Purus1",0.527865821128869
"Purus2","Purus2",0.352579510226473
"Purus3","Purus3",0.228362099786297
"Putumayo","Putumayo",0.304087034991384
"Roosevelt","Roosevelt",0.462756594555881
"Santiago","Santiago",0.933304468553372
"Solimoes1","Solimoes1",0.875271562307089
"Solimoes2","Solimoes2",0.700706483820788
"Solimoes3","Solimoes3",0.768602443932518
"Solimoes4","Solimoes4",0.818065361026948
"Solimoes7","Solimoes7",0.295670333529102
"Solimoes8","Solimoes8",0.346597367152249
"Solimoes9","Solimoes9",0.221670397222146
"Tapajos1","Tapajos1",0.537797265512485
"Tapajos2","Tapajos2",0.274941680078409
"Tapaua","Tapaua",0.0640737382287644
"Tefe","Tefe",0.187580757511177
"Teles_Pires","Teles_Pires",1.14012489452064
"Tigre","Tigre",0.176258261173101
"Trombetas1","Trombetas1",0.309288439769411
"Uatuma1","Uatuma1",0.537708103073524
"Uaupes","Uaupes",0.182518620566625
"Ucayali1","Ucayali1",0.352983264921462
"Ucayali2","Ucayali2",0.602154849978154
"Unini","Unini",0.167912478422273
"Urubamba","Urubamba",0.935620338054464
"Xingu1","Xingu1",0.834965675706229
"Xingu3","Xingu3",0.409395418227916
"Xingu4","Xingu4",0.718140023448129
"Xingu6","Xingu6",1.24170248184412
"Yacuma","Yacuma",1.42953594375822
