"","tempMin","tempMax","tempMean","precMin","precMax","precAnn"
"Abuna",14.2477782553333,28.3578347434,22.0838656439667,44.1065639888667,254.479037747667,1880.47733486667
"Amazon1",17.7795180722667,30.4508701472333,23.6047746541667,121.900490852333,819.312360552667,3808.71575189667
"Amazon2",16.5761967857,27.9981529747,22.0281009804333,59.0344596768333,447.55425322,2379.90453139667
"Amazon5",17.3240607414,28.7791866597333,23.1504299491667,93.7486362987333,390.527311453667,2485.00257408333
"Amazon8",17.5568207788333,29.0904916863667,23.3280526757333,111.589899969467,385.658846378,2591.49144673333
"Amazon9",17.9725287356333,29.2403448275667,23.5645977011333,111.763218390633,361.854022988333,2494.60574713
"Andira1",17.1965284996333,29.0357130977,23.2910240337667,105.980046111233,399.209893310667,2655.83125498333
"Apaporis",16.9547151367667,29.1650087506,22.5464042726,77.0794915825667,434.890232571667,2688.85206363
"Apurimac1",-7.36786324102,13.9666822166667,4.20842433351333,13.06573592703,151.866019960333,798.836612994667
"Arinos",10.9350017297333,29.2013515117,20.8715614001667,3.796502243,331.776781406333,2137.48197346
"Aripuana",12.3085502262667,29.1538537669333,21.365111868,17.5312363126,351.507068662667,2423.89642303667
"Bacaja",14.3125532957333,27.5934526343333,20.9607709218333,26.1631621503667,333.709275724,2141.92040087
"Beni",8.17187769677333,23.9059706569,16.7124978254667,53.4480327881333,237.821563857667,1652.25734064
"Blanco_Baures",10.8926152991,27.4747303523667,20.2587178488,30.6133725743,214.1931782,1459.33083893333
"Branco",15.7850708300333,28.9700806115,22.2144408453333,24.3588644745667,347.921807955,1733.95760428
"Candeias",13.0753886044333,28.0031367670667,21.3123877235333,37.9471321399333,341.012684699667,2397.44598841667
"Canuma",15.3821497037,29.5809006472,22.8736900997,51.5629154095333,380.463681803,2665.48303255333
"Caqueta1",15.9995326251333,27.9757670805333,21.6319663255333,80.4377165438,431.460010311333,2808.02594987333
"Chapare",9.92976237314,27.2956458632667,19.8140450927,132.166100289667,446.147266815333,3199.52060633
"Coari",16.7118593563667,28.3516487882,22.7725268176333,123.1497814858,341.353595550667,2628.88339293
"Curaray",15.5365997322667,28.1522623828667,21.8596787148667,129.690227577,449.040696117667,2993.96465863333
"Curua",15.6011896569,27.4706763720667,21.4686942671,68.0251817838667,422.547674793333,2666.10039012333
"Curua_Una",14.9485732223,27.2181085652333,21.2043240436333,48.6958899777333,377.905402773333,2171.16488331333
"Demini",16.5893670432333,31.1069033530667,23.0777299623667,31.1923973462333,392.210866056667,2049.66021158333
"Fresco",12.3128219727333,29.0656159539,20.8325308865,11.11458143802,370.877294734,2189.21346930333
"Grande",5.33831446072333,24.1968414915667,15.7422267726333,33.9089694504333,191.193382968333,1144.11371614333
"Guapore",9.83950752893333,27.4414923475,19.6889015608667,24.4315191926333,255.648436412333,1711.36991564333
"Huallaga",8.89793781975667,23.8656828020333,16.9866509248333,70.0720188902,228.114128296,1685.23675718333
"Iriri",12.8178053769667,29.4752131686333,21.2511003523333,13.9664427447333,398.485416495,2457.20486419
"Isiboro",8.79688109162,26.9166666666667,19.1073099415,127.0844704353,451.047433398333,3263.39798570667
"Itonamas",10.4750808573333,28.6746142075333,20.4306092171333,27.9288106884667,177.638579152,1165.98076796
"Jamanxim",13.3144487098,29.9475518334667,21.8117295570333,24.8857592077,483.370358482667,2780.29521451
"Japura1",16.7205743258333,28.0277955411,22.2359055590667,167.298643658333,522.954836918667,3291.77432652
"Jari",16.1546070198333,28.2203787359,21.9180084854667,83.3874502593667,512.882796702667,3062.93135191333
"Jatapu",17.2451779516333,29.2157857511333,23.2245075502667,65.471000864,358.518562176667,2216.64657020667
"Javary1",15.4757611165333,28.3417916261,22.1939305420333,142.496851671333,341.802012333667,2657.42155144667
"Jiparana",10.91784169174,27.7413236187,20.1320683168333,16.15191140303,312.470195561667,2112.72420483667
"Jurua1",14.8566811206333,28.3964983115,22.0740867745667,94.0506594475333,310.697971917,2400.82681863667
"Juruena1",9.78150084234333,28.3018661082,20.0060745131667,8.11650357133667,343.850435519667,2197.32054555333
"Jutai",15.7304286228667,28.3211704251667,22.1752967241333,127.2045946256,347.643752184,2701.96372207
"Luna",17.2450393757,28.6327401809333,23.1240417406333,123.366606155367,394.237476303,2790.80677995333
