"","Basin2stat","Sub_drainage","Inf25m","Ent25_100m"
"1","Abuna","Abuna",0,0
"2","Amazon1","Amazon1",64,89.1
"3","Amazon2","Amazon2",31,53
"4","Amazon5","Amazon3",68,94.7
"5","Amazon8","Amazon4",30,76.3
"6","Amazon9","Amazon5",34,87.1
"7","Andira1","Andira",18,88.1
"8","Apaporis","Apaporis",0,2.3
"9","Apurimac1","Apurimac",0,0
"10","Arinos","Arinos",0,0
"11","Aripuana","Aripuana",0,15.3
"12","Bacaja","Bacaja",0,0
"13","Beni","Beni",0,0
"14","Blanco_Baures","Blanco_Baures",0,0
"15","Branco","Branco",0,31.8
"16","Candeias","Candeias",0,12.5
"17","Canuma","Canuma",2,54.8
"18","Caqueta1","Caqueta",0,2.3
"19","Chapare","Chapare",0,0
"20","Coari","Coari",2,98.4
"21","Curaray","Curaray",0,0
"22","Curua","Curua",3,15.9
"23","Curua_Una","Curua_Una",0,13.9
"24","Demini","Demini",0,55.3
"25","Fresco","Fresco",0,0
"26","Grande","Grande",0,0
"27","Guapore","Guapore",0,0
"28","Huallaga","Huallaga",0,0
"29","Iriri","Iriri",0,0
"30","Isiboro","Isiboro",0,0
"31","Itonamas","Itonamas",0,0
"32","Jamanxim","Jamanxim",0,2.1
"33","Japura1","Japura",0,57
"34","Jari","Jari",2,6.5
"35","Jatapu","Jatapu",0,22.5
"36","Javary1","Javary",0,5.3
"37","Jiparana","Jiparana",0,7.1
"38","Jurua1","Jurua",0,15.4
"39","Juruena1","Juruena",0,0
"40","Jutai","Jutai",0,29.9
"41","Luna","Luna",11,100
"42","Madera1","Madera1",29,100
"43","Madera2","Madera2",2,90.4
"44","Madera3","Madera3",0,100
"45","Madera4","Madera4",0,24.5
"46","Madera6","Madera5",0,1.8
"47","Madre_Dios","Madre_Dios",0,0
"48","Mamore1","Mamore1",0,0
"49","Mamore2","Mamore2",0,0
"50","Mantaro","Mantaro",0,0
"51","Maranon1","Maranon1",0,1.4
"52","Maranon3","Maranon2",0,0
"53","Maranon5","Maranon3",0,0
"54","Marmelos","Marmelos",0,86
"55","Maues","Maues",3,46.4
"56","Napo1","Napo1",0,2.6
"57","Napo2","Napo2",0,0
"58","Negro1","Negro1",4,84.2
"59","Negro2","Negro2",8,100
"60","Negro3","Negro3",0,72.1
"61","Negro5","Negro4",0,11
"62","Nhamunda","Nhamunda",12,53.2
"63","Orthon","Orthon",0,0
"64","Pachitea","Pachitea",0,0
"65","Paru_Este","Paru_Este",2,6.9
"66","Pastaza","Pastaza",0,0
"67","Purus1","Purus1",5,100
"68","Purus2","Purus2",0,94.5
"69","Purus3","Purus3",0,6
"70","Putumayo","Putumayo",0,11.4
"71","Roosevelt","Roosevelt",0,1.9
"72","Santiago","Santiago",0,0
"73","Solimoes1","Amazon6",27,100
"74","Solimoes2","Amazon7",8,100
"75","Solimoes3","Amazon8",3,100
"76","Solimoes4","Amazon9",0,88.7
"77","Solimoes7","Amazon10",0,36.4
"78","Solimoes8","Amazon11",0,28.3
"79","Solimoes9","Amazon12",0,8.7
"80","Tapajos1","Tapajos1",10,54.1
"81","Tapajos2","Tapajos2",0,6.8
"82","Tapaua","Tapaua",0,35.2
"83","Tefe","Tefe",0,79.5
"84","Teles_Pires","Teles_Pires",0,0
"85","Tigre","Tigre",0,0
"86","Trombetas1","Trombetas",2,11.6
"87","Uatuma1","Uatuma",5,61.1
"88","Uaupes","Uaupes",0,6.7
"89","Ucayali1","Ucayali1",0,0
"90","Ucayali2","Ucayali2",0,0
"91","Unini","Unini",2,100
"92","Urubamba","Urubamba",0,0
"93","Xingu1","Xingu1",12,44.7
"94","Xingu3","Xingu2",0,0
"95","Xingu4","Xingu3",0,0
"96","Xingu6","Xingu4",0,0
"97","Yacuma","Yacuma",0,0
