"","basin","SoilDiv"
"Abuna","Abuna",1.31458866549272
"Amazon1","Amazon1",0.91392084489711
"Amazon2","Amazon2",1.34623595836798
"Amazon5","Amazon5",0.756579650325425
"Amazon8","Amazon8",0.732767740218021
"Amazon9","Amazon9",0.680127761903005
"Andira1","Andira1",0.390815527567236
"Apaporis","Apaporis",0.944834555462792
"Apurimac1","Apurimac1",0.891050143197689
"Arinos","Arinos",0.172883448033301
"Aripuana","Aripuana",0.426148074888022
"Bacaja","Bacaja",0.0640934542790959
"Beni","Beni",1.54165137329065
"Blanco_Baures","Blanco_Baures",0.860094474795595
"Branco","Branco",1.57093416480543
"Candeias","Candeias",0.763501692083351
"Canuma","Canuma",0.714057790714049
"Caqueta1","Caqueta1",1.44868437112556
"Chapare","Chapare",1.18734903017684
"Coari","Coari",0.420437615673161
"Curaray","Curaray",0.738378164167726
"Curua","Curua",0.448181365711675
"Curua_Una","Curua_Una",1.03270444686356
"Demini","Demini",1.23420841475266
"Fresco","Fresco",0
"Grande","Grande",1.02016196151032
"Guapore","Guapore",1.80956069100259
"Huallaga","Huallaga",0.585777826868044
"Iriri","Iriri",0.0778091381665392
"Isiboro","Isiboro",1.28453086027742
"Itonamas","Itonamas",1.46125771071798
"Jamanxim","Jamanxim",0.184655038442076
"Japura1","Japura1",0.630040686909788
"Jari","Jari",0.943488304106077
"Jatapu","Jatapu",0.444691230567461
"Javary1","Javary1",0.457951757672696
"Jiparana","Jiparana",1.13087331505565
"Jurua1","Jurua1",0.582715456046802
"Juruena1","Juruena1",0.523011878951637
"Jutai","Jutai",0.495091667583174
"Luna","Luna",0.54289602350383
"Madera1","Madera1",0.693051346242103
"Madera2","Madera2",1.16209032862412
"Madera3","Madera3",0.758753217328525
"Madera4","Madera4",1.32099146924008
"Madera6","Madera6",0.288114191111825
"Madre_Dios","Madre_Dios",1.55882196317171
"Mamore1","Mamore1",1.21201094391845
"Mamore2","Mamore2",0.500770614817337
"Mantaro","Mantaro",1.28998915408213
"Maranon1","Maranon1",0.232997749144303
"Maranon3","Maranon3",0.903232433542238
"Maranon5","Maranon5",1.43520802876256
"Marmelos","Marmelos",1.02671699994801
"Maues","Maues",0.676123560242297
"Napo1","Napo1",1.12796826421948
"Napo2","Napo2",1.566304154758
"Negro1","Negro1",1.21737507340926
"Negro2","Negro2",0.479803083097777
"Negro3","Negro3",1.21005660000675
"Negro5","Negro5",0.537843783589796
"Nhamunda","Nhamunda",0.905267699605117
"Orthon","Orthon",1.0122138701566
"Pachitea","Pachitea",0.777036478826912
"Paru_Este","Paru_Este",0.459094046863347
"Pastaza","Pastaza",1.31805710975319
"Purus1","Purus1",0.691886054184767
"Purus2","Purus2",0.616443839743684
"Purus3","Purus3",0.638971918204667
"Putumayo","Putumayo",1.36858814318856
"Roosevelt","Roosevelt",0.591655682546087
"Santiago","Santiago",1.28745347652375
"Solimoes1","Solimoes1",0.79323811431078
"Solimoes2","Solimoes2",0.648287367467847
"Solimoes3","Solimoes3",0.568539867156444
"Solimoes4","Solimoes4",0.677900699127843
"Solimoes7","Solimoes7",0.667724480862549
"Solimoes8","Solimoes8",0.573579334084615
"Solimoes9","Solimoes9",0.558497422047949
"Tapajos1","Tapajos1",0.763493038019626
"Tapajos2","Tapajos2",0.572211227268995
"Tapaua","Tapaua",0.473984090000139
"Tefe","Tefe",0.379926246665749
"Teles_Pires","Teles_Pires",0.74204106046947
"Tigre","Tigre",1.11230574784466
"Trombetas1","Trombetas1",0.277180983711834
"Uatuma1","Uatuma1",0.741189778396021
"Uaupes","Uaupes",0.87815987086667
"Ucayali1","Ucayali1",1.07292648893032
"Ucayali2","Ucayali2",1.14543706616897
"Unini","Unini",0.022346160276097
"Urubamba","Urubamba",1.42697168961296
"Xingu1","Xingu1",1.34832279938412
"Xingu3","Xingu3",0
"Xingu4","Xingu4",0.761634865210691
"Xingu6","Xingu6",0.673138401177337
"Yacuma","Yacuma",0.826280418837311
