"basin";"variable";"value"
"34";"Maranon1";"Anostomus_longus";1
"67";"Maranon1";"Apistogramma_rositae";1
"321";"Maranon3";"Hemiancistrus_pankimpuju";1
"91";"Maranon5";"Astroblepus_floridaensis";1
"113";"Maranon5";"Astroblepus_hidalgoi";1
"124";"Maranon5";"Astroblepus_moyanensis";1
"135";"Maranon5";"Astroblepus_ortegai";1
"190";"Maranon5";"Brycon_stolzmanni";1
"212";"Maranon5";"Chaetostoma_mollinasum";1
"223";"Maranon5";"Chaetostoma_spondylus";1
"476";"Maranon5";"Moenkhausia_crisnejas";1
"28";"Tapajos1";"Ancistrus_krenakarore";1
"50";"Tapajos1";"Apistogramma_arua";1
"182";"Tapajos1";"Bryconops_munduruku";1
"281";"Tapajos1";"Curimatopsis_maculosa";1
"292";"Tapajos1";"Cyphocharax_muyrakytan";1
"347";"Tapajos1";"Hyphessobrycon_vanzolinii";1
"358";"Tapajos1";"Hypopygus_benoneae";1
"380";"Tapajos1";"Hypostomus_melanephelis";1
"402";"Tapajos1";"Leporacanthicus_joselimai";1
"446";"Tapajos1";"Microphilypnus_acangaquara";1
"457";"Tapajos1";"Microphilypnus_tapajosensis";1
"655";"Tapajos1";"Tetragonopterus_ommatus";1
"59";"Ucayali1";"Apistogramma_nijsseni";1
"81";"Ucayali1";"Aposturisoma_myriodon";1
"147";"Ucayali1";"Astyanax_stilbe";1
"158";"Ucayali1";"Brachyhypopomus_verdii";1
"169";"Ucayali1";"Bryconamericus_brevirostris";1
"246";"Ucayali1";"Chrysobrycon_yoliae";1
"257";"Ucayali1";"Corydoras_melanotaenia";1
"312";"Ucayali1";"Hemiancistrus_landoni";1
"466";"Ucayali1";"Moema_wischmanni";1
"499";"Ucayali1";"Moenkhausia_margitae";1
"510";"Ucayali1";"Otocinclus_cocama";1
"521";"Ucayali1";"Panaqolus_albivermis";1
"554";"Ucayali1";"Pimelodella_hartwelli";1
"565";"Ucayali1";"Pimelodella_peruana";1
"16";"Ucayali2";"Ancistrus_jelskii";1
"104";"Ucayali2";"Astroblepus_formosus";1
"203";"Ucayali2";"Cetopsorhamdia_filamentosa";1
"588";"Ucayali2";"Rhamdella_montana";1
"665";"Ucayali2";"Trichomycterus_weyrauchi";1
"8";"Xingu1";"Anablepsoides_xinguensis";1
"338";"Xingu1";"Hypancistrus_zebra";1
"393";"Xingu1";"Krobia_xinguensis";1
"437";"Xingu1";"Melanorivulus_rubroreticulatus";1
"536";"Xingu1";"Panaqolus_tankei";1
"547";"Xingu1";"Phallobrycon_synarmacanthus";1
"580";"Xingu1";"Pseudacanthicus_pirarara";1
"602";"Xingu1";"Spectrolebias_reticulatus";1
"613";"Xingu1";"Sternarchogiton_zuanoni";1
"624";"Xingu1";"Sternarchorhynchus_kokraimoro";1
"635";"Xingu1";"Sternarchorhynchus_villasboasi";1
"679";"Xingu1";"Typhlobelus_auriculatus";1
"417";"Xingu4";"Maratecoara_gesmonei";1
"428";"Xingu4";"Melanorivulus_megaroni";1
"242";"Xingu6";"Characidium_xavante";1
"275";"Xingu6";"Creagrutus_cacique";1
"308";"Xingu6";"Farlowella_gianetii";1
"374";"Xingu6";"Hypostomus_kuarup";1
"495";"Xingu6";"Moenkhausia_ischyognatha";1
"649";"Xingu6";"Tetragonopterus_kuluene";1
